Document,Section Header,Section Text,Start Page,End Page
1Life Healthcare Inc_20220824_DEFM14A_20299948_4508791.Pdf,SUMMARY,"SUMMARY
This summary highlights selected information from this proxy statement related to the merger of Negroni Merger Sub, Inc., an indirect wholly-
owned subsidiary of Amazon.com, Inc. with and into 1Life Healthcare, Inc. (the “Merger”), and may not contain all of the information that is
important to you. To understand the Merger more fully and for a more complete description of the legal terms of the Merger, you should carefully
read and consider this entire proxy statement and the annexes to this proxy statement, including, but not limited to, the Merger Agreement (as
defined below), along with all of the documents to which we refer in this proxy statement, as they contain important information about, among
other things, the Merger and how it affects you. You may obtain the information incorporated by reference in this proxy statement without charge
by following the instructions under the caption “Where You Can Find More Information.” The Merger Agreement is attached as Annex A to this
proxy statement. You should carefully read and consider the entire Merger Agreement, which is the legal document that governs the Merger.
Except as otherwise specifically noted in this proxy statement, “1Life,” “One Medical,” “we,” “our,” “us” and similar words refer to 1Life
Healthcare, Inc., including, in certain cases, its subsidiaries and affiliated professional entities. Throughout this proxy statement, we refer to
Amazon.com, Inc. as “Amazon” and Negroni Merger Sub, Inc. as “Merger Sub.” In addition, throughout this proxy statement we refer to the
Agreement and Plan of Merger, dated July 20, 2022, by and among 1Life, Amazon and Merger Sub, as it may be amended, modified or
supplemented from time to time, as the “Merger Agreement,” our common stock, par value $0.001 per share, as “common stock” and the holders
of our common stock as “stockholders.”
The Special Meeting",8,8
1Life Healthcare Inc_20220824_DEFM14A_20299948_4508791.Pdf,The Special Meeting,"The Special Meeting
Date, Time, Place and Purpose of the Special Meeting
A special meeting of stockholders to consider and vote on the proposal to adopt the Merger Agreement will be held virtually on September 22, 2022,
at 8:30 a.m. Pacific Time via live audio webcast on the Internet at www.virtualshareholdermeeting.com/ONEM2022SM (the “Special Meeting”).
At the Special Meeting, stockholders of record as of the close of business on August 22, 2022 (the “Record Date”) will be asked to consider and
vote on:
•
a proposal to adopt the Merger Agreement;
•
a proposal to approve, on an advisory (non-binding) basis, the compensation that may be paid or become payable to 1Life’s named
executive officers that is based on or otherwise relates to the Merger Agreement and the transactions contemplated by the Merger
Agreement (the “Compensation Proposal”); and
•
a proposal to adjourn the Special Meeting to a later date or dates, if necessary or appropriate, including to solicit additional proxies to
approve the proposal to adopt the Merger Agreement if there are insufficient votes to adopt the Merger Agreement at the time of the
Special Meeting (the “Adjournment Proposal”).
We do not expect that any matters other than the proposals set forth above will be brought before the Special Meeting, and only matters specified in
the notice of the meeting may be acted upon at the Special Meeting.
Record Date; Shares Entitled to Vote; Quorum
You are entitled to receive notice of, and vote at, the Special Meeting if you owned any share(s) of common stock on the Record Date. Each holder
of common stock shall be entitled to one (1) vote for each such share of common stock owned on the Record Date on all matters properly coming
before the Special Meeting. As of the
1Table of Contents
Record Date, there were 195,812,174 shares of common stock outstanding and entitled to vote at the Special Meeting. A quorum is necessary to
adopt the Merger Agreement and approve the Compensation Proposal. A quorum is the minimum number of shares required to be present at the
Special Meeting for the meeting to be properly held under our bylaws and Delaware law. The presence, in person, by remote communication, if
applicable, or by proxy duly authorized, of the holders of a majority of the outstanding shares of stock entitled to vote shall constitute a quorum for
the transaction of business at the Special Meeting. Assuming the Special Meeting is held solely by means of remote communication, as it is
currently scheduled to be, no shares will be present in person at the Special Meeting, and only shares present virtually or represented by proxy at
the Special Meeting will be counted in determining whether a quorum is present. Your shares of common stock will be counted towards the quorum
only if you submit a valid proxy (or one is submitted on your behalf by your broker, bank or other nominee based on your instructions), if you vote
at the meeting or if you attend the Special Meeting but abstain from voting. If you hold your shares in “street name” and do not give any instruction
to your broker, bank or other nominee as to how your shares should be voted at the Special Meeting, those shares will not be entitled to vote on any
proposal at the Special Meeting and will not be counted for purposes of establishing a quorum. The Special Meeting may be adjourned whether or
not a quorum is present.
Vote Required; Abstentions and Failure to Vote
The affirmative vote of the holders of a majority of all outstanding shares of 1Life’s common stock on the Record Date is required to adopt the
Merger Agreement. Because the required vote for the proposal to adopt the Merger Agreement is based on the number of votes our stockholders
are entitled to cast rather than on the number of votes actually cast, if you fail to authorize a proxy or vote online at the meeting, abstain from voting
at the meeting, or fail to instruct your broker on how to vote, such failure will have the same effect as votes cast “AGAINST” the merger proposal.
As of August 22, 2022, the Record Date for the Special Meeting, 97,906,088 shares constitute a majority of the issued and outstanding shares of
common stock.
Approval of the Compensation Proposal requires the affirmative vote of the majority of the shares present in person, by remote communication, if
applicable, or represented by proxy duly authorized at the Special Meeting and entitled to vote generally on the subject matter, provided a quorum is
present. Assuming the Special Meeting is held solely by means of remote communication, as it is currently scheduled to be, no shares will be
present in person in at the Special Meeting, and only shares present virtually or represented by proxy at the Special Meeting will be able to be
voted. The approval of the Compensation Proposal is advisory (non-binding) and is not a condition to the completion of the Merger.
Approval of the Adjournment Proposal requires either (i) if a quorum is present, the affirmative vote of the majority of the shares present in person,
by remote communication, if applicable, or represented by proxy duly authorized at the Special Meeting and entitled to vote generally on the subject
matter or (ii) if a quorum is not present, the vote of the holders of a majority of the shares represented at the Special Meeting.
An abstention represents a stockholder’s affirmative choice to decline to vote on a proposal. If a stockholder abstains from voting, that abstention
will have the same effect as if the stockholder voted “AGAINST” the proposal to adopt the Merger, the Compensation Proposal and the
Adjournment Proposal. However, abstentions are counted as shares present or represented by proxy at the Special Meeting for purposes of
determining whether a quorum is present at the Special Meeting. As a result, an abstention of any of the aforementioned proposals will be counted
for purposes of determining the presence or absence of a quorum, but will count as a vote “AGAINST” each of the proposal to adopt the Merger
Agreement, the Compensation Proposal and the Adjournment Proposal.
Failure to vote your shares of common stock (including a failure of your broker, bank or other nominee to vote shares held on your behalf) will also
count as a vote “AGAINST” the proposal to adopt the Merger
2
Table of Contents
Agreement. If your shares are not deemed present or represented by proxy at the Special Meeting, then a failure to vote will not have any effect on
the Adjournment Proposal or the Compensation Proposal. If your shares are deemed present or represented by proxy, then a failure to vote your
shares will have the same effect as a vote “AGAINST” the Adjournment Proposal only if a quorum is not present, and will have no effect on the
Compensation Proposal or, if a quorum is present, on the Adjournment Proposal. Because brokers, banks and other nominees do not have
discretionary voting authority with respect to the proposal to adopt the Merger Agreement, the Compensation Proposal or the Adjournment
Proposal, if a beneficial owner of shares of common stock held in street name does not give voting instructions to the broker, bank or other nominee
with respect to any of the proposals, then those shares will not be present or represented by proxy at the Special Meeting and will not be counted
for purposes of determining whether a quorum is present at the Special Meeting. However, if a beneficial owner of shares of common stock held in
street name gives voting instructions to the broker, bank or other nominee with respect to at least one of the proposals, but gives no instruction as
to one or more of the other proposals, then those shares will be deemed present at the Special Meeting and for purposes of establishing a quorum at
the Special Meeting, will be voted as instructed with respect to any proposal as to which instructions were given, and will not be voted with respect
to any other proposal.
Shares Held by 1Life’s Directors and Executive Officers",8,10
1Life Healthcare Inc_20220824_DEFM14A_20299948_4508791.Pdf,Shares Held by 1Life’s Directors and Executive Officers,"Shares Held by 1Life’s Directors and Executive Officers
As of the Record Date, our directors and executive officers owned and were entitled to vote, in the aggregate, 1,585,389 shares of common stock,
representing approximately 1% of the shares of common stock outstanding on the Record Date (and approximately 11% of the shares of common
stock outstanding when taking into account 1Life Options and 1Life RSUs held, in the aggregate, by our directors and executive officers).
Our directors and executive officers have informed us that they currently intend to vote all of their respective shares of common stock (i) “FOR” the
adoption of the Merger Agreement, (ii) “FOR” the approval, on an advisory (non-binding) basis, of the Compensation Proposal, and (iii) “FOR” the
Adjournment Proposal.
The Merger",10,10
1Life Healthcare Inc_20220824_DEFM14A_20299948_4508791.Pdf,The Merger,"The Merger
Parties Involved in the Merger
1Life Healthcare, Inc.
1Life Healthcare, Inc., referred to as “One Medical,” was incorporated in the state of Delaware in July 2002. One Medical’s vision is to delight
millions of members with better health and better care while reducing costs, within a better team environment. One Medical’s mission is to transform
health care for all through a human-centered, technology-powered model. One Medical is a U.S. national human-centered and technology-powered
primary care organization with seamless digital health and inviting in-office care, convenient to where people work, shop, live and click. One Medical
is disrupting health care from within the existing ecosystem by simultaneously addressing the frustrations and unmet needs of key stakeholders,
which include consumers, employers, providers, and health networks.
1Life’s principal corporate offices are located at One Embarcadero Center, Suite 1900, San Francisco, CA 94111, and its telephone number is (415) 814-
0927.
Amazon.com, Inc.
Amazon.com, Inc., referred to as “Amazon,” was incorporated in 1994 in the state of Washington and reincorporated in 1996 in the state of Delaware.
Its principal corporate offices are located in Seattle, Washington. It completed its initial public offering in May 1997 and its common stock is listed
on the Nasdaq Global Select Market (“Nasdaq”) under the symbol “AMZN.”
3Table of Contents
Amazon seeks to be Earth’s most customer-centric company. Amazon is guided by four principles: customer obsession rather than competitor focus,
passion for invention, commitment to operational excellence, and long-term thinking. In each of its segments, it serves its primary customer sets,
consisting of consumers, sellers, developers, enterprises, content creators, advertisers, and employees.
Amazon has organized its operations into three segments: North America, International and Amazon Web Services.
Amazon’s principal executive offices are located at 410 Terry Avenue North, Seattle, Washington 98109, and its telephone number is (206) 266-1000.
Negroni Merger Sub, Inc. (Merger Sub)
Negroni Merger Sub, Inc., referred to as “Merger Sub,” is a Delaware corporation and an indirect wholly-owned subsidiary of Amazon and was
formed on July 18, 2022, solely for the purpose of engaging in the transactions contemplated by the Merger Agreement. Merger Sub has not
engaged in any business activities other than in connection with the transactions contemplated by the Merger Agreement. Upon the completion of
the Merger, the separate corporate existence of Merger Sub will cease and 1Life will continue as the surviving corporation and an indirect wholly-
owned subsidiary of Amazon (the “Surviving Corporation”). Merger Sub’s principal executive offices are located at 410 Terry Avenue North, Seattle,
Washington 98109-5210, and its telephone number is (206) 266-1000.
Effect of the Merger
Upon the terms and subject to the conditions of the Merger Agreement, Merger Sub will merge with and into 1Life, with 1Life continuing as the
Surviving Corporation and an indirect wholly-owned subsidiary of Amazon. As a result of the Merger, 1Life’s common stock will no longer be
publicly traded, and will be delisted from Nasdaq. In addition, 1Life’s common stock will be deregistered under the Securities Exchange Act of 1934,
as amended (the “Exchange Act”), and 1Life will no longer file periodic reports under the Exchange Act with the United States Securities and
Exchange Commission (the “SEC”). If the Merger is completed, you will not own any shares of the capital stock of the Surviving Corporation.
The Effective Time (as defined below) will occur upon the filing of a certificate of merger with the Secretary of State of the State of Delaware (or at
such later time as we, Amazon and Merger Sub may agree in writing and specify in the certificate of merger).
Effect on 1Life if the Merger is Not Completed
If the Merger Agreement is not adopted by stockholders, or if the Merger is not completed for any other reason:
(i)
the stockholders will not be entitled to, nor will they receive, any payment for their respective shares of common stock pursuant to the
Merger Agreement;
(ii)
(A) 1Life will remain an independent public company, (B) 1Life’s common stock will continue to be listed and traded on Nasdaq and
registered under the Exchange Act, and (C) 1Life will continue to file periodic reports under the Exchange Act with the SEC;
(iii)
under certain specified circumstances, 1Life will be required to pay Amazon a termination fee of $136,000,000 (net of any Expense
Reimbursement (as defined below) previously paid) (the “1Life Termination Fee”) upon or following the termination of the Merger
Agreement; and
4
Table of Contents
(iv)
under certain other specified circumstances, Amazon will be required to pay 1Life a termination fee of $195,000,000 (the “Amazon
Termination Fee”) following the termination of the Merger Agreement.
For more information, please see the section of this proxy statement captioned “Proposal 1: Adoption of the Merger Agreement—Termination Fees
and Expenses.”",10,12
1Life Healthcare Inc_20220824_DEFM14A_20299948_4508791.Pdf,Merger Consideration,"Merger Consideration
1Life Common Stock
At the Effective Time, and without any further action on the part of the parties or any stockholder, each share of common stock issued and
outstanding immediately prior to the Effective Time (other than (i) common stock held in the treasury of 1Life or owned by any direct or indirect
wholly-owned 1Life subsidiary, (ii) common stock owned by Merger Sub, Amazon or any direct or indirect wholly-owned Amazon subsidiary
immediately prior to the Effective Time and (iii) any common stock outstanding immediately prior to the Effective Time and held by a holder who is
entitled to demand and has properly demanded appraisal for such common stock in accordance with, and who complies in all respects with, Section
262 of the General Corporation Law of the State of Delaware (the “DGCL”) (the “Dissenting Shares”) (collectively, (i), (ii) and (iii), the “Excluded
Shares”)) will be converted automatically into the right to receive $18.00 in cash, without interest (the “Merger Consideration”).
At or before the closing of the Merger (the “Closing”), Amazon will deposit or cause to be deposited cash in an amount sufficient to pay the
aggregate Merger Consideration required to be paid under the Merger Agreement with American Stock Transfer & Trust Company, LLC, in its
capacity as the Paying Agent (as defined below), for the benefit of the holders of the common stock (other than Excluded Shares) of each share of
common stock owned by each stockholder. For more information, please see the section of this proxy statement captioned “Proposal 1: Adoption of
the Merger Agreement—Exchange and Payment Procedures.”
After the Merger is completed, you will have the right to receive the Merger Consideration in respect of each share of common stock that you own,
but you will no longer have any rights as a stockholder. Stockholders who properly exercise their appraisal rights have the right to receive payment
for the “fair value” of their shares determined pursuant to an appraisal proceeding, as contemplated by Delaware law. For more information, please
see the section of this proxy statement captioned “The Merger—Appraisal Rights.”
Treatment of 1Life Options, 1Life RSUs and 1Life Phantom Awards
The Merger Agreement provides that, at the Effective Time, each:
(i)
1Life Option (as defined below) with an exercise price per share of common stock that is less than the Merger Consideration that is
vested or that accelerates vesting pursuant to its terms at the Effective Time (with any market or performance conditions determined in
accordance with the applicable award agreement), and is outstanding as of immediately prior to the Effective Time will be cancelled and
converted into the right to receive an amount in cash equal to the product of (1) the excess, if any, of the Merger Consideration over
the per-share exercise price of such 1Life Option and (2) the number of shares then subject to such 1Life Option, less any applicable tax
withholdings;
(ii)
1Life Option with an exercise price per share of common stock that is less than the Merger Consideration that is unvested and is
outstanding as of immediately prior to the Effective Time will be converted into the right to receive an amount in cash equal to the
product of (1) the excess, if any, of the Merger Consideration over the per-share exercise price of such 1Life Option and (2) the number
of shares then subject to such 1Life Option, which will be subject to the same vesting and forfeiture provisions as were applicable to
such unvested 1Life Option immediately prior to the Effective Time and will vest in installments over the remainder of the vesting
schedule of such 1Life Option;
5Table of Contents
(iii)
1Life Option, whether vested or unvested, with an exercise price per share of common stock that is equal to or greater than the Merger
Consideration will be cancelled without consideration;
(iv)
1Life RSU (as defined below) that is vested and outstanding as of immediately prior to the Effective Time, will be cancelled and
converted into the right to receive an amount in cash equal to the product of (1) the Merger Consideration and (2) the number of shares
then subject to such 1Life RSU, less any applicable tax withholdings;
(v)
1Life RSU that is unvested and outstanding as of immediately prior to the Effective Time, will be converted into the right to receive an
amount in cash equal to the product of (1) the Merger Consideration and (2) the number of shares then subject to such 1Life RSU, and
such cash-based awards will be subject to the same vesting and forfeiture provisions as were applicable to the 1Life RSU immediately
prior to the Effective Time and will vest in installments over the remainder of the vesting schedule of such 1Life RSU; and
(vi)
1Life Phantom Award (as defined below) will remain outstanding at the Effective Time and continue to be subject to the same terms and
conditions as applicable to such 1Life Phantom Award immediately prior to the Effective Time.
Treatment of Purchase Rights under 1Life’s 2020 Employee Stock Purchase Plan
The Merger Agreement generally provides that after July 20, 2022, no new offering periods will begin under 1Life’s 2020 Employee Stock Purchase
Plan (the “1Life ESPP”), no 1Life employee may become a new participant in the 1Life ESPP and no 1Life ESPP participant may increase the
percentage amount of his or her payroll deduction election. The current purchase period will terminate at the earlier of (1) the scheduled purchase
date for the current purchase period, which is November 15, 2022 and (2) immediately prior to the Effective Time. Each participant’s accumulated
payroll deductions will be used to purchase shares of common stock on such purchase date in accordance with the terms of the 1Life ESPP.
Contingent on closing of the Merger, the 1Life ESPP will terminate effective immediately prior to the Effective Time. While two of our executive
officers currently participate in the 1Life ESPP, none of our executive officers have accumulated payroll deductions under the 1Life ESPP for the
offering period that commenced on May 16, 2022. For more information, please see the section of this proxy statement captioned “Proposal 1:
Adoption of the Merger Agreement—Merger Consideration—Treatment of Purchase Rights Under the Employee Stock Purchase Plan.”
Treatment of Convertible Notes
The Merger Agreement provides that, at and prior to the Closing, 1Life will (and Amazon will cooperate with 1Life to) comply with the Indenture (as
defined below), relating to the Convertible Notes (as defined below), including executing and delivering a supplemental indenture to the Indenture.
In the event that Amazon desires to consummate a Repurchase Transaction (as defined below), in Amazon’s sole discretion, with respect to any or
all of the Convertible Notes, each of 1Life, Amazon and Merger Sub will use their respective commercially reasonable efforts to cooperate with one
another in good faith to permit such Repurchase Transaction; provided that (i) the Repurchase Transaction will not be consummated prior to the
Closing; and (ii) Amazon will pay all reasonable and documented out-of-pocket fees and expenses incurred by 1Life in taking actions requested by
Amazon in connection with a Repurchase Transaction.
In the event that a Repurchase Transaction is not consummated at Closing, then the Closing will result in a “fundamental change” under the
Indenture governing the Convertible Notes, requiring 1Life to offer to repurchase the Convertible Notes for par value, plus accrued and unpaid
interest to, but excluding, the fundamental change repurchase date. For more information, please see the section in this proxy statement captioned
“Proposal 1: Adoption of the Merger Agreement—Convertible Notes.”
6
Table of Contents
Recommendation of the 1Life Board of Directors",12,14
1Life Healthcare Inc_20220824_DEFM14A_20299948_4508791.Pdf,Recommendation of the 1Life Board of Directors,"Recommendation of the 1Life Board of Directors
After considering various factors described in this proxy statement under the caption, “The Merger—Recommendation of the Board of Directors
and Reasons for the Merger,” 1Life’s Board of Directors (the “Board of Directors”) unanimously: (i) determined that the Merger Agreement, the
Merger and the other transactions contemplated by the Merger Agreement (together with the Merger, the “Transactions”) are fair to, and in the best
interests of, 1Life and its stockholders, (ii) approved and declared advisable the execution, delivery and performance of the Merger Agreement and
the consummation of the Transactions, (iii) resolved to recommend adoption of the Merger Agreement and approval of the Transactions by the
stockholders of 1Life and (iv) directed that the adoption of the Merger Agreement be submitted to a vote of the stockholders of 1Life.
The Board of Directors also unanimously recommends, on behalf of 1Life, that stockholders vote: (i) “FOR” the adoption of the Merger
Agreement; (ii) “FOR” the approval, on an advisory (non-binding) basis, of the Compensation Proposal; and (iii) “FOR” the Adjournment
Proposal.
Prior to receipt of the required stockholder approval, under certain specified circumstances, the Board of Directors may withdraw or change the
foregoing recommendation if the Board of Directors determines in good faith (after consultation with its financial advisor and outside legal counsel)
that an acquisition proposal is more favorable to the stockholders from a financial point of view than the Merger and the Transactions, subject to
certain matching rights in favor of Amazon. However, the Board of Directors cannot withdraw or change the foregoing recommendation unless it
complies with certain procedures in the Merger Agreement, including, but not limited to, providing Amazon five (5) business days to make
adjustments in the terms and conditions of the Merger Agreement (as described further in the section of this proxy statement captioned “Proposal 1:
Adoption of the Merger Agreement—The Board of Directors’ Recommendation; 1Life Adverse Recommendation Change”). The termination of the
Merger Agreement by Amazon, prior to receipt of the required stockholder approval, following the withdrawal by the Board of Directors of its
recommendation that stockholders adopt the Merger Agreement will result in the payment by 1Life of the 1Life Termination Fee. The termination of
the Merger Agreement by 1Life, prior to receipt of the required stockholder approval, following the Board of Directors’ determination that 1Life enter
into a definitive agreement with respect to a Superior Proposal (as defined below) will result in the payment by 1Life of the 1Life Termination Fee. For
more information, please see the section of this proxy statement captioned “Proposal 1: Adoption of the Merger Agreement—The Board of
Directors’ Recommendation; 1Life Adverse Recommendation Change.”
Opinion of Morgan Stanley & Co. LLC",14,14
1Life Healthcare Inc_20220824_DEFM14A_20299948_4508791.Pdf,Opinion of Morgan Stanley & Co. LLC,"Opinion of Morgan Stanley & Co. LLC
1Life retained Morgan Stanley & Co. LLC (“Morgan Stanley”) to act as its financial advisor in connection with a potential sale of 1Life. 1Life
selected Morgan Stanley to act as its financial advisor based on Morgan Stanley’s qualifications, expertise and reputation and its knowledge of and
involvement in recent transactions in 1Life’s industry. At the meeting of the 1Life Board of Directors, Morgan Stanley rendered its oral opinion,
subsequently confirmed in writing by delivery of a written opinion, dated July 20, 2022, to the 1Life Board of Directors, that, as of that date, and
based upon and subject to the assumptions made, procedures followed, matters considered and qualifications and limitations on the scope of the
review undertaken by Morgan Stanley as set forth in Morgan Stanley’s written opinion, the Merger Consideration to be received by the holders of
shares of 1Life’s common stock (other than the Excluded Shares) was fair, from a financial point of view, to such holders of common stock, as set
forth in such opinion and as more fully described in the section of this proxy statement captioned “The Merger—Opinion of Morgan Stanley & Co.
LLC.”
The full text of the written opinion of Morgan Stanley delivered to the Board of Directors, dated as of July 20, 2022, which sets forth, among other
things, the assumptions made, procedures followed, matters considered and qualifications and limitations on the scope of the review undertaken by
Morgan Stanley in rendering its opinion, is attached to this proxy statement as Annex B and incorporated by reference in this
7Table of Contents
proxy statement in its entirety. The summary of the opinion of Morgan Stanley in this proxy statement is qualified in its entirety by reference to
the full text of the opinion. Stockholders of 1Life are urged to, and should, read Morgan Stanley’s opinion carefully and in its entirety. Morgan
Stanley’s opinion was directed to the Board of Directors, in its capacity as such, and addressed only the fairness, from a financial point of view, of
the Merger Consideration to be received by the holders of 1Life’s common stock (other than the Excluded Shares), pursuant to the Merger
Agreement as of the date of the opinion and does not address the relative merits of the Merger as compared to any other alternative business
transaction, or other alternatives, or whether or not such alternatives could be achieved or are available. Morgan Stanley’s opinion does not
constitute an opinion or a recommendation as to how the stockholders of 1Life should vote at the Special Meeting.
Interests of 1Life’s Directors and Executive Officers in the Merger",14,15
1Life Healthcare Inc_20220824_DEFM14A_20299948_4508791.Pdf,Interests of 1Life’s Directors and Executive Officers in the Merger,"Interests of 1Life’s Directors and Executive Officers in the Merger
When considering the foregoing recommendation of the Board of Directors that you vote to approve the proposal to adopt the Merger Agreement,
stockholders should be aware that some of 1Life’s directors and executive officers may have interests in the Merger that are different from, or in
addition to, the interests of stockholders more generally. The Board of Directors was aware of and considered these interests, among other matters,
to the extent that they existed at the time, in reaching the determination that the Merger Agreement and the Transactions were fair to and in the best
interests of 1Life and its stockholders, in reaching its decision to approve and declare advisable the execution, delivery and performance of the
Merger Agreement and the consummation of the Transactions, in making their recommendation that the stockholders vote in favor of the adoption
of the Merger Agreement and approval of the Transactions and in directing that the adoption of the Merger Agreement be submitted to a vote of the
stockholders. These interests include:
•
at the Effective Time of the Merger, each 1Life Option and 1Life RSU will receive the treatment described in the section of this proxy
statement captioned “The Merger—Interests of 1Life’s Directors and Executive Officers in the Merger—Treatment of 1Life Options,
1Life RSUs and 1Life Phantom awards”;
•
continued eligibility of 1Life’s executive officers to receive severance payments and benefits (including equity award vesting
acceleration) under the Executive Severance and Change in Control Plan (as defined below) and under the terms of the Retention 1Life
RSUs, as described in more detail in the section of this proxy statement captioned “The Merger—Interests of 1Life’s Directors and
Executive Officers in the Merger—Payments Upon Termination at or Following Change in Control”;
•
eligibility of 1Life’s non-employee directors to receive accelerated vesting of their 1Life RSUs and 1Life Options, as described in more
detail in the section of this proxy statement captioned “The Merger—Interests of 1Life’s Directors and Executive Officers in the Merger
—Equity Awards Held by 1Life’s Executive Officers and Non-employee Directors”; and
•
continued indemnification and directors’ and officers’ liability insurance to be provided by the Surviving Corporation.
If the proposal to adopt the Merger Agreement is approved, the shares of common stock held by 1Life directors and executive officers will be treated
in the same manner as outstanding shares of common stock held by all other stockholders. For more information, please see the section of this proxy
statement captioned “The Merger—Interests of 1Life’s Directors and Executive Officers in the Merger.”
Appraisal Rights",15,15
1Life Healthcare Inc_20220824_DEFM14A_20299948_4508791.Pdf,Appraisal Rights,"Appraisal Rights
If the Merger is consummated and certain conditions are met, stockholders who continuously hold shares of 1Life common stock through the
effective date of the Merger, who do not vote in favor of the adoption of the
8Table of Contents
Merger Agreement and who are entitled to and otherwise properly demand and exercise, and do not effectively waive, withdraw, fail to perfect or
otherwise lose, their appraisal rights under Section 262 of the DGCL, will be entitled to seek an appraisal by the Delaware Court of Chancery of the
“fair value” of their shares of 1Life common stock (exclusive of any elements of value arising from the accomplishment or expectation of the Merger,
together with interest to be paid on the amount determined to be fair value, if any), as determined by the court, as described further below in lieu of
receiving the Merger Consideration if the Merger is completed. The amount determined to be fair value by the court will be determined as of the
Effective Time and could be more than, the same as or less than the Merger Consideration for 1Life common stock. Voting “AGAINST” or failing to
vote “FOR” the adoption of the Merger Agreement by itself does not constitute a demand for appraisal within the meaning of Section 262 of the
DGCL.
Due to the complexity of the appraisal process, stockholders who wish to seek appraisal of their shares or who wish to preserve their rights to do so
should review Annex C carefully and are encouraged to seek the advice of legal counsel with respect to the exercise of appraisal rights since failure
to timely and fully comply with the procedures set forth therein may result in the loss of such rights.
To exercise appraisal rights, stockholders must: (i) submit a written demand for appraisal to 1Life before the stockholder vote is taken on the
proposal to adopt the Merger Agreement at the Special Meeting; (ii) not submit a proxy or otherwise vote in favor of the proposal to adopt the
Merger Agreement; (iii) continue to hold shares of 1Life common stock of record through the effective date of the Merger; and (iv) comply with all
other procedures for exercising appraisal rights under Section 262 of the DGCL. Failure to timely and fully comply with the procedures specified
under Section 262 of the DGCL may result in the loss of appraisal rights. In addition, the Delaware Court of Chancery will dismiss appraisal
proceedings in respect of 1Life unless certain stock ownership conditions are satisfied by the stockholders seeking appraisal. The DGCL
requirements for exercising appraisal rights are described in further detail in this proxy statement, which is qualified in its entirety by Section 262 of
the DGCL, the relevant section of the DGCL regarding appraisal rights. A copy of the version of Section 262 of the DGCL applicable to the Merger
Agreement is reproduced in Annex C to this proxy statement. If you hold your shares of common stock through a bank, broker or other nominee and
you wish to exercise appraisal rights, you should consult with your bank, broker or other nominee to determine the appropriate procedures for the
making of a demand for appraisal on your behalf by your bank, broker or other nominee. For more information, please see the section of this proxy
statement captioned “The Merger—Appraisal Rights.”
Material U.S. Federal Income Tax Consequences of the Merger",15,16
1Life Healthcare Inc_20220824_DEFM14A_20299948_4508791.Pdf,Material U.S. Federal Income Tax Consequences of the Merger,"Material U.S. Federal Income Tax Consequences of the Merger
The receipt of cash by U.S. Holders (as defined under the caption, “The Merger—Material U.S. Federal Income Tax Consequences of the Merger”)
in exchange for shares of 1Life common stock in the Merger will be a taxable transaction to such stockholders for United States (the “U.S.”) federal
income tax purposes. Each such U.S. Holder generally will recognize gain or loss in an amount equal to the difference, if any, between the amount of
cash that such U.S. Holder receives in the Merger and such U.S. Holder’s adjusted tax basis in the shares of common stock surrendered in the
Merger. Backup withholding taxes may also apply to the cash payments made pursuant to the Merger, unless the U.S. Holder complies with
certification procedures under the backup withholding rules.
A stockholder that is a Non-U.S. Holder (as defined under the caption, “The Merger—Material U.S. Federal Income Tax Consequences of the
Merger”) generally will not be subject to U.S. federal income tax with respect to the exchange of common stock for cash in the Merger unless such
Non-U.S. Holder has certain connections to the U.S. but may be subject to backup withholding tax unless the Non-U.S. Holder complies with certain
certification procedures or otherwise establishes a valid exemption from backup withholding tax.
9Table of Contents
Stockholders should read the section of this proxy statement captioned “The Merger—Material U.S. Federal Income Tax Consequences of the
Merger.”
This proxy statement contains a general discussion of U.S. federal income tax consequences of the Merger. Stockholders should also consult their
own tax advisors concerning the U.S. federal income tax consequences relating to the Merger in light of their particular circumstances and any
consequences arising under U.S. federal estate, gift and other income and other non-income tax laws or the laws of any state, local or non-U.S.
taxing jurisdiction.
Regulatory Approvals Required for the Merger",16,17
