Document,Section Header,Section Text,Start Page,End Page
"AEROJET ROCKETDYNE HOLDINGS, INC._20210205_DEFM14A_19007640_4113036.Pdf",PROXY STATEMENT SUMMARY,"PROXY STATEMENT SUMMARY
The following summary highlights selected information from this proxy statement related to Aerojet Rocketdyne
Holdings, Inc.’s proposed acquisition by Lockheed Martin Corporation. As a summary, it may not contain all of the
information that is important to you. To understand the transaction more fully and for a more complete description
of its legal terms, you should carefully read this entire proxy statement, including its annexes.
 
You may obtain the information incorporated by reference in this proxy statement without charge by following
the instructions under the section of this proxy statement captioned “Where You Can Find More Information.”
Except as otherwise specifically noted in this proxy statement, “Aerojet Rocketdyne,” the “Company,” “we,” “our,”
“us” and similar words refer to Aerojet Rocketdyne Holdings, Inc., a Delaware corporation, including our subsidiaries
in certain cases. Throughout this proxy statement, we refer to Lockheed Martin Corporation, a Maryland corporation,
as “Lockheed Martin.”
Mentions of the “Merger Agreement” in this proxy statement refer to the Agreement and Plan of Merger dated
December 20, 2020, as it may be amended from time to time, by and among Aerojet Rocketdyne, Lockheed Martin and
Mizar Sub, Inc., a Delaware corporation and wholly owned subsidiary of Lockheed Martin that we refer to as the
“Merger Sub.” To implement the acquisition (subject to the terms of the Merger Agreement, including stockholder
approval), Merger Sub will merge with and into Aerojet Rocketdyne, with Aerojet Rocketdyne surviving as a wholly
owned subsidiary of Lockheed Martin. We refer to this as the “Merger.”
Aerojet Rocketdyne has supplied all information relating to Aerojet Rocketdyne, and Lockheed Martin has supplied,
and Aerojet Rocketdyne has not independently verified, all of the information relating to Lockheed Martin or Merger
Sub contained in this proxy statement.
The Merger Agreement is the legal document that governs the Merger and related transactions and is attached as
Annex A to this proxy statement. We encourage you to read it carefully and in its entirety before casting your vote.",9,9
"AEROJET ROCKETDYNE HOLDINGS, INC._20210205_DEFM14A_19007640_4113036.Pdf",Parties Involved in the Merger,"Parties Involved in the Merger (Page 33)
Aerojet Rocketdyne Holdings, Inc.
Aerojet Rocketdyne is primarily a technology-based engineering and manufacturing company that develops and
produces specialized power and propulsion systems, as well as armament systems. It develops and manufactures
liquid and solid rocket propulsion, air-breathing hypersonic engines, and electric power and propulsion for space,
defense, civil and commercial applications.
Aerojet Rocketdyne operates as a merchant supplier in the aerospace and defense industry. The Company has nearly
5,000 employees and 13 operating locations throughout the U.S.
Aerojet Rocketdyne acts as either a prime contractor, selling directly to the end user, or as a subcontractor, selling
products to prime contractors. The principal end user customers of our products and technologies are primarily
agencies of the U.S. government. Lockheed Martin is one of the Company’s largest customers. As disclosed in the
Company’s Annual Report on Form 10-K for the year ended December 31, 2019, sales to Lockheed Martin made up
approximately 33% of the Company’s 2019 net sales.
Aerojet Rocketdyne’s common stock is listed on the New York Stock Exchange (“NYSE”) under the symbol “AJRD.”
The Company is headquartered at 222 N. Pacific Coast Highway, Suite 500, El Segundo, California 90245 and its
telephone number is (310) 252-8100.
Lockheed Martin Corporation
Lockheed Martin is a global security and aerospace company principally engaged in the research, design,
development, manufacture, integration and sustainment of advanced technology systems, products and services.
Lockheed Martin also provides a broad range of management, engineering, technical, scientific, logistics, systems
integration and cybersecurity services. Lockheed Martin serves both U.S. and international customers with
4TABLE OF CONTENTS
products and services that have defense, civil and commercial applications, with Lockheed Martin’s principal
customers being agencies of the U.S. Government. Lockheed Martin’s main areas of focus are in defense, space,
intelligence, homeland security and information technology, including cybersecurity.
Lockheed Martin is one of Aerojet Rocketdyne’s largest customers.
Lockheed Martin employs approximately 114,000 employees worldwide.
Lockheed Martin’s common stock is listed on the NYSE under the symbol “LMT.” Lockheed Martin is headquartered
at 6801 Rockledge Drive, Bethesda, Maryland 20817 and its telephone number is (301) 897-6000.
Mizar Sub, Inc.
Mizar Sub, Inc., or “Merger Sub,” is a wholly owned direct subsidiary of Lockheed Martin formed on December 17,
2020, solely for the purpose of engaging in the transactions contemplated by the Merger Agreement. Merger Sub has
not otherwise engaged in any business activities.
Merger Sub is headquartered at 6801 Rockledge Drive, Bethesda, Maryland 20817 and its telephone number is (301)
897-6000.
The Merger and Merger Consideration (Page 97)",9,10
"AEROJET ROCKETDYNE HOLDINGS, INC._20210205_DEFM14A_19007640_4113036.Pdf",The Merger and Merger Consideration,"The Merger and Merger Consideration (Page 97)
Upon the terms and subject to the conditions of the Merger Agreement, if the Merger is completed, Merger Sub will
merge with and into Aerojet Rocketdyne, and Aerojet Rocketdyne will continue as the surviving corporation and as a
wholly owned subsidiary of Lockheed Martin (the “Surviving Corporation”). As a result of the Merger, Aerojet
Rocketdyne will cease to be a publicly traded company and all outstanding shares of Aerojet Rocketdyne common
stock will be canceled and converted into the right to receive $56.00 per share in cash, without interest and less, to
the extent paid or payable as discussed further in this proxy statement, the $5.00 per share amount of the Pre-Closing
Dividend (defined below), which we refer to as the “Price Per Share” or “Merger Consideration,” except for (i) any
shares held by Aerojet Rocketdyne or any wholly owned subsidiary of Aerojet Rocketdyne (or held in Aerojet
Rocketdyne’s treasury), including shares of common stock reserved for issuance under any of our equity and
performance incentive plans or Aerojet Rocketdyne’s Amended and Restated 2013 Employee Stock Purchase Plan
(the “ESPP”), but not including any shares of common stock held by any of our employee and performance incentive
plans or trusts related thereto, (ii) any shares held, directly or indirectly, by Lockheed Martin or Merger Sub, and (iii)
any shares owned by stockholders who are entitled to and who properly exercise appraisal rights under the DGCL.
You will not own any shares of the capital stock of the Surviving Corporation upon the consummation of the Merger.
After the Merger is completed, you will have the right to receive the Merger Consideration, but you will no longer
have any rights as a stockholder of Aerojet Rocketdyne (except that stockholders who properly exercise their
appraisal rights will have the right to receive a payment for the “fair value” of their shares as determined pursuant to
an appraisal proceeding as contemplated by Delaware law, as described below in the section of this proxy statement
captioned “The Merger - Appraisal Rights”).
The Merger Agreement provides that, promptly after the effective time of the Merger, a designated paying agent will
send each holder of record of a certificate representing shares of Aerojet Rocketdyne common stock or of
uncertificated shares of Aerojet Rocketdyne common stock immediately prior to the effective time of the Merger a
customary letter of transmittal and instructions advising such holder as to how to surrender or transfer such shares
of common stock in exchange for the Merger Consideration. The paying agent will promptly pay such holders the
Merger Consideration upon (i) the surrender of a certificate representing shares of common stock to the paying agent
(or compliance with the reasonable procedures established by the paying agent for transfer of uncertificated shares)
and (ii) delivery of a properly completed letter of transmittal and any other documents reasonably required by the
paying agent or Lockheed Martin. Interest will not be paid or accrue in respect of cash payments. The amount of any
cash payments paid to you will be reduced by any applicable withholding taxes.
You should not surrender your shares of Aerojet Rocketdyne common stock without a letter of transmittal.
See the section of this proxy statement captioned “The Merger Agreement - Payment for the Shares.”
5TABLE OF CONTENTS
Pre-Closing Cash Dividend (Page 35)",10,11
"AEROJET ROCKETDYNE HOLDINGS, INC._20210205_DEFM14A_19007640_4113036.Pdf",Pre-Closing Cash Dividend,"Pre-Closing Cash Dividend (Page 35)
On December 19, 2020, the Company’s board of directors declared a one-time cash dividend of $5.00 per share of our
common stock (the “Pre-Closing Dividend”). The Pre-Closing Dividend is payable on March 24, 2021 (the “Dividend
Payment Date”) to each stockholder of record of our common stock as of the close of business on March 10, 2021
(the “Pre-Closing Dividend Record Date”). The Merger Agreement provides that if the Merger closing date occurs
after the Pre-Closing Dividend Record Date but before the Dividend Payment Date, which we do not expect to be the
case, the Surviving Corporation shall pay, and Lockheed Martin will cause the Surviving Corporation to pay, the Pre-
Closing Dividend to each stockholder of record of our common stock as of the Pre-Closing Dividend Record Date.",11,11
"AEROJET ROCKETDYNE HOLDINGS, INC._20210205_DEFM14A_19007640_4113036.Pdf",Treatment of Equity Awards,"Treatment of Equity Awards (Page 98)
At the effective time of the Merger, each outstanding unvested share of Aerojet Rocketdyne restricted common stock
will (i) automatically become fully vested (and for shares subject to performance vesting criteria, based on deemed
achievement of maximum performance) and (ii) be automatically converted into the right to receive cash in an amount
equal to the Price Per Share, plus, to the extent paid or payable to holders of our common stock and payable but
unpaid on such share of restricted common stock, the amount per share of the Pre-Closing Dividend, less applicable
taxes or other withholdings.
At the effective time of the Merger, each outstanding option and stock appreciation right (“SAR”) with respect to
shares of our common stock that have an exercise price or grant price that is less than the Price Per Share will be
automatically canceled and converted into the right to receive, upon delivery of a notice and acknowledgment, cash
in an amount equal to the total number of shares subject to the award multiplied by the excess of the Price Per Share
over the per share exercise or grant price (as applicable), less applicable taxes and other withholdings. Each
outstanding option and SAR with exercise or grant prices equal to or greater than the Price Per Share will be canceled
for no consideration at the effective time of the Merger.
At the effective time of the Merger, each outstanding unvested restricted stock unit (“RSU”) with respect to shares
of Aerojet Rocketdyne common stock, to the extent granted prior to the execution of the Merger Agreement, will be
automatically canceled and converted into the right to receive cash in an amount equal to the total number of shares
subject to the award (for units subject to performance vesting criteria, based on deemed achievement of maximum
performance) multiplied by the sum of the Price Per Share, plus, to the extent paid or payable to holders of our
common stock and payable but unpaid on such restricted stock units, the amount per share of the Pre-Closing
Dividend, less applicable taxes or other withholdings.
At the effective time of the Merger, each outstanding unvested restricted stock unit with respect to shares of Aerojet
Rocketdyne common stock that was granted on or after the date of the execution of the Merger Agreement will be
automatically canceled. With respect to each cancelled restricted stock unit, (i) for individuals who remain employed
by Lockheed Martin or its affiliates as of the grant date of the Lockheed Martin restricted stock units contemplated
hereby (which grant date shall be within 30 days of the effective date of the Merger), Lockheed Martin will grant a
replacement award of Lockheed Martin restricted stock units with respect to a number of shares of Lockheed Martin
stock equal to the total number of shares subject to the award (for units subject to performance vesting criteria,
based on deemed achievement of maximum performance) multiplied by the Equity Award Exchange Ratio (as defined
in the Merger Agreement) or (ii) for individuals who do not remain employed by Lockheed Martin or its affiliates as of
such date, Lockheed Martin will pay an amount in cash equal to the total number of shares subject to the canceled
award (for units subject to performance vesting criteria, based on deemed achievement of maximum performance)
multiplied by the sum of the Price Per Share, plus, to the extent paid to holders of our common stock and payable but
unpaid on such restricted stock units, the amount per share of the Pre-Closing Dividend, less applicable withholding
taxes.
In connection with the payment of the Pre-Closing Dividend, Aerojet Rocketdyne will (i) accrue dividends payable
with respect to restricted shares of common stock; (ii) reduce the exercise price with respect to options to purchase
common stock; (iii) reduce the grant price with respect to SARs; and (iv) accrue dividend equivalents payable with
respect to RSUs, in each case that are issued and outstanding as of the Pre-Closing Dividend Record Date, and in an
amount equal to the per-share amount of the Pre-Closing Dividend.
6TABLE OF CONTENTS
Conditions to the Merger (Page 116)",11,12
"AEROJET ROCKETDYNE HOLDINGS, INC._20210205_DEFM14A_19007640_4113036.Pdf",Conditions to the Merger,"Conditions to the Merger (Page 116)
Each party’s obligation to consummate the Merger is subject to the satisfaction or waiver of the following conditions
at or prior to the effective time of the Merger:
•
the Merger Agreement shall have been adopted by the holders of at least a majority of our outstanding
common stock, which we refer to as the “Required Company Stockholder Vote”;
•
any applicable waiting period (and extension thereof) under the Hart-Scott-Rodino Antitrust Improvements
Act of 1976, as amended (the “HSR Act”), shall have expired or been terminated; and
•
no order, injunction, ruling or other legal restraint or prohibition will prevent the consummation of the
Merger or make the consummation of the Merger illegal.
In addition, the obligations of Lockheed Martin and Merger Sub to effect the Merger are subject to the satisfaction or
waiver of the following conditions:
•
Aerojet Rocketdyne’s representations and warranties in the Merger Agreement regarding the absence of a
Material Adverse Effect (as defined in the Merger Agreement) and certain actions by the Company’s board
of directors regarding the Pre-Closing Dividend will be accurate in all respects as of the date of the Merger
Agreement;
•
Aerojet Rocketdyne’s representations and warranties in the Merger Agreement regarding the necessary
stockholder vote required to approve the Merger and certain other representations and warranties
regarding the Pre-Closing Dividend will be accurate in all respects as of the date of the Merger Agreement
and as of the closing date as if made on such date;
•
certain of Aerojet Rocketdyne’s representations and warranties in the Merger Agreement regarding Aerojet
Rocketdyne’s capitalization will be accurate in all respects (disregarding any updates or modifications to
the Disclosure Schedule made on or after the date of the Merger Agreement) as of the date of the Merger
Agreement and as of the closing date as if made on such date (except to the extent such representations
and warranties expressly relate to an earlier date, in which case as of such earlier date), except for
inaccuracies in such representations and warranties that are de minimis in nature;
•
Aerojet Rocketdyne’s representations and warranties in the Merger Agreement regarding the Company’s
authority to enter into the Merger Agreement and consummate the Merger, the binding nature of the
Merger Agreement and advisors’ fees will be accurate in all material respects (disregarding all materiality
qualifications contained in such representations and warranties and any updates or modifications to the
Disclosure Schedule made on or after the date of the Merger Agreement) as of the date of the Merger
Agreement and as of the closing date as if made on such date (except to the extent such representations
and warranties expressly relate to an earlier date, in which case as of such earlier date);
•
each of the remaining representations and warranties of Aerojet Rocketdyne set forth in the Merger
Agreement will be accurate in all respects (disregarding all materiality qualifications contained in such
representations and warranties and any updates or modifications to the Disclosure Schedule made on or
after the date of the Merger Agreement) as of the date of the Merger Agreement and as of the closing date
as if made on such date (except to the extent such representations and warranties expressly relate to an
earlier date, in which case as of such earlier date), except for any inaccuracies (individually or in the
aggregate) which have not had, and would not reasonably be expected to have, a Material Adverse Effect;
•
Aerojet Rocketdyne will have performed in all material respects all obligations required by the Merger
Agreement to be performed by Aerojet Rocketdyne at or prior to the closing date of the Merger;
•
since the date of the Merger Agreement, there will not have occurred and be continuing any Material
Adverse Effect; and
•
Lockheed Martin will have received a certificate of the Company signed by its Chief Executive Officer and
Chief Financial Officer certifying that the foregoing conditions to Lockheed Martin’s and Merger Sub’s
obligations to complete the Merger have been satisfied.
7TABLE OF CONTENTS
In addition, Aerojet Rocketdyne’s obligations to effect the Merger are subject to the satisfaction or waiver of the
following conditions:
•
Lockheed Martin’s and Merger Sub’s representations and warranties in the Merger Agreement regarding
Lockheed Martin’s and Merger Sub’s corporate power and authority to perform their obligations under the
Merger Agreement and the binding nature of the Merger Agreement will be accurate in all material respects
as of the closing date as if made on such date;
•
each of the remaining representations and warranties of Lockheed Martin and Merger Sub in the Merger
Agreement will be accurate in all respects (disregarding all materiality qualifications contained in such
representations and warranties) as of the date of the Merger Agreement and as of the closing date as if
made on such date, except for any inaccuracies (individually or in the aggregate) which have not had, and
would not reasonably be expected to have, a material adverse effect on the ability of Lockheed Martin and
Merger Sub to consummate the Merger;
•
Lockheed Martin and Merger Sub must have performed in all material respects all obligations required by
the Merger Agreement to be performed by them at or prior to the closing of the Merger; and
•
Aerojet Rocketdyne will have received a certificate executed by an officer of Lockheed Martin confirming
that the foregoing conditions to the Company’s obligations to complete the Merger have been satisfied.",12,13
"AEROJET ROCKETDYNE HOLDINGS, INC._20210205_DEFM14A_19007640_4113036.Pdf",Recommendation of the Board of Directors,"Recommendation of the Board of Directors (Page 52)
After considering various factors described in the section of this proxy statement captioned “The Merger -
Recommendation of the Board of Directors and Reasons for the Merger,” Aerojet Rocketdyne’s board of directors
unanimously: (1) determined that the Merger is advisable and fair to and in the best interests of the Company and its
stockholders; (2) approved the Merger Agreement and approved the Merger, in accordance with the requirements of
the DGCL; (3) directed that the Merger Agreement be submitted to the stockholders of Aerojet Rocketdyne for
adoption; and (4) recommends that Aerojet Rocketdyne stockholders vote in favor of the adoption of the Merger
Agreement. The Company’s board of directors unanimously recommends that you vote: (1) “FOR” the adoption of
the Merger Agreement and the transactions contemplated thereby (the “Board Recommendation”); (2) “FOR” the
adjournment of the Special Meeting, if necessary or appropriate, to solicit additional proxies if there are insufficient
votes to adopt the Merger Agreement and the transactions contemplated thereby at the time of the Special Meeting;
and (3) “FOR” the proposal to approve, by non-binding, advisory vote, certain compensation that will or may become
payable to Aerojet Rocketdyne’s named executive officers in connection with the Merger.
Opinion of Citigroup Global Markets Inc. (Page 57)",13,13
"AEROJET ROCKETDYNE HOLDINGS, INC._20210205_DEFM14A_19007640_4113036.Pdf",Opinion of Citigroup Global Markets Inc.,"Opinion of Citigroup Global Markets Inc. (Page 57)
Aerojet Rocketdyne retained Citigroup Global Markets Inc. (“Citi”) to provide financial advisory services in
connection with a possible transaction involving Aerojet Rocketdyne. In connection with Citi’s engagement, Aerojet
Rocketdyne’s board of directors requested that Citi evaluate the fairness, from a financial point of view, to the holders
of shares of Aerojet Rocketdyne common stock of the merger consideration to be received in the proposed Merger
by such holders pursuant to the terms and subject to the conditions set forth in the Merger Agreement. On
December 19, 2020, at a meeting of the Aerojet Rocketdyne board of directors held to evaluate the proposed Merger,
Citi rendered to the Aerojet Rocketdyne board of directors an oral opinion, subsequently confirmed by delivery of a
written opinion, dated December 19, 2020, to the effect that, as of the date of Citi’s written opinion and based on and
subject to various assumptions made, procedures followed, matters considered and limitations and qualifications on
the review undertaken by Citi as set forth in its written opinion, the merger consideration of $56.00 per share minus, to
the extent paid, the amount per share of the Pre-Closing Dividend (as defined in the section of this proxy statement
captioned “The Merger - Pre-Closing Cash Dividend”), was fair, from a financial point of view, to the holders of
shares of Aerojet Rocketdyne common stock.
The full text of Citi’s written opinion, dated December 19, 2020, to the Aerojet Rocketdyne board of directors, which
sets forth, among other things, the assumptions made, procedures followed, matters considered and limitations and
qualifications on the review undertaken by Citi in rendering its opinion, is attached to this proxy statement as Annex
B and is incorporated herein by reference in its entirety. The summary of Citi’s opinion in the section of this proxy
statement captioned “The Merger - Opinion of Citigroup Global Markets Inc.”
8TABLE OF CONTENTS
beginning on page 57 is qualified in its entirety by reference to the full text of Citi’s opinion. Citi’s opinion was
rendered to the Aerojet Rocketdyne board of directors (in its capacity as such) in connection with its evaluation of
the proposed Merger and was limited to the fairness, from a financial point of view, as of the date of the opinion, to
the holders of shares of Aerojet Rocketdyne common stock of the merger consideration of $56.00 per share minus,
to the extent paid, the amount per share of the Pre-Closing Dividend. Citi’s opinion did not address any other terms,
aspects or implications of the proposed Merger or the Merger Agreement. Citi’s opinion did not address the
underlying business decision of Aerojet Rocketdyne to effect the proposed Merger, the relative merits of the
proposed Merger as compared to any alternative business strategies that might have existed for Aerojet
Rocketdyne or the effect of any other transaction in which Aerojet Rocketdyne might have engaged. Citi’s opinion
is not intended to be and does not constitute a recommendation to any stockholder as to how such stockholder
should vote or act on any matters relating to the proposed Merger or otherwise.
For more information, see the section of this proxy statement captioned “The Merger - Opinion of Citigroup Global
Markets Inc.”
Opinion of Evercore Group L.L.C. (Page 64)",13,14
"AEROJET ROCKETDYNE HOLDINGS, INC._20210205_DEFM14A_19007640_4113036.Pdf",Opinion of Evercore Group L.L.C.,"Opinion of Evercore Group L.L.C. (Page 64)
Aerojet Rocketdyne retained Evercore Group L.L.C. (“Evercore”) to provide financial advisory services in connection
with a possible transaction involving Aerojet Rocketdyne. As part of this engagement, Aerojet Rocketdyne
requested that Evercore evaluate the fairness, from a financial point of view, of the merger consideration to be
received by the holders of Aerojet Rocketdyne common stock. On December 19, 2020, at a meeting of the Aerojet
Rocketdyne board of directors held to evaluate the proposed Merger, Evercore rendered to the Aerojet Rocketdyne
board of directors its oral opinion, which was subsequently confirmed in writing, to the effect that, as of that date and
based upon and subject to the assumptions, limitations, qualifications and conditions described in Evercore’s
opinion, the merger consideration of $56.00 per share minus, to the extent paid, the amount per share of the Pre-
Closing Dividend (as defined in the section of this proxy statement captioned “The Merger - Pre-Closing Cash
Dividend”) to be received by holders of shares of Aerojet Rocketdyne common stock in the Merger was fair, from a
financial point of view, to such holders.
The full text of the written opinion of Evercore, dated December 19, 2020, which sets forth, among other things, the
procedures followed, assumptions made, matters considered and qualifications and limitations on the scope of
review undertaken in rendering its opinion, is attached as Annex C to this proxy statement and is incorporated
herein by reference. Aerojet Rocketdyne encourages you to read this opinion carefully and in its entirety.
Evercore’s opinion was addressed to, and provided for the information and benefit of, the Aerojet Rocketdyne board
of directors (in its capacity as such) in connection with its evaluation of the proposed Merger. The opinion does not
constitute a recommendation to the Aerojet Rocketdyne board of directors or to any other persons in respect of the
Merger, including as to how any holder of shares of Aerojet Rocketdyne common stock should vote or act in respect
of the Merger. Evercore’s opinion does not address the relative merits of the Merger as compared to other business
or financial strategies that might be available to Aerojet Rocketdyne, nor does it address the underlying business
decision of Aerojet Rocketdyne to engage in the Merger.
For more information, see the section in this proxy statement captioned “The Merger - Opinion of Evercore Group
L.L.C.”
Interests of Aerojet Rocketdyne’s Directors and Executive Officers in the Merger (Page 79)",14,14
"AEROJET ROCKETDYNE HOLDINGS, INC._20210205_DEFM14A_19007640_4113036.Pdf",Interests of Aerojet Rocketdyne’s Directors and Executive Officers in the Merger,"Interests of Aerojet Rocketdyne’s Directors and Executive Officers in the Merger (Page 79)
When considering the recommendation of Aerojet Rocketdyne’s board of directors that you vote to approve the
proposal to adopt the Merger Agreement and the transactions contemplated thereby, you should be aware that our
directors and executive officers may have interests in the Merger that are different from, or in addition to, your
interests as a stockholder. In (i) evaluating and negotiating the Merger Agreement; (ii) approving the Merger
Agreement and the Merger; and (iii) recommending that the Merger Agreement and the transactions contemplated
thereby be adopted by Aerojet Rocketdyne’s stockholders, the board of directors was aware of and considered these
interests, among other matters. These interests include the following:
•
continued indemnification and directors’ and officers’ liability insurance;
•
treatment of equity-based awards of our directors and executive officers;
9TABLE OF CONTENTS
•
payments upon termination following a change-in-control; and
•
certain golden parachute payment mitigation actions.
For more information, see “The Merger - Interests of Aerojet Rocketdyne’s Directors and Executive Officers in the
Merger.”
Appraisal Rights (Page 86)",14,15
