Document,Section Header,Section Text,Start Page,End Page
AMERICAN CAMPUS COMMUNITIES INC_20220616_DEFM14A_20169998_4477606.Pdf,SUMMARY,"SUMMARY
This summary highlights selected information from this proxy statement relating to (1) the merger of American Campus Communities, Inc. with
and into Abacus Merger Sub I LLC, and (2) the merger of Abacus Merger Sub II LLC with and into American Campus Communities Operating
Partnership LP, which we refer to as the “partnership merger.” References to the “mergers” refer to the merger and the partnership merger,
collectively. This summary may not contain all of the information about the mergers contemplated by the merger agreement that is important to
you. As a result, to understand the mergers fully and for a more complete description of the terms of the mergers, you should read carefully this
proxy statement in its entirety, including the annexes and the other documents to which we have referred you, including the merger agreement
attached as Annex A. Each item in this summary includes a page reference directing you to a more complete description of that item. This proxy
statement is first being mailed to our stockholders on or about June 16, 2022.",8,8
AMERICAN CAMPUS COMMUNITIES INC_20220616_DEFM14A_20169998_4477606.Pdf,The Parties to the Mergers,"The Parties to the Mergers (page 27)
American Campus Communities, Inc.
12700 Hill Country Blvd., Suite T-200
Austin, Texas 78738
(512) 732-1000
American Campus Communities, Inc., which we refer to as “we,” “our,” “us,” or “the Company,” commenced operations effective with the
completion of an initial public offering on August 17, 2004 and elected to be taxed as a real estate investment trust, or “REIT,” under the Internal
Revenue Code of 1986, as amended, or the “Code,” commencing with the taxable year ended December 31, 2004. We are one of the largest owners,
managers, and developers of high quality student housing properties in the United States in terms of beds owned and under management. We are a
fully integrated, self-managed, and self-administered equity REIT with expertise in the acquisition, design, financing, development, construction
management, leasing, and management of student housing properties. As of June 14, 2022, we owned 166 student housing properties containing
approximately 111,900 beds. Including our owned and third-party managed properties, our total managed portfolio consisted of 205 properties with
approximately 143,300 beds as of June 14, 2022.
American Campus Communities, Inc.’s common stock is listed on the New York Stock Exchange, which we refer to as the “NYSE,” and trades under
the symbol “ACC.”
American Campus Communities Operating Partnership LP
12700 Hill Country Blvd., Suite T-200
Austin, Texas 78738
(512) 732-1000
American Campus Communities Operating Partnership LP, which we refer to as the “Partnership,” is a Maryland limited partnership formed on July
14, 2004. As of June 14, 2022, we and our subsidiaries owned approximately 99.6% of the ownership interest in the Partnership, representing all
ownership interests in the Partnership except for 371,332 common units of limited partnership interests in the Partnership, which we refer to as
“common partnership units,” and 35,242 Series A preferred units of limited partnership interest in the Partnership, which we refer to as “preferred
partnership units,” and we refer to common partnership units and preferred partnership units, collectively, as “limited partnership units.” The
Company controls the Partnership through its 100% ownership of the sole general partner and conducts substantially all of its business through the
Partnership. As the only member of the sole general partner of the Partnership, we generally have the exclusive power under the partnership
agreement of the Partnership to manage and conduct the Partnership’s business, and our board of directors manages the Partnership and the
Company’s business and affairs.
1Table of Contents
Abacus Parent LLC
c/o Blackstone Real Estate Income Trust, Inc.
345 Park Avenue
New York, New York 10154
(212) 583-5000
Abacus Parent LLC, a Delaware limited liability company, which we refer to as “Parent,” was formed solely for the purpose of acquiring us and has
not carried on any activities to date, except for activities incidental to its formation and activities undertaken in connection with the transactions
contemplated by the merger agreement. Parent is an affiliate of each of BREIT and Blackstone Property Partners L.P. (“BPP”), which are affiliates of
Blackstone Inc., a Delaware corporation, which we refer to as “Blackstone.”
BREIT is a perpetual-life, institutional quality real estate investment platform that brings private real estate to income focused investors. BREIT
invests primarily in stabilized, income generating U.S. commercial real estate across key property types and to a lesser extent in real estate debt
investments. BREIT is externally managed by a subsidiary of Blackstone (NYSE: BX), a global leader in real estate investing. BPP is a perpetual-life,
open-ended, institutional quality real estate fund with a focus on high-quality assets in the Americas, Europe and Asia. Blackstone’s real estate
business was founded in 1991 and has approximately $298 billion in investor capital under management. Further information is available at
www.breit.com and www.blackstone.com/our-businesses/real-estate.
Abacus Merger Sub I LLC
c/o Blackstone Real Estate Income Trust, Inc.
345 Park Avenue
New York, New York 10154
(212) 583-5000
Abacus Merger Sub I LLC, a Delaware limited liability company, which we refer to as “Merger Sub I”, was formed solely for purposes of facilitating
Parent’s acquisition of us and has not carried on any activities to date, except for activities incidental to its formation and activities undertaken in
connection with the transactions contemplated by the merger agreement. Pursuant to the merger agreement, on the closing date, we will merge with
and into Merger Sub I, and Merger Sub I will continue as the surviving entity.
Abacus Merger Sub II LLC
c/o Blackstone Real Estate Income Trust, Inc.
345 Park Avenue
New York, New York 10154
(212) 583-5000
Abacus Merger Sub II LLC, a Maryland limited liability company, which we refer to as “Merger Sub II”, was formed solely for purposes of facilitating
Parent’s acquisition of us and has not carried on any activities to date, except for activities incidental to its formation and activities undertaken in
connection with the transactions contemplated by the merger agreement. Pursuant to the merger agreement, on the closing date, Merger Sub II will
merge with and into the Partnership, and the Partnership will continue as the surviving entity.
We use the term “Parent Parties” in this proxy statement to refer to Parent, Merger Sub I and Merger Sub II collectively.
2
Table of Contents
The Special Meeting (page 29)",8,10
AMERICAN CAMPUS COMMUNITIES INC_20220616_DEFM14A_20169998_4477606.Pdf,The Special Meeting,"The Special Meeting (page 29)
The Proposals
The virtual special meeting of our stockholders will be held on August 4, 2022 at 10:00 a.m., Central Time, in a virtual-only meeting format. To access
the virtual special meeting, stockholders should visit register.proxypush.com/acc. At the virtual special meeting, holders of our common stock, $0.01
par value per share, which we refer to as “common stock,” as of the record date, which was the close of business on June 14, 2022, will be asked to
consider and vote on (1) a proposal to approve the merger in accordance with the terms of the merger agreement, which proposal we refer to as the
“merger proposal,” (2) a proposal to approve, on a non-binding, advisory basis, the compensation that may be paid or become payable to our named
executive officers that is based on or otherwise relates to the mergers, which proposal we refer to as the “advisory compensation proposal,” and (3)
a proposal to approve any adjournment of the virtual special meeting for the purpose of soliciting additional proxies if there are not sufficient votes
at the virtual special meeting to approve the merger proposal, which proposal we refer to as the “adjournment proposal.” If the merger is approved
by our stockholders and completed as contemplated by the merger agreement, each share of common stock issued and outstanding immediately
prior to the merger effective time will be converted into the right to receive $65.47 in cash, without interest and less any applicable withholding taxes.
Pursuant to our bylaws, only the matters set forth in the notice of virtual special meeting may be brought before the virtual special meeting.
Record Date, Notice and Quorum
All holders of record of our common stock as of the record date, which was the close of business on June 14, 2022, are entitled to receive notice of
and attend and vote at the virtual special meeting or any postponement or adjournment of the virtual special meeting. Each holder of common stock
is entitled to one vote on each matter presented at the virtual special meeting for each share of common stock that such holder owned as of the
record date. On the record date, our outstanding voting securities consisted of 139,483,032 shares of common stock and 1,171,141 unvested
restricted stock awards entitled to be voted by employees.
The presence in person or by proxy of our stockholders entitled to cast a majority of all the votes entitled to be cast at the virtual special meeting will
constitute a quorum for purposes of the virtual special meeting. Virtual attendance at the virtual special meeting constitutes presence in person for
quorum purposes at the virtual special meeting. A quorum is necessary to transact business at the virtual special meeting. Abstentions will be
counted as shares present for the purposes of determining the presence of a quorum.
Required Vote
Completion of the mergers requires approval of the merger proposal by the affirmative vote of the holders of our common stock entitled to cast the
majority of all of the votes entitled to be cast on the matter at the virtual special meeting. Each share of common stock is entitled to one vote on each
matter to be voted on. Because the required vote for this proposal is based on the number of votes our stockholders are entitled to cast rather than
on the number of votes cast, if you fail to authorize a proxy to vote your shares or vote at the virtual special meeting (including by abstaining), or fail
to instruct your broker, bank or other nominee on how to vote, such failure will have the same effect as voting against the merger proposal.
The approval of the advisory compensation proposal and the approval of the adjournment proposal each requires the affirmative vote of a majority
of the votes cast on the proposal. Approval of these proposals is not a condition to completion of the mergers. For the purpose of each of these
proposals, if you fail to authorize a proxy to vote your shares or vote at the virtual special meeting, or fail to instruct your broker, bank or other
nominee on how to vote, it will not have any effect on the outcome of such proposals. Abstentions are not considered votes cast and therefore will
have no effect on the outcome of these proposals.
3Table of Contents
As of the record date, our directors and executive officers owned and are entitled to vote an aggregate of approximately 1,218,039 shares of our
common stock, entitling them to exercise approximately 0.9% of the total combined voting power of our common stock at the virtual special meeting.
Our directors and executive officers have informed us that they intend to vote the shares that they own in favor of the merger proposal, in favor of
the advisory compensation proposal and in favor of the adjournment proposal, although they have no obligation to do so.
Proxies; Revocation
Any of our stockholders of record entitled to vote may authorize a proxy to vote his, her or its shares of common stock by returning the enclosed
proxy card, authorizing a proxy or voting instructions by telephone or through the Internet, or by attending the virtual special meeting and voting
during the live webcast. If the shares of common stock that you own are held in “street name” by your broker, bank or other nominee, you should
instruct your broker, bank or other nominee on how to vote your shares using the instructions provided by your broker or you may attend the
virtual special meeting and vote during the live webcast.
Any proxy may be revoked at any time prior to its exercise by your delivery of a properly executed, later-dated proxy card, by authorizing your proxy
by telephone or through the Internet at a later date than your previously authorized proxy, by your filing a written revocation of your proxy with our
Secretary or by your voting at the virtual special meeting. Attendance at the virtual special meeting alone will not be sufficient to revoke a
previously authorized proxy.
If you own common stock in “street name,” you may revoke or change previously granted voting instructions by following the instructions
provided by the broker, bank or other nominee that is the registered owner of the shares or by attending and voting at the virtual special meeting.
The Mergers (page 33)",10,11
AMERICAN CAMPUS COMMUNITIES INC_20220616_DEFM14A_20169998_4477606.Pdf,The Mergers,"The Mergers (page 33)
Pursuant to the merger agreement, on the closing date, Merger Sub II will merge with and into the Partnership and the separate existence of Merger
Sub II will cease, and the Partnership will be the surviving partnership in the partnership merger. We use the term “Surviving Partnership” in this
proxy statement to refer to the Partnership following the partnership merger effective time. The Surviving Partnership will be a wholly owned
subsidiary of the Company following the partnership merger effective time.
The partnership merger will become effective upon the later of the acceptance for record of the articles of merger with respect to the partnership
merger by the State Department of Assessments and Taxation of Maryland or on such other date and time (not to exceed 30 days from the date the
articles of merger with respect to the partnership merger are accepted for record by the State Department of Assessments and Taxation of Maryland)
as may be agreed between the parties to the merger agreement and specified in the partnership articles of merger. We use the term “partnership
merger effective time” in this proxy statement to refer to the time the partnership merger becomes effective.
Immediately following the partnership merger effective time, on the closing date, we will merge with and into Merger Sub I and the separate existence
of the Company will cease, and Merger Sub I will continue as the surviving entity in the merger. We use the term “Surviving Company” in this proxy
statement to refer to Merger Sub I following the effective time of the merger. The Surviving Company will be a wholly owned subsidiary of Parent
and the Surviving Partnership will be a wholly owned subsidiary of the Surviving Company following the merger effective time.
Our merger with Merger Sub I will become effective upon the later of the acceptance for record of the articles of merger with respect to the merger by
the State Department of Assessments and Taxation of Maryland,
4Table of Contents
the filing of the certificate of merger with respect to the merger with the Secretary of State of the State of Delaware or on such other date and time
(not to exceed 30 days from the date the articles of merger with respect to the merger are accepted for record by the State Department of
Assessments and Taxation of Maryland) as may be agreed between the parties to the merger agreement and specified in the company articles of
merger and the company certificate of merger. We use the term “merger effective time” in this proxy statement to refer to the time the merger becomes
effective. Unless otherwise agreed by the parties to the merger agreement, the partnership merger effective time and the merger effective time will
occur on the closing date, with the merger effective time occurring immediately after the partnership merger effective time. We use the term
“Surviving Entities” to refer to the Surviving Company and the Surviving Partnership, collectively.
Recommendation of Our Board of Directors (page 45)",11,12
AMERICAN CAMPUS COMMUNITIES INC_20220616_DEFM14A_20169998_4477606.Pdf,Recommendation of Our Board of Directors,"Recommendation of Our Board of Directors (page 45)
Our board of directors has unanimously:
•
approved, adopted and declared advisable the merger agreement;
•
determined the merger agreement and the transactions contemplated by the merger agreement, including the mergers, to be advisable
and in the best interests of the Company and our stockholders; and
•
recommended that you vote “FOR” the merger proposal, “FOR” the advisory compensation proposal, and “FOR” the adjournment
proposal.",12,12
AMERICAN CAMPUS COMMUNITIES INC_20220616_DEFM14A_20169998_4477606.Pdf,Opinion of Our Financial Advisor,"Opinion of Our Financial Advisor (page 48 and Annex B)
In connection with the mergers, BofA Securities, Inc. (“BofA Securities”), the Company’s financial advisor, delivered to our board of directors an oral
opinion, subsequently confirmed in its written opinion, dated April 18, 2022, as to the fairness, from a financial point of view and as of the date of the
opinion, of the common stock consideration to be received by holders of our common stock. The full text of the written opinion, dated April 18,
2022, of BofA Securities, which describes, among other things, the assumptions made, procedures followed, factors considered and limitations on
the review undertaken, is attached as Annex B to this proxy statement and is incorporated by reference herein in its entirety. BofA Securities
provided its opinion to our board of directors (in its capacity as our board of directors) for the benefit and use of our board of directors in
connection with and for purposes of its evaluation of the common stock consideration from a financial point of view. BofA Securities’ opinion does
not address any other aspect of the mergers and no opinion or view was expressed as to the relative merits of the mergers in comparison to other
strategies or transactions that might be available to the Company or in which the Company might engage or as to the underlying business
decision of the Company to proceed with or effect the mergers. BofA Securities’ opinion does not constitute a recommendation to any stockholder
as to how to vote or act in connection with the transactions contemplated by the Merger Agreement or any other matter.
The Company has agreed to pay BofA Securities for its services in connection with the merger an aggregate fee that is currently estimated to be
$56.3 million, approximately $3 million of which was payable upon the delivery of BofA Securities’ opinion and the remaining portion of which is
contingent upon the consummation of the merger. The Company also has agreed to reimburse BofA Securities for its expenses incurred in
connection with BofA Securities’ engagement and to indemnify BofA Securities, any controlling person of BofA Securities and each of their
respective directors, officers, employees, agents and affiliates against specified liabilities, including liabilities under the federal securities laws.
Pursuant to its engagement letter with the Company, BofA Securities would be entitled to a transaction fee from the Company in connection with
any merger or similar acquisition transaction, irrespective of the identity of the acquirer. Such fee would generally be higher for a transaction that
provides for greater merger consideration.
5Table of Contents
Treatment of Common Stock and Compensatory Awards (page 71)",12,13
AMERICAN CAMPUS COMMUNITIES INC_20220616_DEFM14A_20169998_4477606.Pdf,Treatment of Common Stock and Compensatory Awards,"Treatment of Common Stock and Compensatory Awards (page 71)
Common Stock
The merger agreement provides that, at the merger effective time, each share of common stock, or fraction thereof, issued and outstanding as of
immediately prior to the merger effective time (other than shares of common stock held by the Company or any subsidiary of the Company, including
common stock held in the Company’s rabbi trust for the purposes of meeting Company liabilities under its deferred compensation plan, or by the
Parent Parties or any of their respective subsidiaries (collectively, “excluded common stock”)) will be automatically cancelled and converted into the
right to receive an amount in cash equal to $65.47 per share, without interest (such per share amount, the “common stock consideration”) and less
any applicable withholding taxes. Excluded common stock will be automatically retired and will cease to exist with no consideration being paid with
respect thereto in connection with, or as a consequence of, the merger.
If we declare or pay a dividend on our common stock to maintain our qualification as a REIT under the Code or to avoid or reduce the incurrence of
income or excise taxes under the Code, in each case, as permitted under the merger agreement, the common stock consideration will be decreased by
an amount equal to the per share amount of such dividend on the common stock.
Restricted Stock
The merger agreement provides that, immediately prior to the merger effective time, each outstanding share of unvested restricted stock (which we
refer to as a “restricted stock”) granted pursuant to the Company’s 2018 Incentive Award Plan (which we refer to collectively with the Company’s
2004 Incentive Award Plan and the 2010 Incentive Award Plan as the “incentive award plans”), other than each outstanding equity-based award
credited to a stock account under the Company’s deferred compensation plan and each outstanding unvested equity-based award with respect to
which a valid deferral election under the deferred compensation plan has been made (which we refer to as “deferred stock awards”), will
automatically become fully vested and all restrictions and reacquisition rights thereon will lapse, and thereafter all shares of common stock
represented thereby will be considered outstanding for all purposes under the merger agreement and will have the right to receive the common stock
consideration, less any applicable withholding taxes.
Deferred Stock Awards
The merger agreement provides that all deferred stock awards will, as of immediately before the merger effective time, become vested and no longer
subject to restriction, and all deferred stock awards will, at the merger effective time, be adjusted and converted into a right of the holder to have
allocated to the holder’s account under the deferred compensation plan an amount denominated in cash equal to the product of (1) the number of
shares of common stock allocated to such account as of the merger effective time and (2) the merger consideration, and will no longer represent a
right to receive a number of shares of common stock.
Treatment of Interests in the Partnership (page 71)",13,13
AMERICAN CAMPUS COMMUNITIES INC_20220616_DEFM14A_20169998_4477606.Pdf,Treatment of Interests in the Partnership,"Treatment of Interests in the Partnership (page 71)
The merger agreement provides that, at the partnership merger effective time, each limited partnership unit, or fraction thereof, issued and
outstanding as of immediately prior to the partnership merger effective time (other than common partnership units held by the Company or any
wholly owned subsidiary of the Company or by Parent, Merger Sub II or any of their respective wholly owned subsidiaries (collectively, “excluded
common partnership units”)) will be automatically cancelled and converted into the right to receive an amount in cash equal to the common stock
consideration, without interest (such per unit amount, the “partnership unit consideration”) and less any applicable withholding taxes. Limited
partnership units and general partnership interests in the Partnership, in each case, held by the Company or any wholly owned subsidiary of the
Company will be unaffected by the partnership merger and will remain outstanding as partnership units of the Surviving
6Table of Contents
Partnership held by the Company or the relevant wholly owned subsidiary. Limited partnership units held by Parent, Merger Sub II or any of their
respective wholly owned subsidiaries will be automatically cancelled and will cease to exist with no consideration being paid with respect thereto in
connection with, or as a consequence of, the partnership merger.
As discussed above, if we declare or pay a dividend on our common stock to maintain our qualification as a REIT under the Code, or to avoid or
reduce the incurrence of income or excise taxes under the Code, in each case, as permitted under the merger agreement, the partnership unit
consideration will be decreased by an amount equal to the per share amount of such dividend on the common stock.
This proxy statement does not constitute any solicitation of consents in respect of the partnership merger, and does not constitute an offer to
exchange the limited partnership units.
Financing (page 56)",13,14
AMERICAN CAMPUS COMMUNITIES INC_20220616_DEFM14A_20169998_4477606.Pdf,Financing,"Financing (page 56)
In connection with the closing of the mergers, Parent will cause an aggregate of approximately $9.2 billion to be paid to the holders of our common
stock, restricted stock, deferred stock awards and limited partnership units. Prior to the closing of the mergers, we expect to repay at maturity our
$200 million term loan. Parent has informed us that in connection with the closing of the mergers, Parent expects to cause our outstanding
indebtedness under our revolving credit facility, if any, to be repaid in full. Parent has also informed us that it expects our mortgage loans and senior
unsecured notes to be repaid or remain outstanding. As of March 31, 2022, we had no indebtedness outstanding under our revolving credit facility,
$200 million in term loan financing outstanding, approximately $535.4 million in mortgage loans and project-based taxable bonds outstanding
(including a $330 million mortgage loan made to wholly owned subsidiaries of a joint venture in which we own a 55% interest) and $2.8 billion in
senior unsecured notes outstanding.
Parent has informed us that it has received, in connection with the mergers, a debt commitment letter from Wells Fargo Bank, National Association,
JPMorgan Chase Bank, N.A., Citigroup Global Markets, Inc., Goldman Sachs Bank USA and Morgan Stanley Bank, N.A., providing for debt
financing through two balance sheet loans in an aggregate amount of up to approximately $2.1 billion and that it currently intends to pursue
additional debt financing in connection with the mergers. In addition, it is expected that BREIT Operating Partnership, L.P., a Delaware limited
partnership (the “Sponsor”), which is the operating partnership of BREIT, and its affiliates will contribute equity to Parent for the purpose of funding
the acquisition costs (including the merger consideration) that are not covered by such debt financing.
Parent has informed us that in addition to the payment of the merger consideration, the funds to be obtained from the debt and equity financing may
be used for purposes such as reserves, paying carrying costs with respect to the properties, funding working capital requirements, and for other
costs and expenses related to the financing and the mergers. Parent has informed us that it currently believes that the funds to be borrowed under
the debt financing would be secured by, among other things, a mortgage lien on certain properties which are wholly owned and/or ground leased by
us, certain escrows and reserves and such other pledges and security required by the lenders to secure and perfect their interests in the applicable
collateral, and that such debt financing would be conditioned on the mergers being completed and other customary conditions for similar financings.
The merger agreement does not contain a financing condition or a “market MAC” condition to the closing of the mergers. For more information, see
“The Merger Agreement—Financing Cooperation” and “The Merger Agreement—Conditions to the Mergers.”",14,14
AMERICAN CAMPUS COMMUNITIES INC_20220616_DEFM14A_20169998_4477606.Pdf,Interests of Our Directors and Executive Officers in the Mergers,"Interests of Our Directors and Executive Officers in the Mergers (page 56)
Our directors and executive officers have certain interests in the mergers that are different from, or in addition to, those of our stockholders
generally. See “The Mergers—Interests of Our Directors and Executive
7Table of Contents
Officers in the Mergers” for information about interests that our directors and executive officers have in the mergers that are different than yours.
No Solicitation of Competing Proposals (page 84)",14,15
