Document,Section Header,Section Text,Start Page,End Page
ARENA PHARMACEUTICALS INC_20220103_DEFM14A_19751337_4360734.Pdf,SUMMARY,"SUMMARY
This summary highlights selected information from this proxy statement related to the merger of Antioch Merger
Sub, Inc., a wholly owned subsidiary of Pfizer Inc. with and into Arena Pharmaceuticals, Inc. (the “Merger”), and
may not contain all of the information that is important to you. To understand the Merger more fully and for a more
complete description of the legal terms of the Merger, you should carefully read and consider this entire proxy
statement and the annexes to this proxy statement, including, but not limited to, the Merger Agreement (as defined
below), along with all of the documents to which we refer in this proxy statement, as they contain important
information about, among other things, the Merger and how it affects you. You may obtain the information
incorporated by reference in this proxy statement without charge by following the instructions under the caption,
“Where You Can Find More Information.” The Merger Agreement is attached as Annex A to this proxy statement.
You should carefully read and consider the entire Merger Agreement, which is the legal document that governs the
Merger.
Except as otherwise specifically noted in this proxy statement, “Arena,” “we,” “our,” “us” and similar words refer
to Arena Pharmaceuticals, Inc., including, in certain cases, our subsidiaries. Throughout this proxy statement, we
refer to Pfizer Inc. as “Pfizer” and Antioch Merger Sub, Inc. as “Merger Sub.” In addition, throughout this proxy
statement we refer to the Agreement and Plan of Merger, dated December 12, 2021, by and among Arena, Pfizer and
Merger Sub, as the “Merger Agreement,” our common stock, par value $0.0001 per share, as “common stock” and
the holders of our common stock as “stockholders.”",10,10
ARENA PHARMACEUTICALS INC_20220103_DEFM14A_19751337_4360734.Pdf,The Special Meeting,"The Special Meeting
Date, Time, Place and Purpose of the Special Meeting
A special meeting of stockholders to consider and vote on the proposal to adopt the Merger Agreement will be held
virtually on February 2, 2022, at 9:00 a.m. Pacific Time at www.virtualshareholdermeeting.com/ARNA2022SM (the
“Special Meeting”).
At the Special Meeting, stockholders of record as of the close of business on December 30, 2021 (the “Record Date”)
will be asked to consider and vote on:
•
a proposal to adopt the Merger Agreement;
•
a proposal to approve, on an advisory (non-binding) basis, the compensation that may be paid or become
payable to Arena’s named executive officers that is based on or otherwise relates to the Merger Agreement
and the transactions contemplated by the Merger Agreement (the “Compensation Proposal”); and
•
a proposal to adjourn the Special Meeting to a later date or dates, if necessary or appropriate, to solicit
additional proxies to approve the proposal to adopt the Merger Agreement if there are insufficient votes to
adopt the Merger Agreement at the time of the Special Meeting (the “Adjournment Proposal”).
We do not expect that any matters other than the proposals set forth above will be brought before the Special
Meeting, and only matters specified in the notice of the meeting may be acted upon at the Special Meeting.
Record Date; Shares Entitled to Vote; Quorum
You are entitled to receive notice of, and vote at, the Special Meeting if you owned shares of common stock at the
close of business on the Record Date. Each holder of common stock shall be entitled to one (1) vote for each such
share of common stock owned at the close of business on the Record Date on all matters properly coming before the
Special Meeting. As of the Record Date, there were 61,564,122 shares of common stock outstanding and entitled to
vote at the Special Meeting. A quorum is necessary to adopt the Merger Agreement and approve the Compensation
Proposal. A quorum is the minimum number of shares required to be present at the Special Meeting for the meeting to
be properly held under our bylaws and Delaware law. The holders of a majority of the common stock that are issued
and outstanding as of the close of business on the Record Date, present virtually or represented by proxy, will
constitute a quorum at the Special Meeting. Your shares of common stock will be counted towards the quorum only if
you submit a valid proxy (or one is submitted on your behalf by your broker, bank or other nominee), if you vote at
the meeting or if you attend the Special Meeting but abstain from voting. The Special Meeting may be adjourned
whether or not a quorum is present.
 
1TABLE OF CONTENTS
Vote Required; Abstentions and Broker Non-Votes",10,11
ARENA PHARMACEUTICALS INC_20220103_DEFM14A_19751337_4360734.Pdf,Vote Required; Abstentions and Broker Non-Votes,"Vote Required; Abstentions and Broker Non-Votes
The affirmative vote of the holders of a majority of the shares of common stock that are issued and outstanding as of
the close of business on the Record Date is required to adopt the Merger Agreement. Because the required vote for
the proposal to adopt the Merger Agreement is based on the number of votes our stockholders are entitled to cast
rather than on the number of votes actually cast, if you fail to authorize a proxy or vote online at the meeting, abstain
from voting at the meeting, or fail to instruct your broker on how to vote, such failure will have the same effect as
votes cast “AGAINST” the merger proposal. As of December 30, 2021, the Record Date for the Special Meeting,
30,782,062 shares constitute a majority of the issued and outstanding shares of common stock.
Approval of the Compensation Proposal and the Adjournment Proposal each require the affirmative vote of a
majority of the voting power of the shares present virtually or represented by proxy at the Special Meeting and
entitled to vote on the subject matter. The approval of the Compensation Proposal is advisory (non-binding) and is
not a condition to the completion of the Merger.
An abstention represents a stockholder’s affirmative choice to decline to vote on a proposal. If a stockholder
abstains from voting, that abstention will have the same effect as if the stockholder voted “AGAINST” the proposal
to adopt the Merger. Abstentions will have no effect on the outcome of the Compensation Proposal or the
Adjournment Proposal but will be used to determine whether a quorum is present at the Special Meeting. As a result,
an abstention of any of the aforementioned proposals will be counted for purposes of determining the presence or
absence of a quorum, but will only count as a vote “AGAINST” the proposal to adopt the Merger.
Each “broker non-vote” will also count as a vote “AGAINST” the proposal to adopt the Merger Agreement, but will
have no effect on the Compensation Proposal or the Adjournment Proposal. A “broker non-vote” generally occurs
when a bank, broker or other nominee holding shares on your behalf does not vote on a proposal because the bank,
broker or other nominee has not received your voting instructions and lacks discretionary power to vote the shares.
“Broker non-votes,” if any, will be counted for the purpose of determining whether a quorum is present. However,
because none of the proposals to be voted on at the Special Meeting are routine matters for which brokers may have
discretionary authority to vote, Arena does not expect any broker non-votes at the Special Meeting. As such, if you
fail to instruct your broker, bank or other nominee how to vote your shares, your shares will not be counted towards
a quorum at the Special Meeting.",11,11
ARENA PHARMACEUTICALS INC_20220103_DEFM14A_19751337_4360734.Pdf,Shares Held by Arena’s Directors and Executive Officers,"Shares Held by Arena’s Directors and Executive Officers
As of the Record Date, our directors and executive officers beneficially owned and were entitled to vote, in the
aggregate, 107,992 shares of common stock, representing approximately 0.18% of the shares of common stock
outstanding on the Record Date (and approximately 2.98% of the shares of common stock outstanding when taking
into account Arena Options, Arena RSUs and Arena PRSUs held, in the aggregate, by our directors and executive
officers).
Our directors and executive officers have informed us that they currently intend to vote all of their respective shares
of common stock (i) “FOR” the adoption of the Merger Agreement, (ii) “FOR” the approval, on an advisory (non-
binding) basis, of the Compensation Proposal, and (iii) “FOR” the approval of the approval of the Adjournment
Proposal.
The Merger",11,11
ARENA PHARMACEUTICALS INC_20220103_DEFM14A_19751337_4360734.Pdf,The Merger,"The Merger
Parties Involved in the Merger",11,11
ARENA PHARMACEUTICALS INC_20220103_DEFM14A_19751337_4360734.Pdf,Parties Involved in the Merger,"Parties Involved in the Merger
Arena Pharmaceuticals, Inc.
Arena is a team with a singular purpose - deliver important medicines to patients. In a rapidly changing global market,
Arena works with a sense of urgency every day to understand the needs of all its stakeholders, identify bold,
sometimes disruptive, ideas to get medicines to patients, and relentlessly execute until it’s done. Arena’s common
stock is listed on The Nasdaq Global Select Market (“Nasdaq”) under the symbol “ARNA.” The principal executive
offices of Arena are located at 136 Heber Avenue, Suite 204, Park City, Utah 84060, and its telephone number is (858)
453-7200.
Pfizer Inc.
Pfizer is a research-based, global biopharmaceutical company. Pfizer applies science and its global resources to bring
therapies to people that extend and significantly improve their lives through the discovery, development,
2TABLE OF CONTENTS
manufacturing, marketing, sale and distribution of biopharmaceutical products worldwide. Pfizer works across
developed and emerging markets to advance wellness, prevention, treatments and cures that challenge the most
feared diseases of our time. Pfizer collaborates with healthcare providers, governments and local communities to
support and expand access to reliable, affordable healthcare around the world.
Pfizer was incorporated under the laws of the State of Delaware. Pfizer’s principal executive offices are located at 235
East 42nd Street, New York, NY 10017, and its telephone number is (212) 733-2323.
Antioch Merger Sub, Inc.
Merger Sub is a Delaware corporation and a wholly owned subsidiary of Pfizer and was formed on December 6, 2021,
solely for the purpose of engaging in the transactions contemplated by the Merger Agreement. Merger Sub has not
engaged in any business activities other than in connection with the transactions contemplated by the Merger
Agreement. Upon the completion of the Merger, Merger Sub will cease to exist and Arena will continue as the
surviving corporation and a wholly owned subsidiary of Pfizer (the “Surviving Corporation”). The principal executive
offices of Merger Sub are located at 235 East 42nd Street, New York, New York 10017, and its telephone number is
(212) 733-2323.",11,12
ARENA PHARMACEUTICALS INC_20220103_DEFM14A_19751337_4360734.Pdf,Effect of the Merger,"Effect of the Merger
Upon the terms and subject to the conditions of the Merger Agreement, Merger Sub will merge with and into Arena,
with Arena continuing as the surviving corporation and a wholly owned subsidiary of Pfizer. As a result of the
Merger, Arena’s common stock will no longer be publicly traded, and will be delisted from Nasdaq. In addition,
Arena’s common stock will be deregistered under the Securities Exchange Act of 1934, as amended (the “Exchange
Act”), and Arena will no longer file periodic reports with the United States Securities and Exchange Commission (the
“SEC”). If the Merger is completed, you will not own any shares of the capital stock of the Surviving Corporation.
The time at which the Merger will become effective (the “Effective Time”) will occur upon the filing of a certificate of
merger with the Secretary of State of the State of Delaware (or at such later time as we, Pfizer and Merger Sub may
agree in writing and specify in the certificate of merger).",12,12
ARENA PHARMACEUTICALS INC_20220103_DEFM14A_19751337_4360734.Pdf,Effect on Arena if the Merger is Not Completed,"Effect on Arena if the Merger is Not Completed
If the Merger Agreement is not adopted by stockholders, or if the Merger is not completed for any other reason:
(i)
the stockholders will not be entitled to, nor will they receive, any payment for their respective shares of
common stock pursuant to the Merger Agreement;
(ii)
(A) Arena will remain an independent public company, (B) Arena’s common stock will continue to be listed
and traded on Nasdaq and registered under the Exchange Act, and (C) Arena will continue to file periodic
reports with the SEC; and
(iii) under certain specified circumstances, Arena will be required to pay Pfizer a termination fee of $235,000,000
(the “Arena Termination Fee”) upon or following the termination of the Merger Agreement. For more
information, please see the section of this proxy statement captioned “Proposal 1: Adoption of the Merger
Agreement-Effect of Termination; Termination Fees.”
Merger Consideration",12,12
ARENA PHARMACEUTICALS INC_20220103_DEFM14A_19751337_4360734.Pdf,Merger Consideration,"Merger Consideration
Arena Common Stock
At the Effective Time, and without any further action on the part of the parties or any stockholder, each share of
common stock then outstanding immediately prior to the Effective Time (other than (i) common stock owned by
Arena as treasury stock, (ii) common stock owned by Pfizer or Merger Sub and (iii) any common stock outstanding
immediately prior to the Effective Time, and held by holders who are entitled to demand appraisal rights under Section
262 of the General Corporation Law of the State of Delaware (the “DGCL”) and have properly exercised and perfected
their respective demands for appraisal of such shares in the time and manner provided in Section 262 of the DGCL
and, as of the Effective Time, have neither effectively withdrawn nor lost their rights to such appraisal and payment
under the DGCL (the “Dissenting Shares”)) will be cancelled and cease to exist and automatically converted into the
right to receive cash in an amount equal to $100.00, without interest (the “Merger Consideration”), subject to any
withholding of taxes.
3TABLE OF CONTENTS
At or promptly after the Effective Time, Pfizer will cause to be deposited, sufficient funds to pay the Merger
Consideration with Computershare Trust Company, N.A. (the “Paying Agent”) for payment of each share of common
stock owned by each stockholder. For more information, please see the section of this proxy statement captioned
“Proposal 1: Adoption of the Merger Agreement-Exchange and Payment Procedures.”
After the Merger is completed, you will have the right to receive the Merger Consideration, but you will no longer
have any rights as a stockholder. Stockholders who properly exercise their appraisal rights have the right to receive
payment for the “fair value” of their shares determined pursuant to an appraisal proceeding, as contemplated by
Delaware law. For more information, please see the section of this proxy statement captioned “The Merger-Appraisal
Rights.”
Treatment of Arena Options, Arena RSUs and Arena PRSUs
Arena has granted under its 2021 Long-Term Incentive Plan or prior stock plans (collectively, the “Arena Stock
Plans”) awards of options to purchase shares of common stock (each, an “Arena Option”), restricted stock units
covering shares of common stock subject to vesting conditions based solely on continued employment or service to
Arena or any of its subsidiaries (each such restricted stock unit, an “Arena RSU”) and restricted stock units covering
shares of common stock that are subject to performance-based vesting conditions (each, an “Arena PRSU”). The
Merger Agreement provides that, at the Effective Time, subject to all required withholding taxes, each:
(i)
Arena Option granted that is outstanding as of immediately prior to the Effective Time, whether or not then
vested, will be cancelled and immediately cease to be outstanding and converted into the right to receive
an amount in cash equal to the product of (1) the excess, if any, of the Merger Consideration over the per-
share exercise price of such Arena Option, multiplied by (2) the number of shares then subject to such
Arena Option;
(ii)
Arena RSU, except as described in subclause (iii) below, subject to vesting conditions based solely on
continued employment or service to Arena or any of its subsidiaries that is unvested and outstanding as of
immediately prior to the Effective Time, will be cancelled and immediately cease to be outstanding and
converted into the right to receive an amount in cash in respect thereof equal to the Merger Consideration;
(iii) Arena RSU that is granted after December 12, 2021 (each, a “2022 Arena RSU”) that is unvested and
outstanding as of immediately prior to the Effective Time will be substituted automatically with a Pfizer
restricted stock unit with respect to that number of shares of Pfizer common stock (each, an “Adjusted
RSU”) that is equal to the product of (1) the total number of shares of common stock subject to the 2022
Arena RSU immediately prior to the Effective Time multiplied by (2) the Arena RSU Exchange Ratio (as
defined below), with any fractional shares rounded to the nearest whole share. Each Adjusted RSU will
otherwise be subject to the same terms and conditions applicable to such 2022 Arena RSU immediately
prior to the Effective Time (including vesting terms, and subject to accelerated vesting in connection with
certain qualifying terminations of employment following the Effective Time), as described in the section of
this proxy statement captioned “The Merger-Interests of Arena’s Directors and Executive Officers in the
Merger-Payments Upon Termination at or Following Change in Control”; and
(iv) Arena PRSU that is unvested and outstanding as of immediately prior to the Effective Time will be
cancelled and immediately cease to be outstanding and converted into the right to receive an amount in
cash equal to the Merger Consideration (with all the performance-based vesting conditions associated with
such Arena PRSU being deemed achieved at the greater of actual completed performance at the Effective
Time or at target).
The “Arena RSU Exchange Ratio” is equal to (i) the Merger Consideration divided by (ii) the average of the volume-
weighted average sales price per share of common stock of Pfizer on the New York Stock Exchange for the
consecutive period of fifteen (15) trading days ending on (and including) the trading day that is four (4) trading days
prior to the Effective Time. For more information, please see the section of this proxy statement captioned “Proposal
1: Adoption of the Merger Agreement-Merger Consideration-Treatment of Arena Options, Arena RSUs and Arena
PRSUs.”
Treatment of Purchase Rights under Arena’s 2019 Employee Stock Purchase Plan
The Merger Agreement generally provides that after December 12, 2021, no new offering periods will begin under
Arena’s 2019 Employee Stock Purchase Plan (the “Arena ESPP”), no Arena employee may become a new participant
in the Arena ESPP and no Arena ESPP participant may increase the percentage amount of his or her
4
TABLE OF CONTENTS
payroll deduction election. Each purchase right issued pursuant to the Arena ESPP must be fully exercised not later
than the earlier of the last day of the current purchase period of five (5) business days prior to the Effective Time, and
immediately following such purchase and contingent on closing of the Merger (the “Closing”), the Arena ESPP will
terminate effective immediately prior to the Effective Time. Two (2) of our executive officers currently participate in the
Arena ESPP and have accumulated payroll deductions under the Arena ESPP for the purchase period that
commenced on November 22, 2021. For more information, please see the section of this proxy statement captioned
“Proposal 1: Adoption of the Merger Agreement-Merger Consideration-Treatment of Purchase Rights Under the
Employee Stock Purchase Plan.”
Recommendation of the Arena Board of Directors",12,14
ARENA PHARMACEUTICALS INC_20220103_DEFM14A_19751337_4360734.Pdf,Recommendation of the Arena Board of Directors,"Recommendation of the Arena Board of Directors
After considering various factors described in this proxy statement under the caption, “The Merger-Recommendation
of the Board of Directors and Reasons for the Merger,” the Board of Directors unanimously: (i) determined that the
Merger and the transactions contemplated thereby are advisable, fair to and in the best interests of Arena and the
stockholders; (ii) approved and declared it advisable to enter into the Merger Agreement; (iii) directed that the
adoption of the Merger Agreement be submitted to a vote of the stockholders at the Special Meeting; and (iv)
subject to the terms and conditions of the Merger Agreement, resolved to recommend that the stockholders approve
the adoption of the Merger Agreement and approve the Merger on the terms and subject to the conditions set forth
therein.
The Board of Directors also unanimously recommends, on behalf of Arena, that stockholders vote: (i) “FOR” the
adoption of the Merger Agreement; (ii) “FOR” the approval, on an advisory (non-binding) basis, of the
Compensation Proposal; and (iii) “FOR” the approval of the Adjournment Proposal.
Prior to receipt of the required stockholder approval, under certain specified circumstances, the Board of Directors
may withdraw or change the foregoing recommendation if the Board of Directors determines in good faith, after
consultation with outside counsel, that failure to take such action would be inconsistent with its fiduciary duties to
the stockholders in accordance with law. However, the Board of Directors cannot withdraw or change the foregoing
recommendation unless it complies with certain procedures in the Merger Agreement, including, but not limited to,
providing Pfizer four (4) business days to make adjustments in the terms and conditions of the Merger Agreement (as
described further in the section of this proxy statement captioned “Proposal 1: Adoption of the Merger Agreement-
The Board of Directors’ Recommendation; Arena Adverse Recommendation Change”). The termination of the Merger
Agreement by Pfizer following the withdrawal by the Board of Directors of its recommendation that stockholders
adopt the Merger Agreement will result in the payment by Arena of the Arena Termination Fee. The termination of
the Merger Agreement by Arena following the Board of Directors’ authorization for Arena to enter into a definitive
agreement to consummate an alternative transaction contemplated by a Superior Proposal (as defined below) will
result in the payment by Arena of the Arena Termination Fee. For more information, please see the section of this
proxy statement captioned “Proposal 1: Adoption of the Merger Agreement-The Board of Directors’
Recommendation; Arena Adverse Recommendation Change.”
Opinion of Evercore Group L.L.C.",14,14
