Document,Section Header,Section Text,Start Page,End Page
ATLAS AIR WORLDWIDE HOLDINGS INC_20221019_DEFM14A_20395325_4531934.Pdf,"g
2","TABLE OF CONTENTS
PROXY STATEMENT
ATLAS AIR WORLDWIDE HOLDINGS, INC.
2000 Westchester Avenue 
Purchase, NY 10577
SPECIAL MEETING OF STOCKHOLDERS
TO BE HELD ON NOVEMBER 29, 2022
PROXY STATEMENT
This proxy statement contains information relating to a special meeting of stockholders of Atlas Air
Worldwide Holdings, Inc., a Delaware corporation (the “Company”, “we”, “us” or “our”). All references to
“Parent” refer to Rand Parent, LLC, a Delaware limited liability company; all references to “MergerCo” refer
to Rand Merger Sub, Inc., a Delaware corporation and a wholly-owned subsidiary of Parent; all references
to “Apollo” refer to certain affiliates of Apollo Global Management, Inc.; all references to the “Apollo Funds”
refer collectively to certain funds managed by affiliates of Apollo; all references to “JFLCO” refer to J.F.
Lehman & Company, LLC; all references to the “JFLCO Funds” refer collectively to certain investment
affiliates of JFLCO through which JFLCO carries out certain of its investment activities; all references to
“Hill City” refer to Hill City Capital LP; and all references to the “Hill City Fund” refer to a certain investment
affiliate of Hill City through which Hill City carries out certain of its investment activities. The Apollo Funds,
the JFLCO Funds and the Hill City Fund are, collectively, referred to as the “Consortium Funds”. In
addition, throughout this proxy statement we refer to the Agreement and Plan of Merger, dated as of
August 4, 2022, by and among Parent, MergerCo and the Company as the “merger agreement”.
The special meeting will be held on November 29, 2022, at 10:00 a.m., Eastern Time (unless the special
meeting is postponed or adjourned), in a virtual-only meeting format. The Company’s stockholders will be
able to virtually attend and vote at the special meeting by visiting http://meetnow.global/MFRXD6X. We are
furnishing this proxy statement to holders (“Company stockholders”) of common stock, par value $0.01
per share, of the Company (“Company common stock”) as part of the solicitation of proxies by the
Company’s board of directors (the “Board”), for exercise at the special meeting and at any postponements
or adjournments thereof. This proxy statement is dated October 19, 2022 and is first being mailed to
Company stockholders on or about October 19, 2022.
Atlas Air Worldwide Holdings, Inc. 2022 Notice & Proxy Statement
1
TABLE OF CONTENTS​
",10,10
ATLAS AIR WORLDWIDE HOLDINGS INC_20221019_DEFM14A_20395325_4531934.Pdf,SUMMARY,"TABLE OF CONTENTS
PROXY STATEMENT
ATLAS AIR WORLDWIDE HOLDINGS, INC.
2000 Westchester Avenue 
Purchase, NY 10577
SPECIAL MEETING OF STOCKHOLDERS
TO BE HELD ON NOVEMBER 29, 2022
PROXY STATEMENT
This proxy statement contains information relating to a special meeting of stockholders of Atlas Air
Worldwide Holdings, Inc., a Delaware corporation (the “Company”, “we”, “us” or “our”). All references to
“Parent” refer to Rand Parent, LLC, a Delaware limited liability company; all references to “MergerCo” refer
to Rand Merger Sub, Inc., a Delaware corporation and a wholly-owned subsidiary of Parent; all references
to “Apollo” refer to certain affiliates of Apollo Global Management, Inc.; all references to the “Apollo Funds”
refer collectively to certain funds managed by affiliates of Apollo; all references to “JFLCO” refer to J.F.
Lehman & Company, LLC; all references to the “JFLCO Funds” refer collectively to certain investment
affiliates of JFLCO through which JFLCO carries out certain of its investment activities; all references to
“Hill City” refer to Hill City Capital LP; and all references to the “Hill City Fund” refer to a certain investment
affiliate of Hill City through which Hill City carries out certain of its investment activities. The Apollo Funds,
the JFLCO Funds and the Hill City Fund are, collectively, referred to as the “Consortium Funds”. In
addition, throughout this proxy statement we refer to the Agreement and Plan of Merger, dated as of
August 4, 2022, by and among Parent, MergerCo and the Company as the “merger agreement”.
The special meeting will be held on November 29, 2022, at 10:00 a.m., Eastern Time (unless the special
meeting is postponed or adjourned), in a virtual-only meeting format. The Company’s stockholders will be
able to virtually attend and vote at the special meeting by visiting http://meetnow.global/MFRXD6X. We are
furnishing this proxy statement to holders (“Company stockholders”) of common stock, par value $0.01
per share, of the Company (“Company common stock”) as part of the solicitation of proxies by the
Company’s board of directors (the “Board”), for exercise at the special meeting and at any postponements
or adjournments thereof. This proxy statement is dated October 19, 2022 and is first being mailed to
Company stockholders on or about October 19, 2022.
Atlas Air Worldwide Holdings, Inc. 2022 Notice & Proxy Statement
1
TABLE OF CONTENTS​
",10,10
ATLAS AIR WORLDWIDE HOLDINGS INC_20221019_DEFM14A_20395325_4531934.Pdf,The Parties,"The Parties
(page 30)
Atlas Air Worldwide Holdings, Inc.
The Company is a holding company with a wholly-owned operating subsidiary, Atlas Air, Inc. It also has
a 51% economic interest and 75% voting interest in Polar Air Cargo Worldwide, Inc. In addition, the
Company is the parent company of several wholly-owned subsidiaries related to the Company’s dry
leasing services, collectively referred to as “Titan”.
The Company, together with its consolidated subsidiaries, is a leading global provider of outsourced
aircraft and aviation operating services. The Company and its consolidated subsidiaries operate the
world’s largest fleet of Boeing 747 freighters and provide customers a broad array of Boeing 747, 777,
767 and 737 aircraft for domestic, regional and international cargo and passenger operations. The
Company and its consolidated subsidiaries also provide unique value to customers by giving them
access to highly reliable new production freighter aircraft that deliver the lowest unit cost in the
marketplace combined with outsourced aircraft operating services that the Company believes lead the
industry in terms of quality and global scale. Customers of the Company and its consolidated
subsidiaries include express delivery providers, e-commerce retailers, the U.S. Military Air Mobility
Command (“AMC”), charter brokers, freight forwarders, direct shippers, airlines, manufacturers, sports
teams and fans, and private charter customers. The Company and its consolidated subsidiaries provide
global services with operations in Africa, Asia, Australia, Europe, the Middle East, North America and
South America.
The Company was incorporated in Delaware in 2000. The Company’s principal executive offices are
located at 2000 Westchester Avenue, Purchase, New York 10577, and its telephone number is (914)
701-8000. Shares of Company common stock are listed on the NASDAQ Global Select Market
(“NASDAQ”) under the trading symbol “AAWW”.
Parent
Parent is a Delaware limited liability company that was formed by the Consortium Funds solely for the
purpose of entering into the merger agreement and related agreements and consummating the
transactions contemplated thereby. Parent has not conducted any business operations other than in
2
Atlas Air Worldwide Holdings, Inc. 2022 Notice & Proxy Statement",10,12
ATLAS AIR WORLDWIDE HOLDINGS INC_20221019_DEFM14A_20395325_4531934.Pdf,The Special Meeting,"The Special Meeting
(page 32)
The special meeting of Company stockholders will be held on November 29, 2022, at 10:00 a.m.
Eastern Time, in a virtual-only meeting format. To access the virtual special meeting, you should visit
http://meetnow.global/MFRXD6X. You will be required to enter a control number, included on your proxy
card, voting instruction form or as you may otherwise receive, which will allow you to participate in the
virtual meeting and vote your shares of common stock if you are a Company stockholder as of the
record date. Please see the section of this proxy statement entitled “The Special Meeting” for additional
information on the special meeting, including how to vote your shares of common stock.
Record Date and Stockholders Entitled to Vote; Vote Required to Approve
Each Proposal
(page 33 and page 34)
Only the Company’s stockholders of record at the close of business on October 18, 2022, the record
date for the special meeting, will be entitled to notice of, and to vote at, the special meeting and any
postponement or adjournment thereof. As of the close of business on the record date, there were
28,383,523 shares of common stock outstanding and entitled to vote. Each Company stockholder is
entitled to one vote per share of common stock held by such stockholder on the record date on each of
the proposals presented in this proxy statement.
The approval of the proposal of the Company’s stockholders to adopt the merger agreement (the
“merger agreement proposal”) requires the affirmative vote (in person or by proxy) of the holders of a
Atlas Air Worldwide Holdings, Inc. 2022 Notice & Proxy Statement
3",12,12
ATLAS AIR WORLDWIDE HOLDINGS INC_20221019_DEFM14A_20395325_4531934.Pdf,Record Date and Stockholders Entitled to Vote; Vote Required to Approve Each Proposal,"TABLE OF CONTENTS​
SUMMARY
connection with its formation and the transactions contemplated by the merger agreement (collectively,
the “transactions”) and related agreements. Upon the consummation of the transactions contemplated
by the merger agreement and related agreements, the Company will be a wholly-owned subsidiary of
Parent.
The principal executive offices of Parent are c/o Apollo Management Holdings, L.P., 9 West 57th Street,
43rd Floor, New York, New York 10019 with a telephone number of (212) 515-3200.
MergerCo
MergerCo is a Delaware corporation and a wholly-owned subsidiary of Parent that was formed solely for
the purpose of entering into the merger agreement and related agreements and consummating the
transactions contemplated thereby. MergerCo has not conducted any business operations other than in
connection with its formation and the transactions contemplated by the merger agreement and related
agreements. Upon the consummation of the merger, MergerCo will merge with and into the Company,
and MergerCo will cease to exist.
The principal executive offices of MergerCo are c/o Apollo Management Holdings, L.P., 9 West 57th
Street, 43rd Floor, New York, New York 10019 with a telephone number of (212) 515-3200.
The Special Meeting
(page 32)
The special meeting of Company stockholders will be held on November 29, 2022, at 10:00 a.m.
Eastern Time, in a virtual-only meeting format. To access the virtual special meeting, you should visit
http://meetnow.global/MFRXD6X. You will be required to enter a control number, included on your proxy
card, voting instruction form or as you may otherwise receive, which will allow you to participate in the
virtual meeting and vote your shares of common stock if you are a Company stockholder as of the
record date. Please see the section of this proxy statement entitled “The Special Meeting” for additional
information on the special meeting, including how to vote your shares of common stock.
Record Date and Stockholders Entitled to Vote; Vote Required to Approve
Each Proposal
(page 33 and page 34)
Only the Company’s stockholders of record at the close of business on October 18, 2022, the record
date for the special meeting, will be entitled to notice of, and to vote at, the special meeting and any
postponement or adjournment thereof. As of the close of business on the record date, there were
28,383,523 shares of common stock outstanding and entitled to vote. Each Company stockholder is
entitled to one vote per share of common stock held by such stockholder on the record date on each of
the proposals presented in this proxy statement.
The approval of the proposal of the Company’s stockholders to adopt the merger agreement (the
“merger agreement proposal”) requires the affirmative vote (in person or by proxy) of the holders of a
Atlas Air Worldwide Holdings, Inc. 2022 Notice & Proxy Statement
3TABLE OF CONTENTS​
SUMMARY
majority of outstanding shares of Company common stock entitled to vote thereon (the “Company
stockholder approval”). Under Delaware law and the merger agreement, the receipt of such required vote
is a condition to the consummation of the merger. The approval of the proposal to approve, by advisory
(non-binding) vote, the compensation that may be paid or become payable to our named executive
officers in connection with the consummation of the merger (the “advisory compensation proposal”)
requires the affirmative vote (in person or by proxy) of a majority of the votes cast on such proposal at
the special meeting. The approval of the proposal to approve any adjournment of the special meeting, if
necessary or appropriate, for the purpose of soliciting additional proxies if there are insufficient votes at
the special meeting to adopt the merger agreement (the “adjournment proposal”) requires the affirmative
vote of a majority of the votes cast on such proposal at the special meeting (whether or not a quorum is
present). Approval of the advisory compensation proposal and the adjournment proposal is not a
condition to the consummation of the merger. Note that you may vote to approve the merger agreement
proposal and vote not to approve the advisory compensation proposal or adjournment proposal and vice
versa.
Voting by Company Directors, Executive Officers and Principal
Securityholders
(page 37)
As of October 18, 2022, the directors and executive officers of the Company beneficially owned in the
aggregate 325,199 shares of Company common stock, or approximately 1.1% of the outstanding
shares of Company common stock as of October 18, 2022. Although none of the directors or executive
officers is obligated to vote to approve the merger agreement proposal, we currently expect that each of
these individuals will vote all of his or her shares “FOR” each of the proposals to be presented at the
special meeting.
The Merger; Certain Effects of the Merger; Consideration To Be Received in
the Merger
(page 43, page 74 and page 96)
On August 4, 2022, the Company entered into the merger agreement with Parent and MergerCo,
providing for, subject to the satisfaction or (to the extent permitted by law) waiver of specified conditions,
the acquisition of the Company by Parent at a price of $102.50, without interest, per share of Company
common stock issued and outstanding (the “merger consideration”). Subject to the terms and
conditions of the merger agreement, MergerCo will be merged with and into the Company (the “merger”),
with the Company surviving the merger as a wholly-owned subsidiary of Parent (the “surviving
corporation”). A copy of the merger agreement is included as Annex A to this proxy statement.
If the merger is consummated, each share of Company common stock issued and outstanding
immediately prior to the time the merger is consummated (the “effective time”) will be converted
automatically into, and will thereafter represent only, the right to receive $102.50 in cash, without
interest and less any applicable withholding taxes, other than shares of Company common stock that
are (i) owned by the Company as treasury shares immediately prior to the effective time or held by
Parent or MergerCo, which will be canceled and will cease to exist and no consideration will be
delivered in exchange therefor (such shares, the “excluded shares”) and (ii) owned by the Company’s
stockholders
4
Atlas Air Worldwide Holdings, Inc. 2022 Notice & Proxy Statement",12,13
ATLAS AIR WORLDWIDE HOLDINGS INC_20221019_DEFM14A_20395325_4531934.Pdf,"Voting by Company Directors, Executive Officers and Principal Securityholders","TABLE OF CONTENTS​
SUMMARY
majority of outstanding shares of Company common stock entitled to vote thereon (the “Company
stockholder approval”). Under Delaware law and the merger agreement, the receipt of such required vote
is a condition to the consummation of the merger. The approval of the proposal to approve, by advisory
(non-binding) vote, the compensation that may be paid or become payable to our named executive
officers in connection with the consummation of the merger (the “advisory compensation proposal”)
requires the affirmative vote (in person or by proxy) of a majority of the votes cast on such proposal at
the special meeting. The approval of the proposal to approve any adjournment of the special meeting, if
necessary or appropriate, for the purpose of soliciting additional proxies if there are insufficient votes at
the special meeting to adopt the merger agreement (the “adjournment proposal”) requires the affirmative
vote of a majority of the votes cast on such proposal at the special meeting (whether or not a quorum is
present). Approval of the advisory compensation proposal and the adjournment proposal is not a
condition to the consummation of the merger. Note that you may vote to approve the merger agreement
proposal and vote not to approve the advisory compensation proposal or adjournment proposal and vice
versa.
Voting by Company Directors, Executive Officers and Principal
Securityholders
(page 37)
As of October 18, 2022, the directors and executive officers of the Company beneficially owned in the
aggregate 325,199 shares of Company common stock, or approximately 1.1% of the outstanding
shares of Company common stock as of October 18, 2022. Although none of the directors or executive
officers is obligated to vote to approve the merger agreement proposal, we currently expect that each of
these individuals will vote all of his or her shares “FOR” each of the proposals to be presented at the
special meeting.
The Merger; Certain Effects of the Merger; Consideration To Be Received in
the Merger
(page 43, page 74 and page 96)
On August 4, 2022, the Company entered into the merger agreement with Parent and MergerCo,
providing for, subject to the satisfaction or (to the extent permitted by law) waiver of specified conditions,
the acquisition of the Company by Parent at a price of $102.50, without interest, per share of Company
common stock issued and outstanding (the “merger consideration”). Subject to the terms and
conditions of the merger agreement, MergerCo will be merged with and into the Company (the “merger”),
with the Company surviving the merger as a wholly-owned subsidiary of Parent (the “surviving
corporation”). A copy of the merger agreement is included as Annex A to this proxy statement.
If the merger is consummated, each share of Company common stock issued and outstanding
immediately prior to the time the merger is consummated (the “effective time”) will be converted
automatically into, and will thereafter represent only, the right to receive $102.50 in cash, without
interest and less any applicable withholding taxes, other than shares of Company common stock that
are (i) owned by the Company as treasury shares immediately prior to the effective time or held by
Parent or MergerCo, which will be canceled and will cease to exist and no consideration will be
delivered in exchange therefor (such shares, the “excluded shares”) and (ii) owned by the Company’s
stockholders
4
Atlas Air Worldwide Holdings, Inc. 2022 Notice & Proxy Statement
",13,13
ATLAS AIR WORLDWIDE HOLDINGS INC_20221019_DEFM14A_20395325_4531934.Pdf,The Merger; Certain Effects of the Merger; Consideration To Be Received in the Merger,"TABLE OF CONTENTS​
SUMMARY
majority of outstanding shares of Company common stock entitled to vote thereon (the “Company
stockholder approval”). Under Delaware law and the merger agreement, the receipt of such required vote
is a condition to the consummation of the merger. The approval of the proposal to approve, by advisory
(non-binding) vote, the compensation that may be paid or become payable to our named executive
officers in connection with the consummation of the merger (the “advisory compensation proposal”)
requires the affirmative vote (in person or by proxy) of a majority of the votes cast on such proposal at
the special meeting. The approval of the proposal to approve any adjournment of the special meeting, if
necessary or appropriate, for the purpose of soliciting additional proxies if there are insufficient votes at
the special meeting to adopt the merger agreement (the “adjournment proposal”) requires the affirmative
vote of a majority of the votes cast on such proposal at the special meeting (whether or not a quorum is
present). Approval of the advisory compensation proposal and the adjournment proposal is not a
condition to the consummation of the merger. Note that you may vote to approve the merger agreement
proposal and vote not to approve the advisory compensation proposal or adjournment proposal and vice
versa.
Voting by Company Directors, Executive Officers and Principal
Securityholders
(page 37)
As of October 18, 2022, the directors and executive officers of the Company beneficially owned in the
aggregate 325,199 shares of Company common stock, or approximately 1.1% of the outstanding
shares of Company common stock as of October 18, 2022. Although none of the directors or executive
officers is obligated to vote to approve the merger agreement proposal, we currently expect that each of
these individuals will vote all of his or her shares “FOR” each of the proposals to be presented at the
special meeting.
The Merger; Certain Effects of the Merger; Consideration To Be Received in
the Merger
(page 43, page 74 and page 96)
On August 4, 2022, the Company entered into the merger agreement with Parent and MergerCo,
providing for, subject to the satisfaction or (to the extent permitted by law) waiver of specified conditions,
the acquisition of the Company by Parent at a price of $102.50, without interest, per share of Company
common stock issued and outstanding (the “merger consideration”). Subject to the terms and
conditions of the merger agreement, MergerCo will be merged with and into the Company (the “merger”),
with the Company surviving the merger as a wholly-owned subsidiary of Parent (the “surviving
corporation”). A copy of the merger agreement is included as Annex A to this proxy statement.
If the merger is consummated, each share of Company common stock issued and outstanding
immediately prior to the time the merger is consummated (the “effective time”) will be converted
automatically into, and will thereafter represent only, the right to receive $102.50 in cash, without
interest and less any applicable withholding taxes, other than shares of Company common stock that
are (i) owned by the Company as treasury shares immediately prior to the effective time or held by
Parent or MergerCo, which will be canceled and will cease to exist and no consideration will be
delivered in exchange therefor (such shares, the “excluded shares”) and (ii) owned by the Company’s
stockholders
4
Atlas Air Worldwide Holdings, Inc. 2022 Notice & Proxy StatementTABLE OF CONTENTS​
SUMMARY
who have validly exercised their statutory rights of appraisal under Section 262 (“Section 262”) of the
Delaware General Corporation Law (the “DGCL”) (such shares of the Company’s stockholders, the
“appraisal shares”).
If the merger is consummated, Parent and the Company will cooperate and use their respective
reasonable best efforts to cause the Company common stock to be delisted from NASDAQ and
deregistered under the Securities Exchange Act of 1934, as amended (the “Exchange Act”) as promptly
as practicable following the effective time, and, accordingly, the common stock will no longer be publicly
traded.",13,14
ATLAS AIR WORLDWIDE HOLDINGS INC_20221019_DEFM14A_20395325_4531934.Pdf,Background of the Merger,"Background of the Merger
(page 43)
A description of the process we undertook that led to the proposed merger, including our discussions
with the representatives of the Consortium (as defined in “The Merger - Background of the Merger”), is
included in this proxy statement under “The Merger - Background of the Merger”.",14,14
ATLAS AIR WORLDWIDE HOLDINGS INC_20221019_DEFM14A_20395325_4531934.Pdf,Recommendation of the Board,"Recommendation of the Board
(page 55)
The Board has reviewed and considered the terms and conditions of the merger agreement, the merger
and the other transactions contemplated by the merger agreement. The Board unanimously (i)
determined and declared that it is advisable and fair to, and in the best interests of, the Company and
Company stockholders, that the Company enter into the merger agreement and consummate the
transactions, (ii) approved and declared the advisability of the merger agreement and the consummation
of the transactions, including the merger, (iii) recommended that the Company stockholders entitled to
vote adopt the merger agreement and (iv) directed that the merger agreement be submitted to the
Company’s stockholders entitled to vote for adoption. Accordingly, the Board recommends a vote “FOR”
the merger agreement proposal, “FOR” the advisory compensation proposal and “FOR” the adjournment
proposal. For a discussion of the factors that the Board considered in determining to recommend the
approval of the merger agreement proposal, please see the section of this proxy statement entitled “The
Merger - Reasons for the Merger” beginning on page 55.
Prior to the adoption of the merger agreement by the Company’s stockholders, under certain
circumstances, and in compliance with certain obligations contained in the merger agreement, the
Board may effect an adverse recommendation change (as defined in the section of this proxy statement
entitled “The Merger Agreement - No Solicitation; Change in Board Recommendation”), including by
withdrawing or withholding the foregoing recommendation, under certain circumstances in response to
an intervening event (as defined in the section of this proxy statement entitled “The Merger Agreement - 
No Solicitation; Change in Board Recommendation”) or in connection with a superior proposal (as
defined in the section of this proxy statement entitled “The Merger Agreement - No Solicitation; Change
in Board Recommendation”), if the Board complies with certain procedures in the merger agreement.
Atlas Air Worldwide Holdings, Inc. 2022 Notice & Proxy Statement
5TABLE OF CONTENTS​
SUMMARY",14,15
ATLAS AIR WORLDWIDE HOLDINGS INC_20221019_DEFM14A_20395325_4531934.Pdf,Opinion of the Company’s Financial Advisor,"Opinion of the Company’s Financial Advisor
(page 66)
Morgan Stanley & Co. LLC (“Morgan Stanley”) was retained by the Company to act as its financial
advisor and to render a financial opinion in connection with a potential sale of the Company. The
Company selected Morgan Stanley to act as its financial advisor based on Morgan Stanley’s
experience in transactions similar to the merger, qualifications, expertise and reputation and its
knowledge of the Company and its business and the industries in which the Company conducts its
business. As part of this engagement, the Board requested that Morgan Stanley evaluate the fairness,
from a financial point of view, of the merger consideration to be received by the holders of shares of
Company common stock (other than the excluded shares and appraisal shares) pursuant to the merger
agreement. On August 3, 2022, Morgan Stanley rendered its oral opinion to the Board, which was
subsequently confirmed by delivery of a written opinion, dated August 3, 2022, to the effect that, as of
the date of such opinion, and based upon and subject to the assumptions made, procedures followed,
matters considered and qualifications and limitations on the scope of review undertaken by Morgan
Stanley as set forth in Morgan Stanley’s written opinion, the merger consideration to be received by the
holders of shares of the Company common stock (other than the excluded shares and appraisal shares)
pursuant to the merger agreement was fair from a financial point of view to such holders of shares of the
Company common stock, as set forth in such opinion as more fully described in the section of this
proxy statement entitled “The Merger - Opinion of the Company’s Financial Advisor”.
The full text of Morgan Stanley’s written opinion to the Board, dated August 3, 2022, is
attached as Annex B to this proxy statement and is incorporated by reference into this proxy
statement in its entirety. The opinion sets forth, among other things, the assumptions made,
procedures followed, matters considered and qualifications and limitations on the scope of
the review undertaken by Morgan Stanley in rendering its opinion. The Company stockholders
are urged to, and should, read the opinion carefully and in its entirety. Morgan Stanley’s
opinion was directed to the Board, in its capacity as such, and addressed only the fairness,
from a financial point of view, as of the date of the opinion, of the merger consideration to be
received by the holders of shares of the Company common stock (other than the excluded
shares and appraisal shares) pursuant to the merger agreement. Morgan Stanley’s opinion did
not address any other term or aspect of the merger agreement or the transactions or any term
or aspect of any other agreement or instrument contemplated by the merger agreement
entered into or amended in connection therewith and does not address the relative merits of
the merger as compared to any other alternative business transaction, or other alternatives, or
whether or not such alternatives could be achieved or are available. It was not intended to,
and does not, constitute an opinion or recommendation as to how the holders of Company
common stock should vote at the special meeting. The summary of Morgan Stanley’s opinion
set forth in this proxy statement is qualified in its entirety by reference to the full text of
Morgan Stanley’s opinion.",15,15
