Document,Section Header,Section Text,Start Page,End Page
"Argo Group International Holdings, Ltd._20230320_DEFM14A_20737540_4621891.Pdf",SUMMARY,"SUMMARY
This summary highlights the material information in this proxy statement. To fully understand Argo
Group’s proposals and for a more complete description of the legal terms of the merger, you should
carefully read this entire proxy statement, including the annexes and documents incorporated by reference
herein, and the other documents to which Argo Group has referred you. For information on how to obtain
the documents that are on file with the United States Securities and Exchange Commission (which we refer
to as the “SEC”), please see the section of this proxy statement titled “Where You Can Find More
Information.”
The proxy statement is dated March 20, 2023, and is first being mailed to shareholders of Argo Group
International Holdings, Ltd. on or about March 20, 2023.",9,9
"Argo Group International Holdings, Ltd._20230320_DEFM14A_20737540_4621891.Pdf",Parties to the Merger,"Parties to the Merger (Page 23)
Argo Group International Holdings, Ltd. (which we refer to as “Argo Group,” “we,” “us,” or “our” and,
following the merger, as the “surviving company”), a Bermuda exempted company limited by shares, is a U.S.
focused underwriter of specialty insurance products in the property and casualty market. Argo Group offers
a full line of products and services designed to meet the unique coverage and claims-handling needs of
businesses. Argo Group’s common shares are listed on the New York Stock Exchange (which we refer to as
the “NYSE”) under the symbol “ARGO.” For additional information on Argo Group and its business,
including how to obtain the documents that Argo Group has filed with the SEC, see the section of this proxy
statement titled “Where You Can Find More Information.”
Brookfield Reinsurance Ltd. (which we refer to as “Brookfield Reinsurance”) is a Bermuda exempted
company limited by shares focused on providing capital-based solutions to the insurance industry. Through
its operating subsidiaries, Brookfield Reinsurance offers a broad range of insurance products and services to
individuals and institutions, including life insurance and annuities, and personal and commercial property
and casualty insurance. Brookfield Reinsurance’s class A exchangeable limited voting shares are listed on
the NYSE and the Toronto Stock Exchange (which we refer to as the “TSX”) under the symbol “BNRE.”
BNRE Bermuda Merger Sub Ltd. (which we refer to as “Merger Sub”), a Bermuda exempted company
limited by shares, is an indirect wholly-owned subsidiary of Brookfield Reinsurance that was formed solely
for purposes of entering into the merger agreement and the statutory merger agreement and completing the
transactions contemplated thereby. Merger Sub has not engaged in any business except for activities
incidental to its formation and as contemplated by the merger agreement. Upon completion of the merger,
Merger Sub will be merged with and into Argo Group and will cease to exist.",9,9
"Argo Group International Holdings, Ltd._20230320_DEFM14A_20737540_4621891.Pdf",The Merger,"The Merger (Page 24)
Pursuant to an Agreement and Plan of Merger, entered into on February 8, 2023, among Argo Group,
Brookfield Reinsurance and Merger Sub (which we refer to as the “merger agreement”) and the statutory
merger agreement required in accordance with Section 105 of the Bermuda Companies Act 1981, as amended
(which we refer to as the “Companies Act”), Merger Sub will merge with and into Argo Group, with Argo
Group continuing as the surviving company (which we refer to as the “merger”). Argo Group, as the
surviving company, will continue in existence as a Bermuda exempted company and as an indirect wholly-
owned subsidiary of Brookfield Reinsurance. As a result of the merger, under Bermuda law, Argo Group’s
and Merger Sub’s respective undertakings, property and liabilities will become vested in Argo Group as the
surviving company following the merger. The closing of the merger (which we refer to as the “closing”) will
occur on the fourth business day following the satisfaction or waiver of the closing conditions set forth in
the merger agreement (other than those conditions that by their nature are to be satisfied at the closing, but
subject to the satisfaction or waiver of those conditions) or at such other date and time as Argo Group and
Brookfield Reinsurance may mutually agree in writing. The merger will be effective upon the issuance of a
certificate of merger by the Bermuda Registrar of Companies and at the time and date shown on such
certificate of merger (which we refer to as the “effective time”).",9,9
"Argo Group International Holdings, Ltd._20230320_DEFM14A_20737540_4621891.Pdf",Merger Consideration,"Merger Consideration (Page 24)
At the effective time, each common share of Argo Group, $1.00 par value per share (which we refer to as
the “common shares,” and each as a “common share”), issued and outstanding immediately prior to the
1 • 
• 
• 
TABLE OF CONTENTS​
effective time (other than any common share that is owned by Argo Group as treasury shares, by Argo
Group, Brookfield Reinsurance, Merger Sub or wholly-owned subsidiaries of Argo Group or Brookfield
Reinsurance or any common share that is subject to an Argo Group equity award) will be canceled and
converted into the right to receive $30.00 in cash, without interest and less any required withholding taxes
(which we refer to as the “merger consideration”).
Preferred Shares (Page 24)
At the effective time, each 7.00% resettable fixed rate preference share of Argo Group, series A, par
value $1.00 per share (which we refer to as the “preferred shares,” and each as a “preferred share”), issued
and outstanding immediately prior to the effective time will continue as a preferred share of Argo Group as
the surviving company following the merger and the relative rights, terms and conditions of each such
preferred share will remain unchanged. Following the merger, Brookfield Reinsurance may cause the
surviving company to exercise any of its rights with respect to each preferred share issued and outstanding
or the depositary shares representing interests in such preferred shares.",9,10
"Argo Group International Holdings, Ltd._20230320_DEFM14A_20737540_4621891.Pdf",The Statutory Merger Agreement,"The Statutory Merger Agreement (Page 24)
The statutory merger agreement, together with the merger agreement, governs the legal effects of the
merger under Bermuda law. A copy of the statutory merger agreement is attached as Annex A-1 to this proxy
statement.",10,10
"Argo Group International Holdings, Ltd._20230320_DEFM14A_20737540_4621891.Pdf",The Special General Meeting,"The Special General Meeting (Page 90)
Time, Place and Purpose of the Special General Meeting (Page 90)
The special general meeting (which we refer to as the “special general meeting”) will be held on April 19,
2023, starting at 9:00 a.m. local Bermuda time (8:00 a.m. Eastern Time) at Wellesley House South, W Room (2
Floor), 90 Pitts Bay Rd., Pembroke HM 08, Bermuda. At the special general meeting, Argo Group shareholders
will be asked to consider and vote on each of the following proposals:
Proposal l (the “merger proposal”): to approve the merger agreement, the statutory merger agreement
and the merger;
Proposal 2 (the “compensation advisory proposal”): on an advisory (non-binding) basis, to approve
the compensation that may be paid or become payable to Argo Group’s named executive officers that
is based on or otherwise relates to the merger, as described in this proxy statement; and
Proposal 3 (the “adjournment proposal”): to approve an adjournment of the special general meeting, if
necessary or appropriate, to solicit additional proxies in the event that there are insufficient votes to
approve the merger proposal at the special general meeting.
Holders of common shares issued and outstanding as of the record date (as defined below) will be
entitled to vote on each of the above proposals, whereas holders of preferred shares issued and outstanding
as of the record date will be entitled to vote only on Proposal 1 and Proposal 3.
Consummation of the merger is conditioned on, among other things, the approval of Proposal 1 above,
but is not conditioned on the approval of Proposals 2 or 3.
Record Date (Page 90)
Only shareholders of record, as shown on Argo Group’s register of members, at the close of business
on March 16, 2023, the record date for the special general meeting (which we refer to as the “record date”),
will be entitled to notice of, and to vote at, the special general meeting or any adjournment or postponement
thereof. As of March 16, 2023, the record date for the special general meeting, there were 35,097,821 common
shares issued and outstanding and 6,000 preferred shares issued and outstanding.
Quorum (Page 90)
Pursuant to Argo Group’s Bye-Laws, a majority of the outstanding shares carrying the right to vote,
present in person or represented by proxy, constitute a quorum for the transaction of business at the special
general meeting.
2 
ndTABLE OF CONTENTS
Each common share and each preferred share carries the right to vote on the merger proposal and the
adjournment proposal. Accordingly, the quorum required at the special general meeting to consider the
merger proposal and the adjournment proposal is the presence in person or represented by proxy of
shareholders representing in excess of 50% of the total voting power of all outstanding common shares and
preferred shares, voting as one class, as of the record date. Only common shares carry the right to vote on
the compensation advisory proposal. Accordingly, the quorum required at the special general meeting to
consider the compensation advisory proposal is the presence in person or represented by proxy of
shareholders representing in excess of 50% of the total voting power of all outstanding common shares as of
the record date.
Required Vote (Page 91)
The approval of the merger proposal requires the affirmative vote of a majority of the voting power of
the outstanding common shares and preferred shares, voting as one class, that are entitled to vote at the
special general meeting in accordance with Argo Group’s Bye-Laws.
The approval of the compensation advisory proposal requires the affirmative vote of a majority of the
votes cast by holders of common shares that are present in person or represented by proxy and entitled to
vote at the special general meeting in accordance with Argo Group’s Bye-Laws.
The approval of the adjournment proposal requires the affirmative vote of a majority of the voting
power of holders of common shares and preferred shares, voting as one class, that are present in person or
represented by proxy and entitled to vote at the special general meeting in accordance with Argo Group’s
Bye-Laws.
Voting Securities (Page 91)
Except as provided below, (i) holders of common shares have one vote for each common share held by
them as of the record date and are entitled to vote all common shares held by them as of the record date on
all the proposals voted on at the special general meeting or any adjournment thereof and (ii) holders of
preferred shares have one vote for each preferred share held by them as of the record date and are entitled to
vote all preferred shares held by them as of the record date only on the merger proposal and on the
adjournment proposal. See the section of this proxy statement titled “The Special General Meeting - Voting
Securities” for a description of the voting rights of the preferred shares. Holders of depositary shares must
act through the depositary to exercise any voting rights in respect of the preferred shares (or fractions
thereof) represented thereby and the depositary will vote preferred shares held by it in accordance with the
terms of its depositary agreement.
Under Argo Group’s Bye-Laws, no “U.S. Person”  (as that term is defined in Argo Group’s Bye-Laws)
that owns Argo Group shares directly, or indirectly through foreign entities, is entitled to exercise voting
power on a matter (either directly or through a person whose ownership of shares in us is attributed to such
U.S. Person) to the extent such voting power equals or exceeds 9.5% of the votes conferred on all of Argo
Group shares entitled to vote on such matter, after taking into consideration all votes held by such U.S.
Person directly or through attribution. Pursuant to Argo Group’s Bye-Laws, if there is any U.S. Person which
had voting power which equaled or exceeded 9.5% of such shares and so could be considered a “9.5% U.S.
Member”  (as that term is defined in Argo Group’s Bye-Laws) as of the record date, the voting power of all
shares will be adjusted (and will be automatically adjusted in the future) to the extent necessary so that there
will be no such 9.5% U.S. Member.
If your shares are held in “street name” by your bank, broker or other nominee, you should instruct
your bank, broker or other nominee how to vote your shares using the instructions provided by your bank,
broker or other nominee.
If you fail to submit a proxy or to attend and vote in person at the special general meeting and you are a
record holder, your shares will not be counted for purposes of quorum or as votes cast at the special general
meeting. If your shares are held in “street name” and you do not provide your bank, broker or other nominee
with voting instructions, your shares will not be voted. If you choose to vote in person at the special general
3",10,12
"Argo Group International Holdings, Ltd._20230320_DEFM14A_20737540_4621891.Pdf",Abstentions and “Broker Non-Votes”,"Abstentions and “Broker Non-Votes” (Page 92)
Abstentions will be counted toward the presence of a quorum at the special general meeting. Because
all proposals presented to shareholders will be considered non-discretionary, your broker, bank or other
nominee will not have discretionary authority to vote your shares on any of the proposals without your
instructions and accordingly, there will not be any broker non-votes at the special general meeting. Broker
non-votes (if any) will not be considered present for the purposes of establishing a quorum and will not
count as votes cast at the special general meeting.
Because approval of the merger proposal requires the affirmative vote of a majority of the voting power
of the outstanding common shares and preferred shares, voting as one class, that are entitled to vote at the
special general meeting in accordance with Argo Group’s Bye-Laws (assuming a quorum is present), an
abstention will have the effect of a vote against the merger proposal.
Because approval of the compensation advisory proposal requires the affirmative vote of a majority of
the votes cast by holders of common shares that are present in person or represented by proxy and entitled
to vote at the special general meeting in accordance with Argo Group’s Bye-Laws (assuming a quorum is
present), an abstention with respect to the compensation advisory proposal will not have the effect of a vote
for or against the compensation advisory proposal, but will reduce the number of votes cast and therefore
increase the relative influence of those shareholders voting.
Because approval of the adjournment proposal requires the affirmative vote of a majority of the voting
power of the outstanding common shares and preferred shares, voting as one class, that are present in
person or represented by proxy and entitled to vote at the special general meeting in accordance with Argo
Group’s Bye-Laws, an abstention with respect to the adjournment proposal will have the effect of a vote
against the adjournment proposal, but common shares or preferred shares deemed not in attendance at the
special general meeting, whether due to a record holder’s failure to vote or a “street name” holder’s failure to
provide any voting instructions to such holder’s bank, broker or other nominee, will have no effect on the
outcome of the adjournment proposal.
Revocation of Proxies (Page 92)
Holders of record may revoke a submitted proxy prior to its exercise at the special general meeting, or
any adjournment thereof, in any of the following ways: (1) submitting a later dated vote by telephone or
through the Internet in a timely manner (and in any event no later than 48 hours prior to the time of the
commencement of the special general meeting); that is, by 9:00 a.m. local Bermuda time (8:00 a.m. Eastern
Time) on April 17, 2023; (2) submitting a valid, later dated proxy card in a timely manner that is received no
later than 48 hours prior to the time of the commencement of the special general meeting; that is, by 9:00 a.m.
local Bermuda time (8:00 a.m. Eastern Time) on April 17, 2023; (3) giving written notice of such revocation to
Argo Group’s corporate secretary (at Wellesley House, 90 Pitts Bay Road, Pembroke HM 08, Bermuda),
which written notice is received at least 48 hours prior to the time of the commencement of the special
general meeting; that is, by 9:00 a.m. local Bermuda time (8:00 a.m. Eastern Time) on April 17, 2023; or (4)
attending and voting at the special general meeting, or any adjournment thereof (although attendance at the
meeting will not by itself revoke a proxy).
If your shares are held in “street name” by your bank, broker or other nominee, please follow the
instructions provided by your bank, broker or other nominee as to how to revoke your previously provided
voting instructions.
Background of the Merger (Page 24)
A description of the actions that led to the execution of the merger agreement is included under the
section of this proxy statement titled “The Merger - Background of the Merger.”
4 • 
TABLE OF CONTENTS​
Recommendation of the Argo Group Board of Directors (Page 33)
The Argo Group board of directors unanimously (1) approved the merger agreement, the statutory
merger agreement and the merger, (2) determined that the terms of the merger agreement and the statutory
merger are in the best interests of Argo Group, (3) declared the advisability of the merger agreement, the
statutory merger agreement and the merger and (4) resolved to recommend approval of the merger, the merger
agreement and the statutory merger agreement to Argo Group’s shareholders (subject to the right of the
Argo Group board of directors to withdraw, modify or amend such recommendation or terminate the merger
agreement in accordance with the terms of the merger agreement). Accordingly, the Argo Group board of
directors unanimously recommends that Argo Group’s shareholders vote “FOR” the merger proposal, “FOR”
the compensation advisory proposal and “FOR” the adjournment proposal. See the section of this proxy
statement titled “The Merger - Argo Group’s Reasons for the Merger and Recommendation of the Argo
Group Board of Directors” for the factors considered by the Argo Group board of directors in reaching its
determination that the terms of the merger agreement and the statutory merger agreement are in the best
interests of Argo Group.",12,13
"Argo Group International Holdings, Ltd._20230320_DEFM14A_20737540_4621891.Pdf",Opinion of Argo Group’s Financial Advisor,"Opinion of Argo Group’s Financial Advisor (Page 37)
Goldman Sachs & Co. LLC (which we refer to as “Goldman Sachs”) delivered its opinion to Argo
Group’s board of directors that, as of February 8, 2023 and based upon and subject to the factors and
assumptions set forth therein, the $30.00 in cash per common share to be paid to the holders (other than
Brookfield Reinsurance and its affiliates) of common shares pursuant to the merger agreement was fair from a
financial point of view to such holders of common shares.
The full text of the written opinion of Goldman Sachs, dated February 8, 2023, which sets forth assumptions
made, procedures followed, matters considered and limitations on the review undertaken in connection with the
opinion, is attached as Annex B to this proxy statement. Goldman Sachs provided advisory services and its opinion for
the information and assistance of Argo Group’s board of directors in connection with its consideration of the merger.
Goldman Sachs’ opinion is not a recommendation as to how any holder of common shares should vote with respect to
the merger or any other matter.
Pursuant to an engagement letter between Argo Group and Goldman Sachs, Argo Group has agreed to
pay Goldman Sachs a transaction fee of approximately $10.5 million, all of which is contingent upon
consummation of the merger.",13,13
"Argo Group International Holdings, Ltd._20230320_DEFM14A_20737540_4621891.Pdf",Financing,"Financing (Page 44)
The transaction is not subject to a financing condition or contingency. Brookfield Reinsurance has
informed us that it has the financial resources to complete the merger and it expects to use existing cash on
hand and liquidity available to Brookfield Reinsurance to fund the aggregate merger consideration.",13,13
"Argo Group International Holdings, Ltd._20230320_DEFM14A_20737540_4621891.Pdf",Interests of Certain Persons in the Merger,"Interests of Certain Persons in the Merger (Page 45)
Argo Group’s executive officers and directors may have interests in the merger that may be different
from, or in addition to, those of Argo Group’s shareholders generally. The Argo Group board of directors was
aware of and considered these interests to the extent such interests existed at the time, among other matters,
in evaluating and negotiating the merger agreement, in approving the merger agreement and the merger and
in recommending that the merger agreement be approved by the shareholders of Argo Group. As described in
more detail below, these interests potentially include:
for the Argo Group executive officers, if applicable, the accelerated vesting upon the closing of the
merger (or, solely with respect to the Argo Group cash awards, upon a qualifying termination of
employment following the closing of the merger), in each case, as described further below, of 55,563
Argo Group restricted shares (assuming performance levels for performance-vesting Argo Group
restricted shares as described in detail below) with an estimated aggregate value of $1,666,890 based
on the per share merger consideration of $30.00, Argo Group cash awards with an estimated aggregate
value of $12,281, and 135,000 Argo Group SARs with an estimated aggregate value of $0 based on an
exercise price of $43.80 per Argo Group SAR and the per share merger consideration of $30.00;
5",13,14
