Document,Section Header,Section Text,Start Page,End Page
BOTTOMLINE TECHNOLOGIES INC_20220202_DEFM14A_19817567_4374090.Pdf,SUMMARY,"SUMMARY
This summary highlights selected information from this proxy statement related to the merger of Project RB Merger Sub, Inc. with and into Bottomline
Technologies, Inc., which we refer to as the “Merger”, and may not contain all of the information that is important to you. To understand the Merger
more fully and for a more complete description of the legal terms of the Merger, you should carefully read this entire proxy statement, the annexes to this
proxy statement and the documents that we refer to in this proxy statement. You may obtain the information incorporated by reference in this proxy
statement without charge by following the instructions under the caption “Where You Can Find More Information.” The Merger Agreement is attached
as Annex A to this proxy statement. We encourage you to read the Merger Agreement, which is the legal document that governs the Merger, carefully
and in its entirety.
Except as otherwise specifically noted in this proxy statement, “Bottomline”, the “Company”, “we”, “our”, “us” and similar words refer to Bottomline
Technologies, Inc., including, in certain cases, our subsidiaries. Throughout this proxy statement, we refer to Bottomline Intermediate Holdings III,
LLC (formerly known as Project RB Parent, LLC) as “Parent” and Project RB Merger Sub, Inc. as “Merger Sub”. In addition, throughout this proxy
statement we refer to the Agreement and Plan of Merger, dated December 16, 2021, by and among Bottomline, Parent and Merger Sub, as it may be
amended from time to time, as the “Merger Agreement”.",8,8
BOTTOMLINE TECHNOLOGIES INC_20220202_DEFM14A_19817567_4374090.Pdf,Parties Involved in the Merger,"Parties Involved in the Merger
Bottomline Technologies, Inc.
Bottomline makes complex business payments simple, smart and secure. Corporations and banks rely on Bottomline for domestic and international
payments, efficient cash management, automated workflows for payment processing and bill review, and fraud detection, behavioral analytics and
regulatory compliance solutions. Thousands of corporations around the world benefit from Bottomline solutions. Headquartered in Portsmouth, NH,
Bottomline delights customers through offices across the U.S., Europe and Asia-Pacific.
Bottomline’s common stock is listed on The NASDAQ Global Select Market (“NASDAQ”) under the symbol “EPAY”.
Bottomline Intermediate Holdings III, LLC (formerly known as Project RB Parent, LLC)
Bottomline Intermediate Holdings III, LLC (formerly known as Project RB Parent, LLC) was formed on December 9, 2021, solely for the purpose of
engaging in the transactions contemplated by the Merger Agreement and has not engaged in any business activities other than in connection with the
transactions contemplated by the Merger Agreement and arranging the equity financing and debt financing, if applicable, in connection with the Merger.
Project RB Merger Sub Inc.
Project RB Merger Sub, Inc. is a wholly owned direct subsidiary of Parent and was formed on December 9, 2021, solely for the purpose of engaging in the
transactions contemplated by the Merger Agreement and has not engaged in any business activities other than in connection with the transactions
contemplated by the Merger Agreement and arranging the equity financing and debt financing, if applicable, in connection with the Merger.
Parent and Merger Sub are each affiliated with Thoma Bravo Fund XV, L.P. (the “Thoma Bravo Fund”). In connection with the transactions contemplated
by the Merger Agreement, the Thoma Bravo Fund has provided to Parent an equity commitment of an amount equal to the estimated amount of
aggregate consideration that will be due and payable at closing.
1Table of Contents
The Thoma Bravo Fund is managed by Thoma Bravo, L.P. (“Thoma Bravo”). Thoma Bravo is a leading private equity investment firm building on a 30+
year history of providing equity and strategic support to experienced management teams and growing companies.
For more information, please see the section captioned “The Merger — Parties Involved in the Merger.” beginning on page 31 of this proxy statement.
The Merger",8,9
BOTTOMLINE TECHNOLOGIES INC_20220202_DEFM14A_19817567_4374090.Pdf,The Merger,"The Merger
Upon the terms and subject to the conditions of the Merger Agreement, if the Merger is completed, Merger Sub will merge with and into Bottomline, and
Bottomline will continue as the surviving corporation and as a wholly owned subsidiary of Parent (the “Surviving Corporation”). As a result of the
Merger, Bottomline will cease to be a publicly traded company, all outstanding shares of Bottomline stock will be canceled and converted into the right to
receive $57.00 per share in cash, less any applicable withholding taxes (the “Per Share Merger Consideration”) (except for any shares owned by Parent or
Merger Sub or stockholders who are entitled to and who properly exercise appraisal rights pursuant to Section 262 of the Delaware General Corporation
Law (the “DGCL”)), and you will not own any shares of the capital stock of the Surviving Corporation.
After the Merger is completed, you will have the right to receive the Per Share Merger Consideration, but you will no longer have any rights as a
stockholder (except that stockholders who properly exercise their appraisal rights will have the right to receive a payment for the “fair value” of their
shares as determined pursuant to an appraisal proceeding as contemplated by Section 262 of the DGCL, as described below under the caption “The
Merger — Appraisal Rights”).
For more information, see the section of this proxy statement captioned “The Merger” beginning on page 31 of this proxy statement.",9,9
BOTTOMLINE TECHNOLOGIES INC_20220202_DEFM14A_19817567_4374090.Pdf,"Treatment of Restricted Stock Awards, Restricted Stock Unit Awards and Stock Options","Treatment of Restricted Stock Awards, Restricted Stock Unit Awards and Stock Options
Each restricted stock award, restricted stock unit award and stock option award that is outstanding as of the time the Merger becomes effective (the
“Effective Time”) will be provided at that time with an additional 30 months of time-based vesting credit (measured from the closing date) (the “Additional
Vesting Credit”), which includes the additional 12 months of time-based vesting credit provided under the Company’s 2019 Stock Incentive Plan (as
amended) in connection with a “change in control” (which will occur upon the Effective Time), unless a holder is entitled to alternative vesting provisions
under an existing award agreement or contract. In addition, any performance-based vesting conditions under restricted stock awards and restricted stock
unit awards that are outstanding as of the Effective Time will be deemed to have been achieved at the target level of performance. Additional “double-
trigger” vesting protection applies for remaining unvested awards (i.e., awards that remain unvested following application of the Additional Vesting
Credit) in the event of a qualifying termination of employment following the Effective Time.
After giving effect to the Additional Vesting Credit, all vested restricted stock awards, vested restricted stock unit awards and vested stock options will
be cancelled at the Effective Time and converted into the right to receive the Per Share Merger Consideration with respect to each share of Bottomline
common stock subject to the award (less applicable withholding and any applicable exercise price in the case of stock options) promptly following the
Effective Time. Restricted stock awards and restricted stock unit awards which remain unvested as of the Effective Time (after application of the
Additional Vesting Credit) will be converted into the right to receive an amount in cash equal to the Per Share Merger Consideration (less applicable
withholding) multiplied by the number of shares of Bottomline stock subject to the award, which amount will be payable by the Surviving Corporation
upon vesting, subject to the holder’s continued service with the Surviving Corporation. The Additional Vesting Credit will be applied for purposes of
determining the timing of vesting and payment of the replacement cash amounts issued in respect of restricted stock awards and restricted stock unit
awards that
2Table of Contents
remain unvested as of the Effective Time after the application of such Additional Vesting Credit. It is anticipated that all of the Company’s stock options
will be vested as of the Effective Time and that all of the Company’s stock options will have an exercise price less than the Per Share Merger
Consideration.
For more information, please see the section captioned “The Merger Agreement — Interests of Bottomline’s Directors and Executive Officers in the
Merger.” beginning on page 55 of this proxy statement.
Financing of the Merger",9,10
BOTTOMLINE TECHNOLOGIES INC_20220202_DEFM14A_19817567_4374090.Pdf,Financing of the Merger,"Financing of the Merger
We anticipate that the total funds needed to complete the Merger will be approximately $2.6 billion, which will be funded via the equity financing
described below. This amount includes funds needed to (i) pay our stockholders the amounts due to them under the Merger Agreement, (ii) pay all fees
and expenses payable by Parent and Merger Sub under the Merger Agreement and (iii) make payments due as of the Effective Time in respect of our
outstanding equity-based awards pursuant to the Merger Agreement.
In connection with the Merger, Parent has entered into an equity commitment letter, dated as of December 16, 2021, with the Thoma Bravo Fund (the
“Equity Commitment Letter”), to which Bottomline is an express limited third party beneficiary, for an amount equal to the estimated amount of aggregate
consideration that will be due and payable at closing (the “Equity Financing”). For more information, see the section of this proxy statement captioned
“The Merger — Financing of the Merger,” beginning on page 63 of this proxy statement.
Under the Merger Agreement, Bottomline has agreed to cooperate should Parent attempt to obtain any debt financing for the purpose of funding the
transactions contemplated by the Merger Agreement (the “Debt Financing”). For more information, please see the section captioned “The Merger
Agreement — Financing Cooperation,” beginning on page 89 of this proxy statement.",10,10
BOTTOMLINE TECHNOLOGIES INC_20220202_DEFM14A_19817567_4374090.Pdf,Conditions to the Closing of the Merger,"Conditions to the Closing of the Merger
The obligations of Bottomline, Parent and Merger Sub, as applicable, to consummate the Merger are subject to the satisfaction or waiver of certain
conditions, including (among other conditions), the following:
•
the adoption of the Merger Agreement by the requisite affirmative vote of stockholders;
•
(i) the expiration or termination of the applicable waiting period under the Hart-Scott-Rodino Antitrust Improvements Act of 1976, as
amended (“HSR Act”), and (ii) the approval of the change in control over Bottomline Payment Services Limited (a U.K. based subsidiary of
Bottomline) by the Financial Conduct Authority in the United Kingdom (the “FCA”);
•
the consummation of the Merger not being made illegal or otherwise prohibited by any law or order of any governmental authority of
competent jurisdiction;
•
the accuracy of the representations and warranties of Bottomline, Parent and Merger Sub in the Merger Agreement, subject to materiality
qualifiers (in the case of representations and warranties of Bottomline generally, other than as would not constitute a Company Material
Adverse Effect (as defined in the section captioned “The Merger Agreement – Representations and Warranties – Bottomline”) and, in the
case of the capitalization representations and warranties of Bottomline, other than as would not increase the aggregate merger consideration
by more than $7,500,000), as of the date of the Merger Agreement and as of the closing date, or, as applicable, the date in respect of which
such representation or warranty was specifically made;
•
Bottomline, Parent and Merger Sub having performed in all material respects their obligations under the Merger Agreement at or before the
Effective Time;
•
since the date of the Merger Agreement, there not having occurred or arisen any Company Material Adverse Effect (as defined below); and
3Table of Contents
•
the receipt of certificates executed by executive officers of Bottomline, on the one hand, or Parent and Merger Sub, on the other hand,
certifying to the effect that the conditions described in the preceding three bullets have been satisfied.
For more information, please see the section captioned “The Merger Agreement — Conditions to the Closing of the Merger,” beginning on page 94 of
this proxy statement.",10,11
BOTTOMLINE TECHNOLOGIES INC_20220202_DEFM14A_19817567_4374090.Pdf,Regulatory Approvals Required for the Merger,"Regulatory Approvals Required for the Merger
Bottomline and Parent have agreed to use their reasonable best efforts to comply with all regulatory notification requirements and obtain all regulatory
approvals required to consummate the Merger and the other transactions contemplated by the Merger Agreement. These approvals include (i) the
expiration or early termination of the applicable waiting period under the HSR Act; and (ii) approval of the change in control relating to Bottomline
Payment Services Limited (a U.K. based subsidiary of Bottomline) by the FCA.
Bottomline and Parent made the necessary filings with the Federal Trade Commission (the “FTC”) and the Antitrust Division of the DOJ (the “DOJ”) on
December 30, 2021. The required waiting period under the HSR Act with respect to the Merger expired at 11:59 p.m., Eastern Time on January 31, 2022.
Accordingly, the condition of the expiration or termination of the applicable waiting period under the HSR Act as described below under the caption “—
Conditions to the Closing of the Merger” has been satisfied. Additionally, Parent submitted a change in control application with the FCA on January 20,
2022.
For more information, please see the section captioned “The Merger — Regulatory Approvals Required for the Merger,” beginning on page 71 of this
proxy statement.
Recommendation of the Board of Directors",11,11
BOTTOMLINE TECHNOLOGIES INC_20220202_DEFM14A_19817567_4374090.Pdf,Recommendation of the Board of Directors,"Recommendation of the Board of Directors
Bottomline’s Board of Directors (the “Board of Directors”), after considering various factors described under the caption “The Merger —
Recommendation of the Board of Directors and Reasons for the Merger,” has unanimously (1) adopted and declared advisable the Merger Agreement
and the transactions contemplated by the Merger Agreement, (2) declared that it is in the best interests of Bottomline and its stockholders that
Bottomline enter into the Merger Agreement and consummate the transactions contemplated by the Merger Agreement, in each case on the terms and
subject to the conditions set forth in the Merger Agreement and (3) declared that the terms of the Merger Agreement are fair to Bottomline and its
stockholders. The Board of Directors unanimously recommends that you vote (1) “FOR” the adoption of the Merger Agreement; (2) “FOR” the
adjournment of the Special Meeting, if necessary or appropriate, to solicit additional proxies if there are insufficient votes to adopt the Merger
Agreement at the time of the Special Meeting; and (3) “FOR” the proposal to approve, by non-binding, advisory vote, compensation that will or may
become payable by Bottomline to its named executive officers in connection with the Merger.
Opinion of Bottomline’s Financial Advisor",11,11
BOTTOMLINE TECHNOLOGIES INC_20220202_DEFM14A_19817567_4374090.Pdf,Opinion of Bottomline’s Financial Advisor,"Opinion of Bottomline’s Financial Advisor
In connection with the Merger Agreement and the Merger, Deutsche Bank Securities Inc. (which we refer to as “Deutsche Bank”) on December 16, 2021,
delivered its oral opinion to the Board, subsequently confirmed in a written opinion dated December 17, 2021, that, as of such date and based upon and
subject to the assumptions, limitations, qualifications and other conditions set forth in the opinion, the Per Share Merger Consideration was fair, from a
financial point of view, to holders of Bottomline’s common stock.
The full text of Deutsche Bank’s written opinion, dated as of December 17, 2021, which sets forth, among other things, the assumptions made, matters
considered and limitations, qualifications and conditions of the review undertaken by Deutsche Bank in connection with its opinion, is attached as Annex
B to this proxy statement and is incorporated herein by reference. The summary of Deutsche Bank’s opinion set forth in this proxy statement is
4Table of Contents
qualified in its entirety by reference to the full text of Deutsche Bank’s opinion set forth as Annex B. Deutsche Bank’s opinion was addressed to, and for
the use and benefit of, the Board of Directors in connection with and for purposes of its evaluation of the Merger. For more information regarding the
opinion of Deutsche Bank, see “The Merger — Opinion of Bottomline’s Financial Advisor” beginning on page 47 of this proxy statement. Deutsche
Bank’s opinion is not a recommendation as to how any holders of shares should vote with respect to the Merger.
Interests of Bottomline’s Directors and Executive Officers in the Merger",11,12
BOTTOMLINE TECHNOLOGIES INC_20220202_DEFM14A_19817567_4374090.Pdf,Interests of Bottomline’s Directors and Executive Officers in the Merger,"Interests of Bottomline’s Directors and Executive Officers in the Merger
When considering the recommendation of the Board of Directors that you vote to approve the proposal to adopt the Merger Agreement, you should be
aware that our directors and executive officers may have interests in the Merger that are different from, or in addition to, your interests as a stockholder.
In (i) evaluating and negotiating the Merger Agreement; (ii) approving the Merger Agreement and the Merger; and (iii) recommending that the Merger
Agreement be adopted by Bottomline’s stockholders, the Board of Directors was aware of and considered these interests to the extent that they existed at
the time, among other matters. These interests include the following:
•
the provision of the Additional Vesting Credit for unvested restricted stock awards (directors and executive officers currently do not hold
restricted stock unit awards or options), the application of “single-trigger” vesting protection for certain executive officers’ unvested
awards upon closing and the application of “double-trigger” vesting protection for remaining unvested awards in the event of a qualifying
termination of employment following the Effective Time;
•
the deemed satisfaction of any performance-based vesting conditions under applicable restricted stock awards at the target level of
performance;
•
the eligibility of certain executive officers to receive payments and benefits under employment arrangements entered into with the Company
in connection with a qualifying termination of employment following the Effective Time;
•
the possibility of continued employment of Bottomline’s officers with the Surviving Corporation that is anticipated to occur following the
Effective Time; and
•
continued indemnification and directors’ and officers’ liability insurance to be provided by the Surviving Corporation following the Effective
Time.
Philip Hilal, a director of Bottomline, is also the Founder and Chief Investment Officer of Clearfield Capital Management LP. As of January 24, 2022, Mr.
Hilal beneficially owned 935,000 shares (approximately 2.1%) of Bottomline’s common stock (which includes shares that Mr. Hilal may be deemed to
beneficially own by virtue of his positions at Clearfield Capital Management LP). As of January 24, 2022, Clearfield Capital Management LP beneficially
owned 925,000 shares (approximately 2.1%) of Bottomline’s common stock.
If the proposal to adopt the Merger Agreement is approved, the shares of common stock held by our directors and executive officers as of the Effective
Time will be treated in the same manner as outstanding shares of common stock held by all other stockholders. For more information, see the section of
this proxy statement captioned “The Merger — Interests of Bottomline’s Directors and Executive Officers in the Merger,” beginning on page 55 of this
proxy statement.",12,12
