Document,Section Header,Section Text,Start Page,End Page
BTRS Holdings Inc._20221110_DEFM14A_20444054_4544754.Pdf,SUMMARY,"SUMMARY
This summary highlights information contained elsewhere in this proxy statement and may not contain all the
information that is important to you with respect to the merger. We urge you to read carefully the remainder of this
proxy statement, including the attached annexes, and the other documents to which we have referred you. For
additional information on Billtrust included in documents incorporated by reference into this proxy statement, see
the section entitled “Where You Can Find More Information” beginning on page 97 of this proxy statement. We
have included page references in this summary to direct you to a more complete description of the topics presented
below.
All references to “Billtrust,” “we,” “us” or “our” in this proxy statement refer to BTRS Holdings Inc., a
Delaware corporation, including in some cases, its subsidiaries; all references to “Parent” refer to Bullseye FinCo,
Inc., a Delaware corporation; all references to “Merger Sub” refer to Bullseye Merger Sub, Inc., a Delaware
corporation and a direct, wholly owned subsidiary of Parent formed for the sole purpose of effecting the merger; all
references to “Billtrust common stock” refer to the Class 1 common stock of Billtrust, $0.0001 par value, and Class
2 common stock of Billtrust, $0.0001 par value; all references to the “Billtrust board” or “Billtrust board of
directors” refer to the board of directors of Billtrust; all references to the “merger” refer to the merger of Merger Sub
with and into Billtrust with Billtrust surviving as a wholly owned subsidiary of Parent; and, unless otherwise
indicated or as the context requires, all references to the “merger agreement” refer to the Agreement and Plan of
Merger, dated as of September 28, 2022, as may be amended from time to time, by and among Billtrust, Parent and
Merger Sub. Billtrust, following the completion of the merger, is sometimes referred to in this proxy statement as the
“surviving corporation.”
1TABLE OF CONTENTS
THE COMPANIES",12,13
BTRS Holdings Inc._20221110_DEFM14A_20444054_4544754.Pdf,THE COMPANIES,"THE COMPANIES
BTRS Holdings Inc. (see page 25)",13,13
BTRS Holdings Inc._20221110_DEFM14A_20444054_4544754.Pdf,BTRS Holdings Inc.,"BTRS Holdings Inc. (see page 25)
Billtrust is a leading provider of cloud-based software and integrated payment processing solutions that
simplify and automate B2B commerce. For businesses around the world, there is a high degree of cost, risk, and
complexity in timely receiving cash and recognizing revenue; Billtrust solves these problems by addressing both
sides of the payment equation, delivering an order-to-cash platform that spans credit-to-cash application and
collection, integrated with an open network connecting the B2B payments ecosystem. Billtrust is at the forefront of
the digital transformation of accounts receivable, providing mission-critical solutions that span credit decisioning
and monitoring, online ordering, invoice delivery, payments and remittance capture, invoicing, cash application and
collections.
Billtrust’s principal executive office is located at 1009 Lenox Drive, Suite 101, Lawrenceville, New Jersey 08648.
Billtrust’s telephone number is (609) 235-1010. Billtrust’s internet website address is www.billtrust.com. The
information provided on the Billtrust website is not part of this proxy statement and is not incorporated in this proxy
statement by reference by this or any other reference to its website provided in this proxy statement.
Shares of Billtrust common stock are listed and traded on the Nasdaq Global Select Market (“Nasdaq”) under
the symbol “BTRS.”
Parent (see page 25)",13,13
BTRS Holdings Inc._20221110_DEFM14A_20444054_4544754.Pdf,Parent,"Parent (see page 25)
Bullseye FinCo, Inc., which we refer to as “Parent”, is a Delaware corporation formed solely for the purpose of
entering into the transactions contemplated by the merger agreement, and has not entered into any business
activities other than in connection with the transactions contemplated by the merger agreement and arranging of the
equity financing and the debt financing in connection with the merger. Upon completion of the merger, Parent will be
the immediate parent company of Billtrust.
Parent and Merger Sub are each affiliated with EQT X EUR SCSp and EQT X USD SCSp, which we collectively
refer to as the “EQT Investors”. At the effective time of the merger, Billtrust, as the surviving corporation, will be
indirectly owned by, among others, the EQT Investors.
The EQT Investors are affiliates of the EQT X fund and EQT AB, a leading investment firm with more than EUR
77 billion in assets under management across 36 active funds and with portfolio companies in Europe, Asia-Pacific
and the Americas with total sales of approximately EUR 29 billion and more than 280,000 employees.
Parent’s principal executive office is located at 1114 Avenue of the Americas, 45th Floor, New York, NY 10036 (c/o
EQT Partners Inc.). Parent’s telephone number is +1 (917) 281-0850. Parent’s internet website address is
www.eqtgroup.com. The information provided on the Parent website is not part of this proxy statement and is not
incorporated in this proxy statement by reference by this or any other reference to its website provided in this proxy
statement.
Merger Sub (see page 25)",13,13
BTRS Holdings Inc._20221110_DEFM14A_20444054_4544754.Pdf,Merger Sub,"Merger Sub (see page 25)
Bullseye Merger Sub, Inc., which we refer to as “Merger Sub”, is a Delaware corporation and wholly owned
subsidiary of Parent, formed solely for the purpose of entering into the transactions contemplated by the merger
agreement, and has not entered into any business activities other than in connection with the transactions
contemplated by the merger agreement and arranging of the equity financing and the debt financing in connection
with the merger. Upon completion of the merger, Merger Sub will merge with and into Billtrust, with Billtrust
surviving, and Merger Sub will cease to exist.
2TABLE OF CONTENTS
 THE MERGER",13,14
BTRS Holdings Inc._20221110_DEFM14A_20444054_4544754.Pdf,THE MERGER,"THE MERGER
A copy of the merger agreement is attached as Annex A to this proxy statement. We encourage you to read the
entire merger agreement carefully because it is the principal document governing the merger. For more information
on the merger agreement, see the section entitled “The Transaction Agreements-The Merger Agreement” beginning
on page 56 of this proxy statement.
Effects of the Merger (see page 31)",14,14
BTRS Holdings Inc._20221110_DEFM14A_20444054_4544754.Pdf,Effects of the Merger,"Effects of the Merger (see page 31)
If the merger is completed, then, at the effective time of the merger, Merger Sub will be merged with and into
Billtrust in accordance with the DGCL. As a result of the merger, the separate existence of Merger Sub will cease, and
Billtrust will survive the merger as a wholly owned subsidiary of Parent.
Upon consummation of the merger, your shares of Billtrust common stock will be converted into the right to
receive the per share merger consideration described below unless you have properly demanded appraisal rights in
accordance with Delaware law. As a result, you will not own any shares of the surviving corporation, and you will no
longer have any interest in its future earnings or growth. As a result of the merger, Billtrust will cease to be a publicly-
traded company and will be a wholly owned subsidiary of Parent. Following consummation of the merger, the
surviving corporation will terminate the registration of Billtrust’s common stock on the Nasdaq and Billtrust will no
longer be subject to reporting obligations under the Securities Exchange Act of 1934, as amended (the “Exchange
Act”).
Merger Consideration (see page 57)",14,14
BTRS Holdings Inc._20221110_DEFM14A_20444054_4544754.Pdf,Merger Consideration,"Merger Consideration (see page 57)
Upon the terms and subject to the conditions of the merger agreement, at the effective time of the merger,
Billtrust stockholders will have the right to receive $9.50 in cash, without interest (the “merger consideration”), and
less any applicable withholding taxes, for each share of Billtrust common stock that they own immediately prior to the
effective time of the merger.
Treatment of Billtrust Equity Awards (see page 58)",14,14
BTRS Holdings Inc._20221110_DEFM14A_20444054_4544754.Pdf,Treatment of Billtrust Equity Awards,"Treatment of Billtrust Equity Awards (see page 58)
The merger agreement provides that, except as otherwise agreed to by Parent and the applicable holder thereof,
at or immediately prior to the effective time of the merger, the outstanding equity awards of Billtrust granted pursuant
to Billtrust’s 2020 Equity Incentive Plan, the Factor Systems, Inc. 2014 Incentive Compensation Plan or the Factor
Systems, Inc. 2003 Stock Incentive Plan (each, an “Equity Plan”) will be treated as follows:
Stock Options
With respect to each option to acquire Billtrust common stock (a “Company Stock Option”) granted pursuant
the Equity Plans, whether vested or unvested, that is outstanding immediately prior to the effective time of the
merger, (i) if the per share exercise price of such Company Stock Option is equal to or greater than the merger
consideration (each, an “Out-of-the-Money Option”), such Company Stock Option will terminate and be cancelled
immediately prior to the effective time of the merger, without any consideration payable in respect thereof, and will
have no further force or effect and (ii) if the per share exercise price for such Company Stock Option is less than the
merger consideration (each, an “In-the-Money Option”), such Company Stock Option will become fully vested (to
the extent unvested or to the extent such Company Stock Option would not otherwise vest) and will terminate and be
cancelled immediately prior to the effective time of the merger in exchange for the right to receive an amount in cash,
determined by multiplying (i) the excess, if any, of the merger consideration over the applicable exercise price of such
canceled Company Stock Option by (ii) the number of shares subject to such Company Stock Option immediately
prior to the effective time of the merger.
Restricted Stock Units
Except as provided with below with respect to New RSUs (as defined below), each restricted stock unit granted
pursuant to an Equity Plan (a “Company RSU”) will fully vest and be canceled and converted into the right of the
holder to receive an amount in cash equal to the product of (i) the merger consideration and (ii) the total number of
shares subject to such Company RSU.
Under the merger agreement, Billtrust may grant certain equity awards after September 28, 2022 and prior to the
closing of the merger. Specifically, prior to closing, Billtrust may grant (i) Company RSUs to
3TABLE OF CONTENTS
non-employee directors in accordance with the Billtrust Director Compensation Policy, (ii) off-cycle Company RSUs
to newly hired employees and in connection with employee promotions, in each case, in the ordinary course of
business, the shares underlying which cannot exceed 500,000 in the aggregate without Parent’s consent, (iii)
Company RSUs committed to be granted to September 2022 new hires, and (iv) if closing of the merger does not
occur on or before March 31, 2023, Billtrust may grant Company RSUs to employees, executive officers and non-
employee directors in the ordinary course of business (provided that any such Company RSUs awarded to the CEO
or any direct report of the CEO or any Executive Vice President or Senior Vice President of Billtrust is subject to the
consent of Parent, which consent may not be unreasonably withheld). The Company RSUs granted after September
28, 2022 and prior to the closing are sometimes referred to herein as “New RSUs.” Except for such grants made to
non-employee directors, New RSUs will be converted into cash awards immediately prior to the effective time of the
merger, each in an amount equal to the product of (i) the merger consideration and (ii) the total number of shares
subject to the corresponding Company RSU, which cash awards will vest and be payable in equal monthly
installments over the two-year period immediately following the closing of the transaction, subject to the grantee’s
continuous employment as of the applicable vesting date (provided that any unpaid amount will vest and be payable
in a lump sum upon the grantee’s earlier termination of employment under circumstances that entitle the grantee to
severance under Billtrust’s severance plans and policies, or would have entitled the grantee to such severance had
the termination occurred within the first year following the closing of the transaction) (such a conversion of
Company RSUs to such a cash award, the “RSU Conversion.”
All cash payments in respect of any Billtrust equity awards will be paid, without interest and less any applicable
withholding taxes, promptly following the effective time of the merger and in no event more than five calendar days
following the effective time of the merger.
Employee Stock Purchase Plan
No new offering period will commence following September 28, 2022 under the 2020 Employee Stock Purchase
Plan (the “ESPP”). Any contributions accumulated under the ESPP pursuant to an offering period in effect as of
September 28, 2022 will be used to purchase shares of Billtrust common stock on the earlier to the occur of (i) the last
day of the offering purchase period and (ii) ten calendar days prior to the closing of the transaction. The ESPP will
terminate immediately prior to the effective time of the merger. Shares purchased under the ESPP that remain
outstanding as of the effective time will be eligible to receive the merger consideration.
Recommendation of the Billtrust Board of Directors (see page 26)",14,15
BTRS Holdings Inc._20221110_DEFM14A_20444054_4544754.Pdf,Recommendation of the Billtrust Board of Directors,"Recommendation of the Billtrust Board of Directors (see page 26)
After careful consideration, the Billtrust board of directors (other than Mr. Lane and Mr. Harris, who recused
themselves in light of the rollover and contribution agreements mentioned above) approved the merger agreement,
the merger and the other transactions contemplated by the merger agreement. Certain factors considered by the
Billtrust board of directors in reaching its decision to approve the merger agreement, the merger and the other
transactions contemplated by the merger agreement can be found in the section entitled “The Merger (Proposal 1)-
Billtrust’s Reasons for the Merger” beginning on page 38 of this proxy statement.
The Billtrust board of directors (other than Mr. Lane and Mr. Harris, who recused themselves in light of the
rollover and contribution agreements mentioned above) recommends that Billtrust stockholders vote:
1.
“FOR” the proposal to adopt the merger agreement;
2.
“FOR” the proposal to approve, on a non-binding, advisory basis, certain compensation that will or may be
paid by Billtrust to its named executive officers that is based on or otherwise relates to the merger; and
3.
“FOR” the proposal to approve an adjournment of the special meeting, including if necessary to solicit
additional proxies in favor of the proposal to adopt the merger agreement, if there are not sufficient votes at
the time of such adjournment to adopt the merger agreement.
Opinion of Billtrust’s Financial Advisor (see page 42)",15,15
