Document,Section Header,Section Text,Start Page,End Page
Blue Safari Group Acquisition Corp_20230327_DEFM14A_20752338_4627890.Pdf,ABOUT THIS PROXY STATEMENT/PROSPECTUS,"ABOUT THIS PROXY STATEMENT/PROSPECTUS
This document, which forms part of a registration statement on Form F-4 filed with the U.S. Securities
and Exchange Commission (“SEC”) by BTG, constitutes a prospectus of BTG under Section 5 of the U.S.
Securities Act of 1933, as amended (the “Securities Act”) with respect to the BTG Class A Ordinary Shares to
be issued pursuant to the Merger Agreement, if the Business Combination described herein is consummated.
This document also constitutes a notice of meeting and a proxy statement under Section 14(a) of the
Securities and Exchange Act of 1934 (the “Exchange Act”) with respect to the Extraordinary General Meeting
of BSGA Shareholders at which BSGA Shareholders shall be asked to consider and vote upon proposals to
approve the Business Combination Proposal, the Initial Mergers Proposal, the Nasdaq Proposal, the
Governing Documents Proposal, the Governing Documents Proposals A to D, the BTG Incentive Plan
Proposal and to adjourn the meeting, if necessary, to permit further solicitation of proxies because there are
not sufficient votes to adopt each of the Business Combination Proposal, the Initial Mergers Proposal, the
Nasdaq Proposal, the Governing Documents Proposal, the Governing Documents Proposals A to D, the BTG
Incentive Plan Proposal, or the Adjournment Proposal.
References to “U.S. Dollars” and “US$” in this proxy statement/prospectus are to United States dollars,
the legal currency of the United States. Discrepancies in any table between totals and sums of the amounts
listed are due to rounding. Certain amounts and percentages have been rounded; consequently, certain
figures may add up to be more or less than the total amount and certain percentages may add up to be more
or less than 100% due to rounding. In particular and without limitation, amounts expressed in millions
contained in this prospectus have been rounded to a single decimal place for the convenience of readers.
1",11,12
Blue Safari Group Acquisition Corp_20230327_DEFM14A_20752338_4627890.Pdf,INDUSTRY AND MARKET DATA,"INDUSTRY AND MARKET DATA
The industry and market position information that appears in this proxy statement/prospectus is from
independent market research carried out by Frost & Sullivan, which was commissioned by Bitdeer. This
information involves a number of assumptions and limitations, and you are cautioned not to give undue
weight to these estimates.
Such information is supplemented where necessary with Bitdeer’s own internal estimates and
information obtained taking into account publicly available information about other industry participants and
Bitdeer’s management’s judgment where information is not publicly available. This information appears in
“Summary of the Proxy Statement/Prospectus,” “Bitdeer’s Management’s Discussion and Analysis of
Financial Condition and Results of Operations,” “Information Related to Bitdeer” and other sections of this
proxy statement/​prospectus.
Industry reports, publications, research, studies and forecasts generally state that the information they
contain has been obtained from sources believed to be reliable, but that the accuracy and completeness of
such information is not guaranteed. In some cases, we do not expressly refer to the sources from which this
data is derived. While we have compiled, extracted, and reproduced industry data from these sources, we
have not independently verified the data. Forecasts and other forward-looking information obtained from
these sources are subject to the same qualifications and uncertainties as the other forward-looking
statements in this proxy statement/prospectus. These forecasts and forward-looking information are subject
to uncertainty and risk due to a variety of factors, including those described under “Risk Factors,”
“Forward-Looking Statements,” and “Bitdeer’s Management’s Discussion and Analysis of Financial
Condition and Results of Operations.” These and other factors could cause results to differ materially from
those expressed in any forecasts or estimates.
2",12,13
Blue Safari Group Acquisition Corp_20230327_DEFM14A_20752338_4627890.Pdf,ADDITIONAL INFORMATION,"ADDITIONAL INFORMATION
This proxy statement/prospectus incorporates important business and financial information about
BSGA from other documents that are not included in or delivered with this proxy statement/prospectus. This
information is available for you to review on the website of the U.S. Securities and Exchange Commission at
www.sec.gov. You can also obtain the documents incorporated by reference into this proxy
statement/​prospectus free of charge by requesting them in writing or by telephone from the appropriate
company at the following address:
Bitdeer Technologies Group 
08 Kallang Avenue 
Aperia tower 1, #09-03/04 
Singapore 339509 
Telephone: +65 62828220
To obtain timely delivery, BSGA Shareholders must request the materials no later than five business
days prior to the Extraordinary General Meeting, or by April 4, 2023.
You also may obtain additional proxy cards and other information related to the proxy solicitation by
contacting the appropriate contact listed above. You will not be charged for any of these documents that you
request.
For a more detailed description of the information incorporated by reference in this proxy statement/​
prospectus and how you may obtain it, see the section entitled “Where You Can Find More Information.”
3",13,14
Blue Safari Group Acquisition Corp_20230327_DEFM14A_20752338_4627890.Pdf,FINANCIAL STATEMENTS PRESENTATION,"FINANCIAL STATEMENTS PRESENTATION
BSGA
The historical financial statements of BSGA were prepared in accordance with generally accepted
accounting principles in the United States (“U.S. GAAP”) and are denominated in U.S. Dollars.
Bitdeer
Bitdeer’s unaudited condensed consolidated financial statements as of June 30, 2022 and for the six
months ended June 30, 2022 and 2021 and audited combined and consolidated financial statements as of
December 31, 2021 and 2020 and for each of the three years in the period ended December 31, 2021 included
in this proxy statement/prospectus have been prepared in accordance with International Financial Reporting
Standards (“IFRS”) as issued by the International Accounting Standards Board and are reported in U.S.
Dollars.
BTG
BTG was incorporated on December 8, 2021, for the sole purpose of effectuating the transactions
described herein. BTG has no material assets and does not operate any businesses. Accordingly, no financial
statements of BTG have been included in this proxy statement/prospectus.
The Business Combination is made up of the series of transactions provided for in the Merger
Agreement as described elsewhere within this proxy statement/prospectus. The transactions will be
accounted for as a reverse recapitalization in accordance with IFRS as issued by the IASB within the scope
of IFRS 2 (“Share-based payment”) whereby Bitdeer will be considered the accounting acquirer and BSGA
will be treated as the acquired company. The net assets of BSGA will be stated at historical cost, with no
goodwill or other intangible assets recorded.
Immediately following the Business Combination, BTG will qualify as a foreign private issuer and will
prepare its consolidated financial statements in accordance with IFRS.
Accordingly, the unaudited pro forma condensed combined financial information and the comparative
per share information that will be presented in this proxy statement/prospectus will be prepared in
accordance with IFRS.
4 TABLE OF CONTENTS​",14,15
Blue Safari Group Acquisition Corp_20230327_DEFM14A_20752338_4627890.Pdf,FREQUENTLY USED TERMS,"FREQUENTLY USED TERMS
Unless otherwise stated or unless the context otherwise requires, the term “Bitdeer” refers to Bitdeer
Technologies Holding Company, an exempted company with limited liability incorporated under the laws of
the Cayman Islands, the term “BSGA” refers to Blue Safari Group Acquisition Corp., a British Virgin Islands
business company, and “BTG” refers to Bitdeer Technologies Group, a newly incorporated exempted
company with limited liability incorporated under the laws of the Cayman Islands.
In addition, in this document:
“Acquisition Merger” means the merger where Bitdeer Merger Sub merges into and with Bitdeer, with
Bitdeer being the surviving company and becoming a wholly-owned subsidiary of BTG;
“Acquisition Entities” BTG, BSGA Merger Sub 1, BSGA Merger Sub 2 and Bitdeer Merger Sub;
“Adjournment Proposal” means the BSGA shareholder proposal to approve the adjournment of the
Extraordinary General Meeting for the purpose of soliciting additional proxies in favor of the approval of the
Business Combination in the event BSGA does not receive the requisite shareholder vote to approve the
Business Combination;
“Amended BTG Articles” means BTG’s amended and restated memorandum and articles of association;
“Bitdeer Convertible Note” means the US$30,000,000 8% coupon unsecured convertible notes due July
2023 issued pursuant to such subscription agreement dated July 23, 2021 between Bitdeer and VENTE
Technology Growth Investments L.P. as the noteholder, as may be amended and/or restated from time to
time;
“Bitdeer Merger Sub” or “Merger Sub 3” means Bitdeer Merge Limited, an exempted company with
limited liability incorporated under the laws of Cayman Islands and a direct wholly-owned subsidiary of BTG;
“Bitdeer Ordinary Shares” means the ordinary shares in the share capital of Bitdeer;
“Bitdeer Plan” means the 2021 Share Incentive Plan adopted by Bitdeer on July 20, 2021, as amended
from time to time;
“Bitdeer Preference Shares” means the preference shares in the share capital of Bitdeer;
“Bitdeer RSUs” means the restricted share units to acquire Bitdeer Shares issued pursuant to an award
granted under the Bitdeer Plan;
“Bitdeer shareholder” means any shareholder of Bitdeer;
“Bitdeer Shares” means the Bitdeer Ordinary Shares and the Bitdeer Preference Shares;
“Bitdeer Total Shares” means, as of immediately prior to the Acquisition Effective Time, the sum of (i) the
number of issued and outstanding Bitdeer Shares (on an as-converted basis), (ii) the aggregate number of
Bitdeer Shares (on an as-converted basis) issuable upon the settlement of all vested Bitdeer RSUs as of
immediately prior to the Acquisition Effective Time (including after giving effect to the consummation of the
Acquisition Merger or any acceleration of any unvested Bitdeer RSUs in connection with the consummation
of the Acquisition Merger) and (iii) the aggregate number of Bitdeer Shares (on an as converted basis)
issuable upon conversion of the Bitdeer Convertible Note;
“BNY Mellon” means The Bank of New York Mellon;
“BSGA Board” means the board of directors of BSGA;
“BSGA Merger Sub 1” means Blue Safari Merge Limited, a British Virgin Islands business company and a
wholly-owned subsidiary of BTG;
“BSGA Merger Sub 2” means Blue Safari Merge II Limited, a British Virgin Islands business company and
a wholly-owned subsidiary of BTG;
“BSGA Class A Ordinary Shares” means Class A ordinary shares of BSGA, no par value.
“BSGA Dissenting Shares” means BSGA Ordinary Shares owned by BSGA shareholders who have validly
exercised and not effectively withdrawn or lost their rights to dissent from the Business Combination
pursuant to the BVI Companies Act;
5 TABLE OF CONTENTS
“BSGA Ordinary Shares” means ordinary shares of BSGA, no par value.
“BSGA Parties” means BSGA and BSGA Sub;
“BSGA Rights” means rights of BSGA, each entitling the holder thereof to receive one-tenth (1/10) of
one BSGA Class A Ordinary Share upon consummation of BSGA’s initial business combination.
“BSGA Shareholders” means holders of BSGA Ordinary Shares;
“BSGA Sub” means Blue Safari Mini Corp., an exempted company with limited liability incorporated
under the laws of Cayman Islands and a direct wholly-owned subsidiary of BSGA;
“BSGA Units” means units of BSGA issued in the IPO and concurrent private placement, each consisting
of one BSGA Class A Ordinary Share and one BSGA Right.
“BTG Class A Ordinary Shares” means the Class A ordinary shares, par value US$0.0000001, in the share
capital of BTG;
“BTG Class V Ordinary Shares” means the Class V ordinary shares, par value US$0.0000001, in the share
capital of BTG;
“BTG Incentive Plan” means to the equity incentive plan in BTG after the consummation of the Business
Combination, in substantially the form attached hereto as Annex C to this proxy statement/prospectus;
“BTG Incentive Plan Proposal” means the BSGA shareholder proposal to approve, the BTG Incentive
Plan and certain matters relating to the BTG Incentive Plan;
“BTG Ordinary Shares” means BTG Class A Ordinary Shares and/or BTG Class V Ordinary Shares (as
appropriate);
“Business Combination” means the Mergers and other transactions contemplated by the Merger
Agreement;
“Business Combination Proposal” means the BSGA shareholder proposal on the approval of the Merger
Agreement and the Business Combination;
“BVI Companies Act” means the BVI Business Companies Act, 2004 (As Amended);
“Cayman Companies Act” means the Companies Act (As Revised) of the Cayman Islands;
“Closing” means the closing of the Business Combination;
“Closing Date” means the date of the Closing;
“Code” means the Internal Revenue Code of the 1986, as amended;
“Condition Precedent Proposals” mean all Proposals, except for the Adjournment Proposal;
“Continental” means Continental Stock Transfer & Trust Company, BSGA’s transfer agent;
“COVID-19” means the novel coronavirus;
“D&O Indemnified Persons” means the current or former directors and officers of the BSGA Parties;
“DTC” means The Depository Trust Company;
“Exchange Act” means the U.S. Securities Exchange Act of 1934, as amended;
“Exchange Ratio” means the quotient obtained by dividing the Per Share Equity Value by US$10.00,
which is approximately 0.00859 based on the number of Bitdeer Total Shares as of the date of this proxy
statement/prospectus;
“Existing BSGA Articles” means BSGA’s second amended and restated memorandum and articles of
association;
“Extraordinary General Meeting”  o r  t h e  “Meeting” means an extraordinary general meeting of
shareholders of BSGA to be held at 9:00 a.m., Eastern time, on April 11, 2023, at the offices of Davis Polk &
Wardwell LLP located at 450 Lexington Avenue, New York, NY10017 and virtually at
https://www.cstproxy.com/bluesafarigroup/2023;
6 
TABLE OF CONTENTS
“FASB” means Financial Accounting Standards Board;
“First SPAC Merger” means the merger where BSGA Merger Sub 1 merges with and into BSGA, with
BSGA being the surviving entity and becoming a wholly-owned subsidiary of BTG;
“Founder Shares” means the BSGA Class B ordinary shares, with no par value issued to BSGA’s
sponsor, which will automatically convert to Class A ordinary shares at the time of our initial business
combination, on a one-for-one basis;
“Governing Documents Proposal” means the BSGA shareholder proposal on the approval of the
Amended BTG Articles and certain other corporate governing documents;
“IAS” means International Accounting Standard;
“IASB” means International Accounting Standards Board;
“IFRS” means International Financial Reporting Standards as issued by the International Accounting
Standards Board;
“Initial Closing” means the closing of the Initial Mergers;
“Initial Mergers” means the First SPAC Merger and the Second SPAC Merger;
