Document,Section Header,Section Text,Start Page,End Page
"Bluerock Residential Growth REIT, Inc._20220311_DEFM14A_19938922_4406918.Pdf",SUMMARY,"SUMMARY
This summary highlights only selected information from this proxy statement relating to (1) the merger (the
“merger”) of Bluerock Residential Growth REIT, Inc., a Maryland corporation (the “Company” or
“Bluerock Residential”), with and into Badger Merger Sub LLC (“Merger Sub”), a wholly owned
subsidiary of Badger Parent LLC (“Parent”), an affiliate of Blackstone Inc. (“Blackstone”), and (2) other
matters contemplated by the Agreement and Plan of Merger, dated as of December 20, 2021, and as it may
be amended from time to time, among the Company, Parent, and Merger Sub (the “merger agreement”).
This summary does not contain all the information about the merger and related transactions
contemplated by the merger agreement that may be important to you. As a result, to understand the merger
and the related transactions fully and for a more complete description of the terms of the merger and
related transactions, you should read carefully this proxy statement in its entirety, including the exhibits
and the other documents to which we have referred you, including the merger agreement attached as
Exhibit A. Each item in this summary includes a page reference directing you to a more complete
description of that item. This proxy statement is first being mailed to our stockholders on or about March
11, 2022.",9,9
"Bluerock Residential Growth REIT, Inc._20220311_DEFM14A_19938922_4406918.Pdf",The Parties to the Merger,"The Parties to the Merger (page 28)
Bluerock Residential Growth REIT, Inc. 
1345 Avenue of the Americas, 32nd Floor 
New York, New York 10105 
(212) 843-1601
Bluerock Residential Growth REIT, Inc., which we refer to as “we,” “our,” “us,” “Bluerock Residential” or the
“Company,” was formed as a Maryland corporation in July 2008 and elected to be taxed as a real estate
investment trust (“REIT”) under the Internal Revenue Code of 1986, as amended (the “Code”), beginning
with our taxable year ended December 31, 2010. Our principal business objective is to generate attractive
risk-adjusted investment returns by assembling a high-quality portfolio of apartment communities and
single-family residential homes in demographically attractive growth markets and by implementing our
investment strategies and our “Live/Work/Play Initiatives” to achieve sustainable long-term growth in both
our core funds from operations and net asset value. The Company’s website is www.bluerockresidential.com.
The information found on, or otherwise accessible through, our website is not incorporated into, and does
not form a part of, this proxy statement or any other report or document we file with or furnish to the U.S.
Securities and Exchange Commission (the “SEC”). Shares of Class A Common Stock are listed on the NYSE
American under the symbol “BRG.” For additional information about us and our business, please refer to
“Where You Can Find More Information.”
Badger Parent LLC 
c/o Blackstone Inc. 
345 Park Avenue 
New York, New York 10154 
(212) 583-5000
Parent is a Delaware limited liability company and an affiliate of the Guarantor. Parent was formed solely for
the purpose of acquiring us and has not carried on any activities to date, except for activities incidental to its
formation and activities undertaken in connection with the transactions contemplated by the merger
agreement. The Guarantor is an affiliate of Blackstone.
Blackstone is a global leader in real estate investing. Blackstone’s real estate business was founded in 1991
and has $279 billion of investor capital under management. Blackstone is the largest owner of commercial real
estate globally, owning and operating assets across every major geography and sector, including logistics,
multifamily and single-family housing, office, hospitality and retail. Blackstone’s opportunistic funds seek to
acquire undermanaged, well-located assets across the world. Blackstone’s Core+ strategy comprises open-
ended funds that invest in substantially stabilized real estate assets globally and Blackstone Real Estate
Income Trust, Inc., a non-listed REIT that invests in U.S. income-generating assets. Blackstone Real Estate
also operates one of the leading global real estate debt businesses, providing comprehensive financing
solutions across the capital structure and risk spectrum, including management of Blackstone Mortgage
Trust (NYSE: BXMT).
1 TABLE OF CONTENTS​
Badger Merger Sub LLC 
c/o Blackstone Inc. 
345 Park Avenue 
New York, New York 10154 
(212) 583-5000
Merger Sub is a Delaware limited liability company. Parent is the sole member of Merger Sub. Merger Sub
was formed solely for purposes of facilitating Parent’s acquisition of us and has not carried on any activities
to date, except for activities incidental to its formation and activities undertaken in connection with the
transactions contemplated by the merger agreement. Pursuant to the merger agreement, on the closing date,
we will merge with and into Merger Sub, and Merger Sub will continue as the surviving company.
About Bluerock Homes
Bluerock Homes Trust, Inc. 
1345 Avenue of the Americas, 32nd Floor 
New York, New York 10105 
(212) 843-1601
Bluerock Homes Trust, Inc. (“Bluerock Homes”) was formed as a Maryland corporation and wholly owned
subsidiary of Bluerock Residential on December 16, 2021 for the purpose of effecting, prior to the merger, the
separation of certain single-family properties and other assets of Bluerock Residential (the “separation,” and
such properties, the “single-family properties”) from the remainder of our business, followed by a pro rata
distribution to holders of Common Stock of the outstanding shares of Bluerock Homes common stock (the
“distribution”). Bluerock Homes will be an externally managed, publicly traded REIT following the
distribution. The headquarters of Bluerock Homes will be located in New York, New York, at 1345 Avenue of
the Americas, 32nd Floor, and its telephone number is (212) 843-1601.",9,10
"Bluerock Residential Growth REIT, Inc._20220311_DEFM14A_19938922_4406918.Pdf",The Special Meeting,"The Special Meeting (page 30)
The Proposals
The special meeting of our stockholders (the “special meeting”) will be held online as a virtual meeting on
April 12, 2022, at 11:00 a.m., New York time. At the special meeting, holders of our Class A Common Stock,
$0.01 par value per share (the “Class A Common Stock”), and our Class C Common Stock, $0.01 par value per
share (the “Class C Common Stock” and, together with the Class A Common Stock, the “Common Stock”), as
of the record date, which was the close of business on March 7, 2022, will be asked to consider and vote on
(1) a proposal to approve the merger (the “proposal to approve the merger”), (2) a proposal to approve, on a
non-binding, advisory basis, the compensation that may be paid or become payable to our named executive
officers that is based on or otherwise relates to the merger (the “proposal to approve the merger-related
compensation”) and (3) a proposal to approve any adjournment of the special meeting for the purpose of
soliciting additional proxies if there are not sufficient votes at the special meeting to approve the merger (the
“proposal to approve adjournment of the meeting”).
Pursuant to the Maryland General Corporation Law and our bylaws, only the matters set forth in the Notice
of Special Meeting may be brought before the special meeting.
Record Date, Notice and Quorum
All stockholders of record of shares of our Common Stock as of the record date, which was the close of
business on March 7, 2022, are entitled to receive notice of and attend and vote at the special meeting or any
postponement or adjournment of the special meeting. Each stockholder will be entitled to cast one vote on
each matter presented at the special meeting for each share of Class A Common Stock that such holder
owned as of the record date, and will be entitled to cast 50 votes on each matter presented at the special
meeting for each share of Class C Common Stock that such holder owned as of the record date. On the
record date, there were 29,260,629 shares of Class A Common Stock and 76,603 shares of Class C Common
Stock outstanding and entitled to vote at the special meeting.
2 TABLE OF CONTENTS
The presence virtually via the special meeting website or by proxy of our common stockholders entitled to
cast a majority of all the votes entitled to be cast at the special meeting will constitute a quorum for purposes
of the special meeting. A quorum is necessary to transact business at the special meeting. Abstentions will
be counted as shares present for the purposes of determining the presence of a quorum. If a quorum is not
present at the special meeting, we expect that the special meeting will be adjourned to a later date. Pursuant
to our bylaws, the board of directors may adjourn the meeting, whether or not a quorum is present, and
reconvene as the board may determine (subject to certain restrictions in the merger agreement, including that
in certain circumstances the special meeting may not be held, without Parent’s consent, on a date that is
more than 30 days after the date on which the special meeting was originally scheduled).
Required Vote
Completion of the merger requires approval of the merger by the affirmative vote of the holders of the issued
and outstanding Common Stock entitled to cast a majority of all the votes entitled to be cast on the merger.
Each stockholder will be entitled to cast one vote on each matter presented at the special meeting for each
share of Class A Common Stock that such holder owned as of the record date, and will be entitled to cast 50
votes on each matter presented at the special meeting for each share of Class C Common Stock that such
holder owned as of the record date. Because the required vote for this proposal is based on the number of
votes our common stockholders are entitled to cast rather than on the number of votes cast, if you fail to
vote by proxy or at the special meeting via the special meeting website (including by abstaining), or fail to
instruct your broker, bank or other nominee on how to vote, such failure will have the same effect as voting
against the proposal to approve the merger.
Each of the proposal to approve the merger-related compensation and the proposal to approve adjournment
of the meeting requires the affirmative vote of a majority of the votes cast on such proposal. Approval of
these proposals is not a condition to completion of the merger. For the purpose of each of these proposals, if
you fail to vote by proxy or at the special meeting via the special meeting website, or fail to instruct your
broker, bank or other nominee on how to vote, it will not have any effect on the outcome of such proposals.
Abstentions are not considered votes cast and therefore will have no effect on the outcome of these
proposals, assuming a quorum is present.
The vote of the holders of our Series B Redeemable Preferred Stock, par value $0.01 per share (“Series B
Preferred Stock”), 7.625% Series C Cumulative Redeemable Preferred Stock, par value $0.01 per share (“Series
C Preferred Stock”), 7.125% Series D Cumulative Preferred Stock, par value $0.01 per share (“Series D
Preferred Stock”), and Series T Redeemable Preferred Stock, par value $0.01 per share (“Series T Preferred
Stock”), which we refer to collectively as “Preferred Stock,” is not required to approve any of the proposals
at the special meeting and is not being solicited.
As of the record date, our directors and executive officers owned and are entitled to vote an aggregate of
approximately 818,724 shares of our Class A Common Stock and approximately 72,964 shares of our Class C
Common Stock, entitling them to exercise approximately 13.50% of the voting power of our Common Stock
entitled to vote at the special meeting, in each case including excess shares (as defined below). Our directors
and executive officers have informed us that they intend to vote the shares of Common Stock that they own
in favor of the proposal to approve the merger, in favor of the proposal to approve the merger-related
compensation and in favor of the proposal to approve adjournment of the meeting. Under the Stockholders
Agreement, dated October 31, 2017 among the Company and the stockholders party thereto (the
“stockholders agreement”), if at any meeting of stockholders the holders of Class C Common Stock own
shares of Class C Common Stock representing more than 9.9% of the voting rights of the then-outstanding
Common Stock (such shares, the “excess shares”), then such holders shall vote such excess shares as
directed by the board of directors. Under the merger agreement, unless the board of directors effects a
company adverse recommendation change, any excess shares must be voted in favor of the approval of the
merger. In addition, R. Ramin Kamfar, James G. Babb III, Ryan S. MacDonald, Jordan B. Ruddy, Michael L.
Konig (who are members of our management) and certain of their affiliated entities, solely in their capacity as
stockholders of the Company and limited partners of Bluerock Residential Holdings, L.P., a Delaware limited
partnership and the Company’s operating partnership (the “operating partnership” or “Bluerock Residential
Holdings”), have entered into support agreements requiring, among other things, such persons to vote their
shares of Common Stock, other than any excess shares, in favor of the proposal to
3",10,12
"Bluerock Residential Growth REIT, Inc._20220311_DEFM14A_19938922_4406918.Pdf",The Merger,"The Merger (page 34)
Pursuant to the merger agreement, on the closing date, the Company will merge with and into Merger Sub
and the separate existence of the Company will cease, and Merger Sub will continue as the surviving entity
in the merger. We use the term “surviving company” in this proxy statement to refer to Merger Sub following
the effective time of the merger. We use the term “closing date” in this proxy statement to refer to the date on
which closing of the merger occurs.
Our merger with Merger Sub will become effective upon the later of the acceptance for record of the articles
of merger with respect to the merger by the State Department of Assessments and Taxation of Maryland, the
filing of the certificate of merger with respect to the merger with the Secretary of State of the State of
Delaware or such other time as may be agreed by the parties to the merger agreement and specified in the
articles of merger and certificate of merger. We use the term “merger effective time” in this proxy statement to
refer to the time the merger becomes effective. In no event will the merger effective time occur at or prior to
the effective time of the distribution.",12,12
"Bluerock Residential Growth REIT, Inc._20220311_DEFM14A_19938922_4406918.Pdf",Recommendation of Our Board of Directors,"Recommendation of Our Board of Directors (page 44)
Our board of directors has unanimously
determined and declared the transactions contemplated by the merger agreement, including the
merger, to be advisable and in the best interests of the Company and its stockholders;
approved the execution, delivery and performance of the merger agreement and the consummation of
the transactions contemplated thereby, including the merger; and
recommended that you vote “FOR” the proposal to approve the merger, “FOR” the proposal to
approve the merger-related compensation, and “FOR” the proposal to approve adjournment of the
meeting.",12,12
"Bluerock Residential Growth REIT, Inc._20220311_DEFM14A_19938922_4406918.Pdf",Opinions of Our Financial Advisors,"Opinions of Our Financial Advisors (page 48)
Opinion of Morgan Stanley & Co. LLC
At the December 19, 2021 meeting of our board of directors, Morgan Stanley & Co. LLC (“Morgan Stanley”)
rendered its oral opinion, subsequently confirmed in writing by delivery of a written opinion to
4 TABLE OF CONTENTS
our board of directors, dated December 19, 2021, that, as of that date and based on and subject to the
various assumptions made, procedures followed, matters considered and qualifications and limitations on
the scope of review undertaken by Morgan Stanley as set forth in the written opinion, the $24.25 per share
cash consideration, without interest, to be received by the holders of shares of our Common Stock pursuant
to the merger agreement (the “merger consideration”), together with the shares of Bluerock Homes common
stock to be received by holders of shares of our Common Stock in the distribution (collectively with the
merger consideration, the “Consideration”), is fair from a financial point of view to such holders of shares of
our Common Stock.
The full text of the written opinion of Morgan Stanley, dated as of December 19, 2021, is attached to this proxy
statement as Exhibit B and is hereby incorporated into this proxy statement by reference in its entirety. You should
read the opinion in its entirety for a discussion of the assumptions made, procedures followed, matters considered and
qualifications and limitations on the scope of the review undertaken by Morgan Stanley in rendering its opinion. We
encourage you to read the entire opinion and the summary of Morgan Stanley’s opinion below carefully and in their
entirety. This summary of the opinion of Morgan Stanley set forth in this proxy statement is qualified in its entirety by
reference to the full text of the opinion. Morgan Stanley’s opinion is directed to our board of directors, in its capacity
as such, addresses only the fairness of the Consideration to be received by the holders of shares of our Common Stock
pursuant to the merger agreement from a financial point of view to such holders as of the date of the opinion and does
not address any other aspects or implications of the merger, the separation or the distribution (the merger, the
separation and the distribution, collectively, the “Transactions”). Morgan Stanley’s opinion was not intended to, and
does not, constitute a recommendation to any holder of shares of our Common Stock as to how to vote at the special
meeting to be held in connection with the merger or whether to take any other action with respect to the Transactions.
Morgan Stanley was not requested to opine as to, and its opinion did not in any manner address, the relative merits of
the Transactions as compared to any other alternative business transaction, or other alternatives, or whether or not
such alternatives could be achieved or are available, nor did it address the underlying business decision of the
Company to enter into the merger agreement or proceed with any other transaction contemplated by the merger
agreement.
Opinion of Duff & Phelps, a Kroll Business Operating as Kroll, LLC
On December 19, 2021, Duff & Phelps, a Kroll Business operating as Kroll, LLC (“Duff & Phelps”) delivered
its opinion, dated December 19, 2021 (the “Duff & Phelps Opinion”), to the board of directors that, as of the
date of the opinion and subject to and based on the assumptions made therein, the redemption (the
“Exchange”) of all of the Company’s preferred units in our operating partnership and 25,210,092 of the
Company’s common units (the “common units”) in our operating partnership (the “Redeemed Units” or the
“exchange consideration”) as consideration for our operating partnership’s interests in New LP (as defined
below in “The Merger Agreement - The Separation and the Distribution”) holding our business other than
the Bluerock Homes Business, is fair, from a financial point of view, to the Company.
The full text of the written opinion of Duff & Phelps, dated as of December 19, 2021, is attached to this proxy statement
as Exhibit C and is hereby incorporated into this proxy statement by reference in its entirety. You should read the
opinion in its entirety for a discussion of the assumptions made, procedures followed, matters considered, and
qualifications and limitations of the review undertaken by Duff & Phelps in rendering its opinion. We encourage you
to read the entire opinion and the summary of Duff & Phelps’s opinion below carefully and in their entirety. The
summary of the opinion of Duff & Phelps set forth in this proxy statement is qualified in its entirety by reference to the
full text of the opinion. Duff & Phelps’s opinion was provided for the information of, and directed to, our board of
directors, in its capacity as such, for its information and assistance in connection with its consideration of the
financial terms of the Exchange. Neither Duff & Phelps’s opinion nor the summary of its opinion and the related
analyses set forth in this proxy statement is intended to be or constitutes a recommendation to any stockholder of the
Company as to how such stockholder should act with respect to the Transactions.
Opinion of Robert A. Stanger & Company, Inc.
Prior to the December 19, 2021 meeting of our board of directors, Robert A. Stanger & Company, Inc.
(“Stanger”) delivered its written opinion (the “Stanger Opinion”) to our board of directors, dated December
19, 2021, that, as of that date, Stanger concluded, based upon its analysis and the assumptions,
5 
TABLE OF CONTENTS​
qualifications and limitations cited in its written fairness opinion, and in reliance thereon, that as of the date
of the fairness opinion the terms of the management contract that Bluerock Homes and Bluerock Residential
Holdings (which will be controlled by Bluerock Homes following the separation) intend to enter into with an
external manager (the “Management Agreement”) are fair to Bluerock Homes, from a financial point of view.
The full text of the written opinion of Stanger, dated as of December 19, 2021, is attached to this proxy statement as
Exhibit D and is hereby incorporated into this proxy statement by reference in its entirety. You should read the opinion
in its entirety for a discussion of the assumptions made, procedures followed, matters considered and qualifications
and limitations on the review undertaken by Stanger in rendering its opinion. The summary of the opinion of Stanger
set forth in this proxy statement is qualified in its entirety by reference to the full text of the opinion. Stanger’s opinion
is directed to our board of directors, in its capacity as such, in connection with its consideration of the proposed terms
of the Management Agreement.",12,14
"Bluerock Residential Growth REIT, Inc._20220311_DEFM14A_19938922_4406918.Pdf","Treatment of Common Stock, Preferred Stock, Company Warrants and Equity Awards","Treatment of Common Stock, Preferred Stock, Company Warrants and Equity Awards (page 79)
Common Stock
At the merger effective time, each share of our Common Stock (other than shares of our Common Stock that
are owned by Parent or any wholly owned subsidiary of Parent or us, which will automatically be cancelled
with no consideration being delivered in exchange thereof (the “cancelled shares”)) issued and outstanding
immediately prior to the merger effective time will be automatically converted into the right to receive the
merger consideration. If we declare a dividend reasonably determined by us to be required to maintain our
status as a REIT under the Code or to avoid or reduce the payment of income or excise tax or any other
entity-level tax as permitted under the merger agreement, the merger consideration will be decreased by an
amount equal to the per share amount of such dividend.
Preferred Stock
After the date this proxy statement is mailed to our stockholders, we will deliver to the stockholders of
record of our Preferred Stock a notice of redemption for each applicable series of Preferred Stock that
complies in all material respects with the specifications and timing requirements of our organizational
documents. The notice of redemption will state that the redemption of our Preferred Stock will be effective as
of, and conditioned upon the occurrence of, the merger effective time. The redemption notices will be
prepared by us and be reasonably acceptable to Parent.
At or prior to the merger effective time, Parent, on behalf of the surviving company, will irrevocably set aside
and deposit in trust for the benefit of the holders of our Preferred Stock cash equal to (i) $25.00, plus an
amount equal to all accrued and unpaid dividends to and including the redemption date, without interest, per
share of Series C Preferred Stock, Series D Preferred Stock and Series T Preferred Stock, and (ii) $1,000.00,
plus an amount equal to all accrued and unpaid dividends to and including the redemption date, without
interest, per share of Series B Preferred Stock (such amount, collectively, the “Preferred Stock redemption
amount”). We and Parent will give irrevocable instructions, effective as of the merger effective time, for the
payment of the Preferred Stock redemption amount.
Company Warrants
At least ten (10) business days prior to the merger effective time, we will notify the warrant agent in
accordance with the warrant agreements (the “warrant agreements”) that govern warrants to purchase our
Class A Common Stock (the “Company Warrants”) that, as of the merger effective time, each share of our
Class A Common Stock issued and outstanding immediately prior to the merger effective time (other than the
cancelled shares) will be automatically converted into the right to receive the merger consideration and that
the terms of the warrant agreements will be adjusted so that the holder of any Company Warrant exercised
after the merger effective time will be entitled to receive in cash the merger consideration that the holder
would have received if the Company Warrant had been exercised immediately prior to the closing date.
6",14,15
"Bluerock Residential Growth REIT, Inc._20220311_DEFM14A_19938922_4406918.Pdf",Financing,"Financing (page 65)
In connection with the closing of the merger, Parent will cause an aggregate of approximately $800 million to
be paid to the holders of our Common Stock (assuming the cash exercise of all outstanding Company
Warrants), including holders of Company equity awards. As described under “The Merger Agreement - 
Treatment of Common Stock, Preferred Stock, Company Warrants and Equity Awards,” Parent will also cause
approximately $1.19 billion to be paid to the holders of our Series B Preferred Stock, Series C Preferred Stock,
Series D Preferred Stock and Series T Preferred Stock, in each case, plus accrued and unpaid dividends to
and including the closing date. In addition, Parent has informed us that in connection with the closing of the
merger, Parent expects to cause the outstanding indebtedness under our revolving credit facilities to be
prepaid in full and our mortgage loans will be repaid or remain outstanding. As of December 31, 2021,
nothing was outstanding under our revolving credit facilities and we had approximately $1.37 billion in
mortgage loans outstanding.
Parent has informed us that it is currently in the process of obtaining debt financing to be provided in
connection with the merger. In addition, it is expected that Blackstone will contribute equity to Parent for the
purpose of funding the acquisition costs (including the merger consideration) that are not covered by such
debt financing.
Parent has informed us that in addition to the payment of the merger consideration, the funds to be obtained
from the debt and equity financing may be used for purposes such as reserves, the refinancing of certain of
our existing debt, paying carrying costs with respect to the properties, funding working capital requirements,
and for other costs and expenses related to the financing and the merger. Parent has informed us that it
currently believes that the funds to be borrowed under the debt financing would be secured by, among other
things, a mortgage lien on certain properties which are wholly owned and/or ground leased by us, the direct
and/or indirect equity interests in certain entities which own certain properties, certain escrows and reserves
and such other pledges and security required by the lenders to secure and perfect their interests in the
applicable collateral, and that such debt financing would be conditioned on the merger being completed and
other customary conditions for similar financings.
Pursuant to the merger agreement, we have agreed to deliver, or we have agreed to use commercially
reasonable efforts to cause any joint venture to deliver, promptly following Parent’s request, a notice
prepared by Parent, in form and substance reasonably approved by us, to each of the lenders under our
existing mortgage indebtedness requesting that such lender consent to, among other things, the
consummation of the merger and the other transactions contemplated by the merger agreement and to certain
modifications of the existing loan documents reasonably requested by Parent. Pursuant to the merger
agreement, we have also agreed to deliver customary prepayment and/or defeasance notices to the extent
requested by Parent.
The merger agreement does not contain a financing condition or a “market MAC” condition to the closing of
the merger. For more information, see “The Merger Agreement - Financing Cooperation” and “The Merger
Agreement - Conditions to the Merger.”",15,15
"Bluerock Residential Growth REIT, Inc._20220311_DEFM14A_19938922_4406918.Pdf",Interests of Our Directors and Executive Officers in the Merger,"Interests of Our Directors and Executive Officers in the Merger (page 66)
Our directors and executive officers have certain interests in the merger that are different from, or in addition
to those of our stockholders. See “The Merger - Interests of Our Directors and Executive Officers in the
Merger” for additional information about interests that our directors and executive officers have in the
merger that are different than yours.
7 • 
• 
• 
• 
TABLE OF CONTENTS​",15,16
"Bluerock Residential Growth REIT, Inc._20220311_DEFM14A_19938922_4406918.Pdf",No Solicitation,"No Solicitation (page 91)
Prior to the approval of the merger by holders of our Common Stock, we and our subsidiaries are subject to
restrictions on our ability to solicit any company takeover proposals (as defined in “The Merger
Agreement - Company Stockholders’ Meeting”), including, among others, restrictions on our ability to
furnish to any other person any information in connection with any company takeover proposal or engage in
any discussions or negotiations regarding any company takeover proposal. Subject to the terms of the
merger agreement, we or our subsidiaries may furnish information with respect to us or our subsidiaries to,
and engage in discussions or negotiations with, a person if we receive a written bona fide company takeover
proposal from such person after the date of the merger agreement that did not result from our breach of our
obligations described in “The Merger Agreement - No Solicitation” and as described under “The Merger
Agreement - Obligation of the Board of Directors with Respect to Its Recommendation,” and our board of
directors determines in good faith, after consultation with its independent financial advisors and outside
legal counsel, that such company takeover proposal constitutes or could reasonably be expected to lead to a
company superior proposal (as defined in “The Merger Agreement - No Solicitation”). Under certain
circumstances and after following certain procedures and adhering to certain restrictions, we are permitted to
terminate the merger agreement if our board of directors approves, and substantially concurrently with the
termination of the merger agreement, we enter into, a definitive agreement providing for the implementation
of a company superior proposal (subject to payment of the company termination fee (as described below)).",16,16
