Document,Section Header,Section Text,Start Page,End Page
"CAI International, Inc._20210804_DEFM14A_19444962_4270736.Pdf",SUMMARY TERM SHEET,"SUMMARY TERM SHEET
This summary term sheet, together with the following section entitled “Questions and Answers,” highlights selected
information from this proxy statement, including with respect to the Merger Agreement and the transactions
contemplated thereby, including the Merger, and may not contain all of the information that may be important to
you. To understand the Merger more fully and for a more complete description of the legal terms of the Merger and
the Merger Agreement, you should carefully read this entire proxy statement, the annexes to this proxy statement
and the documents that we refer to, or incorporate by reference, in this proxy statement. Each item in this summary
term sheet includes a page reference directing you to a more complete description of that topic. You may obtain the
information incorporated by reference in this proxy statement without charge by following the instructions under
“Where You Can Find More Information” beginning on page 117. The Merger Agreement is attached as Annex A to
this proxy statement. We encourage you to read the Merger Agreement, which is the legal document that governs
the Merger, carefully and in its entirety.
Parties Involved in the Merger (Page 36)",13,13
"CAI International, Inc._20210804_DEFM14A_19444962_4270736.Pdf",Parties Involved in the Merger,"Parties Involved in the Merger (Page 36)
CAI International, Inc.",13,13
"CAI International, Inc._20210804_DEFM14A_19444962_4270736.Pdf","CAI International, Inc.","CAI International, Inc.
CAI is a Delaware corporation. We are one of the world’s leading transportation finance companies. We lease
equipment, primarily intermodal shipping containers, to our customers. We also manage equipment for third-party
investors. In operating our fleet, we lease, re-lease and dispose of equipment and contract for the repair, repositioning
and storage of equipment. We were founded in 1989, as a traditional container leasing company that leased
containers owned by us to container shipping lines. We were originally incorporated under the name Container
Applications International, Inc. in the State of Nevada in August 1989. In February 2007, we were reincorporated
under our present name in the State of Delaware. Please see “Where You Can Find More Information” beginning on
page 117 for additional information regarding us.
1TABLE OF CONTENTS
Our common stock is listed on The New York Stock Exchange (the “NYSE”) under the symbol “CAI.” In addition, our
Series A Preferred Stock and our Series B Preferred Stock (each as defined below) are listed on the NYSE under the
symbols “CAI-PA” and “CAI-PB,” respectively.
Our principal executive office is located at Steuart Tower, 1 Market Plaza, Suite 2400, San Francisco, California 94105,
and our telephone number is (415) 788-0100.
Mitsubishi HC Capital Inc.",13,14
"CAI International, Inc._20210804_DEFM14A_19444962_4270736.Pdf",Mitsubishi HC Capital Inc.,"Mitsubishi HC Capital Inc.
Mitsubishi HC Capital Inc. (f.k.a. Mitsubishi UFJ Lease & Finance Company Limited) is a Japanese public company
established through the merger of Mitsubishi UFJ Lease & Finance Limited and Hitachi Capital Corporation on April
1, 2021. The merger resulted in a combined company having total assets of JPY 9.7 trillion ($89 billion), making it the
second largest leasing company in Japan with an extensive and complementary lineup of business.
Parent’s common stock is listed on the Tokyo Stock Exchange and the Nagoya Stock Exchange under the code
“8593.”
Parent’s principal executive office is located at 5-1, Marunouchi 1-chome, Chiyoda-ku, Tokyo, 100-6525, Japan, and its
telephone number is +81-3-6865-3054.
Cattleya Acquisition Corp.",14,14
"CAI International, Inc._20210804_DEFM14A_19444962_4270736.Pdf",Cattleya Acquisition Corp.,"Cattleya Acquisition Corp.
Cattleya Acquisition Corp. (“Merger Sub”) is a Delaware corporation and a wholly-owned subsidiary of Parent.
Merger Sub was incorporated in 2021 by Parent solely for the purposes of entering into the transactions
contemplated by the Merger Agreement, and has not entered into any business activities other than in connection
with the transactions contemplated by the Merger Agreement. Upon completion of the Merger, Merger Sub will cease
to exist and the Company will continue as the surviving corporation of the Merger.
Merger Sub’s principal executive office is located at Corporation Trust Center, 1209 Orange Street, Wilmington,
Delaware 19801, and may be contacted at 5-1, Marunouchi 1-chome, Chiyoda-ku, Tokyo, 100-6525, Japan, and its
telephone number is +81-3-6865-3054.",14,14
"CAI International, Inc._20210804_DEFM14A_19444962_4270736.Pdf",The Special Meeting,"The Special Meeting (Page 29)
Date, Time and Place",14,14
"CAI International, Inc._20210804_DEFM14A_19444962_4270736.Pdf","Date, Time and Place","Date, Time and Place
The Special Meeting will be held on September 2, 2021, at 10:00 a.m., Pacific Time. The Special Meeting will be held
entirely online live via audio webcast due to the public health impact of the COVID-19 pandemic and to support the
health and well-being of our directors, employees, stockholders, and other stakeholders. You will be able to attend
and participate in the Special Meeting online by visiting www.virtualshareholdermeeting.com/CAI2021SM, where you
will be able listen to the Special Meeting live, submit questions, and vote. Please note that the Special Meeting will
not be held at a physical location and you will not be able to attend the Special Meeting by your physical presence.
To attend and participate in the Special Meeting, you will need the 16-digit control number included on your proxy
card or on the instructions that accompanied your proxy materials. If your shares are held in “street name,” you
should contact your broker, trustee or other nominee to obtain your 16-digit control number or otherwise vote
through the broker, trustee or other nominee. Only common stockholders with a valid 16-digit control number, will be
able to attend the Special Meeting and vote, ask questions and access the list of common stockholders as of the
close of business on the Record Date (as defined in “-Record Date; Shares Entitled to Vote” beginning on page 2).
The Special Meeting will begin promptly at 10:00 a.m., Pacific Time. Online check-in will begin at 9:45 a.m., Pacific
Time, and you should allow ample time for the online check-in procedures.
Purpose of the Special Meeting",14,14
"CAI International, Inc._20210804_DEFM14A_19444962_4270736.Pdf",Purpose of the Special Meeting,"Purpose of the Special Meeting
At the Special Meeting, we will ask common stockholders to vote on each of the: (1) Merger Proposal; (2)
Adjournment Proposal; and (3) Compensation Proposal.
Record Date; Shares Entitled to Vote",14,14
"CAI International, Inc._20210804_DEFM14A_19444962_4270736.Pdf",Record Date; Shares Entitled to Vote,"Record Date; Shares Entitled to Vote
Holders of the outstanding shares of common stock as of the close of business on August 2, 2021, the record rate for
the Special Meeting (the “Record Date”), are entitled to notice of, and to vote at, the Special Meeting.
2TABLE OF CONTENTS
As of the Record Date, there were 17,357,549 shares of our common stock outstanding, each entitled to one vote per
share. Therefore, a total of 17,357,549 votes are eligible to be cast at the Special Meeting.
The vote of the holders of our Preferred Stock is not required to approve any of the proposals at the Special Meeting
and is not being solicited.
Quorum",14,15
"CAI International, Inc._20210804_DEFM14A_19444962_4270736.Pdf",Quorum,"Quorum
As of the Record Date, there were 17,357,549 shares of common stock outstanding and entitled to vote at the Special
Meeting. The quorum requirement for holding the Special Meeting and transacting business is that holders of a
majority of shares of our common stock entitled to vote must be present in person (including by means of remote
communication) or represented by proxy at the Special Meeting. Abstentions will be counted as present for the
purpose of determining whether a quorum is present, however “broker non-votes” (described in more detail below in
“-Voting of Proxies” beginning on page 3), if any, will not be counted as present for the purpose of determining
whether a quorum is present at the Special Meeting. If your shares are held in “street name” by your broker, bank,
trustee or other nominee and you do not tell your broker, bank, trustee or other nominee how to vote your shares,
these shares will not be counted for purposes of determining whether a quorum is present for the transaction of
business at the Special Meeting.
Vote Required",15,15
"CAI International, Inc._20210804_DEFM14A_19444962_4270736.Pdf",Vote Required,"Vote Required
The General Corporation Law of the State of Delaware (the “DGCL”) requires that a majority of the shares of common
stock outstanding and entitled to vote at the Special Meeting as of the Record Date vote in favor of the adoption of
the Merger Agreement in order for the Merger to be consummated. The failure of any common stockholder to vote,
abstentions, and broker non-votes, if any, will have the same effect as a vote by that stockholder “AGAINST” the
Merger Proposal. Approval of each of the Adjournment Proposal and the Compensation Proposal requires the
affirmative vote of a majority of the shares present in person (including by means of remote communication) or
represented by proxy and entitled to vote on such proposal at the Special Meeting as of the Record Date.
Abstentions will have the same effect as a vote “AGAINST” each of the Adjournment Proposal and the
Compensation Proposal but the failure to vote your shares and broker non-votes, if any, will have no effect on the
outcome of either the Adjournment Proposal or the Compensation Proposal.
Each share of common stock is entitled to one vote per share.",15,15
"CAI International, Inc._20210804_DEFM14A_19444962_4270736.Pdf",Shares Held by the Company’s Directors and Executive Officers,"Shares Held by the Company’s Directors and Executive Officers
As of the Record Date, the directors and executive officers of the Company beneficially owned and were entitled to
vote, in the aggregate, 1,409,813 shares of common stock, or approximately 8.1% of the aggregate shares of common
stock entitled to vote at the Special Meeting. The directors and executive officers of the Company have informed the
Company that they currently intend to vote all of their shares “FOR” each of the proposals to be considered and
voted on at the Special Meeting.",15,15
"CAI International, Inc._20210804_DEFM14A_19444962_4270736.Pdf",Voting of Proxies,"Voting of Proxies
Any stockholder of record entitled to vote at the Special Meeting may submit a proxy by returning a signed proxy
card by mail in the accompanying prepaid reply envelope or granting a proxy electronically over the Internet or by
telephone, or may vote via the Virtual Special Meeting Website at the Special Meeting. If you are a beneficial owner
and hold your shares in “street name” through a broker, bank, trustee or other nominee, you should instruct your
broker, bank, trustee or other nominee on how you wish to vote your shares using the instructions provided by your
broker, bank, trustee or other nominee. Under NYSE rules, brokers, banks, trustees and other nominees have the
discretion to vote on routine matters. The proposals to be considered at the Special Meeting are non-routine matters,
and brokers, banks, trustees and other nominees cannot vote on any of these proposals without your instructions.
As a result, absent specific instructions from the beneficial owner of such shares, brokers are not empowered to vote
those shares, referred to generally as “broker non-votes.” Broker non-votes, if any, will not be treated as shares that
are present at the Special Meeting for purposes of determining whether a quorum exists and will have the same effect
as votes “AGAINST” the Merger Proposal. Broker non-votes, if any, will have no effect on the either Adjournment
Proposal or the Compensation Proposal, whether or not a quorum is present. Because none of the proposals to be
voted on at the Special Meeting are routine matters for which brokers may have discretionary authority to vote, we
do not expect any broker non-votes at the Special Meeting. Therefore, it is important that you cast your vote or
instruct your broker, bank, trustee or other nominee on how you wish to vote your shares.
3TABLE OF CONTENTS
All shares represented by properly executed proxies received in time for the Special Meeting will be voted at the
Special Meeting in the manner specified by the proxy holders. Properly executed proxies that do not contain voting
instructions will be voted “FOR” the Merger Proposal, “FOR” the Adjournment Proposal and “FOR” the
Compensation Proposal.
Shares represented at the Special Meeting but not voted, including shares for which proxies have been received but
for which common stockholders have abstained, will be treated as present at the Special Meeting for purposes of
determining the presence or absence of a quorum for the transaction of all business.
Only shares affirmatively voted for the Merger Proposal, including properly executed proxies that do not contain
specific voting instructions, will be counted “FOR” that proposal.
If you abstain from voting, it will have the same effect as a vote “AGAINST” each of the Adjournment Proposal and
the Compensation Proposal, whether or not a quorum is present.
If you do not execute a proxy card and do not vote in person (including by means of remote communication) at the
Special Meeting, it will have the same effect as a vote “AGAINST” the Merger Proposal, but will have no effect on
either the Adjournment Proposal or the Compensation Proposal, whether or not a quorum is present.
Revocability of Proxies",15,16
"CAI International, Inc._20210804_DEFM14A_19444962_4270736.Pdf",Revocability of Proxies,"Revocability of Proxies
If you are a stockholder of record on the Record Date, you may change your vote or revoke your proxy at any time
before it is voted at the Special Meeting by: (i) signing another proxy card with a later date and returning it to us prior
to the Special Meeting; (ii) submitting a new proxy electronically over the Internet or by telephone after the date of
the earlier submitted proxy; (iii) delivering a written notice of revocation to our Secretary at Steuart Tower, 1 Market
Plaza, Suite 2400, San Francisco, California 94105; or (iv) attending the Special Meeting and voting via the Virtual
Special Meeting Website (however, simply attending the Special Meeting will not cause your proxy to be revoked).
If you hold your shares in “street name,” you should contact your broker, bank, trustee or other nominee for
instructions regarding how to change your vote. You may also vote via the Virtual Special Meeting Website at the
Special Meeting if you obtain a valid proxy from your broker, bank, trustee or other nominee.
The Merger (Page 36)",16,16
