Document,Section Header,Section Text,Start Page,End Page
"COVETRUS, INC._20220913_DEFM14A_20336819_4516858.Pdf",SUMMARY TERM SHEET,"SUMMARY TERM SHEET
This summary highlights certain information in this proxy statement but may not contain all of the information that may be important to you. You
should carefully read the entire proxy statement and the attached Annexes and the other documents to which this proxy statement refers you for a
more complete understanding of the matters being considered at the special meeting. In addition, this proxy statement incorporates by reference
important business and financial information about Covetrus, Inc. You may obtain the information incorporated by reference in this proxy
statement without charge by following the instructions in the section entitled “Where You Can Find More Information.” Unless the context
otherwise indicates, we refer to Covetrus, Inc. as “Covetrus,” the “Company,” “we,” “us” or “our.”
The Parties",9,9
"COVETRUS, INC._20220913_DEFM14A_20336819_4516858.Pdf",The Parties,"The Parties
(see page 117)
Company. Covetrus, Inc. was incorporated in Delaware in April 2018 as a wholly owned subsidiary of Henry Schein, Inc., under the name HS Spinco,
Inc., and subsequently changed its name to Covetrus, Inc. Covetrus is a global animal-health technology and services company dedicated to
supporting the companion, equine, and large-animal veterinary markets. Its mission is to provide the best products, services, and technology to its
customers across the globe, so they can deliver exceptional care to their clients when and where it is needed.
Parent. Corgi Bidco, Inc., a Delaware corporation (“Parent”), was incorporated in Delaware in May 2022 as a direct, wholly owned subsidiary of
CD&R Corgi Holdings, L.P. (“CD&R Corgi Holdings”), a Cayman Islands exempted limited partnership and an affiliate of Clayton, Dubilier & Rice,
LLC (“CD&R”), solely for the purpose of engaging in the Transactions, including the Merger (each as defined below). Parent has not carried on any
activities on or prior to the date of this proxy statement, except for activities incidental to its formation and activities undertaken in connection with
the Transactions, including the structuring and negotiation of the Transactions and arranging financing therefor.
Merger Sub. Corgi Merger Sub, Inc., a Delaware corporation (“Merger Sub”), was incorporated in Delaware in May 2022, as a direct, wholly owned
subsidiary of Parent, solely for the purpose of engaging in the Transactions, including the Merger. Merger Sub has not carried on any activities on
or prior to the date of this proxy statement, except for activities incidental to its formation and activities undertaken in connection with the
Transactions, including the structuring and negotiation of the Transactions and arranging financing therefor. Upon completion of the Merger,
Merger Sub will merge with and into Covetrus and Merger Sub will cease to exist.
For more information about the Company, Parent and Merger Sub, see the section entitled “Parties to the Merger.”
The Special Meeting",9,9
"COVETRUS, INC._20220913_DEFM14A_20336819_4516858.Pdf",The Special Meeting,"The Special Meeting
(see page 118)
A special meeting of Covetrus stockholders will be held via live webcast on October 11, 2022, at 10:00 a.m., Eastern Time. To participate in the special
meeting virtually via the Internet, please visit www.proxydocs.com/CVET. In order to participate, you must register at www.proxydocs.com/CVET
before the commencement of the special meting. Upon completing your registration, you will receive further instructions via email, including your
unique links that will allow you access to the virtual meeting, where you will be able to listen to the meeting live, submit questions and vote online.
Please note that you will not be able to attend the special meeting in person. At the special meeting, you will be asked to, among other things, vote
for the Merger Agreement Proposal (as defined below). See the section entitled “The Special Meeting,” beginning on page 118, for additional
information on the special meeting, including how to vote your shares of Company common stock.
1Table of Contents
Special Factors",9,10
"COVETRUS, INC._20220913_DEFM14A_20336819_4516858.Pdf",Special Factors,"Special Factors
(see page 22)
On May 24, 2022, Covetrus entered into an Agreement and Plan of Merger (as the same may be amended from time to time, the “Merger Agreement”)
by and among Parent, Merger Sub, and the Company, pursuant to which Merger Sub will be merged with and into the Company (the “Merger” and
together with the other transactions contemplated by the Merger Agreement, the “Transactions”), with the Company surviving the Merger as a
wholly owned subsidiary of Parent.
In connection with the Merger Agreement, an affiliate of CD&R and affiliates of TPG Global, LLC (“TPG”) have entered into the Equity Commitment
Letters (as defined below), pursuant to which they have agreed to provide equity commitments to Parent in an aggregate amount of $1.604 billion,
and have entered into the Limited Guarantees (as defined below) with the Company with respect to the payment of a termination fee that may be
payable by Parent to the Company under the Merger Agreement, as well as certain reimbursement obligations that may be owed by Parent pursuant
to the Merger Agreement, in each case, subject to the terms of the Merger Agreement, the Equity Commitment Letters and the Limited Guarantees,
as applicable.
The Merger Agreement",10,10
"COVETRUS, INC._20220913_DEFM14A_20336819_4516858.Pdf",The Merger Agreement,"The Merger Agreement
(see page 82)
A summary of the material provisions of the Merger Agreement, which is attached as Annex A to this proxy statement and which is incorporated by
reference in this proxy statement, is described in the section of this proxy statement entitled “The Merger Agreement.” Among other things, the
Merger Agreement includes the following terms:
•
Effective Time of the Merger; Closing. Assuming timely satisfaction of necessary closing conditions set forth in the Merger
Agreement, including the adoption of the Merger Agreement by the Company’s stockholders, we anticipate that the Merger will be
completed in the second half of 2022. The Company, however, cannot assure completion of the Merger by any particular date, if at all.
•
Conditions to the Merger. The closing of the Merger depends on a number of conditions being satisfied or waived (other than the
condition set forth in the first bullet below, which cannot be waived). These conditions, which are described more fully in “The Merger
Agreement—Conditions to the Merger,” include:
•
The respective obligations of the parties to the Merger Agreement to effect the Merger are subject to the satisfaction (or mutual
waiver as of the closing by each of Parent and Covetrus where permitted under applicable law) of the following conditions: (i)
adoption of the Merger Agreement by Company’s stockholders in accordance with applicable law and the Company’s certificate
of incorporation and bylaws; (ii) the waiting period applicable to the consummation of the Merger under the HSR Act having
expired or been earlier terminated (the HSR Act waiting period expired at 11:59 p.m. EST on July 8, 2022) and the other filings,
notices, reports, consents, registrations, approvals, permits, expirations of waiting periods, clearances or authorizations set forth
in the disclosure letter delivered by Covetrus in connection with the Merger Agreement having been filed, occurred or obtained,
as applicable; and (iii) no governmental entity of competent jurisdiction having enacted, issued, promulgated, enforced or entered
any law (whether temporary, preliminary or permanent) that is in effect and restrains, enjoins or otherwise prohibits the
consummation of the Merger.
•
The obligations of Parent and Merger Sub to complete the Merger are also subject to the satisfaction or waiver by Parent as of
the closing of additional conditions, including: (i) subject to materiality qualifiers in certain cases, the accuracy of each of our
representations and warranties
2Table of Contents
in the Merger Agreement; (ii) Covetrus’ performance and compliance with in all material respects all obligations required to be
performed by or complied with by us under the Merger Agreement as of the closing of the Merger; (iii) since the date of the
Merger Agreement, there not having occurred a Company Material Adverse Effect (as defined in the section entitled “The
Merger Agreement—Representations and Warranties of Covetrus”); and (iv) the receipt by Parent of a signed certificate by a
senior executive officer of Covetrus at the closing of the Merger stating that the foregoing conditions have been satisfied.
•
Covetrus’ obligations to complete the Merger are also subject to the satisfaction or waiver by us as of the closing of the Merger
of additional conditions, including: (i) subject to certain materiality qualifiers, the accuracy of each of the representations and
warranties of Parent and Merger Sub in the Merger Agreement; (ii) each of Parent’s and Merger Sub’s performance and
compliance with in all material respects all obligations required to be performed by or complied with by it under the Merger
Agreement as of the closing of the Merger; and (iii) the receipt by the Company of a signed certificate by an officer of Parent to
the effect that the forgoing conditions have been satisfied.
•
No Solicitation of Acquisition Proposals. The Merger Agreement provides that we are not permitted to, among other things, directly or
indirectly through our representatives solicit, initiate, knowingly encourage or knowingly facilitate any inquiries or the making of any
proposal or offer that constitutes, or could reasonably be expected to lead to, any Acquisition Proposal (as defined in the section
entitled “The Merger Agreement—Restriction on Solicitation of Competing Proposals—No Solicitation or Negotiation”).
•
Board Recommendation Changes. Notwithstanding the restrictions described above, under certain circumstances, we may, prior to the
time the Merger Agreement is adopted by our stockholders, (x) provide non-public information in response to an unsolicited, bona fide
written Acquisition Proposal that did not result from a breach of the non-solicitation provisions of the Merger Agreement, subject to
certain conditions, and (y) engage or participate in any discussions or negotiations with certain third parties who have made such a
bona fide written Acquisition Proposal, if and only if the Board (acting on the recommendation of the Transaction Committee) has
determined in good faith and after consultation with outside legal counsel that, based on the information then available and after
consultation with an independent financial advisor of nationally recognized reputation that such Acquisition Proposal either
constitutes a Superior Proposal or would reasonably be expected to lead to a Superior Proposal (as defined in the section entitled “The
Merger Agreement—Restriction on Solicitation of Competing Proposals—Fiduciary Exception to No Solicitation Provision”), and
the failure to take such action would reasonably be expected to be inconsistent with the Company directors’ fiduciary duties under
applicable law.
The Merger Agreement also provides that, at any time before the stockholders of the Company adopt the Merger Agreement, the
Board (acting on the recommendation of the Transaction Committee) may effect a change in recommendation (or terminate the Merger
Agreement) with respect to (x) an unsolicited bona fide Acquisition Proposal if the Board (acting on the recommendation of the
Transaction Committee) determines in good faith, after consultation with its financial advisors and outside legal counsel, that such
Acquisition Proposal constitutes a Superior Proposal or (y) certain material effects not known to, or reasonably foreseeable by (or if
known or reasonably foreseeable, the material consequences of which were not known to or reasonably foreseeable by) the Board prior
to the execution of the Merger Agreement and, in each case, the Company complies with certain procedures. The non-solicitation
provisions are described in more detail in the section of this proxy statement entitled “The Merger Agreement—Restriction on
Solicitation of Competing Proposals.”
3
Table of Contents
•
Termination and Termination Fees. The Merger Agreement contains certain termination rights, including, among other things, the right
of any party to terminate the Merger Agreement if the Merger has not occurred on or before November 24, 2022 (subject under certain
circumstances to an automatic extension of three months pursuant to the terms of the Merger Agreement) and the right of the Company
to terminate the Merger Agreement to accept a Superior Proposal, subject to specified exceptions and limitations, and provides that:
•
upon termination of the Merger Agreement by the Company or Parent in certain circumstances, including a termination by Parent
as a result of a change in the recommendation of the Board or a termination by the Company to enter into an Alternative
Acquisition Agreement (as defined in the section entitled “The Merger Agreement—Restriction on Solicitation of Competing
Proposals—No Change in Recommendation or Alternative Acquisition Agreement”) providing for a Superior Proposal, or, if the
Merger Agreement is terminated and the Company enters into or completes an alternative transaction within 12 months, subject
to certain additional conditions having been met, the Company will be required to pay Parent a termination fee of $88,315,000; and
•
upon termination of the Merger Agreement by the Company or Parent in certain circumstances, including a termination by the
Company as a result of (1) certain material breaches by Parent or Merger Sub of their representations, warranties, covenants or
agreements set forth in the Merger Agreement, or (2) the failure of Parent and Merger Sub to consummate the closing in a
specified timeframe when the conditions to Parent’s obligation to close the Merger have been and remain satisfied or waived, the
Company has irrevocably confirmed in writing to Parent and Merger Sub that it is prepared to and stands ready, willing and able
to consummate the closing and that all of the conditions to the Company’s obligation to close the Merger have been satisfied or
irrevocably waived, Parent will be required to pay the Company a termination fee of $197,950,000.
For further discussion of the rights of the parties to terminate the Merger Agreement and the circumstances in which certain termination fees will be
payable, see the sections entitled “The Merger Agreement—Termination of the Merger Agreement” and “The Merger Agreement—Termination
Fees.”",10,12
"COVETRUS, INC._20220913_DEFM14A_20336819_4516858.Pdf",Support and Rollover Agreement,"Support and Rollover Agreement
(see page 114 and Annex B)
Concurrently with the execution of the Merger Agreement on May 24, 2022, and as a condition and inducement to Parent, Merger Sub and the
Company’s willingness to enter into the Merger Agreement, the Company, CD&R VFC Holdings and Parent entered into a Support and Rollover
Agreement (the “Support and Rollover Agreement”) with respect to Company common stock owned of record or beneficially by CD&R VFC
Holdings. Pursuant to the Support and Rollover Agreement, CD&R VFC Holdings has agreed to, and agreed to cause its applicable affiliates to,
affirmatively vote or cause to be voted all of its shares of Company common stock (a) in favor of (“for”) (i) approval of the Merger, (ii) the adoption
of the Merger Agreement and (iii) each of the other actions contemplated by the Merger Agreement or necessary or desirable to further any other
transactions contemplated by the Merger Agreement (including, for the avoidance of doubt, any proposal to adjourn the applicable meeting that the
Board supports as long as such adjournment is in compliance with the terms of the Merger Agreement) and (b) against any action or agreement that
could reasonably be expected to result in any of the conditions to the consummation of the Merger under the Merger Agreement not being fulfilled.
In the event the Board (acting upon the recommendation of the Transaction Committee) or the Transaction Committee has made a change in
recommendation against the Merger and the adoption of the Merger Agreement, CD&R VFC Holdings may vote its shares with respect to the above
matters in any manner it chooses.
Further, pursuant to the Support and Rollover Agreement, CD&R VFC Holdings has agreed to transfer, directly or indirectly, its shares of Company
common stock, which otherwise would be converted into the right to receive
4Table of Contents
Merger Consideration in cash, to Parent (or its parent company), immediately prior to the Effective Time, in exchange for newly issued equity
interests of Parent (or its parent company), with an aggregate value equal to the aggregate amount of the Merger Consideration that would have
been payable to CD&R VFC Holdings in respect of its shares of Company common stock.
In addition, CD&R VFC Holdings agreed to not take certain actions, including not (i) tendering any of its shares of Company common stock into any
tender or exchange offer, (ii) transferring any of its shares of Company common stock, (iii) granting any proxies or powers of attorney or (iv) taking
any action that would make any representation or warranty of CD&R VFC Holdings contained in the Support and Rollover Agreement untrue or
incorrect in any material respect or have the effect of preventing or disabling CD&R VFC Holdings from performing its obligations under the Support
and Rollover Agreement in any material respect. For additional information, see the section entitled “Support and Rollover Agreement.”
Stockholders Entitled to Vote; Vote Required to Adopt the Merger Agreement",12,13
"COVETRUS, INC._20220913_DEFM14A_20336819_4516858.Pdf",Stockholders Entitled to Vote; Vote Required to Adopt the Merger Agreement,"Stockholders Entitled to Vote; Vote Required to Adopt the Merger Agreement
(see page 119)
You may vote at the special meeting if you were a holder of record of shares of Company common stock as of the close of business on September 7,
2022, which is the record date for the special meeting (the “record date”). You will be entitled to one vote for each share of Company common stock
that you owned on the record date. As of the record date, there were 140,122,753 shares of Company common stock issued and outstanding and
entitled to vote at the special meeting. The adoption of the Merger Agreement requires the affirmative vote of the holders of a majority of the
outstanding shares of Company common stock entitled to vote on such matter.",13,13
"COVETRUS, INC._20220913_DEFM14A_20336819_4516858.Pdf",How to Vote,"How to Vote
(see page 121)
Stockholders of record have a choice of voting (i) by proxy by completing, signing and dating a proxy card and returning it in the prepaid envelope
provided, (ii) by calling a toll-free telephone number or through the internet or (iii) at the special meeting via the virtual meeting website. Please refer
to your proxy card or the information forwarded by your bank, broker, trust or other nominee to see which options are available to you. Any
stockholder can virtually attend the special meeting by visiting and registering at www.proxydocs.com/CVET before the commencement of the
special meeting. Upon completing your registration, you will receive further instructions via email, including your unique links that will allow you
access to the virtual meeting, where you will be able to listen to the meeting live, submit questions and vote online. The special meeting starts at
10:00 a.m., Eastern Time. Instructions on who can attend and participate via internet, including how to demonstrate proof of stock ownership, are
posted at www.proxydocs.com/CVET. The telephone and internet voting facilities for stockholders of record will close at 11:59 p.m., Eastern Time on
October 10, 2022.
If you wish to vote by proxy and your shares of Company common stock are held by a bank, broker, trust or other nominee, you must follow the
voting instructions provided to you by your bank, broker, trust or other nominee. Unless you give your bank, broker, trust or other nominee
instructions on how to vote your shares of Company common stock, your bank, broker, trust or other nominee will not be able to vote your shares of
Company common stock at the special meeting.
YOU SHOULD NOT SEND IN YOUR STOCK CERTIFICATE(S) WITH YOUR PROXY CARD. A letter of transmittal with instructions for the
surrender of certificates representing shares of Company common stock or book-entry shares of Company common stock will be mailed to
stockholders if the Merger is completed.
For additional information regarding the procedure for delivering your proxy, see the sections entitled “The Special Meeting—How to Vote,”
beginning on page 121, and “The Special Meeting—Solicitation of Proxies,” beginning on page 123. If you have more questions about the Merger
or how to submit your proxy, or if you need
5Table of Contents
additional copies of this proxy statement or the enclosed proxy card or voting instructions, please contact our proxy solicitor, Innisfree M&A
Incorporated (“Innisfree”), toll-free from the U.S. or Canada at (866) 239-1762, or dial direct from other locations at +1 (412) 232-3651.",13,14
"COVETRUS, INC._20220913_DEFM14A_20336819_4516858.Pdf",Background of the Merger,"Background of the Merger
(see page 22)
A description of the background of the Merger, including the Company’s discussions with CD&R, is included in the section of this proxy statement
entitled “Special Factors—Background of the Merger.”
Reasons for the Merger; Recommendation of the Board; Fairness of the Merger",14,14
"COVETRUS, INC._20220913_DEFM14A_20336819_4516858.Pdf",Reasons for the Merger; Recommendation of the Board; Fairness of the Merger,"Reasons for the Merger; Recommendation of the Board; Fairness of the Merger
(see page 32)
The board of directors of the Company (the “Board”) formed a transaction committee, consisting of three of the Company’s non-management
members of the Board that are unaffiliated with CD&R and its affiliates (the “Transaction Committee”), to evaluate and consider, among other things,
any potential or actual proposal from CD&R and any other alternative proposals or other strategic alternatives that may be available to the
Company, including the Merger. After careful consideration, with the assistance of independent financial and legal advisors, the Transaction
Committee unanimously (i) approved and declared advisable the Merger Agreement and the consummation of the Transactions, including the
Merger, upon the terms and subject to the conditions set forth in the Merger Agreement, (ii) determined that the Merger is fair to, and in the best
interests of, the Company and its stockholders and (iii) recommended to the Board to adopt and declare advisable the Merger Agreement and the
Transactions, including the Merger, and recommend to the stockholders of the Company the adoption of the Merger Agreement.
The Board (other than Ravi Sachdev and Sandra Peterson (the “Recused Directors”), who recused themselves due to their affiliation with CD&R),
acting upon the recommendation of the Transaction Committee, unanimously (i) approved and declared advisable the Merger Agreement and the
consummation of the Transactions, including the Merger, upon the terms and subject to the conditions set forth in the Merger Agreement, (ii)
determined that the Merger is fair to, and in the best interests of, the Company and its stockholders, (iii) directed that the Merger Agreement be
submitted to a vote at a meeting of the stockholders of the Company and (iv) resolved to recommend that the stockholders of the Company adopt
the Merger Agreement.
Accordingly, based on its evaluation and having received the recommendation of the Transaction Committee, the Board, by unanimous vote of the
Company’s directors (other than the Recused Directors), recommends that the Company’s stockholders vote (i) “FOR” the Merger Agreement
Proposal, (ii) “FOR” the Merger-Related Compensation Proposal (as defined below) and (iii) “FOR” the Adjournment Proposal (as defined below).
For a discussion of the material factors considered by the Board in reaching its conclusions, see the section entitled “Special Factors—Reasons for
the Merger; Recommendation of the Board; Fairness of the Merger.” In addition, in considering the recommendation of the Board with respect to
the Merger Agreement, you should be aware that our directors and executive officers have interests that may be different from, or in addition to, the
interests of Covetrus stockholders generally. See the section entitled “Special Factors—Interests of Directors and Executive Officers in the
Merger,” beginning on page 68.
Position of the CD&R Entities as to the Fairness of the Merger; Purpose and Reasons of the CD&R Entities for the Merger",14,14
