Document,Section Header,Section Text,Start Page,End Page
COWEN INC._20221011_DEFM14A_20384577_4528659.Pdf,SUMMARY,"SUMMARY
This summary highlights selected information in this proxy statement and may not contain all of the information
about the merger agreement, the merger or the other transactions contemplated by the merger agreement that is
important to you. We have included page references in parentheses to direct you to more complete descriptions of
the topics presented in this summary. You should carefully read this proxy statement in its entirety, including the
annexes hereto and the other documents to which we have referred you, for a more complete understanding of the
matters being considered at the special meeting, including, without limitation, the merger agreement attached as
Annex A to this proxy statement. You may obtain, without charge, copies of documents incorporated by reference
into this proxy statement by following the instructions set forth under the section entitled “Where You Can Find
Additional Information” beginning on page 124 of this proxy statement.
The Parties",11,11
COWEN INC._20221011_DEFM14A_20384577_4528659.Pdf,The Parties,"The Parties
(page 22)
Cowen Inc.
Cowen Inc. (“Cowen”) is a diversified financial services firm that provides investment banking, research, sales and
trading, prime brokerage, outsourced trading, global clearing, and commission management services. Cowen also has
an investment management division which offers actively managed alternative investment products. Founded in
1918, Cowen is headquartered in New York and has offices worldwide. The Company’s principal executive offices are
located at 599 Lexington Avenue, New York, NY 10022 and our telephone number is (212) 845-7900. Shares of the
Company’s class A common stock are listed on the Nasdaq Global Select Market under the trading symbol “COWN”.
Parent
TD is a Schedule I bank under the Bank Act (Canada), and a financial holding company with US$1.4 trillion in global
assets as of July 31, 2022. TD also maintains a federally licensed branch located in New York that, among other
things, supports U.S. Wholesale Banking activities.
TD’s common shares are listed on the New York Stock Exchange and the Toronto Stock Exchange under the symbol
“TD”. The principal executive offices of TD are located at 66 Wellington Street West, Toronto, Ontario, Canada, M5K
1A2, and its telephone number at that address is (416) 308-9030 or toll free at (866) 486-4826.
Merger Sub
Crimson Holdings Acquisition Co. is a Delaware corporation and a wholly owned subsidiary of Toronto Dominion
Holdings (U.S.A.) Inc., which itself is an indirect wholly owned subsidiary of TD. Merger Sub was formed solely for
the purposes of facilitating the merger and the other transactions contemplated by the merger agreement. Merger Sub
has not carried on any activities or operations to date, except for those activities incidental to its formation and
undertaken in connection with the transactions contemplated by the merger agreement. Pursuant to the merger
agreement, on the closing date, Merger Sub will merge with and into Cowen, and Cowen will continue as the
Surviving Corporation.
The principal executive offices of Merger Sub are located at c/o The Toronto Dominion Bank, 66 Wellington Street
West, Toronto, Ontario, Canada, M5K 1A2, and its telephone number at that address is (416) 308-9030 or toll free at
(866) 486-4826.",11,11
COWEN INC._20221011_DEFM14A_20384577_4528659.Pdf,The Merger,"The Merger
(page 31)
On August 1, 2022, the Company entered into an Agreement and Plan of Merger (the “merger agreement”) with
Parent and Merger Sub, providing for, subject to the satisfaction or (to the extent permitted by law) waiver of
specified conditions, the acquisition of the Company by Parent at a price of $39.00 in cash, without interest, per share
of common stock (the “merger consideration”). Subject to the terms and conditions of the merger agreement, Merger
Sub will be merged with and into the Company (the “merger”), with the Company surviving the merger as a wholly
owned subsidiary of Parent (the “Surviving Corporation”). A copy of the merger agreement is included as Annex A
to this proxy statement.
2TABLE OF CONTENTS
If the merger is consummated, at the effective time of the merger (the “effective time”), each share of common stock
issued and outstanding immediately prior to the effective time (except for (i) shares of common stock owned by the
Company or Parent (in each case, other than shares of common stock (A) held in trust accounts, managed accounts,
mutual funds and the like, or otherwise held in a fiduciary or agency capacity, or (B) held, directly or indirectly, in
respect of a debt previously contracted) and (ii) any shares of common stock with respect to which dissenters’ rights
have been exercised) will be automatically canceled and converted into the right to the merger consideration.
If the merger is consummated, the class A common stock will be delisted from the Nasdaq Global Select Market and
deregistered under the Securities Exchange Act of 1934, as amended (the “Exchange Act”) as soon as reasonably
practicable following the effective time, and, accordingly, the class A common stock will no longer be publicly traded.
The Special Meeting",11,12
COWEN INC._20221011_DEFM14A_20384577_4528659.Pdf,The Special Meeting,"The Special Meeting
(page 23)
The special meeting of stockholders of the Company will be held on November 15, 2022 at 10:00 a.m. Eastern Time in a
virtual-only meeting format. To access the virtual special meeting, you should visit
www.virtualshareholdermeeting.com/COWN2022SM. You will be required to enter a control number, included on your
proxy card, voting instruction form or other notice that you may receive, which will allow you to participate in the
virtual meeting and vote your shares of common stock if you are a Cowen stockholder as of the record date. See the
section entitled “The Special Meeting” beginning on page 23 of this proxy statement for additional information on
the special meeting, including how to vote your shares of common stock.
Stockholders Entitled to Vote; Vote Required to Approve the Merger Proposal",12,12
COWEN INC._20221011_DEFM14A_20384577_4528659.Pdf,Stockholders Entitled to Vote; Vote Required to Approve the Merger Proposal,"Stockholders Entitled to Vote; Vote Required to Approve the Merger Proposal
(page 23 and page 24)
Only Cowen stockholders of record at the close of business on September 29, 2022-the record date for the special
meeting-will be entitled to notice of, and to vote at, the special meeting and any postponement or adjournment
thereof. As of the close of business on the record date, there were 28,014,299 shares of common stock outstanding
and entitled to vote. Each Cowen stockholder is entitled to one vote per share of common stock held by such Cowen
stockholder on the record date on each of the proposals presented in this proxy statement.
The approval of the merger proposal requires the affirmative vote of the majority of shares of class A common stock
outstanding and entitled to vote on the matter (the “Cowen stockholder approval”). Under Delaware law and the
merger agreement, the receipt of such required vote is a condition to the consummation of the merger. Approval of
the advisory compensation proposal and the adjournment proposal is not a condition to the consummation of the
merger. Note that you may vote to approve the merger proposal and vote not to approve the advisory compensation
proposal or adjournment proposal and vice versa.
Holders of shares of class B common stock and holders of shares of 5.625% Series A Cumulative Perpetual
Convertible Preferred Stock (“preferred stock”) of the Company are not entitled to vote on the merger proposal, the
advisory compensation proposal or the adjournment proposal.
Background of the Merger",12,12
COWEN INC._20221011_DEFM14A_20384577_4528659.Pdf,Background of the Merger,"Background of the Merger
(page 31)
A description of the process we undertook that led to the proposed merger, including our discussions with Parent, is
included in this proxy statement under “The Merger-Background of the Merger”.
Recommendation of the Board",12,12
COWEN INC._20221011_DEFM14A_20384577_4528659.Pdf,Recommendation of the Board,"Recommendation of the Board
(page 53)
The Board has reviewed and considered the terms and conditions of the merger agreement, the merger and the other
transactions contemplated by the merger agreement. The Board unanimously (i) approved and declared advisable the
merger agreement, the merger and the other transactions contemplated by merger agreement; (ii) determined that it is
fair and advisable to, and in the best interests of, the Company and its stockholders to
3TABLE OF CONTENTS
enter into the merger agreement and consummate the merger and the other transactions contemplated by the merger
agreement; (iii) directed that the merger agreement be submitted to the stockholders of the company for adoption; (iv)
recommended that such stockholders vote their shares of common stock in favor of the adopting the merger
agreement and approving the transactions contemplated thereby (including the merger); and (v) authorized the
execution, delivery and performance by the Company of the merger agreement and the consummation by the
Company of the merger and the other transactions contemplated by the merger agreement. Accordingly, the Board
unanimously recommends a vote “FOR” the merger proposal, “FOR” the advisory compensation proposal and
“FOR” the adjournment proposal. For a discussion of the factors that the Board considered in determining to
unanimously recommend the approval of the merger proposal, see the section entitled “The Merger-Reasons for the
Merger” beginning on page 53 of this proxy statement.
Opinion of Ardea Partners LP",12,13
COWEN INC._20221011_DEFM14A_20384577_4528659.Pdf,Opinion of Ardea Partners LP,"Opinion of Ardea Partners LP
(page 64)
Pursuant to an engagement letter between the Company and Ardea Partners LP (“Ardea”), the Company retained
Ardea as its financial advisor in connection with the transactions contemplated by the merger agreement.
At a meeting of the Board held on August 1, 2022, representatives of Ardea rendered to the Board Ardea’s oral
opinion, subsequently confirmed in a written opinion dated August 1, 2022 and delivered to the Board, to the effect
that, as of the date of Ardea’s written opinion, and based upon, and subject to, the factors and assumptions set forth
therein, the $39.00 in cash per share of class A common stock, without interest, to be paid to the holders of shares of
class A common stock pursuant to the terms of the merger agreement was fair, from a financial point of view, to such
holders.
The full text of Ardea’s written opinion, dated August 1, 2022, which sets forth the assumptions made, procedures
followed, matters considered and qualifications and limitations upon the scope of review undertaken in connection
with the opinion, is attached as Annex B to this proxy statement. The summary of the Ardea opinion contained in
this proxy statement is qualified in its entirety by reference to the full text of Ardea’s written opinion. Ardea
provided its’s advisory services and opinion were provided for the information and assistance of the Board in
connection with its consideration of the transactions contemplated by the merger agreement. Ardea’s opinion does
not constitute a recommendation as to how any holders of class A common stock should vote with respect to the
transactions contemplated by the merger agreement or any other matter.
For a description of the opinion that the Board received from Ardea, and for additional information, see the section
entitled “The Merger - Opinion of Ardea Partners LP” beginning on page 64 of this proxy statement and Annex B to
this proxy statement.
Certain Effects of the Merger",13,13
COWEN INC._20221011_DEFM14A_20384577_4528659.Pdf,Certain Effects of the Merger,"Certain Effects of the Merger
(page 69)
If the merger is consummated, Merger Sub will be merged with and into the Company, with the Company surviving
upon the terms set forth in the merger agreement. As the surviving corporation in the merger, the Company will
continue to exist following the merger as an indirect, wholly owned subsidiary of Parent.
If the merger is consummated, the class A common stock will be delisted from the Nasdaq Global Select Market and
deregistered under the Exchange Act as soon as reasonably practicable following the effective time, and, accordingly,
our class A common stock will no longer be publicly traded.
Effects on the Company if the Merger Is Not Consummated",13,13
COWEN INC._20221011_DEFM14A_20384577_4528659.Pdf,Effects on the Company if the Merger Is Not Consummated,"Effects on the Company if the Merger Is Not Consummated
(page 70)
In the event that the Cowen stockholder approval is not obtained or if the merger is not consummated for any other
reason, Cowen stockholders will not receive any payment for their shares of common stock in connection with the
merger. Instead, the Company will remain an independent public company, the class A common stock will continue to
be listed and traded on the Nasdaq Global Select Market, the class A common stock will continue to be registered
under the Exchange Act and Cowen stockholders will continue to own their shares of common stock and will
continue to be subject to the same general risks and opportunities as they currently are with respect to ownership of
the common stock.
4TABLE OF CONTENTS
Under certain circumstances, Cowen will be required to pay TD a termination fee equal to $42,250,000.00 in cash and,
under certain other circumstances, TD will be required to pay Cowen an expense reimbursement including (i)
$10,000,000 for fees and expenses of third party advisors and other transaction costs, (ii) the aggregate face amount
of employee retention awards which have been allocated and communicated to employees of Cowen (subject to
certain limitations and requirements) and (iii) the designated capped amount for the premium of an insurance policy
that may, at the request of TD, be bound by Cowen pursuant to the merger agreement. For more information, see the
sections entitled “The Merger Agreement-Termination Fee” and “The Merger Agreement-Expense Reimbursement”
beginning on pages 111 and 112, respectively, of this proxy statement.
Treatment of Compensation Awards",13,14
