Document,Section Header,Section Text,Start Page,End Page
CVENT HOLDING CORP._20230503_DEFM14A_20848314_4658730.Pdf,SUMMARY,"SUMMARY
This summary highlights selected information in this proxy statement and may not contain all of the information
about the Merger Agreement, the Merger and the other transactions contemplated by the Merger Agreement that
are important to you. You should carefully read this proxy statement in its entirety, including the annexes hereto
and the other documents to which we have referred you, for a more complete understanding of the matters being
considered at the Special Meeting. You may obtain, without charge, copies of any of the documents we file with the
Securities and Exchange Commission (the “SEC”) by following the instructions under the section of this proxy
statement titled “Where You Can Find Additional Information.”
In this proxy statement: (1) the terms “we,” “us,” “our,” the “Company” and “Cvent” refer to Cvent Holding
Corp.; (2) the term “Parent” refers to Capstone Borrower, Inc.; (3) the term “Merger Sub” refers to Capstone
Merger Sub, Inc.; (4) the term “Blackstone” refers to Blackstone Inc.; (5) the term “Guarantors” refers to,
collectively, Blackstone Capital Partners VIII (Lux) SCSp, Blackstone Capital Partners VIII (Ontario) L.P.,
Blackstone Capital Partners VIII L.P., Blackstone Family Investment Partnership VIII - ESC L.P., Blackstone
Family Investment Partnership VIII - SMD L.P., BTAS NQ Holdings L.L.C. and Platinum Falcon B 2018 RSC
Limited; (6) the term “Vista Stockholders” refers to, collectively, Vista Equity Partners Fund VI, L.P., Vista Equity
Partners Fund VI-A, L.P., VEPF VI FAF, L.P., VEPF IV AIV VII, L.P., VEPF IV AIV VII-A, L.P., VEPF III AIV VI, L.P.,
VEPF III AIV VI-A, L.P., VFF I AIV IV, L.P. and VFF I AIV IV-A, L.P.; (7) the term “Merger Agreement” refers to the
Agreement and Plan of Merger, dated as of March 14, 2023, by and among the Company, Parent and Merger Sub, as
the same may be amended, supplemented or otherwise modified from time to time; (8) the term “Merger” refers to
the merger of Merger Sub with and into Cvent, with Cvent continuing as the surviving corporation and as a wholly
owned subsidiary of Parent as described in the Merger Agreement; (9) the term “Cvent common stock” refers to the
common stock, par value $0.0001 per share, of the Company; and (10) the term “Special Meeting” refers to the
special meeting of Cvent stockholders described in this proxy statement, including any adjournments or
postponements thereof.
The Parties (page 21)",10,10
CVENT HOLDING CORP._20230503_DEFM14A_20848314_4658730.Pdf,The Parties (page 21),"The Parties (page 21)
Cvent Holding Corp.
Cvent is a Delaware corporation incorporated in 2021. On December 8, 2021, we consummated a business
combination pursuant to which, among other things, promptly following the de-registration of the Company (f/k/a
Dragoneer Growth Opportunities Corp. II) as an exempted company in the Cayman Islands and the continuation and
domestication of the Company as a corporation in the State of Delaware with the name “Cvent Holding Corp.”, we
became a Nasdaq-listed company.
Cvent is a leading cloud-based platform of event marketing and management and hospitality solutions. We power the
marketing and management of meetings and events through our Event Cloud and Hospitality Cloud solutions. Our
Event Cloud consists of tools to enable event organizers to manage the entire event lifecycle and deliver engaging
experiences across every type of event and all event formats: in-person, virtual and hybrid. Event Cloud serves as the
system of record for event and engagement data collected across an organization’s total event program, which
comprises every internal and external event an organization hosts or attends. Our Hospitality Cloud offers a
marketplace that connects event organizers looking for the appropriate event space for their in-person and hybrid
events with hoteliers and venue operators through a vertical search engine built on our proprietary database of
detailed event space information. In addition, our Hospitality Cloud provides marketing and software solutions that
hotels and venues leverage to digitally showcase their event space to attract valuable leads and grow their
businesses. This combination of our Event Cloud and Hospitality Cloud solutions results in a cohesive platform.
Shares of Cvent common stock are listed on Nasdaq Global Market (“Nasdaq”) under the symbol “CVT.” Our
principal executive office is located at 1765 Greensboro Station Place, 7th Floor, Tysons, Virginia 22102, our telephone
number is (703) 226-3500, and our Internet address is http://www.cvent.com. Information on Cvent’s website is not
incorporated by reference into or otherwise part of this proxy statement. Additional information about Cvent is
contained in our public filings. See the section of this proxy statement titled “Where You Can Find Additional
Information.”
Capstone Borrower, Inc.
Parent was formed on March 9, 2023 by investment funds managed by affiliates of Blackstone solely for the purpose
of engaging in the transactions contemplated by the Merger Agreement, and has not engaged in any business
activities
1TABLE OF CONTENTS
other than in connection with the transactions contemplated by the Merger Agreement and arranging of the equity
financing and debt financing in connection with the Merger. Upon completion of the Merger, Cvent will be a wholly
owned subsidiary of Parent.
Capstone Merger Sub, Inc.
Merger Sub is a wholly owned subsidiary of Parent and was formed on March 9, 2023 by Parent solely for the
purpose of engaging in the transactions contemplated by the Merger Agreement and has not engaged in any
business activities other than in connection with the transactions contemplated by the Merger Agreement and
arranging of the equity financing and debt financing in connection with the Merger. Upon completion of the Merger,
Merger Sub will cease to exist.
Parent and Merger Sub are affiliates of investment funds managed by affiliates of Blackstone. Blackstone is one of
the world’s leading investment firms, with Total Assets Under Management of $974.7 billion as of December 31, 2022.
At the Effective Time (as defined in the section of this proxy statement titled “The Merger”), the surviving
corporation will be indirectly majority owned by investment funds managed by affiliates of Blackstone.
The Merger (page 32)",10,11
CVENT HOLDING CORP._20230503_DEFM14A_20848314_4658730.Pdf,The Merger (page 32),"The Merger (page 32)
The Company, Parent and Merger Sub entered into the Merger Agreement on March 14, 2023. A copy of the Merger
Agreement is included as Annex A to this proxy statement. On the terms and subject to the conditions set forth in
the Merger Agreement and the applicable provisions of the DGCL, at the effective time of the Merger (the “Effective
Time”), Merger Sub will merge with and into the Company, the separate corporate existence of Merger Sub will
thereupon cease, and the Company will continue as the surviving corporation of the Merger and as a wholly owned
subsidiary of Parent. From time to time in this proxy statement, we refer to Cvent as it will exist after the completion of
the Merger as the “surviving corporation.”
At the Effective Time, and without any action by any stockholder, except as otherwise expressly agreed to in writing
prior to the Effective Time by Parent and a Cvent stockholder, each share of Cvent common stock that is issued and
outstanding as of immediately prior to the Effective Time (other than shares of Cvent common stock held by the
Company as treasury stock, owned by Parent or any of its Subsidiaries (including Merger Sub) immediately prior to
the Effective Time or as to which holders (or, to the extent applicable, beneficial owners) thereof have properly
exercised their statutory rights of appraisal in accordance with Section 262 of the DGCL) will be automatically
canceled, extinguished and converted into the right to receive cash in an amount equal to $8.50 without interest (the
“Merger Consideration”).
The Special Meeting (page 23)",11,11
CVENT HOLDING CORP._20230503_DEFM14A_20848314_4658730.Pdf,The Special Meeting (page 23),"The Special Meeting (page 23)
Date, Time and Place
The Special Meeting will be held virtually on Thursday, June 1, 2023, at 9 a.m., Eastern time. At the Special Meeting,
holders of Cvent common stock will be asked to, among other things, vote for the adoption of the Merger Agreement.
All stockholders are cordially invited to attend the Special Meeting. Cvent is conducting the Special Meeting solely
online via the Internet through a live webcast and online stockholder tools. Stockholders will be able to attend the
Special Meeting by visiting www.virtualshareholdermeeting.com/CVT2023SM and by using the 16-digit control
number included in their proxy materials. You will not be able to attend the Special Meeting physically in person. For
purposes of attendance at the Special Meeting, all references in this proxy statement to “present in person” or “in
person” shall mean virtually present at the Special Meeting.
Record Date and Stockholders Entitled to Vote
Only holders of Cvent common stock of record as of the close of business on May 1, 2023, the record date for the
Special Meeting, are entitled to receive notice of and to vote the shares of Cvent common stock they held on the
record date at the Special Meeting. As of the close of business on the record date, 491,620,840 shares of Cvent
common stock were issued and outstanding and entitled to vote at the Special Meeting.
Quorum
The representation in person or by proxy of at least a majority of the outstanding shares of Cvent common stock
entitled to vote at the Special Meeting, or 245,810,421 shares of Cvent common stock, is necessary to constitute a
quorum for the transaction of business.
2TABLE OF CONTENTS
Vote Required
On each of the proposals presented at the Special Meeting, each holder of Cvent common stock is entitled to one
vote for each share of Cvent common stock held by such stockholder on the record date. Assuming a quorum is
present, the adoption of the Merger Agreement by the holders of Cvent common stock requires the affirmative vote
of stockholders holding a majority of the outstanding shares of Cvent common stock entitled to vote as of the close
of business on the record date. Assuming a quorum is present, the approval of the Compensation Proposal and
Adjournment Proposal each requires the affirmative vote of the holders of a majority of the shares of Cvent common
stock present, in person or represented by proxy, at the Special Meeting and entitled to vote on such matter. The
approval of the Compensation Proposal is advisory and non-binding and is not a condition to the completion of the
Merger.",11,12
CVENT HOLDING CORP._20230503_DEFM14A_20848314_4658730.Pdf,Voting Agreements (page 106),"Voting Agreements (page 106)
In connection with the consummation of the transactions contemplated by the Merger Agreement, certain
stockholders of the Company have executed the voting and support agreements (the “Voting Agreements”) in favor
of Parent concurrently with the execution of the Merger Agreement, pursuant to which such stockholders have
agreed, among other things, to vote all shares of Cvent common stock owned by them, collectively constituting
approximately 87.5% of the Company’s outstanding common stock, in favor of the approval and adoption of the
Merger Agreement. The adoption of the Merger Agreement by the affirmative vote of the holders of a majority of the
outstanding shares of the Company’s common stock is the only vote or approval of the holders of any of the
Company’s capital stock necessary to adopt the Merger Agreement and consummate the Merger. The Voting
Agreements terminate upon a Company Board Recommendation Change (as defined below). For more information,
see the section of this proxy statement titled “Voting Agreements.”
Reasons for the Merger; Recommendation of the Special Committee and the Cvent Board (page 49)",12,12
CVENT HOLDING CORP._20230503_DEFM14A_20848314_4658730.Pdf,"Reasons for the Merger; Recommendation of the Special Committee and the Cvent Board (page
49)","Reasons for the Merger; Recommendation of the Special Committee and the Cvent Board (page 49)
The Special Committee, comprised solely of disinterested and independent members of the Board, unanimously (a)
determined that it is in the best interests of the Company and its stockholders, and declared it advisable, to enter into
the Merger Agreement providing for the Merger, in accordance with the DGCL, and the other Transaction
Documents, upon the terms and subject to the conditions set forth therein; (b) approved the execution and delivery
of the Merger Agreement and the other Transaction Documents by the Company, the performance by the Company
of its covenants and other obligations thereunder, and the consummation of the Merger upon the terms and subject
to the conditions set forth therein; and (c) resolved to recommend that the Board approve and adopt the Merger
Agreement and the other Transaction Documents. The Board, acting on the recommendation of the Special
Committee, unanimously (i) determined that it is in the best interests of the Company and its stockholders, and
declared it advisable, to enter into the Merger Agreement providing for the Merger, in accordance with the DGCL,
and the other Transaction Documents, upon the terms and subject to the conditions set forth therein; (ii) approved
the execution and delivery of the Merger Agreement and the other Transaction Documents by the Company, the
performance by the Company of its covenants and other obligations thereunder, and the consummation of the
Merger upon the terms and subject to the conditions set forth therein; (iii) resolved to recommend that the
Company’s stockholders adopt the Merger Agreement in accordance with the DGCL; and (iv) directed that the
adoption of the Merger Agreement be submitted for consideration by the Company’s stockholders at the Special
Meeting. Accordingly, the Cvent Board recommends that stockholders vote “FOR” the Merger Proposal, “FOR”
the advisory, non-binding Compensation Proposal and “FOR” the Adjournment Proposal, if necessary or
appropriate, to solicit additional proxies.
For a discussion of the material factors that the Special Committee and the Cvent Board considered in determining to
recommend the adoption of the Merger Agreement, see the section of this proxy statement titled “The Merger -
Reasons for the Merger; Recommendation of the Special Committee and the Cvent Board.”
Opinion of Qatalyst Partners (page 56 and Annex B)",12,12
CVENT HOLDING CORP._20230503_DEFM14A_20848314_4658730.Pdf,Opinion of Qatalyst Partners (page 56 and Annex B),"Opinion of Qatalyst Partners (page 56 and Annex B)
The Company engaged Qatalyst Partners LP (“Qatalyst Partners”) to act as financial advisor to the Cvent Board in
connection with the proposed Merger based on Qatalyst Partners’ qualifications, expertise, reputation and
knowledge of the Company’s business and the industry in which the Company operates. At the meeting of the Cvent
Board on March 13, 2023, Qatalyst Partners rendered to the Cvent Board its oral opinion, subsequently confirmed in
writing, to the effect that, as of March 13, 2023, and subject to the various assumptions, qualifications, limitations and
other
3TABLE OF CONTENTS
matters set forth therein, the merger consideration of $8.50 per share of the Company common stock in cash, without
interest thereon, to be received pursuant to, and in accordance with, the terms of the Merger Agreement by the
holders of shares of the Company common stock (other than Parent or any affiliate of Parent), was fair, from a
financial point of view, to such holders.
The full text of the opinion of Qatalyst Partners, dated as of March 13, 2023, is attached to this proxy statement as
Annex B and is incorporated into this proxy statement by reference. The opinion sets forth, among other things, the
assumptions made, procedures followed, matters considered and limitations and qualifications of the review
undertaken by Qatalyst Partners in rendering its opinion. You should read the opinion carefully in its entirety.
Qatalyst Partners’ opinion was provided to the Cvent Board and addressed only, as of the date of the opinion, the
fairness, from a financial point of view, of the merger consideration of $8.50 per share of the Company common stock
in cash, without interest thereon, to be received pursuant to, and in accordance with, the terms of the Merger
Agreement by the holders of shares of the Company common stock (other than Parent or any affiliate of Parent), to
such holders. It does not address any other aspect of the Merger. It does not constitute a recommendation to any
stockholder of the Company as to how to vote with respect to the Merger or any other matter and does not in any
manner address the price at which the shares of the Company common stock will trade at any time.
For a description of the opinion that the Cvent Board received from Qatalyst Partners, see the section of this proxy
statement titled “The Merger - Opinion of Qatalyst Partners.”",12,13
CVENT HOLDING CORP._20230503_DEFM14A_20848314_4658730.Pdf,Opinion of J.P. Morgan (page 62 and Annex C),"Opinion of J.P. Morgan (page 62 and Annex C)
The Special Committee retained J.P. Morgan as its financial advisor in connection with the proposed Merger and to
deliver a fairness opinion in connection with the proposed Merger.
At the meeting of the Special Committee on March 13, 2023, J.P. Morgan rendered its oral opinion to the Special
Committee, which was subsequently confirmed by delivery of a written opinion, dated as of March 14, 2023, that as of
the date of such opinion, and based upon and subject to the factors and assumptions set forth in its opinion, the
Merger Consideration to be paid to the holders of Cvent Common Stock (other than shares of Cvent common stock
held by the Company as treasury stock, owned by Parent or any of its subsidiaries (including Merger Sub), in each
case, as of immediately prior to the Effective Time or as to which holders thereof have properly exercised their
statutory rights of appraisal in accordance with Section 262 of the DGCL or the Vista Stockholders) in the proposed
Merger was fair, from a financial point of view, to such holders.
The full text of the written opinion of J.P. Morgan, dated March 14, 2023, which sets forth, among other things, the
assumptions made, matters considered and limits on the review undertaken, is attached as Annex C to this Proxy
Statement and is incorporated herein by reference. The summary of the opinion of J.P. Morgan set forth in this
Proxy Statement is qualified in its entirety by reference to the full text of such opinion. The Company’s
stockholders are urged to read the opinion in its entirety. 
J.P. Morgan’s written opinion was addressed to the Special Committee (in its capacity as such) in connection with
and for the purposes of its evaluation of the proposed Merger, was directed only to the Merger Consideration to be
paid to the holders of the Company common stock (other than shares of Cvent common stock held by the Company
as treasury stock, owned by Parent or any of its subsidiaries (including Merger Sub), in each case, as of immediately
prior to the Effective Time or as to which holders thereof have properly exercised their statutory rights of appraisal in
accordance with Section 262 of the DGCL or the Vista Stockholders) in the Merger and did not address any other
aspect of the Merger. J.P. Morgan expressed no opinion as to the fairness of any consideration paid in connection
with the Merger to the holders of any other class of securities, creditors or other constituencies of the Company, as
to the Preferred Equity Financing or the Preferred Commitment Letter, or as to the underlying decision by the
Company to engage in the proposed Merger. The issuance of J.P. Morgan’s opinion was approved by a fairness
committee of J.P. Morgan. The opinion does not constitute a recommendation to any stockholder of the Company as
to how such stockholder should vote with respect to the proposed Merger or any other matter.
For a description of the opinion that the Special Committee received from J.P. Morgan, see the section of this proxy
statement titled “The Merger - Opinion of J.P. Morgan.”
4TABLE OF CONTENTS
Certain Effects of the Merger (page 70)",13,14
CVENT HOLDING CORP._20230503_DEFM14A_20848314_4658730.Pdf,Certain Effects of the Merger (page 70),"Certain Effects of the Merger (page 70)
Upon the consummation of the Merger, Merger Sub will be merged with and into Cvent, the separate corporate
existence of Merger Sub will thereupon cease, and Cvent will continue to exist as the surviving corporation of the
Merger and as a wholly owned subsidiary of Parent.
Following the consummation of the Merger, shares of Cvent common stock will be delisted from Nasdaq, and the
registration of shares of Cvent common stock under the Securities Exchange Act of 1934, as amended (the “Exchange
Act”), will be terminated.
Effects on the Company if the Merger Is Not Completed (page 71)",14,14
CVENT HOLDING CORP._20230503_DEFM14A_20848314_4658730.Pdf,Effects on the Company if the Merger Is Not Completed (page 71),"Effects on the Company if the Merger Is Not Completed (page 71)
In the event that the proposal to adopt the Merger Agreement does not receive the required approval from the
holders of Cvent common stock, or if the Merger is not completed for any other reason, the holders of Cvent common
stock will continue to own their shares and will not receive any payment for their shares of Cvent common stock in
connection with the Merger. Instead, the Company will remain an independent public company, with Cvent common
stock listed and traded on Nasdaq. Under certain circumstances, if the Merger Agreement is terminated, the Company
may be obligated to pay to Parent a termination fee of $138,608,439 or Parent may be obligated to pay to the Company
a termination fee of $277,216,878, as applicable. See the section of this proxy statement titled “The Merger Agreement
- Termination Fees and Expenses.”
Treatment of Cvent Equity Awards (page 74)",14,14
