Document,Section Header,Section Text,Start Page,End Page
"Cloudera, Inc._20210719_DEFM14A_19410828_4260317.Pdf",SUMMARY,"SUMMARY
This summary highlights selected information from this proxy statement related to the merger of Project Sky Merger Sub Inc. with and into
Cloudera, Inc. (the “Merger”) and may not contain all of the information that is important to you. To understand the Merger more fully and for a
more complete description of the legal terms of the Merger, you should carefully read and consider this entire proxy statement and the annexes to
this proxy statement, including, but not limited to, the Merger Agreement (as defined below), along with all of the documents to which we refer in
this proxy statement, as they contain important information about, among other things, the Merger and how it affects you. You may obtain the
information incorporated by reference in this proxy statement without charge by following the instructions under the caption “Where You Can Find
More Information.” The Merger Agreement is attached as Annex A to this proxy statement. You should carefully read and consider the entire
Merger Agreement, which is the legal document that governs the Merger.
Except as otherwise specifically noted in this proxy statement, “Cloudera,” “we,” “our,” “us,” the “Company” and similar words refer to
Cloudera, Inc. Throughout this proxy statement, we refer to Sky Parent Inc. as “Parent” and Project Sky Merger Sub Inc. as “Merger Sub.” In
addition, throughout this proxy statement we refer to the Agreement and Plan of Merger, dated June 1, 2021, by and among Parent, Merger Sub and
Cloudera as the “Merger Agreement,” our common stock, par value $0.00005 per share, as “Cloudera common stock,” and the holders of Cloudera
common stock as “Cloudera Stockholders.” Unless indicated otherwise, any other capitalized term used herein but not otherwise defined herein has
the meaning assigned to such term in the Merger Agreement.
Parties Involved in the Merger",8,8
"Cloudera, Inc._20210719_DEFM14A_19410828_4260317.Pdf",Parties Involved in the Merger,"Parties Involved in the Merger
Cloudera, Inc.
Cloudera, a Delaware corporation, sells subscriptions and services for its machine learning and analytics platform, optimized for the cloud.
This platform delivers an integrated suite of capabilities for data management, machine learning and advanced analytics, affording customers an
agile, scalable and cost-effective solution for transforming their businesses. Founded in 2009 and headquartered in Palo Alto, California, Cloudera
has been a leader in multi-function data management and analytics software. Cloudera common stock is listed on the New York Stock Exchange (the
“NYSE”) under the symbol “CLDR.”
Sky Parent Inc.
Parent was formed on May 28, 2021, solely for the purpose of engaging in the transactions contemplated by the Merger Agreement, and has
not engaged in any business activities other than in connection with the transactions contemplated by the Merger Agreement and arranging of the
equity financing and debt financing in connection with the Merger.
Project Sky Merger Sub Inc.
Merger Sub is a wholly owned subsidiary of Parent and was formed on May 28, 2021, solely for the purpose of engaging in the transactions
contemplated by the Merger Agreement, and has not engaged in any business activities other than in connection with the transactions
contemplated by the Merger Agreement and arranging of the equity financing and debt financing in connection with the Merger.
Parent and Merger Sub are each subsidiaries of investment funds advised by Clayton, Dubilier & Rice, LLC (“CD&R Funds”) and Kohlberg
Kravis Roberts & Co. L.P. (“KKR Funds”). The CD&R Funds are each affiliates of Clayton, Dubilier & Rice (“CD&R”) and the KKR Funds are each
affiliates of Kohlberg Kravis Roberts & Co.
1Table of Contents
L.P. (“KKR”), each of which are leading U.S. based private equity investment firms. At the Effective Time (as defined in the section of this proxy
statement captioned “—The Merger”), the Surviving Corporation (as defined in the section of the proxy statement captioned “—The Merger”), will
be indirectly owned by the CD&R Funds, the KKR Funds and certain of their affiliates.
In connection with the transactions contemplated by the Merger Agreement, (1) the CD&R Funds and the KKR Funds have provided Parent
with an aggregate equity commitment of $3.0 billion and (2) Parent has obtained debt financing commitments in an aggregate amount of $2.39 billion
from JPMorgan Chase Bank, N.A., Bank of America, N.A., BofA Securities, Inc., KKR Capital Markets LLC and KKR Corporate Lending LLC. Such
amounts will be used to fund the aggregate purchase price required to be paid at the closing of the Merger and to also fund certain other payments
(including the Required Amounts (as defined in the section of this proxy statement captioned “—Financing of the Merger”)), subject to the terms
and conditions of the Merger Agreement. In addition, the CD&R Funds and the KKR Funds have agreed to guarantee the payment of certain
liabilities and obligations of Parent and Merger Sub under the Merger Agreement, subject to an aggregate cap equal to $296.6 million, including any
termination fee and amounts in respect of certain reimbursement and indemnification obligations of Parent and Merger Sub for certain costs,
expenses or losses incurred or sustained by Cloudera, as specified in the Merger Agreement. For more information, please see the section of this
proxy statement captioned “The Merger—Financing of the Merger.”
The Merger",8,9
"Cloudera, Inc._20210719_DEFM14A_19410828_4260317.Pdf",The Merger,"The Merger
Upon the terms and subject to the conditions of the Merger Agreement, Merger Sub will merge with and into Cloudera and the separate
corporate existence of Merger Sub will cease, with Cloudera continuing as the surviving corporation and as a wholly owned subsidiary of Parent
(the “Surviving Corporation”). As a result of the Merger, Cloudera common stock will no longer be publicly traded and will be delisted from the
NYSE. In addition, Cloudera common stock will be deregistered under the Securities Exchange Act of 1934, as amended (the “Exchange Act”), and
Cloudera will no longer file periodic reports with the United States Securities and Exchange Commission (the “SEC”). If the Merger is completed, you
will not own any shares of the capital stock of the Surviving Corporation. The time at which the Merger will become effective will occur upon the
filing of a certificate of merger with the Secretary of State of the State of Delaware in accordance with the applicable provision of the General
Corporation Law of the State of Delaware (the “DGCL”) (the time of such filing and the acceptance for record by the Secretary of State of the State of
Delaware, or such later time as may be agreed in writing by Parent, Merger Sub and Cloudera and specified in the certificate of merger, being referred
to herein as the “Effective Time”).
Merger Consideration",9,9
"Cloudera, Inc._20210719_DEFM14A_19410828_4260317.Pdf",Merger Consideration,"Merger Consideration
Cloudera Common Stock
At the Effective Time, each then outstanding share of Cloudera common stock (other than shares of Cloudera common stock (i) held by
Cloudera as treasury stock, (ii) owned by Parent or Merger Sub, (iii) owned by any direct or indirect wholly owned subsidiary of Parent or Merger
Sub as of immediately prior to the Effective Time or (iv) held by Cloudera stockholders who have not voted in favor of the merger and who shall
have properly and validly exercised their statutory rights of appraisal in respect of such shares in accordance with Section 262 of the DGCL with
respect to any such shares held by any such holder, collectively, the “Excluded Shares”) will be cancelled and extinguished and automatically
converted into the right to receive an amount in cash equal to $16.00 in cash, without interest (the “Per Share Merger Consideration”), less any
applicable withholding taxes.
2Table of Contents
At or prior to the Effective Time, Parent will deposit (or cause to be deposited) an amount of cash equal to the aggregate Per Share Merger
Consideration with a designated payment agent for payment to the holders of each outstanding share of Cloudera common stock owned by each
Cloudera Stockholder (excluding, for the avoidance of doubt, the Excluded Shares). For more information, please see the section of this proxy
statement captioned “Proposal 1: Adoption of the Merger Agreement—Exchange and Payment Procedures.”
After the Merger is completed, you will have the right to receive the Per Share Merger Consideration, but you will no longer have any rights as
a stockholder (except that stockholders who properly exercise their appraisal rights may have the right to receive payment for the “fair value” of their
shares determined pursuant to an appraisal proceeding, as contemplated by Delaware law). For more information, please see the section of this proxy
statement captioned “The Merger—Appraisal Rights.”
Treatment of Company Equity Awards
Company Options. Each option granted under Cloudera’s equity incentive plans (each, a “Company Option”) that is outstanding, vested and
exercisable immediately prior to the Effective Time shall be cancelled and converted into the right to receive an amount in cash, less applicable
withholding taxes, equal to (i) the excess of the Per Share Merger Consideration over the per share exercise price of such Company Option, times (ii)
the number of shares of Cloudera common stock covered by such Company Option. This consideration is referred to herein as the “Option
Consideration.” Each Company Option that has a per share exercise price that is equal to or greater than the Per Share Merger Consideration shall be
cancelled for no consideration as of the Effective Time.
Company RSU Awards and Company PSU Awards. Each award of Cloudera restricted stock units that vests solely based on continued service
(each, a “Company RSU Award”) and each award of Cloudera restricted stock units with performance-based vesting conditions (each, a “Company
PSU Award”) that is outstanding immediately prior to the Effective Time (and that does not vest by its terms at the Effective Time) shall be cancelled
and converted into the right to receive an amount in cash, less applicable withholding taxes, equal to (i) the Per Share Merger Consideration, times
(ii) the number of shares of Cloudera common stock covered by such award immediately prior to the Effective Time (in the case of Company PSU
Awards, based on 100% of the shares underlying the award), payable on the same time-based vesting schedule as the related Company RSU Award
and Company PSU Award (without regard to any performance requirement). The foregoing consideration is referred to herein as the “RSU
Consideration” and the “PSU Consideration,” respectively. Each Company RSU Award that vests by its terms at the Effective Time shall be
cancelled in exchange for the right to receive the Per Share Merger Consideration, less applicable withholding taxes, with respect to each share
covered by such Company RSU Award, payable promptly following the Effective Time (the “Vested RSU Consideration”).
Company ESPP. In connection with the execution and delivery of the Merger Agreement Cloudera took the following actions under its 2017
Employee Stock Purchase Plan (the “ESPP”): (i) ensured no new participants will commence participation in the ESPP after June 1, 2021; (ii) ensured
no participant will be allowed to increase his or her payroll contribution rate in effect as of June 1, 2021 or make separate non-payroll contributions
on or following such date; and (iii) ensured no new offering period or purchase period will commence or be extended pursuant to the ESPP, in each
case, after June 1, 2021. If the Effective Time is expected to occur prior to the end of the current purchase period, Cloudera must provide for an earlier
exercise date (including for purposes of determining the purchase price for the current purchase period). Such earlier exercise date will be as close to
the Effective Time as is administratively practicable. The ESPP will terminate, in accordance with its terms, no later than immediately prior to and
effective as of the Effective Time.
For more information, please see the section of this proxy statement captioned “Proposal 1: Adoption of the Merger Agreement—Merger
Consideration—Outstanding Company Equity Awards.”
3
Table of Contents
Material U.S. Federal Income Tax Consequences of the Merger",9,11
"Cloudera, Inc._20210719_DEFM14A_19410828_4260317.Pdf",Material U.S. Federal Income Tax Consequences of the Merger,"Material U.S. Federal Income Tax Consequences of the Merger
The receipt of cash by Cloudera Stockholders in exchange for shares of Cloudera common stock in the Merger will be a taxable transaction to
Cloudera Stockholders for U.S. federal income tax purposes. Such receipt of cash by each Cloudera Stockholder that is a U.S. Holder (as defined
under the section, “The Merger—Material U.S. Federal Income Tax Consequences of the Merger”) will result in gain or loss in an amount equal to
the difference between the amount of cash received in the Merger and the U.S. Holder’s adjusted tax basis in the shares of Cloudera common stock
surrendered pursuant to the Merger by such U.S. Holder.
A Cloudera Stockholder that is a Non-U.S. Holder (as defined under the section, “The Merger—Material U.S. Federal Income Tax
Consequences of the Merger”) generally will not be subject to U.S. federal income tax with respect to the exchange of Cloudera common stock for
cash in the Merger unless such Non-U.S. Holder has certain connections to the United States or Cloudera is a United States real property holding
corporation.
Cloudera Stockholders should read the section of this proxy statement captioned “The Merger—Material U.S. Federal Income Tax
Consequences of the Merger.”
Cloudera Stockholders should consult their tax advisors in light of their particular circumstances and any consequences relating to the Merger
arising under U.S. federal, state, and local tax laws and non-U.S. tax laws.",11,11
"Cloudera, Inc._20210719_DEFM14A_19410828_4260317.Pdf",Appraisal Rights,"Appraisal Rights
If the Merger is consummated and certain conditions are met, Cloudera Stockholders who continuously hold shares of Cloudera common
stock through the Effective Time, who do not vote in favor of the adoption of the Merger Agreement and who properly demand appraisal of their
shares and who do not withdraw their demands or otherwise lose their rights to seek appraisal will be entitled to seek appraisal of their shares in
connection with the Merger under Section 262 of the DGCL. This means that Cloudera Stockholders may be entitled to have their shares of Cloudera
common stock appraised by the Delaware Court of Chancery, and to receive payment in cash of the “fair value” of their shares of Cloudera common
stock, exclusive of any elements of value arising from the accomplishment or expectation of the Merger, together with interest to be paid on the
amount determined to be fair value, if any, as determined by the court (or in certain circumstances described in further detail in the section of this
proxy statement captioned “The Merger—Appraisal Rights,” on the difference between the amount determined to be the fair value and the amount
paid by the Surviving Corporation in the Merger to each stockholder entitled to appraisal prior to the entry of judgment in any appraisal
proceeding). Due to the complexity of the appraisal process, Cloudera Stockholders who wish to seek appraisal of their shares are encouraged to
seek the advice of legal counsel with respect to the exercise of appraisal rights.
Cloudera Stockholders considering seeking appraisal should be aware that the fair value of their shares as determined pursuant to Section 262
of the DGCL could be more than, the same as, or less than the value of the consideration that they would receive pursuant to the Merger Agreement
if they did not seek appraisal of their shares of Cloudera common stock.
To exercise appraisal rights, Cloudera Stockholders must: (i) submit a written demand for appraisal to Cloudera before the vote is taken on the
proposal to adopt the Merger Agreement; (ii) not submit a proxy or otherwise vote in favor of the proposal to adopt the Merger Agreement; (iii)
continue to hold shares of Cloudera common stock of record through the Effective Time; and (iv) strictly comply with all other procedures for
exercising appraisal rights under the DGCL. Failure to follow exactly the procedures specified under the DGCL may result in the loss of appraisal
rights. In addition, the Delaware Court of Chancery will dismiss appraisal proceedings in respect of Cloudera unless certain stock ownership
conditions are satisfied by the Cloudera Stockholders seeking appraisal. The DGCL requirements for exercising appraisal rights are described in
further
4Table of Contents
detail in this proxy statement, which is qualified in its entirety by Section 262 of the DGCL, the relevant section of the DGCL regarding appraisal
rights. A copy of Section 262 of the DGCL is reproduced in Annex C to this proxy statement. If you hold your shares of Cloudera common stock
through a bank, broker or other nominee and you wish to exercise appraisal rights, you should consult with your bank, broker or other nominee to
determine the appropriate procedures for the making of a demand for appraisal on your behalf by your bank, broker or other nominee. For more
information, please see the section of this proxy statement captioned “The Merger—Appraisal Rights.”",11,12
"Cloudera, Inc._20210719_DEFM14A_19410828_4260317.Pdf",Regulatory Approvals Required for the Merger,"Regulatory Approvals Required for the Merger
HSR Act, U.S. Antitrust Matters and Other Regulatory Approvals
Under the Merger Agreement, the Merger cannot be completed until the applicable waiting period under the Hart-Scott-Rodino Antitrust
Improvements Act of 1976, as amended (the “HSR Act”), has expired or been terminated and approvals, consents, waivers or clearances under other
antitrust laws or foreign investment laws have been obtained. Cloudera and Sky Parent Inc. made the filings required under the HSR Act on June 15,
2021 and the applicable waiting period under the HSR Act expired at 11:59 p.m., Eastern time on July 15, 2021.
Other Regulatory Approvals
The Merger is also subject to clearance or approval by the antitrust authorities in other jurisdictions, including the European Union, China,
Costa Rica, Morocco and Turkey, and other relevant authorities under foreign investment laws. The Merger cannot be completed until either
Cloudera, CD&R and KKR obtain clearance to consummate the Merger or until the applicable waiting periods have expired or been terminated in
such jurisdictions. Cloudera, CD&R and KKR, in consultation and cooperation with each other, have made antitrust filings with the authorities of
such jurisdictions.
For more information, please see the section of this proxy statement captioned “The Merger—Regulatory Approvals Required for the Merger.”
Closing Conditions",12,12
"Cloudera, Inc._20210719_DEFM14A_19410828_4260317.Pdf",Closing Conditions,"Closing Conditions
The obligations of Cloudera, Parent and Merger Sub, as applicable, to consummate the Merger are subject to the satisfaction or waiver of
customary conditions, including (among other conditions), the following:
•
the adoption of the Merger Agreement by the requisite affirmative vote of stockholders;
•
the expiration or termination of the applicable waiting period under the HSR Act and the receipt of approvals, consents, waivers or
clearances under other antitrust laws and under foreign investment laws;
•
the absence of any laws or court orders making the Merger illegal or otherwise prohibiting the Merger;
•
in the case of Parent and Merger Sub, the absence, since the date of the Merger Agreement, of any continuing change, event, effect or
circumstance at Cloudera that is or would reasonably be expected to have a material adverse effect (with certain limitations) on (i) the
ability of Cloudera and its subsidiaries (each, a “Cloudera Group Member” and together, the “Cloudera Group”) to perform its material
obligations under, or to consummate the transactions contemplated by the Merger Agreement or (ii) the business, financial condition or
results of operations of the Cloudera Group, taken as a whole;
5Table of Contents
•
the accuracy of the representations and warranties of Cloudera, Parent and Merger Sub in the Merger Agreement, subject to materiality
qualifiers, as of the Effective Time or the date in respect of which such representation or warranty was specifically made; and
•
the performance in all material respects by Cloudera, Parent and Merger Sub of their respective obligations required to be performed by
them under the Merger Agreement at or prior to the Effective Time.
Financing of the Merger",12,13
"Cloudera, Inc._20210719_DEFM14A_19410828_4260317.Pdf",Financing of the Merger,"Financing of the Merger
The obligation of Parent and Merger Sub to consummate the Merger is not subject to any financing condition. We anticipate that the total
amount of funds necessary to complete the Merger and the related transactions, and to pay the fees and expenses required to be paid at the closing
of the Merger by Parent and Merger Sub under the Merger Agreement, will be approximately $5.3 billion. This amount includes funds needed to: (1)
pay Cloudera Stockholders the amounts due under the Merger Agreement for their Cloudera common stock, (2) make payments in respect of our
outstanding Company RSU Awards and Company PSU Awards payable at closing of the Merger pursuant to the Merger Agreement, (3) make
payments in respect of our outstanding Company Options payable at closing of the Merger pursuant to the Merger Agreement and (4) to refinance
certain existing indebtedness of the Company (collectively, the “Required Amounts”).
The CD&R Funds and the KKR Funds have committed to contribute or cause to be contributed to Parent at the closing of the Merger an
aggregate amount in cash equal to $3.0 billion, subject to the terms and conditions set forth in equity commitment letters provided by such fund,
dated as of June 1, 2021 (the “Equity Commitment Letters”). Cloudera is an express third-party beneficiary of the Equity Commitment Letters solely
with respect to enforcing Parent’s right to cause the commitment under the Equity Commitment Letters by the CD&R Funds and the KKR Funds to
be funded to Parent in accordance with the Equity Commitment Letters, and to cause Parent to enforce its rights against the CD&R Funds and the
KKR Funds to perform its funding obligations under the Equity Commitment Letters, in each case subject to (i) the limitations and conditions set
forth in the Equity Commitment Letters and (ii) the terms and conditions of the Merger Agreement.
Pursuant to the limited guaranties delivered by the CD&R Funds and the KKR Funds in favor of Cloudera, dated as of June 1, 2021 (the
“Guaranties”), the CD&R Funds and the KKR Funds have agreed to guarantee the payment of certain liabilities and obligations of Parent and
Merger Sub under the Merger Agreement, subject to an aggregate cap equal to $296.6 million, including any termination fee and amounts in respect
of certain reimbursement and indemnification obligations of Parent and Merger Sub for certain costs, expenses or losses incurred or sustained by
Cloudera, as specified in the Merger Agreement.
In addition, in connection with the Merger Agreement, Merger Sub entered into a debt commitment letter, dated as of June 1, 2021 (as
amended, supplemented, amended and restated or otherwise modified, the “Debt Commitment Letter” and, together with the Equity Commitment
Letters, the “Financing Letters”) with JPMorgan Chase Bank, N.A., Bank of America, N.A., BofA Securities, Inc., KKR Capital Markets LLC and KKR
Corporate Lending LLC (the “Committed Lenders”), pursuant to which the Committed Lenders have committed to provide, upon certain terms and
subject to certain conditions, Merger Sub with Debt Financing (as defined in the section of this proxy statement captioned “The Merger—Financing
of the Merger”) in an aggregate principal amount of $2.39 billion. For more information, please see the section of this proxy statement captioned
“The Merger—Financing of the Merger.” Subsequent to the entry into the Merger Agreement, on June 27, 2021, the Debt Commitment Letter was
amended and restated to add Deutsche Bank AG New York Branch, Goldman Sachs Lending Partners LLC, BNP Paribas, Barclays Bank PLC, Citicorp
North America, Inc., Crédit Agricole Corporate and Investment Bank, MUFG Union Bank, N.A. and Sumitomo Mitsui Banking Corporation as
additional financing sources under the debt commitment letter.
Each of Parent and Merger Sub shall, and shall cause their respective subsidiaries and the CD&R Funds and the KKR Funds to, use
reasonable best efforts to take, or cause to be taken, all actions and to do, or cause to be
6Table of Contents
done, all things necessary, proper or advisable to consummate and obtain the financing described in the Financing Letters on the terms (including
the market “flex” provisions) set forth in the Financing Letters (or, in the case of the Debt Financing, on other terms and conditions that are
acceptable to Parent, subject to certain restrictions set forth in the Merger Agreement).
Cloudera has agreed to use its reasonable best efforts to provide, and to cause its subsidiaries to use their reasonable best efforts to provide,
to Parent and Merger Sub such cooperation as is customary and reasonably requested by Parent in connection with the arrangement of the
financing contemplated by the Debt Commitment Letter, subject to the terms set forth in the Merger Agreement. For more information, please see the
section of this proxy statement captioned “The Merger Agreement—Cooperation with Debt Financing.”
Required Stockholder Approval",13,14
"Cloudera, Inc._20210719_DEFM14A_19410828_4260317.Pdf",Required Stockholder Approval,"Required Stockholder Approval
The affirmative vote of the holders of a majority of the outstanding shares of Cloudera common stock is required to adopt the Merger
Agreement. As of the Record Date, 148,066,293 votes constitute a majority of the outstanding shares of Cloudera common stock. Approval of the
proposal to approve, on an advisory (non-binding) basis, the compensation that may be paid or become payable to Cloudera’s named executive
officers that is based on or otherwise relates to the Merger Agreement and the transactions contemplated by the Merger Agreement (the
“Compensation Proposal”) and the proposal to adjourn the Special Meeting (the “adjournment proposal”), whether or not a quorum is present,
requires the affirmative vote of a majority of the shares of Cloudera common stock present in person or represented by proxy at the Special Meeting
and entitled to vote on the subject matter. The approval of the Compensation Proposal is advisory (non-binding) and is not a condition to the
completion of the Merger.
As of the Record Date, our directors and executive officers beneficially owned and were entitled to vote, in the aggregate, 12,720,619 shares of
Cloudera common stock, representing approximately 4.3% of the shares of Cloudera common stock outstanding as of the Record Date (and
approximately 4.6% of the shares of Cloudera common stock outstanding when taking into account Company Options held, in the aggregate, by our
directors and executive officers). Concurrent with and as a condition to Parent entering into the Merger Agreement, Icahn Partners LP and Icahn
Partners Master Fund LP (collectively, “Icahn”) entered into a voting agreement with Parent and the Company, dated as of June 1, 2021 (the “Voting
Agreement”). Icahn beneficially owns approximately 18% of the outstanding shares of Cloudera common stock. Pursuant to the Voting Agreement,
Icahn has agreed, among other things, to vote its shares of Cloudera common stock in favor of the proposal to adopt the Merger Agreement and
against any competing transaction so long as the Merger Agreement has not been terminated and the Board of Directors has not made a Company
Board Recommendation Change (as defined and described in the section of this proxy statement captioned “Proposal 1: Adoption of the Merger
Agreement—The Board of Directors’ Recommendation; Company Board Recommendation Change”). For more information, see the section of this
proxy statement captioned “Proposal 1: Adoption of the Merger Agreement—The Voting Agreement.”
We currently expect that our directors and executive officers will vote all of their respective shares of Cloudera common stock: (1) “FOR” the
adoption of the Merger Agreement; (2) “FOR,” on an advisory (non-binding) basis, the Compensation Proposal; and (3) “FOR” the adjournment
proposal.
The Special Meeting",14,14
