Document,Section Header,Section Text,Start Page,End Page
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,SUMMARY,"SUMMARY
This summary highlights selected information from this proxy statement related to the merger of Sunshine Software
Merger Sub, Inc. with and into Cornerstone OnDemand, Inc. (the “Merger”), and may not contain all of the
information that is important to you. To understand the Merger more fully and for a more complete description of
the legal terms of the Merger, you should carefully read and consider this entire proxy statement and the annexes to
this proxy statement, including, but not limited to, the Merger Agreement, along with all of the documents to which
we refer in this proxy statement, as they contain important information about, among other things, the Merger and
how it affects you. You may obtain the information incorporated by reference in this proxy statement without charge
by following the instructions under the caption, “Where You Can Find More Information.” The Merger Agreement
(as defined below) is attached as Annex A to this proxy statement. You should carefully read and consider the entire
Merger Agreement, which is the legal document that governs the Merger.
Except as otherwise specifically noted in this proxy statement, “Cornerstone,” the “Company,” “we,” “our,” “us”
and similar words refer to Cornerstone OnDemand, Inc., including, in certain cases, our subsidiaries. Throughout
this proxy statement, we refer to Sunshine Software Holdings, Inc. as “Parent” and Sunshine Software Merger Sub,
Inc. as “Merger Sub.” In addition, throughout this proxy statement we refer to the Agreement and Plan of Merger,
dated August 5, 2021, by and among Cornerstone, Parent and Merger Sub, as the “Merger Agreement,” our
common stock, par value $0.0001 per share, as “common stock” and the holders of our common stock as
“stockholders.” Unless indicated otherwise, any other capitalized term used herein but not otherwise defined
herein has the meaning assigned to such term in the Merger Agreement.",10,10
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,The Special Meeting,"The Special Meeting
Date, Time, Place and Purpose of the Special Meeting
A special meeting of Cornerstone stockholders to consider and vote on the proposal to adopt the Merger Agreement
will be held virtually on October 12, 2021, at 8:00 a.m. Pacific time at
www.virtualshareholdermeeting.com/CSOD2021SM (the “Special Meeting”).
At the Special Meeting, stockholders of record as of the close of business on August 24, 2021 (the “Record Date”)
will be asked to consider and vote on:
•
a proposal to adopt the Merger Agreement;
•
a proposal to approve, on an advisory (non-binding) basis, the compensation that may be paid or become
payable to Cornerstone’s named executive officers that is based on or otherwise relates to the Merger
Agreement and the transactions contemplated by the Merger Agreement (the “Compensation Proposal”);
and
•
a proposal to adjourn the Special Meeting to a later date or dates, if necessary or appropriate, to solicit
additional proxies to approve the proposal to adopt the Merger Agreement if there are insufficient votes to
adopt the Merger Agreement at the time of the Special Meeting (the “Adjournment Proposal”).
We do not expect that any matters other than the proposals set forth above will be brought before the Special
Meeting, and only matters specified in the notice of the meeting may be acted upon at the Special Meeting.
Record Date; Shares Entitled to Vote; Quorum
You are entitled to receive notice of, and vote at, the Special Meeting if you owned shares of common stock at the
close of business on the Record Date. Each holder of common stock shall be entitled to one (1) vote for each such
share of common stock owned at the close of business on the Record Date on all matters properly coming before the
Special Meeting. As of the Record Date, there were 66,857,760 shares of common stock outstanding and entitled vote
at the Special Meeting. A quorum is necessary to adopt the Merger Agreement and approve the Compensation
Proposal. A quorum is the minimum number of shares required to be present at the Special Meeting for the meeting to
be properly held under our bylaws and Delaware law. The holders of a majority of the common stock that are issued
and outstanding as of the close of business on the Record Date, present virtually in person or represented by proxy,
will constitute a quorum at the Special Meeting. Your shares of common stock will be counted towards the quorum
only if you submit a valid proxy (or one is submitted on
1TABLE OF CONTENTS
your behalf by your broker, bank or other nominee), if you vote at the meeting or if you attend the Special Meeting
but abstain from voting. The Special Meeting may be adjourned whether or not a quorum is present.
Vote Required; Abstentions and Broker Non-Votes",10,11
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,Vote Required; Abstentions and Broker Non-Votes,"Vote Required; Abstentions and Broker Non-Votes
The affirmative vote of the holders of a majority of the shares of common stock that are issued and outstanding as of
the close of business on the Record Date is required to adopt the Merger Agreement. Because the required vote for
the proposal to adopt the Merger Agreement is based on the number of votes our stockholders are entitled to cast
rather than on the number of votes actually cast, if you fail to authorize a proxy or vote online at the meeting
(including by abstaining), or fail to instruct your broker on how to vote, such failure will have the same effect as
votes cast “AGAINST” the merger proposal. As of August 24, 2021, the Record Date for the Special Meeting,
33,428,881 shares constitute a majority of the issued and outstanding shares of common stock.
Under our bylaws, approval of Compensation Proposal and the Adjournment Proposal each require the affirmative
vote of a majority of the voting power of the shares present virtually in person or represented by proxy at the Special
Meeting and entitled to vote on the subject matter. The approval of the Compensation Proposal is advisory (non-
binding) and is not a condition to the completion of the Merger.
An abstention represents a stockholder’s affirmative choice to decline to vote on a proposal. If a stockholder
abstains from voting, that abstention will have the same effect as if the stockholder voted “AGAINST” the proposal
to adopt the Merger Agreement and “AGAINST” the approval, on an advisory (non-binding) basis, of the
Compensation Proposal. For stockholders who attend the virtual meeting or are represented by proxy and abstain
from voting, the abstention will have the same effect as if the stockholder voted “AGAINST” the Adjournment
Proposal. As a result, an abstention of any of the aforementioned proposals will be counted for purposes of
determining the presence or absence of a quorum and will also count as votes against such proposal.
Each “broker non-vote” will also count as a vote “AGAINST” the proposal to adopt the Merger Agreement, but will
have no effect on the Compensation Proposal or the Adjournment Proposal. A “broker non-vote” generally occurs
when a bank, broker or other nominee holding shares on your behalf does not vote on a proposal because the bank,
broker or other nominee has not received your voting instructions and lacks discretionary power to vote the shares.
“Broker non-votes,” if any, will be counted for the purpose of determining whether a quorum is present. However,
because none of the proposals to be voted on at the Special Meeting are routine matters for which brokers may have
discretionary authority to vote, Cornerstone does not expect any broker non-votes at the special meeting. As such, if
you fail to instruct your broker, bank or other nominee how to vote your shares, your shares will not be counted
towards a quorum at the Special Meeting.
Shares Held by Cornerstone’s Directors and Executive Officers",11,11
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,Shares Held by Cornerstone’s Directors and Executive Officers,"Shares Held by Cornerstone’s Directors and Executive Officers
As of the Record Date, our directors and executive officers beneficially owned and were entitled to vote, in the
aggregate, 3,026,135 shares of common stock, representing approximately 4.5% of the shares of common stock
outstanding on the Record Date (and approximately 7.5% of the shares of common stock outstanding when taking
into account Cornerstone options and RSUs held, in the aggregate, by our directors and executive officers).
Our directors and executive officers have informed us that they currently intend to vote all of their respective shares
of common stock (i) “FOR” the adoption of the Merger Agreement, (ii) “FOR” the approval, on an advisory (non-
binding) basis, of the Compensation Proposal, and (iii) “FOR” the approval of the approval of the Adjournment
Proposal.
The Merger",11,11
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,The Merger,"The Merger
Parties Involved in the Merger",11,11
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,Parties Involved in the Merger,"Parties Involved in the Merger
Cornerstone OnDemand, Inc.
Headquartered in Santa Monica, California, Cornerstone is a leading global provider of learning and people
development solutions, delivered as software-as-a-service. Cornerstone’s common stock is listed on The Nasdaq
Global Select Market (“Nasdaq”) under the symbol “CSOD.” The principal executive offices of Cornerstone are
located at 1601 Cloverfield Blvd., Suite 620 South, Santa Monica, California 90404, and its telephone number is (310)
752-0200.
2TABLE OF CONTENTS
Sunshine Software Holdings, Inc.
Parent is a Delaware corporation that was formed on July 27, 2021, solely for the purpose of engaging in the
transactions contemplated by the Merger Agreement. Parent is owned by funds managed by affiliates of Clearlake
Capital Group, L.P. (“Clearlake”) and has not engaged in any business activities other than in connection with the
transactions contemplated by the Merger Agreement and the related equity financing and debt financing
transactions. Upon completion of the Merger, Cornerstone will be an indirect wholly owned subsidiary of Parent. The
principal executive offices of Parent are located at 233 Wilshire Boulevard, Suite 800, Santa Monica, CA 90401, and its
telephone number is (310) 400-8800.
Sunshine Software Merger Sub, Inc.
Merger Sub is a Delaware corporation and an indirect wholly owned subsidiary of Parent and was formed on July 27,
2021, solely for the purpose of engaging in the transactions contemplated by the Merger Agreement. Merger Sub has
not engaged in any business activities other than in connection with the transactions contemplated by the Merger
Agreement and the related equity financing and debt financing transactions. Upon the completion of the Merger,
Merger Sub will cease to exist and Cornerstone will continue as the surviving corporation and an indirect wholly
owned subsidiary of Parent (the “Surviving Corporation”). The principal executive offices of Merger Sub are located
at 233 Wilshire Boulevard, Suite 800, Santa Monica, CA 90401, and its telephone number is (310) 400-8800.
In connection with the transactions contemplated by the Merger Agreement, Parent and/or one of its affiliates has
obtained equity and debt financing commitments for the transactions contemplated by the Merger Agreement. In
addition, Clearlake Capital Partners V, L.P., Clearlake Capital Partners V (Offshore), L.P., Clearlake Capital Partners V
(USTE), L.P., Clearlake Capital Partners VI, L.P., Clearlake Capital Partners VI (Offshore), L.P., Clearlake Capital Partners
VI (USTE), L.P. and Clearlake Flagship Plus Partners (Master), L.P. (collectively, the “Guarantors”) have delivered an
equity commitment letter to Parent, and the Guarantors and certain other investors have delivered a preferred equity
commitment letter to Parent pursuant to which, upon the terms and subject to the conditions set forth in such letters,
the investors have committed to capitalize Parent at consummation of the Merger (the “Closing”). The Guarantors
may assign some or all of their respective obligations under the equity commitment letter to any of their respective
affiliates, co-investment funds or, subject to certain conditions being met, other investors. For more information,
please see the section of this proxy statement captioned “The Merger-Financing of the Merger.”",11,12
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,Effect of the Merger,"Effect of the Merger
Upon the terms and subject to the conditions of the Merger Agreement, Merger Sub will merge with and into
Cornerstone, with Cornerstone continuing as the surviving corporation and an indirect wholly owned subsidiary of
Parent. As a result of the Merger, Cornerstone’s common stock will no longer be publicly traded, and will be delisted
from Nasdaq. In addition, Cornerstone’s common stock will be deregistered under the Securities Exchange Act of
1934, as amended (the “Exchange Act”), and Cornerstone will no longer file periodic reports with the United States
Securities and Exchange Commission (the “SEC”). If the Merger is completed, you will not own any shares of the
capital stock of the Surviving Corporation. The time at which the Merger will become effective (the “Effective Time”)
will occur upon the filing of a certificate of merger with the Secretary of State of the State of Delaware (or at such later
time as we, Parent and Merger Sub may agree in writing and specify in the certificate of merger).",12,12
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,Effect on Cornerstone if the Merger is Not Completed,"Effect on Cornerstone if the Merger is Not Completed
If the Merger Agreement is not adopted by Cornerstone stockholders, or if the Merger is not completed for any other
reason:
(i)
the stockholders will not be entitled to, nor will they receive, any payment for their respective shares of
common stock pursuant to the Merger Agreement;
(ii)
(A) Cornerstone will remain an independent public company, (B) Cornerstone’s common stock will continue
to be listed and traded on Nasdaq and registered under the Exchange Act, and (C) Cornerstone will
continue to file periodic reports with the SEC; and
(iii) under certain specified circumstances, Cornerstone will be required to pay Parent a termination fee of
3TABLE OF CONTENTS
$150,000,000 (the “Company Termination Fee”) upon the termination of the Merger Agreement. For more
information, please see the section of this proxy statement captioned “Proposal 1: Adoption of the Merger
Agreement-Termination Fee.”
Merger Consideration",12,13
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,Merger Consideration,"Merger Consideration
Cornerstone Common Stock
At the Effective Time, and without any further action on the part of the parties or any Cornerstone stockholder, each
share then outstanding immediately prior to the Effective Time (except for (i) shares held by Cornerstone (or held in
Cornerstone’s treasury), (ii) shares held by Parent or any other direct or indirect subsidiary of Parent or any assigns
thereof, and (iii) any shares outstanding immediately prior to the Effective Time, and held by holders who are entitled
to demand appraisal rights under Section 262 of the General Corporation Law of the State of Delaware (the “DGCL”)
and have properly exercised and perfected their respective demands for appraisal of such shares in the time and
manner provided in Section 262 of the DGCL and, as of the Effective Time, have neither effectively withdrawn nor lost
their rights to such appraisal and payment under the DGCL (the “Dissenting Shares”) will be canceled and cease to
exist and automatically converted into the right to receive cash in an amount equal to $57.50, without interest (the
“Merger Consideration” or “Per Share Merger Consideration”), subject to any withholding of taxes required by
applicable law.
At or immediately prior to the Effective Time, Parent will deposit, or cause to be deposited, sufficient funds to pay the
aggregate Per Share Merger Consideration with Computershare Trust Company, N.A. (the “Paying Agent”) for
payment of each share of common stock owned by each stockholder. For more information, please see the section of
this proxy statement captioned “Proposal 1: Adoption of the Merger Agreement-Exchange and Payment Procedures.”
After the Merger is completed, you will have the right to receive the Per Share Merger Consideration, but you will no
longer have any rights as a stockholder (except that stockholders who properly exercise their appraisal rights may
have the right to receive payment for the “fair value” of their shares determined pursuant to an appraisal proceeding,
as contemplated by Delaware law). For more information, please see the section of this proxy statement captioned
“The Merger-Appraisal Rights.”
Treatment of Company Options and Company RSUs
Cornerstone from time to time has granted awards under its equity incentive plans, of options to purchase shares of
Cornerstone common stock (each, a “Company Option”), and restricted stock units covering shares of Cornerstone
common stock (each, a “Company RSU”). The Merger Agreement provides that (i) each Company RSU that is
unexpired, unexercised, outstanding and vested as of immediately prior to the Effective Time or that vests solely as a
result of the consummation of the Merger (each, a “Vested Company RSU”), (ii) each Company Option that is
unexpired, unexercised, outstanding and vested as of immediately prior to the Effective Time or that vests solely as a
result of the consummation of the Merger (each, a “Vested Company Option”), and (iii) each Company RSU owned by
a non-employee member of Cornerstone’s Board of Directors (each, a “Director RSU”) will be cancelled and
automatically converted into the right to receive an amount in cash equal to the product of (A) the aggregate number
of shares subject to, or issuable in settlement of, such award immediately prior to the Effective Time, multiplied by (B)
the Per Share Merger Consideration (or, for each Company Option, the excess, if any, of the Per Share Merger
Consideration over such Company Option’s per share exercise price), subject to any required withholding of taxes
(each, a “Vested Award Cash-out Payment”). For more information, please see the section of this proxy statement
captioned “Proposal 1: Adoption of the Merger Agreement-Merger Consideration-Treatment of Company Options
and Company RSUs.”
Each Company RSU that is not a Director RSU or Vested Company RSU (each, an “Unvested Company RSU”) and
each portion of a Company Option that is not a Vested Company Option (each, an “Unvested Company Option” and
together with each Unvested Company RSU, an “Unvested Award”) will be cancelled and automatically converted
into the right to receive an amount in cash, without interest, equal to the product of (i) the aggregate number of
shares subject to such Unvested Award immediately prior to the Effective Time, multiplied by (ii) the Per Share
Merger Consideration (or, for each Unvested Company Option, the excess, if any, of the Per Share Merger
Consideration over such Unvested Company Option’s per share exercise price) subject to any required withholding
of taxes (the “Unvested Consideration Amount”), which Unvested Consideration
4TABLE OF CONTENTS
Amount will be paid at the same time(s) that the Unvested Awards would have vested in accordance with their terms
and will remain subject to the holder of the Unvested Awards remaining in continuous service with Parent, the
Surviving Corporation or any of its Subsidiaries (as defined in the Merger Agreement) through each such vesting
date (except, that any terms and conditions relating to accelerated vesting upon a termination of the holder’s
employment in connection with or following the Merger will continue to apply to the Unvested Consideration
Amount). For the avoidance of doubt, any Company Options (whether vested or unvested) with a per share exercise
price equal to or greater than the Per Share Merger Consideration will be cancelled immediately upon the Effective
Time without payment or consideration. For more information, please see the section of this proxy statement
captioned “Proposal 1: Adoption of the Merger Agreement-Merger Consideration-Treatment of Company Options
and Company RSUs.”
Treatment of Purchase Rights under Cornerstone’s 2010 Employee Stock Purchase Plan
The Merger Agreement generally provides that after August 5, 2021, no new offering periods will begin under
Cornerstone’s 2010 Employee Stock Purchase Plan (the “Cornerstone ESPP”), no Cornerstone employee may become
a new participant in the Cornerstone ESPP and no Cornerstone ESPP participant may increase the percentage amount
of his or her payroll deduction election. Furthermore, the last day of any offering periods for the Cornerstone ESPP
still in effect at the Effective Time will be accelerated to occur prior to the Effective Time. Subject to the Closing of the
Merger, the Cornerstone ESPP will terminate effective immediately prior to the Effective Time. For more information,
please see the section of this proxy statement captioned “Proposal 1: Adoption of the Merger Agreement-Merger
Consideration-Treatment of Purchase Rights under the Employee Stock Purchase Plan.”
Recommendation of the Cornerstone Board of Directors",13,14
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,Recommendation of the Cornerstone Board of Directors,"Recommendation of the Cornerstone Board of Directors
After considering various factors described in this proxy statement under the caption, “The Merger-Recommendation
of the Board of Directors and Reasons for the Merger,” the Board of Directors unanimously: (i) determined the
Merger Agreement and the transactions contemplated by the Merger Agreement, including the Merger, are advisable
and fair to, and in the best interests of, Cornerstone and its stockholders; (ii) agreed that the Merger shall be
governed by and effected in accordance with the DGCL; (iii) declared it advisable to enter into the Merger Agreement
and to consummate the transactions contemplated by the Merger Agreement, including the Merger; (iv) authorized
and approved the execution, delivery and performance by Cornerstone of the Merger Agreement, and the
consummation of the Merger and the transactions contemplated by the Merger Agreement; and (v) subject to the
terms and conditions of the Merger Agreement, resolved to recommend, on behalf of Cornerstone, that the
Cornerstone stockholders adopt the Merger Agreement and approve the Merger and the transactions contemplated
thereby in accordance with the DGCL.
The Board of Directors also unanimously recommends that Cornerstone stockholders vote: (i) “FOR” the adoption of
the Merger Agreement; (ii) “FOR” the approval, on an advisory (non-binding) basis, of the Compensation Proposal;
and (iii) “FOR” the approval of the Adjournment Proposal.
Prior to receipt of the required stockholder approval, under certain specified circumstances, the Board of Directors
may withdraw or change the foregoing recommendation if the Board of Directors determines in good faith, after
consultation with Cornerstone’s outside legal counsel and financial advisors, that the failure to do so would be
inconsistent with the fiduciary duties of the Board of Directors to Cornerstone’s stockholders under applicable legal
requirements. However, the Board of Directors cannot withdraw or change the foregoing recommendation unless it
complies with certain procedures in the Merger Agreement, including, but not limited to, providing Parent four
business days to propose revisions to the terms of the Merger Agreement or make another proposal (as defined in
the section of this proxy statement captioned “Proposal 1: Adoption of the Merger Agreement-The Board of
Directors’ Recommendation; Company Adverse Change Recommendation”). The termination of the Merger
Agreement by Parent following the withdrawal by the Board of Directors of its recommendation that stockholders
adopt the Merger Agreement will result in the payment by Cornerstone of the Company Termination Fee. The
termination of the Merger Agreement by the Company following the Board of Directors’ authorization for the
Company to enter into a definitive agreement to consummate an alternative transaction contemplated by a Superior
Offer (as defined in the section of this proxy statement captioned, “Proposal 1: Adoption of the Merger Agreement-
Conduct of Business Pending the Merger-No Solicitation of Other Offers”) will result in the payment by Cornerstone
of the Company Termination Fee. For more information, please see the section of this proxy statement captioned
“Proposal 1: Adoption of the Merger Agreement-The Board of Directors’ Recommendation; Company Adverse
Change Recommendation.”
5TABLE OF CONTENTS
Opinion of Qatalyst Partners LP",14,15
