Document,Section Header,Section Text,Start Page,End Page
Coupa Software Inc_20230123_DEFM14A_20571922_4573621.Pdf,SUMMARY,"SUMMARY
This summary highlights selected information in this proxy statement and may not contain all of the information about the merger agreement, the
merger or the other transactions contemplated by the merger agreement that is important to you. We have included page references in parentheses
to direct you to more complete descriptions of the topics presented in this summary. You should carefully read this proxy statement in its entirety,
including the annexes hereto and the other documents to which we have referred you, for a more complete understanding of the matters being
considered at the special meeting, including, without limitation, the merger agreement attached as Annex A to this proxy statement. You may
obtain, without charge, copies of documents incorporated by reference into this proxy statement by following the instructions under the section of
this proxy statement entitled “Where You Can Find Additional Information”.
Except as otherwise specifically noted in this proxy statement, the “Company”, “Coupa”, “we”, “our”, “us” and similar words refer to Coupa
Software Incorporated. Throughout this proxy statement, we refer to Coupa Holdings, LLC (f/k/a Project CS Parent, LLC) as “Parent” and to
Project CS Merger Sub, Inc. as “Merger Sub”. In addition, throughout this proxy statement, we refer to the Agreement and Plan of Merger, dated
December 11, 2022, by and among Parent, Merger Sub and the Company as the “merger agreement”; our common stock, par value $0.0001 per
share, as “Company common stock”; and the holders of Company common stock as “Company stockholders”.
The Parties",10,10
Coupa Software Inc_20230123_DEFM14A_20571922_4573621.Pdf,The Parties,"The Parties
(page 27)
Coupa Software Incorporated
Coupa is a leading provider of Business Spend Management (“BSM”) solutions. We offer a comprehensive, cloud-based BSM platform that has
connected our customers with more than seven million suppliers globally. Our platform provides greater visibility into and control over how
companies spend money, optimize supply chains, and manage liquidity. Using our platform, businesses are able to achieve real, measurable value
and savings that drive their profitability.
We were incorporated in February 2006 in Delaware. Our principal executive offices are located at 1855 S. Grant Street, San Mateo, CA 94402, and our
telephone number is (650) 931-3200. Shares of Company common stock are listed on the Nasdaq Global Select Market (“Nasdaq”) under the trading
symbol “COUP”.
Coupa Holdings, LLC (f/k/a Project CS Parent, LLC)
Parent was formed on December 7, 2022, solely for the purpose of engaging in the transactions contemplated by the merger agreement, and has not
engaged in any business activities other than in connection with the transactions contemplated by the merger agreement and arranging of the
equity financing and debt financing in connection with the merger.
The principal executive offices of Parent are c/o Thoma Bravo, L.P., 600 Montgomery Street, 20th Floor, San Francisco, CA 94111 with a telephone
number of (415) 263-3600.
Project CS Merger Sub, Inc.
Merger Sub is a direct wholly owned subsidiary of Parent and was formed on December 7, 2022, solely for the purpose of engaging in the
transactions contemplated by the merger agreement, and has not engaged in any business activities other than in connection with the transactions
contemplated by the merger agreement and arranging of the equity financing and debt financing in connection with the merger.
 
Coupa Software Incorporated
Notice and Proxy Statement
1Table of Contents
Parent and Merger Sub are affiliated with Thoma Bravo Fund XV, L.P. (the “Thoma Bravo Fund”), and Parent, Merger Sub and the Thoma Bravo
Fund are each affiliated with Thoma Bravo, L.P. (“Thoma Bravo”). Thoma Bravo is a leading private equity firm focused on the software and
technology-enabled services sectors. At the effective time, the surviving corporation will be indirectly owned by the Thoma Bravo Fund and certain
of its affiliates.
In connection with the transactions contemplated by the merger agreement, the Thoma Bravo Fund has provided Parent with an equity commitment
and Merger Sub has obtained debt financing commitments from those certain lenders specified in, and party to, the debt commitment letter (as
defined below under “—Financing of the Merger”) (the “Lenders”). The amounts committed under the commitment letters (as defined below under
“—Financing of the Merger”) will be used to fund the aggregate purchase price required to be paid at the closing of the merger (the “closing”) and
to also fund certain other payments at the closing (including the Required Amounts (as defined below under “—Financing of the Merger”)), subject
to the terms and conditions of the merger agreement. In addition, the Thoma Bravo Fund has agreed to guarantee the payment of certain liabilities
and obligations of Parent and/or Merger Sub under the merger agreement, subject to an aggregate cap equal to $455 million, including any
termination fee and amounts in respect of certain reimbursement and indemnification obligations of Parent and Merger Sub for certain costs,
expenses or losses incurred or sustained by the Company, as specified in the merger agreement. For more information, please see the section of this
proxy statement entitled “The Merger—Financing of the Merger”.
The principal executive offices of Merger Sub are c/o Thoma Bravo, L.P., 600 Montgomery Street, 20th Floor, San Francisco, CA 94111 with a
telephone number of (415) 263-3600.",10,11
Coupa Software Inc_20230123_DEFM14A_20571922_4573621.Pdf,The Special Meeting,"The Special Meeting
(page 28)
The special meeting of Company stockholders will be held on Thursday, February 23, 2023 at 7:00 a.m. Pacific Time, in a virtual-only meeting format.
You must register to attend the meeting prior to the start of the meeting. To register to attend the virtual special meeting, you should visit
www.proxydocs.com/COUP. You will be required to enter the control number, included on your proxy card, voting instruction form or as you may
otherwise receive, which will allow you to participate in the virtual meeting and vote your shares of Company common stock if you are a Company
stockholder as of the record date. Once you have registered for the meeting, you will receive an email confirmation containing additional information
regarding the virtual special meeting. Please see the section of this proxy statement entitled “The Special Meeting” for additional information on the
special meeting, including how to vote your shares of Company common stock.
Record Date and Stockholders Entitled to Vote; Vote Required to Approve Each Proposal",11,11
Coupa Software Inc_20230123_DEFM14A_20571922_4573621.Pdf,Record Date and Stockholders Entitled to Vote; Vote Required to Approve Each Proposal,"Record Date and Stockholders Entitled to Vote; Vote Required to Approve Each Proposal
(pages 29 and 30)
Only the Company’s stockholders of record at the close of business on January 23, 2023, the record date for the special meeting, will be entitled to
notice of, and to vote at, the special meeting and any postponement or adjournment thereof. As of the close of business on January 19, 2023, the
latest practicable date before the filing of this proxy statement, there were 75,541,300 shares of Company common stock outstanding and entitled to
vote. Each Company stockholder is entitled to one vote per share of Company common stock held by such stockholder on the record date on each
of the proposals presented in this proxy statement.
The approval of the proposal of the Company’s stockholders to adopt the merger agreement (the “merger agreement proposal”) requires the
affirmative vote (in person or by proxy) of the holders of a majority of outstanding shares of Company common stock entitled to vote on the matter
(the “Company stockholder approval”). Under Delaware law and the merger agreement, the receipt of such required vote is a condition to the
consummation of the merger. The approval of the proposal to approve, on an advisory (non-binding) basis, the
 
2
Notice and Proxy Statement
Coupa Software IncorporatedTable of Contents
compensation that may be paid or become payable to our named executive officers in connection with the transactions contemplated by the merger
agreement, including consummation of the merger (the “advisory compensation proposal”) requires the affirmative vote (in person or by proxy) of a
majority of the votes cast on such proposal at the special meeting. The approval of the proposal to approve any adjournment of the special meeting,
if necessary or appropriate, for the purpose of soliciting additional proxies if there are insufficient votes at the special meeting to adopt the merger
agreement (the “adjournment proposal”) requires the affirmative vote of a majority of the votes cast on such proposal at the special meeting
(whether or not a quorum is present). Neither approval of the advisory compensation proposal nor approval of the adjournment proposal is a
condition to the consummation of the merger. Note that you may vote to approve the merger agreement proposal and vote not to approve the
advisory compensation proposal or adjournment proposal and vice versa.
Voting by Company Directors and Executive Officers",11,12
Coupa Software Inc_20230123_DEFM14A_20571922_4573621.Pdf,Voting by Company Directors and Executive Officers,"Voting by Company Directors and Executive Officers
(page 33)
On December 11, 2022, in connection with the execution of the merger agreement, the Company’s directors, solely in their capacity as stockholders of
the Company (in such capacity, the “covered stockholders”), entered into a voting agreement with Parent and the Company (the “voting
agreement”), a copy of which is attached to this proxy statement as Annex C. Under the voting agreement, the covered stockholders have agreed to
vote their shares of Company common stock in favor of the adoption of the merger agreement and certain other matters. As of January 19, 2023, the
covered stockholders beneficially owned an aggregate of 1,430,474 shares of Company common stock, or approximately 1.9% of the then-
outstanding shares of Company common stock. For more information regarding the voting agreement, see the section of this proxy statement
entitled “The Voting Agreement”.
In addition, as of January 19, 2023, the non-director executive officers of the Company, who are not party to the voting agreement, beneficially
owned an aggregate of 144,327 shares of Company common stock, or approximately 0.2% of the then-outstanding shares of Company common
stock. We currently expect that all directors and executive officers of the Company, including non-director executive officers who are not party to the
voting agreement, will vote their shares of Company common stock “FOR” each of the proposals to be presented at the special meeting. For more
information regarding the security ownership of directors and executive officers of the Company, see the section of this proxy statement entitled
“Security Ownership of Certain Beneficial Owners and Management”.",12,12
Coupa Software Inc_20230123_DEFM14A_20571922_4573621.Pdf,The Merger; Certain Effects of the Merger; Consideration To Be Received in the Merger,"The Merger; Certain Effects of the Merger; Consideration To Be Received in the Merger
(pages 38, 68 and 87)
On December 11, 2022, the Company entered into the merger agreement with Parent and Merger Sub, providing for, among other things and on the
terms and subject to the conditions of the merger agreement, the acquisition of the Company by Parent at a price of $81.00 in cash, without interest,
per share of Company common stock issued and outstanding (the “merger consideration”). On the terms and subject to the conditions of the merger
agreement, Merger Sub will be merged with and into the Company (the “merger”), with the Company surviving the merger as a wholly owned
subsidiary of Parent (the “surviving corporation”). A copy of the merger agreement is included as Annex A to this proxy statement. If the merger is
completed, following the completion of the merger, you will not own any shares of the capital stock of the surviving corporation.
If the merger is consummated, each share of Company common stock issued and outstanding immediately prior to the time the merger is
consummated (the “effective time”) will be canceled and converted automatically into, and will thereafter represent only, the right to receive $81.00 in
cash, without interest, other than shares of Company common stock that are (1) owned by the Company as treasury stock or held by Parent or
Merger Sub immediately prior to the effective time, which will be canceled and will cease to exist and no consideration will
 
Coupa Software Incorporated
Notice and Proxy Statement
3Table of Contents
be delivered in exchange therefor, (2) owned by any direct or indirect wholly owned subsidiary of the Company immediately prior to the effective
time, which will be, at the election of Parent, either converted into shares of common stock of the surviving corporation or canceled (the shares
described in clauses (1) and (2), “excluded shares”) and (3) held by any person who is entitled to and properly demands appraisal of such shares
pursuant to, and complies in all respects with, Section 262 (“Section 262”) of the Delaware General Corporation Law (the “DGCL”) (the “appraisal
shares”).
Parent and the Company have agreed to cooperate with each other to cause the Company common stock to be delisted from Nasdaq and
deregistered under the Securities Exchange Act of 1934, as amended (the “Exchange Act”) as soon as reasonably practicable following the effective
time, and, accordingly, the Company common stock will no longer be publicly traded.
Recommendation of the Board",12,13
Coupa Software Inc_20230123_DEFM14A_20571922_4573621.Pdf,Recommendation of the Board,"Recommendation of the Board
(page 52)
The Board has reviewed and considered the terms and conditions of the merger agreement, the merger and the other transactions contemplated by
the merger agreement. The Board unanimously (1) authorized and approved the execution, delivery and performance by the Company of the merger
agreement and the consummation by the Company of the transactions contemplated by the merger agreement, including the merger, (2) determined
that it is in the best interests of the Company and its stockholders for the Company to enter into the merger agreement and declared the merger
agreement advisable, (3) directed that the Company submit the adoption of the merger agreement to a vote of Company stockholders in accordance
with the terms of the merger agreement and (4) resolved to recommend that Company stockholders adopt the merger agreement. Accordingly, the
Board unanimously recommends that you vote “FOR” the merger agreement proposal, “FOR” the advisory compensation proposal and “FOR” the
adjournment proposal. For a discussion of the factors that the Board considered in determining to recommend the approval of the merger agreement
proposal, please see the section of this proxy statement entitled “The Merger—Reasons for the Merger”.
Prior to the adoption of the merger agreement by the Company’s stockholders, under certain circumstances, and in compliance with certain
obligations contained in the merger agreement, the Board may effect an adverse recommendation change (as defined in the section of this proxy
statement entitled “The Merger Agreement—No Solicitation; Change in Board Recommendation”), including by withdrawing or withholding the
foregoing recommendation, under certain circumstances in response to an intervening event (as defined in the section of this proxy statement
entitled “The Merger Agreement—No Solicitation; Change in Board Recommendation”) or in connection with a superior proposal (as defined in the
section of this proxy statement entitled “The Merger Agreement—No Solicitation; Change in Board Recommendation”), if the Board complies with
certain procedures in the merger agreement.",13,13
Coupa Software Inc_20230123_DEFM14A_20571922_4573621.Pdf,Opinion of the Company’s Financial Advisor,"Opinion of the Company’s Financial Advisor
(page 61)
The Company retained Qatalyst Partners LP (“Qatalyst Partners”) to act as its financial advisor in connection with a potential transaction such as
the merger and to evaluate whether the merger consideration to be received pursuant to, and in accordance with, the terms of the merger agreement
by the holders of shares of Company common stock (other than Parent or any affiliate of Parent) was fair, from a financial point of view, to such
holders. The Company selected Qatalyst Partners to act as the Company’s financial advisor based on Qatalyst Partners’ long-standing relationship
with the Company as well as Qatalyst Partners’ qualifications, expertise, reputation and knowledge of the business and affairs of the Company and
the industry in which it operates. Qatalyst Partners has provided its written consent to the reproduction of its opinion in this proxy statement. At the
meeting of the Board on December 11, 2022, Qatalyst Partners rendered to the Board its oral opinion, subsequently confirmed in writing, to the effect
that, as of the date thereof and based upon and subject to the
 
4
Notice and Proxy Statement
Coupa Software IncorporatedTable of Contents
various assumptions, qualifications, limitations and other matters set forth therein, the merger consideration to be received pursuant to, and in
accordance with, the terms of the merger agreement by the holders of shares of Company common stock (other than Parent or any affiliate of Parent)
was fair, from a financial point of view, to such holders. Qatalyst Partners delivered its written opinion, dated December 11, 2022, to the Board
following the meeting of the Board.
The full text of Qatalyst Partners’ written opinion, dated December 11, 2022, is attached hereto as Annex B and is incorporated by reference
herein. The opinion sets forth, among other things, the assumptions made, procedures followed, matters considered and limitations and
qualifications of the review undertaken by Qatalyst Partners in rendering its opinion. Company stockholders should read the opinion carefully in
its entirety. Qatalyst Partners’ opinion was provided to the Board and addresses only, as of the date of the opinion, the fairness, from a financial
point of view, of the merger consideration to be received pursuant to, and in accordance with, the terms of the merger agreement by the holders of
shares of Company common stock (other than Parent or any affiliate of Parent), to such holders, and it does not address any other aspect of the
merger. It does not constitute a recommendation as to how any holder of shares of Company common stock should vote with respect to the merger
or any other matter and does not in any manner address the price at which Company common stock will trade or otherwise be transferable at any
time. The summary of Qatalyst Partners’ opinion set forth herein is qualified in its entirety by reference to the full text of the opinion, which is
attached to this proxy statement as Annex B.
Effects on the Company if the Merger Is Not Consummated",13,14
Coupa Software Inc_20230123_DEFM14A_20571922_4573621.Pdf,Effects on the Company if the Merger Is Not Consummated,"Effects on the Company if the Merger Is Not Consummated
(page 69)
In the event that the Company stockholder approval is not obtained or if the merger is not consummated for any other reason, the Company’s
stockholders will not receive any payment for their shares of Company common stock, the Company will continue as an independent public
company, the Company common stock will continue to be listed and traded on Nasdaq, the Company common stock will continue to be registered
under the Exchange Act and the Company’s stockholders will continue to own their shares of Company common stock and will continue to be
subject to the same general risks and opportunities as they currently are with respect to ownership of the Company common stock.
Under certain circumstances, if the merger is not consummated, the Company may be obligated to pay to Parent a termination fee of $200 million (the
“Company termination fee”) and, under certain other specified circumstances, Parent may be required to pay the Company a termination fee of $435
million (the “Parent termination fee”). Please see the section of this proxy statement entitled “The Merger Agreement—Termination Fees”.",14,14
Coupa Software Inc_20230123_DEFM14A_20571922_4573621.Pdf,Financing of the Merger,"Financing of the Merger
(page 69)
We presently anticipate that the total funds needed to complete the merger and the related transactions will be approximately $8.3 billion, which will
be funded via equity and debt financing described below.
The obligation of Parent and Merger Sub to consummate the merger is not subject to any financing condition. Parent and Merger Sub have
represented to the Company that, subject to satisfaction of certain conditions in the merger agreement, they will have available to them sufficient
funds to satisfy all of their obligations under the merger agreement on the closing date and under the commitment letters (as defined below). This
includes funds needed to: (1) pay the Company’s stockholders the amounts due under the merger agreement for their Company common stock, (2)
make payments in respect of our outstanding Company Options, Company RSUs, and Company PSUs payable at the closing of the merger pursuant
to the merger agreement and (3) repay or refinance
 
Coupa Software Incorporated
Notice and Proxy Statement
5Table of Contents
certain indebtedness, including payments of all amounts required to be paid in connection with the merger pursuant to (a) the Indenture, dated as of
January 17, 2018, between the Company and Wilmington Trust, National Association (the “2023 Convertible Notes Indenture”) and the 0.375%
Convertible Senior Notes due 2023 issued pursuant thereto (the “2023 Convertible Notes”), (b) the Indenture, dated as of June 11, 2019, between the
Company and Wilmington Trust, National Association (the “2025 Convertible Notes Indenture”) and the 0.125% Convertible Senior Notes due 2025
issued pursuant thereto (the “2025 Convertible Notes”), and (c) the Indenture, dated as of June 15, 2020, between the Company and Wilmington
Trust, National Association (together with the 2023 Convertible Notes Indenture and 2025 Convertible Notes Indenture, the “Convertible Note
Indentures”) and the 0.375% Convertible Senior Notes due 2026 issued pursuant thereto (the “2026 Convertible Notes” and together with the 2023
Convertible Notes and 2025 Convertible Notes, the “Convertible Notes”) (collectively, the “Required Amounts”).
The Thoma Bravo Fund has committed to contribute or cause to be contributed to Parent at the closing of the merger certain equity financing,
subject to the terms and conditions set forth in an equity commitment letter, dated as of December 11, 2022 (the “equity commitment letter”). The
Company is an express third-party beneficiary of the equity commitment letter solely with respect to enforcing Parent’s right to cause the
commitment under the equity commitment letter by the Thoma Bravo Fund to be funded to Parent in accordance with the equity commitment letter,
and to cause Parent to enforce its rights against the Thoma Bravo Fund to perform its funding obligations under the equity commitment letter, in
each case subject to (1) the limitations and conditions set forth in the equity commitment letter and (2) the terms and conditions of the merger
agreement.
Pursuant to the limited guarantee delivered by the Thoma Bravo Fund in favor of the Company, dated as of December 11, 2022 (the “limited
guarantee”), the Thoma Bravo Fund has agreed to guarantee the payment of certain liabilities and obligations of Parent or Merger Sub under the
merger agreement, subject to an aggregate cap equal to $455 million, including any termination fee and amounts in respect of certain reimbursement
and indemnification obligations of Parent and Merger Sub for certain costs, expenses or losses incurred or sustained by the Company, as specified
in the merger agreement.
In addition, in connection with the merger agreement, Merger Sub entered into a debt commitment letter, dated as of December 11, 2022 (as amended,
supplemented or otherwise modified, the “debt commitment letter” and, together with the equity commitment letter, the “commitment letters”) with
the Lenders, pursuant to which the Lenders have committed to provide, upon certain terms and subject to certain conditions, Parent and Merger Sub
with debt financing (as defined in the section of this proxy statement entitled “The Merger—Financing of the Merger”). For more information,
please see the section of this proxy statement entitled “The Merger—Financing of the Merger”.
Pursuant to the merger agreement, Parent and Merger Sub will use reasonable efforts to take (and will use their reasonable best efforts to cause their
affiliates to take) all actions, and do, or cause to be done, all things necessary, proper or advisable to obtain the financing contemplated by the
commitment letters and will use reasonable best efforts to take all actions and do, or cause to be done, all things necessary, proper or advisable to
obtain the proceeds of the financings on the terms and subject only to the conditions described in the commitment letters on a timely basis, taking
into account the anticipated closing date. For more information, please see the section of this proxy statement entitled “The Merger Agreement—
Financing”.
The Company has agreed to use its reasonable best efforts to provide, and to cause its subsidiaries (and their respective representatives) to use
their reasonable best efforts to provide, to Parent and Merger Sub such cooperation as is customary and reasonably requested by Merger Sub in
connection with the arrangement of the financing contemplated by the debt commitment letter, subject to the terms set forth in the merger agreement.
For more information, please see the section of this proxy statement entitled “The Merger Agreement—Financing”.
 
6
Notice and Proxy Statement
Coupa Software Incorporated
Table of Contents
Limited Guarantee",14,16
