Document,Section Header,Section Text,Start Page,End Page
CyrusOne Inc._20211230_DEFM14A_19745922_4359686.Pdf,SUMMARY,"SUMMARY
This summary highlights selected information in this proxy statement and may not contain all of the
information about the merger agreement, the merger or the other transactions contemplated by the merger
agreement that is important to you. We have included page references in parentheses to direct you to more
complete descriptions of the topics presented in this summary. You should carefully read this proxy
statement in its entirety, including the annexes hereto and the other documents to which we have referred
you, for a more complete understanding of the matters being considered at the special meeting, including,
without limitation, the merger agreement attached as Annex A to this proxy statement. You may obtain,
without charge, copies of documents incorporated by reference into this proxy statement by following the
instructions under the section of this proxy statement entitled “Where You Can Find Additional
Information” beginning on page 97.",10,10
CyrusOne Inc._20211230_DEFM14A_19745922_4359686.Pdf,The Parties,"The Parties 
(page 22)
CyrusOne Inc.
The Company is a fully integrated, self-managed data center real estate investment trust (“REIT”) that owns,
operates and develops enterprise-class, carrier-neutral, multi-tenant and single-tenant data center properties.
The Company’s data centers are generally purpose-built facilities with redundant power and cooling. They
are not network specific and enable customer connectivity to a range of telecommunication carriers. The
Company provides mission-critical data center real estate assets that protect and ensure the continued
operation of information technology infrastructure for approximately 1,000 customers in more than 50 high-
performance data centers in 16 markets world-wide (11 cities in the U.S.; London, U.K.; Frankfurt, Germany;
Amsterdam, The Netherlands; Dublin, The Republic of Ireland and Paris, France). The Company’s principal
executive offices are located at 2850 N. Harwood, Suite 2200, Dallas, Texas 75201 and our telephone number
is (972) 350-0060. Shares of the Company’s common stock are listed on the NASDAQ Global Select Market
under the trading symbol “CONE”.
Parent
Parent is a Delaware limited partnership that will be controlled by funds affiliated with KKR and GIP that was
formed solely for the purpose of entering into the merger agreement and related agreements and
consummating the transactions contemplated thereby. Parent has not conducted any business operations
other than in connection with the transactions contemplated by the merger agreement and related
agreements. Upon the consummation of the transactions contemplated by the merger agreement and related
agreements, the Company will be a wholly owned subsidiary of Parent.
The principal executive offices of Parent are c/o Kohlberg Kravis Roberts & Co. L.P., 30 Hudson Yards, New
York, New York 10001 with a telephone number of (877) 610-4910 and c/o Global Infrastructure Management,
LLC, 1345 Avenue of the Americas, 30th Floor, New York, NY 10105 with a telephone number of (212) 315-
8100.
Merger Sub
Merger Sub is a Delaware limited liability company and a wholly owned subsidiary of Parent that was formed
solely for the purpose of entering into the merger agreement and related agreements and consummating the
transactions contemplated thereby. Merger Sub has not conducted any business operations other than in
connection with the transactions contemplated by the merger agreement and related agreements. Upon the
consummation of the merger, Merger Sub will merge with and into the Company, and Merger Sub will cease
to exist.
The principal executive offices of Merger Sub are c/o Kohlberg Kravis Roberts & Co. L.P., 30 Hudson Yards,
New York, New York 10001 with a telephone number of (877) 610-4910 and c/o Global Infrastructure
Management, LLC, 1345 Avenue of the Americas, 30th Floor, New York, NY 10105 with a telephone number of
(212) 315-8100.
2 TABLE OF CONTENTS​",10,11
CyrusOne Inc._20211230_DEFM14A_19745922_4359686.Pdf,The Merger,"The Merger 
(page 31)
On November 14, 2021, the Company entered into an Agreement and Plan of Merger (the “merger
agreement”) with Parent and Merger Sub, providing for, subject to the satisfaction or (to the extent permitted
by law) waiver of specified conditions, the acquisition of the Company by Parent at a price of $90.50 in cash,
without interest, per share of common stock (the “merger consideration”). Subject to the terms and
conditions of the merger agreement, Merger Sub will be merged with and into the Company (the “merger”),
with the Company surviving the merger as a wholly owned subsidiary of Parent (the “surviving
corporation”). A copy of the merger agreement is included as Annex A to this proxy statement.
If the merger is consummated, each share of common stock issued and outstanding immediately prior to the
time the merger is consummated (the “effective time”) will be converted into the right to receive $90.50 in
cash, without interest and less any applicable withholding taxes, other than shares of common stock held by
(i) Parent or Merger Sub immediately prior to the effective time, which will be automatically canceled, and no
payment will be made with respect therefor and (ii) any subsidiary of the Company or Parent (other than
Merger Sub) immediately prior to the effective time, which will be, at the election of Parent, either (a)
converted into shares of common stock of the surviving corporation or (b) canceled, and no payment will be
made with respect therefor (collectively, “excluded shares”).
If the merger is consummated, Parent shall use its reasonable best efforts to cause the common stock to be
delisted from the NASDAQ Global Select Market and deregistered under the Securities Exchange Act of
1934, as amended (the “Exchange Act”) as soon as reasonably practicable following the effective time, and,
accordingly, the common stock will no longer be publicly traded.",11,11
CyrusOne Inc._20211230_DEFM14A_19745922_4359686.Pdf,The Special Meeting,"The Special Meeting 
(page 24)
The special meeting of stockholders of the Company will be held on February 1, 2022 at 9:30 a.m., Central
Time (10:30 a.m., Eastern Time), in a virtual-only meeting format. To access the virtual special meeting, you
should visit https://meetnow.global/MTUZUCT. You will be required to enter a control number, included on
your proxy card, voting instruction form or other notice that you may receive, which will allow you to
participate in the virtual meeting and vote your shares of common stock if you are a CyrusOne stockholder
as of the record date. Please see the section of this proxy statement entitled “The Special Meeting” for
additional information on the special meeting, including how to vote your shares of common stock.",11,11
CyrusOne Inc._20211230_DEFM14A_19745922_4359686.Pdf,Stockholders Entitled to Vote; Vote Required to Approve the Merger Proposal,"Stockholders Entitled to Vote; Vote Required to Approve the Merger Proposal 
(page 24 and page 25)
Only CyrusOne stockholders of record at the close of business on December 23, 2021 - the record date for
the special meeting - will be entitled to notice of, and to vote at, the special meeting and any postponement
or adjournment thereof. As of the close of business on the record date, there were 129,555,316 shares of
common stock outstanding and entitled to vote. Each CyrusOne stockholder is entitled to one vote per share
of common stock held by such CyrusOne stockholder on the record date on each of the proposals presented
in this proxy statement.
The approval of the merger proposal requires the affirmative vote of the holders of our common stock
entitled to cast a majority of all the votes entitled to be cast on the matter (the “Company stockholder
approval”). Under Maryland law and the merger agreement, the receipt of such required vote is a condition
to the consummation of the merger. Approval of the advisory compensation proposal and the adjournment
proposal is not a condition to the consummation of the merger. Note that you may vote to approve the
merger proposal and vote not to approve the advisory compensation proposal or adjournment proposal and
vice versa.",11,11
CyrusOne Inc._20211230_DEFM14A_19745922_4359686.Pdf,Background of the Merger,"Background of the Merger 
(page 31)
A description of the process we undertook that led to the proposed merger, including our discussions with
KKR and GIP, is included in this proxy statement under “The Merger - Background of the Merger”.
3",11,12
CyrusOne Inc._20211230_DEFM14A_19745922_4359686.Pdf,Recommendation of the Board,"Recommendation of the Board 
(page 41)
The Board has reviewed and considered the terms and conditions of the merger agreement, the merger and
the other transactions contemplated by the merger agreement. The Board unanimously (i) authorized and
approved the execution, delivery and performance by the Company of the merger agreement and the
consummation by the Company of the merger and the other transactions contemplated by the merger
agreement, (ii) declared that the merger is advisable and in the best interests of the Company and of
stockholders of the Company on substantially the terms and conditions set forth in the merger agreement,
(iii) directed that the merger be submitted for consideration at the special meeting and (iv) recommended that
the stockholders of the Company approve the merger. Accordingly, the Board recommends a vote “FOR” the
merger proposal, “FOR” the advisory compensation proposal and “FOR” the adjournment proposal. For a
discussion of the factors that the Board considered in determining to recommend the approval of the merger
proposal, please see the section of this proxy statement entitled “The Merger - Reasons for the Merger”
beginning on page 41.",12,12
CyrusOne Inc._20211230_DEFM14A_19745922_4359686.Pdf,Opinion of the Company’s Financial Advisor,"Opinion of the Company’s Financial Advisor 
(page 48)
Morgan Stanley was retained by the Company to act as its financial advisor in connection with a review of
the Company’s strategic alternatives, including a potential sale of the Company. The Company selected
Morgan Stanley to act as its financial advisor based on Morgan Stanley’s qualifications, expertise and
reputation and its knowledge of the business and affairs of the Company. As part of this engagement, the
Board requested that Morgan Stanley evaluate the fairness from a financial point of view of the merger
consideration to be received by the holders of shares of common stock pursuant to the merger agreement.
On November 14, 2021, Morgan Stanley rendered to the Board its oral opinion, which was subsequently
confirmed by delivery of a written opinion, dated November 14, 2021, and that is attached to this proxy
statement as Annex B, that, as of that date and based upon and subject to the assumptions made,
procedures followed, matters considered and qualifications and limitations on the scope of review
undertaken by Morgan Stanley as set forth therein, the merger consideration to be received by the holders of
shares of common stock pursuant to the merger agreement was fair from a financial point of view to the
holders of shares of common stock.
The full text of the written opinion of Morgan Stanley, dated November 14, 2021, is attached as Annex B to this proxy
statement and is incorporated by reference into this proxy statement. The opinion sets forth, among other things, the
assumptions made, procedures followed, matters considered and qualifications and limitations on the scope of the
review undertaken by Morgan Stanley in rendering its opinion. CyrusOne stockholders are urged to, and should, read
the opinion carefully and in its entirety. Morgan Stanley’s opinion is directed to the Board and addresses only the
fairness, from a financial point of view to the holders of shares of common stock of the merger consideration to be
received by the holders of shares of common stock pursuant to the merger agreement as of the date of the opinion.
Morgan Stanley’s opinion does not address any other aspect of the transactions contemplated by the merger
agreement and does not constitute an opinion or recommendation as to how any CyrusOne stockholder should vote at
the special meeting. The summary of Morgan Stanley’s opinion set forth in this proxy statement is qualified in its
entirety by reference to the full text of the opinion.
For a description of the opinion that the Board received from Morgan Stanley, and for additional information,
see the section entitled “The Merger - Opinion of the Company’s Financial Advisor” beginning on page 48.",12,12
CyrusOne Inc._20211230_DEFM14A_19745922_4359686.Pdf,Certain Effects of the Merger,"Certain Effects of the Merger 
(page 56)
If the merger is consummated, Merger Sub will be merged with and into the Company, with the Company
surviving upon the terms set forth in the merger agreement. As the surviving corporation in the merger, the
Company will continue to exist following the merger as a direct, wholly owned subsidiary of Parent.
4 • 
• 
• 
• 
TABLE OF CONTENTS​
If the merger is consummated, Parent shall use its reasonable best efforts to cause the common stock to be
delisted from the NASDAQ Global Select Market and deregistered under the Exchange Act as soon as
reasonably practicable following the effective time, and, accordingly, the common stock will no longer be
publicly traded.",12,13
CyrusOne Inc._20211230_DEFM14A_19745922_4359686.Pdf,Effects on the Company if the Merger Is Not Consummated,"Effects on the Company if the Merger Is Not Consummated 
(page 56)
In the event that the Company stockholder approval is not obtained or if the merger is not consummated for
any other reason, CyrusOne stockholders will not receive any payment for their shares of common stock in
connection with the merger. Instead, the Company will remain an independent public company, the common
stock will continue to be listed and traded on the NASDAQ Global Select Market, the common stock will
continue to be registered under the Exchange Act and CyrusOne stockholders will continue to own their
shares of common stock and will continue to be subject to the same general risks and opportunities as they
currently are with respect to ownership of the common stock.",13,13
