Document,Section Header,Section Text,Start Page,End Page
"DUCK CREEK TECHNOLOGIES, INC._20230228_DEFM14A_20680687_4596980.Pdf",SUMMARY,"SUMMARY
This summary highlights selected information from this proxy statement (this “Proxy Statement”) related to the
merger (the “Merger”) of Disco Merger Sub, Inc. (“Merger Sub”) with and into Duck Creek Technologies, Inc.
(“Duck Creek” or the “Company”) and may not contain all of the information that is important to you. To
understand the Merger more fully and for a more complete description of the legal terms of the Merger, you should
read carefully this entire Proxy Statement, the annexes to this Proxy Statement and the documents we refer to in this
Proxy Statement. You may obtain the information incorporated by reference in this Proxy Statement without charge
by following the instructions in the section entitled “Where You Can Find More Information” beginning on page
112 of this Proxy Statement. The Merger Agreement (as defined below) is attached as Annex A to this Proxy
Statement. You are encouraged to read the Merger Agreement, which is the legal document that governs the Merger.
Except as otherwise specifically noted in this Proxy Statement, “Duck Creek,” the “Company,” “we,” “our,”
“us” and similar words in this Proxy Statement refer to Duck Creek Technologies, Inc., including, in certain cases,
our subsidiaries. Throughout this Proxy Statement we refer to Disco Parent, LLC as “Parent” and Disco Merger
Sub, Inc. as “Merger Sub.” In addition, throughout this Proxy Statement we refer to the Agreement and Plan of
Merger, dated as of January 8, 2023, as it may be amended from time to time, by and among the Company, Parent
and Merger Sub as the “Merger Agreement.”
The Special Meeting (page 23)",11,11
"DUCK CREEK TECHNOLOGIES, INC._20230228_DEFM14A_20680687_4596980.Pdf",The Special Meeting,"The Special Meeting (page 23)
Date, Time and Place
The special meeting of Company stockholders (the “Special Meeting”) will be held on Tuesday, March 28, 2023,
at 9:00 a.m., Eastern Time online at https://www.virtualshareholdermeeting.com/DCT2023SM.
Record Date; Shares Entitled to Vote
You are entitled to vote at the Special Meeting if you owned shares of common stock of Duck Creek, par value
$0.01 per share (“Duck Creek Common Stock”), including unvested Company RSAs (as defined below), at the close
of business on February 9, 2023, the record date for the Special Meeting (the “Record Date”). You will have one vote
at the Special Meeting for each share of Duck Creek Common Stock you owned at the close of business on the
Record Date.
Purpose
At the Special Meeting, we will ask Company stockholders of record as of the Record Date to vote on proposals
to adopt the Merger Agreement and to approve, by non-binding, advisory vote, compensation that will or may
become payable by Duck Creek to its named executive officers in connection with the Merger (collectively, the
“Special Meeting Proposals”).
Quorum
As of the Record Date, there were 136,906,439 shares of Duck Creek Common Stock outstanding and entitled to
be voted at the Special Meeting, consisting of 132,892,979 shares of unrestricted Duck Creek Common Stock and
4,013,460 unvested Company RSAs. The presence of a majority in voting power of the outstanding shares of Duck
Creek Common Stock entitled to vote at the Special Meeting constitutes a quorum. As a result, 68,453,220 shares of
Duck Creek Common Stock must be represented by proxy or by stockholders present and entitled to vote at the
Special Meeting to have a quorum. Shares of Duck Creek Common Stock are counted as present if:
•
such shares are present in person at the virtual Special Meeting; or
•
a proxy card has been properly submitted by mail, by telephone or over the Internet with respect to such
shares.
If you submit your proxy card, regardless of whether you abstain from voting on one or more of the Special
Meeting Proposals, your shares of Duck Creek Common Stock will be counted as present at the Special Meeting for
the purpose of determining a quorum. If your shares are held in “street name,” your shares of Duck Creek Common
Stock are counted as present for purposes of determining a quorum if your broker, bank, trust or other nominee
 
1TABLE OF CONTENTS
submits a proxy covering your shares. If you hold your shares in “street name” and do not give any instruction to
your broker, bank, trust or other nominee as to how your shares should be voted at the Special Meeting, those shares
will not be entitled to vote on any Special Meeting Proposal and will not be counted for purposes of determining a
quorum.
Required Vote
The affirmative vote of a majority of the outstanding shares of Duck Creek Common Stock, including unvested
Company RSAs, entitled to vote thereon is required to adopt the Merger Agreement. The affirmative vote of the
holders of a majority of the total number of votes of Duck Creek Common Stock, including unvested Company RSAs,
present at the Special Meeting or represented by proxy and entitled to vote thereon at the Special Meeting, provided
a quorum is present, is required to approve, by means of a non-binding, advisory vote, the proposal to approve
compensation that will or may become payable by Duck Creek to its named executive officers in connection with the
Merger. This means that the proposal to adopt the Merger Agreement, and the transactions contemplated thereby,
including the Merger, will be approved if the number of shares voted “FOR” such proposal is greater than fifty
percent (50%) of the total number of outstanding shares of Duck Creek Common Stock entitled to vote at the Special
Meeting. Abstentions will have the same effect as votes “AGAINST” the proposal to adopt the Merger Agreement
and the transactions contemplated by the Merger Agreement, including the Merger, and the proposal to approve
compensation that will or may become payable by Duck Creek to its named executive officers in connection with the
Merger. Because both proposals presented to Company stockholders will be considered non-discretionary, we do not
anticipate any broker non-votes at the Special Meeting. Broker non-votes will not be considered present for the
purposes of establishing a quorum and will not count as votes cast at the Special Meeting, and otherwise will have
no effect on a particular proposal.
Share Ownership of Duck Creek’s Directors and Executive Officers
As of February 9, 2023, the Record Date, Duck Creek’s directors and executive officers beneficially owned, and
were entitled to vote, in the aggregate, 3,733,584 shares of Duck Creek Common Stock, consisting of 2,098,465 shares
of unrestricted Duck Creek Common Stock and 1,635,119 unvested Company RSAs, representing approximately 2.7%
of the outstanding shares of Duck Creek Common Stock. We expect that Duck Creek’s directors and executive
officers will beneficially own and be entitled to vote a similar figure at the close of business on the date of the Special
Meeting. Duck Creek’s directors and executive officers have informed Duck Creek that they currently intend to vote
all of their shares of Duck Creek Common Stock “FOR” the adoption of the Merger Agreement and “FOR” the non-
binding, advisory proposal regarding compensation that will or may become payable by Duck Creek to its named
executive officers in connection with the Merger.
How You Can Vote
You may cast your shares in any of four (4) ways:
1.
by voting over the Internet using the website indicated on the enclosed proxy card;
2.
by telephone using the toll-free number on the enclosed proxy card;
3.
by signing, dating and returning the enclosed proxy card in the postage-paid envelope provided; or
4.
by attending the Special Meeting in a virtual format and voting by virtual ballot. To vote during the Special
Meeting, you must do so by logging into https://www.virtualshareholdermeeting.com/DCT2023SM using
the 16-digit control number included in your proxy materials.
If your shares of Duck Creek Common Stock are registered directly in your name, you are considered the
stockholder of record with respect to those shares.
If your shares of Duck Creek Common Stock are held in a stock brokerage account or by a bank or other
nominee, then the broker, bank, trust or other nominee is considered to be the stockholder of record with respect to
those shares. However, you are still considered to be the beneficial owner of those shares, and your shares are said
to be held in “street name.” Street name holders generally cannot submit a proxy or vote their shares directly and
must instead instruct the broker, bank, trust or other nominee how to vote their shares using the methods described
above. Because the proposals are “non-routine matters,” your broker, bank, trust or other nominee does not have
discretionary authority to vote your shares on the Special Meeting Proposals. If your
2
TABLE OF CONTENTS
shares of Duck Creek Common Stock are held in street name, your broker, bank, trust or other nominee has enclosed a
voting instruction form with the Proxy Statement. If you hold your shares in street name and give voting instructions
to your broker, bank, trust or other nominee with respect to one of the proposals, but give no instruction as to the
other proposal, then those shares will be deemed present at the Special Meeting for purposes of establishing a
quorum at the Special Meeting, will be voted as instructed with respect to the proposal as to which instructions were
given, and will not be voted with respect to any other proposal. We encourage you to authorize your broker, bank,
trust or other nominee to vote your shares “FOR” both of the Special Meeting Proposals by following the
instructions provided on the enclosed voting instruction form to provide your instructions over the Internet, by
telephone or by signing, dating and returning the voting instruction form in the postage-paid envelope provided. 
YOUR VOTE IS VERY IMPORTANT. We encourage all stockholders to vote electronically. Please submit your
proxy via the Internet or by telephone by following the instructions on the enclosed proxy card. If you do not have
access to a touch-tone phone or the Internet, you may alternatively vote by signing, dating and returning the
enclosed proxy card in the postage-paid envelope provided-even if you plan to attend the Special Meeting. If you
properly and timely submit your proxy, the individuals named as your proxy holders will vote your shares as you
have directed.
All shares entitled to vote and represented by properly submitted proxies (including those submitted via the
Internet, by telephone and by mail) received before the polls are closed at the Special Meeting, and not revoked or
superseded, will be voted at the Special Meeting in accordance with the instructions indicated on those proxies. If no
direction is indicated on a proxy card, such shares will be voted by the proxy holders named on the enclosed proxy
card according to the recommendation of Duck Creek’s board of directors (the “Board”) “FOR” both of the Special
Meeting Proposals.
Parties Involved in the Merger (page 28)",11,13
"DUCK CREEK TECHNOLOGIES, INC._20230228_DEFM14A_20680687_4596980.Pdf",Parties Involved in the Merger,"Parties Involved in the Merger (page 28)
Duck Creek Technologies, Inc.
Duck Creek is the leading cloud-based SaaS provider of core systems for the global property and casualty
(P&C) and general insurance industry. Core systems comprise the end-to-end back-office infrastructure of insurance
companies and include underwriting, rating and policy management; billing and payments; distribution management;
claims management; reinsurance management; and data insights. Insurance companies choose Duck Creek’s
solutions for its flexibility and seamless cloud-based deployment or on-premises deployment, based on a respective
insurance company’s technology strategy.
Duck Creek Common Stock is currently listed on the Nasdaq Global Select Market (“Nasdaq”) under the symbol
“DCT.”
Disco Parent, LLC
Disco Parent, LLC (“Parent”) was formed on January 6, 2023, solely for the purpose of engaging in the
transactions contemplated by the Merger Agreement, including the Merger and the related financing transactions.
Parent has not engaged in any business activities other than in connection with the transactions contemplated by
the Merger Agreement and arranging of the equity financing in connection with the merger. Upon completion of the
Merger, Duck Creek will be a direct, wholly owned subsidiary of Parent.
Disco Merger Sub, Inc.
Disco Merger Sub, Inc. (“Merger Sub”) is a direct, wholly owned subsidiary of Parent and was formed on
January 6, 2023, solely for the purpose of engaging in the transactions contemplated by the Merger Agreement,
including the Merger, and has not engaged in any business activities other than in connection with the transactions
contemplated by the Merger Agreement. Upon completion of the Merger, Merger Sub will cease to exist.
Parent and Merger Sub are each affiliated with Vista Equity Partners Fund VIII, L.P. (“Vista Fund VIII”), and Vista
Fund VIII is affiliated with Vista Equity Partners Management, LLC (“Vista”). Vista is a leading private equity firm
focused on investments in software, data and technology-enabled companies.
In connection with the transactions contemplated by the Merger Agreement, Vista Fund VIII has provided
Parent with an equity commitment of up to approximately $2.65 billion, which will be available, together with
3TABLE OF CONTENTS
cash on hand at Duck Creek as of the closing of the Merger (the “Closing”), to fund the aggregate merger
consideration and to pay the fees, expenses and other amounts required to be paid in connection with the Closing by
Duck Creek, Parent and Merger Sub. For more information, please see the section entitled “The Merger-Financing of
the Merger” beginning on page 76 of this Proxy Statement.
Effect of the Merger (page 28)",13,14
"DUCK CREEK TECHNOLOGIES, INC._20230228_DEFM14A_20680687_4596980.Pdf",Effect of the Merger,"Effect of the Merger (page 28)
The Merger Agreement provides that, upon the terms and subject to the conditions of the Merger Agreement,
and in accordance with the General Corporation Law of the State of Delaware (the “DGCL”), at the Effective Time (as
defined below), Merger Sub will be merged with and into Duck Creek, whereupon the separate corporate existence of
Merger Sub will thereupon cease, and Duck Creek will continue as the surviving corporation under the name “Duck
Creek Technologies, Inc.” (the “Surviving Corporation”). As a result of the Merger, the Surviving Corporation will
become a wholly owned subsidiary of Parent and Duck Creek Common Stock will no longer be publicly traded. In
addition, Duck Creek Common Stock will be delisted from Nasdaq and deregistered under the Securities Exchange
Act of 1934, as amended (the “Exchange Act”), in each case, in accordance with applicable laws, rules and
regulations, and Duck Creek will no longer file periodic reports with the United States Securities and Exchange
Commission (the “SEC”) on account of Duck Creek Common Stock. If the Merger is consummated, you will not own
any shares of capital stock of the Surviving Corporation. The “Effective Time” will occur upon the filing of a
certificate of merger (the “certificate of merger”) and its acceptance by the Secretary of State of the State of Delaware
(or at such later time as Duck Creek and Parent may agree and specify in the certificate of merger).
Merger Consideration (page 29)",14,14
"DUCK CREEK TECHNOLOGIES, INC._20230228_DEFM14A_20680687_4596980.Pdf",Merger Consideration,"Merger Consideration (page 29)
Duck Creek Common Stock
Upon the consummation of the Merger, each share of Duck Creek Common Stock outstanding as of immediately
prior to the Effective Time (other than shares of Duck Creek Common Stock that are (i)(A) held by Duck Creek or any
subsidiary of Duck Creek, (B) owned by the Parent and Merger Sub (collectively, the “Buyer Parties”) or (C) owned
by any direct or indirect wholly owned subsidiary of the Buyer Parties as of immediately prior to the Effective Time
(the “Owned Company Shares”) or (ii) issued and outstanding as of immediately prior to the Effective Time and held
by Company stockholders who have neither voted in favor of the Merger nor consented thereto in writing and who
have properly and validly exercised their statutory rights of appraisal in respect of such shares of Duck Creek
Common Stock in accordance with Section 262 of the DGCL (the “Dissenting Company Shares”)) will be cancelled
and extinguished and automatically converted into the right to receive cash in an amount equal to $19.00, without
interest thereon (the “Per Share Price” or the “Merger Consideration”). Each Owned Company Share will be cancelled
and extinguished without any conversion thereof or consideration paid therefor.
Treatment of Company RSAs, Company RSUs, Company Phantom Stock Awards, Company Options and
Company SARs
Company RSAs. At the Effective Time, each award of restricted Duck Creek Common Stock issued under the
Duck Creek Technologies, Inc. 2020 Omnibus Incentive Plan (the “Company Equity Plan”) (“Company RSA”),
whether vested or unvested, that is outstanding as of immediately prior to the Effective Time will be fully vested,
cancelled and automatically converted into the right to receive an amount in cash equal to (A) the number of shares
of Duck Creek Common Stock subject to such Company RSA, multiplied by (B) $19.00. Notwithstanding the
foregoing, the cash amount relating to each Company RSA granted after January 8, 2023 will not be fully vested and
will instead remain subject to the same terms and conditions and be paid out on the same vesting schedule as applied
to such Company RSA prior to the Effective Time, subject to the holder’s continued employment or service through
the applicable vesting date.
Company RSUs. At the Effective Time, each restricted stock unit award granted under the Company Equity Plan
(“Company RSU”), whether vested or unvested, that is outstanding as of immediately prior to the Effective Time will
be fully vested, cancelled and automatically converted into the right to receive an amount in cash equal to (A) the
number of shares of Duck Creek Common Stock subject to such Company RSU, multiplied by (B) $19.00.
Notwithstanding the foregoing, the cash amount relating to each Company RSU that was granted after January 8,
2023 will not be fully vested and will instead remain subject to the same terms and conditions and be paid out on the
same vesting schedule as applied to such Company RSU prior to the Effective Time, subject to the holder’s
continued employment or service through the applicable vesting date.
4TABLE OF CONTENTS
Company Phantom Stock Awards. At the Effective Time, each award that is measured by reference to a share of
Duck Creek Common Stock granted under the Company Equity Plan (“Company Phantom Stock Award”), whether
vested or unvested, that is outstanding as of immediately prior to the Effective Time will be fully vested, cancelled
and automatically converted into the right to receive an amount in cash equal to (A) the number of shares of Duck
Creek Common Stock measured by reference to such Company Phantom Stock Award, multiplied by (B) $19.00.
Company Options and Company SARs. At the Effective Time, each option to purchase shares of Duck Creek
Company Stock granted under the Company Equity Plan (“Company Option”) and each stock appreciation right
granted under the Company Equity Plan (“Company SAR”) will be cancelled immediately upon the Effective Time
without payment or consideration.
Effect on Duck Creek if the Merger is Not Consummated (page 29)",14,15
"DUCK CREEK TECHNOLOGIES, INC._20230228_DEFM14A_20680687_4596980.Pdf",Effect on Duck Creek if the Merger is Not Consummated,"Effect on Duck Creek if the Merger is Not Consummated (page 29)
If the Merger Agreement is not adopted by the Company stockholders, or if the Merger is not consummated for
any other reason:
•
the Company stockholders will not be entitled to, nor will they receive, any payment for their respective
shares of Duck Creek Common Stock pursuant to the Merger Agreement;
•
Duck Creek will remain an independent public company, the Duck Creek Common Stock will continue to be
listed and traded on the Nasdaq and registered under the Exchange Act, and Duck Creek will continue to
file periodic reports with the SEC on account of the Duck Creek Common Stock; and
•
under certain specified circumstances, Duck Creek may be required to pay Parent a termination fee of up to
$78,337,343 (the “Company Termination Fee”) upon the termination of the Merger Agreement. For more
information, please see the section entitled “Terms of the Merger Agreement-Company Termination Fee”
beginning on page 100 of this Proxy Statement.",15,15
"DUCK CREEK TECHNOLOGIES, INC._20230228_DEFM14A_20680687_4596980.Pdf",Recommendation and Reasons for the Merger,"Recommendation and Reasons for the Merger (page 48)
On January 8, 2023, a special committee of the Board, consisting entirely of independent and disinterested
directors (the “Special Committee”), after considering various factors, including those described herein, and after
consultation with the Special Committee’s independent legal and financial advisors, unanimously (i) determined that
it is in the best interests of the Company and its stockholders, and declared it advisable, to enter into the Merger
Agreement providing for the Merger in accordance with the DGCL, (ii) approved and adopted the Merger Agreement
and (iii) resolved to recommend that the Board approve and adopt the Merger Agreement.
On January 8, 2023, the Board, after considering various factors, including the unanimous recommendation of
the Special Committee, and the other factors described in the section entitled “The Merger-Recommendation and
Reasons for the Merger” beginning on page 48 of this Proxy Statement, and after consultation with Duck Creek’s
independent legal and financial advisors, (i) determined that it is in the best interests of the Company and its
stockholders, and declared it advisable, to enter into the Merger Agreement and consummate the Merger and the
other transactions contemplated by the Merger Agreement, (ii) declared it advisable and approved and adopted the
Merger Agreement, approved the execution and delivery of the Merger Agreement by the Company, the performance
by the Company of its covenants and other obligations thereunder, and the consummation of the Merger and the
other transactions contemplated by the Merger Agreement upon the terms and conditions set forth therein and (iii)
resolved to recommend that the Company stockholders vote in favor of the adoption of the Merger Agreement and
the approval of the Merger and the other transactions contemplated by the Merger Agreement.
The Board recommends that you vote (i) “FOR” the proposal to adopt the Merger Agreement, thereby
approving the Merger, the Merger Agreement and the other transactions contemplated thereby and (ii) “FOR” the
proposal to approve, by non-binding, advisory vote, compensation that will or may be payable by Duck Creek to its
named executive officers in connection with the Merger.
Opinions of Duck Creek’s Financial Advisors (page 55)",15,15
"DUCK CREEK TECHNOLOGIES, INC._20230228_DEFM14A_20680687_4596980.Pdf",Opinions of Duck Creek’s Financial Advisors,"Opinions of Duck Creek’s Financial Advisors (page 55)
Opinion of J.P. Morgan Securities LLC
In connection with the Merger, J.P. Morgan Securities LLC (“J.P. Morgan”), the Company’s financial advisor,
delivered to the Board on January 8, 2023 an oral opinion, which was confirmed by delivery of a
5TABLE OF CONTENTS
written opinion dated January 9, 2023, to the effect that, as of the date of such opinion and based upon and subject
to the assumptions made, procedures followed, matters considered, and limitations on the review undertaken by J.P.
Morgan in preparing its opinion, the consideration to be paid to the holders of Duck Creek Common Stock in the
Merger was fair, from a financial point of view, to such holders.
The full text of the written opinion of J.P. Morgan, dated January 9, 2023, which sets forth, among other
things, the assumptions made, procedures followed, matters considered and limitations on the review undertaken by
J.P. Morgan in preparing its opinion, is attached as Annex B-1 to this Proxy Statement and is incorporated herein
by reference. The summary of the opinion of J.P. Morgan set forth in this Proxy Statement is qualified in its
entirety by reference to the full text of such opinion. The Company’s stockholders are urged to read J.P. Morgan’s
opinion in its entirety. J.P. Morgan’s opinion was addressed to the Board (in its capacity as such) in connection with
and for the purposes of its evaluation of the proposed Merger, was limited to the fairness, from a financial point of
view, of the consideration to be paid to the holders of Duck Creek Common Stock in the proposed Merger and did
not express any opinion as to the fairness of any consideration paid in connection with the proposed Merger to the
holders of any other class of securities, creditors or other constituencies of the Company or as to the underlying
decision by the Company to engage in the proposed Merger. The issuance of J.P. Morgan’s opinion was approved by
a fairness opinion committee of J.P. Morgan. J.P. Morgan’s opinion does not constitute a recommendation to any
stockholder of the Company as to how any stockholder of the Company should vote with respect to the proposed
Merger or any other matter. For a description of the opinion that the Board received from J.P. Morgan, see the
section entitled “Opinions of Duck Creek’s Financial Advisors - Opinion of J.P. Morgan Securities LLC”
beginning on page 55 of this Proxy Statement.
Opinion of Evercore Group L.L.C.
The Special Committee of the Board retained Evercore Group L.L.C. (“Evercore”) to act as its financial advisor in
connection with the Special Committee’s evaluation of strategic and financial alternatives including, but not limited
to, a merger or sale of all or a majority of the equity, business or assets of the Company, regardless of the form or
structure thereof, or other significant corporate transaction. As part of this engagement, the Special Committee
requested that Evercore evaluate the fairness, from a financial point of view, of the Merger Consideration to be
received by the holders of Duck Creek Common Stock. At a meeting of the Special Committee held on January 8, 2023,
Evercore rendered to the Special Committee its opinion to the effect that, as of that date and based upon and subject
to the assumptions, limitations, qualifications and conditions described in Evercore’s opinion, the Merger
Consideration of $19.00 per share to be received by the holders of Duck Creek Common Stock in the Merger was fair,
from a financial point of view, to such holders.
The full text of the written opinion of Evercore, dated January 8, 2023, which sets forth, among other things,
the procedures followed, assumptions made, matters considered and qualifications and limitations on the scope of
review undertaken in rendering its opinion, is attached as Annex B-2 to this Proxy Statement and is incorporated
herein by reference. The Company encourages you to read this opinion carefully and in its entirety. Evercore’s
opinion was addressed to, and provided for the information and benefit of, the Special Committee (in its capacity as
such) in connection with its evaluation of the proposed Merger. The opinion does not constitute a recommendation to
the Special Committee or to any other persons in respect of the Merger, including as to how any holder of shares of
Duck Creek Common Stock should vote or act in respect of the Merger. Evercore’s opinion does not address the
relative merits of the Merger as compared to other business or financial strategies that might be available to the
Company, nor does it address the underlying business decision of the Company to engage in the Merger. 
Interests of the Directors and Executive Officers of Duck Creek in the Merger (page 72)",15,16
"DUCK CREEK TECHNOLOGIES, INC._20230228_DEFM14A_20680687_4596980.Pdf",Interests of the Directors and Executive Officers of Duck Creek in the Merger,"Interests of the Directors and Executive Officers of Duck Creek in the Merger (page 72)
When considering the recommendation of the Board that you vote to approve the proposal to adopt the Merger
Agreement, you should be aware that Duck Creek’s directors and executive officers may have interests in the Merger
that are different from, or in addition to, your interests as a stockholder. The Board was aware of and considered
these interests to the extent such interests existed at the time, among other matters, in evaluating and negotiating the
Merger Agreement, in approving the Merger Agreement and the Merger and in recommending that the Merger
Agreement be adopted by Company stockholders. These interests include the following:
•
the acceleration and cash out of certain equity-based awards held by Duck Creek’s executive officers and
members of the Board as of the Effective Time;
6TABLE OF CONTENTS
•
the entitlement of each of Duck Creek’s executive officers to receive payments and benefits under the
executive officer’s applicable employment agreement in the event of a qualifying termination of employment
(as described in the applicable executive officer’s employment agreement); and
•
the continued indemnification and directors’ and officers’ liability insurance to be provided by the
Surviving Corporation.
See the section entitled “The Merger-Interests of the Directors and Executive Officers of Duck Creek in the
Merger” beginning on page 72 of this Proxy Statement for a more detailed description of these interests.
If the proposal to adopt the Merger Agreement is approved by Company stockholders, the shares of Duck
Creek Common Stock held by Duck Creek’s directors and executive officers will be treated in the same manner as
outstanding shares of Duck Creek Common Stock held by all other Company stockholders entitled to receive the
Merger Consideration.
Financing of the Merger (page 76)",16,17
"DUCK CREEK TECHNOLOGIES, INC._20230228_DEFM14A_20680687_4596980.Pdf",Financing of the Merger,"Financing of the Merger (page 76)
The obligation of the Buyer Parties to consummate the Merger is not subject to any financing condition. In
connection with the financing of the Merger, Vista Fund VIII and Parent entered into an equity commitment letter,
dated as of January 8, 2023 (the “Equity Commitment Letter”), pursuant to which, among other things, Vista Fund VIII
will provide Parent with an equity commitment of up to approximately $2.65 billion in cash, which will be available,
together with cash on hand at Duck Creek as of the Closing, to fund the aggregate Merger Consideration (including
payments in respect of the Company’s outstanding equity-based awards payable in connection with the Closing
pursuant to the Merger Agreement) and to pay the fees, expenses and other amounts required to be paid in
connection with the Closing by Duck Creek and the Buyer Parties. Duck Creek has a contractual right to enforce the
Equity Commitment Letter against Vista Fund VIII and, under the terms of the Merger Agreement, Duck Creek has the
right to specifically enforce the Parent’s obligation to consummate the Merger, subject to the satisfaction of the
conditions to the Buyer Parties’ obligations to consummate the Merger set forth in the Merger Agreement.
Pursuant to the limited guarantee delivered by Vista Fund VIII in favor of Duck Creek, dated as of January 8,
2023 (the “Limited Guarantee”), Vista Fund VIII agreed to guarantee the payment of all of the liabilities and
obligations of the Buyer Parties under the Merger Agreement, subject to an aggregate cap equal to $156,674,686, plus
amounts in respect of certain reimbursement and indemnification obligations of the Buyer Parties for certain costs,
expenses or losses incurred or sustained by Duck Creek and its subsidiaries (the “Parent Liability Limitation”). For
more information, please see the section entitled “The Merger-Financing of the Merger” beginning on page 76 of this
Proxy Statement.",17,17
