Document,Section Header,Section Text,Start Page,End Page
"Echo Global Logistics, Inc._20211021_DEFM14A_19595960_4315476.Pdf",SUMMARY,"SUMMARY
This summary highlights selected information contained in this proxy statement, including with respect to
the merger agreement and the merger. We encourage you to, and you should, read carefully this entire
proxy statement, its annexes and the documents referred to or incorporated by reference in this proxy
statement, as this summary may not contain all of the information that may be important to you in
determining how to vote. We have included page references to direct you to a more complete description of
the topics presented in this summary. You may obtain the information incorporated by reference into this
proxy statement without charge by following the instructions under the section entitled “Where You Can
Find Additional Information.”",9,9
"Echo Global Logistics, Inc._20211021_DEFM14A_19595960_4315476.Pdf",The Companies (page 22),"The Companies (page 22)
Echo
Echo Global Logistics, Inc., a Delaware corporation, referred to as “Echo,” the “Company,” “we,” “our” or
“us,” is a leading provider of technology-enabled transportation and supply chain management solutions.
We utilize a proprietary technology platform to compile and analyze data from our multi-modal network of
transportation providers to satisfy the transportation and logistics needs of our clients. Our platform enables
us to quickly adapt to and offer efficient and cost-effective solutions for our clients’ shipping needs. We
focus primarily on arranging transportation with truckload and less than truckload carriers. We also offer
intermodal (which involves moving a shipment by rail and truck), small parcel, domestic air, expedited and
international transportation services. Our core logistics services, primarily brokerage and transportation
management services, include carrier selection, dispatch, load management and tracking. We are a Delaware
corporation incorporated in 2006 and based in Chicago, Illinois. We completed our initial public offering in
October 2009, and our common stock, par value $0.0001, is listed on the Nasdaq Global Market (the
“Nasdaq”) under the symbol “ECHO.”
Echo has one operating segment, technology enabled transportation and supply chain management services.
In fiscal year 2020, the Company had revenue of approximately $2.5 billion. Echo employed approximately
2,405 employees as of September 30, 2021.
Additional information about the Company is contained in our public filings, which are incorporated by
reference herein. See the sections entitled “Where You Can Find Additional Information” and “The
Companies - Echo.”
Einstein MidCo, LLC
Einstein MidCo, LLC, referred to as “Buyer,” was organized in New Castle County in the state of Delaware.
Its principal corporate offices are located in New York, New York.
Buyer is owned and controlled by funds managed by The Jordan Company, L.P. (“TJC”), a global private
equity firm. TJC invests in and contributes to the growth of many businesses across a wide range of
industries, including Consumer & Healthcare; Industrials; Technology, Telecom & Utility; and
Transportation & Logistics.
See the section entitled “The Companies - Einstein MidCo, LLC”
Einstein Merger Sub, Inc.
Einstein Merger Sub, Inc., referred to as “Merger Sub,” is a Delaware corporation and an indirect wholly
owned subsidiary of Buyer that will function as the merger subsidiary in the merger.
See the section entitled “The Companies - Einstein Merger Sub, Inc.”",9,9
"Echo Global Logistics, Inc._20211021_DEFM14A_19595960_4315476.Pdf",The Special Meeting (Page 23),"The Special Meeting (Page 23)
Date, Time and Place
The Special Meeting of Echo stockholders will be held on November 19, 2021 at 9:00 a.m. CT. This Special
Meeting will be a “virtual meeting” conducted solely online. You will be able to attend the Special
4 • 
• 
• 
TABLE OF CONTENTS
meeting online by logging in at www.virtualshareholdermeeting.com/ECHO2021SM. You will not be able to
attend the Special Meeting in person. The Special Meeting is being held to consider and vote on the
following proposals:
to vote on a proposal to adopt and approve the merger agreement, the “merger proposal”;
to vote on a proposal to approve, on a non-binding advisory basis, specified compensation that may
become payable to the named executive officers of the Company in connection with the merger, the
“advisory compensation proposal”; and
to vote on a proposal to approve one or more adjournments of the Special Meeting, if necessary, to
solicit additional proxies if there are insufficient votes cast at the time of the Special Meeting or any
adjournment or postponement of the Special Meeting to approve the merger proposal, the
“adjournment proposal.”
Completion of the merger is conditioned on, among other things, the approval of the merger proposal by
holders of Echo common stock. Approval of the advisory compensation proposal and the adjournment
proposal are not conditions to the obligation of the Company to complete the merger.
Record Date; Shares Entitled to Vote
You are entitled to vote at the Special Meeting if you owned shares of Echo common stock at the close of
business on October 20, 2021 (the “record date”). Each holder of Echo common stock shall be entitled to one
(1) vote for each such share owned at the close of business on the Record Date.
As of the close of business on October 20, 2021, there were 26,630,895 shares of the Company common stock
outstanding and entitled to vote at the Special Meeting.
A complete list of Echo stockholders entitled to vote at the Special Meeting will be available for inspection
at Echo’s principal place of business during regular business hours for a period of no less than 10 days
before the Special Meeting at 600 West Chicago Avenue, Suite 725, Chicago, IL 60654. If Echo’s headquarters
are closed for health and safety reasons related to the COVID-19 pandemic during such period, the list of
Echo stockholders will be made available for inspection upon request to Echo’s Investor Relations
department at ir@Echo.com, subject to the satisfactory verification of stockholder status. The list of Echo
stockholders entitled to vote at the Special Meeting will also be made available for inspection during the
Special Meeting via the Special Meeting website at www.virtualshareholdermeeting.com/ECHO2021SM.
Quorum; Abstentions and Broker Non-Votes
The holders of a majority of the shares of Company common stock issued and outstanding and entitled to
vote thereat, virtually present in person, by remote communication or represented by proxy will constitute a
quorum at the Special Meeting. Abstentions, withhold votes, and broker non-votes are counted as shares
present and entitled to vote for the purposes of determining a quorum.
Required Vote to Approve the Merger Proposal
Approval of the merger proposal requires the affirmative vote of a majority of the voting power of all issued
and outstanding shares of Echo common stock as of the close of business on the record date and entitled to
vote on the proposal. Abstentions and broker non-votes will have the same effect as a vote “AGAINST” the
merger proposal. Failure to vote on the merger proposal will have the same effect as a vote “AGAINST” the
merger proposal.
Required Vote to Approve the Non-Binding Compensation Advisory Proposal
Approval of the non-binding compensation advisory proposal requires the affirmative vote of a majority of
the shares of our common stock present in person or represented by proxy at the Special Meeting and
entitled to vote. Abstentions and broker non-votes will count as a vote “AGAINST” the advisory proposal.
5 
• 
• 
TABLE OF CONTENTS​
Required Vote to Approve the Adjournment Proposal
Approval of the adjournment proposal requires the affirmative vote of a majority of the shares of our
common stock present in person or represented by proxy at the Special Meeting and entitled to vote.
Abstentions and broker non-votes will count as a vote “AGAINST” the adjournment proposal.",9,11
"Echo Global Logistics, Inc._20211021_DEFM14A_19595960_4315476.Pdf",The Merger (page 27),"The Merger (page 27)
You will be asked to consider and vote upon the proposal to approve the Agreement and Plan of Merger,
dated as of September 9, 2021, by and among Buyer, Merger Sub and Echo, which, as it may be amended from
time to time, is referred to in this proxy statement as the “merger agreement”. A copy of the merger agreement
is attached as Annex A. The merger agreement provides, among other things, that at the effective time of the
merger (the “effective time”), Merger Sub will be merged with and into the Company, with the Company
surviving the merger (the “surviving corporation”). In the merger, each share of common stock, par value
$0.0001, of Echo (referred to in this proxy statement as the “common stock,” the “Company common stock”
or the “Echo common stock”) issued and outstanding immediately before the effective time (other than
certain shares specified in the merger agreement) will be converted into the right to receive the merger
consideration of $48.25 per share in cash, without interest. Buyer, Echo, Merger Sub, and the paying agent
for the merger consideration will each be entitled to deduct and withhold any amounts due under applicable
tax laws from the amounts that would otherwise be payable under the terms of the merger agreement. Upon
completion of the merger, Echo will continue its existence as a Delaware corporation and will be a wholly
owned subsidiary of Buyer, the Echo common stock will no longer be publicly traded and Echo’s existing
stockholders will cease to have any ownership interest in Echo.",11,11
"Echo Global Logistics, Inc._20211021_DEFM14A_19595960_4315476.Pdf",Treatment of Company Equity Awards (page 60),"Treatment of Company Equity Awards (page 60)
Restricted Stock. At the effective time, each outstanding share of restricted stock will be canceled and
converted into the right to receive (without interest) an amount in cash equal to the per share merger
consideration less applicable taxes required to be withheld with respect to such payment, as provided in the
merger agreement.
Performance Shares. At the effective time, each outstanding performance share, to the extent unvested, shall
vest either (1) as if the target level of performance had been achieved as of the effective time or (2) if
specifically provided under an individual employment agreement or award agreement in the event of a
“change of control,” at the greater of target or actual performance through the closing. All vested
performance shares shall be canceled and converted into the right to receive (without interest) an amount in
cash equal to the product of (1) the total number of such vested performance shares multiplied by (2) the per
share merger consideration less applicable taxes required to be withheld with respect to such payment, as
provided in the merger agreement.
Restricted Stock Units. At the effective time, each outstanding restricted stock unit, vested or unvested, will
be a canceled and converted into the right to receive (without interest) an amount in cash equal to the per
share merger consideration less applicable taxes required to be withheld with respect to such payment, as
provided in the merger agreement.",11,11
"Echo Global Logistics, Inc._20211021_DEFM14A_19595960_4315476.Pdf",Conditions to Completion of the Merger (page 76),"Conditions to Completion of the Merger (page 76)
Each party’s obligation to complete the merger is subject to the satisfaction or waiver at or prior to the
closing of the following conditions:
the approval of the merger agreement by holders of a majority of the outstanding shares of the
Company’s common stock entitled to vote on such matter at the Special Meeting (the “requisite
company vote”);
the expiration or earlier termination of the waiting periods applicable to the completion of the merger
under the Hart-Scott-Rodino Antitrust Improvements Act of 1976, as amended (the “HSR Act”); and
no law, order or injunction having been enacted, issued, promulgated, enforced or entered by a court
or other governmental entity of competent jurisdiction is in effect and that restrains, enjoins or
otherwise prohibits the completion of the merger.
6",11,12
"Echo Global Logistics, Inc._20211021_DEFM14A_19595960_4315476.Pdf",When the Merger Becomes Effective (page 59),"When the Merger Becomes Effective (page 59)
As of the date of the filing of this proxy statement, we expect to complete the merger during the second half
of calendar year 2021. However, completion of the merger is subject to the satisfaction or waiver of the
conditions to the completion of the merger, which are described in this proxy statement and include
regulatory clearances, and it is possible that the merger will not be completed until a later time, or at all.
There may be a substantial amount of time between the Special Meeting and the completion of the merger.
After the requisite vote is obtained, the Company’s Board of Directors (referred to in this proxy statement as
the “Board,” “the Company’s Board” or “Echo’s Board”) will not have the right to terminate the merger
agreement in order to accept any acquisition proposal. We expect to complete the merger promptly after the
requisite vote is obtained and all required regulatory clearances have been received.",12,12
"Echo Global Logistics, Inc._20211021_DEFM14A_19595960_4315476.Pdf",Recommendation of the Board (page 37),"Recommendation of the Board (page 37)
After careful consideration, the Company’s Board unanimously determined that the merger agreement and
the transactions contemplated thereby, including the merger, are advisable and fair to, and in the best
interests of, Echo and its stockholders, and unanimously approved and declared it advisable to enter into the
merger agreement, and approve the execution, delivery and performance of the merger agreement and
7 • 
• 
• 
TABLE OF CONTENTS​
consummation of the transactions contemplated thereby, including the merger (the “company
recommendation”). The Company’s Board unanimously recommends that the Company’s stockholders vote “FOR”
the merger proposal.",12,13
"Echo Global Logistics, Inc._20211021_DEFM14A_19595960_4315476.Pdf",Reasons for the Merger (page 37),"Reasons for the Merger (page 37)
For a description of the reasons considered by the Company’s Board in resolving to recommend approval of
the merger agreement, see the section entitled “The Merger (Proposal 1) - Reasons for the Merger;
Recommendation of Echo’s Board.”",13,13
"Echo Global Logistics, Inc._20211021_DEFM14A_19595960_4315476.Pdf",Opinion of Morgan Stanley (page 42),"Opinion of Morgan Stanley (page 42)
On September 9, 2021, Morgan Stanley & Co. LLC (“Morgan Stanley”) rendered its oral opinion, which was
subsequently confirmed in writing, to the Company’s Board to the effect that, as of the date of such opinion,
and based upon and subject to the assumptions made, procedures followed, matters considered and
qualifications and limitations on the scope of review undertaken by Morgan Stanley as set forth in its written
opinion, the merger consideration to be received by the holders of shares of Company common stock
pursuant to the merger agreement was fair, from a financial point of view, to the holders of Company common
stock (other than the holders of the Excluded Shares (as defined below) or any of Buyer’s affiliates).
The full text of the written opinion of Morgan Stanley to the Company’s Board, dated as of September 9,
2021, is attached as Annex B and is incorporated by reference into this proxy statement in its entirety. The
opinion sets forth, among other things, the assumptions made, procedures followed, matters considered and
qualifications and limitations on the scope of review undertaken by Morgan Stanley in rendering its opinion.
Stockholders of the Company are urged to read the opinion carefully and in its entirety. Morgan Stanley’s
opinion was directed to the Company’s Board, in its capacity as such, and addressed only the fairness from a
financial point of view, as of the date of the opinion, of the merger consideration to be received pursuant to
the merger agreement by the holders of shares of Company common stock (other than the holders of the
Excluded Shares or any of Buyer’s affiliates). Morgan Stanley’s opinion did not address any other term or
aspect of the merger agreement or the transactions contemplated thereby or any term or aspect of any other
agreement or instrument contemplated by the merger agreement or entered into or amended in connection
therewith and does not address the relative merits of the merger as compared to any other alternative
business transaction, or other alternatives, or whether or not such alternatives could be achieved or are
available. It was not intended to, and does not, constitute an opinion or recommendation as to how the
holders of shares of Company common stock should vote at any stockholders’ meeting to be held in
connection with the merger. The summary of Morgan Stanley’s opinion set forth in this proxy statement is
qualified in its entirety by reference to the full text of Morgan Stanley’s opinion.
For further information, see the section entitled “The Merger (Proposal 1) - Opinion of Morgan Stanley”
and Annex B.",13,13
