Document,Section Header,Section Text,Start Page,End Page
"Hill-Rom Holdings, Inc._20211020_DEFM14A_19594022_4314928.Pdf",SUMMARY,"SUMMARY
This summary highlights information contained elsewhere in this proxy statement and may not contain all the
information that is important to you with respect to the merger. We urge you to read carefully the remainder of this
proxy statement, including the attached annexes, and the other documents to which we have referred you. For
additional information on Hillrom included in documents incorporated by reference into this proxy statement, see the
section entitled “Where You Can Find More Information” beginning on page 85 of this proxy statement. We have
included page references in this summary to direct you to a more complete description of the topics presented below.
Unless otherwise indicated or as the context otherwise requires, all references to “Hillrom,” “we,” “us,” or “our” in
this proxy statement refer to Hill-Rom Holdings, Inc., an Indiana corporation; all references to “Baxter” refer to Baxter
International Inc., a Delaware corporation; all references to “Merger Sub” refer to Bel Air Subsidiary Inc., an Indiana
corporation and a wholly owned subsidiary of Baxter formed for the sole purpose of effecting the merger; all
references to “Hillrom common stock” refer to the common stock, no par value, of Hillrom; all references to the
“Hillrom Board” refer to the board of directors of Hillrom; all references to the “merger” refer to the proposed merger
of Merger Sub with and into Hillrom with Hillrom surviving as a direct wholly owned subsidiary of Baxter; all
references to the “merger agreement” refer to the Agreement and Plan of Merger, dated as of September 1, 2021, as it
may be amended from time to time, by and among Hillrom, Baxter, and Merger Sub, a copy of which is included as
Annex A to this proxy statement. Hillrom, following the completion of the merger, is sometimes referred to in this
proxy statement as the “surviving corporation.”
The Parties to the Merger
Hill-Rom Holdings, Inc. (see page 20)",9,9
"Hill-Rom Holdings, Inc._20211020_DEFM14A_19594022_4314928.Pdf","Hill-Rom Holdings, Inc.","Hill-Rom Holdings, Inc. (see page 20)
130 E. Randolph Street
Suite 1000
Chicago, Illinois 60601 
(312) 819-7200
Hill-Rom Holdings, Inc. (“Hillrom”) is a global medical technology leader whose mission is to enhance outcomes for
patients and their caregivers by Advancing Connected Care™. Hillrom’s products and services help enable earlier
diagnosis and treatment, optimize surgical efficiency and accelerate patient recovery while simplifying clinical
communication and shifting care closer to home. Shares of Hillrom common stock are listed with, and trade on, the
New York Stock Exchange (the “NYSE”) under the symbol “HRC.” For additional information, visit www.hillrom.com.
The information provided on the Hillrom website is not part of this proxy statement and is not incorporated in this
proxy statement by reference or by any other reference to the Hillrom website provided in this proxy statement.
Our principal executive offices are maintained at 130 E. Randolph Street, Suite 1000, Chicago, Illinois 60601, telephone
number (312) 819-7200.
Baxter International Inc. (see page 20)",9,9
"Hill-Rom Holdings, Inc._20211020_DEFM14A_19594022_4314928.Pdf",Baxter International Inc.,"Baxter International Inc. (see page 20)
Baxter International Inc.
One Baxter Parkway
Deerfield, Illinois 60015
(224) 948-2000
Baxter International Inc. (“Baxter”) is a leading global medical products company which, through its subsidiaries,
provides a broad portfolio of essential healthcare products used by hospitals, kidney dialysis centers, nursing
homes, rehabilitation centers, doctors’ offices and by patients at home under physician supervision. Baxter’s global
footprint and the critical nature of its products and services play a key role in expanding access to healthcare in
emerging and developed countries. As of December 31, 2020, Baxter manufactured products in over 20 countries and
sold them in over 100 countries. For additional information, visit www.baxter.com. The Baxter website address is
provided as an inactive textual reference only. The information provided on the Baxter website is not part of this
proxy statement and is not incorporated in this proxy statement by reference or by any other reference to the Baxter
website provided in this proxy statement.
Baxter common stock is listed on the NYSE, NYSE Chicago and SIX Swiss Exchange under the ticker symbol “BAX.”
1TABLE OF CONTENTS
Baxter’s principal executive offices are located at One Baxter Parkway, Deerfield, Illinois 60015, and its telephone
number is (224) 948-2000.
Bel Air Subsidiary Inc. (see page 20)",9,10
"Hill-Rom Holdings, Inc._20211020_DEFM14A_19594022_4314928.Pdf",Bel Air Subsidiary Inc.,"Bel Air Subsidiary Inc. (see page 20)
Bel Air Subsidiary Inc.
c/o Baxter International Inc.
One Baxter Parkway
Deerfield, Illinois 60015
(224) 948-2000
Bel Air Subsidiary Inc. (“Merger Sub”) was formed solely for the purposes of entering into the merger agreement and
engaging in the transactions contemplated by the merger agreement. Merger Sub is a direct, wholly-owned
subsidiary of Baxter and has not carried on any activities or operations to date, except for those activities incidental
to its formation and the transactions contemplated by the merger agreement. Upon consummation of the merger,
Merger Sub will be merged with and into Hillrom and will cease to exist, with Hillrom surviving the merger as a wholly-
owned subsidiary of Baxter.
Merger Sub’s principal executive offices are located at One Baxter Parkway, Deerfield, Illinois 60015, and its telephone
number is (224) 948-2000.
The Merger
A copy of the merger agreement is attached as Annex A to this proxy statement. We encourage you to read the entire
merger agreement carefully because it is the principal document governing the merger. For more information on the
merger agreement, see the section entitled “The Merger Agreement” beginning on page 55 of this proxy statement.
Structure of the Merger (see page 55)",10,10
"Hill-Rom Holdings, Inc._20211020_DEFM14A_19594022_4314928.Pdf",Structure of the Merger,"Structure of the Merger (see page 55)
If the merger is completed, then, at the effective time of the merger (the “effective time”), Merger Sub will be merged
with and into Hillrom. Hillrom will survive the merger as a direct wholly owned subsidiary of Baxter.",10,10
"Hill-Rom Holdings, Inc._20211020_DEFM14A_19594022_4314928.Pdf",Treatment of Common Stock,"Treatment of Common Stock (see page 56)
Upon the terms and subject to the conditions of the merger agreement, at the effective time, each share of Hillrom
common stock issued and outstanding immediately prior to the effective time (other than shares of Hillrom common
stock owned by Baxter, Merger Sub, any wholly owned subsidiary of Baxter, Hillrom or any wholly owned subsidiary
of Hillrom, in each case, other than certain of such shares held on behalf of third parties (collectively, the “excluded
shares”)) will be automatically cancelled and converted into the right to receive cash in the amount of $156.00,
without interest (the “per share merger consideration”), subject to any required tax withholding.
No Dissenters’ Rights (see page 54)",10,10
"Hill-Rom Holdings, Inc._20211020_DEFM14A_19594022_4314928.Pdf",No Dissenters’ Rights,"No Dissenters’ Rights (see page 54)
Under Indiana law, holders of Hillrom common stock are not entitled to dissenters’ rights in connection with the
merger.",10,10
"Hill-Rom Holdings, Inc._20211020_DEFM14A_19594022_4314928.Pdf",Treatment of Outstanding Equity Awards,"Treatment of Outstanding Equity Awards (see page 49)
The merger agreement provides that outstanding Hillrom equity awards will be treated as follows at the effective time,
subject to all required withholding taxes:
Each outstanding Hillrom stock option will become fully vested and be automatically cancelled and converted into
the right to receive a cash amount equal to the product of (x) the number of shares of Hillrom common stock
underlying such stock option immediately prior to the effective time and (y) (i) the excess, if any, of the per share
merger consideration over (ii) the per share exercise price of such stock option, less applicable taxes. Each Hillrom
stock option with a per share exercise price equal to or greater than the per share merger consideration will be
cancelled at the effective time with no consideration.
Each outstanding Hillrom restricted stock unit award (a “Hillrom RSU Award”) granted before the date of the merger
agreement and each outstanding Hillrom RSU Award granted on or after the date of the merger agreement
2TABLE OF CONTENTS
to a Hillrom non-employee director will become fully vested and be automatically cancelled and converted into the
right to receive a cash amount equal to the product of (x) the number of shares of Hillrom common stock underlying
such Hillrom RSU Award immediately prior to the effective time and (y) the per share merger consideration, less
applicable taxes.
Each outstanding Hillrom RSU Award granted on or after the date of the merger agreement excluding any such
Hillrom RSU Award granted to a non-employee director (a “Post-Signing Hillrom RSU Award”) will be converted
automatically into a Baxter restricted stock unit award with respect to the number of shares of Baxter common stock
determined by multiplying: (x) the number of shares of Hillrom common stock subject to such Post-Signing Hillrom
RSU Award immediately prior to the effective time by (y) the quotient obtained by dividing (A) the per share merger
consideration by (B) the per share average closing price of Baxter common stock for the consecutive period of ten
(10) trading days immediately preceding (but not including) the last trading day prior to the closing date. Such
converted award will otherwise continue on the same terms and conditions as were applicable under such Hillrom
RSU Award, including any provisions for acceleration of vesting.
Each outstanding Hillrom performance-based restricted stock unit award (a “Hillrom PRSU Award”) will become fully
vested and be automatically cancelled and converted into the right to receive a cash amount equal to the product of
(x) the number of shares of Hillrom common stock underlying such Hillrom PRSU Award immediately prior to the
effective time based on a payout percentage of 146% (in the case of such award granted in Hillrom’s 2020 fiscal year)
or 187.5% (in the case of such award granted in Hillrom’s 2021 fiscal year) and (y) the per share merger consideration,
less applicable taxes.
Prior to the effective time, the Hillrom Board or a committee thereof, as applicable, will adopt resolutions providing
that: (i) except for the offer period that was ongoing as of the date of the merger agreement (the “final offering
period”), no offering period shall be authorized or commenced on or after the date of the merger agreement, (ii) each
Hillrom Employee Stock Purchase Plan (“ESPP”) participant’s accumulated contributions under the Hillrom ESPP shall
be used to purchase shares of Hillrom common stock as of the end of the final offering period in accordance with the
Hillrom ESPP, (iii) the applicable purchase price for shares shall not be decreased below the levels set forth in the
ESPP as of the date of the merger agreement and (iv) the ESPP shall terminate at the effective time.
Recommendation of the Hillrom Board of Directors (see page 21)",10,11
"Hill-Rom Holdings, Inc._20211020_DEFM14A_19594022_4314928.Pdf",Recommendation of the Hillrom Board of Directors,"Recommendation of the Hillrom Board of Directors (see page 21)
After careful consideration, the Hillrom Board unanimously approved and adopted the merger agreement, the merger,
and the other transactions contemplated by the merger agreement. Certain factors considered by the Hillrom Board in
reaching its decision to approve and adopt the merger agreement, the merger, and the other transactions
contemplated by the merger agreement can be found in the section entitled “The Merger-Reasons for the Merger.”
The Hillrom Board unanimously recommends that shareholders vote:
•
“FOR” the proposal to approve the merger agreement;
•
“FOR” the proposal to adjourn the special meeting, if necessary or appropriate, to solicit additional proxies
in favor of the proposal to approve the merger agreement if there are not sufficient votes at the time of such
adjournment to approve the merger agreement (the “adjournment proposal”); and
•
“FOR” the proposal to approve, on a non-binding, advisory basis, certain compensation that will or may
be paid or become payable to Hillrom’s named executive officers that is based on or otherwise relates to the
merger (the “named executive officer merger-related compensation proposal”).
Opinion of Goldman Sachs & Co. LLC (see page 34)",11,11
"Hill-Rom Holdings, Inc._20211020_DEFM14A_19594022_4314928.Pdf",Opinion of Goldman Sachs & Co. LLC,"Opinion of Goldman Sachs & Co. LLC (see page 34)
Goldman Sachs & Co. LLC (“Goldman Sachs”) delivered its opinion to the Hillrom Board that, as of September 1, 2021
and based upon and subject to the factors and assumptions set forth therein, the per share merger consideration to
be paid to the holders of shares of Hillrom common stock (other than Baxter and its affiliates), pursuant to the merger
agreement was fair from a financial point of view to such holders of shares of Hillrom common stock.
The full text of the written opinion of Goldman Sachs, dated September 1, 2021, which sets forth assumptions made,
procedures followed, matters considered and limitations on the review undertaken in connection with the opinion, is
attached as Annex B. Goldman Sachs provided advisory services and its opinion for the information and
3TABLE OF CONTENTS
assistance of the Hillrom Board in connection with its consideration of the merger. The Goldman Sachs opinion is not
a recommendation as to how any holder of shares of Hillrom common stock should vote with respect to the merger,
the merger agreement or the transactions contemplated thereby or any other matter. Pursuant to an engagement letter
between Hillrom and Goldman Sachs, Hillrom has agreed to pay Goldman Sachs a transaction fee that is estimated,
based on the information available as of the date of the merger agreement, at approximately $86 million, all of which is
contingent upon consummation of the merger. See the section entitled “The Merger-Opinion of Goldman Sachs & Co.
LLC” beginning on page 34 of this proxy statement.",11,12
