Document,Section Header,Section Text,Start Page,End Page
IROBOT CORP_20220907_DEFM14A_20329897_4514467.Pdf,SUMMARY,"SUMMARY
This summary highlights selected information contained in this proxy statement, including with respect to the merger agreement and the
merger. We encourage you to, and you should, read carefully this entire proxy statement, its annexes and the documents referred to or incorporated
by reference in this proxy statement, as this summary may not contain all of the information that may be important to you in determining how to
vote. We have included page references to direct you to a more complete description of the topics presented in this summary. You may obtain the
information incorporated by reference into this proxy statement without charge by following the instructions under the section entitled “Where
You Can Find Additional Information.”
The Special Meeting (page 29)",9,9
IROBOT CORP_20220907_DEFM14A_20329897_4514467.Pdf,The Special Meeting,"The Special Meeting (page 29)
Date, Time and Place of the Special Meeting",9,9
IROBOT CORP_20220907_DEFM14A_20329897_4514467.Pdf,"Date, Time and Place of the Special Meeting","Date, Time and Place of the Special Meeting
This proxy statement is being furnished to our stockholders as part of the solicitation of proxies by the iRobot Corporation (“iRobot” or the
“Company”) Board of Directors (the “iRobot board of directors”) for use at the special meeting to be held virtually on October 17, 2022, at 8:30 a.m.
Eastern Time, or at any adjournment or postponement thereof (the “special meeting”). The Company will hold the special meeting virtually via the
Internet at www.virtualshareholdermeeting.com/IRBT2022SM (the “virtual meeting website”). You will not be able to attend the special meeting
physically in person.
For information regarding attending the meeting, please see “The Special Meeting — Voting; Proxies; Revocation — Attendance.”
Purposes of the Special Meeting",9,9
IROBOT CORP_20220907_DEFM14A_20329897_4514467.Pdf,Purposes of the Special Meeting,"Purposes of the Special Meeting
At the special meeting, iRobot stockholders will be asked to consider and vote on the following proposals:
•
to approve and adopt the Agreement and Plan of Merger, dated as of August 4, 2022, by and among Amazon.com, Inc.
(“Amazon.com”), Martin Merger Sub, Inc. (“Merger Sub”) and the Company, as it may be amended from time to time (the “merger
agreement”);
•
to approve, on an advisory (non-binding) basis, certain compensation that may be paid or become payable to the Company’s named
executive officers in connection with the merger, the value of which is disclosed in the table in the section of this proxy statement
entitled “The Merger (Proposal 1) — Interests of the Company’s Directors and Executive Officers in the Merger” (the “compensation
proposal”); and
•
to approve the adjournment from time to time of the special meeting, if necessary or appropriate, including to solicit additional proxies if
there are insufficient votes at the time of the special meeting to approve the proposal to approve and adopt the merger agreement (the
“adjournment proposal”).
Our stockholders must approve and adopt the merger agreement for the merger to occur. If our stockholders fail to approve and adopt the
merger agreement, the merger will not occur. A copy of the merger agreement is attached to this proxy statement as Annex A, and the material
provisions of the merger agreement are described in the section entitled “The Merger Agreement.”
The vote on the compensation proposal is a vote separate and apart from the vote to approve and adopt the merger agreement. Accordingly, a
stockholder may vote to approve the compensation proposal and vote not to approve and adopt the merger agreement and vice versa. Because the
vote on the compensation proposal is advisory in nature only, it will not be binding on either the Company or Amazon.com. Accordingly, if the
merger agreement is approved by the Company’s stockholders and the merger is completed, the merger-related compensation may be paid to the
Company’s executive officers even if the stockholders fail to approve the compensation proposal.
1Table of Contents
iRobot does not expect a vote to be taken on any other matters at the special meeting or any adjournment or postponement thereof, and only
the matters specified in the notice of the special meeting may be considered or acted upon at the special meeting.
This proxy statement and the enclosed form of proxy are first being mailed to our stockholders on or about September 7, 2022, and the mailing
is expected to be completed on or about September 14, 2022.",9,10
IROBOT CORP_20220907_DEFM14A_20329897_4514467.Pdf,Record Date and Quorum,"Record Date and Quorum
The holders of record of common stock, par value $0.01 per share, of the Company (referred to in this proxy statement as “common stock,”
“Company common stock” or “iRobot common stock”) as of the close of business on September 2, 2022, the record date for the special meeting, are
entitled to receive notice of and to vote at the special meeting. At the close of business on the record date, 27,233,499 shares of common stock were
outstanding.
A majority of the shares entitled to vote, present virtually or represented by proxy, will constitute a quorum at the special meeting. Once a
share is represented at the special meeting, it will be counted for the purpose of determining a quorum at the special meeting. However, if a new
record date is set for an adjourned special meeting, then a new quorum will have to be established. Proxies received but marked as abstentions will
be included in the calculation of the number of shares considered to be present at the special meeting. If you hold your shares in “street name” and
do not give any instruction to your broker, bank or other nominee as to how your shares should be voted at the special meeting, those shares will
not be entitled to vote on any proposal at the special meeting and will not be counted for purposes of establishing a quorum.
Required Vote",10,10
IROBOT CORP_20220907_DEFM14A_20329897_4514467.Pdf,Required Vote,"Required Vote
Each share of iRobot common stock outstanding at the close of business on the record date is entitled to one vote on each of the proposals to
be considered at the special meeting.
For the Company to complete the merger, iRobot stockholders holding a majority of the shares of iRobot common stock outstanding at the
close of business on the record date must vote “FOR” the proposal to approve and adopt the merger agreement. A failure to vote your shares of
common stock or an abstention from voting will have the same effect as a vote “AGAINST” the proposal to approve and adopt the merger
agreement.
Approval of each of the compensation proposal and the adjournment proposal requires the affirmative vote of a majority of the votes properly
cast for and against such proposal, assuming a quorum is present at the special meeting. An abstention with respect to either proposal, or a failure
to vote your shares of common stock (including a failure of your broker, bank or other nominee to vote shares held on your behalf) will have no
effect on these proposals (assuming that a quorum is present).
Voting by the Company’s Directors and Executive Officers",10,10
IROBOT CORP_20220907_DEFM14A_20329897_4514467.Pdf,Voting by the Company’s Directors and Executive Officers,"Voting by the Company’s Directors and Executive Officers
At the close of business on the record date, directors and executive officers of the Company were entitled to vote approximately 398,481
shares of iRobot common stock, or approximately 1.46% of the shares of iRobot common stock issued and outstanding on that date. We currently
expect that the Company’s directors and executive officers will vote their shares in favor of the proposal to approve and adopt the merger agreement
and the other proposals to be considered at the special meeting, although they have no obligation to do so.
2Table of Contents
Voting; Proxies; Revocation",10,11
IROBOT CORP_20220907_DEFM14A_20329897_4514467.Pdf,Voting; Proxies; Revocation,"Voting; Proxies; Revocation
Attendance
All holders of shares of iRobot common stock as of the close of business on September 2, 2022, the record date, including stockholders of
record and beneficial owners of common stock registered in the “street name” of a broker, bank or other nominee, are invited virtually to attend the
special meeting.
To attend the special meeting virtually, you must provide proof of ownership of iRobot common stock as of the close of business on the
record date. If you hold your shares in “street name,” and you also wish to be able to vote virtually at the meeting, you must obtain a legal proxy,
executed in your favor, from your bank, broker or other nominee.
Voting Virtually
If you plan to virtually attend the special meeting and wish to vote virtually, you will be given a virtual ballot at the special meeting. If you are
not a stockholder of record, but instead hold your shares of iRobot common stock in “street name” through a broker, bank or other nominee, you are
encouraged to vote by proxy even if you plan to virtually attend the special meeting. If you virtually attend the special meeting and vote by virtual
ballot, your vote will revoke any previously submitted proxy.
Providing Voting Instructions by Proxy
To ensure that your shares of iRobot common stock are voted at the special meeting, we recommend that you provide voting instructions
promptly by proxy, even if you plan to virtually attend the special meeting.
Shares of Common Stock Held by Record Holder
If you are a stockholder of record, you may provide voting instructions by proxy using one of the methods described below.
Submit a Proxy by Telephone or via the Internet. This proxy statement is accompanied by a proxy card with instructions for submitting voting
instructions. You may vote by telephone by calling the toll-free number or via the Internet by accessing the Internet address specified on the
enclosed proxy card. Your shares of iRobot common stock will be voted as you direct in the same manner as if you had completed, signed, dated and
returned your proxy card, as described below.
Submit a Proxy Card. If you complete, sign, date and return the enclosed proxy card by mail so that it is received in time for the special
meeting, your shares of iRobot common stock will be voted in the manner directed by you on your proxy card.
If you sign, date and return your proxy card without indicating how you wish to vote, your proxy will be voted in favor of each of the proposal
to approve and adopt the merger agreement, the compensation proposal and the adjournment proposal. If you fail to return your proxy card and you
are a holder of record on the record date, unless you virtually attend the special meeting and vote virtually, the effect will be that your shares of
iRobot common stock will not be considered present at the special meeting for purposes of determining whether a quorum is present at the special
meeting, will have the same effect as a vote “AGAINST” the proposal to approve and adopt the merger agreement and, assuming a quorum is
present, will not affect the compensation proposal or the adjournment proposal.
3Table of Contents
Shares of iRobot Common Stock Held in “Street Name”
If your shares of iRobot common stock are held by a broker, bank or other nominee on your behalf in “street name,” your broker, bank or other
nominee will send you instructions as to how to provide voting instructions for your shares. Many brokerage firms and banks have a process for
their customers to provide voting instructions by telephone or via the Internet, in addition to providing voting instructions by a voting instruction
form.
In accordance with the rules of the Nasdaq Global Select Market (“NASDAQ”), brokers, banks and other nominees that hold shares of
common stock in “street name” for their customers do not have discretionary authority to vote the shares with respect to the proposal to approve
and adopt the merger agreement, the compensation proposal or the adjournment proposal. Accordingly, if brokers, banks or other nominees do not
receive specific voting instructions with respect to these proposals from the beneficial owner of such shares, they may not vote such shares with
respect to these proposals. Therefore, unless you virtually attend the special meeting with a properly executed legal proxy from your broker, bank or
other nominee, your failure to provide instructions to your broker, bank or other nominee will result in your shares of iRobot common stock not
being deemed present for purposes of determining whether a quorum is present at the special meeting and not being voted on any of the proposal to
approve and adopt the merger agreement, the compensation proposal or the adjournment proposal. However, if a beneficial owner of shares held in
street name gives voting instructions to the broker, bank or other nominee with respect to at least one of the proposals, but gives no instruction as
to one or more of the other proposals, then those shares will be deemed present at the special meeting for purposes of establishing a quorum at the
special meeting, will be voted as instructed with respect to any proposal as to which instructions were given, and will not be voted with respect to
any other proposal. Therefore, it is important that you instruct your broker, bank or other nominee on how you wish to vote your shares.
Revocation of Proxies
Any person giving a proxy pursuant to this solicitation has the power to revoke and change it at any time before it is voted. If you are a
stockholder of record, you may revoke your proxy at any time before the vote is taken at the special meeting by:
•
submitting a new proxy dated after the date of the proxy being revoked, by using the telephone or Internet proxy submission
procedures described above, or by completing, signing, dating and returning a new proxy card by mail to the Company, in each case, in
accordance with the instructions on the enclosed proxy card;
•
virtually attending the special meeting and voting by virtual ballot; or
•
delivering a written notice of revocation dated after the date of the proxy being revoked by mail to the Company at iRobot Corporation,
8 Crosby Drive, Bedford, MA 01730, Attention: Secretary in accordance with the instructions on the enclosed proxy card.
Please note, however, that only your last-dated proxy will count. Virtually attending the special meeting without taking one of the actions
described above will not in itself revoke your proxy. Please note that if you want to revoke your proxy by mailing a new proxy card to the Company
or by sending a written notice of revocation to the Company, you should ensure that you send your new proxy card or written notice of revocation
in sufficient time for it to be received by the Company before the special meeting.
If you hold your shares in “street name” through a broker, bank or other nominee, you will need to follow the instructions provided to you by
your broker, bank or other nominee in order to revoke your proxy or submit new voting instructions. If you hold your shares in “street name,” you
may also revoke a prior proxy by voting virtually at the special meeting if you obtain a proxy executed in your favor from your broker, bank or other
nominee in order to be able to vote virtually at the special meeting.
4
Table of Contents
Abstentions",11,13
IROBOT CORP_20220907_DEFM14A_20329897_4514467.Pdf,Abstentions,"Abstentions
An abstention occurs when a stockholder attends a meeting, either virtually or represented by proxy, but abstains from voting. Abstentions
will be included in the calculation of the number of shares of iRobot common stock present or represented at the special meeting for purposes of
determining whether a quorum has been achieved.
Abstaining from voting will have the same effect as a vote “AGAINST” the proposal to approve and adopt the merger agreement. Assuming a
quorum is present at the special meeting, the requisite number of shares to approve the other two proposals is based on the total number of votes
properly cast for and against those proposals. If you abstain from voting and a quorum is present at the special meeting, it will have no effect on the
compensation proposal or the adjournment proposal.
The Companies (page 28)",13,13
IROBOT CORP_20220907_DEFM14A_20329897_4514467.Pdf,The Companies,"The Companies (page 28)
iRobot Corporation
iRobot Corporation, referred to as “iRobot,” the “Company,” “we,” “our” or “us,” is a Delaware corporation incorporated in 2000 and based in
Bedford, Massachusetts. We completed our initial public offering in November 2005, and our common stock trades on NASDAQ under the symbol
“IRBT.”
iRobot has one operating segment, consumer robots. In fiscal year 2021, iRobot generated $1.565 billion in revenue. iRobot employed
approximately 1,372 full-time employees as of January 1, 2022.
Additional information about iRobot is contained in its public filings, which are incorporated by reference herein. See the sections entitled
“Where You Can Find Additional Information” and “The Companies — iRobot Corporation.”
The principal executive offices of iRobot are located at 8 Crosby Drive, Bedford, MA 01730, and its telephone number is (781) 430-3000.
Amazon.com, Inc.
Amazon.com was incorporated in 1994 in the state of Washington and reincorporated in 1996 in the state of Delaware. Its principal corporate
offices are located in Seattle, Washington. It completed its initial public offering in May 1997 and its common stock is listed on NASDAQ under the
symbol “AMZN.”
Amazon.com seeks to be Earth’s most customer-centric company. Amazon.com is guided by four principles: customer obsession rather than
competitor focus, passion for invention, commitment to operational excellence, and long-term thinking. In each of its segments, it serves its primary
customer sets, consisting of consumers, sellers, developers, enterprises, content creators, advertisers, and employees.
Amazon.com has organized its operations into three segments: North America, International and Amazon Web Services.
Amazon.com’s principal executive offices are located at 410 Terry Avenue North, Seattle, Washington 98109, and its telephone number is (206)
266-1000.
See the section entitled “The Companies — Amazon.com, Inc.”
5Table of Contents
Martin Merger Sub, Inc.
Merger Sub is a Delaware corporation and an indirect wholly owned subsidiary of Amazon.com and was formed on July 28, 2022, solely for the
purpose of engaging in the transactions contemplated by the merger agreement (including the merger) (the “transactions”). Merger Sub has not
engaged in any business activities other than in connection with the transactions. Upon the completion of the merger, the separate corporate
existence of Merger Sub will cease and iRobot will continue as the surviving corporation and an indirect wholly-owned subsidiary of Amazon.com
(the “surviving corporation”). Merger Sub’s principal executive offices are located at 410 Terry Avenue North, Seattle, Washington 98109-5210, and
its telephone number is (206) 266-1000.
See the section entitled “The Companies — Martin Merger Sub, Inc.”
The Merger (page 34)",13,14
