Document,Section Header,Section Text,Start Page,End Page
"Intersect ENT, Inc._20210907_DEFM14A_19520364_4290965.Pdf",SUMMARY,"SUMMARY
This summary highlights selected information from this proxy statement related to the merger of Project Kraken
Merger Sub, Inc. with and into Intersect ENT, Inc. (the “Merger”), and may not contain all of the information that
is important to you. To understand the Merger more fully and for a more complete description of the legal terms of
the Merger, you should carefully read and consider this entire proxy statement and the annexes to this proxy
statement, including, but not limited to, the Merger Agreement, along with all of the documents to which we refer in
this proxy statement, as they contain important information about, among other things, the Merger and how it
affects you. You may obtain the information incorporated by reference in this proxy statement without charge by
following the instructions under the caption, “Where You Can Find More Information.” The Merger Agreement (as
defined below) is attached as Annex A to this proxy statement. You should carefully read and consider the entire
Merger Agreement, which is the legal document that governs the Merger.
Except as otherwise specifically noted in this proxy statement, “Intersect ENT,” “we,” “our,” “us” and similar
words refer to Intersect ENT, Inc., including, in certain cases, our subsidiaries. Throughout this proxy statement, we
refer to Medtronic, Inc. as “Medtronic” or “Parent” and Project Kraken Merger Sub, Inc. as “Merger Sub.” In
addition, throughout this proxy statement we refer to the Agreement and Plan of Merger, dated August 6, 2021, by
and among Intersect ENT, Parent and Merger Sub, as the “Merger Agreement,” our common stock, par value
$0.001 per share as “common stock” and the holders of our common stock, as “stockholders.” Unless indicated
otherwise, any other capitalized term used herein but not otherwise defined herein has the meaning assigned to
such term in the Merger Agreement.
Parties Involved in the Merger",9,9
"Intersect ENT, Inc._20210907_DEFM14A_19520364_4290965.Pdf",Parties Involved in the Merger,"Parties Involved in the Merger
Intersect ENT, Inc.
Headquartered in Menlo Park, California, Intersect ENT is a global ear, nose and throat (“ENT”) medical technology
leader dedicated to transforming patient care. Intersect ENT’s common stock is listed on The Nasdaq Global Market
(“Nasdaq”) under the symbol “XENT”. The principal executive offices of Intersect ENT are located at 1555 Adams
Drive, Menlo Park, California 94025, and its telephone number is (650) 641-2100.
Medtronic, Inc.
Medtronic is among the world’s largest medical technology, services and solutions companies. Headquartered in
Dublin, Ireland, Medtronic was founded in 1949 and serves hospitals, physicians, clinicians, and patients in more
than 150 countries worldwide. The common stock of Medtronic plc, the ultimate parent of Medtronic, is listed on the
New York Stock Exchange under the symbol “MDT”.
Project Kraken Merger Sub, Inc.
Merger Sub is a wholly-owned subsidiary of Parent and was formed on July 28, 2021, solely for the purpose of
engaging in the Transactions, and has not engaged in any business activities other than in connection with the
Transactions.
The Merger",9,9
"Intersect ENT, Inc._20210907_DEFM14A_19520364_4290965.Pdf",The Merger,"The Merger
Upon the terms and subject to the conditions of the Merger Agreement, Merger Sub will merge with and into
Intersect ENT, with Intersect ENT continuing as the surviving corporation and as a wholly-owned subsidiary of
Parent (the “Surviving Corporation”). As a result of the Merger, Intersect ENT’s common stock will no longer be
publicly traded, and will be delisted from Nasdaq. In addition, Intersect ENT’s common stock will be deregistered
under the Securities Exchange Act of 1934, as amended (the “Exchange Act”), and Intersect ENT will no longer file
periodic reports with the United States Securities and Exchange Commission (the “SEC”). If the Merger is completed,
you will not own any shares of the capital stock of the Surviving Corporation. The time at which the Merger will
become effective (the “Effective Time”) will occur upon the filing of a certificate of merger with the Secretary of State
of the State of Delaware (or at such later time as we and Merger Sub may agree and specify in the certificate of
merger).
1TABLE OF CONTENTS
Merger Consideration",9,10
"Intersect ENT, Inc._20210907_DEFM14A_19520364_4290965.Pdf",Merger Consideration,"Merger Consideration
Intersect ENT Common Stock and Company Series D Preferred Stock
At the Effective Time, each then outstanding share of Intersect ENT common stock (other than shares of common
stock (i) owned by Intersect ENT as treasury stock, (ii) owned by Parent or Merger Sub or (iii) held by an Intersect
ENT stockholder who properly demands appraisal for such dissenting shares) will be cancelled and retired, and
automatically converted into the right to receive cash in an amount equal to $28.25 in cash (the “Per Share Merger
Consideration”), without interest thereon and less any applicable withholding taxes.
After the Merger is completed, you will have the right to receive the Per Share Merger Consideration, but you will no
longer have any rights as a stockholder (except that stockholders who properly exercise their appraisal rights may
have the right to receive payment for the “fair value” of their shares determined pursuant to an appraisal proceeding,
as contemplated by Delaware law). For more information, please see the section of this proxy statement captioned
“The Merger-Appraisal Rights.”
Each share of Company Series D Preferred Stock issued and outstanding immediately prior to the Effective Time will
be cancelled and converted into the right to receive an amount in cash equal to the Per Share Merger Consideration
multiplied by a factor of 1,000 (the “Preferred Stock Merger Consideration”).
At or immediately prior to the Effective Time, Parent will deposit sufficient funds to pay the aggregate Per Share
Merger Consideration and Preferred Stock Merger Consideration (the “Merger Consideration”) with a designated
payment agent for payment of each share of common stock owned by each stockholder and for each share of
Company Series D Preferred Stock owned by each stockholder. For more information, please see the section of this
proxy statement captioned “Proposal 1: Adoption of the Merger Agreement-Exchange and Payment Procedures.”
Treatment of Company Options, Performance Options, Company RSUs and Company PSUs
At the Effective Time, each:
(i)
option to purchase Intersect ENT common stock that is not subject to performance-based vesting
conditions and is not granted under the Intersect ENT 2014 Amended and Restated Employee Stock
Purchase Plan (each, a “Company Option”) that is unexercised and outstanding immediately prior to the
Effective Time and for which the Per Share Merger Consideration exceeds the exercise price of such
Company Option, and without regard to whether such Company Option is vested or unvested, shall be
automatically cancelled and converted into the right to receive an amount in cash equal to the product of
(A) the aggregate number of unexercised shares then subject to such Company Option, multiplied by (B)
the excess, if any, of the Per Share Merger Consideration over such Company Option’s per share exercise
price;
(ii)
option to purchase Intersect ENT common stock that is subject to performance-based vesting (each, a
“Performance Option”), to the extent outstanding and not vested immediately prior to the Effective Time,
shall be automatically cancelled without consideration; provided that each such Performance Option that is
unexercised and outstanding and that becomes vested prior to or upon the Effective Time and for which the
Per Share Merger Consideration exceeds the exercise price of such Performance Option (each, a “Vested
Performance Option”), shall be automatically cancelled and converted into the right to receive an amount in
cash equal to the product of (A) the aggregate number of unexercised shares then subject to such Vested
Performance Option, multiplied by (B) the excess, if any, of the Per Share Merger Consideration over such
Vested Performance Option’s per share exercise price;
(iii) restricted stock unit that is subject to vesting conditions based solely on continued employment with or
service to Intersect ENT (each, a “Company RSU”) that is outstanding and unvested immediately prior to
the Effective Time shall be automatically cancelled and, in consideration of such cancellation, the holder
thereof shall be entitled to receive an amount in cash equal to the product of (A) the Per Share Merger
Consideration and (B) the aggregate number of shares then underlying such Company RSU; and
(iv) restricted stock unit that is subject to performance-based vesting conditions (each, a “Company PSU”) that
is outstanding and unvested immediately prior to the Effective Time shall be automatically cancelled
without consideration; provided that each such Company PSU that is outstanding and becomes vested
prior to or upon the Effective Time (each, a “Vested Company PSU”) shall be
2TABLE OF CONTENTS
automatically cancelled and converted into the right to receive an amount in cash equal to the product of
(A) the aggregate number of shares then subject to such Vested Company PSU, multiplied by (B) the Per
Share Merger Consideration.
Company Options and vested Performance Options are collectively referred to as “Options” herein. Each Option for
which, as of the Effective time, the Per Share Merger Consideration does not exceed the exercise price of such Option
shall be automatically cancelled as of the Effective Time for no consideration.
For more information, please see the section of this proxy statement captioned “Proposal 1: Adoption of the Merger
Agreement-Merger Consideration-Outstanding Company Options, Performance Options, Company RSUs and
Company PSUs.”
Treatment of Purchase Rights under the 2014 Employee Stock Purchase Plan
The Merger Agreement generally provides that no new offering periods or purchase periods will begin under
Intersect ENT’s 2014 Amended and Restated Employee Stock Purchase Plan (the “ESPP”) after August 6, 2021, any
outstanding offering period will end no later than five days before the Effective Time, and the ESPP will terminate as
of the Effective Time. In addition, with respect to any offering periods in effect on August 6, 2021, as of such date, no
new participants will be permitted in the ESPP and existing participants will not be allowed to increase payroll
contribution rates. For more information, please see the section of this proxy statement captioned “Proposal 1:
Adoption of the Merger Agreement-Merger Consideration-Treatment of Purchase Rights under the Employee Stock
Purchase Plan.”
Material U.S. Federal Income Tax Consequences of the Merger",10,11
"Intersect ENT, Inc._20210907_DEFM14A_19520364_4290965.Pdf",Material U.S. Federal Income Tax Consequences of the Merger,"Material U.S. Federal Income Tax Consequences of the Merger
For U.S. federal income tax purposes, the receipt of cash by Intersect ENT stockholders in exchange for shares of
Intersect ENT common stock in the Merger will generally be a taxable transaction for Intersect ENT stockholders who
are U.S. Holders (as defined under the caption, “The Merger-Material U.S. Federal Income Tax Consequences of the
Merger”). Such receipt of cash by each of our stockholders who is a U.S. Holder generally will result in the
recognition of gain or loss in an amount equal to the difference, if any, between (1) the amount of cash that such U.S.
Holder receives in the Merger per share and (2) such U.S. Holder’s adjusted tax basis in the shares of common stock
surrendered in the Merger by such stockholder.
Intersect ENT stockholders should read the section of this proxy statement captioned “The Merger-Material U.S.
Federal Income Tax Consequences of the Merger.”
Intersect ENT stockholders, including stockholders who are not U.S. Holders, should also consult their own tax
advisors concerning the U.S. federal income tax consequences relating to the Merger in light of their particular
circumstances and any consequences arising under U.S. federal estate, gift and other non-income tax laws or the laws
of any state, local or non-U.S. taxing jurisdiction.
Appraisal Rights",11,11
"Intersect ENT, Inc._20210907_DEFM14A_19520364_4290965.Pdf",Appraisal Rights,"Appraisal Rights
If the Merger is consummated and certain conditions are met, Intersect ENT stockholders who continuously hold
shares of Intersect ENT common stock through the Effective Time, who do not vote in favor of the adoption of the
Merger Agreement and who properly demand appraisal of their shares and who do not withdraw their demands or
otherwise lose their rights to seek appraisal will be entitled to seek appraisal of their shares in connection with the
Merger under Section 262 of the General Corporation Law of the State of Delaware (the “DGCL”). This means that
Intersect ENT stockholders may be entitled to have their shares of Intersect ENT common stock appraised by the
Delaware Court of Chancery, and to receive payment in cash of the “fair value” of their shares of Intersect ENT
common stock, exclusive of any elements of value arising from the accomplishment or expectation of the Merger,
together with interest to be paid on the amount determined to be fair value, if any, as determined by the court, as
described further below. Due to the complexity of the appraisal process, Intersect ENT stockholders who wish to seek
appraisal of their shares are encouraged to seek the advice of legal counsel with respect to the exercise of appraisal
rights.
Intersect ENT stockholders considering seeking appraisal should be aware that the fair value of their shares as
determined pursuant to Section 262 of the DGCL could be more than, the same as or less than the value of the
consideration that they would receive pursuant to the Merger Agreement if they did not seek appraisal of their
shares of Intersect ENT common stock.
3TABLE OF CONTENTS
To exercise appraisal rights, Intersect ENT stockholders must: (i) submit a written demand for appraisal to Intersect
ENT before the vote is taken on the proposal to adopt the Merger Agreement; (ii) not submit a proxy or otherwise
vote in favor of the proposal to adopt the Merger Agreement; (iii) continue to hold shares of Intersect ENT common
stock of record through the Effective Time; and (iv) strictly comply with all other procedures for exercising appraisal
rights under the DGCL. Failure to follow exactly the procedures specified under the DGCL may result in the loss of
appraisal rights. In addition, the Delaware Court of Chancery will dismiss appraisal proceedings in respect of
Intersect ENT unless certain stock ownership conditions are satisfied by the Intersect ENT stockholders seeking
appraisal. The DGCL requirements for exercising appraisal rights are described in further detail in this proxy
statement, which is qualified in its entirety by Section 262 of the DGCL, the relevant section of the DGCL regarding
appraisal rights. A copy of Section 262 of the DGCL is reproduced in Annex C to this proxy statement. If you hold
your shares of common stock through a bank, broker or other nominee and you wish to exercise appraisal rights, you
should consult with your bank, broker or other nominee to determine the appropriate procedures for the making of a
demand for appraisal on your behalf by your bank, broker or other nominee. For more information, please see the
section of this proxy statement captioned “The Merger-Appraisal Rights.”
Regulatory Approvals Required for the Merger",11,12
"Intersect ENT, Inc._20210907_DEFM14A_19520364_4290965.Pdf",Regulatory Approvals Required for the Merger,"Regulatory Approvals Required for the Merger
Under the Merger Agreement, the Merger cannot be completed until, among other things, the applicable waiting
period under the Hart-Scott-Rodino Antitrust Improvements Act of 1976, as amended (the “HSR Act”), has expired or
been terminated. For more information, please see the section of this proxy captioned “The Merger-Regulatory
Approvals Required for the Merger.”
On August 23, 2021, Intersect ENT and Parent made the filings required to be made under the HSR Act.
Closing Conditions",12,12
"Intersect ENT, Inc._20210907_DEFM14A_19520364_4290965.Pdf",Closing Conditions,"Closing Conditions
The obligations of Intersect ENT, Parent and Merger Sub, as applicable, to consummate the Merger are subject to the
satisfaction or waiver of customary conditions, including (among other conditions), the following:
•
the absence of any laws or court orders prohibiting the Merger;
•
the adoption of the Merger Agreement by the requisite affirmative vote of Intersect ENT stockholders;
•
the expiration or termination of the applicable waiting period under the HSR Act and certain other foreign
antitrust or competitions laws, or, where applicable, the receipt of consent or approval thereunder;
•
in the case of Parent and Merger Sub, (i) the absence of any continuing event, circumstance, change or
effect at Intersect ENT that, individually or in the aggregate, is or would reasonably be expected to be
materially adverse to Intersect ENT’s or its subsidiaries’ business, financial condition or results of
operations, taken as a whole; and (ii) the absence of any pending lawsuit against Intersect ENT, Parent or
its respective subsidiaries by a governmental entity seeking to prohibit the Merger or impose material
limitations on any assets or operations of the parties in connection with the Transactions;
•
the accuracy of the representations and warranties of Intersect ENT, Parent and Merger Sub in the Merger
Agreement, subject to materiality qualifiers, as of the Effective Time or the date in respect of which such
representation or warranty was specifically made; and
•
the performance in all material respects by Intersect ENT, Parent and Merger Sub of their respective
obligations required to be performed by them under the Merger Agreement at or prior to the Effective Time.
Required Stockholder Approval",12,12
"Intersect ENT, Inc._20210907_DEFM14A_19520364_4290965.Pdf",Required Stockholder Approval,"Required Stockholder Approval
The affirmative vote of the holders of a majority of the shares of Intersect ENT’s common stock that are issued and
outstanding as of the close of business on the Record Date (as defined below) is required to adopt the Merger
Agreement. As of the Record Date, 16,710,122 votes constitute a majority of the voting power of the outstanding
shares of common stock. Approval of the proposal to approve, on an advisory (non-binding) basis, the
compensation that may be paid or become payable to Intersect ENT’s named executive officers that is based on or
otherwise relates to the Merger Agreement and the Transactions (the “Compensation Proposal”) and the
4TABLE OF CONTENTS
proposal to adjourn the Special Meeting (the “Adjournment Proposal”), whether or not a quorum is present, requires
the affirmative vote of a majority of the voting power of the shares present online or represented by proxy at the
Special Meeting and entitled to vote on the subject matter. The approval of the Compensation Proposal is advisory
(non-binding) and is not a condition to the completion of the Merger.
As of the Record Date, our directors and executive officers beneficially owned and were entitled to vote, in the
aggregate, 188,923 shares of common stock, representing approximately 0.6% of the shares of common stock
outstanding as of the Record Date (and approximately 6.3% of the shares of common stock outstanding when taking
into account Options, Company RSUs and Company PSUs held, in the aggregate, by our directors and executive
officers), and approximately 0.6% of the voting power of the shares of common stock outstanding as of the Record
Date (and approximately 6.3% of the voting power when taking into account Options and Company RSUs held, in the
aggregate, by our directors and executive officers).
Our directors and executive officers have informed us that they currently intend to vote all of their respective shares
of common stock: (1) “FOR” the adoption of the Merger Agreement; (2) “FOR” the Compensation Proposal, and (3)
“FOR” the Adjournment Proposal.
The Special Meeting",12,13
"Intersect ENT, Inc._20210907_DEFM14A_19520364_4290965.Pdf",The Special Meeting,"The Special Meeting
Date, Time and Place
A special meeting of Intersect ENT stockholders to consider and vote on the proposal to adopt the Merger
Agreement will be held virtually on October 8, 2021, at 8:00 a.m., Pacific time (the “Special Meeting”). The Special
Meeting can be accessed by visiting www.virtualshareholdermeeting.com/XENT2021SM, where you will be able to
listen to the meeting live and vote online.
Record Date; Shares Entitled to Vote
You are entitled to vote at the Special Meeting if you owned shares of common stock at the close of business on
September 3, 2021 (the “Record Date”). Each holder of common stock shall be entitled to one (1) vote for each such
share owned at the close of business on the Record Date.
Quorum
As of the Record Date, there were 33,420,243 shares of common stock outstanding and entitled vote at the Special
Meeting. The holders of a majority of the voting power of the common stock issued and outstanding and entitled to
vote thereat, present online or represented by proxy, will constitute a quorum at the Special Meeting.
Recommendation of the Intersect ENT Board",13,13
