Document,Section Header,Section Text,Start Page,End Page
"MERITOR, INC._20220418_DEFM14A_20019751_4444368.Pdf",SUMMARY,"SUMMARY
This summary highlights selected information contained in this proxy statement, including with respect to the
Merger Agreement and the Merger. We encourage you to, and you should, carefully read this entire proxy statement,
its annexes and the documents referred to or incorporated by reference in this proxy statement, as this summary may
not contain all of the information that may be important to you in determining how to vote. We have included page
references to direct you to a more complete description of the topics presented in this summary. You may obtain the
information incorporated by reference into this proxy statement without charge by following the instructions under
the section of this proxy statement entitled “Where You Can Find Additional Information.”
The Companies (page 17)",8,8
"MERITOR, INC._20220418_DEFM14A_20019751_4444368.Pdf",The Companies,"The Companies (page 17)
Meritor, Inc.
Meritor, Inc. (“we,” “our,” “Meritor” or the “Company”) is a premier global supplier of a broad range of integrated
systems, modules and components to original equipment manufacturer (“OEMs”) and the aftermarket for the
commercial vehicle, transportation and industrial sectors. With more than a 110-year legacy of providing innovative
products that offer superior performance, efficiency and reliability, Meritor serves commercial truck, trailer, off-
highway, defense, specialty and aftermarket customers around the world. Meritor is publicly listed on the New York
Stock Exchange (the “NYSE”) under the symbol “MTOR” and is headquartered in Troy, Michigan.
Meritor’s principal executive offices are located at 2135 West Maple Road, Troy, Michigan 48084 and our telephone
number is (248) 435-1000.
Additional information about Meritor is contained in our public filings, certain of which are incorporated by reference
herein. For more information, see the sections of this proxy statement entitled “Where You Can Find Additional
Information” and “The Companies - Meritor, Inc.”
Cummins Inc.
Cummins Inc. (“Parent” or “Cummins”) is a global power leader that designs, manufactures, distributes and services
diesel, natural gas, electric and hybrid powertrains and powertrain-related components including filtration,
aftertreatment, turbochargers, fuel systems, control systems, air handling systems, automated transmissions, electric
power generation systems, batteries, electrified power systems, hydrogen production and fuel cell products.
Cummins sells products to OEMs, distributors, dealers and other customers worldwide. Cummins has a service
network of approximately 500 wholly-owned, joint venture and independent distributor locations and more than
10,000 Cummins certified dealer locations in approximately 190 countries and territories. Cummins is publicly listed on
the NYSE under the symbol “CMI” and is headquartered in Columbus, Indiana.
Cummins’s principal executive offices are located at 500 Jackson Street, Columbus, Indiana 47201 and its telephone
number is (812) 377-5000.
Rose NewCo Inc.
Rose NewCo Inc. (“Merger Sub”) is a wholly owned subsidiary of Parent that will function as the merger subsidiary
in the Merger. Merger Sub was formed solely for the purpose of entering into the Merger Agreement and
consummating the transactions contemplated by the Merger Agreement (the “Transactions”) and it has not carried
on any activities on or prior to the date of this proxy statement, except for activities incidental to its formation and
activities in connection with Parent’s acquisition of the Company. Upon completion of the Merger, Merger Sub will
merge with and into Meritor, with Meritor continuing as the surviving corporation in the Merger, and Merger Sub will
cease to exist. For more information, see the section of this proxy statement entitled “The Companies - Rose NewCo
Inc.”
Merger Sub’s principal executive offices are located at 500 Jackson Street, Columbus, Indiana 47201 and its telephone
number is (812) 377-5000.
1TABLE OF CONTENTS
The Special Meeting (page 18)",8,9
"MERITOR, INC._20220418_DEFM14A_20019751_4444368.Pdf",The Special Meeting,"The Special Meeting (page 18)
Date, Time and Place of the Special Meeting
The special meeting of Meritor’s shareholders (the “special meeting”) will be held virtually via the Internet at
www.virtualshareholdermeeting.com/MTOR2022SM on May 26, 2022, at 9:30 a.m., Eastern Time.
As part of our precautions regarding the coronavirus or COVID-19, the special meeting will be held solely by means
of remote communication rather than in person. You will be able to attend the special meeting online and to vote your
shares electronically at the special meeting by visiting the special meeting website.
Purposes of the Special Meeting
At the special meeting, Meritor shareholders will be asked to consider and vote on the following proposals:
•
to approve the Agreement and Plan of Merger, dated as of February 21, 2022 (as amended, modified or
supplemented from time to time, the “Merger Agreement”), by and among the Company, Parent and Merger
Sub (the “Merger Proposal”);
•
to approve, on an advisory (non-binding) basis, certain compensation that may be paid or become payable
to the Company’s named executive officers in connection with the Merger, the value of which is disclosed
in the table in the section of this proxy statement entitled “The Merger - Interests of Meritor’s Directors and
Executive Officers in the Merger - Quantification of Potential Payments and Benefits to Meritor’s Named
Executive Officers in Connection with the Transaction” (the “Compensation Proposal”); and
•
to approve the adjournment of the special meeting, if necessary or appropriate, including to solicit
additional proxies if there are insufficient votes at the time of the special meeting to approve the Merger
Proposal or in the absence of a quorum (the “Adjournment Proposal”).
Meritor shareholders must approve the Merger Proposal for the Merger to occur. If our shareholders fail to approve
the Merger Proposal, the Merger will not occur. For more information, see the sections of this proxy statement
entitled “The Special Meeting” and “The Merger Agreement.”
No matters other than the proposals set forth above will be brought before the special meeting.
Meritor’s board of directors (the “Meritor Board”) has unanimously approved, adopted and declared advisable the
Merger Agreement and the Transactions, including the Merger, and determined that the Merger Agreement and the
Transactions are fair to, and in the best interests of, the Company and its shareholders. The Meritor Board has
unanimously directed that the Merger Agreement be submitted to the Company’s shareholders for their
consideration at the special meeting and recommends that the Company’s shareholders vote “FOR” the Merger
Proposal and “FOR” the other proposals to be considered at the special meeting.
Record Date, Notice and Quorum
The holders of record of outstanding shares of Meritor common stock, par value $1.00 per share (“Common Stock”),
as of the close of business on April 11, 2022, the record date for the special meeting, are entitled to receive notice of
and to vote at the special meeting. As of the close of business on the record date, 70,852,942 shares of Common
Stock were outstanding and entitled to vote at the special meeting.
The presence at the special meeting, virtually or represented by proxy, of the holders of at least a majority of the
shares of Common Stock entitled to be cast on any matter to be acted on at the special meeting will constitute a
quorum for purposes of the special meeting. A quorum is necessary to transact business at the special meeting. If a
quorum is not present at the special meeting, we expect that the special meeting will be adjourned to a later date.
An abstention occurs when a shareholder attends a meeting, either virtually or by proxy, but abstains from voting.
Abstentions will be counted as shares present for purposes of determining the presence of a quorum. If your shares
are held in “street name” by your broker, bank or other nominee and you do not instruct the nominee how to vote
your shares, your broker, bank or other nominee will not vote on your behalf with respect to any of the proposals,
and your shares will not be counted for purposes of determining whether a quorum is present for the transaction of
business at the special meeting.
2TABLE OF CONTENTS
Required Vote
Each share of Common Stock outstanding as of the close of business on the record date is entitled to one vote on
each of the proposals to be considered at the special meeting.
For the Company to complete the Merger, a majority of all the votes entitled to be cast to approve the Merger
Agreement must vote “FOR” the Merger Proposal. An abstention with respect to the Merger Proposal, or a failure to
vote your shares of Common Stock (including a failure to instruct your broker, bank or other nominee to vote shares
held on your behalf), will have the same effect as a vote “AGAINST” this proposal.
Approval of each of (i) the Compensation Proposal and (ii) the Adjournment Proposal requires the affirmative vote of
a majority of the shares of Common Stock present virtually or represented by proxy at the special meeting and that
vote thereon, but is not a condition to the completion of the Merger. An abstention with respect to either proposal or
a failure to return your proxy card or otherwise vote your shares of Common Stock (including a failure of your broker,
bank or other nominee to vote shares held on your behalf) will have no effect on these proposals, assuming a quorum
is present.
As of the record date, our directors and executive officers owned and were entitled to vote, in the aggregate,
approximately 1,193,331 shares of Common Stock, or approximately 1.7% of the outstanding shares of Common Stock
entitled to vote at the special meeting.
Proxies; Revocation
Any Meritor shareholder of record entitled to vote at the special meeting may submit a proxy by telephone or over
the Internet, by returning the enclosed proxy card, or by attending the special meeting virtually and voting
electronically. If your shares of Common Stock are held in “street name” by your broker, bank or other nominee, you
should instruct your broker, bank or other nominee on how to vote your shares using the instructions provided by
your broker, bank or other nominee.
Any proxy may be revoked at any time prior to its exercise by submitting a properly executed, later-dated proxy
through any of the methods available to you, by giving written notice of revocation to our Corporate Secretary at our
headquarters, 2135 West Maple Road, Troy, Michigan 48084-7186, or by attending the special meeting virtually and
voting electronically.",9,10
"MERITOR, INC._20220418_DEFM14A_20019751_4444368.Pdf",The Merger,"The Merger (page 22)
You will be asked to consider and vote upon the Merger Proposal. A copy of the Merger Agreement is attached as
Annex A to this proxy statement and incorporated by reference herein in its entirety. The Merger Agreement
provides, among other things, that at the effective time of the Merger (the “Effective Time”), Merger Sub will be
merged with and into the Company, with the Company surviving the Merger.
In the Merger, each share of Common Stock (excluding Canceled Shares and Converted Shares) will cease to be
outstanding and will automatically be canceled and converted into the right to receive $36.50 per share in cash,
without interest, subject to applicable withholding taxes (the “Merger Consideration”), upon surrender of certificates
or book-entry shares.
Upon completion of the Merger, the Company will be a wholly owned subsidiary of Parent, the Common Stock will no
longer be publicly traded and the Company’s existing shareholders will cease to have any ownership interest in the
Company. The Company will therefore become a privately held company, wholly owned by Parent.
Treatment of Outstanding Equity Awards (page 45)",10,10
"MERITOR, INC._20220418_DEFM14A_20019751_4444368.Pdf",Treatment of Outstanding Equity Awards,"Treatment of Outstanding Equity Awards (page 45)
Upon the terms and subject to the conditions of the Merger Agreement, at the Effective Time, outstanding Meritor
equity-based awards will be treated as follows, subject to all required withholding taxes:
•
each share of Meritor restricted common stock that is outstanding immediately prior to the Effective Time
will be fully vested immediately prior to the Effective Time, with each holder of such shares receiving the
same Merger Consideration as all other outstanding shareholders of Common Stock at the Effective Time;
•
each Meritor restricted stock unit award (a “Meritor RSU Award”) will be converted into the right to receive
an amount in cash, without interest, equal to the Merger Consideration in respect of each share
3TABLE OF CONTENTS
of Common Stock subject to such Meritor RSU Award immediately prior to the Effective Time (a
“Converted RSU Award”), subject to the same terms and conditions as applied to the corresponding
Meritor RSU Award immediately prior to the Effective Time, including all service-based vesting conditions;
provided that any accelerated vesting applicable to such Meritor RSU Award in the event of a qualifying
termination of employment occurring after the closing date shall apply for the remaining term of such
Converted RSU Award; and
•
each Meritor performance-based restricted stock unit award (a “Meritor PSU Award”) that is outstanding
immediately prior to the Effective Time and (i) scheduled to vest on or prior to September 30, 2024 will fully
vest and be canceled and converted into the right to receive an amount in cash, without interest, equal to
the Merger Consideration in respect of each share of Common Stock subject to such Meritor PSU Award
immediately prior to the Effective Time, less any applicable taxes and (ii) scheduled to vest after September
30, 2024 will be converted into the right to receive an amount in cash, without interest, equal to the Merger
Consideration in respect of each share of Common Stock subject to such Meritor PSU Award immediately
prior to the Effective Time (a “Converted PSU Award”), subject to the same terms and conditions as applied
to the corresponding Meritor PSU Award immediately prior to the Effective Time, including all service-
based vesting conditions; provided that any accelerated vesting applicable to such Meritor PSU Award in
the event of a qualifying termination of employment occurring after the closing date shall apply for the
remaining term of such Converted PSU Award. Notwithstanding the foregoing, the number of shares of
Common Stock subject to a Meritor PSU Award with a performance period that is incomplete (or that is
complete but for which performance is not determinable due to the unavailability of the required data for
relative measures) as of the Effective Time will be determined by deeming the performance goals applicable
to such Meritor PSU Award to be achieved at the target level of performance.
In the case of any share of Meritor restricted common stock, Meritor RSU Award or Meritor PSU Award (collectively,
the “Meritor Equity Awards”) that is subject to Section 409A of the Code, all payments with respect to such Meritor
Equity Award shall be made in accordance with and at the earliest time as is consistent with the requirements of
Section 409A of the Code, and may otherwise be treated in an alternate method to the extent required by law or
agreed by the parties.
Conditions to Completion of the Merger (page 59)",10,11
"MERITOR, INC._20220418_DEFM14A_20019751_4444368.Pdf",Conditions to Completion of the Merger,"Conditions to Completion of the Merger (page 59)
Each party’s obligation to complete the Merger is subject to the satisfaction or waiver at or prior to the Effective Time
of the following conditions:
•
no law, order or injunction having been enacted, issued or promulgated by a governmental authority of
competent jurisdiction that is in effect and that restrains, enjoins or prohibits the consummation of the
Merger (the “Prohibition Condition”);
•
the approval of the Merger Proposal by the holders of a majority of all the votes entitled to be cast to
approve the Merger Agreement (the “Company Shareholder Approval”);
•
the expiration or termination of the applicable waiting period under the Hart-Scott-Rodino Antitrust
Improvements Act of 1976, as amended (the “HSR Act”), and the receipt of certain approvals under the
competition laws of certain specified jurisdictions (the “Antitrust Condition”); and
•
receipt of certain approvals under the investment laws of certain specified jurisdictions (the “Other
Regulatory Matters Condition”).
The respective obligations of Parent and Merger Sub to complete the Merger are subject to the satisfaction or waiver
by Parent and Merger Sub on or before the Effective Time of certain additional conditions, including:
•
the accuracy of the representations and warranties of the Company as of the date of the Merger Agreement
and the closing date (except to the extent such representation and warranty speaks as of any earlier date, in
which case such representation and warranty shall be true and correct as of such earlier date), subject to
certain materiality standards described in the section of this proxy statement entitled “The Merger
Agreement - Conditions to Completion of the Merger”;
•
the performance by the Company in all material respects of the covenants, obligations and agreements
required to be performed or complied with under the Merger Agreement at or prior to the closing;
4TABLE OF CONTENTS
•
the absence of any Effect or Effects that, individually or in the aggregate, (i) have had a Company Material
Adverse Effect that is continuing or (ii) that would reasonably be expected to have a Company Material
Adverse Effect within a reasonable period following the closing; and
•
no law, order or injunction having been enacted, issued or promulgated by a governmental authority of
competent jurisdiction in connection with any transaction approvals that is in effect and that requires
Parent, the Company or any of their respective subsidiaries to take or commit to take any action that
constitutes or would reasonably be expected to result in a Burdensome Condition (as defined below) (the
“No Burdensome Condition”).
The obligation of the Company to complete the Merger is subject to the satisfaction or waiver by the Company on or
before the Effective Time of certain additional conditions, including:
•
the accuracy of the representations and warranties of Parent and Merger Sub as of date of the Merger
Agreement and the closing date (except to the extent such representation and warranty speaks as of any
earlier date, in which case such representation and warranty shall be true and correct as of such earlier
date), subject to certain materiality standards described in the section of this proxy statement entitled “The
Merger Agreement - Conditions to Completion of the Merger”; and
•
the performance by each of Parent and Merger Sub in all material respects of the covenants, obligations
and agreements required to be performed or complied with under the Merger Agreement at or prior to the
closing.
Recommendation of the Meritor Board (page 25)",11,12
"MERITOR, INC._20220418_DEFM14A_20019751_4444368.Pdf",Recommendation of the Meritor Board,"Recommendation of the Meritor Board (page 25)
The Meritor Board has unanimously approved, adopted and declared advisable the Merger Agreement and the
Transactions, including the Merger, and determined that the Merger Agreement and the Transactions are fair to, and
in the best interests of, the Company and its shareholders. The Meritor Board has unanimously directed that the
Merger Agreement be submitted to the Company’s shareholders for their consideration at the special meeting and
recommends that the Company’s shareholders vote “FOR” the Merger Proposal and “FOR” the other proposals to
be considered at the special meeting.
Reasons for the Merger (page 25)",12,12
"MERITOR, INC._20220418_DEFM14A_20019751_4444368.Pdf",Reasons for the Merger,"Reasons for the Merger (page 25)
For a description of the reasons considered by the Meritor Board in resolving to recommend in favor of the approval
of the Merger Proposal, see the section of this proxy statement entitled “The Merger - Reasons for the Merger;
Recommendation of the Meritor Board.”
Opinion of Meritor’s Financial Advisor (page 29)",12,12
"MERITOR, INC._20220418_DEFM14A_20019751_4444368.Pdf",Opinion of Meritor’s Financial Advisor,"Opinion of Meritor’s Financial Advisor (page 29)
Pursuant to an engagement letter dated December 17, 2021, Meritor retained J.P. Morgan as its financial advisor in
connection with the proposed Merger and to deliver a fairness opinion in connection with the proposed Merger.
Meritor decided to engage J.P. Morgan due to, among other things, its extensive experience in Meritor’s industry, its
qualifications and its deep expertise in the matters that were to be considered by the Meritor Board.
At the meeting of the Meritor Board on February 21, 2022, J.P. Morgan rendered its oral opinion to the Meritor Board
that, as of such date and based upon and subject to the various factors, assumptions, limitations and qualifications
set forth in its written opinion, the Merger Consideration to be paid to the holders of Common Stock in the proposed
Merger was fair, from a financial point of view, to such shareholders. J.P. Morgan confirmed its February 21, 2022 oral
opinion by delivering its written opinion to the Meritor Board, dated February 21, 2022, that, as of such date, the
Merger Consideration to be paid to the holders of Common Stock in the proposed Merger was fair, from a financial
point of view, to such shareholders.
The full text of the written opinion of J.P. Morgan dated February 21, 2022, which sets forth, among other things, the
assumptions made, matters considered and limits on the review undertaken, is attached as Annex B to this proxy
statement and is incorporated herein by reference. The summary of the opinion of J.P. Morgan set forth in this proxy
statement is qualified in its entirety by reference to the full text of such opinion. Meritor’s shareholders are urged to
read the opinion in its entirety. J.P. Morgan’s written opinion was addressed to the Meritor Board (in its capacity as
such) in connection with and for the purposes of its evaluation of the proposed Merger, was directed only to the
consideration to be paid to the holders of Common Stock in the Merger and did
5TABLE OF CONTENTS
not address any other aspect of the Merger. The issuance of J.P. Morgan’s opinion was approved by a fairness
committee of J.P. Morgan. The opinion does not constitute a recommendation to any shareholder of Meritor as to
how such shareholder should vote with respect to the proposed Merger or any other matter.
For additional information, see the section entitled “The Merger (Proposal 1)-Opinion of Meritor’s Financial
Advisor” and Annex B to this proxy statement.",12,13
"MERITOR, INC._20220418_DEFM14A_20019751_4444368.Pdf",Interests of Meritor’s Directors and Executive Officers in the Merger,"Interests of Meritor’s Directors and Executive Officers in the Merger (page 36)
In considering the recommendation of the Meritor Board to vote in favor of the approval of the Merger Proposal,
Meritor shareholders should be aware that Meritor’s directors and executive officers have interests in the Merger
that may be different from, or in addition to, the interests of Meritor shareholders generally. The Meritor Board was
aware of these interests and considered them, among other matters, in evaluating and negotiating the Merger
Agreement, in reaching its decision to approve and adopt the Merger Agreement and the Transactions, including the
Merger, and in recommending to Meritor shareholders that the Merger Proposal be approved.",13,13
