Document,Section Header,Section Text,Start Page,End Page
Maxar Technologies Inc._20230316_DEFM14A_20730460_4617137.Pdf,SUMMARY,"SUMMARY
This summary highlights selected information from this proxy statement related to the Merger and may
not contain all of the information that is important to you. To understand the Merger more fully and for a
more complete description of the legal terms of the Merger, you should carefully read and consider this
entire proxy statement and the annexes to this proxy statement, including the Merger Agreement (as
defined below), along with all of the documents to which we refer in this proxy statement, as they contain
important information about, among other things, the Merger and how it affects you. You may obtain the
information incorporated by reference in this proxy statement without charge by following the instructions
in the section of this proxy statement entitled “Where You Can Find More Information.” A copy of the
Merger Agreement is attached as Annex A to this proxy statement. You should carefully read and consider
the entire Merger Agreement, which is the legal document that governs the Merger.
Except as otherwise specifically noted in this proxy statement, “Maxar,” “we,” “our,” “us,” the
“Company” and similar words refer to Maxar Technologies Inc. Throughout this proxy statement, we refer
to Galileo Parent, Inc. as “Parent,” Galileo Bidco, Inc. as “Merger Sub,” Galileo Topco, Inc. as “Preferred
Equity Issuer” and Maxar, Parent, Merger Sub and Preferred Equity Issuer each as a “party” and together
as the “parties.” In addition, throughout this proxy statement we refer to the Agreement and Plan of
Merger, dated as of December 15, 2022 (as it may be amended from time to time), by and among Maxar,
Parent, Merger Sub and solely for the purposes set forth therein, Preferred Equity Issuer as the “Merger
Agreement”; our common stock, par value $0.0001 per share, as “Maxar common stock”; and the holders
of shares of Maxar common stock as “Maxar stockholders.” Unless indicated otherwise, any other
capitalized term used herein but not otherwise defined herein has the meaning assigned to such term in the
Merger Agreement.",10,10
Maxar Technologies Inc._20230316_DEFM14A_20730460_4617137.Pdf,Parties Involved in the Merger,"Parties Involved in the Merger (see page 27)
Maxar Technologies Inc.
Maxar is a provider of comprehensive space solutions and secure, precise, geospatial intelligence.
Maxar delivers disruptive value to government and commercial customers to help them monitor, understand
and navigate our changing planet; deliver global broadband communications; and explore and advance the
use of space. Maxar’s unique approach combines decades of deep mission understanding and a proven
commercial and defense foundation to deploy solutions and deliver insights with unrivaled speed, scale and
cost effectiveness. Maxar’s 4,400 team members in over 20 global locations are inspired to harness the
potential of space to help Maxar’s customers create a better world. Maxar’s principal executive offices are
located at 1300 West 120th Avenue, Westminster, Colorado 80234, and its telephone number is (303) 684-
7660. Maxar common stock is listed on the New York Stock Exchange (which we refer to as the “NYSE”) and
the Toronto Stock Exchange (which we refer to as the “TSX”) under the symbol “MAXR.”
Galileo Parent, Inc.
Parent was incorporated on December 12, 2022, solely for the purpose of engaging in the transactions
contemplated by the Merger Agreement, and has not engaged in any activities other than in connection with
or as contemplated by the Merger Agreement.
Galileo Bidco, Inc.
Merger Sub is a wholly owned subsidiary of Parent and was incorporated on December 12, 2022, solely
for the purpose of engaging in the transactions contemplated by the Merger Agreement, and has not
engaged in any activities other than in connection with or as contemplated by the Merger Agreement.
Galileo Topco, Inc.
Preferred Equity Issuer is an indirect parent of Parent and was incorporated on December 8, 2022, solely
for the purpose of engaging in the transactions contemplated by the Merger Agreement, and has not
engaged in any activities other than in connection with or as contemplated by the Merger Agreement.
Parent, Merger Sub and Preferred Equity Issuer are each affiliated with Advent International
Corporation (which we refer to as “Advent”). British Columbia Investment Management Corporation
1 TABLE OF CONTENTS​
(which we refer to as “BCI,” and, collectively with Advent, as the “Sponsors”) or one or more of its affiliates
will also be a minority investor in Preferred Equity Issuer. Advent, based in Boston, MA, is a leading global
private equity firm focused on partnering with management teams to deliver sustained revenue and earnings
growth for its portfolio companies in five core sectors, including business and financial services; health
care; industrial; retail, consumer and leisure; and technology (including investments in defense, security and
cybersecurity as well as critical national infrastructure). BCI is amongst the largest institutional investors in
Canada and is invested in fixed income and private debt, public and private equity, infrastructure and
renewable resources, as well as real estate equity and real estate debt. BCI’s private equity program actively
manages a global portfolio of privately-held companies in the business services, consumer, financial
services, healthcare, industrials, and technology, media and telecommunications sectors. At the Effective
Time (as defined in the section of this proxy statement entitled “-",10,11
Maxar Technologies Inc._20230316_DEFM14A_20730460_4617137.Pdf,The Merger,"The Merger”), the Surviving Corporation
(as defined in the section of this proxy statement entitled “- The Merger”) will be indirectly owned by the
Sponsors and certain of their affiliates.
The Merger (see page 73)
On the terms and subject to the conditions of the Merger Agreement, and in accordance with the
General Corporation Law of the State of Delaware (which we refer to as the “DGCL”), Merger Sub will merge
with and into Maxar (which we refer to as the “Merger”), the separate corporate existence of Merger Sub will
cease and Maxar will continue its corporate existence under the DGCL as the surviving corporation in the
Merger (which we refer to as the “Surviving Corporation”). As a result of the Merger, Maxar common stock
will no longer be publicly traded and will be delisted from the NYSE and the TSX. In addition, Maxar common
stock will be deregistered under the Securities Exchange Act of 1934, as amended (which we refer to as the
“Exchange Act”), and Maxar will no longer file periodic or other reports with the United States Securities and
Exchange Commission (which we refer to as the “SEC”) or applicable Canadian securities regulators. If the
Merger is completed, you will not own any shares of capital stock of the Surviving Corporation, subject to
your appraisal rights (see the section of this proxy statement entitled “Proposal 1: Adoption of the Merger
Agreement - Appraisal Rights”). The Merger will become effective at such time as the certificate of merger
with respect to the Merger has been duly filed with the Secretary of State of the State of Delaware or at such
later date or time as may be mutually agreed by Maxar and Merger Sub and specified in the certificate of
merger in accordance with the DGCL (which we refer to as the “Effective Time”).",11,11
Maxar Technologies Inc._20230316_DEFM14A_20730460_4617137.Pdf,Merger Consideration,"Merger Consideration (see page 28)
Maxar Common Stock
At the Effective Time, by virtue of the Merger and without any action on the part of Maxar, Parent,
Merger Sub, Preferred Equity Issuer or the holders of any securities of Maxar or Merger Sub, each share of
Maxar common stock issued and outstanding immediately prior to the Effective Time (other than (a) certain
shares of Maxar common stock held in the Maxar treasury or owned, directly or indirectly, by Parent, Merger
Sub, or any wholly owned subsidiaries of Maxar (in each case, other than any such shares of Maxar common
stock held in a fiduciary, representative or other capacity on behalf of third parties), in each case immediately
prior to the Effective Time and (b) shares of Maxar common stock that are issued and outstanding
immediately prior to the Effective Time and that are held by holders who have not voted in favor of the
adoption of the Merger Agreement and who have properly and validly exercised (and not withdrawn)
appraisal rights in accordance with, and who have complied with, Section 262 of the DGCL (which we refer
to, collectively, as the “Unconverted Shares”)) will be converted automatically into the right to receive $53.00
in cash, without interest (which we refer to as the “Merger Consideration”), subject to any required tax
withholding.
At or prior to the Effective Time, Parent will deposit (or cause to be deposited) with a designated paying
agent a cash amount that is sufficient to pay the aggregate Merger Consideration in exchange for all shares
of Maxar common stock outstanding immediately prior to the Effective Time (other than the Unconverted
Shares). For more information, please see the section of this proxy statement entitled “The Merger
Agreement - Exchange and Payment Procedures.”
2 TABLE OF CONTENTS​
After the Merger is completed, you will have the right to receive the Merger Consideration in respect of
each share of Maxar common stock that you own (other than any Unconverted Shares) immediately prior to
the Effective Time (subject to any required tax withholding), but you will no longer have any rights as a
Maxar stockholder (except that Maxar stockholders who properly and validly exercise and do not withdraw
their appraisal rights will not be entitled to receive the Merger Consideration and instead shall have a right to
receive payment of the “fair value” of their shares as determined pursuant to an appraisal proceeding, as
contemplated by the DGCL). For more information, please see the section of this proxy statement entitled
“Proposal 1: Adoption of the Merger Agreement - Appraisal Rights.”
Treatment of Maxar Equity Awards
The Merger Agreement provides that, at the Effective Time: each restricted stock unit award (which we
refer to, each, as an “RSU” including any RSU granted in 2023 to any individual who is not a non-employee
Maxar director (each such RSU, a “2023 Employee RSU”)), performance stock unit award (which we refer to,
each, as a “PSU”), deferred stock unit award (which we refer to, each, as a “DSU”), and stock appreciation
right (which we refer to, each, as a “SAR”) that is outstanding as of immediately prior to the Effective Time,
whether vested or unvested, will be cancelled and converted into the right to receive an amount in cash
equal to the product of (x) the total number of shares of Maxar common stock subject to such award and (y)
the Merger Consideration (and for SARs, less the exercise price per share of Maxar common stock subject to
such SAR) (which we refer to as the “Cash Amount”), less any required tax withholding and deductions. For
purposes of clause (x) in the immediately preceding sentence, the number of shares of common stock subject
to a Maxar PSU will equal (i) for a PSU granted in 2020, 175% of the target number of shares of Maxar
common stock covered by such PSU, (ii) for a PSU granted in 2021, 176% of the target number of shares of
Maxar common stock covered by such PSU, and (iii) for a PSU granted in 2022, 184% of the target number of
shares of Maxar common stock covered by such PSU. Such payment of the Cash Amount in consideration of
33% of the number of shares of Maxar common stock covered by a 2023 Employee RSU will be paid no later
than 10 business days following the Closing Date. Such payment of the Cash Amount in consideration of
67% of the number of shares of Maxar common stock covered by a 2023 Employee RSU will be paid in two
substantially equal installments on each of January 1, 2024, and January 1, 2025, subject to the holder’s
continued employment with Maxar, the Surviving Corporation, or a subsidiary through the applicable
payment date; provided that, if such holder experiences a qualifying termination, any unpaid amount will be
paid to the holder within 30 days of such termination. For more information, please see the section of this
proxy statement entitled “The Merger Agreement -  Merger Consideration - Treatment of Maxar Equity
Awards.”",11,12
Maxar Technologies Inc._20230316_DEFM14A_20730460_4617137.Pdf,Material U.S. Federal Income Tax Consequences of the Merger,"Material U.S. Federal Income Tax Consequences of the Merger (see page 68)
The exchange of Maxar common stock for cash pursuant to the Merger will be a taxable transaction for
U.S. federal income tax purposes. Accordingly, a U.S. Holder (as defined in the section of this proxy
statement entitled “Proposal 1: Adoption of the Merger Agreement - Material U.S. Federal Income Tax
Consequences of the Merger”) who exchanges shares of Maxar common stock for cash in the Merger
generally will recognize gain or loss in an amount equal to the difference, if any, between the amount of cash
that such U.S. Holder receives in the Merger and such U.S. Holder’s adjusted tax basis in the shares of
Maxar common stock surrendered pursuant to the Merger by such U.S. Holder.
This proxy statement contains a general discussion of certain U.S. federal income tax consequences of
the Merger. This description does not address any non-income tax consequences, nor does it address state,
local, non-U.S. or other tax consequences or the consequences to holders who are subject to special
treatment under U.S. federal tax law. Consequently, you should consult your tax advisor to determine the
particular tax consequences to you of the Merger.",12,12
Maxar Technologies Inc._20230316_DEFM14A_20730460_4617137.Pdf,Appraisal Rights,"Appraisal Rights.”
Treatment of Maxar Equity Awards
The Merger Agreement provides that, at the Effective Time: each restricted stock unit award (which we
refer to, each, as an “RSU” including any RSU granted in 2023 to any individual who is not a non-employee
Maxar director (each such RSU, a “2023 Employee RSU”)), performance stock unit award (which we refer to,
each, as a “PSU”), deferred stock unit award (which we refer to, each, as a “DSU”), and stock appreciation
right (which we refer to, each, as a “SAR”) that is outstanding as of immediately prior to the Effective Time,
whether vested or unvested, will be cancelled and converted into the right to receive an amount in cash
equal to the product of (x) the total number of shares of Maxar common stock subject to such award and (y)
the Merger Consideration (and for SARs, less the exercise price per share of Maxar common stock subject to
such SAR) (which we refer to as the “Cash Amount”), less any required tax withholding and deductions. For
purposes of clause (x) in the immediately preceding sentence, the number of shares of common stock subject
to a Maxar PSU will equal (i) for a PSU granted in 2020, 175% of the target number of shares of Maxar
common stock covered by such PSU, (ii) for a PSU granted in 2021, 176% of the target number of shares of
Maxar common stock covered by such PSU, and (iii) for a PSU granted in 2022, 184% of the target number of
shares of Maxar common stock covered by such PSU. Such payment of the Cash Amount in consideration of
33% of the number of shares of Maxar common stock covered by a 2023 Employee RSU will be paid no later
than 10 business days following the Closing Date. Such payment of the Cash Amount in consideration of
67% of the number of shares of Maxar common stock covered by a 2023 Employee RSU will be paid in two
substantially equal installments on each of January 1, 2024, and January 1, 2025, subject to the holder’s
continued employment with Maxar, the Surviving Corporation, or a subsidiary through the applicable
payment date; provided that, if such holder experiences a qualifying termination, any unpaid amount will be
paid to the holder within 30 days of such termination. For more information, please see the section of this
proxy statement entitled “The Merger Agreement -  Merger Consideration - Treatment of Maxar Equity
Awards.”
Material U.S. Federal Income Tax Consequences of the Merger (see page 68)
The exchange of Maxar common stock for cash pursuant to the Merger will be a taxable transaction for
U.S. federal income tax purposes. Accordingly, a U.S. Holder (as defined in the section of this proxy
statement entitled “Proposal 1: Adoption of the Merger Agreement - Material U.S. Federal Income Tax
Consequences of the Merger”) who exchanges shares of Maxar common stock for cash in the Merger
generally will recognize gain or loss in an amount equal to the difference, if any, between the amount of cash
that such U.S. Holder receives in the Merger and such U.S. Holder’s adjusted tax basis in the shares of
Maxar common stock surrendered pursuant to the Merger by such U.S. Holder.
This proxy statement contains a general discussion of certain U.S. federal income tax consequences of
the Merger. This description does not address any non-income tax consequences, nor does it address state,
local, non-U.S. or other tax consequences or the consequences to holders who are subject to special
treatment under U.S. federal tax law. Consequently, you should consult your tax advisor to determine the
particular tax consequences to you of the Merger.
Appraisal Rights (see page 62)
If the Merger is consummated and certain conditions are met, Maxar stockholders who continuously
hold shares of Maxar common stock through the Effective Time, do not vote in favor of the adoption of the
Merger Agreement and properly demand appraisal of their shares and do not withdraw their demands or
otherwise lose their rights to seek appraisal will be entitled to seek appraisal of their shares in connection
3 TABLE OF CONTENTS​
with the Merger under Section 262 of the DGCL. This means that Maxar stockholders may be entitled to have
their shares of Maxar common stock appraised by the Delaware Court of Chancery and receive payment in
cash of the “fair value” of their shares of Maxar common stock, exclusive of any elements of value arising
from the accomplishment or expectation of the Merger, together with interest to be paid on the amount
determined to be fair value, if any, as determined by the Delaware Court of Chancery (or in certain
circumstances described in further detail in the section of this proxy statement entitled “Proposal 1:
Adoption of the Merger Agreement - Appraisal Rights,” on the difference between the amount determined to
be the fair value and the amount paid by the Surviving Corporation in the Merger to each Maxar stockholder
entitled to appraisal prior to the entry of judgment in any appraisal proceeding). Due to the complexity of the
appraisal process, Maxar stockholders who wish to seek appraisal of their shares are encouraged to seek the
advice of legal counsel with respect to the exercise of appraisal rights.
Maxar stockholders considering seeking appraisal should be aware that the fair value of their shares as
determined pursuant to Section 262 of the DGCL could be more than, the same as or less than the value of
the consideration that they would receive pursuant to the Merger Agreement if they did not seek appraisal of
their shares of Maxar common stock.
To exercise appraisal rights, Maxar stockholders must: (a) submit a written demand for appraisal to
Maxar before the vote of Maxar stockholders is taken on the proposal to adopt the Merger Agreement; (b)
not submit a proxy or otherwise vote in favor of the proposal to adopt the Merger Agreement; (c) continue to
hold shares of Maxar common stock of record through the Effective Time; and (d) strictly comply with all
other procedures for exercising appraisal rights under the DGCL. Failure to follow exactly the procedures
specified under the DGCL may result in the loss of appraisal rights. In addition, the Delaware Court of
Chancery will dismiss appraisal proceedings in respect of Maxar unless certain stock ownership conditions
are satisfied by the Maxar stockholders seeking appraisal. The DGCL requirements for exercising appraisal
rights are described in further detail in this proxy statement, which is qualified in its entirety by Section 262
of the DGCL, the relevant section of the DGCL regarding appraisal rights. A copy of Section 262 of the DGCL
is reproduced in Annex C to this proxy statement. If you hold your shares of Maxar common stock through a
bank, broker or other nominee and you wish to exercise appraisal rights, you should consult with your bank,
broker or other nominee to determine the appropriate procedures for the making of a demand for appraisal on
your behalf by your bank, broker or other nominee. For more information, please see the section of this proxy
statement entitled “Proposal 1: Adoption of the Merger Agreement - Appraisal Rights.”",12,13
Maxar Technologies Inc._20230316_DEFM14A_20730460_4617137.Pdf,Litigation Related to the Merger,"Litigation Related to the Merger (see page 67)
In connection with the Merger Agreement, several complaints have been filed in federal court as
individual actions. The complaints are captioned as follows: (1) O’Dell v. Maxar Technologies Inc., et al., 23-
cv-00929 (filed February 3, 2023 in the Southern District of New York); (2) Johnson v. Maxar Technologies
Inc., et al., 23-cv-00383 (filed February 9, 2023 in the District of Colorado); (3) Zaczkiewicz v. Maxar
Technologies Inc., et al., 23-cv-00401 (filed February 10, 2023 in the District of Colorado); and (4) Jeweltex
Manufacturing Retirement Plan v. Maxar Technologies Inc., et al., 23-cv-00873 (filed February 27, 2023 in
the Northern District of California) (which we refer to collectively as the “Complaints”).
The Complaints generally allege that the preliminary proxy statement filed by Maxar on January 31, 2023
in connection with Merger Agreement (the “Preliminary Proxy”) misrepresents and/or omits certain
purportedly material information. The Complaints assert violations of Sections 14(a) and 20(a) of the
Exchange Act and Rule 14a-9 promulgated thereunder against Maxar and the members of the Board of
Directors. The Complaints seek, among other things: (i) an injunction enjoining the consummation of the
Merger and the other transactions contemplated by the Merger Agreement; (ii) rescission or rescissory
damages in the event the Merger and the other transactions contemplated by the Merger Agreement are
consummated; (iii) direction that the defendants comply with the Exchange Act and disseminate a revised
Preliminary Proxy; (iv) direction that defendants account for all damages suffered as a result of any
misconduct; (v) costs of the action, including plaintiffs’ attorneys’ fees and experts’ fees; and (vi) other relief
the court may deem just and proper. In addition to the Complaints, starting on February 6, 2023, purported
stockholders of Maxar sent demand letters (which we refer to as the “Demands,” and together with the
Complaints, as the “Matters”) alleging similar deficiencies regarding the disclosures made in the Preliminary
4 TABLE OF CONTENTS​
Proxy. One such letter additionally seeks corporate books and records in order to investigate alleged
wrongdoing by Maxar’s Board of Directors, Maxar’s executive officers and/or Maxar’s financial advisors in
connection with the Merger Agreement.
Maxar cannot predict the outcomes of the Matters. Maxar management believes that the Matters are
without merit and intends to vigorously defend against the Matters and any subsequent demands or filed
actions. If additional similar complaints are filed or demands sent, absent new or significantly different
allegations, Maxar will not necessarily disclose such additional filings or demands.",13,14
Maxar Technologies Inc._20230316_DEFM14A_20730460_4617137.Pdf,Regulatory Approvals Required for the Merger,"Regulatory Approvals Required for the Merger (see page 70)
U.S. Regulatory Clearances
Under the Merger Agreement, the Merger cannot be completed until the waiting period applicable to the
Merger under the Hart-Scott-Rodino Antitrust Improvements Act of 1976, as amended, and the rules and
regulations promulgated thereunder (which we refer to as the “HSR Act”), has expired or been terminated.
Maxar and Parent made the filings required under the HSR Act on December 30, 2022, and the initial 30-day
waiting period expired at 11:59 p.m. Eastern Time on January 30, 2023.
Under the Merger Agreement, the Merger cannot be completed until the parties have received from the
interagency Committee on Foreign Investment in the United States (which we refer to as “CFIUS”): (a) a
written determination from CFIUS to the effect that the transactions contemplated by the Merger Agreement
do not constitute a “covered transaction” pursuant to 31 C.F.R. § 800.213, (b) a written determination from
CFIUS to the effect that review or investigation of the transactions contemplated by the Merger Agreement
has been concluded and that a determination has been made that there are no unresolved national security
concerns and all action under the CFIUS laws has been concluded, or (c) following an investigation
conducted by CFIUS pursuant to 31 C.F.R. § 800.507, CFIUS has reported the transactions contemplated by
the Merger Agreement to the President of the United States and either (i) the President of the United States
has made a decision not to suspend or prohibit such transactions pursuant to his authorities under Section
721 of the Defense Production Act of 1950, or (ii) the President of the United States has not taken any action
within 15 days from the date he received the report from CFIUS (which we refer to as the “CFIUS Approval”).
Maxar, Preferred Equity Issuer and BCI submitted a joint voluntary notice to CFIUS with respect to the
Merger and the other transactions contemplated by the Merger Agreement on February 14, 2023, and CFIUS
commenced its review of the joint voluntary notice on February 22, 2023.
In addition, the Merger cannot be completed until the parties have received from the Defense
Counterintelligence and Security Agency (which we refer to as “DCSA”) a written acknowledgement by
DCSA that it has accepted a proposed plan to mitigate any foreign ownership, control or influence with
respect to how Parent intends to govern and operate Maxar in accordance with the National Industrial
Security Program Operating Manual, as codified at 32 C.F.R. Part 117 (which we refer to as the “DCSA
Approval”). The Merger cannot be completed until at least 60 days have elapsed since Maxar submitted a
notification to the U.S. Department of State’s Directorate of Defense Trade Controls (which we refer to as
“DDTC”) (pursuant to Section 122.4 of the U.S. International Traffic in Arms Regulations (which we refer to
as the “ITAR”)). Such notification was submitted on January 16, 2023. The Merger is also subject to
approval from the U.S. Federal Communications Commission (pursuant to the Communications Act) and the
National Oceanic and Atmospheric Administration of the U.S. Department of Commerce (pursuant to the
Land Remote Sensing Policy Act).
Other Regulatory Clearances
The Merger is also subject to receipt of regulatory approvals in certain other jurisdictions. For more
information, please see the section of this proxy statement entitled “Proposal 1: Adoption of the Merger
Agreement - Regulatory Approvals Required for the Merger.” In each case, the Merger cannot be completed
until the parties obtain clearance or approval to consummate the Merger or the applicable waiting periods
have expired or been terminated. Subject to the terms and conditions of the Merger Agreement, the parties
have agreed to cooperate with each other and use their reasonable best efforts to make these filings as
promptly as practicable.
5",14,15
Maxar Technologies Inc._20230316_DEFM14A_20730460_4617137.Pdf,Closing Conditions,"Closing Conditions (see page 99)
The obligations of the parties to consummate the Merger are subject to the satisfaction or waiver of
customary conditions, including (among other conditions), the following:
the adoption of the Merger Agreement by the affirmative vote of the holders of a majority of the
outstanding shares of Maxar common stock;
(a) the expiration or termination of the waiting period applicable to the consummation of the Merger
and other transactions contemplated by the Merger Agreement and related transaction documents
under the HSR Act; (b) the obtainment of the CFIUS Approval; (c) the obtainment of the DCSA
Approval; (d) at least 60 days have elapsed since Maxar submitted the notification to DDTC pursuant
to Section 122.4(b) of the ITAR; and (e) the obtainment of all required consents and expirations or
terminations of waiting periods (as applicable) with respect to certain other required regulatory
filings;
the absence of any temporary restraining order, preliminary or permanent injunction or other order,
writ, injunction, judgment or decree preventing the consummation of the Merger and other
transactions contemplated by the Merger Agreement and related transaction documents issued by
any court of competent jurisdiction or other governmental authority that remains in effect; and the
absence of any statute, rule, regulation or other order, writ, injunction, judgment or decree enacted,
entered, enforced or deemed applicable to the Merger that makes consummation of the Merger illegal;
the accuracy of the representations and warranties contained in the Merger Agreement (subject to
certain materiality qualifiers);
in the case of Parent and Merger Sub, the absence, since December 15, 2022, of a Company Material
Adverse Effect (as defined in the section of this proxy statement entitled “The Merger Agreement - 
Representations and Warranties”) that is continuing, and no effect having occurred or existing that,
in combination with any other effects in existence, would reasonably be expected to have or result in
a Company Material Adverse Effect; and
the compliance and performance by the parties, in all material respects, of their respective covenants
and obligations required by the Merger Agreement to be complied with or performed by such party at
or prior to the Closing.",15,15
Maxar Technologies Inc._20230316_DEFM14A_20730460_4617137.Pdf,Financing of the Merger,"Financing of the Merger (see page 60)
We anticipate that the total amount of funds necessary to complete the transactions contemplated by
the Merger Agreement, and to pay related fees and expenses, will be approximately $6.4 billion. This amount
includes funds needed to: (a) pay the aggregate Merger Consideration in respect of the Maxar common stock
(other than the Unconverted Shares), (b) make payments in respect of certain vested and outstanding Maxar
equity awards payable in connection with the Closing, and (c) make payments (i) in connection with the
redemption or, in certain circumstances, the satisfaction and discharge, of all of the outstanding aggregate
principal amount of (x) the 7.750% Senior Secured Notes due 2027 issued by Maxar pursuant to the
Indenture, dated as of June 14, 2022, by and between Maxar and Wilmington Trust, National Association, as
trustee and notes collateral agent, and (y) the 7.54% Senior Secured Notes due 2027 issued by Maxar
pursuant to the Indenture, dated as of June 25, 2020, by and between Maxar and Wilmington Trust, National
Association, as trustee and notes collateral agent (which we refer to collectively as the “Notes”), in the
manner and on the timeframes set forth in the applicable Indenture and (ii) in connection with repayment of
all indebtedness outstanding under that certain Amended and Restated Credit Agreement, dated as of June
14, 2022, among Maxar, as borrower, Royal Bank of Canada, as administrative agent and as collateral agent,
and the lenders from time to time party thereto (as amended, restated, supplemented or otherwise modified
from time to time, the “Credit Agreement”) (we refer to such amounts in (a), (b) and (c), collectively, as the
“Required Amounts”).
Parent and Merger Sub have obtained committed financing (which we refer to as the “Financing”)
consisting of (a) equity financing (which we refer to as the “Equity Financing”) to be provided by certain
funds affiliated with the Sponsors and certain limited partner co-investors of funds advised by the Sponsors
6 TABLE OF CONTENTS
(which we refer to as the “Equity Financing Sources”) pursuant to the terms and conditions of the equity
commitment letters, each dated as of December 15, 2022 (as amended, restated, amended and restated,
supplemented and/or otherwise modified and/or replaced from time to time in accordance with the Merger
Agreement, which we refer to collectively as the “Equity Commitment Letters”), (b) debt financing (which we
refer to as the “Debt Financing”) to be provided by the lender parties (which we refer to as the “Lender
Parties”) to the debt commitment letter, dated December 15, 2022 (as amended, restated, amended and
restated, supplemented and/or otherwise modified and/or replaced from time to time in accordance with the
Merger Agreement, which we refer to as the “Debt Commitment Letter”) pursuant to the terms and conditions
of the Debt Commitment Letter and (c) preferred equity financing (which refer to as the “Preferred Equity
Financing”) to be provided by the preferred equity investor parties (which we refer to as the “Preferred
Equity Investor Parties”) to the preferred equity commitment letter, dated December 15, 2022 (as amended,
restated, amended and restated, supplemented and/or otherwise modified and/or replaced from time to time in
accordance with the Merger Agreement, which we refer to as the “Preferred Equity Commitment Letter” and,
together with the Equity Commitment Letters and the Debt Commitment Letter, which we refer to as the
“Financing Commitments”) pursuant to the terms and conditions of the Preferred Equity Commitment Letter.
In connection with the Merger Agreement, Parent and Merger Sub have delivered to Maxar copies of the
Debt Commitment Letter and the Equity Commitment Letters, and Preferred Equity Issuer has delivered to
Maxar a copy of the Preferred Equity Commitment Letter. Such amounts will be used to fund the aggregate
purchase price required to be paid at the Closing (as defined in the section of this proxy statement entitled
“Proposal 1: Adoption of the Merger Agreement - Closing and Effective Time”), and to also fund certain
other payments (including the Required Amounts), subject to the terms and conditions of the Merger
Agreement.
The Equity Financing Sources have committed to capitalize Parent at the Closing with an aggregate
equity contribution equal to approximately $4.1 billion for the purpose of funding the Required Amounts
(which we refer to as the “Equity Contribution”). Maxar is an express third-party beneficiary of the Equity
Commitment Letters solely with respect to (i) requiring Maxar’s consent to any amendment or modification of
the Equity Commitment Letters and (ii) the rights granted to Parent under the Equity Commitment Letters,
such that Maxar is entitled to specifically enforce the obligations of each Equity Financing Source (and any
of their respective successors or assigns) under the applicable Equity Commitment Letter through an action
for specific performance, in each case without a requirement that such enforcement be at the direction of
Parent and subject to (a) the limitations and conditions set forth in each Equity Commitment Letter and (b)
the terms and conditions of the Merger Agreement.
The Equity Financing Sources have entered into that certain Limited Guarantee, dated as of December
15, 2022 (which we refer to as the “Guarantee”), whereby they have agreed to severally (but not jointly, or
jointly and severally) guarantee the due, punctual and complete payment, performance and discharge of
either of the following mutually exclusive obligations: (a) the obligation of Parent to pay, or to provide
adequate funds for the payment to Maxar of, (1) certain indemnification and reimbursement obligations
solely if and when payable by Parent to Maxar and its representatives in connection with arrangement of the
Debt Financing and certain other fees and expenses payable by Parent pursuant to the Merger Agreement,
plus (2) an amount equal to the Parent Termination Fee (plus certain enforcement expenses payable by
Parent), solely if and when any of the Parent Termination Fee is payable pursuant to the Merger Agreement;
or (b) the obligation of Parent to fund an amount equal to the Equity Contribution in the event, and only in
the event, that specific performance with respect to Parent’s obligation to cause the Equity Financing to be
funded by Parent and to consummate the Closing is awarded against Parent pursuant to the Merger
Agreement, subject in all respects to the terms of the Merger Agreement. We refer to the obligations set
forth in the preceding sentence as the “Guaranteed Obligations.” Notwithstanding anything in the
Guarantee, the Merger Agreement or any other agreement to the contrary, Maxar has agreed that in no event
is any Equity Financing Source required to pay any amount to Maxar or any affiliate thereof under, in respect
of, or in connection with the Guarantee, the Merger Agreement or any other agreement, in excess of, in the
case of amounts paid with respect to clause (a) of the Guaranteed Obligations, the pro rata portion of such
Equity Financing Source with respect to such amounts and with respect to clause (b) of the Guaranteed
Obligations, the pro rata portion of such Equity Financing Source of the Equity Contribution.
In addition, in connection with the Merger Agreement, (a) the Lender Parties have committed to provide
Parent with Debt Financing, and (b) Parent has obtained commitments for Preferred Equity
7 
TABLE OF CONTENTS​
Financing, together in an aggregate principal amount that is sufficient, when taken together with the Equity
Financing, to pay the Required Amounts. The obligations of the Lender Parties to provide Debt Financing
under the Debt Commitment Letter, and the obligations of the Preferred Equity Investor Parties to provide
Preferred Equity Financing under the Preferred Equity Commitment Letter, in each case, are subject to a
number of customary conditions, including the substantially concurrent consummation of the Merger. For
more information, please see the section of this proxy statement entitled “The Merger Agreement - Debt
Financing and Preferred Equity Financing.”",15,17
