Document,Section Header,Section Text,Start Page,End Page
Myovant Sciences Ltd._20230123_DEFM14A_20573637_4573939.Pdf,SUMMARY TERM SHEET,"SUMMARY TERM SHEET
This Summary Term Sheet, together with the section of this proxy statement entitled “Questions and Answers
About the Special General Meeting and the Merger” beginning on page 12, highlights certain information in this
proxy statement but may not contain all of the information that may be important to you. To understand the Merger
more fully and for a more complete description of the legal terms of the Merger, you should carefully read this entire
proxy statement, the annexes to this proxy statement and the documents that we refer to in this proxy statement, as
well as the related Schedule 13E-3, including the exhibits thereto. Each item in this Summary Term Sheet includes
a page reference directing you to a more complete description of that topic. You may obtain any additional
information referred to in this proxy statement without charge by following the instructions under the caption
“Where You Can Find Additional Information” beginning on page 136. The Merger Agreement is attached as
Annex A to this proxy statement. We encourage you to read the Merger Agreement, which is the legal document
that governs the Merger, carefully and in its entirety.
Except as otherwise specifically noted in this proxy statement, “Myovant,” the “surviving company,” “we,”
“our,” “us” and similar words refer to Myovant Sciences Ltd., including, in certain cases, our subsidiaries.
Throughout this proxy statement, we refer to: Sumitomo Pharma Co., Ltd. as “SMP”; Sumitovant Biopharma Ltd. as
“Sumitovant”; Zeus Sciences Ltd. as “Merger Sub”; and SMP, Sumitovant and Merger Sub collectively as the
“Purchaser Filing Persons,” and we refer to SMP and its controlled affiliated entities, including Sumitovant, and
Merger Sub (but in all instances excluding Myovant and its subsidiaries), collectively as the “Sumitomo Pharma
Group,” and we refer to the Sumitomo Pharma Group together with Sumitomo Chemical Co., Ltd. (“Sumitomo
Chemical”), as the “Sumitomo Group.” In addition, throughout this proxy statement we also refer to the Agreement
and Plan of Merger, dated October 23, 2022, by and among Myovant, Sumitovant, Merger Sub, and solely with
respect to Article IX and Annex A thereof, SMP, as it may be amended from time to time in accordance with its terms,
as the “Merger Agreement”; and we refer to the related Statutory Merger Agreement contemplated to be executed
and delivered by Myovant, Sumitovant and Merger Sub, as the “Statutory Merger Agreement.”
The Special General Meeting",11,11
Myovant Sciences Ltd._20230123_DEFM14A_20573637_4573939.Pdf,The Special General Meeting,"The Special General Meeting
The special general meeting of shareholders (the “special general meeting”) will be held at 10:00 a.m., United
Kingdom local time, on March 1, 2023, at the offices of Vistra UK Limited, 7th Floor, 50 Broadway, London SW1H
0DB, United Kingdom. Directions to the special general meeting may be found by visiting
https://www.vistra.com/locations/emea/united-kingdom#London. Information on how to vote in person at the special
general meeting is discussed below. At the special general meeting, shareholders will be asked to consider and vote
upon:
•
a proposal to adopt and approve the Merger Agreement and the related Statutory Merger Agreement and
the transactions contemplated by the Merger Agreement, the Statutory Merger Agreement and the
Sumitovant Voting Agreement, including a merger, pursuant to which Merger Sub will merge with and into
Myovant (the “Merger”), with Myovant continuing as the surviving company following the Merger as a
wholly owned subsidiary of Sumitovant (the “Merger Proposal”);
•
a non-binding, advisory proposal to approve specified compensation that may become payable to
Myovant’s named executive officers in connection with the completion of the Merger (the “Compensation
Proposal”); and
•
a proposal to approve an adjournment of the special general meeting, if necessary or appropriate (as
determined by Myovant after consultation in good faith with Sumitovant), to solicit additional proxies if
there are insufficient votes at the time of the special general meeting to approve the Merger Proposal (the
“Adjournment Proposal”).
For more information, please see the section entitled “The Special General Meeting” beginning on page 81.",11,11
Myovant Sciences Ltd._20230123_DEFM14A_20573637_4573939.Pdf,Record Date and Quorum,"Record Date and Quorum
Holders of record of the common shares of Myovant, par value $0.000017727 per share (the “Myovant common
shares”), as of the close of business on January 20, 2023 (the “record date”), are entitled to receive notice of and to
vote at the special general meeting. On the record date, 97,235,316 Myovant common shares were issued and
outstanding.
 
1TABLE OF CONTENTS
The presence at the special general meeting of holders of Myovant common shares representing, in person or
by proxy, a majority of the issued and outstanding Myovant common shares entitled to vote at the meeting as of the
record date will constitute a quorum, permitting Myovant to conduct its business at the special general meeting.
For more information, please see the section entitled “The Special General Meeting-Record Date and Quorum”
beginning on page 81.
Required Votes",11,12
Myovant Sciences Ltd._20230123_DEFM14A_20573637_4573939.Pdf,Required Votes,"Required Votes
Merger Proposal
The Merger cannot be completed unless the Merger Proposal is approved by the affirmative vote of the holders
of (i) a majority of the issued and outstanding Myovant common shares entitled to vote on the Merger Proposal and
voting at the special general meeting (such vote, the “General Shareholder Approval”) and (ii) a majority of the
outstanding Myovant common shares held by Myovant’s shareholders other than Sumitovant or its affiliates (the
“Minority Shareholders”) (such vote, the “Minority Shareholder Approval” and together with the General
Shareholder Approval, the “Required Shareholder Approval”). As a result of the voting standard for the Minority
Shareholder Approval, if you fail to vote or abstain from voting on the Merger Proposal, the effect will be the same
as a vote “AGAINST” the Merger Proposal. Pursuant to the voting and support agreement entered into between
Myovant and Sumitovant concurrently with the execution of the Merger Agreement (the “Sumitovant Voting
Agreement”), Sumitovant has agreed to vote or cause to be voted all of the Myovant common shares that it or its
affiliates (other than Myovant and its subsidiaries) beneficially own in favor of the approval of the Merger Proposal
and all other proposals being presented at the special general meeting. If Sumitovant votes in compliance with the
terms of the Sumitovant Voting Agreement, the General Shareholder Approval will be obtained, but such vote will
have no effect on the Minority Shareholder Approval.
For more information, please see the section entitled “Proposal 1: The Merger Proposal-Required Vote”
beginning on page 86.
Compensation Proposal
The Compensation Proposal requires the affirmative vote of holders of a majority of the issued and outstanding
Myovant common shares entitled to vote on such matter and voting at the special general meeting in accordance
with Myovant’s Fifth Amended and Restated Bye-Laws (the “Bye-Laws”). If you fail to vote or abstain from voting
on the Compensation Proposal, your Myovant common shares will not be counted in determining, and will have no
effect on, the outcome of such proposal.
For more information, please see the section entitled “Proposal 2: Non-Binding, Advisory Vote on Merger-
Related Executive Compensation-Required Vote” beginning on page 124.
Adjournment Proposal
The Adjournment Proposal requires approval by the holders of a majority of the issued and outstanding
Myovant common shares present, in person or by proxy, and entitled to vote on such matter at the special general
meeting. If you fail to vote, your Myovant common shares will not be counted in determining, and will have no effect
on, the outcome of the Adjournment Proposal. If you abstain from voting on the Adjournment Proposal, the effect
will be the same as a vote “AGAINST” the Adjournment Proposal.
For more information, please see the section entitled “Proposal 3: Adjournment Proposal-Required Vote”
beginning on page 125.
The Parties to the Merger",12,12
Myovant Sciences Ltd._20230123_DEFM14A_20573637_4573939.Pdf,The Parties to the Merger,"The Parties to the Merger
Myovant Sciences Ltd.
Myovant is a biopharmaceutical company that aspires to redefine care for women and men through purpose-
driven science, empowering medicines, and transformative advocacy worldwide. Founded in 2016, Myovant has
executed multiple successful Phase 3 clinical trials across hormone-sensitive oncology and women’s health leading to
multiple regulatory approvals in the United States and Europe. Myovant and/or its collaboration
2TABLE OF CONTENTS
and commercialization partners have been commercializing ORGOVYX®, MYFEMBREE® and RYEQO® since the
respective approvals for these drug products. Myovant and/or its collaboration and commercialization partners
continue to submit regulatory filings to seek approval for additional indications of its lead products as well as
continue further development of pipeline assets. Sumitovant, a wholly owned subsidiary of SMP, is Myovant’s
majority shareholder. For more information about Myovant, please see the section entitled “The Parties to the
Merger-Myovant Sciences Ltd.” beginning on page 85.
Sumitomo Pharma Co., Ltd.
SMP is a pharmaceutical company in Japan, operating globally in major pharmaceutical markets, including Japan,
the U.S., China, and other Asian countries with about 7,000 employees worldwide. For more information about SMP,
please see the section entitled “The Parties to the Merger-Sumitomo Pharma Co., Ltd.” beginning on page 85.
Sumitovant Biopharma Ltd.
Sumitovant, a Bermuda exempted company limited by shares, is a global biopharmaceutical company with its
principal place of business in London. Sumitovant is a wholly owned subsidiary of SMP. For more information about
Sumitovant, please see the section entitled “The Parties to the Merger-Sumitovant Biopharma Ltd.” beginning on
page 85.
Zeus Sciences Ltd.
Zeus Sciences Ltd. is a newly formed Bermuda exempted company limited by shares and a wholly owned direct
subsidiary of Sumitovant and was formed solely for the purpose of engaging in the Merger and other related
transactions. For more information about Zeus Sciences Ltd., please see the section entitled “The Parties to the
Merger-Zeus Sciences Ltd.” beginning on page 85.",12,13
Myovant Sciences Ltd._20230123_DEFM14A_20573637_4573939.Pdf,The Merger Proposal,"The Merger Proposal
You are being asked to consider and vote upon a proposal to adopt and approve the Merger Agreement, the
Statutory Merger Agreement, the Merger and the other transactions contemplated by the Merger Agreement, the
Statutory Merger Agreement and the Sumitovant Voting Agreement.
The Merger Agreement provides that subject to the terms and conditions set forth in the Merger Agreement
and the Statutory Merger Agreement, at the time the Merger becomes effective, each common share of Myovant, par
value $0.000017727 per share (each, a “Myovant common share”) that is issued and outstanding immediately prior to
the effective time of the Merger (the “effective time”) (other than Myovant common shares held by (i) holders who
are entitled to and properly demand an appraisal of their Myovant common shares pursuant to Section 106 of the
Companies Act of 1981 of Bermuda, as amended (the “Bermuda Companies Act”) (as further described below,
“Dissenting Holders”), (ii) Sumitovant or (iii) Myovant or its direct or indirect wholly owned subsidiaries), will be
cancelled and automatically cease to exist, and each holder of such cancelled Myovant common shares will be
entitled to receive $27.00 per share in cash, without interest and less any applicable withholding taxes (the “per share
merger consideration”).
In addition, any holder of Myovant common shares who does not vote in favor of the Merger Proposal and who
is not satisfied that they have been offered fair value for their Myovant common shares will have the right to seek
appraisal of the fair value of such holder’s Myovant common shares, but only if such holder complies with all the
requirements of Section 106 of the Bermuda Companies Act, which is the appraisal rights statute applicable to
Bermuda companies and which is summarized in the section entitled “Rights of Appraisal” beginning on page 122
and reproduced in its entirety in Annex D to this proxy statement. Any such holder who complies with the appraisal
requirements shall have the right to receive the per share merger consideration and, to the extent that the appraised
value of such holder’s Myovant common shares exceeds the per share merger consideration for their Myovant
common shares, the excess.
If the Merger is consummated, Myovant will become a privately held company, wholly owned by Sumitovant.
Sumitovant is a wholly owned subsidiary of SMP, and SMP and Sumitovant are affiliates of Sumitomo Chemical.
3TABLE OF CONTENTS
For more information, please see the section entitled “Proposal 1: The Merger Proposal” beginning on page 86.
When the Merger Becomes Effective",13,14
Myovant Sciences Ltd._20230123_DEFM14A_20573637_4573939.Pdf,When the Merger Becomes Effective,"When the Merger Becomes Effective
The closing of the Merger (the “Closing”) will take place on a date to be specified by Myovant and Sumitovant,
which will be no later than the seventh business day after all of the conditions to the Merger are satisfied or, to the
extent permitted by law, waived, other than those conditions that by their nature are to be satisfied at the Closing (so
long as such conditions are reasonably capable of being satisfied), but subject to the satisfaction or waiver of those
conditions (such date, the “Closing Date”).
For more information, please see the section entitled “The Merger Agreement-Closing; Effective Time of the
Merger” beginning on page 87.
Reasons for the Merger; Recommendation of the Special Committee and the Myovant Board; Fairness of the",14,14
Myovant Sciences Ltd._20230123_DEFM14A_20573637_4573939.Pdf,"Reasons for the Merger; Recommendation of the Special Committee and the Myovant Board; Fairness of the
Merger","Reasons for the Merger; Recommendation of the Special Committee and the Myovant Board; Fairness of the
Merger
At a meeting held on October 23, 2022, the board of directors of Myovant (the “Myovant Board”) (other than
the three directors designated by Sumitovant and/or SMP pursuant to the Investor Rights Agreement (as defined
below) (the “Sumitomo Directors”), who at the time of the October 23, 2022 meeting were Adele Gulfo, Myrtle Potter
and Shigeyuki Nishinaka and who recused themselves from determinations related to a potential transaction with
Sumitovant and SMP due to their affiliation with Sumitovant and/or SMP), acting upon the unanimous
recommendation of the Special Committee (the “Special Committee”) consisting solely of independent directors
serving on the audit committee of the Myovant Board (the “Audit Committee”), (i) determined that the per share
merger consideration constitutes fair value for each Myovant common share in accordance with the Bermuda
Companies Act, (ii) determined that the terms of the Merger Agreement, the Statutory Merger Agreement, the Merger
and the other transactions contemplated by the Merger Agreement, the Statutory Merger Agreement and the
Sumitovant Voting Agreement are fair to and in the best interests of Myovant and its shareholders (including
“unaffiliated security holders,” as defined under Rule 13e-3 under the Securities Exchange Act of 1934, as amended
(together with the rules and regulations promulgated thereunder, the “Exchange Act”)), (iii) approved and declared
advisable the execution, delivery and performance of the Merger Agreement and the Statutory Merger Agreement,
the Merger and the other transactions contemplated by the Merger Agreement, the Statutory Merger Agreement and
the Sumitovant Voting Agreement, and (iv) subject to the right of the Special Committee and the Myovant Board
(acting upon the recommendation of the Special Committee) to change their recommendations in certain
circumstances specified in the Merger Agreement, determined to recommend that Myovant’s shareholders vote in
favor of the adoption and approval of the Merger Agreement and the Statutory Merger Agreement, the Merger and
the other transactions contemplated by the Merger Agreement, the Statutory Merger Agreement and the Sumitovant
Voting Agreement, at a duly held meeting of Myovant’s shareholders for such purpose.
For more information, please see the section entitled “Special Factors-Reasons for the Merger; Recommendation
of the Special Committee and the Myovant Board; Fairness of the Merger” beginning on page 34.
Opinion of Financial Advisor to the Special Committee",14,14
Myovant Sciences Ltd._20230123_DEFM14A_20573637_4573939.Pdf,Opinion of Financial Advisor to the Special Committee,"Opinion of Financial Advisor to the Special Committee
Goldman Sachs & Co. LLC (“Goldman Sachs”) delivered its oral opinion to the Special Committee, subsequently
confirmed in writing, that, as of October 23, 2022, and based upon and subject to the factors and assumptions set
forth therein, the $27.00 in cash per share merger consideration to be paid to the Minority Shareholders pursuant to
the Merger Agreement, was fair, from a financial point of view, to such holders.
The full text of the written opinion of Goldman Sachs, dated October 23, 2022, which sets forth assumptions
made, procedures followed, matters considered and limitations on the review undertaken in connection with the
opinion, is attached as Annex C. The summary of Goldman Sachs’ opinion contained in this proxy statement is
qualified in its entirety by reference to the full text of Goldman Sachs’ written opinion. Goldman Sachs provided
advisory services and its opinion for the information and assistance of the Special Committee in its consideration of
the Merger. Goldman Sachs’ opinion is not a recommendation as to how any holder of Myovant common shares
should vote with respect to the Merger or any other matter. Pursuant to an engagement letter, dated April 29, 2022,
among Myovant, the Special
4TABLE OF CONTENTS
Committee and Goldman Sachs, Myovant has agreed to pay Goldman Sachs a transaction fee of $38.9 million, with
the possibility of an additional fee, payable at the sole discretion of the Special Committee, of 0.5% of the aggregate
consideration paid, all of which is contingent upon consummation of the Merger.
For additional information regarding the opinion delivered by Goldman Sachs to the Special Committee, please
see the section entitled “Special Factors-Opinion of Financial Advisor to the Special Committee” beginning on page
43.",14,15
Myovant Sciences Ltd._20230123_DEFM14A_20573637_4573939.Pdf,Purposes and Reasons of the Purchaser Filing Persons for the Merger,"Purposes and Reasons of the Purchaser Filing Persons for the Merger
Under the U.S. Securities and Exchange Commission (the “SEC”) rules governing “going-private” transactions,
including Rule 13e-3 under the Exchange Act, the Purchaser Filing Persons are deemed to be “affiliates” of Myovant
and engaged in a “going-private” transaction, and therefore, may be required to disclose its purposes and reasons
for the Merger to Myovant’s “unaffiliated security holders” as defined under Rule 13e-3 under the Exchange Act.
The Purchaser Filing Persons are making the statements included in this section solely for the purpose of complying
with the requirements of Rule 13e-3 and related rules under the Exchange Act. However, the Purchaser Filing Persons
are not making any recommendation to any Minority Shareholder as to how that shareholder should vote on any
proposal, and the views of each of the Purchaser Filing Persons should not be construed as a recommendation to any
Minority Shareholder as to how such shareholder should vote. The Purchaser Filing Persons have interests in the
Merger that are different from those of the Minority Shareholders.
For the Purchaser Filing Persons, the purpose of the Merger is to enable (i) Sumitovant to acquire 100%
ownership and control of Myovant in a transaction in which holders of Myovant common shares (other than
Myovant common shares held by (a) Dissenting Holders, (b) Sumitovant or (c) Myovant or its wholly owned
subsidiaries) immediately prior to the effective time will receive $27.00 per Myovant common share, and (ii) the
Purchaser Filing Persons to own 100% of the equity interests in Myovant after the Merger.
The Purchaser Filing Persons believe that after the Merger is consummated, Myovant should have greater
operating flexibility and more efficient access to capital, which should support Myovant’s long-term growth and
profitability. If that happens, the Purchaser Filing Persons (and not the Minority Shareholders) will benefit from any
resulting increase in the value of Myovant. Accordingly, the Purchaser Filing Persons have decided to undertake to
pursue the Merger at this time for the reasons described above, among others.
For a more complete discussion of the reasons of the Purchaser Filing Persons for the Merger, please see the
section entitled “Special Factors-Purposes and Reasons of the Purchaser Filing Persons for the Merger” beginning
on page 53.
Position of the Purchaser Filing Persons as to Fairness of the Merger",15,15
