Document,Section Header,Section Text,Start Page,End Page
NATIONAL INSTRUMENTS CORP_20230525_DEFM14A_20911673_4672792.Pdf,SUMMARY,"SUMMARY
This summary highlights selected information from this proxy statement related to the Merger and may not
contain all of the information that is important to you. To understand the Merger more fully and for a more
complete description of the legal terms of the Merger, you should carefully read and consider this entire proxy
statement and the annexes to this proxy statement, including the Merger Agreement (as defined below), along with
all of the documents to which we refer in this proxy statement, as they contain important information about, among
other things, the Merger and how it affects you. You may obtain the information incorporated by reference in this
proxy statement without charge by following the instructions in the section of this proxy statement entitled “Where
You Can Find More Information.” A copy of the Merger Agreement is attached as Annex A to this proxy statement.
You should carefully read and consider the entire Merger Agreement, which is the legal document that governs the
Merger.
Except as otherwise specifically noted in this proxy statement, “NI,” “we,” “our,” “us,” the “Company” and
similar words refer to National Instruments Corporation. Throughout this proxy statement, we refer to Emerson
Electric Co. as “Parent” or “Emerson,” Emersub CXIV, Inc. as “Merger Sub,” and NI, Parent, and Merger Sub each
as a “party” and together as the “parties.” In addition, throughout this proxy statement we refer to the Agreement
and Plan of Merger, dated as of April 12, 2023 (as it may be amended from time to time), by and among NI, Parent,
and Merger Sub as the “Merger Agreement”; our common stock, par value $0.01 per share, as “NI common stock”;
and the holders of shares of NI common stock as “NI stockholders.” Unless indicated otherwise, any other
capitalized term used herein but not otherwise defined herein has the meaning assigned to such term in the Merger
Agreement.
Parties Involved in the Merger (see page 23)",10,10
NATIONAL INSTRUMENTS CORP_20230525_DEFM14A_20911673_4672792.Pdf,Parties Involved in the Merger,"Parties Involved in the Merger (see page 23)
National Instruments Corporation
NI was started over 40 years ago on an idea of connecting engineers through software. NI’s founders created
technology to connect instruments to computers in order to accelerate the testing and measurement of innovative
technology, and this was the seed of a philosophy of accelerating innovation that continues to be a driving force of
our culture, our business, and our operations today. NI strives to enable customers around the world to do their most
ambitious work while meeting fast-moving market demands. NI provides the integration of a modular flexible software
connected platform and open, flexible software systems, to consistently support organizations’ evolving test and
measurement needs. NI’s overarching goal is to be the leader in software connected automated test and automated
measurement systems. NI’s principal executive offices are located at 11500 North Mopac Expressway, Austin, Texas
78759, and its telephone number is (512) 683-0100. NI common stock is listed on the NASDAQ Stock Market, LLC
(which we refer to as “NASDAQ”) under the symbol “NATI.”
Emerson Electric Co.
Emerson is a global technology and software company providing innovative solutions for the world’s essential
industries. Through its leading automation portfolio, including its majority stake in AspenTech, Emerson helps
hybrid, process and discrete manufacturers optimize operations, protect personnel, reduce emissions and achieve
their sustainability goals. Emerson common stock is listed on the New York Stock Exchange (which we refer to as
“NYSE”) under “EMR” and NYSE Chicago.
Emersub CXIV, Inc.
Merger Sub is a wholly owned subsidiary of Parent and was incorporated on April 6, 2023, solely for the
purpose of engaging in the transactions contemplated by the Merger Agreement, and has not engaged in any
activities other than in connection with or as contemplated by the Merger Agreement.
The Merger (see page 64)",10,10
NATIONAL INSTRUMENTS CORP_20230525_DEFM14A_20911673_4672792.Pdf,The Merger,"The Merger (see page 64)
On the terms and subject to the conditions of the Merger Agreement, and in accordance with the General
Corporation Law of the State of Delaware (which we refer to as the “DGCL”), Merger Sub will merge with and into NI
(which we refer to as the “Merger”), the separate corporate existence of Merger Sub will cease and NI will continue
its corporate existence under the DGCL as the surviving corporation in the Merger (which we refer to as the
“Surviving Corporation”). As a result of the Merger, NI common stock will no longer be publicly
1TABLE OF CONTENTS
traded and will be delisted from NASDAQ. In addition, NI common stock will be deregistered under the Securities
Exchange Act of 1934, as amended (which we refer to as the “Exchange Act”), and NI will no longer file periodic or
other reports with the United States Securities and Exchange Commission (which we refer to as the “SEC”). If the
Merger is completed, you will not own any shares of capital stock of the Surviving Corporation, subject to your
appraisal rights (see the section of this proxy statement entitled “Proposal 1: Adoption of the Merger Agreement -
Appraisal Rights”). The Merger will become effective at such time as the certificate of merger with respect to the
Merger has been duly filed with the Delaware Secretary of State or at such later date or time as may be agreed by NI
and Parent and specified in the certificate of merger in accordance with the DGCL (which we refer to as the “Effective
Time”).
Merger Consideration (see page 65)",10,11
NATIONAL INSTRUMENTS CORP_20230525_DEFM14A_20911673_4672792.Pdf,Merger Consideration,"Merger Consideration (see page 65)
NI Common Stock
At the Effective Time, by virtue of the Merger and without any action on the part of NI, Parent, Merger Sub, or
the holders of any securities of NI or Merger Sub, each share of NI common stock outstanding immediately prior to
the Effective Time (other than (a) each share held by any subsidiary of either NI or Parent (other than Merger Sub)
immediately prior to the Effective Time, which will be converted into such number of shares of common stock of the
Surviving Corporation such that each such subsidiary owns the same percentage of the outstanding capital stock of
the Surviving Corporation immediately following the Effective Time as such subsidiary owned in NI immediately prior
to the Effective Time, (b) each share that is owned by NI as treasury stock or otherwise (other than, for the avoidance
of doubt, shares of common stock reserved for issuance under any of the Company Equity Plans or the Company
ESPP) or held by Parent or Merger Sub immediately prior to the Effective Time, which will be cancelled and will cease
to exist, and (c) shares that are issued and outstanding immediately prior to the Effective Time (other than the shares
described in (a) and (b)) and that are held by holders of such Shares who have not voted in favor of the adoption of
the Merger Agreement or consented thereto in writing and are entitled to demand and properly demand appraisal of
such Shares, as applicable, pursuant to, and who have properly exercised and perfected their demands for appraisal
rights under and comply in all respects with, Section 262 of the DGCL (which we refer to, collectively, as the
“Unconverted Shares”)) will be converted automatically into the right to receive $60.00 in cash (which we refer to as
the “Merger Consideration”), subject to any required tax withholding.
No later than the Effective Time, Parent will deposit (or cause to be deposited) with a designated paying agent a
cash amount that is sufficient to pay the aggregate Merger Consideration in exchange for all shares of NI common
stock outstanding immediately prior to the Effective Time (other than the shares described in clauses (a) and (b) of
the definition of the Unconverted Shares). For more information, please see the section of this proxy statement
entitled “The Merger Agreement - Exchange and Payment Procedures.”
After the Merger is completed, you will have the right to receive the Merger Consideration in respect of each
share of NI common stock that you own (other than any Unconverted Shares) immediately prior to the Effective Time
(subject to any required tax withholding), but you will no longer have any rights as an NI stockholder (except that NI
stockholders who properly and validly exercise and do not withdraw their appraisal rights will not be entitled to
receive the Merger Consideration and instead will have a right to receive payment of the “fair value” of their shares
as determined pursuant to an appraisal proceeding, as contemplated by the DGCL). For more information, please see
the section of this proxy statement entitled “Proposal 1: Adoption of the Merger Agreement - Appraisal Rights.”
Treatment of NI Equity Awards
Pursuant to the Merger Agreement, at the Effective Time, each award of time-vesting restricted stock units in
respect of NI common stock (a “Company RSU”) that is outstanding as of immediately prior to the Effective Time and
that is vested or vests by its terms upon the Effective Time or is held by a non-employee director or former service
provider of NI (whether vested or unvested) will be automatically canceled and converted into the right to receive
(without interest) an amount in cash, subject to applicable withholding, equal to the product of (i) the Merger
Consideration and (ii) the total number of shares of NI common stock subject to such Company RSU as of
immediately prior to the Effective Time. Each other Company RSU that is outstanding as of immediately prior to the
Effective Time will be converted into a restricted stock unit award in respect of Emerson common stock (an “Emerson
RSU”) of equivalent value and with the same terms and conditions as applied to such Company RSU immediately
prior to the Effective Time.
2TABLE OF CONTENTS
Pursuant to the Merger Agreement, at the Effective Time, each award of performance-vesting restricted stock
units in respect of NI common stock (a “Company PSU”) that is outstanding as of immediately prior to the Effective
Time and that is vested or vests by its terms upon the Effective Time or is held by a non-employee director or former
service provider of NI (whether vested or unvested) will be automatically canceled and converted into the right to
receive (without interest) an amount in cash, subject to applicable withholding, equal to the product of (i) the Merger
Consideration and (ii) the total number of shares of NI common stock subject to such Company PSU as of
immediately prior to the Effective Time (assuming that performance was achieved at the target level if the applicable
performance period has not been completed at or prior to the Effective Time). Each other Company PSU that is
outstanding as of immediately prior to the Effective Time will be converted into an Emerson RSU of equivalent value
and with the same terms and conditions as applied to such Company PSU immediately prior to the Effective Time
(excluding any performance-based vesting conditions), assuming that performance was achieved at the target level if
the applicable performance period has not been completed at or prior to the Effective Time.
For more information, please see the section of this proxy statement entitled “The Merger Agreement - Merger
Consideration - Treatment of NI Equity Awards.”
Treatment of the Company ESPP
Prior to the Effective Time, the Board of Directors or the appropriate committee thereof will take all actions
reasonably necessary to: (i) cause the offering period ongoing under the Company’s 1994 Employee Stock Purchase
Plan (the “Company ESPP”) as of the date of the Merger Agreement to be the final offering period thereunder and the
options under the Company ESPP to be exercised on the earlier of (A) the scheduled purchase date for such offering
period and (B) the date that is five business days prior to the Closing Date, (ii) prohibit any individual who is not
participating in the Company ESPP as of the date of the Merger Agreement from commencing participation in the
Company ESPP following the date of the Merger Agreement, (iii) prohibit participants in the Company ESPP from
increasing their payroll deductions from those in effect as of the date of the Merger Agreement and (iv) terminate the
Company ESPP as of, and subject to, the Effective Time.
For more information, please see the section of this proxy statement entitled “The Merger Agreement - Merger
Consideration - Treatment of the Company ESPP.”",11,12
NATIONAL INSTRUMENTS CORP_20230525_DEFM14A_20911673_4672792.Pdf,Material U.S. Federal Income Tax Consequences of the Merger,"Material U.S. Federal Income Tax Consequences of the Merger (see page 60)
The exchange of NI common stock for cash pursuant to the Merger will be a taxable transaction for U.S. federal
income tax purposes. Accordingly, a U.S. Holder (as defined in the section of this proxy statement entitled “Proposal
1: Adoption of the Merger Agreement - Material U.S. Federal Income Tax Consequences of the Merger”) who
exchanges shares of NI common stock for cash in the Merger generally will recognize gain or loss in an amount equal
to the difference, if any, between the amount of cash that such U.S. Holder receives in the Merger and such U.S.
Holder’s adjusted tax basis in the shares of NI common stock surrendered pursuant to the Merger by such U.S.
Holder.
This proxy statement contains a general discussion of certain material U.S. federal income tax consequences of
the Merger. This description does not address any non-income tax consequences, nor does it address state, local,
non-U.S. or other tax consequences or the consequences to holders who are subject to special treatment under U.S.
federal tax law. Consequently, you should consult your tax advisor to determine the particular tax consequences to
you of the Merger.
Appraisal Rights (see page 55)",12,12
NATIONAL INSTRUMENTS CORP_20230525_DEFM14A_20911673_4672792.Pdf,Appraisal Rights,"Appraisal Rights (see page 55)
If the Merger is consummated, NI stockholders who continuously hold shares of NI common stock through the
Effective Time, do not vote in favor of the adoption of the Merger Agreement and properly demand appraisal of their
shares and do not withdraw their demands or otherwise lose their rights to seek appraisal will be entitled to seek
appraisal of their shares in connection with the Merger under Section 262 of the DGCL. This means that NI
stockholders who perfect their appraisal rights, do not thereafter withdraw their demand for appraisal, and follow the
procedures in the manner prescribed by Section 262 of the DGCL may be entitled to have their shares appraised by
the Delaware Court of Chancery and to receive payment in cash of the “fair value” of their shares of NI common
stock, exclusive of any elements of value arising from the accomplishment or expectation of the Merger, as
determined by the Delaware Court of Chancery, together with interest to be paid on the amount
3TABLE OF CONTENTS
determined to be fair value, if any (or in certain circumstances described in further detail in the section of this proxy
statement entitled “Proposal 1: Adoption of the Merger Agreement - Appraisal Rights,” on the difference between
the amount determined to be the fair value and the amount paid by the Surviving Corporation in the Merger to each
NI stockholder entitled to appraisal prior to the entry of judgment in any appraisal proceeding). Due to the complexity
of the appraisal process, NI stockholders who wish to seek appraisal of their shares are encouraged to review Section
262 of the DGCL carefully and to seek the advice of legal counsel with respect to the exercise of appraisal rights.
NI stockholders considering seeking appraisal should be aware that the fair value of their shares as determined
pursuant to Section 262 of the DGCL could be more than, the same as or less than the value of the consideration that
they would receive pursuant to the Merger Agreement if they did not seek appraisal of their shares.
To exercise your appraisal rights, you must: (a) submit a written demand for appraisal to NI before the vote is
taken on the adoption of the Merger Agreement; (b) not submit a proxy or otherwise vote in favor of the proposal to
adopt the Merger Agreement; (c) continue to hold your shares of NI common stock of record through the Effective
Time; and (d) strictly comply with all other procedures for exercising appraisal rights under Section 262 of the DGCL.
Your failure to follow exactly the procedures specified under Section 262 of the DGCL may result in the loss of your
appraisal rights. In addition, the Delaware Court of Chancery will dismiss appraisal proceedings in respect of the
Merger unless certain stock ownership conditions are satisfied by the NI stockholders seeking appraisal. The DGCL
requirements for exercising appraisal rights are described in further detail in the section of this proxy statement
entitled “Proposal 1: Adoption of the Merger Agreement - Appraisal Rights,” which is qualified in its entirety by
Section 262 of the DGCL, the relevant section of the DGCL regarding appraisal rights. A copy of Section 262 of the
DGCL may be accessed without subscription or cost at the Delaware Code Online (available at https://
delcode.delaware.gov/title8/c001/sc09/index.html#262) and is incorporated herein by reference. If you hold your
shares of NI common stock through a bank, brokerage firm or other nominee and you wish to exercise appraisal
rights, you may make a written demand for appraisal in your own name, but you must satisfy the conditions set forth
above and your written demand must also reasonably identify the holder of record of the shares for which demand is
made, be accompanied by documentary evidence of your beneficial ownership of stock (such as a brokerage or
securities account statement containing such information or a letter from a broker or other record holder of such
shares confirming such information) and a statement that such documentary evidence is a true and correct copy of
what it purports to be, and provide an address at which you consent to receive notices given by the surviving
corporation under Section 262 of the DGCL and to be set forth on the verified list required by Section 262(f) of the
DGCL. For more information, please see the section of this proxy statement entitled “Proposal 1: Adoption of the
Merger Agreement - Appraisal Rights.”
Litigation Related to the Merger (see page 59)",12,13
NATIONAL INSTRUMENTS CORP_20230525_DEFM14A_20911673_4672792.Pdf,Litigation Related to the Merger,"Litigation Related to the Merger (see page 59)
In connection with the Merger Agreement, a complaint has been filed in federal court as an individual action.
The complaint is captioned as O’Dell v. National Instruments Corporation, et al., 23-cv-04189 (filed May 19, 2023 in
the Southern District of New York) (which we refer to as the “Complaint”).
The Complaint alleges that the preliminary proxy statement filed by NI on May 11, 2023 in connection with the
Merger Agreement (the “Preliminary Proxy”) misrepresents and/or omits certain purportedly material information. The
Complaint asserts violations of Sections 14(a) and 20(a) of the Exchange Act and Rule 14a-9 promulgated thereunder
against NI and the members of the Board of Directors. The Complaint seeks, among other things: (i) an injunction
enjoining the consummation of the Merger and the other transactions contemplated by the Merger Agreement; (ii)
rescission or rescissory damages in the event the Merger and the other transactions contemplated by the Merger
Agreement are consummated; (iii) direction that defendants account for all damages suffered as a result of any
wrongdoing; (iv) costs of the action, including plaintiffs' attorneys' fees and experts' fees; and (v) other relief the
court may deem just and proper. In addition to the Complaint, starting on May 18, 2023, purported stockholders of NI
sent demand letters (which we refer to as the “Demands,” and together with the Complaint, as the “Matters”) alleging
similar deficiencies regarding the disclosures made in the Preliminary Proxy.
NI cannot predict the outcomes of the Matters. NI management believes that the Matters are without merit and
intends to vigorously defend against the Matters and any subsequent demands or filed actions. If additional similar
complaints are filed or demands sent, absent new or significantly different allegations, NI will not necessarily disclose
such additional filings or demands.
 
4TABLE OF CONTENTS
Regulatory Approvals Required for the Merger (see page 62)",13,14
NATIONAL INSTRUMENTS CORP_20230525_DEFM14A_20911673_4672792.Pdf,Regulatory Approvals Required for the Merger,"Regulatory Approvals Required for the Merger (see page 62)
U.S. Regulatory Clearances
Under the Merger Agreement, the Merger cannot be completed until the waiting period applicable to the Merger
under the Hart-Scott-Rodino Antitrust Improvements Act of 1976, as amended, and the rules and regulations
promulgated thereunder (which we refer to as the “HSR Act”), has expired or been terminated and any and all
agreements with governmental entities with competent jurisdiction over NI or Parent pursuant to which such parties
have agreed not to consummate the transactions contemplated by the Merger Agreement until a specified time have
expired, have been terminated or been waived. NI and Parent made the filings required under the HSR Act on April 26,
2023.
Other Regulatory Clearances
The Merger is also subject to receipt of regulatory approvals in certain other jurisdictions (unless excluded by
waiver mutually agreed between the parties to the Merger Agreement) under their applicable regulatory laws as
amended from time to time.
For more information, please see the section of this proxy statement entitled “Proposal 1: Adoption of the
Merger Agreement - Regulatory Approvals Required for the Merger.” In each case, the Merger cannot be completed
until the parties obtain clearance or approval to consummate the Merger or the applicable waiting periods have
expired or been terminated. Subject to the terms and conditions of the Merger Agreement, the parties have agreed to
cooperate with each other and use their reasonable best efforts to make these filings as promptly as practicable.
Closing Conditions (see page 85)",14,14
NATIONAL INSTRUMENTS CORP_20230525_DEFM14A_20911673_4672792.Pdf,Closing Conditions,"Closing Conditions (see page 85)
The obligations of the parties to consummate the Merger are subject to the satisfaction or waiver of customary
conditions, including (among other conditions), the following:
•
the adoption of the Merger Agreement by the affirmative vote of the holders of a majority of the
outstanding shares of NI common stock;
•
(a) the expiration or termination of the waiting period applicable to the consummation of the Merger and
other transactions contemplated by the Merger Agreement and related transaction documents under the
HSR Act and the expiration, termination or waiver of any and all agreements with governmental entities
with competent jurisdiction over NI or Parent pursuant to which such parties have agreed not to
consummate the transactions contemplated by the Merger Agreement until a specified time and (b) the
obtainment of all required consents and expirations or terminations of waiting periods (as applicable) with
respect to certain other required regulatory filings;
•
the absence of any injunction or similar order, writ, injunction, award, judgment or decree by any
governmental entity with competent jurisdiction over Parent or NI and the absence of any applicable
federal, state, local or foreign law, statute, ordinance, rule, regulation, judgment, order, injunction or decree,
in each case that is entered, promulgated or become effective and continues to be in effect that prohibits or
makes illegal the consummation of the Merger and the other transactions contemplated by the Merger
Agreement;
•
the accuracy of the representations and warranties contained in the Merger Agreement (subject to certain
materiality qualifiers); and
•
the compliance and performance by the parties, in all material respects, of their respective covenants and
obligations required by the Merger Agreement to be complied with or performed by such party at or prior
to the Closing.
Financing of the Merger (see page 54)",14,14
NATIONAL INSTRUMENTS CORP_20230525_DEFM14A_20911673_4672792.Pdf,Financing of the Merger,"Financing of the Merger (see page 54)
Parent intends to fund the Merger with the proceeds (the “Climate Proceeds”) from the sale of Parent’s Climate
Technologies business (the “Climate Transaction”), and in lieu thereof with committed bridge financing. The funding
of the bridge facility, to the extent necessary, is contingent on the satisfaction of customary conditions, including (i)
the execution and delivery of definitive documentation with respect to the bridge facility and (ii) the consummation of
the Merger in accordance with the Merger Agreement.
5TABLE OF CONTENTS
Required Stockholder Approval (see page 18)",14,15
