Document,Section Header,Section Text,Start Page,End Page
NATUS MEDICAL INC_20220602_DEFM14A_20144466_4472051.Pdf,SUMMARY,"SUMMARY
This summary highlights selected information from this proxy statement related to the merger (the “Merger”) of
Prince Mergerco Inc. with and into Natus Medical Incorporated, and may not contain all of the information that is
important to you. To understand the Merger more fully and for a more complete description of the legal terms of the
Merger, you should carefully read this entire proxy statement, the annexes to this proxy statement and the
documents that we refer to in this proxy statement. You may obtain the information incorporated by reference in this
proxy statement without charge by following the instructions under the section of this proxy statement captioned
“Where You Can Find More Information.” The Agreement and Plan of Merger, made and entered into as of April 17,
2022 (as amended from time to time, the “Merger Agreement”), by and among Natus, Parent and Merger Sub is
attached as Annex A to this proxy statement. We encourage you to read the Merger Agreement, which is the legal
document that governs the Merger, carefully and in its entirety.
Except as otherwise specifically noted in this proxy statement, “Natus,” the “Company,” “we,” “our,” “us,” and
similar words refer to Natus Medical Incorporated, including, in certain cases, our subsidiaries. Throughout this
proxy statement, we refer to Prince Parent Inc. as “Parent,” and Prince Mergerco Inc. as “Merger Sub.” In addition,
throughout this proxy statement we refer to the Agreement and Plan of Merger, dated April 17, 2022, among Natus,
Parent and Merger Sub, as it may be amended from time to time, as the “Merger Agreement.”
The Companies",10,10
NATUS MEDICAL INC_20220602_DEFM14A_20144466_4472051.Pdf,The Companies,"The Companies
Natus Medical Incorporated
Natus delivers innovative and trusted solutions to screen, diagnose, and treat disorders affecting the brain, neural
pathways, and eight sensory nervous systems to advance the standard of care and improve patient outcomes and
quality of life. The Company offers hardware, advanced software and algorithms, and consumables that provide
stimulus, acquire and monitor physiological signals, and capture the body’s response. With sales in over 100
countries, Natus is a leader in neurodiagnostics, pediatric retinal imaging, and infant hearing screening, as well as a
leading company in hearing assessment, hearing instrument fitting, balance, and intracranial pressure monitoring.
Natus’ common stock is quoted on the Nasdaq Global Select Market (“NASDAQ”) under the symbol “NTUS.”
Natus’ principal executive office is located at 3150 Pleasant View Road, Middleton, WI 53562, and its telephone
number is 608-829-8500.
Prince Parent Inc.
Parent was formed by funds managed by ArchiMed on April 11, 2022 for the purpose of engaging in the transactions
contemplated by the Merger Agreement, and has not engaged in any business activities other than in connection
with the transactions contemplated by the Merger Agreement and arranging of the equity financing and any debt
financing in connection with the Merger.
Prince Mergerco Inc.
Merger Sub is a wholly owned direct subsidiary of Parent and was formed by funds managed by ArchiMed on April
11, 2022 for the purpose of engaging in the transactions contemplated by the Merger Agreement, and has not
engaged in any business activities other than in connection with the transactions contemplated by the Merger
Agreement and arranging of the equity financing and any debt financing in connection with the Merger.
Parent and Merger Sub are affiliated with an investor group comprised of funds managed by ArchiMed, an
investment firm focused on the healthcare industry. Parent, Merger Sub and Natus will cause the Merger to be
consummated pursuant to the Delaware General Corporation Law (“DGCL”) by filing a certificate of merger in
customary form and substance (the “Certificate of Merger”) with the Secretary of State of the State of Delaware to be
effective on the date and time specified in the Certificate of Merger or the date and time of filing if no such date and
time is specified in the Certificate of Merger (the “Effective Time”). Upon consummation of the Merger, Natus, as the
Surviving Corporation, will be indirectly owned by ArchiMed.
Parent and Merger Sub have obtained equity and debt financing commitments for the transactions contemplated by
the Merger Agreement, which will be available to fund the aggregate purchase price and certain other payments
contemplated by, and subject to the terms and conditions of, the Merger Agreement. In addition,
1TABLE OF CONTENTS
Med Platform II S.L.P., a société de libre partenariat incorporated under the laws of France (the “Fund”) has also
provided Natus with a limited guaranty in favor of Natus, which guarantees the payment of the Parent Termination
Fee that may become payable by Parent under the Merger Agreement.
The Merger",10,11
NATUS MEDICAL INC_20220602_DEFM14A_20144466_4472051.Pdf,The Merger and the Per Share Price,"The Merger and the Per Share Price
Upon the terms and subject to the conditions of the Merger Agreement, Merger Sub will merge with and into Natus,
with Natus continuing as the surviving corporation and as a wholly owned direct subsidiary of Parent (the
“Surviving Corporation”). As a result of the Merger, at the Effective Time, each share of common stock, par value
$0.001 per share, of the Company (“Company Common Stock”) outstanding as of immediately prior to the Effective
Time (other than any shares of Company Common Stock held in treasury, held by Parent, Merger Sub or their
respective subsidiaries or as to which appraisal rights have been perfected in accordance with the DGCL, but
including each share of Company Restricted Stock (as defined below)) will be cancelled and extinguished and
automatically converted into the right to receive cash in an amount equal to $33.50, without interest thereon and less
any applicable withholding taxes (the “Per Share Price”). After the Merger is completed, you will no longer own any
shares of the capital stock or any other rights or interest in the Surviving Corporation and you will have the right to
receive the Per Share Price, but you will no longer have any rights as a stockholder.
Each holder of shares of Company Common Stock will be entitled to receive, upon (i) surrender to the payment agent
of a certificate or certificates, together with a properly completed letter of transmittal, or (ii) receipt of an “agent’s
message” by the payment agent (or such other evidence, if any, of transfer as the payment agent would reasonably
request) in the case of a book-entry transfer of uncertificated shares, the Per Share Price payable for each share of
Company Common Stock represented by a certificate or for each uncertificated share, without interest.
Treatment of Natus Equity-Based Awards",11,11
NATUS MEDICAL INC_20220602_DEFM14A_20144466_4472051.Pdf,Treatment of Natus Equity-Based Awards,"Treatment of Natus Equity-Based Awards
Pursuant to the Merger Agreement, at the Effective Time:
•
except as set forth below with respect to Employee Interim Awards (as defined below), each share of
Company Common Stock subject to vesting restrictions or a risk of forfeiture (“Company Restricted
Stock”) outstanding as of immediately prior to the Effective Time, whether vested or unvested and
whether or not granted pursuant to any of the Company’s equity plans (“Company Stock Plans”), will
be cancelled and converted into and will become a right to receive an amount in cash, without interest
and subject to any required tax withholding, equal to the Per Share Price;
•
except as set forth below with respect to Employee Interim Awards or as set forth in the CEO
Retention Agreement (as defined below), each restricted stock unit in respect of shares of Company
Common Stock, which includes time-vesting restricted stock units, market stock units and other
performance-vesting restricted stock units (each, a “Company Restricted Stock Unit”) outstanding as
of immediately prior to the Effective Time, whether vested or unvested and whether or not granted
pursuant to any Company Stock Plan, will be cancelled and be converted into and will become a right
to receive an amount in cash, without interest and subject to any required tax withholding, equal to (i)
the amount of the Per Share Price; multiplied by (ii) (1) with respect to Company Restricted Stock Units
that are only subject to time-vesting requirements, the total number of shares of Company Common
Stock subject to such Company Restricted Stock Unit, and (2) with respect to Company Restricted
Stock Units that are subject to time- and performance-vesting requirements, the total number of shares
of Company Common Stock determined to be performance vested with the performance goals deemed
achieved at maximum levels and with the remaining time-vesting requirements deemed satisfied;
•
any Company Restricted Stock and Company Restricted Stock Units granted after the date of the
Merger Agreement, other than awards that may be granted to non-employee directors after the date of
the Merger Agreement (such awards, “Employee Interim Awards”), that are outstanding as of
immediately prior to the Effective Time, whether vested or unvested and whether or not granted
pursuant to any Company Stock Plan, will be treated at the Effective Time in the manner set forth
2TABLE OF CONTENTS
above, provided that any applicable performance goals will be deemed achieved at target levels (rather
than at maximum) and the number of shares subject to such Employee Interim Awards that will vest at
the Effective Time will be prorated to reflect the portion of the applicable vesting period that has
elapsed from the date of grant until the Effective Time (rather than vesting in full), and the remaining
unvested portion of any Employee Interim Awards will be forfeited at the Effective Time;
•
each option (or portion thereof) to purchase a share of Company Common Stock (a “Company
Option”) that is outstanding as of immediately prior to the Effective Time, whether vested or unvested
and whether or not granted pursuant to any Company Stock Plan, and that has an exercise price per
share less than the Per Share Price (each, an “In-the-Money Company Option”) will be cancelled and
converted into and will become a right to receive an amount in cash, without interest and subject to
any required tax withholding, equal to (i) the amount of the Per Share Price (less the exercise price per
share attributable to such Company Option), multiplied by (ii) the total number of shares of Company
Common Stock that are issuable upon the full exercise of such Company Option; and
•
each Company Option that is not an In-the-Money Company Option will be cancelled without any
cash payment being made in respect thereof.
CEO Retention Agreement
To ensure the continued retention of the Company’s President and Chief Executive Officer, Thomas J. Sullivan,
following the Closing, in connection with entering into the Merger Agreement, Parent required Mr. Sullivan to enter
into a retention agreement, dated as of April 17, 2022, with Parent and the Company (the “CEO Retention
Agreement”).
Pursuant to the CEO Retention Agreement, Mr. Sullivan agreed that, notwithstanding the treatment of Company
Restricted Stock Units set forth in the Merger Agreement (as described above), he would not receive payment in
respect of his Company Restricted Stock Units that are market stock units (“MSUs”) based on deemed achievement
of performance goals at maximum levels. Instead, Mr. Sullivan’s MSUs will be deemed attained at the level of
performance actually achieved through the Closing based on the Per Share Price (which is approximately 143.4% of
target, in the case of MSUs granted to Mr. Sullivan in December 2021, and 139.6% of target, in the case of MSUs
granted to Mr. Sullivan in January 2022), consistent with the level of return to the Company’s stockholders pursuant
to the Merger Agreement. The consequence to Mr. Sullivan will be a reduction by over $3,000,000 in the amount of
gross proceeds that he otherwise was entitled to receive and would have received in respect of his MSUs.
Furthermore, pursuant to the CEO Retention Agreement, Mr. Sullivan agreed that an amount equal to $6,000,000 (the
“Retention Payment”) payable to him at the Effective Time in respect of his Company Restricted Stock Units would
not become payable at the Effective Time and, instead, would become payable 50% on the six-month anniversary of
the Closing and 50% on the one-year anniversary of the Closing, subject to his continued employment with the
Company until the relevant retention date. If Mr. Sullivan’s employment is terminated by the Company without cause,
by Mr. Sullivan with good reason, or due to his death or disability, any then-unpaid portion of the Retention Payment
will be paid to him upon his termination (subject to, in the case of a termination by the Company without cause or by
Mr. Sullivan for good reason, his execution and non-revocation of a release of claims). If Mr. Sullivan’s employment
terminates for any other reason prior to the relevant retention date, he will immediately forfeit all portions of the
Retention Payment that relate to a future retention date. Mr. Sullivan’s right to receive the Retention Payment is
further subject to his continued compliance with certain restrictive covenants. At the Effective Time, all other
amounts payable to Mr. Sullivan in respect of his Company Restricted Stock and Company Restricted Stock Units will
become payable in accordance with the Merger Agreement, as described above.
The CEO Retention Agreement was signed at the same time the Merger Agreement was signed, but if the Merger
Agreement is terminated and the Closing does not occur, it will automatically become null and void.
3
TABLE OF CONTENTS
Expected Timing of the Merger",11,13
NATUS MEDICAL INC_20220602_DEFM14A_20144466_4472051.Pdf,Expected Timing of the Merger,"Expected Timing of the Merger
We currently expect to complete the Merger in the third calendar quarter of 2022. However, the exact timing of
completion of the Merger cannot be predicted because the Merger is subject to the closing conditions described in
the section of this proxy statement captioned “The Merger Agreement-Conditions to the Merger,” many of which are
outside of our control.
Material U.S. Federal Income Tax Consequences of the Merger",13,13
NATUS MEDICAL INC_20220602_DEFM14A_20144466_4472051.Pdf,Material U.S. Federal Income Tax Consequences of the Merger,"Material U.S. Federal Income Tax Consequences of the Merger
For U.S. federal income tax purposes, the receipt of cash by a U.S. Holder (as defined in the section of this proxy
statement captioned “Material U.S. Federal Income Tax Consequences of the Merger”) in exchange for such U.S.
Holder’s shares of Company Common Stock in the Merger generally will result in the recognition of gain or loss in an
amount measured by the difference, if any, between the amount of cash that such U.S. Holder receives in the Merger
and such U.S. Holder’s adjusted tax basis in the shares of Company Common Stock surrendered in the Merger.
A Non-U.S. Holder (as defined in the section of this proxy statement captioned “Material U.S. Federal Income Tax
Consequences of the Merger”) generally will not be subject to U.S. federal income tax with respect to the exchange of
Company Common Stock for cash in the Merger, unless such Non-U.S. Holder has certain connections to the United
States.
Stockholders should consult their own tax advisors concerning the U.S. federal income tax consequences relating
to the Merger in light of their particular circumstances and any consequences arising under U.S. federal non-
income tax laws or the laws of any state, local or non-U.S. tax jurisdiction.
Regulatory Approvals Required for the Merger",13,13
NATUS MEDICAL INC_20220602_DEFM14A_20144466_4472051.Pdf,Regulatory Approvals Required for the Merger,"Regulatory Approvals Required for the Merger
The completion of the Merger is conditioned on, among other things, any applicable waiting period (and any
extensions thereof) under the Hart-Scott-Rodino Antitrust Improvements Act of 1976, as amended (the “HSR Act”)
and certain other antitrust and foreign investment laws having expired or been terminated, or all requisite consents
pursuant thereto being obtained.
Upon the terms and subject to the conditions set forth in the Merger Agreement, Parent and Merger Sub, on the one
hand, and Natus, on the other hand, will use their respective reasonable best efforts (x) to take (or cause to be taken)
all actions; (y) do (or cause to be done) all things; and (z) assist and cooperate with the other Parties in doing (or
causing to be done) all things, in each case as are necessary, proper or advisable pursuant to applicable law (as
defined in the Merger Agreement) or otherwise to consummate and make effective, in the most expeditious manner
practicable, the Merger, including by using its reasonable best efforts to cause the conditions to the Merger in the
Merger Agreement to be satisfied.
On April 29, 2022 and May 5, 2022, Natus and Parent, respectively, filed notification of the proposed Merger with the
United States Federal Trade Commission (“FTC”) and the Antitrust Division of the United States Department of
Justice (the “Antitrust Division”) under the HSR Act. The waiting period under the HSR Act is expected to expire at
11:59 p.m., Eastern time, on June 6, 2022.
See the section of this proxy statement captioned “The Merger Agreement-Required Efforts to Consummate the
Merger” for a more detailed discussion of the parties’ obligations with respect to obtaining regulatory approvals in
connection with the Merger.
Appraisal Rights",13,13
NATUS MEDICAL INC_20220602_DEFM14A_20144466_4472051.Pdf,Appraisal Rights,"Appraisal Rights
If the Merger is consummated, Company Stockholders who do not vote their shares of Company Common Stock in
favor of the adoption of the Merger Agreement, who continuously hold such shares of Company Common Stock
from the date they make the demand through the Effective Time, and who properly perfect appraisal of their shares of
Company Common Stock will be entitled to appraisal rights in connection with the Merger under Section 262 of the
DGCL if certain conditions set forth in Section 262(g) of the DGCL are met. This means that such stockholders would
be entitled to have their shares of Company Common Stock appraised by the Delaware Court of Chancery and to
receive payment in cash of the “fair value” of their shares of Company Common Stock, exclusive of any elements of
value arising from the accomplishment or expectation of the Merger, together with interest to be paid on the amount
determined to be fair value, if any, as determined by the court (subject, in the case of interest payments, to any
4TABLE OF CONTENTS
voluntary cash payments made by the Surviving Corporation pursuant to subsection (h) of Section 262 of the DGCL).
Due to the complexity of the appraisal process, stockholders who wish to seek appraisal of their shares of Company
Common Stock are encouraged to seek the advice of legal counsel with respect to the exercise of appraisal rights.
Stockholders considering seeking appraisal should be aware that the fair value of their shares of Company Common
Stock as determined pursuant to Section 262 of the DGCL could be more than, the same as or less than the value of
the consideration that they would receive pursuant to the Merger Agreement if they did not seek appraisal of their
shares of Company Common Stock. For more information, please see the section of this proxy statement captioned
“The Merger-Appraisal Rights.”
Conditions to the Merger",13,14
NATUS MEDICAL INC_20220602_DEFM14A_20144466_4472051.Pdf,Conditions to the Merger,"Conditions to the Merger
Each party’s obligation to consummate the Merger, with the exception of the absence of the Company Material
Adverse Effect condition which is only applicable to Parent and Merger Sub’s obligation to consummate the Merger,
is subject to the satisfaction or (where permitted by applicable law) written waiver of the following conditions:
•
at and as of the consummation of the Merger (the “Closing”), the adoption of the Merger Agreement by
the requisite affirmative vote of stockholders;
•
at and as of the Closing, the expiration or termination of the applicable waiting period under the HSR Act
and the other antitrust laws and foreign direct investments laws set forth in the Merger Agreement, or all
requisite consents pursuant thereto will have been obtained;
•
at and as of the Closing, no order or injunction issued by any court of competent jurisdiction in any
jurisdiction where the Company or its Subsidiaries has material operations will be in effect, and no law will
have been enacted by any Governmental Authority of competent jurisdiction in any jurisdiction where the
Company or its Subsidiaries has material operations after the date of the Merger Agreement, that in each
case prohibits, makes illegal, or enjoins the consummation of the Merger;
•
at or prior to the Effective Time, the accuracy of the representations and warranties of Natus, Parent and
Merger Sub in the Merger Agreement, made at and as of the date of the Merger Agreement and as of the
Closing Date or the date in respect of which such representation or warranty was specifically made, with
the exception of certain representations and warranties of Natus, made at and as of the Closing Date or the
date in respect of which such representation or warranty was specifically made. For more information,
please see the section of this proxy statement captioned “The Merger Agreement-Representations and
Warranties”;
•
at or prior to the Effective Time, the performance in all material respects by Natus, Parent and Merger Sub of
their respective covenants and obligations required to be performed by them under the Merger Agreement
at or prior to the Closing;
•
at or prior to the Effective Time, receipt of certificates executed by authorized officers of Natus, on the one
hand, and Parent and Merger Sub, on the other hand, to the effect that the conditions described in the
preceding two bullets have been satisfied; and
•
the absence of any Company Material Adverse Effect (as defined in the section of this proxy statement
captioned “The Merger Agreement-Representations and Warranties”) having occurred after the date of
Merger Agreement that is continuing.
Financing of the Merger",14,14
NATUS MEDICAL INC_20220602_DEFM14A_20144466_4472051.Pdf,Financing of the Merger,"Financing of the Merger
Concurrently with the execution of the Merger Agreement, MED Platform II S.L.P., a société de libre partenariat
incorporated under the laws of France (the “Fund”) delivered to Parent an executed equity commitment letter (the
“Equity Commitment Letter”) pursuant to which the Fund has committed to invest up to $840,000,000 in Parent for the
purpose of financing the transactions contemplated by the Merger Agreement and paying related fees and expenses,
subject to the terms and conditions set forth therein. Natus is an express third party beneficiary of the Equity
Commitment Letter. In addition, pursuant to the Limited Guaranty, dated April 17, 2022, from Med Platform II S.L.P., a
société de libre partenariat incorporated under the laws of France (the “Guarantor”), who has also provided Natus
with a limited guaranty in favor of Natus, which guarantees the payment of certain monetary obligations that may be
owed by Parent pursuant to the Merger Agreement, including any reverse termination fee that may become payable
by Parent to Natus.
5TABLE OF CONTENTS
In addition, pursuant to a debt commitment letter delivered to Parent (the “Debt Commitment Letter”), Jefferies
Finance LLC (the “Lead Arranger”) has committed to provide a senior secured term loan and a senior secured
revolving credit facility (collectively, the “Credit Facilities”) for the purpose of financing the transactions
contemplated by the Merger Agreement and paying related fees and expenses, subject to the terms and conditions
set forth therein. The obligation of the Lead Arranger to provide debt financing under the Debt Commitment Letter is
subject to a number of customary conditions.
The completion of the Merger is not subject to any financing conditions. Although the obligation of the parties to
consummate the Merger is not subject to any financing condition, the Merger Agreement provides that the Closing
of the Merger will not occur earlier than the sixtieth day following the date of the Merger Agreement. For more
information, please see the section of this proxy statement captioned “The Merger-Financing of the Merger.”
Recommendations of the Board of Directors",14,15
