Document,Section Header,Section Text,Start Page,End Page
"Nuance Communications, Inc._20210517_DEFM14A_19281720_4221662.Pdf",PROXY SUMMARY,"PROXY SUMMARY
This summary highlights selected information from this proxy statement related to the merger (as defined below).
This summary may not contain all of the information that is important to you. To understand the merger more fully
and for a more complete description of the legal terms of the merger, you should read carefully this entire proxy
statement, the annexes to this proxy statement, including the merger agreement (as defined below), and the
documents incorporated by reference in this proxy statement. You may obtain the documents and information
incorporated by reference in this proxy statement without charge by following the instructions under the section
entitled “Where You Can Find More Information” beginning on page 87. The merger agreement is attached as
Annex A to this proxy statement. We encourage you to read the merger agreement, which is the legal document that
governs the merger, carefully and in its entirety.
Except as otherwise specifically noted in this proxy statement or as the context otherwise requires, “Nuance,” the
“Company,” “we,” “our,” “us” and similar words in this proxy statement refer to Nuance Communications, Inc.
including, in certain cases, its subsidiaries. Throughout this proxy statement we refer to Microsoft Corporation, a
Washington corporation, as “Microsoft” and to Big Sky Merger Sub Inc., a Delaware corporation and wholly owned
subsidiary of Microsoft, as “Sub”. In addition, throughout this proxy statement we refer to the Agreement and Plan
of Merger (as it may be amended from time to time), dated as of April 11, 2021, by and among Nuance, Microsoft and
Sub, as the “merger agreement”. All references to the “merger” refer to the merger of Sub with and into Nuance with
Nuance surviving as a wholly owned subsidiary of Microsoft. Nuance, following completion of the merger, is
sometimes referred to in this proxy statement as the “surviving corporation”.",10,10
"Nuance Communications, Inc._20210517_DEFM14A_19281720_4221662.Pdf",Parties Involved in the Merger,"Parties Involved in the Merger (page 25)
Nuance Communications, Inc.
Nuance is a technology pioneer and market leader in conversational artificial intelligence, which we refer to as AI, and
ambient clinical intelligence. Nuance delivers intuitive solutions that understand, analyze, and respond to people -
amplifying their ability to help others with increased productivity and security. Nuance works with thousands of
organizations globally across healthcare, financial services, telecommunications, government and retail - to create
stronger relationships and better experiences for their customers and workforce. Nuance offers its customers a wide
range of products and services, including clinical documentation, solutions for clinicians, radiologists and care
teams, as well as intelligent customer engagement and security biometric solutions for leading brands. In addition,
Nuance’s solutions increasingly utilize its innovations in AI, including cognitive sciences and machine learning to
create smarter, more natural experiences with technology. Using advanced analytics and algorithms, Nuance’s
technologies create personalized experiences and transform the way people interact with information and the
technology around them. Nuance markets and sells its solutions and technologies around the world directly through
a dedicated sales force and a global network of resellers, including system integrators, independent software
vendors, value-added resellers, distributors, hardware vendors, telecommunications carriers and e-commerce
websites.
Nuance’s principal executive offices are located at 1 Wayside Road, Burlington, Massachusetts 01803.
Nuance was incorporated under the laws of the State of Delaware in 1992. Nuance common stock, par value $0.001
per share, which we refer to as Nuance common stock, is currently listed on the Nasdaq Global Select Market, which
we refer to as Nasdaq, under the symbol “NUAN.”
Additional information about Nuance and its subsidiaries is included in documents incorporated by reference in this
proxy statement (see the section entitled “Where You Can Find More Information” beginning on page 87) and on its
website: www.nuance.com. The information provided or accessible through Nuance’s website is not part of, or
incorporated by reference in, this proxy statement.
Microsoft Corporation
Microsoft is a technology company whose mission is to empower every person and every organization on the planet
to achieve more, and is a leader in enabling digital transformation for the era of an intelligent cloud and intelligent
edge. Founded in 1975, Microsoft operates worldwide and has offices in more than 100 countries. Microsoft develops
and supports a wide range of software products, services, devices and solutions that deliver new opportunities,
greater convenience, and enhanced value to people’s lives. Microsoft offers an array of
1TABLE OF CONTENTS
services, including cloud-based solutions, that provide customers with software, services, platforms, and content.
Microsoft’s products include operating systems, cross-device productivity applications, server applications,
business solution applications, desktop and server management tools, software development tools, and games.
Microsoft also designs, manufactures, and sells devices, including PCs, tablets, gaming and entertainment consoles,
other intelligent devices, and related accessories.
Microsoft’s principal executive offices are located at One Microsoft Way, Redmond, WA 98052. Microsoft’s common
stock is listed on Nasdaq under the symbol “MSFT.”
Additional information about Microsoft and its subsidiaries is included in documents filed by Microsoft with the SEC
and on its website: www.microsoft.com. The information provided or accessible through Microsoft’s website or filed
by Microsoft with the SEC are not part of, or incorporated by reference in, this proxy statement.
Big Sky Merger Sub Inc.
Sub is a Delaware corporation and a wholly owned subsidiary of Microsoft, formed on April 7, 2021, solely for the
purpose of engaging in the merger and the other transactions as contemplated under the merger agreement. Upon
completion of the merger, Sub will cease to exist.",10,11
"Nuance Communications, Inc._20210517_DEFM14A_19281720_4221662.Pdf",Certain Effects of the Merger on Nuance,"Certain Effects of the Merger on Nuance (page 26)
Upon the terms and subject to the conditions of the merger agreement and in accordance with the applicable
provisions of the Delaware General Corporation Law, which we refer to as the DGCL, on the closing date and at the
time at which the merger will become effective, which we refer to as the effective time, Sub will merge with and into
Nuance, with Nuance continuing as the surviving corporation and a wholly owned subsidiary of Microsoft. As a
result of the merger, Nuance will cease to be a publicly traded company. If the merger is completed, you will not own
any shares of the capital stock of the surviving corporation.
Effect on Nuance if the Merger is Not Completed (page 26)",11,11
"Nuance Communications, Inc._20210517_DEFM14A_19281720_4221662.Pdf",Effect on Nuance if the Merger is Not Completed,"Effect on Nuance if the Merger is Not Completed (page 26)
If the merger agreement is not adopted by Nuance stockholders or if the merger is not completed for any other
reason, Nuance stockholders will not receive any payment for their shares of Nuance common stock. Instead, Nuance
will remain an independent public company, Nuance common stock will continue to be listed and traded on Nasdaq
and registered under the Securities Exchange Act of 1934, as amended, which we refer to as the Exchange Act, and
Nuance will continue to file periodic reports with the U.S. Securities and Exchange Commission, which we refer to as
the SEC.
Under certain specified circumstances, Nuance will be required to pay Microsoft a termination fee upon the
termination of the merger agreement, as described under the section entitled “Terms of the Merger Agreement -
Termination Fee” beginning on page 75.
Merger Consideration (page 60)",11,11
"Nuance Communications, Inc._20210517_DEFM14A_19281720_4221662.Pdf",Merger Consideration,"Merger Consideration (page 60)
If the merger is completed, at the effective time, and without any action on the part of the holder, each share of
Nuance common stock issued and outstanding immediately prior to the effective time (other than shares of Nuance
common stock (i) held by Nuance as treasury stock, (ii) owned by Microsoft or Sub or any of their respective direct
or indirect wholly owned subsidiaries and (iii) held by stockholders who have neither voted in favor of adoption of
the merger agreement nor consented thereto in writing and who have properly and validly exercised their statutory
rights of appraisal in respect of such shares in accordance with Section 262 of the DGCL, in each case immediately
prior to the effective time), and certain equity awards, the treatment of which is described under the sections entitled
“Proposal 1: Adoption of the Merger Agreement - The Merger - Interests of the Non-Employee Directors and
Executive Officers of Nuance in the Merger - Treatment of Equity Compensation” and “Terms of the Merger
Agreement - Conversion of Shares - Treatment of Equity Compensation” beginning on pages 49 and 60, respectively,
will be converted into the right to receive $56.00 per share in cash, without interest, which we refer to as the merger
consideration, less any applicable withholding taxes. All shares, when so converted at the effective time into the right
to receive the merger consideration, will automatically be canceled and will cease to exist.
As described under the section entitled “Terms of the Merger Agreement - Exchange and Payment Procedures”
beginning on page 62, at or promptly following the effective time, Microsoft will deposit or cause to be
2TABLE OF CONTENTS
deposited with a designated paying agent (as defined herein) a cash amount in immediately available funds sufficient
in the aggregate for the payment of the merger consideration.
After the merger is completed, under the terms and conditions of the merger agreement, you will have the right to
receive the per share merger consideration, but you no longer will have any rights as a Nuance stockholder as a
result of the merger (except for the right to receive the per share merger consideration and except that stockholders
who properly exercise and perfect, and do not validly withdraw or subsequently lose, their demand for appraisal will
instead have such rights as granted by Section 262 of the DGCL, as described under the section entitled “Appraisal
Rights” beginning on page 80).",11,12
"Nuance Communications, Inc._20210517_DEFM14A_19281720_4221662.Pdf",The Special Meeting,"The Special Meeting (page 21)
Date, Time and Place
The special meeting of our stockholders, which we refer to as the special meeting, will be held on June 15, 2021, at
10:00 a.m., Eastern time.
Due to the public health impact of the coronavirus (COVID-19) and to support the well-being of our employees and
stockholders, Nuance will hold the special meeting virtually via the Internet at
www.virtualshareholdermeeting.com/NUAN2021SM. You will not be able to attend the special meeting physically in
person. For purposes of attendance at the special meeting, all references in this proxy statement to “present in
person” or “in person” shall mean virtually present at the special meeting.
Purpose
At the special meeting, we will ask our stockholders of record as of the close of business on May 17, 2021, which we
refer to as the record date, to consider and vote on the following proposals:
•
the adoption of the merger agreement, a copy of which is attached as Annex A to the proxy statement
accompanying this notice, which we refer to as the merger proposal; and
•
the approval, by means of a non-binding, advisory vote, of compensation that will or may become payable
to the named executive officers of Nuance in connection with the merger, which we refer to as the merger-
related compensation proposal.
Record Date; Shares Entitled to Vote
You are entitled to vote at the special meeting if you owned shares of Nuance common stock as of the close of
business on the record date. You will have one vote at the special meeting for each share of Nuance common stock
you owned as of the close of business on the record date.
Quorum
The holders of a majority of Nuance common stock issued and outstanding and entitled to vote at the special
meeting, present in person or represented by proxy, constitutes a quorum at the special meeting. As of the close of
business on May 14, 2021, there were 286,094,629 shares of Nuance common stock issued and outstanding and
entitled to vote. We expect that a similar number of shares of Nuance common stock will be issued and outstanding
and entitled to vote at the special meeting as of the close of business on the record date. If you submit a properly
executed proxy by mail, telephone or the Internet, you will be considered a part of the quorum. In addition,
abstentions will be counted for purposes of establishing a quorum. Broker non-votes will not be counted for
purposes of establishing a quorum. If a quorum is not present, the special meeting may be adjourned by the chairman
of the meeting pursuant to the authority granted in Nuance’s bylaws until a quorum is obtained, subject to the terms
of the merger agreement.
Required Vote
The affirmative vote of a majority of the shares of Nuance common stock outstanding and entitled to vote thereon is
required to approve the merger proposal, which we refer to as stockholder approval. This means that the proposal will
be approved if the number of shares voted “FOR” that proposal is greater than 50% of the total number of the votes
that can be cast in respect of our outstanding shares of common stock. Abstentions and broker non-votes will have
the same effect as a vote “AGAINST” the merger proposal.
3TABLE OF CONTENTS
The affirmative vote of a majority of the voting power of the shares of Nuance common stock entitled to vote which
are present, in person or by proxy, and voting at the special meeting, provided a quorum is present, is required to
approve, by means of a non-binding, advisory vote, the merger-related compensation proposal. This means that the
proposal will be approved if the number of shares voted “FOR” that proposal is greater than 50% of the total number
of shares of Nuance common stock entitled to vote which are present, in person or by proxy, and vote at the special
meeting, provided a quorum is present. Abstentions and broker non-votes will not have any effect on the merger-
related compensation proposal.
Share Ownership of Nuance Directors and Executive Officers
As of the close of business on May 14, 2021, Nuance directors and executive officers beneficially owned and were
entitled to vote, in the aggregate, 1,616,022 shares of Nuance common stock (excluding any shares of Nuance
common stock that would be delivered upon exercise or conversion of stock options or other equity-based awards),
which represented approximately 0.6% of the outstanding shares of Nuance common stock on that date.
It is expected that Nuance’s directors and executive officers will vote all of their shares “FOR” the merger proposal
and “FOR” the merger-related compensation proposal, although none of them has entered into any agreement
requiring them to do so.
Voting of Proxies
Any Nuance stockholder of record entitled to vote at the special meeting may submit a proxy by returning a signed
and dated proxy card by mail, in the accompanying prepaid reply envelope, or voting electronically over the Internet
or by telephone or may vote in person by appearing at the special meeting. If your shares are held in a brokerage
account at a brokerage firm, bank, broker-dealer, or similar organization, then you are the “beneficial owner” of shares
held in “street name,” and you should instruct your broker, bank or other nominee on how you wish to vote your
shares of Nuance common stock using the instructions provided by your broker, bank or other nominee. Under
applicable stock exchange rules, if you fail to instruct your broker, bank or other nominee on how to vote your shares,
your broker, bank or other nominee only has discretion to vote your shares on discretionary matters. Each of the
merger proposal and the merger-related compensation proposal are non-discretionary matters, and brokers, banks
and other nominees therefore cannot vote on these proposals without your instructions. Therefore, it is important
that you cast your vote or instruct your broker, bank or other nominee on how you wish to vote your shares.
If you are a stockholder of record, you may change your vote or revoke your proxy at any time before it is voted at
the special meeting by submitting a new proxy electronically over the Internet or by telephone after the date of the
earlier submitted proxy, signing another proxy card with a later date and returning it to us prior to the special meeting
or attending the special meeting and voting in person. Proxies submitted electronically over the Internet or by
telephone must be received by 11:59 p.m., Eastern Time, on June 14, 2021. If you hold your shares of Nuance common
stock in “street name,” you should contact your broker, bank or other nominee for instructions regarding how to
change your vote.",12,13
"Nuance Communications, Inc._20210517_DEFM14A_19281720_4221662.Pdf",Recommendation of Our Board of Directors and Reasons for the Merger,"Recommendation of Our Board of Directors and Reasons for the Merger (page 35)
The Nuance Board of Directors, after considering various factors described under the section entitled “Proposal 1:
Adoption of the Merger Agreement - The Merger - Recommendation of Our Board of Directors and Reasons for the
Merger” beginning on page 35 and after consultation with independent legal and financial advisors, unanimously (i)
determined that it is in the best interests of Nuance and its stockholders to enter into the merger agreement and
consummate the merger upon the terms and subject to the conditions set forth therein and declared the merger
agreement advisable; (ii) approved the execution and delivery of the merger agreement by Nuance, the performance
by Nuance of its covenants and other obligations thereunder, and the consummation of the merger upon the terms
and conditions set forth therein; (iii) directed that the adoption of the merger agreement be submitted to a vote at a
meeting of the stockholders of Nuance and (iv) resolved to recommend that Nuance stockholders vote in favor of
adoption of the merger agreement in accordance with the DGCL.
The Nuance Board of Directors unanimously recommends that you vote (i) “FOR” the merger proposal and (ii)
“FOR” the merger-related compensation proposal.
4TABLE OF CONTENTS
Opinion of Nuance’s Financial Advisor (page 39)",13,14
"Nuance Communications, Inc._20210517_DEFM14A_19281720_4221662.Pdf",Opinion of Nuance’s Financial Advisor,"Opinion of Nuance’s Financial Advisor (page 39)
Opinion of Evercore Group L.L.C.
Nuance retained Evercore Group L.L.C., which we refer to as Evercore, to act as its financial advisor in connection
with the merger. As part of this engagement, Nuance requested that Evercore evaluate the fairness, from a financial
point of view, of the merger consideration to be received by the holders of Nuance common stock. At a meeting of
the Nuance Board of Directors held on April 9, 2021, Evercore rendered to the Nuance Board of Directors its opinion
to the effect that, as of April 9, 2021 and based upon and subject to the assumptions, limitations, qualifications and
conditions described in Evercore’s opinion, the merger consideration of $56.00 per share to be received by the
holders of Nuance common stock in the merger was fair, from a financial point of view, to such holders.
The full text of the written opinion of Evercore, dated April 9, 2021, which sets forth, among other things, the
procedures followed, assumptions made, matters considered and qualifications and limitations on the scope of
review undertaken in rendering its opinion, is attached as Annex C to this proxy statement and is incorporated
herein by reference. Nuance encourages you to read this opinion carefully and in its entirety. Evercore’s opinion
was addressed to, and provided for the information and benefit of, the Nuance Board of Directors (in its capacity as
such) in connection with its evaluation of the proposed merger. The opinion does not constitute a recommendation to
the Nuance Board of Directors or to any other persons in respect of the merger, including as to how any holder of
shares of Nuance common stock should vote or act in respect of the merger. Evercore’s opinion does not address the
relative merits of the merger as compared to other business or financial strategies that might be available to
Nuance, nor does it address the underlying business decision of Nuance to engage in the merger.
For a more complete description, see the section entitled “Proposal 1: Adoption of the Merger Agreement - The
Merger - Opinion of Nuance’s Financial Advisor - Opinion of Evercore Group L.L.C.” beginning on page 39.
Financing of the Merger (page 54)",14,14
"Nuance Communications, Inc._20210517_DEFM14A_19281720_4221662.Pdf",Financing of the Merger,"Financing of the Merger (page 54)
The merger is not conditioned on Microsoft’s ability to obtain financing. Microsoft has represented to Nuance that it
has available and will have available at the effective time the funds necessary to pay the aggregate merger
consideration, including (i) payments to Nuance’s stockholders of the amounts due under the merger agreement and
(ii) payments in respect of certain of Nuance’s outstanding equity awards pursuant to the merger agreement.
Treatment of Equity Compensation (page 49)",14,14
"Nuance Communications, Inc._20210517_DEFM14A_19281720_4221662.Pdf",Treatment of Equity Compensation,"Treatment of Equity Compensation (page 49)
Pursuant to our equity incentive plans, we have granted equity awards with respect to Nuance common stock in the
form of stock options and stock units. Our executive officers hold restricted stock units, which we refer to as RSUs,
and performance stock units, which we refer to as PSUs, and our non-employee directors hold RSUs and deferred
stock units, which we refer to as DSUs. Our executive officers and non-employee directors do not hold stock options.
The merger agreement provides for the treatment set forth below with respect to outstanding equity awards:
Stock Options
Each stock option that is outstanding as of immediately prior to the effective time will, at the effective time, be
cancelled and converted into the right to receive the merger consideration for each share of Nuance common stock
that would have been issuable upon exercise of the option, less the exercise price of the option and any applicable
withholding taxes. If the exercise price of a stock option is equal to or greater than the merger consideration, the
option will be cancelled as of the effective time for no consideration.
Stock Units
•
Each award of stock units that is outstanding and vested immediately prior to the effective time or that will
become vested by its terms at the effective time and, in each case, by its terms is to be settled upon the
occurrence of vesting or the effective time will, as of the effective time, be deemed to be vested and will be
cancelled and converted into the right to receive the merger consideration with respect to each share of
Nuance common stock subject to the award, less any applicable withholding taxes.
5TABLE OF CONTENTS
•
Each outstanding and unvested award of stock units will, as of the effective time, be converted into a
stock-based award of Microsoft, which we refer to as a Rollover RSU, as follows:
○
Each RSU will be converted into a Rollover RSU that is subject to the same time-based vesting
schedule as the RSU.
○
Each PSU will be converted into a Rollover RSU that, following the effective time, will vest based
solely on time at the conclusion of the original performance period of the PSU.
○
The number of shares of common stock of Microsoft subject to each Rollover RSU will be equal to the
product (rounded down to the nearest whole share) of the number of Nuance shares of common stock
subject to the corresponding RSU or PSU as of immediately prior to the effective time, multiplied by a
specified exchange ratio (see below). The number of Nuance shares of common stock subject to each
PSU immediately prior to the effective time will be determined based on (i) maximum performance, for
any PSU that was subject to relative total shareholder return performance goals, and (ii) target
performance, for any PSU that was subject to financial and/or operational performance goals. For each
PSU that is subject to relative total shareholder return performance goals, Nuance is currently
performing at a level that would result in maximum performance payout.
○
Notwithstanding the treatment of awards of outstanding and unvested stock units described above,
Microsoft may elect to treat some or all of the awards as if they were vested (i.e., by cancelling and
converting an award into the right to receive the merger consideration with respect to each share of
Nuance common stock subject to the award, less any applicable withholding taxes).
•
If the treatment described above of an award of stock units held by a non-U.S. employee would be
prohibited or subject to onerous regulatory requirements or adverse tax treatment under the laws of the
applicable jurisdiction (as reasonably determined by Microsoft in consultation with Nuance), Microsoft will
provide compensation to the employee that is equivalent in value to the value that otherwise would have
been provided to the employee under the treatment described above, to the extent practicable and as would
not result in the imposition of additional taxes under section 409A of the Internal Revenue Code. This
compensation will be provided in the form of a cash payment (less any applicable taxes) or a new equity
award, as reasonably determined by Microsoft in consultation with Nuance.
•
For purposes of the conversion of Nuance stock units described above, the “exchange ratio” is defined as
a fraction, the numerator of which is the merger consideration and the denominator of which is the volume
weighted average price per share rounded to four decimal places (with amounts 0.00005 and above rounded
up) of Microsoft common stock on Nasdaq for the five consecutive trading days ending with the last
trading day immediately prior to the closing.
Employee Stock Purchase Plan
In accordance with the terms of Nuance’s Amended and Restated 1995 Employee Stock Purchase Plan, which we refer
to as the ESPP, no ESPP participant in the current offering period, which began on February 16, 2021, may increase his
or her payroll contribution rate or make separate non-payroll contributions, and no new participants may enroll in the
current offering period. In connection with the transaction with Microsoft, Nuance will take all actions necessary to
provide that:
•
if the closing occurs prior to August 13, 2021, which is the last day of the current offering period:
○
cause the current offering period to terminate no later than five business days prior to the closing
date;
○
make any pro-rata adjustments necessary to reflect the shortened offering period; and
○
cause the exercise (as of no later than one business day before the effective time) of each outstanding
purchase right and apply the funds credited to each participant’s payroll withholding account to the
purchase of whole shares of Nuance common stock;
•
provide that no new offering period or purchase period will commence; and
•
terminate the ESPP in its entirety, effective as of the effective time.
6
TABLE OF CONTENTS
Interests of the Non-Employee Directors and Executive Officers of Nuance in the Merger (page 50)",14,16
