Document,Section Header,Section Text,Start Page,End Page
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",SUMMARY,"SUMMARY
This summary highlights selected information in this proxy statement and may not contain all of the information about the Merger
Agreement (as defined below), the Merger (as defined below) and the other transactions contemplated by the Merger Agreement that are
important to you. You should carefully read this proxy statement in its entirety, including the annexes hereto and the other documents to which we
have referred you, for a more complete understanding of the matters being considered at the Special Meeting (as defined below). You may obtain,
without charge, copies of any of the documents we file with the Securities and Exchange Commission (the “SEC”) by following the instructions
under the section of this proxy statement titled “Where You Can Find Additional Information.”
In this proxy statement: (1) the terms “we,” “us,” “our,” the “Company” and “Oak Street Health” refer to Oak Street Health, Inc.; (2) the
term “CVS Pharmacy” refers to CVS Pharmacy, Inc.; (3) the term “CVS Health” refers to CVS Health Corporation, and as the context requires,
this proxy statement also refers to CVS Health, CVS Pharmacy and Merger Sub, collectively, or any one of them, as “CVS Health”; (4) the term
“Merger Sub” refers to Halo Merger Sub Corp.; (5) the term “Merger Agreement” refers to the Agreement and Plan of Merger, dated as of
February 7, 2023, by and among Oak Street Health, CVS Pharmacy, Merger Sub and, solely for the limited purposes set forth therein, CVS Health,
as the same may be amended, supplemented or otherwise modified from time to time; (6) the term “Merger” refers to the merger of Merger Sub with
and into Oak Street Health, with Oak Street Health continuing as the surviving corporation and as a wholly owned subsidiary of CVS Pharmacy
as described in the Merger Agreement; (7) the term “Oak Street Health Board” refers to the Board of Directors of Oak Street Health; (8) the term
“Oak Street Health common stock” refers to the common stock, par value $0.001 per share, of Oak Street Health; (9) the terms “Oak Street Health
stockholders” or “stockholders of Oak Street Health” refers to the holders of shares of Oak Street Health common stock; (10) the term “Special
Meeting” refers to the special meeting of Oak Street Health stockholders described in this proxy statement, including any adjournments or
postponements thereof; and (11) the term “Transactions” means the Merger and the other transactions contemplated by the Merger Agreement.",10,10
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",The Parties,"The Parties (page 13)
Oak Street Health, Inc.
Founded in 2012, Oak Street Health operates a network of primary care centers within the United States serving Medicare beneficiaries. Oak Street
Health, through its centers and management services organization, combines an innovative care model with superior patient experience. Oak Street
Health integrates population health analytics, social support services and primary care into the care model to drive improved outcomes. Oak Street
Health contracts with health plans and the Center for Medicare & Medicaid Services to generate medical costs savings and realize a return on its
investment in primary care. Oak Street Health currently operates more than 170 centers across 21 states.
Shares of Oak Street Health common stock are listed on the New York Stock Exchange (“NYSE”) under the ticker symbol “OSH”. Our principal
executive office is located at 30 W. Monroe Street, Suite 1200, Chicago, Illinois 60603, our telephone number is (844) 871-5650, and our website is
https://www.oakstreethealth.com/. Information on Oak Street Health’s website is not incorporated by reference into or otherwise part of this proxy
statement. Additional information about Oak Street Health is contained in our public filings. See the section of this proxy statement titled “Where
You Can Find Additional Information.”
CVS Health Corporation
CVS Health is a leading diversified health solutions company reshaping health care to help make healthier happen for more Americans. In an
increasingly connected and digital world, CVS Health is meeting people
 
iTable of Contents
wherever they are and changing health care to meet their needs. CVS Health has more than 9,000 retail locations, more than 1,100 walk-in medical
clinics, a leading pharmacy benefits manager with over 110 million plan members with expanding specialty pharmacy solutions and a dedicated
senior pharmacy care business serving more than one million patients per year. CVS Health also serves an estimated 35 million people through
traditional, voluntary and consumer-directed health insurance products and related services, including expanding Medicare Advantage offerings
and a leading standalone Medicare Part D prescription drug plan. CVS Health believes its integrated health care model increases access to quality
care, delivers better health outcomes and lowers overall health care costs.
Shares of CVS Health common stock are listed on the NYSE under the ticker symbol “CVS”. The principal executive offices of CVS Health are
located at One CVS Drive, Woonsocket, RI 02895, its telephone number is (401) 765-1500, and its website is www.cvshealth.com. Information on CVS
Health’s website is not incorporated by reference into or otherwise part of this proxy statement.
CVS Pharmacy, Inc.
CVS Pharmacy is a direct, wholly owned subsidiary of CVS Health and CVS Health’s primary operating subsidiary. The principal executive
offices of CVS Pharmacy are located at One CVS Drive, Woonsocket, RI 02895 and its telephone number is (401) 765-1500, and its website is
www.cvshealth.com.
Halo Merger Sub Corp.
Merger Sub is a wholly owned subsidiary of CVS Pharmacy and was formed on January 19, 2023 solely for the purpose of engaging in the
Transactions and has not engaged in any business activities other than in connection with the Transactions. Upon completion of the Merger,
Merger Sub will cease to exist with Oak Street Health continuing as the surviving corporation in the Merger and a wholly owned subsidiary of CVS
Pharmacy. The registered office of Merger Sub is located at Corporation Trust Center, 1209 Orange Street in the City of Wilmington, County of New
Castle, Delaware 19801.
The Merger (page 25)",10,11
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",The Merger,"The Merger (page 25)
Oak Street Health, CVS Pharmacy, Merger Sub and, solely for the limited purposes set forth in the Merger Agreement, CVS Health entered into
the Merger Agreement on February 7, 2023. A copy of the Merger Agreement is included as Annex A to this proxy statement. On the terms and
subject to the conditions set forth in the Merger Agreement and in accordance with the General Corporation Law of the State of Delaware (the
“DGCL”), at the effective time of the Merger (the “Effective Time”), Merger Sub will merge with and into Oak Street Health, the separate corporate
existence of Merger Sub will thereupon cease, and Oak Street Health will continue as the surviving corporation of the Merger and as a wholly owned
subsidiary of CVS Pharmacy. From time to time in this proxy statement, we refer to Oak Street Health as it will exist after the completion of the Merger
as the “surviving corporation.”
At the Effective Time, and without any action by any Oak Street Health stockholder, each share of Oak Street Health common stock that is
issued and outstanding as of immediately prior to the Effective Time (other than shares of Oak Street Health common stock (i) (A) held by Oak Street
Health as treasury stock or (B) owned by CVS Pharmacy or any of its subsidiaries (including Merger Sub), in each case, as of immediately prior to
the Effective Time, (ii) as to which holders thereof have properly exercised their statutory rights of appraisal in accordance with Section 262 of the
DGCL or (iii) subject to outstanding Oak Street Health restricted stock awards (each, an “RSA”)) will be automatically cancelled, extinguished and
converted into the right to receive cash in an amount equal to $39.00, without interest and less any applicable withholding taxes (the “Merger
Consideration”).
 
iiTable of Contents
The Special Meeting (page 15)",11,12
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",The Special Meeting,"The Special Meeting (page 15)
Date, Time and Place
The Special Meeting will be held virtually on Friday, April 28, 2023, at 8:30 AM, Central time. At the Special Meeting, Oak Street Health
stockholders will be asked to, among other things, vote for the adoption of the Merger Agreement. All Oak Street Health stockholders are cordially
invited to attend the Special Meeting. Oak Street Health is conducting the Special Meeting solely online via the Internet through a live audio
webcast and online stockholder tools. Oak Street Health stockholders will be able to attend the Special Meeting by visiting
www.proxydocs.com/OSH and registering in advance to attend the Special Meeting using the control number included in their proxy materials. Upon
completing your registration, you will receive further instructions via email, including information about your unique link that will allow you access
to the Special Meeting. You will not be able to attend the Special Meeting physically in person. For purposes of attendance at the Special Meeting,
all references in this proxy statement to “present in person,” “in person” or “attend” will mean virtually present at or to attend virtually the Special
Meeting.
Record Date and Stockholders Entitled to Vote
Only Oak Street Health stockholders of record as of the close of business on March 20, 2023 (the “Record Date”), the record date for the
Special Meeting, are entitled to receive notice of and to vote the shares of Oak Street Health common stock they held as of the Record Date at the
Special Meeting. As of the close of business on the Record Date, 244,257,022 shares of Oak Street Health common stock were issued and
outstanding and entitled to vote at the Special Meeting.
Quorum
The representation in person or by proxy of at least a majority of the outstanding shares of Oak Street Health common stock entitled to vote at
the Special Meeting, or 122,128,512 shares of Oak Street Health common stock, is necessary to constitute a quorum for the transaction of business at
the Special Meeting.
Vote Required
On each of the proposals presented at the Special Meeting, each Oak Street Health stockholder is entitled to one vote for each share of Oak
Street Health common stock held by such stockholder as of the close of business on the Record Date. The adoption of the Merger Agreement by
Oak Street Health stockholders requires the affirmative vote of stockholders holding a majority of the outstanding shares of Oak Street Health
common stock entitled to vote as of the close of business on the Record Date. The approval of the Compensation Proposal and Adjournment
Proposal each requires the affirmative vote of a majority of the shares of Oak Street Health common stock present, in person or represented by proxy,
and voting on such matter. The approval of the Compensation Proposal is advisory and non-binding and is not a condition to the completion of the
Merger.
Recommendation of the Oak Street Health Board and Reasons for the Merger (page 38)",12,12
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",Recommendation of the Oak Street Health Board and Reasons for the Merger,"Recommendation of the Oak Street Health Board and Reasons for the Merger (page 38)
After careful consideration, the Oak Street Health Board unanimously: (1) determined that it is fair to, and in the best interests of, Oak Street
Health and its stockholders, and declared it advisable, to enter into the Merger Agreement upon the terms and subject to the conditions set forth
therein; (2) approved the execution and delivery of the Merger Agreement by Oak Street Health, the performance by Oak Street Health of its
covenants and other obligations thereunder, and the consummation of the Merger and the other transactions contemplated by the Merger
Agreement upon the terms and subject to the conditions set forth therein; (3) resolved to recommend that Oak Street Health stockholders adopt the
Merger Agreement in accordance with the DGCL; and (4) directed that the adoption of the Merger Agreement be submitted for consideration by Oak
Street Health stockholders at the Special Meeting. Accordingly, the Oak Street Health Board unanimously recommends that stockholders 
 
iiiTable of Contents
vote “FOR” the Merger Proposal, “FOR” the advisory, non-binding Compensation Proposal, and “FOR” the Adjournment Proposal, if necessary
or appropriate, to solicit additional proxies. 
For a discussion of the material factors that the Oak Street Health Board considered in determining to recommend the adoption of the Merger
Agreement, please see the section of this proxy statement titled “The Merger — Recommendation of the Oak Street Health Board and Reasons for
the Merger.”
Opinion of Centerview Partners LLC (page 43)",12,13
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",Opinion of Centerview Partners LLC,"Opinion of Centerview Partners LLC (page 43)
The Company retained Centerview Partners LLC (“Centerview”) as financial advisor in connection with the Merger and the other Transactions.
In connection with this engagement, the Oak Street Health Board requested that Centerview evaluate the fairness, from a financial point of view, to
the holders of shares of Oak Street Health common stock (other than shares of Oak Street Health common stock (i) (A) held by Oak Street Health as
treasury stock or (B) owned by CVS Pharmacy or any of its subsidiaries (including Merger Sub), in each case, as of immediately prior to the Effective
Time, (ii) as to which holders thereof have properly exercised their statutory rights of appraisal in accordance with Section 262 of the DGCL, (iii)
subject to outstanding RSAs and (iv) held by any affiliate of Oak Street Health or CVS Pharmacy (clauses (i) - (iv) collectively, “Excluded Shares”))
of the Merger Consideration proposed to be paid to such holders pursuant to the Merger Agreement. On February 7, 2023, Centerview rendered to
the Oak Street Health Board its oral opinion, which was subsequently confirmed by delivery of a written opinion dated February 7, 2023 that, as of
such date and based upon and subject to the various assumptions made, procedures followed, matters considered, and qualifications and limitations
upon the review undertaken by Centerview in preparing its opinion, the Merger Consideration to be paid to the holders of shares of Oak Street
Health common stock (other than Excluded Shares) pursuant to the Merger Agreement was fair, from a financial point of view, to such holders.
The full text of Centerview’s written opinion, dated February 7, 2023, which describes the various assumptions made, procedures followed,
matters considered, and qualifications and limitations upon the review undertaken by Centerview in preparing its opinion, is attached as Annex B
and is incorporated herein by reference. Centerview’s financial advisory services and opinion were provided for the information and assistance of
the Oak Street Health Board (in their capacity as directors and not in any other capacity) in connection with and for purposes of its consideration
of the Transactions and Centerview’s opinion addressed only the fairness, from a financial point of view, as of the date thereof, to the holders of
Oak Street Health common stock (other than Excluded Shares) of the Merger Consideration to be paid to such holders pursuant to the Merger
Agreement. Centerview’s opinion did not address any other term or aspect of the Merger Agreement or the Transactions and does not constitute a
recommendation to any stockholder of Oak Street Health or any other person as to how such stockholder or other person should vote with respect
to the Merger or otherwise act with respect to the Transactions or any other matter.  
The summary of Centerview’s opinion set forth herein is qualified in its entirety by reference to the full text of the opinion. The full text of
Centerview’s written opinion should be read carefully in its entirety for a description of the assumptions made, procedures followed, matters
considered, and qualifications and limitations upon the review undertaken by Centerview in preparing its opinion.
For a description of the opinion that the Oak Street Health Board received from Centerview, see the section of this proxy statement titled “The
Merger — Opinion of Centerview Partners LLC.”
Certain Effects of the Merger (page 54)",13,13
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",Certain Effects of the Merger,"Certain Effects of the Merger (page 54)
Upon the consummation of the Merger, Merger Sub will be merged with and into Oak Street Health, the separate corporate existence of Merger
Sub will thereupon cease, and Oak Street Health will continue to exist as the surviving corporation of the Merger and as a wholly owned subsidiary
of CVS Pharmacy.
 
ivTable of Contents
Following the consummation of the Merger, shares of Oak Street Health common stock will be delisted from the NYSE, and the registration of
shares of Oak Street Health common stock under the Securities Exchange Act of 1934, as amended (the “Exchange Act”), will be terminated.",13,14
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",Effects on Oak Street Health if the Merger Is Not Completed,"Effects on Oak Street Health if the Merger Is Not Completed (page 56)
In the event that the proposal to adopt the Merger Agreement does not receive the required approval from Oak Street Health stockholders, or
if the Merger is not completed for any other reason, Oak Street Health stockholders will continue to own their shares of Oak Street Health common
stock and will not receive any payment for their shares of Oak Street Health common stock in connection with the Merger. Instead, Oak Street Health
will remain an independent public company, with Oak Street Health common stock continuing to be listed and traded on the NYSE and registered
under the Exchange Act, and Oak Street Health will continue to file periodic reports under the Exchange Act with the SEC. Under certain
circumstances, if the Merger Agreement is terminated, Oak Street Health may be obligated to pay to CVS Pharmacy a termination fee of $300 million.
Under certain circumstances, if the Merger Agreement is terminated, CVS Pharmacy may be obligated to pay to Oak Street Health a termination fee of
$500 million. Please see the section of this proxy statement titled “The Merger Agreement — Termination Fees.”
Treatment of Equity-Based Awards and the Oak Street Health ESPP (page 58)",14,14
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",Treatment of Equity-Based Awards and the Oak Street Health ESPP,"Treatment of Equity-Based Awards and the Oak Street Health ESPP (page 58)  
Each outstanding and unexercised option to purchase shares of Oak Street Health common stock (each, an “Option”) with an exercise price per
share less than $39.00 that is vested or that, as a result of the Merger, would become vested as of the Effective Time (with any performance
conditions applicable to such Option determined in accordance with the applicable award agreement as of immediately prior to the Effective Time),
will, at the Effective Time, automatically be cancelled and converted into the right to receive an amount in cash (without interest and subject to
applicable tax withholdings) equal to the product of (i) the number of shares of Oak Street Health common stock subject to such Option as of
immediately prior to the Effective Time and (ii) the excess of $39.00 over the per share exercise price of such Option. At the Effective Time, each
outstanding and unexercised Option with an exercise price per share equal to or greater than $39.00, whether vested or unvested, will be
automatically cancelled for no consideration.
Each Option that is unvested at the Effective Time and not cancelled pursuant to the provisions described in the preceding paragraph will, at
the Effective Time, automatically be cancelled and converted into the contractual right to receive a payment in cash (without interest and subject to
applicable tax withholdings) equal to the product of (i) the number of shares of Oak Street Health common stock subject to such Option as of
immediately prior to the Effective Time and (ii) the excess of $39.00 over the exercise price per share of such Option (each, a “Converted Option Cash
Award”), and each Converted Option Cash Award will be subject to the same terms and conditions (including applicable vesting provisions, but
excluding exercise provisions) as applied to the corresponding Option immediately prior to the Effective Time and will become payable in accordance
with the original vesting schedule applicable to the corresponding Option, except that each Converted Option Cash Award will provide that the
unvested portion, if any, of such Converted Option Cash Award will immediately vest and become payable upon a termination of the holder’s
employment or services without “cause” or a resignation by the holder for “good reason” that occurs within the 12-month period following the
Effective Time.
Each RSA that is outstanding as of immediately prior to the Effective Time will, at the Effective Time, automatically be assumed by CVS
Pharmacy and converted into a corresponding CVS Health restricted stock award (each, an “Assumed RSA”) on the same terms and conditions
(including applicable vesting and expiration provisions) as applied to each such RSA immediately prior to the Effective Time, except that each
Assumed RSA will cover a number of whole shares of CVS Health common stock equal to the product of (i) the number of shares of Oak Street
Health common stock underlying such RSA as of immediately prior to the Effective Time
 
vTable of Contents
and (ii) the Equity Award Exchange Ratio (as defined below), and such Assumed RSA will provide that the unvested portion, if any, of such
Assumed RSA will immediately vest and settle upon a termination of the holder’s employment or services without “cause” or a resignation by the
holder for “good reason” that occurs within the 12-month period following the Effective Time.
Each Oak Street Health restricted stock unit award (each, an “RSU”) that is outstanding as of immediately prior to the Effective Time that is
vested or, as a result of the Merger, would become vested as of the Effective Time (in each case, with any performance conditions applicable to such
RSU determined in accordance with the applicable award agreement as of immediately prior to the Effective Time), will, at the Effective Time,
automatically be cancelled and converted into the right to receive, an amount in cash (without interest and subject to applicable tax withholdings)
equal to the product of (i) $39.00 and (ii) the number of shares of Oak Street Health common stock subject to such RSU as of immediately prior to the
Effective Time (a “Cash-Out RSU”).
Each RSU granted on or after February 7, 2023 that is outstanding and unvested as of the Effective Time will, at the Effective Time,
automatically be assumed by CVS Pharmacy and converted into a corresponding CVS Health restricted stock unit award (each, an “Assumed RSU
Award”) on the same terms and conditions (including applicable vesting and expiration provisions) as applied to each such RSU immediately prior to
the Effective Time, except that each Assumed RSU Award will cover a number of whole shares of CVS Health common stock equal to the product of
(i) the number of shares of Oak Street Health common stock underlying such RSU as of immediately prior to the Effective Time and (ii) the Equity
Award Exchange Ratio.
Each RSU (other than Cash-Out RSUs and RSUs granted on or after February 7, 2023) that is outstanding and unvested as of the Effective
Time will, at the Effective Time, automatically be cancelled and converted into the contractual right to receive a payment in an amount of cash
(without interest and subject to applicable tax withholdings) equal to the product of (i) $39.00 and (ii) the total number of shares of Oak Street Health
common stock subject to such RSU as of immediately prior to the Effective Time (each, a “Converted RSU Cash Award”), and each Converted RSU
Cash Award will be subject to the same terms and conditions (including time-based vesting) as applied to such RSU immediately prior to the
Effective Time and will become payable in accordance with the original vesting schedule applicable to the corresponding RSU, except that each
Converted RSU Cash Award will provide that the unvested portion, if any, of such Converted RSU Cash Award will immediately vest and become
payable upon a termination of the holder’s employment or services without “cause” or a resignation by the holder for “good reason” that occurs
within the 12-month period following the Effective Time.
For purposes of this proxy statement, the “Equity Award Exchange Ratio” means the quotient obtained by dividing (i) $39.00 by (ii) the volume
weighted average closing sale price (rounded to the nearest cent) of one share of CVS Health common stock as reported on the NYSE as reported on
Bloomberg L.P. under the function “VWAP” (or, if not reported therein, in another authoritative source mutually selected by the parties) for the 10
consecutive trading days ending on (and including) the date that is two trading days immediately preceding the Effective Time (as adjusted as
appropriate to reflect any stock splits, stock dividends, combinations, reorganizations, reclassifications or similar events), rounded to the nearest
0.0001.
The consideration described above is collectively referred to as the “Equity Award Consideration” and the Equity Award Consideration,
together with the aggregate per share Merger Consideration payable pursuant to the Merger Agreement, is referred to collectively as the “aggregate
Merger Consideration.”
Pursuant to the Merger Agreement, Oak Street Health will take all actions necessary pursuant to the terms of the Oak Street Health, Inc.
Employee Stock Purchase Plan (the “Oak Street Health ESPP”) to ensure that (i) the commencement of any future offering period under the Oak
Street Health ESPP will be suspended following February 7, 2023 unless and until the Merger Agreement is terminated, (ii) there will be no increase in
the amount of participants’ payroll deduction elections under the Oak Street Health ESPP during the current offering
 
vi
Table of Contents
period from those in effect as of February 7, 2023, (iii) except to the extent required by applicable law, no individual participating in the Oak Street
Health ESPP will be permitted to make separate non-payroll contributions to the Oak Street Health ESPP, (iv) no individuals will commence
participation in the Oak Street Health ESPP during the period from February 7, 2023 through the Effective Time, (v) each purchase right issued
pursuant to the Oak Street Health ESPP will be fully exercised on the earlier of (x) the scheduled purchase date for such offering period and (y) the
date that is no later than five business days prior to the Effective Time (with any participant payroll deductions not applied to the purchase of shares
of Oak Street Health common stock returned to the participant), and (vi) the Oak Street Health ESPP is terminated effective immediately prior to the
Effective Time.
Interests of Oak Street Health’s Directors and Executive Officers in the Merger (page 57)",14,16
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",Interests of Oak Street Health’s Directors and Executive Officers in the Merger,"Interests of Oak Street Health’s Directors and Executive Officers in the Merger (page 57)
Oak Street Health’s directors and executive officers have interests in the Merger that may be different from, or in addition to, the interests of
Oak Street Health stockholders generally. The Oak Street Health Board was aware of and considered these interests in reaching the determination to
approve the Merger Agreement and deem the Merger Agreement, the Merger and the other transactions contemplated by the Merger Agreement to
be advisable, fair to and in the best interests of Oak Street Health and its stockholders, and in recommending that stockholders vote for the adoption
of the Merger Agreement. These interests include:
 
•
the executive officers and directors of Oak Street Health hold equity-based awards that will be afforded the treatment described
immediately above under “ — Treatment of Equity-Based Awards and the Oak Street Health ESPP”;
 
•
the executive officers of Oak Street Health are party to existing agreements with the Company that provide for severance benefits; and
 
•
the executive officers and directors of Oak Street Health are entitled to continued indemnification and insurance coverage following the
Merger under the Merger Agreement. Please see the section of this proxy statement titled “The Merger Agreement — Indemnification
of Directors and Officers and Insurance.”",16,16
