Document,Section Header,Section Text,Start Page,End Page
PLANTRONICS INC CA_20220517_DEFM14A_20103137_4464750.Pdf,TRANSACTION SUMMARY,"TRANSACTION SUMMARY
Except as otherwise specifically noted in this proxy statement, “Poly,” “we,” “our,” “us” and similar words refer to Plantronics, Inc.,
including, in certain cases, our subsidiaries. Throughout this proxy statement, the “Poly Board” refers to Poly’s Board of Directors. Throughout
this proxy statement, we refer to HP Inc. as “HP” and Prism Subsidiary Corp. as “Merger Sub.” In addition, throughout this proxy statement we
refer to the Agreement and Plan of Merger (as it may be amended from time to time), dated as of March 25, 2022, among HP, Merger Sub and Poly
as the “merger agreement.”
This summary highlights selected information from this proxy statement related to the proposed merger of Merger Sub (a wholly owned
subsidiary of HP) with and into Poly, with Poly surviving and continuing as a wholly owned subsidiary of HP. We refer to that transaction as the
“merger.”
This proxy statement may not contain all of the information that is important to you. To understand the merger more fully and for a complete
description of its legal terms, you should carefully read this proxy statement, including the annexes to this proxy statement and the other
documents to which we refer in this proxy statement. You may obtain the information incorporated by reference in this proxy statement without
charge by following the instructions in the section of this proxy statement captioned “Where You Can Find More Information.” A copy of the
merger agreement is attached as Annex A to this proxy statement. We encourage you to read the merger agreement, which is the legal document
that governs the merger, carefully and in its entirety.
Introduction",9,9
PLANTRONICS INC CA_20220517_DEFM14A_20103137_4464750.Pdf,Introduction,"Introduction
On March 25, 2022, Poly agreed to be acquired by HP. If the merger is completed, each outstanding share of our common stock (which we refer
to as our “common stock”) (subject to certain exceptions) will be converted into the right to receive $40.00 per share in cash.
Parties Involved in the Merger",9,9
PLANTRONICS INC CA_20220517_DEFM14A_20103137_4464750.Pdf,Parties Involved in the Merger,"Parties Involved in the Merger
Plantronics, Inc.
Poly is a leading global communications company that designs, manufactures, and markets integrated communications and collaboration
solutions that span headsets, open Session Initiation Protocol and native ecosystem desktop phones, conference room phones, video conferencing
solutions and peripherals, including cameras, speakers, and microphones, cloud management and analytics software solutions and services. Poly
has two operating and reportable segments, Products and Services, and offers its products under the 
 , Plantronics and Polycom brands.
Poly produces audio communications equipment for businesses and consumers. Its products support unified communications, mobile use,
gaming and music.
Our common stock is listed on the New York Stock Exchange (which we refer to as the “NYSE”) under the symbol “POLY.” Poly’s corporate
offices are located at 345 Encinal Street, Santa Cruz, California 95060, and its telephone number is (831) 420-3002.
HP Inc.
HP is a leading global provider of personal computing and other access devices, imaging and printing products, and related technologies,
solutions and services. HP sells to individual consumers, small- and medium-sized businesses and large enterprises, including customers in the
government, health and education
1Table of Contents
sectors. HP’s address is 1501 Page Mill Road, Palo Alto, California 94304, and its telephone number is (650) 857-1501.
Prism Subsidiary Corp.
Merger Sub, a Delaware corporation and a wholly owned subsidiary of HP, was formed on March 18, 2022 solely for the purpose of engaging
in the transactions contemplated by the merger agreement. Merger Sub has not engaged in any business activities other than in connection with the
transactions contemplated by the merger agreement. At the effective time of the merger, Merger Sub will merge with and into Poly, and Merger Sub
will cease to exist. Merger Sub’s address is 1501 Page Mill Road, Palo Alto, California 94304.",9,10
PLANTRONICS INC CA_20220517_DEFM14A_20103137_4464750.Pdf,Effect of the Merger,"Effect of the Merger
Upon the terms and subject to the conditions of the merger agreement, and in accordance with the General Corporation Law of the State of
Delaware (which we refer to as the “DGCL”), at the effective time of the merger: (1) Merger Sub will merge with and into Poly; (2) the separate
existence of Merger Sub will cease; and (3) Poly will continue as the surviving corporation in the merger and as a wholly owned subsidiary of HP.
Throughout this proxy statement, we use the term “surviving corporation” to refer to Poly as the surviving corporation following the merger.
As a result of the merger, Poly will cease to be a publicly traded company. If the merger is completed, you will not own any shares of capital
stock of the surviving corporation.
The time at which the merger becomes effective (which we refer to as the “effective time of the merger”) will occur upon the filing of a
certificate of merger with the Secretary of State of the State of Delaware (or at a later date and time as Poly, HP and Merger Sub may agree and
specify in such certificate of merger).
Per Share Price",10,10
PLANTRONICS INC CA_20220517_DEFM14A_20103137_4464750.Pdf,Per Share Price,"Per Share Price
Upon the terms and subject to the conditions of the merger agreement, at the effective time of the merger, and without any action on the part of
the holder, each outstanding share of our common stock (other than as specified in the merger agreement), will be canceled and cease to exist, and
will be automatically converted into the right to receive $40.00 in cash, without interest and less any applicable withholding taxes. We refer to this
amount as the “per share price.”
At or prior to the closing of the merger, a sufficient amount of cash will be deposited with a designated paying agent to pay the aggregate per
share price. Once a stockholder has provided the paying agent with his, her or its documentation specified by the paying agent, then the paying
agent will pay the stockholder the appropriate portion of the aggregate per share price. For more information, see the section of this proxy statement
captioned “The Merger Agreement—Paying Agent, Exchange Fund, and Exchange and Payment Procedures.”
After the merger is completed, you will have the right to receive the per share price for each share of our common stock that you own, but you
will no longer have any rights as a Poly stockholder (except that Poly stockholders who properly and validly exercise and perfect, and do not validly
withdraw or subsequently lose, their appraisal rights will have the right to receive a payment for the “fair value” of their shares as determined
pursuant to an appraisal proceeding as contemplated by the DGCL, as described in the section of this proxy statement captioned “The Merger—
Appraisal Rights”).
2Table of Contents
The Special Meeting",10,11
PLANTRONICS INC CA_20220517_DEFM14A_20103137_4464750.Pdf,The Special Meeting,"The Special Meeting
Date, Time and Place
A special meeting of our stockholders will be held on June 23, 2022, at 9:00 a.m., Pacific time. You may attend the special meeting solely via a
live interactive webcast on the internet at www.proxydocs.com/POLY. We refer to the special meeting, and any adjournment, postponement or other
delay of the special meeting, as the “special meeting.” You will need the control number found on your proxy card or voting instruction form in
order to participate in the special meeting (including voting your shares). We elected to use a virtual meeting given the current public health
implications of COVID-19 and our desire to promote the health and welfare of our stockholders, as well as our positive experiences with virtual
meetings.
Purpose
At the special meeting, we will ask stockholders to vote on proposals to: (1) adopt the merger agreement; (2) approve, on a non-binding,
advisory basis, the compensation that will or may become payable by Poly to our named executive officers in connection with the merger; and (3)
adjourn the special meeting, from time to time, to a later date or dates, if necessary or appropriate as determined in good faith by the Poly Board, to
solicit additional proxies if there are insufficient votes to adopt the merger agreement at the time of the special meeting.
Record Date; Shares Entitled to Vote
You are entitled to vote at the special meeting if you owned shares of our common stock as of the close of business on April 28, 2022 (which
we refer to as the “record date”). For each share of our common stock that you owned as of the close of business on the record date, you will have
one vote on each matter submitted for a vote at the special meeting.
Quorum
As of the record date, there were 43,072,542 shares of our common stock outstanding and entitled to vote at the special meeting. The holders
of the outstanding shares of capital stock representing a majority of the voting power of our common stock present in person or represented by
proxy, and entitled to vote at the meeting, shall constitute a quorum.
Required Vote
The proposals to be voted on at the special meeting require the following votes:
•
Proposal 1: Approval of the proposal to adopt the merger agreement requires the affirmative vote of the holders of a majority of the
shares of our common stock outstanding as of the record date.
•
Proposal 2: Approval of the proposal to approve the compensation that will or may become payable by Poly to our named executive
officers in connection with the merger requires the affirmative vote of a majority of the voting power of the shares of our common stock
present in person or represented by proxy at the special meeting and entitled to vote on the proposal. This vote will be on a non-
binding, advisory basis.
•
Proposal 3: Approval of the proposal to adjourn the special meeting, from time to time, to a later date or dates to solicit additional
proxies if there are insufficient votes to adopt the merger agreement at the time of the special meeting requires the affirmative vote of a
majority of the voting power of the shares of our common stock present in person or represented by proxy at the special meeting and
entitled to vote on the proposal.
3Table of Contents
Voting and Proxies
Any stockholder of record entitled to vote at the special meeting may vote in any of the following ways:
•
by proxy, by returning a signed and dated proxy card (a proxy card and a prepaid reply envelope are enclosed for your convenience);
•
by proxy, by granting a proxy electronically over the internet or by telephone (using the instructions found on the proxy card); or
•
by virtually attending the special meeting and voting at the special meeting using the control number on the enclosed proxy card.
If you are a stockholder of record, you may change your vote or revoke your proxy at any time before it is voted at the special meeting by (1)
signing another proxy card with a later date and returning it prior to the special meeting; (2) submitting a new proxy electronically over the internet or
by telephone after the date of the earlier submitted proxy; (3) delivering a written notice of revocation to our Corporate Secretary; or (4) attending
the special meeting and voting at the special meeting.
If you are a beneficial owner and hold your shares of our common stock in “street name” through a bank, broker or other nominee, you will
receive instructions from your bank, broker or other nominee that you must follow in order to submit your voting instructions and have your shares
counted at the special meeting. Under applicable stock exchange rules, banks, brokers or other nominees have the discretion to vote on routine
matters, but not on non-routine matters. The proposals to be considered at the special meeting are all non-routine matters, and banks, brokers and
other nominees cannot vote on these proposals without your instructions. Therefore, it is important that you cast your vote or instruct your bank,
broker or other nominee on how you wish to vote your shares.
If you hold your shares of our common stock in “street name,” you should contact your bank, broker or other nominee for instructions
regarding how to change your vote. You may also vote at the special meeting if you obtain a “legal proxy” from your bank, broker or other nominee
giving you the right to vote your shares at the special meeting.
Recommendation of the Poly Board and Reasons for the Merger",11,12
PLANTRONICS INC CA_20220517_DEFM14A_20103137_4464750.Pdf,Recommendation of the Poly Board and Reasons for the Merger,"Recommendation of the Poly Board and Reasons for the Merger
The Poly Board, after considering various factors described in the section of this proxy statement captioned “The Merger—Recommendation
of the Poly Board and Reasons for the Merger”: (1) approved and adopted the merger agreement, the merger and the other transactions
contemplated by the merger agreement and approved the execution and performance of the merger agreement; and (2) determined that the terms of
the merger and the other transactions contemplated by the merger agreement are fair to and in the best interests of Poly and its stockholders.
The Poly Board recommends that you vote: (1) “FOR” the adoption of the merger agreement; (2) “FOR” the compensation that will or may
become payable by Poly to our named executive officers in connection with the merger; and (3) “FOR” the adjournment of the special meeting, from
time to time, to a later date or dates, if necessary or appropriate as determined in good faith by the Poly Board, to solicit additional proxies if there are
insufficient votes to adopt the merger agreement at the time of the special meeting.
Opinion of Morgan Stanley & Co. LLC",12,12
PLANTRONICS INC CA_20220517_DEFM14A_20103137_4464750.Pdf,Opinion of Morgan Stanley & Co. LLC,"Opinion of Morgan Stanley & Co. LLC
In connection with the merger, Poly retained Morgan Stanley & Co. LLC (which we refer to as “Morgan Stanley”) to provide it with financial
advisory services and an opinion in connection with the possible sale of
4Table of Contents
Poly. The Poly Board selected Morgan Stanley to act as Poly’s financial adviser based on Morgan Stanley’s qualifications, extensive expertise and
international reputation, its knowledge of and involvement in recent transactions in Poly’s industry, and its knowledge of Poly’s business and
affairs. At the meeting of the Poly Board on March 25, 2022, Morgan Stanley rendered its oral opinion, subsequently confirmed in writing, that, as of
March 25, 2022, and based upon and subject to the assumptions made, procedures followed, matters considered and qualifications and limitations
on the scope of review undertaken by Morgan Stanley as set forth in the written opinion, the per share consideration to be received by the holders
of shares of our common stock (other than as specified in the merger agreement) pursuant to the merger agreement was fair from a financial point of
view to such holders of shares of our common stock, as set forth in such opinion as more fully described in the section of this proxy statement
captioned “The Merger—Opinion of Morgan Stanley & Co. LLC.”
The full text of the written opinion of Morgan Stanley, dated as of March 25, 2022, which sets forth, among other things, the assumptions
made, procedures followed, matters considered and qualifications and limitations on the scope of the review undertaken by Morgan Stanley in
rendering its opinion, is attached to this proxy statement as Annex B and incorporated by reference in this proxy statement in its entirety. The
summary of the opinion of Morgan Stanley in this proxy statement is qualified in its entirety by reference to the full text of the opinion. You are
encouraged to read Morgan Stanley’s opinion carefully and in its entirety. Morgan Stanley’s opinion was directed to the Poly Board, in its capacity
as such, and addresses only the fairness from a financial point of view of the per share consideration to be received by the holders of shares of our
common stock (other than as specified in the merger agreement) pursuant to the merger agreement as of the date of the opinion and does not
address the relative merits of the merger as compared to any other alternative business transaction, or other alternatives, or whether or not such
alternatives could be achieved or are available. It was not intended to, and does not, constitute an opinion or a recommendation as to how our
stockholders should vote at the special meeting.
Treatment of Equity Awards in the Merger",12,13
PLANTRONICS INC CA_20220517_DEFM14A_20103137_4464750.Pdf,Treatment of Equity Awards in the Merger,"Treatment of Equity Awards in the Merger
The merger agreement provides that Poly’s equity-based awards that are outstanding immediately prior to the effective time of the merger will
be treated in the following manner in connection with the merger. For more information, see the section of this proxy statement captioned “The
Merger Agreement—Conversion of Shares—Equity Awards; ESPP.”
Treatment of Poly Equity-Based Awards
•
At or immediately prior to the effective time of the merger, each share of Poly restricted stock that is outstanding immediately prior to
the effective time of the merger (which we refer to as “Poly Restricted Stock”) will vest in full and become free of restrictions as of the
effective time of the merger and will be converted into the right to receive the per share price under the same terms and conditions as
apply to the receipt of the merger consideration by holders of our common stock generally.
•
At or immediately prior to the effective time of the merger, restricted stock units that were granted prior to the date of the merger
agreement (which we refer to as “Poly RSUs”) (and excluding any Poly interim restricted stock units that were or may be granted on or
after the date of the merger agreement (which we refer to as “Poly Interim RSUs”)) that are outstanding immediately prior to the
effective time of the merger will be canceled and converted into a right to receive an amount in cash equal to (A) the number of shares
of our common stock subject to such Poly RSU immediately prior to the effective time of the merger multiplied by (B) the per share
price. This amount (less any required withholding and other taxes) will be paid to the applicable holder at or reasonably promptly after
the effective time of the merger.
•
At or immediately prior to the effective time of the merger, performance-based restricted stock units that were granted prior to the date
of the merger agreement (which we refer to as “Poly PSUs”) (and
5Table of Contents
excluding any Poly interim performance-based restricted stock units that were or may be granted on or after the date of the merger
agreement (which we refer to as “Poly Interim PSUs”)) that are outstanding immediately prior to the effective time of the merger will be
canceled and converted into the right to receive an amount in cash equal to (A) the total number of shares of our common stock
subject to such Poly PSU immediately prior to the effective time of the merger (calculated based on the terms of the Poly equity plan
and applicable award agreement governing such Poly PSU and based on actual performance against performance targets with such
performance determined as of five business days prior to the effective time of the merger) multiplied by (B) the per share price. This
amount (less any required withholdings and other taxes) will be paid to the applicable holder at or reasonably promptly after the
effective time of the merger.
•
Poly Interim RSUs (including Poly Converted Interim RSUs (as defined below)) that are outstanding immediately prior to the effective
time of the merger will be either (in the sole discretion of HP):
•
(A) assumed by HP and converted into restricted stock units of HP with respect to a number of shares of HP’s common stock
(rounded down to the nearest whole share) that is equal to the product obtained by multiplying (i) the number of shares of our
common stock subject to such Poly Interim RSU immediately prior to the effective time of the merger by (ii) the quotient obtained
by dividing (a) the per share price by (b) the average closing price per share of HP’s common stock on the NYSE for the ten
trading-day period ending on the trading day preceding the closing date of the merger, but subject to the vesting schedule that is
applicable to such Poly Interim RSU as in effect immediately prior to the closing of the merger and the other terms and conditions
applicable to such Poly Interim RSU as in effect immediately prior to the closing of the merger; or
•
(B) canceled and converted into the right to receive an amount in cash equal to (i) the total number of shares of our common
stock subject to such Poly Interim RSU immediately prior to the effective time of the merger, multiplied by (ii) the per share price,
with such amount payable on the vesting schedule that is applicable to such Poly Interim RSU as in effect immediately prior to
the closing of the merger and otherwise subject to the other terms and conditions applicable to such Poly Interim RSU as in effect
immediately prior to the closing of the merger (we refer to such consideration described in prior clause (A) or clause (B) as the
“Poly Interim RSU Merger Consideration”). For any consideration described in prior clause (A), HP will issue the Poly Interim
RSU Merger Consideration in the form of restricted stock units covering shares of HP’s common stock at or reasonably promptly
after the effective time of the merger, or for any consideration described in prior clause (B), the Poly Interim RSU Merger
Consideration will be paid in cash (less any required withholding and other taxes) according to the applicable vesting schedule,
to each holder of Poly Interim RSUs with respect to such holder’s Poly Interim RSUs.
•
At or immediately prior to the effective time of the merger, Poly Interim PSUs will be canceled and exchanged for Poly RSUs (which, as
so converted, we refer to as “Poly Converted Interim RSUs”) with respect to a number of shares of our common stock equal to the
number of shares of our common stock subject to such Poly Interim PSU with respect to target performance and with the same
remaining time-based vesting schedule that would have been applicable had the Poly Interim PSU stock unit been initially granted as a
Poly Interim RSU and such award will be treated as a Poly Interim RSU as described above.
Treatment of Poly Options
•
Stock options (which we refer to as “Poly options”) that have an exercise price per share of our common stock that is less than the per
share price, whether or not exercisable or vested, will be canceled and converted into the right to receive an amount in cash determined
by multiplying (A) the excess of the per share price over the exercise price of such Poly option by (B) the number of shares of our
common stock
6
Table of Contents
subject to such Poly option. This amount (less any required withholdings and other taxes) will be paid to the applicable holder at or
reasonably promptly after the effective time of the merger.
•
At or immediately prior to the effective time of the merger, Poly options that have an exercise price per share of our common stock that
is equal to or greater than the per share price, whether or not exercisable or vested, that are outstanding immediately prior to the
effective time of the merger will be canceled without payment.
Treatment of the ESPP
The Plantronics, Inc. Amended and Restated 2002 Employee Stock Purchase Plan (which we refer to as the “ESPP”) will be frozen and
suspended at the end of the offering period that is in progress as of the date of the merger agreement and no new offering periods will commence
under the ESPP at any time on or after the date of the merger agreement. No current participants in the ESPP will be permitted to increase their payroll
deduction elections or rate of contributions under the ESPP from those in effect on the date of the merger agreement or make any separate non-
payroll contributions to the ESPP on or following the date of the merger agreement. If any offering period that is in progress as of the date of the
merger agreement continues to be in progress as of the effective time of the merger, such offering period will be shortened in accordance with the
terms of the ESPP to a date on or prior to the closing date of the merger. The ESPP will terminate prior to, and contingent upon, the effective time of
the merger.
Employee Benefits",13,15
PLANTRONICS INC CA_20220517_DEFM14A_20103137_4464750.Pdf,Employee Benefits,"Employee Benefits
Except as otherwise provided by applicable law, employees of Poly and its subsidiaries employed primarily in the United States who remain in
the employment of the surviving corporation and its subsidiaries as of the closing of the merger or who become employees of HP or one of its
subsidiaries in connection with the closing of the merger (whom we refer to as “continuing employees”) will receive for a 12-month period after the
closing of the merger, (1) annual base cash salary and wage rates that are no less than those provided to such continuing employees prior to the
effective time of the merger, and (2) broad-based employee benefits (excluding severance, cash incentive, equity-based compensation, defined
benefits pursuant to qualified and nonqualified retirement plans, retiree medical benefits, and other retiree health and welfare arrangements) that are,
at the election of HP (i) comparable in the aggregate to those provided to such employees immediately prior to the effective time of the merger, or (ii)
comparable in the aggregate to those provided to similarly situated employees of HP and its subsidiaries. From and after the closing of the merger
and as permitted under applicable local law, each continuing employee will be eligible to participate in a HP cash incentive plan on the same basis,
and with the same target incentive opportunities, as apply to a similarly situated employee of HP and its subsidiaries.
At or after the effective time of the merger, HP will, and will cause the surviving corporation to, cause to be granted to the continuing
employees credit for all service with Poly and its subsidiaries prior to the effective time of the merger, to the extent that such service was credited for
the applicable purpose prior to the effective time of the merger, for purposes of eligibility to participate, vesting and entitlement to benefits where
length of service is relevant, except that such service will not be credited to the extent that it would result in duplication of coverage or benefits.
In addition, with respect to any health plan maintained by HP or any of its subsidiaries in which continuing employees are eligible to
participate after the effective time of the merger, HP will, and will cause the surviving corporation to, use commercially reasonable efforts to (1) waive
all limitations as to all pre-existing condition exclusions or limitations, physical examination requirements, evidence of insurability requirements,
actively-at-work or similar requirements, and waiting periods with respect to participation and coverage requirements applicable to such employees
and their covered dependents to the extent such conditions and exclusions were satisfied or did not apply to such employees and their covered
dependents under the welfare plans of Poly and its subsidiaries prior to the effective time of the merger; and (2) provide any eligible expenses
7Table of Contents
incurred by such continuing employee and his or her covered dependents during the portion of the plan year of the analogous Poly benefit plan
ending on the date that such continuing employee’s participation in the corresponding post-closing plan begins to be given full credit pursuant to
such post-closing plan for purposes of satisfying all deductible, co-payments, coinsurance, offset and maximum out-of-pocket requirements
applicable to such continuing employee and his or her covered dependents for the applicable plan year as if such amounts had been paid in
accordance with such post-closing plan.
For more information, see the section of this proxy statement captioned “The Merger Agreement—Employee Benefits.”",15,16
