Document,Section Header,Section Text,Start Page,End Page
"PS BUSINESS PARKS, INC.MD_20220608_DEFM14A_20155205_4474225.Pdf",SUMMARY,"SUMMARY
This summary highlights only selected information from this proxy statement relating to (1) the merger (the “Partnership Merger”) of
Sequoia Merger Sub II LLC, a Maryland limited liability company (“Merger Sub II”) and wholly owned subsidiary of Sequoia Parent LP, a
Delaware limited partnership (“Parent”) and an affiliate of Blackstone Inc. (“Blackstone”), with and into PS Business Parks, L.P., a California
limited partnership (the “Partnership”), with the Partnership surviving such merger, (2) the merger (the “Company Merger” and, together with
the Partnership Merger, the “Mergers”) of Sequoia Merger Sub I LLC, a Maryland limited liability company (“Merger Sub I”) and wholly owned
subsidiary of Parent, with and into PS Business Parks, Inc., a Maryland corporation (“us”, “our” or the “Company”), with the Company
surviving such merger, (3) certain other matters contemplated by the Agreement and Plan of Merger, dated as of April 24, 2022, and as it may be
amended from time to time, by and among the Company, the Partnership, Parent, Merger Sub I and Merger Sub II (the “Merger Agreement”) and
(4) the special meeting of our common stockholders to consider the matters set forth in this proxy statement.
This summary does not contain all the information about the special meeting or the Mergers and related transactions contemplated by the
Merger Agreement that may be important to you. As a result, to understand the special meeting, the Mergers and the related transactions fully and
for a more complete description of the terms of the Mergers and related transactions, you should read carefully this proxy statement in its entirety,
including the exhibits and the other documents to which we have referred you, including the Merger Agreement attached as Exhibit A. Each item
in this summary includes a page reference directing you to a more complete description of that item. This proxy statement is first being mailed to
our stockholders on or about June 8, 2022.
The Parties to the Mergers (page 28)",8,8
"PS BUSINESS PARKS, INC.MD_20220608_DEFM14A_20155205_4474225.Pdf",The Parties to the Mergers,"The Parties to the Mergers (page 28)
PS Business Parks, Inc.
701 Western Avenue,
Glendale, California 91201
(818) 244-8080
PS Business Parks, Inc., which we refer to as “we,” “our,” “us,” “PSB” or the “Company,” was originally formed as a California corporation in
1990 and effective May 19, 2021 the Company reincorporated to the State of Maryland. We elected to be taxed as a real estate investment trust
(“REIT”) under the Internal Revenue Code of 1986, as amended (the “Code”) commencing with our taxable year ended December 31, 1990. We are a
fully-integrated, self-advised and self-managed REIT that owns, operates, acquires and develops commercial properties, primarily multi-tenant
industrial, industrial-flex, and low rise-suburban office space. As of March 31, 2022, we owned and operated 27.0 million rentable square feet of
commercial space in six states, comprising 96 parks and 652 buildings. Our properties are primarily located in major coastal markets that have
experienced long-term economic growth. We also held a 95.0% interest in a joint venture entity which owns Highgate at The Mile, a 395-unit
multifamily apartment complex located in Tysons, Virginia, and a 98.2% interest in a joint venture formed to develop Brentford at The Mile, a planned
411-unit multifamily apartment complex also located in Tysons, Virginia. We also manage for a fee approximately 0.3 million rentable square feet on
behalf of Public Storage.
The Company’s website is psbusinessparks.com. The information found on, or otherwise accessible through, our website is not incorporated
into, and does not form a part of, this proxy statement or any other report or document we file with or furnish to the U.S. Securities and Exchange
Commission (the “SEC”). Our Common Stock is listed on the New York Stock Exchange (the “NYSE”) under the symbol “PSB.” Depositary shares in
respect of each series of our Preferred Stock are listed on the NYSE under the symbols: “PSBPrX”, “PSBPrY” and “PSBPrZ.” For additional
information about us and our business, please refer to “Where You Can Find More Information.”
-1-Table of Contents
PS Business Parks, L.P.
701 Western Avenue,
Glendale, California 91201
(818) 244-8080
PS Business Parks, L.P., which we refer to as the “Partnership,” is currently a California limited partnership formed on January 2, 1997 and is
planned to be converted into a Maryland limited partnership pursuant to the terms of the Merger Agreement. As of the record date, we owned
approximately 79.1% of the common units of partnership interest of the Partnership. Substantially all of our assets are held by, and all of our
operations are conducted through, the Partnership. Our interest in the Partnership entitles us to share in cash distributions from, and in the profits
and losses of, the Partnership in proportion to our percentage ownership. As the sole general partner of the Partnership we have exclusive and
complete responsibility and discretion in managing and controlling the Partnership.
Sequoia Parent LP
c/o Blackstone Inc.
345 Park Avenue
New York, New York 10154
(212) 583-5000
Sequoia Parent LP, which we refer to as “Parent”, is a Delaware limited partnership and an affiliate of Blackstone Real Estate Partners IX L.P., a
Delaware limited partnership (the “Sponsor”). Sequoia Parent GP LLC, a Delaware limited liability company, is the sole general partner of Parent and
is also an affiliate of the Sponsor. Parent was formed solely for the purpose of acquiring us and has not carried on any activities to date, except for
activities incidental to its formation and activities undertaken in connection with the transactions contemplated by the Merger Agreement. The
Sponsor is an affiliate of Blackstone.
Blackstone is a global leader in real estate investing. Blackstone’s real estate business was founded in 1991 and has $298 billion of investor
capital under management. Blackstone is the largest owner of commercial real estate globally, owning and operating assets across every major
geography and sector, including logistics, residential, office, hospitality and retail. Blackstone’s opportunistic funds seek to acquire undermanaged,
well-located assets across the world. Blackstone’s Core+ business invests in substantially stabilized real estate assets globally, through both
institutional strategies and strategies tailored for income-focused individual investors including Blackstone Real Estate Income Trust, Inc. (BREIT), a
U.S. non-listed REIT, and Blackstone’s European yield-oriented strategy. Blackstone Real Estate also operates one of the leading global real estate
debt businesses, providing comprehensive financing solutions across the capital structure and risk spectrum, including management of Blackstone
Mortgage Trust (NYSE: BXMT).
Sequoia Merger Sub I LLC
c/o Blackstone Inc.
345 Park Avenue
New York, New York 10154
(212) 583-5000
Sequoia Merger Sub I LLC, which we refer to as “Merger Sub I”, is a Maryland limited liability company. Parent is the sole member of Merger
Sub I. Merger Sub I was formed solely for purposes of facilitating Parent’s acquisition of us and has not carried on any activities to date, except for
activities incidental to its formation and activities undertaken in connection with the transactions contemplated by the Merger Agreement. Pursuant
to the Merger Agreement, on the closing date, Merger Sub I will merge with and into the Company, and the Company will continue as the surviving
company.
-2-
Table of Contents
Sequoia Merger Sub II LLC
c/o Blackstone Inc.
345 Park Avenue
New York, New York 10154
(212) 583-5000
Sequoia Merger Sub II LLC, which we refer to as “Merger Sub II”, is a Maryland limited liability company. Parent is the sole member of Merger
Sub II. Merger Sub II was formed solely for purposes of facilitating Parent’s acquisition of us and has not carried on any activities to date, except for
activities incidental to its formation and activities undertaken in connection with the transactions contemplated by the Merger Agreement. Pursuant
to the Merger Agreement, on the closing date, Merger Sub II will merge with and into the Partnership, and the Partnership will continue as the
surviving partnership.
The Special Meeting (page 30)",8,10
"PS BUSINESS PARKS, INC.MD_20220608_DEFM14A_20155205_4474225.Pdf",The Special Meeting,"The Special Meeting (page 30)
The Proposals
The special meeting of our stockholders (the “special meeting”) will be held on July 15, 2022 at 10 a.m., Pacific time, at the Westin Pasadena at
191 N Los Robles Ave, Pasadena, CA 91101. At the special meeting, holders of our common stock, $0.01 par value per share (the “Common Stock”),
as of the record date, which was the close of business on June 7, 2022, will be asked to consider and vote on (1) a proposal to approve the Company
Merger and the other transactions contemplated by the Merger Agreement (the “proposal to approve the Company Merger”), (2) a proposal to
approve, on a non-binding, advisory basis, the compensation that may be paid or become payable to our named executive officers that is based on
or otherwise relates to the Company Merger (the “proposal to approve the merger-related compensation”) and (3) a proposal to approve any
adjournment of the special meeting for the purpose of soliciting additional proxies if there are not sufficient votes at the special meeting to approve
the Company Merger and the other transactions contemplated by the Merger Agreement (the “proposal to approve adjournment of the special
meeting”).
Pursuant to the Maryland General Corporation Law and our bylaws, only the matters set forth in the Notice of Special Meeting may be brought
before the special meeting.
Record Date, Notice and Quorum
All stockholders of record of shares of our Common Stock as of the record date, which was the close of business on June 7, 2022, are entitled
to receive notice of and attend and vote at the special meeting or any postponement or adjournment of the special meeting. Each stockholder will be
entitled to cast one vote on each matter presented at the special meeting for each share of Common Stock that such holder owned as of the record
date. On the record date, there were 27,631,499 shares of Common Stock entitled to vote at the special meeting.
The presence in person or by proxy of our common stockholders entitled to cast a majority of all the votes entitled to be cast at the special
meeting will constitute a quorum for purposes of the special meeting. A quorum is necessary to transact business at the special meeting.
Abstentions will be counted as shares present for the purposes of determining the presence of a quorum. If a quorum is not present at the special
meeting, we expect that the special meeting will be adjourned to a later date. Pursuant to our bylaws, the chairman of the special meeting may
adjourn the special meeting, whether or not a quorum is present, to a later date and time and place announced at the special meeting (subject to
certain restrictions in the Merger Agreement, including that in certain circumstances the special meeting may not be held, without Parent’s consent,
on a date that is more than 30 days after the date on which the special meeting was originally scheduled).
-3-Table of Contents
Required Vote
Completion of the Company Merger and the other transactions contemplated by the Merger Agreement requires approval of the Company
Merger and the other transactions contemplated by the Merger Agreement by the affirmative vote of the holders of the issued and outstanding
shares of Common Stock entitled to cast a majority of all the votes entitled to be cast on the matter. Each common stockholder will be entitled to cast
one vote on each matter presented at the special meeting for each share of Common Stock that such holder owned as of the record date. Because the
required vote for this proposal is based on the number of votes our common stockholders are entitled to cast rather than on the number of votes
cast, if you fail to exercise your proxy or vote in person (including by abstaining), or fail to instruct your broker, bank or other nominee how to vote,
such failure will have the same effect as voting against the proposal to approve the Company Merger.
Each of the proposal to approve the merger-related compensation and the proposal to approve adjournment of the special meeting requires the
affirmative vote of a majority of the votes cast on such proposal. Approval of these proposals is not a condition to completion of the Mergers. For
the purpose of each of these proposals, if you fail to exercise your proxy or vote in person, or fail to instruct your broker, bank or other nominee how
to vote, it will not have any effect on the outcome of such proposals, assuming a quorum is present. Abstentions are not considered votes cast and
therefore will have no effect on the outcome of these proposals, assuming a quorum is present.
The vote of the holders of our 5.250% Series X Cumulative Preferred Stock, par value $0.01 per share, 5.200% Series Y Cumulative Preferred
Stock, par value $0.01 per share, and 4.875% Series Z Cumulative Preferred Stock, par value $0.01 per share, which we refer to collectively as the
“Preferred Stock,” or depositary shares in respect thereof, is not required to approve any of the proposals at the special meeting and is not being
solicited.
As of the record date, our directors and executive officers owned and are entitled to vote an aggregate of 399,620 shares of our Common Stock,
entitling them to exercise approximately 1.4% of the voting power of our Common Stock entitled to vote at the special meeting. Our directors and
executive officers have informed us that they intend to vote the shares of Common Stock that they own in favor of the proposal to approve the
Company Merger, in favor of the proposal to approve the merger-related compensation and in favor of the proposal to approve adjournment of the
special meeting.
In addition, Public Storage, solely in its capacity as a common stockholder of the Company and limited partner of the Partnership, Parent and
the Company have entered into a support agreement requiring Public Storage, among other things, to vote its shares of Common Stock in favor of
the proposal to approve the Company Merger (the “Support Agreement”). As of the record date, Public Storage beneficially owned 7,158,354 shares
of our Common Stock, entitling it to exercise approximately 25.9% of the voting power of our Common Stock entitled to vote at the special meeting.
As of the record date, Public Storage, together (without duplication) with our directors and executive officers, beneficially owned 7,557,974 shares of
our Common Stock, entitling them to exercise approximately 27.4% of the voting power of our Common Stock entitled to vote at the special meeting.
Proxies; Revocation
Any of our common stockholders of record entitled to vote may authorize a proxy to vote his, her or its shares of Common Stock by returning
the enclosed proxy card, authorizing a proxy or voting instructions by telephone or through the Internet, or by appearing and voting at the special
meeting in person. If the shares of Common Stock that you own are held in “street name” by your broker, bank or other nominee, you should instruct
your broker, bank or other nominee how to vote your shares of Common Stock using the instructions provided by your broker, bank or other
nominee.
-4-
Table of Contents
Any proxy may be revoked at any time prior to its exercise by your delivery of a properly executed, later-dated proxy card, by authorizing your
proxy by telephone or through the Internet at a later date than your previously authorized proxy, by your filing a written revocation of your proxy
with our Corporate Secretary or by your voting in person at the special meeting. Attendance at the special meeting alone will not be sufficient to
revoke a previously authorized proxy.
The Mergers (page 34)",10,12
"PS BUSINESS PARKS, INC.MD_20220608_DEFM14A_20155205_4474225.Pdf",The Mergers,"The Mergers (page 34)
Pursuant to the Merger Agreement, on the closing date, Merger Sub II will merge with and into the Partnership and the separate existence of
Merger Sub II will cease, and the Partnership will continue as the surviving entity in the merger (the “Partnership Merger”). We use the term
“Surviving Partnership” to refer to the Partnership following the Partnership Merger Effective Time (as defined below).
The Partnership Merger will become effective upon the later of the acceptance for record of the articles of merger with respect to the
Partnership Merger by the State Department of Assessments and Taxation of Maryland (the “SDAT”) or on such other date and time as may be
mutually agreed to by us and Parent and specified in the articles of merger with respect to the Partnership Merger (not to exceed 30 days from the
date the articles of merger with respect to the Partnership Merger are accepted for record by the SDAT). We use the term “Partnership Merger
Effective Time” in this proxy statement to refer to the time the Partnership Merger becomes effective.
Pursuant to the Merger Agreement, on the closing date, Merger Sub I will merge with and into the Company and the separate existence of
Merger Sub I will cease, and the Company will continue as the surviving entity in the merger (the “Company Merger”). We use the term “Surviving
Company” to refer to the Company following the Company Merger Effective Time (as defined below).
The Company Merger will become effective upon the acceptance for record of the articles of merger with respect to the Company Merger by
the SDAT or on such other date and time as may be mutually agreed to by us and Parent and specified in the articles of merger with respect to the
Company Merger (not to exceed 30 days from the date the articles of merger with respect to the Company Merger are accepted for record by the
SDAT). We use the term “Company Merger Effective Time” in this proxy statement to refer to the time the Company Merger becomes effective.
Unless otherwise agreed by the parties to the Merger Agreement, the Partnership Merger Effective Time and the Company Merger Effective
Time will occur on the closing date, with the Company Merger Effective Time occurring immediately after the Partnership Merger Effective Time.
Recommendation of Our Board of Directors (page 47)",12,12
"PS BUSINESS PARKS, INC.MD_20220608_DEFM14A_20155205_4474225.Pdf",Recommendation of Our Board of Directors,"Recommendation of Our Board of Directors (page 47)
Our board of directors has unanimously:
•
determined and declared the transactions contemplated by the Merger Agreement, including the Company Merger, to be advisable and
in the best interests of the Company and its stockholders;
•
approved the execution, delivery and performance of the Merger Agreement and the consummation of the transactions contemplated
thereby, including the Company Merger; and
•
recommended that you vote “FOR” the proposal to approve the Company Merger, “FOR” the proposal to approve the merger-related
compensation, and “FOR” the proposal to approve adjournment of the special meeting.
-5-Table of Contents
Opinion of the Company’s Financial Advisor (page 50)",12,13
"PS BUSINESS PARKS, INC.MD_20220608_DEFM14A_20155205_4474225.Pdf",Opinion of the Company’s Financial Advisor,"Opinion of the Company’s Financial Advisor (page 50)
In connection with the Mergers, J.P. Morgan Securities LLC (“J.P. Morgan”), the Company’s financial advisor, delivered to the Company’s
board of directors on April 24, 2022 an oral opinion, which was confirmed by delivery of a written opinion dated April 24, 2022, to the effect that, as
of such date and based upon and subject to the assumptions made, procedures followed, matters considered, and limitations on the review
undertaken by J.P. Morgan in preparing its opinion, the consideration to be paid to the holders of the Company’s Common Stock in the Mergers was
fair, from a financial point of view, to such holders.
The full text of the written opinion of J.P. Morgan, dated April 24, 2022, which sets forth, among other things, the assumptions made,
procedures followed, matters considered and limitations on the review undertaken by J.P. Morgan in preparing its opinion, is attached as Exhibit C
to this proxy statement and is incorporated herein by reference. The summary of J.P. Morgan’s opinion set forth in this proxy statement is
qualified in its entirety by reference to the full text of the written opinion. The Company’s common stockholders are urged to read J.P. Morgan’s
opinion in its entirety. J.P. Morgan’s opinion was addressed to the Company’s board of directors (in its capacity as such) in connection with and for
the purposes of its evaluation of the Mergers, was directed only to the consideration to be paid to the holders of the Company’s Common Stock in
the Mergers and did not address any other aspect of the Mergers. J.P. Morgan expressed no opinion as to the fairness of any consideration to be
paid in connection with the Mergers to the holders of any other class of securities, creditors or other constituencies of the Company or the
Partnership, or as to the underlying decision by the Company to engage in the Mergers. The issuance of J.P. Morgan’s opinion was approved by a
fairness committee of J.P. Morgan. J.P. Morgan’s opinion does not constitute a recommendation to any of the Company’s common stockholders as
to how such stockholder should vote with respect to the Mergers or any other matter. For a description of the opinion that the Company’s board of
directors received from J.P. Morgan, see the section entitled “The Mergers — Opinion of the Company’s Financial Advisor”.
Treatment of Common Stock, Preferred Stock, Company Options and Equity Awards (page 71)",13,13
"PS BUSINESS PARKS, INC.MD_20220608_DEFM14A_20155205_4474225.Pdf","Treatment of Common Stock, Preferred Stock, Company Options and Equity Awards","Treatment of Common Stock, Preferred Stock, Company Options and Equity Awards (page 71)
Common Stock
At the Company Merger Effective Time, each share of our Common Stock (other than shares of our Common Stock that are owned by Parent or
any wholly owned subsidiary of Parent or us, which will automatically be cancelled with no consideration being delivered in exchange thereof (the
“cancelled shares”)) issued and outstanding immediately prior to the Company Merger Effective Time will be automatically converted into the right
to receive the merger consideration of $187.50 in cash, without interest and less any applicable withholding taxes. If we declare a dividend
determined by us to be reasonably necessary to maintain our status as a REIT under the Code or to avoid the imposition of income or excise tax or
any other entity-level tax as permitted under the Merger Agreement (an “Additional Dividend”), the merger consideration will be decreased by an
amount equal to the per share amount of such Additional Dividend. Additionally, immediately prior to the Partnership Merger Effective Time, we will
be required to pay a closing cash dividend (the “Closing Cash Dividend”) to holders of record of our Common Stock as of the close of business on
the business day immediately prior to the closing date in an amount reasonably determined by the Company in consultation with Parent equal to or
in excess of the sum of (i) the amount required to be distributed to avoid the imposition of income or excise tax or any other entity-level tax for the
Company’s hypothetical short taxable year ending on the closing date as a result of the Mergers or the Company’s taxable year ended December 31,
2021 and (ii) the estimated accumulated earnings and profits of the Company, calculated pursuant to applicable Treasury Regulations, for the
Company’s hypothetical short taxable year ending on the closing date as a result of the Mergers, so long as any such Closing Cash Dividend is no
greater than the cash available for distribution. The Closing Cash Dividend will also reduce the merger consideration per share by an amount equal
to the per share amount of such Closing Cash Dividend.
-6-Table of Contents
Preferred Stock
Each share of Preferred Stock issued and outstanding immediately prior to the Company Merger Effective Time and each depositary share
issued pursuant to the deposit agreements for the Preferred Stock, representing one-thousandth of one share of Preferred Stock issued and
outstanding immediately prior to the Company Merger Effective Time will be unaffected by the Company Merger and will remain outstanding in
accordance with their respective terms.
Company Options
Immediately prior to the Company Merger Effective Time, each option to purchase shares of our Common Stock (we refer to each as a
“Company Option”) that is outstanding immediately prior to the Company Merger Effective Time will be cancelled in exchange for a cash payment in
an amount equal to (1) the number of shares of Common Stock subject to the Company Option immediately prior to the Company Merger Effective
Time multiplied by (2) the excess (if any) of the merger consideration over the per share exercise price applicable to the Company Option, less any
applicable withholding taxes. Each Company Option with a per share exercise price that exceeds the merger consideration will be cancelled for no
consideration.
Company RSU Awards
Immediately prior to the Company Merger Effective Time, each award of restricted stock units (we refer to each as a “Company RSU Award”)
covering shares of our Common Stock granted under a Company equity plan that is outstanding immediately prior to the Company Merger Effective
Time will be cancelled in exchange for a cash payment in an amount equal to (1) the number of shares of Common Stock subject to the Company RSU
Award immediately prior to the Company Merger Effective Time multiplied by (2) the merger consideration, less any applicable withholding taxes.
Company Deferred Stock Unit Awards
Immediately prior to the Company Merger Effective Time, each award of deferred stock units (we refer to each as a “Company Deferred Stock
Unit Award”) governed under the Company’s retirement plan for non-employee directors that is outstanding immediately prior to the Company
Merger Effective Time will become vested and, at the Company Merger Effective Time, be converted into a right to receive a cash payment in an
amount equal to (1) the number of shares of Common Stock subject to the Company Deferred Stock Unit Award immediately prior to the Company
Merger Effective Time multiplied by (2) the merger consideration, less any applicable withholding taxes.
2022 Equity Incentive Plan Awards
Immediately prior to the Company Merger Effective Time, each award approved under the Company’s 2022 Equity Incentive Plan Awards
Program (we refer to each as a “2022 EIP Award”) will be cancelled in exchange for a specified cash payment, less any applicable withholding taxes.
Financing (page 56)",13,14
"PS BUSINESS PARKS, INC.MD_20220608_DEFM14A_20155205_4474225.Pdf",Financing,"Financing (page 56)
In connection with the closing of the Mergers, Parent will cause an aggregate of approximately $6.6 billion to be paid to the holders of our
Common Stock, including the holders of Company equity awards, and the holders of common units of partnership interest of the Partnership. In
addition, Parent has informed us that in connection with the closing of the Mergers, Parent expects to cause our outstanding indebtedness under
our revolving credit facility, if any, to be prepaid in full. As of May 19, 2022, we had $0 in aggregate principal amount of consolidated indebtedness
under our revolving credit facility.
-7-Table of Contents
Parent has informed us that it has received, in connection with the Mergers, a debt commitment letter from Citigroup Global Markets Inc., Bank
of America, N.A., Barclays Bank PLC, Barclays Capital Real Estate Inc., Morgan Stanley Bank, N.A. and Societe Generale Financial Corporation,
providing for debt financing through a CMBS loan and balance sheet loan in an aggregate amount of up to approximately $4.85 billion to be funded
on or after the closing of the Mergers, subject to the satisfaction of the conditions contained in the debt commitment letter (which we refer to
collectively as the “debt financing”) and that it may seek to obtain additional debt financing in connection with the Mergers. In addition, it is
expected that the Sponsor and its affiliates will contribute equity to Parent for the purpose of funding the acquisition costs (including the merger
consideration) that are not covered by such debt financing.
Parent has informed us that in addition to the payment of the merger consideration, the funds to be obtained from the debt and equity
financing may be used for purposes such as reserves, paying carrying costs with respect to the properties, funding working capital requirements,
and for other costs and expenses related to the financing and the Mergers. Parent has informed us that it currently believes that the funds to be
borrowed under the debt financing would be secured by, among other things, a mortgage lien on certain properties which are wholly owned and/or
ground leased by us, certain escrows and reserves and such other pledges and security required by the lenders to secure and perfect their interests
in the applicable collateral, and that such debt financing would be conditioned on the mergers being completed and other customary conditions for
similar financings.
The Merger Agreement does not contain a financing condition or a “market MAC” condition to the closing of the mergers. For more
information, see “The Merger Agreement — Financing Cooperation” and “The Merger Agreement — Conditions to the Mergers.”
Interests of Our Directors and Executive Officers in the Company Merger (page 57)",14,15
"PS BUSINESS PARKS, INC.MD_20220608_DEFM14A_20155205_4474225.Pdf",Interests of Our Directors and Executive Officers in the Company Merger,"Interests of Our Directors and Executive Officers in the Company Merger (page 57)
Our directors and executive officers have certain interests in the Company Merger that are different from, or in addition to those of our
stockholders. See “The Mergers — Interests of Our Directors and Executive Officers in the Company Merger” for additional information about
interests that our directors and executive officers have in the Company Merger that are different than yours.
Company Acquisition Proposals; Non-Solicitation (page 85) and Obligation of the Board of Directors with Respect to Its Recommendation (page",15,15
"PS BUSINESS PARKS, INC.MD_20220608_DEFM14A_20155205_4474225.Pdf",Company Acquisition Proposals; Non-Solicitation and Obligation of the Board of Directors with Respect to Its Recommendation,"Company Acquisition Proposals; Non-Solicitation (page 85) and Obligation of the Board of Directors with Respect to Its Recommendation (page
89)
The “Go-Shop” Period: Solicitation of Company Acquisition Proposals
Until 11:59 p.m. (New York City time) on May 25, 2022, which we refer to as the “No-Shop Period Start Date,” we and our subsidiaries and
representatives had the right to solicit, initiate, encourage or facilitate any inquiry, discussion, offer, request or proposal that constitutes, or could
reasonably be expected to lead to, a Company Acquisition Proposal (as defined below), including providing non-public information and data
regarding the Company to any person pursuant to an acceptable confidentiality agreement, and engage in any discussions or negotiations with any
persons and their respective representatives with respect to a Company Acquisition Proposal or potential Company Acquisition Proposal or interest
or potential interest with respect thereto, or otherwise cooperate with, assist or participate in, or facilitate any inquiries. Within one (1) business day
after the No-Shop Period Start Date, the Company was required to notify Parent of the identity of each person from whom the Company received a
Company Acquisition Proposal during such period, including any “excluded parties” as described below, and provide a copy of such Company
Acquisition Proposal and any other written terms or proposals. The Company and its subsidiaries and their respective representatives were
permitted to continue to engage in the activities described above with respect to any excluded party until 11:59 p.m. (New York City time) on June 4,
2022 subject to extension in certain circumstances as described under “The Merger Agreement—Company Acquisition Proposals; Non-
Solicitation.” An “excluded party” is a person or
-8-Table of Contents
group of persons from whom we or any of our representatives have received a written bona fide Company acquisition proposal after the date of the
Merger Agreement and prior to the No-Shop Period Start Date that our board of directors determined in good faith prior to the No-Shop Period Start
Date (after consultation with outside counsel and financial advisor) constitutes or could reasonably be expected to lead to a Superior Proposal (as
defined in “The Merger Agreement — Company Acquisition Proposals”). The circumstances in which a person or group of persons ceases to be an
“excluded party” are described under “The Merger Agreement — Company Acquisition Proposals; Non-Solicitation — Actions Prior to ‘No-Shop
Period Start Date’.” We refer to such Company Acquisition Proposal as a “qualified proposal.”
The “No-Shop” Period: No Solicitation of Company Acquisition Proposals
Under the terms of the Merger Agreement, from and after the No-Shop Period Start Date, other than as permitted with respect to excluded
parties as described above, we have agreed to cease any solicitations, discussions, negotiations or communications with any person with respect to
any Company Acquisition Proposal and not to solicit, initiate, knowingly encourage or knowingly facilitate any inquiry, discussion, offer, request or
proposal that constitutes, or could reasonably be expected to lead to, a Company Acquisition Proposal, and, subject to certain exceptions, we are
not permitted to enter into discussions or negotiations concerning, or provide non-public information to a third party in connection with, any
Company Acquisition Proposals. However, we may, prior to obtaining the requisite vote of our common stockholders in favor of the proposal to
approve the Company Merger, engage in discussions or negotiations and provide non-public information to a third party which has made an
unsolicited written bona fide Company Acquisition Proposal if the Company’s board of directors determines in good faith, after consultation with
outside legal counsel and financial advisors, that such Company acquisition proposal constitutes, or could reasonably be expected to lead to, a
Superior Proposal.
Prior to obtaining the requisite vote of our common stockholders in favor of the proposal to approve the Company Merger, the Company’s
board of directors may, in certain circumstances, effect an adverse recommendation change (as defined in the section entitled “The Merger
Agreement — Obligation of the Board of Directors with Respect to Its Recommendation”), subject to complying with specified notice requirements
to Parent and other conditions set forth in the Merger Agreement.",15,16
