Document,Section Header,Section Text,Start Page,End Page
Ping Identity Holding Corp._20220916_DEFM14A_20342713_4518798.Pdf,​SUMMARY,TABLE OF CONTENTS,10,10
Ping Identity Holding Corp._20220916_DEFM14A_20342713_4518798.Pdf,​,"​
SUMMARY
This summary highlights selected information in this proxy statement and may not contain all of the
information about the Merger Agreement, the Merger and the other transactions contemplated by the
Merger Agreement that are important to you. You should carefully read this proxy statement in its entirety,
including the annexes hereto and the other documents to which we have referred you, for a more complete
understanding of the matters being considered at the Special Meeting. You may obtain, without charge,
copies of any of the documents we file with the Securities and Exchange Commission (the “SEC”) by
following the instructions under the section of this proxy statement titled “Where You Can Find Additional
Information.”
In this proxy statement: (1) the terms “we,” “us,” “our,” the “Company” and “Ping Identity” refer to Ping
Identity Holding Corp.; (2) the term “Parent” refers to Project Polaris Holdings, LP; (3) the term “Merger
Sub” refers to Project Polaris Merger Sub, Inc.; (4) the term “Thoma Bravo Fund” refers to Thoma Bravo
Fund XV, L.P.; (5) the term “Thoma Bravo” refers to Thoma Bravo, L.P. and its affiliates, including Parent,
Merger Sub and the Thoma Bravo Fund; (6) the term “Merger Agreement” refers to the Agreement and
Plan of Merger, dated as of August 2, 2022, by and among the Company, Parent and Merger Sub, as the
same may be amended, supplemented or otherwise modified from time to time; (7) the term “Merger” refers
to the merger of Merger Sub with and into Ping Identity, with Ping Identity continuing as the surviving
corporation and as a wholly owned subsidiary of Parent as described in the Merger Agreement; (8) the
term “Ping Identity common stock” refers to the common stock, par value $0.001 per share, of the
Company; and (9) the term “Special Meeting” refers to the special meeting of Ping Identity stockholders
described in this proxy statement, including any adjournments or postponements thereof.",10,10
Ping Identity Holding Corp._20220916_DEFM14A_20342713_4518798.Pdf,The Parties (page 20),"The Parties (page 20)
Ping Identity Holding Corp.
Ping Identity is a Delaware corporation incorporated in 2016. Ping Identity delivers intelligent identity
solutions for the enterprise. We enable companies to achieve Zero Trust identity-defined security and more
personalized, streamlined user experiences. The PingOne Cloud Platform provides customers, workforce, and
partners with access to cloud, mobile, SaaS and on-premises applications across the hybrid enterprise. Over
half of the Fortune 100 choose us for our identity expertise, open standards, and partnerships with
companies including Microsoft and Amazon. We provide flexible identity solutions that accelerate digital
business initiatives, delight customers, and secure the enterprise through multi-factor authentication, single
sign-on, access management, intelligent API security, directory, and data governance capabilities.
Shares of Ping Identity common stock are listed on the New York Stock Exchange (the “NYSE”) under the
symbol “PING.” Our principal executive office is located at 1001 17th Street, Suite 100, Denver, Colorado
80202, our telephone number is (303) 468-2900, and our Internet address is http://www.pingidentity.com.
Information on Ping Identity’s website is not incorporated by reference into or otherwise part of this proxy
statement. Additional information about Ping Identity is contained in our public filings. See the section of
this proxy statement titled “Where You Can Find Additional Information.”
Project Polaris Holdings, LP
Parent was formed on July 27, 2022 by Thoma Bravo solely for the purpose of engaging in the transactions
contemplated by the Merger Agreement, and has not engaged in any business activities other than in
connection with the transactions contemplated by the Merger Agreement and arranging of the equity
financing in connection with the Merger. Upon completion of the Merger, Ping Identity will be a direct
wholly owned subsidiary of Parent.
Project Polaris Merger Sub, Inc.
Merger Sub is a wholly owned subsidiary of Parent and was formed on July 27, 2022 by Parent solely for the
purpose of engaging in the transactions contemplated by the Merger Agreement and has not engaged in any
business activities other than in connection with the transactions contemplated by the Merger Agreement
and arranging of the equity financing and debt financing in connection with the Merger. Upon completion of
the Merger, Merger Sub will cease to exist.
1 TABLE OF CONTENTS​
Parent and Merger Sub are affiliated with Thoma Bravo Fund XV, L.P. (the “Thoma Bravo Fund”), and Parent,
Merger Sub and the Thoma Bravo Fund are each affiliated with Thoma Bravo, L.P. (“Thoma Bravo”). Thoma
Bravo is a leading private equity firm focused on the software and technology-enabled services sectors. At
the Effective Time (as defined in the section of this proxy statement titled “- The Merger”), the Surviving
Corporation (as defined in the section of this proxy statement titled “- The Merger”), will be indirectly owned
by the Thoma Bravo Fund and certain of its affiliates.",10,11
Ping Identity Holding Corp._20220916_DEFM14A_20342713_4518798.Pdf,The Merger (page 31),"The Merger (page 31)
The Company, Parent and Merger Sub entered into the Merger Agreement on August 2, 2022. A copy of the
Merger Agreement is included as Annex A to this proxy statement. On the terms and subject to the
conditions set forth in the Merger Agreement and in accordance with the General Corporation Law of the
State of Delaware (the “DGCL”), at the effective time of the Merger (the “Effective Time”), Merger Sub will
merge with and into the Company, the separate corporate existence of Merger Sub will thereupon cease, and
the Company will continue as the surviving corporation of the Merger and as a wholly owned subsidiary of
Parent. From time to time in this proxy statement, we refer to Ping Identity as it will exist after the completion
of the Merger as the “surviving corporation.”
At the Effective Time, and without any action by any stockholder, each share of Ping Identity common stock
that is issued and outstanding as of immediately prior to the Effective Time (other than shares of Ping
Identity common stock held by the Company as treasury stock, owned by Parent or Merger Sub immediately
prior to the Effective Time or as to which holders thereof have properly exercised their statutory rights of
appraisal in accordance with Section 262 of the DGCL) will be automatically canceled, extinguished and
converted into the right to receive cash in an amount equal to $28.50 without interest (the “Merger
Consideration”), less any applicable withholding taxes.",11,11
Ping Identity Holding Corp._20220916_DEFM14A_20342713_4518798.Pdf,The Special Meeting (page 22),"The Special Meeting (page 22)
Date, Time and Place
The Special Meeting will be held virtually on Monday, October 17, 2022, at 3 pm, Eastern time. At the Special
Meeting, holders of Ping Identity common stock will be asked to, among other things, vote for the adoption
of the Merger Agreement. All stockholders are cordially invited to attend the Special Meeting. Ping Identity
is conducting the Special Meeting solely online via the Internet through a live webcast and online
stockholder tools. Stockholders will be able to attend the Special Meeting by visiting
www.virtualshareholdermeeting.com/​PING2022SM and by using the 16-digit control number included in their
proxy materials. You will not be able to attend the Special Meeting physically in person. For purposes of
attendance at the Special Meeting, all references in this proxy statement to “present in person” or “in
person” shall mean virtually present at the Special Meeting.
Record Date and Stockholders Entitled to Vote
Only holders of Ping Identity common stock of record as of the close of business on September 12, 2022, the
record date for the Special Meeting, are entitled to receive notice of and to vote the shares of Ping Identity
common stock they held on the record date at the Special Meeting. As of the close of business on the record
date, 86,281,946 shares of Ping Identity common stock were issued and outstanding and entitled to vote at
the Special Meeting.
Quorum
The representation in person or by proxy of at least a majority of the outstanding shares of Ping Identity
common stock entitled to vote at the Special Meeting, or 43,140,974 shares of Ping Identity common stock, is
necessary to constitute a quorum for the transaction of business.
Vote Required
On each of the proposals presented at the Special Meeting, each holder of Ping Identity common stock is
entitled to one vote for each share of Ping Identity common stock held by such stockholder on the record
2 TABLE OF CONTENTS​
date. The adoption of the Merger Agreement by the holders of Ping Identity common stock requires the
affirmative vote of stockholders holding a majority of the outstanding shares of Ping Identity common stock
entitled to vote as of the close of business on the record date. The approval of the Compensation Proposal
and Adjournment Proposal each requires the affirmative vote of a majority of the shares of Ping Identity
common stock present, in person or represented by proxy, and voting on such matter. The approval of the
Compensation Proposal is advisory and non-binding and is not a condition to the completion of the Merger.",11,12
Ping Identity Holding Corp._20220916_DEFM14A_20342713_4518798.Pdf,Reasons for the Merger; Recommendation of the Ping Identity Board (page 42),"Reasons for the Merger; Recommendation of the Ping Identity Board (page 42)
After careful consideration, the Ping Identity Board unanimously: (1) determined that it is in the best
interests of the Company and its stockholders, and declared it advisable, to enter into the Merger
Agreement; (2) approved the execution and delivery of the Merger Agreement by the Company, the
performance by the Company of its covenants and other obligations thereunder, and the consummation of
the Merger upon the terms and subject to the conditions set forth therein; (3) resolved to recommend that
the Company’s stockholders adopt the Merger Agreement in accordance with the DGCL; and (4) directed
that the adoption of the Merger Agreement be submitted for consideration by the Company’s stockholders
at the Special Meeting. Accordingly, the Ping Identity Board recommends that stockholders vote “FOR” the
proposal to adopt the Merger Agreement, “FOR” the advisory, non-binding Compensation Proposal, and “FOR” the
Adjournment Proposal, if necessary or appropriate, to solicit additional proxies.
For a discussion of the material factors that the Ping Identity Board considered in determining to recommend
the adoption of the Merger Agreement, please see the section of this proxy statement titled “The Merger - 
Reasons for the Merger; Recommendation of the Ping Identity Board.”",12,12
Ping Identity Holding Corp._20220916_DEFM14A_20342713_4518798.Pdf,Opinion of Goldman Sachs (page 45),"Opinion of Goldman Sachs (page 45)
The Company retained Goldman Sachs & Co. LLC (“Goldman Sachs”) to act as its financial advisor in
connection with a potential transaction such as the Merger. At a meeting of the Ping Identity Board held on
August 2, 2022, Goldman Sachs rendered the Ping Identity Board its oral opinion, subsequently confirmed in
its written opinion dated August 2, 2022, that, as of the date of the written opinion and based upon and
subject to the factors and assumptions set forth therein, the $28.50 in cash per share of Ping Identity
common stock to be paid to the holders (other than Parent and its affiliates) of such shares pursuant to the
Merger Agreement was fair from a financial point of view to holders of such shares.
The full text of the written opinion of Goldman Sachs, dated August 2, 2022, which sets forth assumptions made,
procedures followed, matters considered and limitations on the review undertaken in connection with the opinion, is
attached as Annex B and is incorporated by reference herein. Goldman Sachs provided advisory services and its
opinion for the information and assistance of the Ping Identity Board in connection with its consideration of the
Merger. The opinion sets forth, among other things, the assumptions made, procedures followed, matters considered
and limitations and qualifications of the review undertaken by Goldman Sachs in rendering its opinion. The holders of
Ping Identity common shares should read the opinion carefully in its entirety. The Goldman Sachs opinion is not a
recommendation as to how any holder of Ping Identity shares should vote with respect to the transaction or any other
matter. The summary of Goldman Sachs’ opinion set forth herein is qualified in its entirety by reference to the full text
of the opinion, which is attached to this Proxy Statement as Annex B.
For a description of the opinion that the Ping Identity Board received from Goldman Sachs, see the section of
this proxy statement titled “The Merger - Opinion of Goldman Sachs.”",12,12
Ping Identity Holding Corp._20220916_DEFM14A_20342713_4518798.Pdf,Certain Effects of the Merger (page 56),"Certain Effects of the Merger (page 56)
Upon the consummation of the Merger, Merger Sub will be merged with and into Ping Identity, the separate
corporate existence of Merger Sub will thereupon cease, and Ping Identity will continue to exist as the
surviving corporation of the Merger and as a wholly owned subsidiary of Parent.
Following the consummation of the Merger, shares of Ping Identity common stock will be delisted from the
NYSE, and the registration of shares of Ping Identity common stock under the Securities Exchange Act of
1934, as amended (the “Exchange Act”), will be terminated.
3 • 
• 
• 
TABLE OF CONTENTS​",12,13
Ping Identity Holding Corp._20220916_DEFM14A_20342713_4518798.Pdf,Effects on the Company if the Merger Is Not Completed (page 57),"Effects on the Company if the Merger Is Not Completed (page 57)
In the event that the proposal to adopt the Merger Agreement does not receive the required approval from
the holders of Ping Identity common stock, or if the Merger is not completed for any other reason, the
holders of Ping Identity common stock will continue to own their shares and will not receive any payment for
their shares of Ping Identity common stock in connection with the Merger. Instead, the Company will remain
an independent public company, with Ping Identity common stock listed and traded on the NYSE. Under
certain circumstances, if the Merger Agreement is terminated, the Company may be obligated to pay to
Parent a termination fee of $78 million. Please see the section of this proxy statement titled “The Merger
Agreement - Termination Fees and Expenses.”",13,13
Ping Identity Holding Corp._20220916_DEFM14A_20342713_4518798.Pdf,Treatment of Equity Awards (page 72),"Treatment of Equity Awards (page 72)
At the Effective Time, each outstanding option to purchase shares of Company common stock (an “Option”)
with an exercise price per share less than $28.50 that is unexpired, unexercised and outstanding, whether
vested or unvested, as of immediately prior to the Effective Time, will, at the Effective Time, be canceled and
converted into the right to receive an amount in cash (without interest and subject to applicable withholding
taxes) equal to the product of (i)the number of shares of Company common stock subject to such Option as
of immediately prior to the Effective Time and (ii) the excess, if any, of $28.50 over the per share exercise price
of such Option. At the Effective Time, each Option with an exercise price per share equal to or greater than
$28.50 that is unexpired, unexercised and outstanding, whether vested or unvested, will be canceled with no
cash payment made in respect thereof. At the Effective Time, each Vested RSU and each Vested PSU (as such
terms are defined in “Interests of the Company’s Directors and Executive Officers in the Merger - Treatment
of Equity-Based Awards and the ESPP” beginning on page 60) will be canceled and converted into the right
to receive an amount in cash (without interest and subject to applicable withholding taxes) equal to the
product of (i) $28.50 and (ii) the total number of shares of Company Common Stock subject to such Vested
RSU or Vested PSU as of immediately prior to the Effective Time. At the Effective Time, each Unvested RSU
and each Unvested PSU (as such terms are defined in “Interests of the Company’s Directors and Executive
Officers in the Merger - Treatment of Equity-Based Awards and the ESPP” beginning on page 60) will be
canceled and converted into the contingent right to receive an amount of cash (without interest and subject
to applicable withholding taxes) equal to the product of (i) $28.50 and (ii) the total number of shares of
Company Common Stock subject to such Unvested RSU or Unvested PSU (with any applicable performance
conditions deemed achieved at target levels of performance) as of immediately prior to the Effective Time
subject to the same terms and conditions, including with respect to time-based vesting, as previously
applicable to such Unvested RSU or Unvested PSU.
The consideration described above is collectively referred to as the “Equity Award Consideration” and the
Equity Award Consideration, together with the aggregate per share Merger Consideration payable pursuant
to the Merger Agreement, is referred to collectively as the “Aggregate Merger Consideration”.",13,13
