Document,Section Header,Section Text,Start Page,End Page
"Resource REIT, Inc._20220314_DEFM14A_19942780_4408792.Pdf",SUMMARY,"SUMMARY
This summary highlights only selected information from this proxy statement relating to the merger of Resource REIT, Inc. with and into Rapids
Merger Sub LLC (the “merger”) and the other transactions contemplated by the Agreement and Plan of Merger, dated as of January 23, 2022, as
may be amended from time to time (the “merger agreement”), among Resource REIT, Inc., Rapids Parent LLC and Rapids Merger Sub LLC. This
summary does not contain all of the information about the merger and the other transactions contemplated by the merger agreement that is
important to you. As a result, to understand the merger and related transactions fully and for a more complete description of the terms of the
merger and related transactions, you should carefully read this proxy statement in its entirety, including the exhibits and the other documents to
which we have referred you, including the merger agreement attached as Exhibit A. Each item in this summary includes a page reference directing
you to a more complete description of that item. This proxy statement is first being mailed to our stockholders on or about March 14, 2022.
The Parties to the Merger (page 24)",8,8
"Resource REIT, Inc._20220314_DEFM14A_19942780_4408792.Pdf",The Parties to the Merger,"The Parties to the Merger (page 24)
Resource REIT, Inc.
1845 Walnut Street, 17th Floor
Philadelphia, Pennsylvania 19103
(215) 231-7050
Resource REIT, Inc. (“we,” “our,” “us,” or the “Company”) was organized as a Maryland corporation on September 28, 2012 and elected to be taxed
as a real estate investment trust (“REIT”) under the Internal Revenue Code of 1986, as amended (the “Code”), commencing with the taxable year
ended December 31, 2014. The Company is a self-managed REIT that owns a portfolio of apartment communities in targeted markets with proven
income and employment growth.
Rapids Parent LLC
c/o Blackstone Inc.
345 Park Avenue
New York, New York 10154
(212) 583-5000
Rapids Parent LLC, a Delaware limited liability company (“Parent”), was formed solely for the purpose of acquiring us and has not carried on any
activities to date, except for activities incidental to its formation and activities undertaken in connection with the transactions contemplated by the
merger agreement. Parent is an affiliate of Blackstone Real Estate Income Trust, Inc., a Maryland corporation (“BREIT”), which is an affiliate of
Blackstone Inc., a Delaware corporation (“Blackstone”).
BREIT is a perpetual-life, institutional quality real estate investment platform that brings private real estate to income focused investors. BREIT
invests primarily in stabilized, income generating U.S. commercial real estate across key property types and to a lesser extent in real estate debt
investments. BREIT is externally managed by a subsidiary of Blackstone (NYSE: BX), a global leader in real estate investing. Blackstone’s real estate
business was founded in 1991 and has approximately $279 billion in investor capital under management. Further information is available at
www.breit.com.
1Table of Contents
Rapids Merger Sub LLC
c/o Blackstone Inc.
345 Park Avenue
New York, New York 10154
(212) 583-5000
Rapids Merger Sub LLC, a Delaware limited liability company (“Merger Sub”), was formed solely for purposes of facilitating Parent’s acquisition of
us and has not carried on any activities to date, except for activities incidental to its formation and activities undertaken in connection with the
transactions contemplated by the merger agreement. Pursuant to the merger agreement, on the closing date, we will merge with and into Merger Sub,
and Merger Sub will continue as the surviving entity. We use the term “Surviving Entity” in this proxy statement to refer to Merger Sub following
the merger effective time.",8,9
"Resource REIT, Inc._20220314_DEFM14A_19942780_4408792.Pdf",The Special Meeting,"The Special Meeting (page 25)
The Proposals
The special meeting of our stockholders will be held on May 16, 2022 at 2:00 p.m., Eastern Time, in a virtual-only meeting format. To access the
virtual special meeting, stockholders should visit www.virtualshareholdermeeting.com/RSRL2022SM. At the special meeting, holders of our common
stock, par value $0.01 per share (“common stock”), will be asked to consider and vote on (1) a proposal to approve the merger (the “merger
proposal”), (2) a proposal to approve, on a non-binding, advisory basis, the compensation that may be paid or become payable to our named
executive officers that is based on or otherwise relates to the merger (the “advisory compensation proposal”), and (3) a proposal to approve any
adjournment of the special meeting for the purpose of soliciting additional proxies if there are not sufficient votes at the special meeting to approve
the merger proposal (the “adjournment proposal”).
Pursuant to our bylaws, only the matters set forth in the notice of special meeting may be brought before the virtual special meeting.
Record Date, Notice and Quorum
All holders of record of our common stock as of the record date, which was the close of business on March 3, 2022, are entitled to receive notice of
and attend and vote at the virtual special meeting or any postponement or adjournment thereof. Each holder of common stock is entitled to cast one
vote on each matter presented at the special meeting for each share of common stock that such holder owned as of the record date. On the record
date, there were 166,259,239 shares of common stock outstanding and entitled to vote at the special meeting.
The presence virtually via the special meeting website or by proxy of our common stockholders entitled to cast a majority of all of the votes entitled
to be cast at the special meeting will constitute a quorum for purposes of the special meeting. A quorum is necessary to transact business at the
special meeting. Abstentions will be counted as shares present for the purposes of determining the presence of a quorum. If a quorum is not present
at the special meeting, we expect that the special meeting will be adjourned to a later date (subject to certain restrictions in the merger agreement,
including that in certain circumstances the special meeting may not be held, without Parent’s consent, on a date that is more than 30 days after the
date on which the special meeting was originally scheduled or more than 120 days from the original record date).
Required Vote
Completion of the merger requires approval of the merger proposal by the affirmative vote of the holders of our common stock entitled to cast a
majority of all the votes of our common stock entitled to be cast on the
2Table of Contents
merger proposal (the “stockholder approval”). Because the required vote for the merger proposal is based on the number of votes our common
stockholders are entitled to cast rather than on the number of votes cast, if you fail to authorize a proxy to vote your shares or vote at the virtual
special meeting (including by abstaining), or fail to instruct your broker on how to vote, such failure will have the same effect as voting “AGAINST”
the merger proposal.
The approval of the advisory compensation proposal and the adjournment proposal each requires the affirmative vote of a majority of the votes cast
on the proposal. Approval of these proposals is not a condition to completion of the merger. For the purpose of each of these proposals, if you fail
to authorize a proxy to vote your shares or vote at the virtual special meeting, or fail to instruct your broker on how to vote, it will not have any
effect on the outcome of such proposal. Abstentions are not considered votes cast and therefore will have no effect on the outcome of such
proposals.
As of the record date, our directors and executive officers owned and are entitled to vote an aggregate of approximately 1,375,532 shares of common
stock, entitling them to exercise approximately 0.8% of the voting power of our common stock entitled to vote at the special meeting. Our directors
and executive officers have informed us that they intend to vote the shares of common stock that they own in favor of the merger proposal, in favor
of the advisory compensation proposal and in favor of the adjournment proposal, although they have no obligation to do so.
Under the terms of our charter, the merger also requires approval of the holders of at least two-third of the outstanding shares of our convertible
stock, par value $0.01 per share (“convertible stock”) entitled to vote on the merger (excluding shares of convertible stock held by the Company or
any subsidiary of the Company (collectively, “excluded convertible stock”), which are not entitled to vote on the merger). On January 23, 2022, the
holders of 13,536 shares of our convertible stock, representing approximately 72.7% of the voting power of our convertible stock entitled to vote on
the merger, including our executive officers, certain employees and our former president, executed written consents to approve the merger in
accordance with the Maryland General Corporation Law (the “MGCL”) and our charter and bylaws.
Proxies and Revocation
Any holder of record of our common stock entitled to vote may authorize a proxy to vote his, her or its shares of common stock by returning the
enclosed proxy card, authorizing a proxy or voting instructions by telephone or through the Internet, or by attending the virtual special meeting and
voting during the live webcast. If the shares of common stock that you own are held in “street name” by your broker, you should instruct your
broker on how to vote your shares using the instructions provided by your broker.
Any proxy may be revoked at any time prior to its exercise by your delivery of a properly executed, later-dated proxy card, by authorizing your proxy
by telephone or through the Internet at a later date than your previously authorized proxy, by your filing a written revocation of your proxy with our
Corporate Secretary or by your voting at the virtual special meeting. Attendance at the virtual special meeting alone will not be sufficient to revoke a
previously authorized proxy.
The Merger (page 29)",9,10
"Resource REIT, Inc._20220314_DEFM14A_19942780_4408792.Pdf",The Merger,"The Merger (page 29)
Pursuant to the merger agreement, on the closing date, the Company will be merged with and into Merger Sub and the separate existence of the
Company will cease. Merger Sub will continue as the Surviving Entity in the merger. We and Merger Sub will cause articles of merger to be executed
and filed with the State Department of Assessments and Taxation of the State of Maryland and cause a certificate of merger to be executed and filed
with the Secretary of State of the State of Delaware. The merger will become effective upon the later of the
3Table of Contents
acceptance for record of the articles of merger by the State Department of Assessments and Taxation of Maryland, the filing of the certificate of
merger with the Secretary of State of the State of Delaware or on such other date and time (not to exceed 30 days from the date the articles of merger
are accepted for record by the State Department of Assessments and Taxation of Maryland) as may be agreed between the parties to the merger
agreement and specified in the articles of merger and certificate of merger. We use the term “merger effective time” in this proxy statement to refer to
the time the merger becomes effective.
Recommendation of Our Board of Directors (page 38)",10,11
"Resource REIT, Inc._20220314_DEFM14A_19942780_4408792.Pdf",Recommendation of Our Board of Directors,"Recommendation of Our Board of Directors (page 38)
Our board of directors has unanimously:
•
determined and declared that the merger agreement, the merger and the other transactions contemplated by the merger agreement are
advisable and in the best interests of the Company and its stockholders;
•
authorized and approved the merger agreement, the merger and the other transactions contemplated by the merger agreement;
•
directed that the approval of the merger be submitted for consideration by the holders of our common stock at the special meeting; and
•
recommended that you vote “FOR” the merger proposal, “FOR” the advisory compensation proposal, and “FOR” the adjournment
proposal.",11,11
"Resource REIT, Inc._20220314_DEFM14A_19942780_4408792.Pdf",Opinion of Our Financial Advisor,"Opinion of Our Financial Advisor (page 42)
Opinion of Lazard Frères & Co. LLC
On January 23, 2022, Lazard Frères & Co. LLC (“Lazard”) rendered its oral opinion, subsequently confirmed in writing by delivery of a written
opinion, dated January 23, 2022, to our board of directors that, as of such date and based upon and subject to the assumptions, procedures, factors,
qualifications and limitations set forth in the written opinion, the common stock merger consideration (as defined below) to be paid to the holders of
common stock (other than holders of excluded common stock (as defined below)) in the merger was fair, from a financial point of view, to such
holders.
The full text of Lazard’s written opinion, dated January 23, 2022, which sets forth the assumptions made, procedures followed, factors considered
and qualifications and limitations on the review undertaken by Lazard in connection with its opinion, is attached to this proxy statement as Exhibit
B and is hereby incorporated by reference herein in its entirety. The following summary of Lazard’s opinion is qualified in its entirety by
reference to the full text of the opinion. You are encouraged to read Lazard’s opinion and this section carefully and in their entirety.
Lazard’s engagement and its opinion were for the benefit of our board of directors (in its capacity as such) and Lazard’s opinion was rendered to our
board of directors in connection with its evaluation of the merger and addressed only the fairness, as of the date of the opinion, from a financial
point of view, to the holders of common stock (other than the holders of excluded common stock) of the common stock merger consideration to be
paid to such holders in the merger. Lazard’s opinion was not intended to, and does not, constitute a recommendation to any stockholder as to how
such stockholder should vote or act with respect to the merger or any matter relating thereto.
4Table of Contents",11,12
"Resource REIT, Inc._20220314_DEFM14A_19942780_4408792.Pdf","Treatment of Common Stock, Convertible Stock, Time Vested Restricted Stock and Performance Restricted Stock","Treatment of Common Stock, Convertible Stock, Time Vested Restricted Stock and Performance Restricted Stock (page 60)
Common Stock
The merger agreement provides that, at the merger effective time, each share of common stock, or fraction thereof, issued and outstanding as of
immediately prior to the merger effective time (other than shares of common stock held by the Company or any subsidiary of the Company or by
Parent, Merger Sub or any subsidiary of Parent or Merger Sub (collectively, “excluded common stock” and, together with the excluded convertible
stock, the “excluded stock”)) will be automatically cancelled and converted into the right to receive an amount in cash equal to $14.75 per share,
without interest (such per share amount, the “common stock merger consideration”) and less any applicable withholding taxes. Excluded common
stock will be automatically cancelled and will cease to exist with no consideration being paid with respect thereto in connection with, or as a
consequence of, the merger. If we declare or pay a dividend on our common stock to maintain our qualification as a REIT under the Code or to avoid
the incurrence of income or excise taxes under the Code, in each case, as permitted under the merger agreement, the common stock merger
consideration will be decreased by an amount equal to the per share amount of such dividend on the common stock.
Convertible Stock
The merger agreement provides that, at the merger effective time, each share of convertible stock, or fraction thereof, issued and outstanding as of
immediately prior to the merger effective time (other than excluded convertible stock) will be automatically cancelled and converted into the right to
receive an amount in cash equal to $1,846.76 per share, without interest (such per share amount, the “convertible stock merger consideration” and,
together with the common stock merger consideration, the “merger consideration”) and less any applicable withholding taxes. Excluded convertible
stock will be automatically cancelled and will cease to exist with no consideration being paid with respect thereto in connection with, or as a
consequence of, the merger.
Time Vested Restricted Stock
The merger agreement provides that, effective immediately prior to the merger effective time, each outstanding share of unvested time vested
restricted common stock (“time vested restricted stock”) granted pursuant to the Resource REIT, Inc. 2020 Long-Term Incentive Plan, as amended
(the “Long-Term Incentive Plan”), including shares held by our directors and executive officers, will automatically become fully vested and all
restrictions and reacquisition rights thereon will lapse, and thereafter the shares of common stock represented thereby will be considered
outstanding for all purposes under the merger agreement and will only have the right to receive an amount in cash equal to the common stock
merger consideration, less any applicable withholding taxes. Additionally, in accordance with the terms of the applicable award agreements, in no
event later than five business days after the merger effective time, we will pay to each holder of time vested restricted stock an amount equal to all
accrued and unpaid cash dividends up to, and including, the merger effective time, less any applicable withholding taxes.
Performance Restricted Stock
The merger agreement provides that, effective immediately prior to the merger effective time, each outstanding share of unvested performance-based
restricted common stock (“performance restricted stock”) granted pursuant to the Long-Term Incentive Plan, including shares held by our executive
officers, will automatically become vested assuming target-level achievement of all applicable performance-based vesting requirements and all
restrictions and reacquisition rights thereon will lapse, and thereafter the shares of common stock represented thereby will be considered
outstanding for all purposes under the merger agreement and will only have the right to receive an amount in cash equal to the common stock
merger consideration, less any
5Table of Contents
applicable withholding taxes. Additionally, in accordance with the terms of the applicable award agreements, in no event later than five business
days after the merger effective time, we will pay to each holder of performance restricted stock an amount equal to all accrued and unpaid cash
dividends up to, and including, the merger effective time, less any applicable withholding taxes.",12,13
"Resource REIT, Inc._20220314_DEFM14A_19942780_4408792.Pdf",Financing,"Financing (page 46)
In connection with the closing of the merger, Parent will cause an aggregate of approximately $2.5 billion to be paid to the holders of common stock,
convertible stock, time vested restricted stock and performance restricted stock (other than excluded stock). Parent has informed us that in
connection with the closing of the merger, Parent expects to assume our structured credit facility and to cause the outstanding indebtedness under
our revolving credit facility, if any, to be prepaid in full. Parent has also informed us that it expects our mortgage loans to be repaid or remain
outstanding. As of February 25, 2022, we had approximately $1.2 billion in aggregate principal amount of consolidated secured indebtedness,
including approximately $495 million outstanding under our structured credit facility and approximately $715 million in mortgage loans outstanding.
As of February 25, 2022, no borrowings were outstanding under our revolving credit facility.
Parent has informed us that it currently intends to pursue obtaining debt financing to be provided in connection with the merger. In addition, it is
expected that BREIT Operating Partnership, L.P., a Delaware limited partnership (the “Sponsor”), which is the operating partnership of BREIT, and its
affiliates will contribute equity to Parent for the purpose of funding the acquisition costs (including the merger consideration) that are not covered
by such debt financing.
Parent has informed us that in addition to the payment of the merger consideration, the funds to be obtained from the debt and equity financing may
be used for purposes such as reserves, the refinancing of certain of our existing debt, funding working capital requirements, and for other costs and
expenses related to the financing and the merger. Parent has informed us that it currently believes that the funds to be borrowed under the potential
debt financing would be secured by, among other things, a first priority mortgage lien on certain properties which are wholly owned by us, certain
escrows and reserves and such other pledges and security required by the lenders to secure and perfect their interests in the applicable collateral,
and that such debt financing would be conditioned on the merger being completed and other customary conditions for similar financings.
The merger agreement does not contain a financing condition or a “market MAC” condition to the closing of the merger. We have agreed to use
commercially reasonable efforts to provide, and to cause our subsidiaries to use their commercially reasonable efforts to provide, all customary
cooperation reasonably requested in writing by Parent in connection with the arrangement of debt financing with respect to us or our subsidiaries,
or our or our subsidiaries’ real property. For more information, see the sections entitled “The Merger Agreement—Financing Cooperation” and “The
Merger Agreement—Conditions to the Merger.”
Interests of Our Directors and Executive Officers in the Merger (page 47)",13,13
"Resource REIT, Inc._20220314_DEFM14A_19942780_4408792.Pdf",Interests of Our Directors and Executive Officers in the Merger,"Interests of Our Directors and Executive Officers in the Merger (page 47)
Our directors and executive officers have certain interests in the merger that are different from, or in addition to, the interests of our stockholders
generally. These interests may create potential conflicts of interest. Our board of directors was aware of these interests and considered them, among
other matters, in reaching its decision to approve the merger, the merger agreement and the other transactions contemplated by the merger
agreement. See the section entitled “The Merger—Interests of Our Directors and Executive Officers in the Merger” for information about interests
that our directors and executive officers have in the merger that are different than yours.
6Table of Contents
Restriction on Solicitation of Competing Proposals (page 72)",13,14
"Resource REIT, Inc._20220314_DEFM14A_19942780_4408792.Pdf",Restriction on Solicitation of Competing Proposals,"Restriction on Solicitation of Competing Proposals (page 72)
Under the terms of the merger agreement, we and our subsidiaries are subject to restrictions on our ability to solicit any competing proposal (as
defined below in the section entitled “The Merger Agreement—Stockholders’ Meeting”) or inquiry (as defined below in the section entitled “The
Merger Agreement—Restriction on Solicitation of Competing Proposals”), including, among others, restrictions on our ability to solicit, initiate or
knowingly facilitate or encourage, or take any other action for the purpose of encouraging or facilitating, any competing proposal or inquiry, or
engage in, continue or otherwise participate in any discussions or negotiations regarding, or furnish to any other person information in connection
with or for the purpose of encouraging or facilitating, any competing proposal or inquiry, or resolve, propose or agree to do any of the foregoing.
Subject to the terms of the merger agreement, we may participate or engage in discussions or negotiations with, and furnish information (including
non-public information) to, any person that has made, renewed or delivered to us a bona fide written competing proposal after the date of the merger
agreement and prior to obtaining the stockholder approval (that did not result from a breach of our obligations described in the sections entitled
“The Merger Agreement—Restriction on Solicitation of Competing Proposals” and “The Merger Agreement—Obligation of Our Board of Directors
with Respect to Its Recommendation”), if our board of directors determines in good faith (after consultation with our financial advisor and outside
legal counsel) that such competing proposal either constitutes a superior proposal or could reasonably be expected to lead to a superior proposal
(as defined below in the section entitled “The Merger Agreement—Restriction on Solicitation of Competing Proposals”). Under certain
circumstances and after following certain procedures and adhering to certain restrictions, we are permitted to terminate the merger agreement if our
board of directors approves, and substantially concurrently with the termination of the merger agreement, we enter into, a definitive agreement
providing for the implementation of a superior proposal (provided that such termination will not be effective until we have paid the $80 million
company termination payment (as described below in the section entitled “The Merger Agreement—Termination Payments—Company Termination
Payment”)).
Conditions to the Merger (page 81)",14,14
