Document,Section Header,Section Text,Start Page,End Page
SANDERSON FARMS INC_20210913_DEFM14A_19528141_4293580.Pdf,SUMMARY,"SUMMARY
This summary highlights selected information from this proxy statement related to the transactions contemplated by the Merger Agreement
(as defined below) and may not contain all of the information that is important to you. To understand the merger of Sycamore Merger Sub LLC
with and into Sanderson Farms, Inc. as contemplated by the Merger Agreement (the “Merger”) more fully and for a more complete description of
the legal terms of the Merger, you should carefully read and consider this entire proxy statement and the annexes to this proxy statement,
including, but not limited to, the Merger Agreement, along with all of the documents to which we refer in this proxy statement, as they contain
important information about, among other things, the Merger and how it affects you. You may obtain the information incorporated by reference in
this proxy statement without charge by following the instructions under the caption “Where You Can Find More Information.” The Merger
Agreement is attached as Annex A to this proxy statement. You should carefully read and consider the entire Merger Agreement, which is the legal
document that governs the Merger.
Except as otherwise specifically noted in this proxy statement, “Sanderson Farms,” “we,” “our,” “us,” the “Company” and similar words
refer to Sanderson Farms, Inc. Throughout this proxy statement, we refer to Walnut Sycamore Holdings LLC as “Parent,” Sycamore Merger Sub
LLC as “Merger Sub” and Wayne Farms LLC as “Wayne Farms.” In addition, throughout this proxy statement we refer to the Agreement and Plan
of Merger, dated as of August 8, 2021, by and among Parent, Merger Sub, Sanderson Farms, and solely for purposes of certain provisions specified
therein, Wayne Farms as the “Merger Agreement,” our common stock, par value $1.00 per share, as “Sanderson Farms common stock,” and the
holders of Sanderson Farms common stock as “Sanderson Farms Stockholders.” Unless indicated otherwise, any other capitalized term used
herein but not otherwise defined herein has the meaning assigned to such term in the Merger Agreement.
Parties Involved in the Merger",9,9
SANDERSON FARMS INC_20210913_DEFM14A_19528141_4293580.Pdf,Parties Involved in the Merger,"Parties Involved in the Merger
Sanderson Farms
Sanderson Farms, a Mississippi business corporation, is engaged in the production, processing, marketing and distribution of fresh and frozen
chicken and the preparation, processing, marketing and distribution of processed and minimally prepared chicken items. We sell chill-packed, ice-
packed, bulk-packed and frozen chicken, in whole, cut-up and boneless form, primarily under the Sanderson Farms® brand name, to retailers,
distributors and casual dining operators in the United States and to customers who resell frozen chicken into export markets. Sanderson Farms
common stock is listed on the NASDAQ Global Select Market (“NASDAQ”) under the symbol “SAFM.”
Walnut Sycamore Holdings LLC
Parent is a Delaware limited liability company that was formed on July 19, 2021 solely for the purpose of entering into the Merger Agreement,
the Investment Agreement (as defined in the section of the proxy statement entitled “The Merger—Financing of the Merger) and related agreements
and completing the transactions contemplated thereby. Parent has not conducted any business operations other than in connection with the
transactions contemplated by the Merger Agreement, the Investment Agreement and related agreements. Upon completion of the transactions
contemplated thereby, Sanderson Farms will be an indirect wholly-owned subsidiary of Parent.
As of the date hereof, Parent is, and immediately following the consummation of the Merger, Parent will be, jointly controlled by CMSC
Poultry, LLC (“CMSC”) and Wayne Farms Holdings LLC (“Holdings”).
CMSC is owned and controlled by Cargill, Incorporated (“Cargill”). Cargill is a global food, agriculture, financial and industrial products
company headquartered in Wayzata, Minnesota, with operations in more than 70 countries. Cargill, a 156-year-old private, family-owned company,
operates its global Protein business through
-1-Table of Contents
three groups: Cargill Protein – North America, Cargill Protein – Asia & Europe, and Cargill Protein – Latin America. Cargill Protein – North America is
Cargill’s largest protein business and an industry leader that produces, distributes and markets fresh, frozen and cooked beef, turkey, chicken and
egg products, sauces, soups, case ready products, pet treats and by-products to retail, foodservice and food ingredient companies throughout
North America, and exports meat and by-products around the world. Cargill Protein – North America is headquartered in Wichita, Kansas, has more
than 28,000 employees and operates approximately 60 protein facilities, distribution centers, feed mills, hatcheries and innovation centers in the
United States and Canada, in addition to maintaining international sales offices. Collectively, with its Asia, Europe and Latin America operations,
Cargill Protein is a leading global player in the protein industry.
Holdings is majority-owned by Continental Grain Company (“CGC”), a privately-held, family-owned company focused on operating and value-
added investing in the food and agriculture sectors. Its focus and heritage uniquely position CGC to understand the challenges and opportunities
that food and agriculture companies face across all aspects of the value chain. CGC is a recognized leader in the space, with more than 200 years of
experience in agribusiness and global trade. By applying its global network, deep industry knowledge and permanent capital base, CGC seeks to
create sustainable long-term value while developing close working relationships with the management teams and equity partners of its portfolio
companies.
CGC has a long history as an owner, operator and investor in the poultry and protein industries. Wayne Farms has been majority-owned by
CGC since 1965. Outside of poultry, CGC has extensive experience in other sectors of the protein industry. This includes experience from long-term
ownership of Premium Standard Farms / Smithfield Foods (exited 2013), a pork production business with CGC’s operations as an important platform
that grew organically and via mergers and acquisitions into the United States’ largest swine operation. It also includes expertise from long-term
ownership of Five Rivers Ranch Cattle Feeding (exited 2008), a cattle feeding business with 11+ feed yards across the United States, formed in 2005
through the combination of CGC’s and Smithfield’s feed operations to become the largest United States feed lot.
Wayne Farms, a subsidiary of Holdings and a majority-owned subsidiary of CGC since 1965, is the seventh-largest vertically integrated poultry
producer in the United States with annual sales exceeding $2 billion. Wayne Farms owns and operates nine fresh and two further-processed facilities
throughout the Southeast of the United States, processes over 2.8 billion pounds of poultry products each year and employs more than 9,000
individuals.
Wayne Farms has prospered through a strategic focus on being a low-cost producer with leading quality and long-tenured strategic customer
relationships spanning several decades across a long list of blue-chip customers. Its main sales channel is the food service sector under the Wayne
Farms, Platinum Harvest, Ladybird, and Naked Truth brands. In 2018, Wayne Farms opened a Customer Innovation Center in Decatur, Alabama with
a fully-equipped culinary kitchen to collaborate and test new concepts or products with its customers. Wayne Farms consistently ranks in the top
quartile across industry operating key performance indicators measured by Agri Stats, an independent industry assessor. Wayne Farms’ operations
have delivered leading results through forming strategic partnerships with key vendors, customers and a continual focus on operational
improvements and efficiency across different bird types. Wayne Farms operates in both the big and small bird segments of the chicken market.
Led by Chairman and Chief Executive Officer Clint Rivers, a 38-year industry veteran, Wayne Farms boasts a management team with
substantial knowledge and experience in the U.S. poultry industry as well as long tenure at the business, with a strong succession plan in place for
key leadership across the organization. This experienced management team, supported by a leading global agribusiness company in CGC and
minority strategic partner Healthcare of Ontario Pension Plan (“HOOPP”), has led to a successful and sustained track record of organic above market
growth in the poultry industry over decades. Wayne Farms’ success is a result of the culture embodied throughout the organization, making Wayne
Farms an excellent place to work for all employees, where its core values allow for a safe workplace environment and help drive a continuous
-2-
Table of Contents
improvement mindset. Wayne Farms is extremely focused on making sure it sets a high bar for its animal welfare standards at the farm, and for food
safety and quality assurance within its facilities. The management team has experience with expansions across its portfolio, including in two of its
facilities in southern Alabama over the last several years.
Sycamore Merger Sub LLC
Merger Sub is a Delaware limited liability company that was formed on July 19, 2021 solely for the purpose of entering into the Merger
Agreement and completing the transactions contemplated thereby. Merger Sub has not conducted any business operations other than in
connection with the transactions contemplated by the Merger Agreement.",9,11
SANDERSON FARMS INC_20210913_DEFM14A_19528141_4293580.Pdf,The Merger,"The Merger
Upon the terms and subject to the conditions of the Merger Agreement, Merger Sub will merge with and into Sanderson Farms and the
separate corporate existence of Merger Sub will cease, with Sanderson Farms continuing as the surviving corporation and as an indirect wholly
owned subsidiary of Parent (the “Surviving Corporation”). As a result of the Merger, Sanderson Farms common stock will no longer be publicly
traded and will be delisted from NASDAQ. In addition, Sanderson Farms common stock will be deregistered under the Securities Exchange Act of
1934, as amended (the “Exchange Act”), and Sanderson Farms will no longer file periodic reports with the United States Securities and Exchange
Commission (the “SEC”). If the Merger is completed, you will not own any shares of the capital stock of the Surviving Corporation. The time at
which the Merger will become effective will occur upon the filing of articles of merger with the Secretary of State of the State of Mississippi in
accordance with the applicable provisions of the Mississippi Business Corporation Act (the “MBCA”) (the time of such filing and the acceptance
for record by the Secretary of State of the State of Mississippi, or such later time as may be agreed in writing by Parent and Sanderson Farms and
specified in the articles of merger in accordance with the MBCA, being referred to herein as the “Effective Time”).
Merger Consideration",11,11
SANDERSON FARMS INC_20210913_DEFM14A_19528141_4293580.Pdf,Merger Consideration,"Merger Consideration
Sanderson Farms Common Stock
At the Effective Time, each share of Sanderson Farms common stock issued and outstanding immediately before the Effective Time (other than
(i) shares owned by Sanderson Farms as treasury stock or otherwise, Parent or Merger Sub, or any wholly owned subsidiary of Sanderson Farms,
Parent or Merger Sub and (ii) Sanderson Farms common stock covered by Sanderson Farms restricted share awards (together with the clause (i), the
“Excepted Shares”)) will automatically be cancelled and converted into the right to receive $203.00 per share of Sanderson Farms common stock in
cash, without interest (the “Merger Consideration”).
Treatment of Company Equity Awards
Company Restricted Shares. Each share of Sanderson Farms restricted stock that is outstanding immediately prior to the Effective Time (other
than any such shares of Sanderson Farms restricted stock granted to employees on or following August 8, 2021) will become fully vested and be
converted into the right to receive an amount in cash equal to the Merger Consideration, which will be paid no later than the fifth Business Day (as
defined below) following the Effective Time. The levels, participants, terms and treatment of any shares of Sanderson Farms restricted stock granted
to employees on or following August 8, 2021 will be agreed between Sanderson Farms and Parent.
Company Performance Share Awards for Individuals Other Than Messrs. Sanderson, Butts and Cockrell. For each performance share award
that is outstanding immediately prior to the Effective Time:
•
each share of Sanderson Farms common stock covered by the award that is earned based on actual performance through October 31,
2021 (prorated according to the number of days elapsed during the
-3-Table of Contents
applicable performance period as of the Effective Time) will be converted into the right to receive the Merger Consideration, which will
be paid no later than the fifth Business Day following the Effective Time, and
•
the excess of the maximum number of shares of Sanderson Farms common stock covered by the award over the earned shares of
Sanderson Farms common stock covered by the award that is earned based on actual performance through October 31, 2021 (prorated
according to the number of days elapsed during the applicable performance period as of the Effective Time) will convert into an
unvested cash award that will vest on the first anniversary of the closing date of the Merger or upon an earlier qualifying termination of
employment, and be paid within five Business Days following the vesting date (but no later than the first anniversary of the closing
date of the Merger), subject to continued employment through such vesting date.
Company Performance Share Awards for Messrs. Sanderson, Butts and Cockrell. At the Effective Time of the Merger, each outstanding
performance share award held by each of Messrs. Sanderson, Butts and Cockrell will vest and be earned at the maximum level of performance,
meaning 200% of the target number of shares covered by the awards (such maximum number of shares is equal to 76,500, 21,000 and 16,500,
respectively), and each earned share will be converted into a right to receive an amount in cash equal to the Merger Consideration, which amount
will be payable no later than the fifth Business Day following the Effective Time.
See the section of this proxy statement entitled “—Quantification of Potential Payments and Benefits to Sanderson Farms’ Named Executive
Officers in Connection with the Merger” for the estimated value of unvested equity awards held by Sanderson Farms’ named executive officers.
In this proxy statement, “Company Equity Awards” shall mean both the Sanderson Farms restricted share awards and performance share
awards.
Material U.S. Federal Income Tax Consequences of the Merger",11,12
SANDERSON FARMS INC_20210913_DEFM14A_19528141_4293580.Pdf,Material U.S. Federal Income Tax Consequences of the Merger,"Material U.S. Federal Income Tax Consequences of the Merger
The receipt of cash by Sanderson Farms Stockholders in exchange for shares of Sanderson Farms common stock in the Merger will be a
taxable transaction to Sanderson Farms Stockholders for U.S. federal income tax purposes. Such receipt of cash by each Sanderson Farms
Stockholder that is a U.S. Holder (as defined under the section of this proxy statement entitled “The Merger—Material U.S. Federal Income Tax
Consequences of the Merger”) generally will result in the recognition of gain or loss in an amount equal to the difference, if any, between the amount
of cash that such U.S. Holder receives in the Merger and such U.S. Holder’s adjusted tax basis in the shares of Sanderson Farms common stock
surrendered pursuant to the Merger by such stockholder. Backup withholding taxes may also apply to the cash payment made pursuant to the
Merger, unless such U.S. Holder complies with certification procedures under the backup withholding rules.
A Sanderson Farms Stockholder that is a Non-U.S. Holder (as defined under the section of this proxy statement entitled “The Merger—
Material U.S. Federal Income Tax Consequences of the Merger”) generally will not be subject to U.S. federal income tax with respect to the
exchange of Sanderson Farms common stock for cash in the Merger unless such Non-U.S. Holder has certain connections to the United States, but
may be subject to backup withholding tax unless the Non-U.S. Holder complies with certain certification procedures or otherwise establishes a valid
exemption from backup withholding tax.
Sanderson Farms Stockholders should read the section of this proxy statement entitled “The Merger—Material U.S. Federal Income Tax
Consequences of the Merger.”
-4-Table of Contents
Sanderson Farms Stockholders should consult their tax advisors in light of their particular circumstances and any consequences arising under
U.S. federal, state, local and non-U.S. income laws and other tax consequences relating to the Merger.
Litigation Related to the Merger",12,13
SANDERSON FARMS INC_20210913_DEFM14A_19528141_4293580.Pdf,Litigation Related to the Merger,"Litigation Related to the Merger
On September 10, 2021, a purported stockholder of Sanderson Farms commenced litigation against Sanderson Farms and the members of its
Board of Directors under the caption Ryan O’Dell v. Sanderson Farms, Inc., et al., Case No. 1:21-cv-7588 (S.D.N.Y.) (the “O’Dell Lawsuit”). The
O’Dell Lawsuit generally alleges that this proxy statement, initially filed on September 3, 2021 in connection with the Merger, omits material
information in violation of Section 14(a) and 20(a) of the Exchange Act, rendering this proxy statement materially incomplete and misleading. The
O’Dell Lawsuit seeks, among other things, injunctive relief to prevent the consummation of the Merger, or alternatively, rescission or rescissory
damages in the event the Merger is consummated, damages, costs and disbursements, including attorneys’ fees, and such other and further
equitable relief as the court may deem just and proper.
No Appraisal Rights",13,13
SANDERSON FARMS INC_20210913_DEFM14A_19528141_4293580.Pdf,No Appraisal Rights,"No Appraisal Rights
Appraisal rights are not available to Sanderson Farms Stockholders in connection with the Merger. See the section of this proxy statement
entitled “The Merger—No Appraisal Rights.”
Regulatory Approvals Required for the Merger",13,13
SANDERSON FARMS INC_20210913_DEFM14A_19528141_4293580.Pdf,Regulatory Approvals Required for the Merger,"Regulatory Approvals Required for the Merger
Under the Merger Agreement, the Merger cannot be completed until the applicable waiting period under the Hart-Scott-Rodino Antitrust
Improvements Act of 1976, as amended (the “HSR Act”), has expired or been terminated. In addition, regulatory clearances under the applicable
antitrust laws of Mexico and China are required to complete the Merger. Subject to the terms of the Merger Agreement, Sanderson Farms and Parent
are required to file all necessary notification and reports forms under the HSR Act with respect to the Merger and the other transactions
contemplated by the Merger Agreement (including the transaction contemplated by the Investment Agreement) no later than 90 calendar days
following the date of the Merger Agreement. In addition, Sanderson Farms and Parent made the initial submissions for the filings in Mexico and
China on September 7, 2021.
Closing Conditions",13,13
SANDERSON FARMS INC_20210913_DEFM14A_19528141_4293580.Pdf,Closing Conditions,"Closing Conditions
The obligations of Sanderson Farms, Parent and Merger Sub, as applicable, to consummate the Merger are subject to the satisfaction or waiver
of customary conditions, including (among other conditions), the following:
•
the affirmative vote of the holders of two-thirds of the outstanding shares of Sanderson Farms common stock (the “Company
Stockholder Approval”);
•
the absence of any legal restraints that prohibit or make illegal the consummation of the Merger or the transactions contemplated by
the Merger Agreement (or, to the extent such restraint relates to antitrust law, the transactions contemplated by the Investment
Agreement);
•
the expiration or termination of the waiting period applicable to the consummation of the Merger or the Investment Agreement under
the HSR Act, and the receipt of regulatory approval under the applicable laws of Mexico and China (the “Specified Regulatory
Approvals”);
•
in the case of Parent and Merger Sub, the absence since the date of the Merger Agreement of any Company Material Adverse Effect
(as defined in the section of this proxy statement entitled “Proposal 1: Approval of the Merger Agreement—Representations and
Warranties”);
•
in the case of Parent and Merger Sub, none of the Specified Regulatory Approvals or legal restraints arising under any antitrust laws
relating to the Specified Regulatory Approvals imposing a material
-5-Table of Contents
adverse effect on the business, taken as a whole after the closing of the Merger, of the pro forma Parent and its subsidiaries (together
with the Surviving Corporation and its subsidiaries);
•
the accuracy of the representations and warranties of Parent, Merger Sub and Sanderson Farms as of the date of the Merger Agreement
and as of the closing date of the Merger (except for any representations and warranties made as of a particular date, which
representations and warranties must be true and correct only as of that date), generally subject to certain materiality qualifiers; and
•
the performance by Parent, Merger Sub, and Sanderson Farms in all material respects of the obligations and covenants required to be
performed or complied with by it under the Merger Agreement at or prior to the Effective Time.
Financing of the Merger",13,14
SANDERSON FARMS INC_20210913_DEFM14A_19528141_4293580.Pdf,Financing of the Merger,"Financing of the Merger
The total funds needed to complete the Merger is estimated to amount to $4,530 million and such amount will include up to $2,500 million of
debt financing (as defined in the section of this proxy statement entitled “The Merger—Financing the Merger”) with the remainder consisting of an
equity financing commitment made by CMSC to Parent and of Holdings, pursuant to the Investment Agreement, contributing all of its equity
interests in Wayne Farms to Parent.
The debt financing at the closing of the Merger will consist of a $1,000 million senior secured term loan A-1 facility, a $750 million senior
secured term loan A-2 facility and a $750 million senior secured term loan B facility. Additionally, the debt financing includes a $750 million senior
secured revolving credit facility that is available for Sycamore Buyer LLC (the “Borrower”) to drawdown on when needed. The equity financing (as
defined in the section of this proxy statement entitled “The Merger—Financing the Merger”) will consist of CMSC’s commitment under the
Investment Agreement to contribute equity into Parent in an amount that, together with the debt financing, shall be sufficient to pay for the merger
consideration (such amount to also cover all fees and expenses required to be paid by Parent pursuant to the Merger Agreement). Furthermore,
Holdings shall, pursuant to the Investment Agreement, contribute all its equity interests in Wayne Farms to Parent (the “Wayne Farms
contribution”).
The commitments under the debt financing will terminate on May 13, 2022 (or if the End Date (as defined in the section of this proxy statement
entitled “Proposal 1: Approval of the Merger Agreement—Termination”) is automatically extended, on August 15, 2022) or such earlier date on
which either the Merger Agreement is validly terminated or the Merger is consummated without the debt financing.
The obligations of CMSC to fund the equity financing and of Holdings to make the Wayne Farms contribution will terminate automatically and
immediately upon the termination of the Merger Agreement in accordance with its terms. The Investment Agreement may also be terminated by
Holdings or CMSC if any governmental authority has issued an order, decree or ruling permanently restraining or prohibiting the transactions
contemplated by the Investment Agreement, and such order, decree or ruling has become final and nonappealable (so long as a breach by the party
seeking to terminate was not the proximate cause of such judgment, order, decree or ruling).
Required Stockholder Approval",14,14
