Document,Section Header,Section Text,Start Page,End Page
"SPX FLOW, Inc._20220201_DEFM14A_19813071_4373457.Pdf",SUMMARY,"SUMMARY
This summary highlights selected information contained in this proxy statement, including with respect to
the Merger Agreement and the Merger. We encourage you to, and you should, read carefully this entire proxy
statement, its annexes and the documents referred to or incorporated by reference in this proxy statement,
as this summary may not contain all of the information that may be important to you in determining how to
vote. We have included page references to direct you to a more complete description of the topics
presented in this summary. You may obtain the information incorporated by reference into this proxy
statement without charge by following the instructions under the section entitled “Where You Can Find
Additional Information.”
Parties to the Merger (page 19)",10,10
"SPX FLOW, Inc._20220201_DEFM14A_19813071_4373457.Pdf",Parties to the Merger (page 19),"Parties to the Merger (page 19)
SPX FLOW
SPX FLOW, Inc., a Delaware corporation, referred to as “SPX FLOW,” the “Company,” “we,” “our” or “us,”
operates in two business segments: the Nutrition and Health segment and the Precision Solutions segment.
Based in Charlotte, North Carolina, SPX FLOW innovates with customers to help feed and enhance the
world by designing, delivering and servicing high-value process solutions at the heart of growing and
sustaining our diverse communities. The product offering of the Company's continuing operations is
concentrated in process technologies that perform mixing, blending, fluid handling, separation, thermal heat
transfer and other activities that are integral to processes performed across a wide variety of sanitary and
industrial markets. In 2020, SPX FLOW had approximately $1.4 billion in annual revenues, with
approximately 36%, 37%, and 27% from sales into the Americas, EMEA, and Asia Pacific regions,
respectively, and has continuing operations in more than 30 countries and sales in more than 140 countries.
SPX FLOW's product portfolio of pumps, valves, mixers, filters, air dryers, hydraulic tools, homogenizers,
separators and heat exchangers, along with the related aftermarket parts and services, supports global
industries, including food and beverage, chemical processing, compressed air and mining. From an end-
market perspective, in 2020, approximately 47% of our revenues were from sales into the food and beverage
end markets and approximately 53% were from sales into the industrial end markets. Our core strengths
include expertise in rotating, actuating and hydraulic equipment, a highly skilled workforce, global
capabilities, product breadth, and a deep application knowledge that enables us to optimize configuration
and create custom-engineered solutions for diverse processes.
SPX FLOW's common stock is traded on the NYSE under the symbol “FLOW.”
Additional information about the Company is contained in our public filings, which are incorporated by
reference herein. See the sections entitled “Where You Can Find Additional Information” and “Parties to the
Merger-SPX FLOW.”
LSF11 Redwood Acquisitions, LLC
Buyer, an investment vehicle formed by Lone Star Fund XI, L.P. (“Lone Star”), is a Delaware limited liability
company formed on November 4, 2021, for the purpose of effecting the Merger. Buyer has not conducted
any activities other than those incidental to its formation and the matters contemplated by the Merger
Agreement, including the preparation of applicable regulatory filings in connection with the Merger. After
completion of the transactions contemplated by the Merger Agreement, Buyer (or its permitted assigns) will
be the parent entity of the Company.
See the section entitled “Parties to the Merger-LSF11 Redwood Acquisitions, LLC”
Redwood Star Merger Sub, Inc.
Merger Sub, a direct wholly-owned subsidiary of Buyer, is a Delaware corporation formed on December 7,
2021, for the purpose of effecting the Merger. Under the Merger Agreement, Merger Sub will merge with and
into the Company, with the Company surviving the Merger as a wholly-owned subsidiary of Buyer. Merger
Sub has not conducted any activities other than those incidental to its formation and the matters
contemplated by the Merger Agreement, including the preparation of applicable regulatory filings in
connection with the Merger.
See the section entitled “Parties to the Merger-Redwood Star Merger Sub, Inc.”",10,10
"SPX FLOW, Inc._20220201_DEFM14A_19813071_4373457.Pdf",The Special Meeting (page 20),"The Special Meeting (Page 20)
Date, Time and Place
The Special Meeting of SPX FLOW stockholders will be held on March 3, 2022 at 9:00 a.m. (Eastern Time).
This Special Meeting will be held in person at 13320 Ballantyne Corporate Place, Charlotte, NC 28277.
1TABLE OF CONTENTS
The Special Meeting is being held to consider and vote on the following proposals:
•
to vote on a proposal to adopt and approve the Merger Agreement, the “Merger Proposal”;
•
to vote on a proposal to approve, on a non-binding advisory basis, specified compensation that may
become payable to the named executive officers of the Company in connection with the Merger,
the “Advisory Compensation Proposal”; and
•
to vote on a proposal to approve one or more adjournments of the Special Meeting, if necessary, to
solicit additional proxies if there are insufficient votes cast at the time of the Special Meeting or any
adjournment or postponement of the Special Meeting to approve the Merger Proposal, the
“Adjournment Proposal.”
Completion of the Merger is conditioned on, among other things, the approval of the Merger Proposal by
holders of SPX FLOW common stock. Approval of the Advisory Compensation Proposal and the
Adjournment Proposal are not conditions to the obligation of the Company to complete the Merger.
Record Date; Shares Entitled to Vote
You are entitled to vote at the Special Meeting if you owned shares of SPX FLOW common stock at the
close of business on January 31, 2022 (the “Record Date”). Each holder of SPX FLOW common stock shall
be entitled to one vote for each such share owned at the close of business on the Record Date.
As of the close of business on January 31, 2022, there were 42,058,085 shares of the Company common
stock outstanding and entitled to vote at the Special Meeting.
A complete list of SPX FLOW stockholders entitled to vote at the Special Meeting will be available for
inspection at SPX FLOW's principal place of business during regular business hours for a period of no less
than 10 days before the Special Meeting at 13320 Ballantyne Corporate Place, Charlotte, North Carolina
28277. If SPX FLOW's headquarters are closed for health and safety reasons related to the COVID-19
pandemic during such period, the list of SPX FLOW stockholders will be made available for inspection upon
request to SPX FLOW's Investor Relations and Strategic Insights at 13320 Ballantyne Corporate Place,
Charlotte, North Carolina 28277, subject to the satisfactory verification of stockholder status. The list of SPX
FLOW stockholders entitled to vote at the Special Meeting will also be made available for inspection during
the Special Meeting.
Quorum; Abstentions and Broker Non-Votes
The holders of not less than one-third of the shares of Company common stock issued and outstanding and
entitled to vote thereat, present in person or represented by proxy will constitute a quorum at the Special
Meeting. Abstentions, withhold votes, and broker non-votes are counted as shares present and entitled to
vote for the purposes of determining a quorum. Once a share is represented at the Special Meeting, it will be
counted for the purposes of determining a quorum at the Special Meeting. However, if a new record date is
set for an adjourned Special Meeting, then a new quorum will have to be established.
Required Vote to Approve the Merger Proposal
Approval of the Merger Proposal requires the affirmative vote of a majority of the voting power of all issued
and outstanding shares of SPX FLOW common stock entitled to vote on the proposal as of the close of
business on the Record Date. A failure to vote your shares of common stock or an abstention from voting
will have the same effect as a vote “AGAINST” the Merger Proposal. Broker non-votes will count as a vote
“AGAINST”.
Required Vote to Approve the Advisory Compensation Proposal
Approval of the Advisory Compensation Proposal requires the affirmative vote of a majority of the shares of
our common stock present in person or represented by proxy at the Special Meeting and entitled to vote. An
abstention or a failure to vote your shares of common stock will have the same effect as a vote “AGAINST”
the Advisory Compensation Proposal. Broker non-votes will have no effect.
Required Vote to Approve the Adjournment Proposal
Approval of the Adjournment Proposal requires the affirmative vote of a majority of the shares of our common
stock present in person or represented by proxy at the Special Meeting and entitled to vote. An abstention
or a failure to vote your shares of common stock will have the same effect as a vote “AGAINST” the
Adjournment Proposal. Broker non-votes will have no effect.
2
TABLE OF CONTENTS",10,12
"SPX FLOW, Inc._20220201_DEFM14A_19813071_4373457.Pdf",The Merger (page 24),"The Merger (page 24)
You will be asked to consider and vote upon the Merger Proposal to approve the Agreement and Plan of
Merger, dated as of December 12, 2021, by and among Buyer, Merger Sub and SPX FLOW, which, as it
may be amended from time to time, is referred to in this proxy statement as the “Merger Agreement.” A
copy of the Merger Agreement is attached as Annex A. The Merger Agreement provides, among other
things, that at the effective time of the Merger (the “Effective Time”), Merger Sub will be merged with and into
the Company, with the Company surviving the Merger (the “Surviving Corporation”). In the Merger, each share
of common stock, par value $0.01, of SPX FLOW (referred to in this proxy statement as the “common
stock,” the “Company common stock” or the “SPX FLOW common stock”) issued and outstanding
immediately prior to the Effective Time (other than certain shares specified in the Merger Agreement) will be
converted into the right to receive the merger consideration of $86.50 per share in cash, without interest
thereon (the “Per Share Price”). Buyer, SPX FLOW, Merger Sub, and the paying agent for the merger
consideration will each be entitled to deduct and withhold any amounts due under applicable laws from the
amounts that would otherwise be payable under the terms of the Merger Agreement. Upon completion of the
Merger, SPX FLOW will continue its existence as a Delaware corporation and will be a wholly owned
subsidiary of Buyer, the SPX FLOW common stock will no longer be publicly traded and SPX FLOW's
existing stockholders will cease to own SPX FLOW common stock.",12,12
"SPX FLOW, Inc._20220201_DEFM14A_19813071_4373457.Pdf",Treatment of Company Equity Awards (page 49),"Treatment of Company Equity Awards (page 49)
Restricted Shares. At the Effective Time, each outstanding share of restricted stock (a “Restricted Share”),
will be fully vested, cancelled and converted into the right to receive an amount in cash, without interest and
subject to applicable withholding, equal to the Per Share Price.
Stock Options. At the Effective Time, each outstanding option to purchase shares of Company common
stock (a “Stock Option” or “Option”), whether vested or unvested, will be cancelled and converted into the
right to receive an amount in cash, without interest and subject to applicable withholding, equal to (1) the
total number of shares of Company common stock issuable upon exercise in full of such Option, multiplied
by (2) the excess, if any, of the Per Share Price over the exercise price per share of such Option. Each
Option with an exercise price per share equal to or greater than the Per Share Price will be cancelled as of
the Effective Time without payment.
Performance Stock Units. At the Effective Time, each outstanding performance-based restricted stock unit
award (a “Performance Stock Unit” or “PSU”), to the extent unvested will vest in accordance with the
following provisions: (i) if the applicable performance period has not been completed, the PSU will vest at the
target level of performance (or, with respect to the PSUs that vest on the basis of the Company's operating
income margin, at 325% of the target level of performance and with respect to the PSUs that vest on the
basis of the Company's total shareholder return and were issued in 2020 or 2021, at 200% of the target level
of performance) and (ii) if the applicable performance period has been completed, the PSU will vest at the
actual level of performance, as determined in accordance with the terms of each outstanding award
agreement. All such vested PSUs will be cancelled and converted into the right to receive an amount in
cash, without interest and subject to applicable withholding, equal to (1) the total number of shares of
Company common stock subject to such vested PSUs, multiplied by (2) the Per Share Price.
Restricted Stock Units. At the Effective Time, each outstanding restricted stock unit award (a “Restricted
Stock Unit”), vested or unvested, will be fully vested, cancelled and converted into the right to receive an
amount in cash, without interest and subject to applicable withholding, equal to (1) the total number of
shares of Company common stock subject to such Restricted Stock Units, multiplied by (2) the Per Share
Price.",12,12
"SPX FLOW, Inc._20220201_DEFM14A_19813071_4373457.Pdf",Conditions to Completion of the Merger (page 74),"Conditions to Completion of the Merger (page 74)
Each party's obligation to complete the Merger is subject to the satisfaction or waiver at or prior to the
closing of the following conditions:
•
the approval of the Merger Agreement by holders of a majority of the outstanding shares of the
Company's common stock entitled to vote on such matter at the Special Meeting (the “Requisite
Company Vote”);
•
the expiration or earlier termination of the waiting periods applicable to the completion of the
Merger under the Hart-Scott-Rodino Antitrust Improvements Act of 1976, as amended (the “HSR
Act”);
•
receipt of consent from the applicable government entity in the European Union and the People's
Republic of China under applicable antitrust laws; and
3TABLE OF CONTENTS
•
no law, order or injunction having been enacted, issued, promulgated, enforced or entered by a
court or other governmental entity of competent jurisdiction that is in effect and that restrains,
enjoins or otherwise prohibits the completion of the Merger.
The respective obligations of Buyer and Merger Sub to complete the Merger are subject to the satisfaction
or waiver by Buyer at or prior to the closing of the following additional conditions, among others:
•
the accuracy of the representations and warranties of the Company as of the date of the Merger
Agreement and as of the closing date (except for any representations and warranties made as of a
particular date, which representations and warranties must be true and correct only as of that
date), subject to certain materiality standards described in the section of this proxy statement
entitled “The Merger Agreement-Conditions to Completion of the Merger”;
•
the performance by the Company in all material respects of all obligations required to be performed
by it under the Merger Agreement at or prior to the closing date;
•
the absence of a Company Material Adverse Change having occurred on or after the date of the
Merger Agreement;
•
the receipt by Buyer of a certificate signed by an officer of the Company, dated as of the closing
date, certifying that the conditions set forth in the three preceding bullet points are satisfied; and
•
the receipt of consent from the applicable governmental entity in Turkey with respect to the
applicable antitrust laws and the receipt of consent from the applicable governmental entity in
France with respect to foreign direct investments.
The obligation of the Company to complete the Merger is subject to the satisfaction or waiver by the
Company at or prior to the closing of the following additional conditions, among others:
•
the accuracy of the representations and warranties of Buyer and Merger Sub as of the date of the
Merger Agreement and as of the closing date (except for any representations and warranties made
as of a particular date, which representations and warranties must be true and correct only as of
that date) subject to certain materiality standards described in the section of this proxy statement
entitled “The Merger Agreement-Conditions to Completion of the Merger”;
•
the performance by each of Buyer and Merger Sub in all material respects of all obligations
required to be performed by it under the Merger Agreement at or prior to the closing date; and
•
the receipt by the Company of a certificate signed by an officer of Buyer dated as of the closing
date, certifying that the conditions set forth in the two preceding bullet points are satisfied.
No party may rely, either as a basis for not completing the Merger or any of the other transactions
contemplated by the Merger Agreement or terminating the Merger Agreement and abandoning the Merger,
on the failure of a condition to closing set forth in the Merger Agreement to be satisfied if such failure was
caused by such party's breach of the Merger Agreement.",12,13
"SPX FLOW, Inc._20220201_DEFM14A_19813071_4373457.Pdf",When the Merger Becomes Effective (page 59),"When the Merger Becomes Effective (page 59)
As of the date of the filing of this proxy statement, we expect to complete the Merger during the first half of
calendar year 2022. However, completion of the Merger is subject to the satisfaction or waiver of the
conditions to the completion of the Merger, which are described in this proxy statement and include
regulatory clearances, and it is possible that the Merger will not be completed until a later time, or at all.
There may be a substantial amount of time between the Special Meeting and the completion of the Merger.
After the Requisite Company Vote is obtained, the Company's Board of Directors (referred to in this proxy
statement as the “Board,” “the Company's Board” or “SPX FLOW's Board”) will not have the right to
terminate the Merger Agreement in order to accept any acquisition proposal.",13,13
"SPX FLOW, Inc._20220201_DEFM14A_19813071_4373457.Pdf",Recommendation of the Board (page 34),"Recommendation of the Board (page 34)
After careful consideration, the Company's Board unanimously determined that the Merger Agreement and
the transactions contemplated thereby, including the Merger, are advisable and fair to, and in the best
interests of, SPX FLOW and its stockholders, and unanimously approved and declared it advisable to enter
into the Merger Agreement,
4TABLE OF CONTENTS
and approve the execution, delivery and performance of the Merger Agreement and consummation of the
transactions contemplated thereby, including the Merger (the “Company Recommendation”). The
Company's Board unanimously recommends that the Company's stockholders vote “FOR” the
Merger Proposal.",13,14
"SPX FLOW, Inc._20220201_DEFM14A_19813071_4373457.Pdf",Reasons for the Merger (page 34),"Reasons for the Merger (page 34)
For a description of the reasons considered by the Company's Board in resolving to recommend approval of
the Merger Agreement, see the section entitled “Proposal No. 1 - The Merger-Reasons for the Merger;
Recommendation of the Board.”
Opinion of Morgan Stanley (page 40)",14,14
"SPX FLOW, Inc._20220201_DEFM14A_19813071_4373457.Pdf",Opinion of Morgan Stanley (page 40),"Opinion of Morgan Stanley (page 40)
SPX FLOW retained Morgan Stanley & Co. LLC (“Morgan Stanley”) to act as financial advisor to SPX
FLOW's Board in connection with the proposed Merger. At the meeting of the Company’s Board on
December 12, 2021, Morgan Stanley rendered its oral opinion, subsequently confirmed in writing, that as of
such date, and based upon and subject to the various assumptions made, procedures followed, matters
considered and qualifications and limitations on the scope of the review undertaken by Morgan Stanley as
set forth in the written opinion, the Per Share Price of SPX FLOW common stock in cash to be received by
the holders of shares of SPX FLOW common stock pursuant to the Merger Agreement was fair from a
financial point of view to such holders of shares of SPX FLOW common stock. The full text of the written
opinion of Morgan Stanley, dated as of December 12, 2021, which sets forth, among other things, the
various assumptions made, procedures followed, matters considered and qualifications and limitations on
the scope of the review undertaken by Morgan Stanley in rendering its opinion, is attached to this proxy
statement as Annex B. You are encouraged to read the opinion carefully and in its entirety. The summary of
the opinion of Morgan Stanley set forth herein is qualified in its entirety by reference to the full text of the
opinion. Morgan Stanley's opinion was rendered for the benefit of SPX FLOW's Board, in its capacity as
such, and addressed only the fairness from a financial point of view, as of the date of such opinion, of the
merger consideration to the holders of shares of SPX FLOW common stock. Morgan Stanley's opinion did
not address any other aspects or implications of the Merger, including the relative merits of the Merger as
compared to any other alternative business transaction, or other alternatives, or the fairness of the amount
or nature of the compensation to any officers, directors or employees of SPX FLOW, or any class of such
persons, relative to the merger consideration to be received by the holders of shares of SPX FLOW common
stock pursuant to the Merger Agreement. Morgan Stanley did not express any opinion or recommendation
as to how the stockholders of SPX FLOW should vote at the stockholders' meeting to be held in connection
with the Merger.
For further information, see the section entitled “Proposal No. 1 - The Merger-Opinion of Morgan Stanley”
and Annex B.
Interests of SPX FLOW's Directors and Executive Officers in the Merger (page 48)",14,14
