Document,Section Header,Section Text,Start Page,End Page
STORE CAPITAL Corp_20221104_DEFM14A_20428387_4540170.Pdf,SUMMARY,"SUMMARY
This summary highlights only selected information from this proxy statement relating to the merger of STORE Capital Corporation with and
into Ivory REIT, LLC (the “merger”) and the other transactions contemplated by the Agreement and Plan of Merger, dated September 15, 2022, as
may be amended from time to time (the “merger agreement”), among STORE Capital Corporation, Ivory REIT, LLC and Ivory Parent, LLC. This
summary does not contain all of the information about the merger and the other transactions contemplated by the merger agreement that may be
important to you with respect to your consideration of the proposals to be voted on at the special meeting. As a result, to understand the merger
and related transactions fully and for a more complete description of the terms of the merger and related transactions, you should carefully read
this proxy statement in its entirety, including the exhibits and the other documents to which we have referred you, including the merger agreement
attached as Exhibit A. Each item in this summary includes a page reference directing you to a more complete description of that item. This proxy
statement is first being mailed to our stockholders on or about November 3, 2022.
The Parties to the Merger (page 27)",7,7
STORE CAPITAL Corp_20221104_DEFM14A_20428387_4540170.Pdf,The Parties to the Merger,"The Parties to the Merger (page 27)
STORE Capital Corporation
8377 East Hartford Drive, Suite 100
Scottsdale, Arizona 85255
(480) 256-1100 
STORE Capital Corporation (“we,” “our,” “us,” or the “Company”) was organized as a Maryland corporation on May 17, 2011, and elected to
be taxed as a real estate investment trust (“REIT”) under the Internal Revenue Code of 1986, as amended (the “Code”), commencing with our initial
taxable year ended December 31, 2011.
The Company is an internally managed net-lease REIT that is a leader in the acquisition, investment and management of Single Tenant
Operational Real Estate (“STORE Property”), which is our target market and the inspiration for our name. A STORE Property is a property location at
which a company operates its business and generates sales and profits, which makes the location a profit center and, therefore, fundamentally
important to that business. The Company is one of the largest net-lease REITs and its portfolio is highly diversified. As of September 30, 2022, our
3,035 property locations were operated by 579 customers across the United States. Our customers operate across a wide variety of industries within
the service, retail and manufacturing sectors of the U.S. economy, with restaurants, metal fabrication facilities, early childhood education centers,
automotive repair and maintenance centers and health clubs representing the top industries in our portfolio.
Our common stock is listed on the New York Stock Exchange (“NYSE”) and trades under the symbol “STOR.”
Additional information about us is available on our website at www.storecapital.com. The information found on, or otherwise accessible
through, our website is not incorporated into, and does not form a part of, this proxy statement or any other report or document we file with or
furnish to the SEC. For additional information about us and our business, please refer to the section entitled “Where You Can Find More
Information.”
 
1Table of Contents
Ivory Parent, LLC; Ivory REIT, LLC
c/o GIC
280 Park Avenue, 9th Floor
New York, New York 10017
(212) 856-2500 
c/o Oak Street Real Estate Capital, LLC
30 N LaSalle Street, Suite 4140
Chicago, Illinois 60602
(312) 448-8122
Ivory Parent, LLC, a Delaware limited liability company (“Parent”) and Ivory REIT, LLC, a Delaware limited liability company and wholly-owned
subsidiary of Parent (“Merger Sub” and, together with Parent, the “Parent Parties”), were formed solely for the purpose of acquiring us and have not
carried on any activities to date, except for activities incidental to their formation and activities undertaken in connection with the transactions
contemplated by the merger agreement. Pursuant to the merger agreement, on the date on which the closing of the merger occurs (the “closing
date”), we will merge with and into Merger Sub, and Merger Sub will continue as the surviving entity. We use the term “Surviving Entity” in this
proxy statement to refer to Merger Sub following the merger effective time. The Parent Parties are, as of the date hereof, affiliates of GIC, a global
institutional investor (“GIC”). On or around the closing date, GIC intends to enter into a joint venture arrangement with funds managed or advised
by Oak Street Real Estate Capital (“Oak Street”), a division of Blue Owl Capital, Inc. (“Blue Owl”). We refer to GIC and Oak Street, together, as the
“Sponsors.”
GIC is a leading global investment firm with over $100 billion in assets under management that was established in 1981 to secure Singapore’s
financial future. As the manager of Singapore’s foreign reserves, GIC takes a long-term, disciplined approach to investing, and is uniquely
positioned across a wide range of asset classes and active strategies globally, including equities, fixed income, real estate, private equity, venture
capital and infrastructure. The firm’s long-term approach, multi-asset capabilities, and global connectivity enables it to be an investor of choice. GIC
seeks to add meaningful value to its investments. Headquartered in Singapore, GIC has a global talent force of over 1,900 people in 11 key financial
cities and has investments in over 40 countries. The principal place of business of GIC in the United States is located at 280 Park Avenue, 9th Floor,
New York, New York 10017, and its telephone number at that address is (212) 856-2500. 
Oak Street, a division of Blue Owl, is a real estate investment firm focused on acquiring properties net-leased to investment grade and
creditworthy tenants. Oak Street specializes in providing flexible capital solutions to a variety of organizations including corporations, healthcare
systems, universities and government entities. Oak Street has $16.6 billion in assets under management as of June 30, 2022. Blue Owl is a global
alternative asset manager with $119 billion in assets under management as of June 30, 2022. Anchored by a strong permanent capital base, Blue Owl
deploys private capital across Direct Lending, GP Solutions and Real Estate strategies on behalf of Institutional and Private Wealth clients. Blue
Owl’s flexible, consultative approach helps position the firm as a partner of choice for businesses seeking capital solutions to support their
sustained growth. The principal place of business of Oak Street is located at 30 N. LaSalle Street, Suite 4140, Chicago, Illinois 60602, and its
telephone number at that address is (312) 448-8122.
The Special Meeting (page 29)",7,8
STORE CAPITAL Corp_20221104_DEFM14A_20428387_4540170.Pdf,The Special Meeting,"The Special Meeting (page 29)
The Proposals
The special meeting of our stockholders will be held on December 9, 2022 at 8:00 a.m., Arizona time, in a virtual-only meeting format. To access
the virtual special meeting, stockholders should visit www.virtualshareholdermeeting.com/STOR2022SM. At the special meeting, holders of our
common stock, par
 
2Table of Contents
value $0.01 per share (“common stock”), will be asked to consider and vote on (1) a proposal to approve the merger (the “merger proposal”), (2) a
proposal to approve, on a non-binding, advisory basis, the compensation that may be paid or become payable to our named executive officers that
is based on or otherwise relates to the merger (the “advisory compensation proposal”), and (3) a proposal to approve any adjournment of the special
meeting for the purpose of soliciting additional proxies if there are not sufficient votes at the special meeting to approve the merger proposal (the
“adjournment proposal”).
Pursuant to our bylaws, only the matters set forth in the notice of special meeting may be brought before the virtual special meeting.
Record Date, Notice and Quorum
All holders of record of our common stock as of the record date, which was the close of business on October 24, 2022, are entitled to receive
notice of and attend and vote at the virtual special meeting or any postponement or adjournment thereof. Each holder of common stock is entitled to
cast one vote on each matter presented at the special meeting for each share of common stock that such holder owned as of the record date. On the
record date, there were 282,685,797 shares of common stock outstanding and entitled to vote at the special meeting.
The presence virtually via the special meeting website or by proxy of our stockholders entitled to cast a majority of all of the votes entitled to
be cast at the special meeting will constitute a quorum for purposes of the special meeting. A quorum is necessary to transact business at the special
meeting. Virtual attendance at the special meeting constitutes presence in person for quorum purposes at the special meeting. Abstentions will be
counted as shares present for the purposes of determining the presence of a quorum. If a quorum is not present at the special meeting, we expect
that the special meeting will be adjourned to a later date (subject to certain restrictions in the merger agreement).
Required Vote
Completion of the merger requires approval of the merger proposal by the affirmative vote of the holders of a majority of the outstanding
shares of our common stock entitled to vote on the merger proposal at the special meeting (the “stockholder approval”). Because the required vote
for the merger proposal is based on the number of votes our stockholders are entitled to cast rather than on the number of votes cast, if you abstain
from voting or fail to authorize a proxy to vote your shares or vote at the virtual special meeting, or fail to instruct your broker, bank or other nominee
on how to vote, such abstention or failure to vote will have the same effect as voting “AGAINST” the merger proposal.
The approval of the advisory compensation proposal and the adjournment proposal each requires the affirmative vote of a majority of the
votes cast on the proposal. Approval of these proposals is not a condition to completion of the merger. For the purpose of each of these proposals,
if you abstain from voting or fail to authorize a proxy to vote your shares or vote at the virtual special meeting, or fail to instruct your broker, bank or
other nominee on how to vote, such abstention or failure to vote will not have any effect on the outcome of such proposals (assuming a quorum is
present).
Proxies and Revocation
Any holder of record of our common stock entitled to vote may authorize a proxy to vote his, her or its shares of common stock by returning
the enclosed proxy card, authorizing a proxy or voting instructions by telephone or through the Internet, or by attending the virtual special meeting
and voting during the live webcast. If the shares of our common stock that you own are held in “street name” by your broker, bank or other nominee,
you should instruct your broker, bank or other nominee on how to vote your shares using the instructions provided by your broker, bank or other
nominee.
 
3
Table of Contents
Any proxy may be revoked at any time prior to its exercise by your delivery of a properly executed, later-dated proxy card, by authorizing your
proxy by telephone or through the Internet at a later date than your previously authorized proxy, by your filing a written revocation of your proxy
with our Corporate Secretary or by your voting at the virtual special meeting. Attendance at the virtual special meeting alone will not be sufficient to
revoke a previously authorized proxy.
The Merger (page 33)",8,10
STORE CAPITAL Corp_20221104_DEFM14A_20428387_4540170.Pdf,The Merger,"The Merger (page 33)
Pursuant to the merger agreement, on the closing date, the Company will be merged with and into Merger Sub and the separate existence of
the Company will cease. Merger Sub will continue as the Surviving Entity in the merger. On the closing date, we and Merger Sub will cause articles
of merger to be executed and filed with the State Department of Assessments and Taxation of the State of Maryland and cause a certificate of merger
to be executed, acknowledged and filed with the Delaware Secretary of State. The merger will become effective upon the later of the acceptance for
record of the articles of merger by the State Department of Assessments and Taxation of Maryland, the filing of the certificate of merger with the
Delaware Secretary of State or on such other date and time as may be agreed between the parties to the merger agreement and specified in the
articles of merger and certificate of merger. We use the term “merger effective time” in this proxy statement to refer to the time the merger becomes
effective.",10,10
STORE CAPITAL Corp_20221104_DEFM14A_20428387_4540170.Pdf,Recommendation of Our Board of Directors,"Recommendation of Our Board of Directors (page 45)
Our board of directors has unanimously:
 
•
approved the merger agreement, the merger and the other transactions contemplated by the merger agreement;
 
•
determined and declared that the merger agreement, the merger and the other transactions contemplated by the merger agreement are
advisable and in the best interests of the Company and its stockholders;
 
•
directed that the merger be submitted to the holders of our common stock for approval at the special meeting; and
 
•
recommended that you vote “FOR” the merger proposal, “FOR” the advisory compensation proposal, and “FOR” the adjournment
proposal.
Opinions of Our Financial Advisors (page 47)",10,10
STORE CAPITAL Corp_20221104_DEFM14A_20428387_4540170.Pdf,Opinions of Our Financial Advisors,"Opinions of Our Financial Advisors (page 47)
Opinion of Evercore Group L.L.C.
Pursuant to an engagement letter, dated July 27, 2022, we engaged Evercore Group L.L.C. (“Evercore”) to act as our financial advisor in
connection with the merger. At a meeting of our board of directors held on September 14, 2022, Evercore rendered to our board of directors its oral
opinion, subsequently confirmed by delivery of a written opinion, dated September 14, 2022, to the effect that, as of the date of such opinion, and
based upon and subject to the assumptions, limitations, qualifications and conditions described in Evercore’s written opinion, the merger
consideration of $32.25 per share to be received by holders of shares of our common stock (other than the Company, Parent and their respective
affiliates) in the merger was fair, from a financial point of view, to such holders.
The full text of the written opinion of Evercore, dated September 14, 2022, which sets forth, among other things, the assumptions made,
procedures followed, matters considered, qualifications and limitations on the scope of review undertaken in rendering its opinion, is attached as
Exhibit B to this proxy statement and is incorporated herein by reference. We encourage you to read this opinion carefully and in its entirety.
Evercore’s opinion was addressed to, and provided for the information and benefit of,
 
4Table of Contents
our board of directors (in its capacity as such) in connection with its evaluation of the merger and addresses only the fairness, from a financial
point of view, of the merger consideration to be received by holders of shares of our common stock (other than the Company, Parent and their
respective affiliates) in the merger. The opinion does not constitute a recommendation to our board of directors or to any other persons in respect
of the merger, including as to how any holder of our common stock should vote or act in respect of the merger. Evercore’s opinion does not address
the relative merits of the merger as compared to other business or financial strategies that might be available to the Company, nor does it address
the underlying business decision of the Company to engage in the merger.
Pursuant to the terms of our engagement letter with Evercore, we have agreed to pay Evercore an aggregate transaction fee that is estimated,
based on the information available as of the date of announcement, to be approximately $31 million, of which $3 million was payable upon delivery of
Evercore’s opinion, and the balance of which will become payable upon the consummation of the merger.
For further information, see the section entitled “The Merger—Opinions of Our Financial Advisors—Opinion of Evercore” and Exhibit B to
this proxy statement.
Opinion of Goldman Sachs & Co. LLC
Pursuant to an engagement letter, dated July 27, 2022, we engaged Goldman Sachs & Co. LLC (“Goldman Sachs”) to act as our financial
advisor in connection with the merger. At a meeting of our board of directors held on September 14, 2022, Goldman Sachs rendered to our board of
directors its oral opinion, subsequently confirmed by delivery of its written opinion, dated September 15, 2022, to the effect that, as of the date of
Goldman Sachs’ written opinion, and based upon and subject to the factors and assumptions set forth in Goldman Sachs’ written opinion, the $32.25
in cash per share of common stock to be paid to the holders (other than Parent and its affiliates) of shares of our common stock pursuant to the
merger agreement was fair, from a financial point of view, to such holders.
The full text of the written opinion of Goldman Sachs, dated September 15, 2022, which sets forth the assumptions made, procedures
followed, matters considered, qualifications and limitations on the review undertaken in connection with Goldman Sachs’ opinion, is attached as
Exhibit C to this proxy statement and is incorporated herein by reference. The summary of Goldman Sachs’ opinion contained in this proxy
statement is qualified in its entirety by reference to the full text of Goldman Sachs’ written opinion. Goldman Sachs’ advisory services and opinion
were provided for the information and assistance of our board of directors in connection with its consideration of the merger and the opinion does
not constitute a recommendation as to how any holder of shares of our common stock should vote with respect to the merger or any other matter.
Pursuant to the terms of our engagement letter with Goldman Sachs, we have agreed to pay Goldman Sachs an aggregate transaction fee that
is estimated, based on the information available as of the date of announcement, to be approximately $31 million, of which $28 million is contingent
upon completion of the merger.
For further information, see the section entitled “The Merger—Opinions of Our Financial Advisors—Opinion of Goldman Sachs” and Exhibit
C to this proxy statement.",10,11
STORE CAPITAL Corp_20221104_DEFM14A_20428387_4540170.Pdf,"Treatment of Common Stock, Restricted Stock and Performance Units","Treatment of Common Stock, Restricted Stock and Performance Units (page 76)
Common Stock
The merger agreement provides that, at the merger effective time, each share of our common stock issued and outstanding immediately prior to
the merger effective time (other than shares of common stock held by the
 
5Table of Contents
Company, the Parent Parties or any of their respective wholly-owned subsidiaries (collectively, the “excluded stock”)) will be automatically cancelled
and converted into the right to receive an amount in cash equal to $32.25 per share of common stock (the “merger consideration”), without interest.
Each share of excluded stock issued and outstanding immediately prior to the merger effective time will be cancelled and retired and will cease to
exist, and no consideration will be paid, nor will any right inure or be made with respect thereto in connection with or as a consequence of the
merger. If we declare and pay a dividend to holders of shares of our common stock to maintain our qualification as a REIT under the Code or to avoid
the incurrence of income or excise taxes under the Code, in each case, as permitted under the merger agreement, the merger consideration will be
decreased by an amount equal to the per share amount of such dividend.
Restricted Stock
The merger agreement provides that, effective immediately prior to the merger effective time, each outstanding award of restricted shares of
our common stock (“restricted stock”) granted pursuant to the Company’s 2015 Omnibus Equity Incentive Plan (including any amendments, the
“Equity Incentive Plan”) will automatically become fully vested and all restrictions and repurchase rights thereon will lapse, and thereafter all shares
of our common stock represented thereby will be considered outstanding for all purposes under the merger agreement and subject to the right to
receive an amount in cash equal to the merger consideration, less required withholding taxes.
Performance Units
The merger agreement provides that, effective immediately prior to the merger effective time, outstanding awards of performance-based
restricted share units with respect to shares of our common stock (“performance units”) granted pursuant to the Equity Incentive Plan will
automatically become earned and vested, as further described below under the sections entitled “The Merger—Interests of Our Directors and
Executive Officers in the Merger” and “—Quantification of Potential Payments and Benefits,” and thereafter will be cancelled and, in exchange
therefor, each holder of any such cancelled vested performance units will cease to have any rights with respect thereto, except the right to receive as
of the merger effective time, in consideration for the cancellation of such vested performance unit and in settlement therefor, an amount in cash equal
to the product of (1) the merger consideration and (2) the number of so-determined earned performance shares subject to such vested performance
units, without interest, less required withholding taxes. In addition, on the closing date, we will pay each holder of performance units an amount
equivalent to all cash dividends that would have been paid on the number of so-determined earned shares of our common stock subject to such
performance units as if they had been issued and outstanding from the date of grant up to, and including, the merger effective time, less required
withholding taxes.",11,12
STORE CAPITAL Corp_20221104_DEFM14A_20428387_4540170.Pdf,Financing of the Merger,"Financing of the Merger (page 61)
Parent has informed us that in connection with the closing of the merger, Parent expects to assume the non-recourse net-lease mortgage notes
outstanding under our STORE Master Funding debt program and the outstanding indebtedness under our public unsecured notes. Parent has also
informed us that it expects the outstanding indebtedness under our traditional non-recourse mortgage notes, unsecured revolving credit facility,
private placement unsecured notes and unsecured bank term loans to be prepaid or remain outstanding. As of September 30, 2022, we had
approximately $2.3 billion in aggregate principal amount of consolidated secured indebtedness outstanding, including approximately $2.1 billion in
non-recourse net-lease mortgage notes and approximately $141.8 million in non-recourse mortgage notes. As of September 30, 2022, we had
approximately $2.6 billion in aggregate principal amount of consolidated unsecured indebtedness outstanding, including $223 million under our
unsecured revolving credit facility, $1.8 billion under our unsecured notes and $600 million under our unsecured bank term loans.
 
6Table of Contents
We anticipate that the total amount of funds necessary to complete the merger and the transactions contemplated by the merger agreement will
be approximately $10.8 billion. Parent expects this amount to be funded through a combination of the following: (1) cash equity investments by an
affiliate of GIC and by Oak Street in an aggregate amount of approximately $8.2 billion (the “equity financing”); and (2) debt financing in an
aggregate principal amount of $2.6 billion (the “debt financing”). For more information, see the sections entitled “The Merger—Financing of the
Merger” and “The Merger Agreement—Financing.”
The merger agreement does not contain a financing condition to the closing of the merger. We have agreed to use reasonable best efforts to
provide, and to cause our subsidiaries to use their reasonable best efforts to provide, all cooperation reasonably requested by Parent and customary
in connection with the arrangement of debt financing, the assumption of indebtedness and other transactions. For more information, see the
sections entitled “The Merger Agreement—Financing Cooperation” and “—Conditions to the Merger.”",12,13
STORE CAPITAL Corp_20221104_DEFM14A_20428387_4540170.Pdf,Interests of Our Directors and Executive Officers in the Merger,"Interests of Our Directors and Executive Officers in the Merger (page 62)
Our directors and executive officers have certain interests in the merger that are different from, or in addition to, the interests of our
stockholders generally. These interests may create potential conflicts of interest. Our board of directors was aware of these interests and considered
them, among other matters, in reaching its unanimous decision to approve the merger, the merger agreement and the other transactions contemplated
by the merger agreement. See the sections entitled “The Merger—Interests of Our Directors and Executive Officers in the Merger” and “—
Quantification of Potential Payments and Benefits” for information about interests that our directors and executive officers have in the merger that
are different than yours.
Acquisition Proposals and Obligations of the Board of Directors with Respect to its Recommendation (page 85)",13,13
STORE CAPITAL Corp_20221104_DEFM14A_20428387_4540170.Pdf,Acquisition Proposals and Obligations of the Board of Directors with Respect to its Recommendation,"Acquisition Proposals and Obligations of the Board of Directors with Respect to its Recommendation (page 85)
The “Go-Shop” Period: Solicitation of Acquisition Proposals
Subject to the terms and conditions set forth in the merger agreement, until 11:59 p.m., Eastern time, on October 15, 2022 (the “no-shop period
start date”), we had the right to solicit, initiate, encourage or facilitate any acquisition inquiry (as defined below), including by providing information
(including non-public information and data), and affording access to the business, properties, assets, books, records and personnel of us and our
subsidiaries to any person (and its representatives, including potential financing sources) pursuant to an acceptable confidentiality agreement (as
defined in the merger agreement); provided, that we provided to Parent and Merger Sub (and their representatives, including financing sources) any
non-public information or data that was provided to any person given such access that was not previously made available to Parent and Merger Sub
prior to or substantially concurrently with the time it was provided to such person (and in any event within 24 hours thereafter) and engage in any
discussions or negotiations with any persons (and their respective representatives, including potential financing sources) with respect to an
acquisition proposal (as defined below) or potential acquisition proposal or interest or potential interest with respect thereto, or otherwise cooperate
with, assist or participate in, or facilitate any acquisition inquiries. Within one business day after the no-shop period start date, we were required to
notify Parent in writing of the identity of each person from whom we received an acquisition proposal during such period and provide to Parent a list
identifying each excluded party (as defined below) as of the no-shop period start date and an unredacted copy of any acquisition proposal made in
writing and a written summary of the material terms and conditions of any acquisition proposal not made in writing.
For purposes of the merger agreement:
 
•
“Acquisition inquiry” means an inquiry, indication of interest or request for information or discussions from a third party that
constitutes, or could reasonably be expected to lead to, an acquisition proposal.
 
7Table of Contents
•
“Acquisition proposal” means any proposal or offer from any third party relating to, in a single transaction or series of related
transactions: (1) any direct or indirect acquisition or issuance (whether by merger, consolidation or otherwise) of 20% or more of any
class of our equity interests (by vote or by value) by any third party; (2) any merger, consolidation, business combination,
reorganization, share exchange, sale of assets, recapitalization, equity investment, joint venture, liquidation, dissolution or other
transaction that would result in any third party acquiring assets (including capital stock of or interest in any of our subsidiaries or
affiliates) representing, directly or indirectly, 20% or more of the consolidated assets of us or our subsidiaries, taken as a whole (as
determined on a fair market value basis (including Indebtedness secured solely by such assets)); (3) the acquisition (whether by
merger, consolidation, equity investment, share exchange, joint venture or otherwise) by any third party, directly or indirectly, of any
class of equity interest in any entity that holds assets representing, directly or indirectly, 20% or more of the consolidated assets of us
or our subsidiaries, taken as a whole (as determined on a book value basis (including indebtedness secured solely by such assets)); (4)
any merger, consolidation, share exchange, business combination, joint venture, recapitalization, reorganization, sale or purchase or
other similar transaction involving us, or any tender offer or exchange offer, as such terms are defined under the Exchange Act, that, if
consummated, would result in any third party beneficially owning 20% or more of the outstanding shares of our common stock (or any
class of our voting securities); (5) any other transaction or series of related transactions pursuant to which any third party proposes to
acquire control of assets of us or our subsidiaries having a fair market value equal to or greater than 20% of the fair market value of all
of the assets of us or our subsidiaries, taken as a whole, immediately prior to such transaction; or (6) any combination of the foregoing.
 
•
“Excluded party” means a person or group of persons from whom we or any of our representatives have received a bona fide written
acquisition proposal after the date of the merger agreement and prior to the no-shop period start date, which written acquisition
proposal our board of directors has determined in good faith prior to the no-shop period start date (after consultation with its outside
legal counsel and financial advisors) constitutes or could reasonably be expected to lead to a superior proposal (a “qualified
proposal”).
The “No-Shop” Period: No Solicitation of Acquisition Proposals
Under the terms of the merger agreement, from and after the no-shop period start date, except as permitted for any excluded party (for so long
as such person or group is an excluded party) or as permitted pursuant to certain exceptions, we have agreed that, among other things, we will cease
any solicitations, discussions, negotiations or communications with any person that may be ongoing with respect to any acquisition proposal and
will not solicit, initiate, knowingly encourage or knowingly facilitate the submission or announcement or any acquisition proposal or acquisition
inquiry, furnish any non-public information regarding us or our subsidiaries to any third party with respect to any acquisition proposal or
acquisition inquiry, engage in or otherwise participate in any discussions or negotiations with any third party with respect to any acquisition
proposal or acquisition inquiry or otherwise knowingly facilitate any effort or attempt to make an acquisition proposal or acquisition inquiry.
However, we may, on or after the no-shop period start date and prior to obtaining the stockholder approval, engage in, enter into or otherwise
participate in discussions or negotiations with, and furnish non-public information to, a third party which has made an acquisition proposal if our
board of directors determines in good faith, after consultation with its independent financial advisors and outside legal counsel, that such
acquisition proposal (if consummated in accordance with its terms) either constitutes superior proposal or could reasonably be expected to lead to a
superior proposal.
Prior to obtaining the stockholder approval, our board of directors may, in certain circumstances, effect a change in recommendation (as
defined under “The Merger Agreement—Acquisition Proposals and Obligations
 
8
Table of Contents
of the Board of Directors with Respect to its Recommendation—Obligations of the Board of Directors with Respect to its Recommendation”),
subject to complying with specified notice requirements to Parent and other conditions set forth in the merger agreement.",13,15
