Document,Section Header,Section Text,Start Page,End Page
"Sailpoint Technologies Holdings, Inc._20220531_DEFM14A_20138375_4470787.Pdf",SUMMARY,"SUMMARY
This summary highlights selected information from this proxy statement related to the merger of Project Hotel California Merger Sub, Inc. with and
into SailPoint Technologies Holdings, Inc. (the “Merger”) and may not contain all of the information that is important to you. To understand the
Merger more fully and for a more complete description of the legal terms of the Merger, you should carefully read and consider this entire proxy
statement and the annexes to this proxy statement, including, but not limited to, the Merger Agreement (as defined below), along with all of the
documents to which we refer in this proxy statement, as they contain important information about, among other things, the Merger and how it
affects you. You may obtain the information incorporated by reference in this proxy statement without charge by following the instructions under
the caption “Where You Can Find More Information.” The Merger Agreement is attached as Annex A to this proxy statement. You should carefully
read and consider the entire Merger Agreement, which is the legal document that governs the Merger.
Except as otherwise specifically noted in this proxy statement, “SailPoint,” “we,” “our,” “us,” the “Company” and similar words refer to
SailPoint Technologies Holdings, Inc. Throughout this proxy statement, we refer to Project Hotel California Holdings, LP as “Parent” and Project
Hotel California Merger Sub, Inc. as “Merger Sub.” In addition, throughout this proxy statement, we refer to the Agreement and Plan of Merger,
dated April 10, 2022, by and among Parent, Merger Sub and SailPoint as the “Merger Agreement,” our common stock, par value $0.0001 per
share, as “SailPoint common stock,” and the holders of SailPoint common stock as “SailPoint Stockholders.” Unless indicated otherwise, any
other capitalized term used herein but not otherwise defined herein has the meaning assigned to such term in the Merger Agreement.
Parties Involved in the Merger",10,10
"Sailpoint Technologies Holdings, Inc._20220531_DEFM14A_20138375_4470787.Pdf",Parties Involved in the Merger,"Parties Involved in the Merger
SailPoint Technologies Holdings, Inc.
SailPoint is the leader in identity security for the modern enterprise. Harnessing the power of our deep expertise combined with machine learning,
SailPoint automates the management and control of access, delivering only the required access to the right identities and technology resources at
the right time. Our sophisticated identity platform seamlessly integrates with existing systems and workflows, providing the singular view into all
identities and their access. We meet customers where they are with an intelligent identity solution that matches the scale, velocity and
environmental needs of the modern enterprise. SailPoint empowers the most complex enterprises worldwide to build a security foundation grounded
in identity security. SailPoint common stock is listed on the New York Stock Exchange (“NYSE”) under the symbol “SAIL.”
Project Hotel California Holdings, LP
Parent was formed on April 1, 2022, solely for the purpose of engaging in the transactions contemplated by the Merger Agreement, and has not
engaged in any business activities other than in connection with the transactions contemplated by the Merger Agreement and arranging of the
equity financing and debt financing in connection with the Merger.
Project Hotel California Merger Sub, Inc.
Merger Sub is a wholly owned subsidiary of Parent and was formed on April 1, 2022, solely for the purpose of engaging in the transactions
contemplated by the Merger Agreement, and has not engaged in any business activities other than in connection with the transactions
contemplated by the Merger Agreement and arranging of the equity financing and debt financing in connection with the Merger.
Parent and Merger Sub are affiliated with Thoma Bravo Fund XV, L.P. (the “Thoma Bravo Fund”), and Parent, Merger Sub and the Thoma Bravo
Fund are each affiliated with Thoma Bravo, L.P. (“Thoma Bravo”). Thoma
1Table of Contents
Bravo is a leading private equity firm focused on the software and technology-enabled services sectors. At the Effective Time (as defined in the
section of this proxy statement captioned “—The Merger”), the Surviving Corporation (as defined in the section of this proxy statement captioned
“—The Merger”), will be indirectly owned by the Thoma Bravo Fund and certain of its affiliates.
In connection with the transactions contemplated by the Merger Agreement, (1) the Thoma Bravo Fund has provided Parent with an equity
commitment and (2) Parent has obtained debt financing commitments from Golub Capital Markets LLC, Blackstone Alternative Credit Advisors LP,
Owl Rock Capital Advisors LLC, Marfic Investment Pte Ltd., Antares Holdings LP, Antares Capital LP, BlackRock Capital Investment Advisors, LLC,
Fortress Credit Corp., Macquarie Capital (USA) Inc., Macquarie PF Inc., Onex Falcon Direct Lending BDC Fund, LLC and Thoma Bravo Credit Fund
II, L.P. The amounts committed under the Financing Letters will be used to fund the aggregate purchase price required to be paid at the closing of
the Merger and to also fund certain other payments at the closing (including the Required Amounts (as defined in the section of this proxy
statement captioned “The Merger—Financing of the Merger”)), subject to the terms and conditions of the Merger Agreement. In addition, the
Thoma Bravo Fund has agreed to guarantee the payment of certain liabilities and obligations of Parent or Merger Sub under the Merger Agreement,
subject to an aggregate cap equal to $431.1 million, including any termination fee and amounts in respect of certain reimbursement and
indemnification obligations of Parent and Merger Sub for certain costs, expenses or losses incurred or sustained by SailPoint, as specified in the
Merger Agreement. For more information, please see the section of this proxy statement captioned “The Merger—Financing of the Merger.”
The Merger",10,11
"Sailpoint Technologies Holdings, Inc._20220531_DEFM14A_20138375_4470787.Pdf",The Merger,"The Merger
Upon the terms and subject to the conditions of the Merger Agreement, Merger Sub will merge with and into SailPoint and the separate corporate
existence of Merger Sub will cease, with SailPoint continuing as the surviving corporation and as a wholly owned subsidiary of Parent (the
“Surviving Corporation”). As a result of the Merger, SailPoint common stock will no longer be publicly traded and will be delisted from the NYSE. In
addition, SailPoint common stock will be deregistered under the Securities Exchange Act of 1934, as amended (the “Exchange Act”), and SailPoint
will no longer file periodic reports with the United States Securities and Exchange Commission (the “SEC”). If the Merger is completed, you will not
own any shares of the capital stock of the Surviving Corporation. The time at which the Merger will become effective will occur upon the filing of a
certificate of merger with the Secretary of State of the State of Delaware in accordance with the applicable provision of the General Corporation Law
of the State of Delaware (the “DGCL”) (the time of such filing and the acceptance for record by the Secretary of State of the State of Delaware, or
such later time as may be agreed in writing by Parent, Merger Sub and SailPoint and specified in the certificate of merger, the “Effective Time”).",11,11
"Sailpoint Technologies Holdings, Inc._20220531_DEFM14A_20138375_4470787.Pdf",Merger Consideration,"Merger Consideration
SailPoint Common Stock
At the Effective Time, each then outstanding share of SailPoint common stock (other than shares of SailPoint common stock (i) held by SailPoint as
treasury stock or otherwise, (ii) owned by Parent or Merger Sub, or (iii) owned by SailPoint Stockholders who have properly and validly exercised
their statutory rights of appraisal in respect of such shares of SailPoint common stock in accordance with Section 262 of the DGCL, collectively, the
“Excluded Shares”) will be cancelled and extinguished and automatically converted into the right to receive an amount in cash equal to $65.25,
without interest thereon (the “Per Share Merger Consideration”), less any applicable withholding taxes.
At or prior to the Effective Time, Parent will deposit (or cause to be deposited) an amount of cash equal to the aggregate Per Share Merger
Consideration with a designated payment agent for payment of each share of
2Table of Contents
SailPoint common stock owned by each SailPoint Stockholder. For more information, please see the section of this proxy statement captioned
“Proposal 1: Adoption of the Merger Agreement—Exchange and Payment Procedures.”
After the Merger is completed, you will have the right to receive the Per Share Merger Consideration, but you will no longer have any rights as a
SailPoint Stockholder (except that SailPoint Stockholders who properly exercise their appraisal rights may have the right to receive payment for the
“fair value” of their shares determined pursuant to an appraisal proceeding, as contemplated by Delaware law). For more information, please see the
section of this proxy statement captioned “The Merger—Appraisal Rights.”
Treatment of Company Equity Awards
Company Options
Each option to purchase shares of SailPoint common stock (each, a “Company Option”) that is vested in accordance with its terms and outstanding
as of immediately prior to the Effective Time (each, a “Vested Company Option”) will, automatically and without any required action on the part of
the holder thereof, be cancelled and converted into the right to receive an amount in cash, without interest, equal to the product obtained by
multiplying (x) the excess, if any, of (i) the Per Share Merger Consideration over (ii) the per share exercise price for such Vested Company Option by
(y) the total number of shares of SailPoint common stock underlying such Vested Company Option, subject to any required withholding of taxes.
Each Company Option that is outstanding as of immediately prior to the Effective Time and that is not a Vested Company Option (each, an
“Unvested Company Option”) will, automatically and without any required action on the part of the holder thereof, be converted into the contingent
right to receive an amount in cash, without interest, equal to the product obtained by multiplying (x) the excess, if any, of (i) the Per Share Merger
Consideration over (ii) the per share exercise price for such Unvested Company Option by (y) the total number of shares of SailPoint common stock
underlying such Unvested Company Option (the “Unvested Company Option Consideration”). Subject to the holder’s continued service with
Parent and its affiliates (including the Surviving Corporation and its subsidiaries) through the applicable vesting dates, such Unvested Company
Option Consideration amounts will vest and become payable at the same time as the Unvested Company Option from which such Unvested
Company Option Consideration was converted would have vested pursuant to its terms and, subject to certain exceptions, will otherwise remain
subject to the same terms and conditions as were applicable to the underlying Unvested Company Option immediately prior to the Effective Time
with respect to the receipt of the Unvested Company Option Consideration.
Company RSUs
Each restricted stock unit award in respect of shares of SailPoint common stock (each, a “Company RSU”) that is outstanding as of immediately prior
to the Effective Time and either (x) held by a non-employee member of the Board of Directors or (y) vested in accordance with its terms as of the
Effective Time (each, a “Vested Company RSU”) will, automatically and without any required action on the part of the holder thereof, be cancelled
and converted into the right to receive an amount in cash, without interest, equal to the product obtained by multiplying (x) the total number of
shares of SailPoint common stock underlying such Vested Company RSU by (y) the Per Share Merger Consideration, subject to any required
withholding of taxes.
Each Company RSU that is outstanding as of immediately prior to the Effective Time and not a Vested Company RSU (each, an “Unvested Company
RSU”) will, automatically and without any required action on the part of the holder thereof, be converted into the contingent right to receive an
amount in cash, without interest, equal to the product obtained by multiplying (x) the total number of shares of SailPoint common stock underlying
such Company RSU by (y) the Per Share Merger Consideration (the “Unvested Company RSU Consideration”).
3
Table of Contents
Subject to the holder’s continued service with Parent and its affiliates (including the Surviving Corporation and its subsidiaries) through the
applicable vesting dates, such Unvested Company RSU Consideration amounts will vest and become payable at the same time as the Unvested
Company RSU from which such Unvested Company RSU Consideration was converted would have vested pursuant to its terms and, subject to
certain exceptions, will otherwise remain subject to the same terms and conditions as were applicable to the underlying Unvested Company RSU
immediately prior to the Effective Time with respect to the receipt of the Unvested Company RSU Consideration.
Treatment of Company ESPP
In accordance with the terms of the Merger Agreement, on April 10, 2022 , the Board of Directors adopted resolutions providing that, with respect to
the SailPoint Employee Stock Purchase Plan (the “Company ESPP”), (i) participation in the Company ESPP will be limited to those employees who are
participants on the date of the Merger Agreement, (ii) participants may not increase their payroll deduction elections or rate of contributions from
those in effect on the date of the Merger Agreement or make any separate non-payroll contributions to the Company ESPP on or following the date
of the Merger Agreement, (iii) no offering period will be commenced after the date of the Merger Agreement, (iv) each then outstanding purchase
right shall be exercised as of the earlier of (A) the end of the offering period in effect on the date of the Merger Agreement or (B) ten (10) days prior
to the date on which the Effective Time occurs, and (v) the Company ESPP will terminate immediately prior to, but contingent upon the occurrence
of, the Effective Time, but subsequent to the exercise of purchase rights on such purchase date (in accordance with the terms of the Company
ESPP). On such exercise date, SailPoint will apply the funds credited as of such date pursuant to the Company ESPP within each participant’s payroll
withholding account to the purchase of whole shares of SailPoint common stock in accordance with the terms of the Company ESPP and each share
purchased thereunder immediately prior to the Effective Time will be canceled at the Effective Time and converted into the right to receive the Per
Share Merger Consideration, subject to withholding of any applicable withholding taxes. Any accumulated contributions of each participant under
the Company ESPP as of immediately prior to the Effective Time will, to the extent not used to purchase shares in accordance with the terms and
conditions of the Company ESPP, be refunded to such participant as promptly as practicable following the Effective Time (without interest).
Treatment of Convertible Securities",11,13
"Sailpoint Technologies Holdings, Inc._20220531_DEFM14A_20138375_4470787.Pdf",Treatment of Convertible Securities,"Treatment of Convertible Securities
The Merger Agreement provides that, on the date on which the closing of the Merger occurs (the “Closing Date”), Parent, Merger Sub and SailPoint
are required, as and to the extent required by the Convertible Notes Indenture (as defined in the section of this proxy statement captioned “—
Financing of the Merger”), to execute, and use reasonable best efforts to cause the trustee to execute, any supplemental indenture(s) required by the
Convertible Notes Indenture and deliver any certificates and other documents required by the Convertible Notes Indenture to be delivered by such
persons in connection with such supplemental indenture(s). SailPoint is required to use its reasonable best efforts to provide Parent and its counsel
reasonable opportunity to review and comment on any notices, certificates, press releases, supplemental indentures, or other documents or
instruments deliverable pursuant to the Convertible Notes Indenture prior to the dispatch or making thereof and to incorporate all reasonable
comments provided by Parent and its counsel with respect thereto.
Prior to the Effective Time, SailPoint is required to (i) use reasonable best efforts to facilitate the settlement of the Capped Call Transactions (as
defined in the section of this proxy statement captioned “The Merger—Capped Call Transactions”) at or promptly following the Effective Time as
reasonably requested by Parent and (ii) use reasonable best efforts to cooperate with Parent with respect to Parent’s efforts to negotiate any
termination payments or valuations related to the settlement of the Capped Call Transactions that is effective at or after the Effective Time; provided
that SailPoint will not (x) agree to amend, modify or waive any terms relating to, or agree to any amount due upon the termination or settlement of,
the Capped Call Transactions (except for amounts
4Table of Contents
due upon exercise or termination of the Capped Call Transactions in accordance with their terms in connection with conversions of the Convertible
Notes prior to the Effective Time) or (y) initiate or continue discussions or negotiations with the counterparties to the Capped Call Transactions or
any of their respective affiliates or any other person regarding termination or settlement of the Capped Call Transactions, in each case, without the
prior written consent of Parent, and to the extent any such discussions or negotiations have occurred prior to date hereof, provide Parent with
reasonable detail regarding the substance of all such discussions or negotiations and copies of any documentation sent or received in connection
therewith (however, limitations in the immediately preceding clauses (x) and (y) will not apply to any modification, adjustment or termination made
unilaterally by any of the counterparties to the Capped Call Transactions pursuant to the terms of the applicable Capped Call Confirmations (as
defined in the section of this proxy statement captioned “The Merger—Capped Call Transactions”) or conditioned on termination or abandonment
of the Merger Agreement); and nothing in the Merger Agreement requires SailPoint to (A) make any payment with respect to the termination or
settlement of any Capped Call Transaction as a result of the Merger prior to the occurrence of the Effective Time or (B) enter into any instrument or
agreement relating to the termination or settlement of the Capped Call Transactions, or agree to any change or modification to any Capped Call
Confirmations, that is effective prior to the Effective Time. SailPoint is required to promptly provide Parent with all written notices or other
documents received by it with respect to any determination, cancellation, termination, exercise, settlement, adjustment or computation under, or in
connection with any discussions or negotiations related to, the Capped Call Transactions and granted permission to Parent and its counsel and
advisors to, at any time, initiate and engage in discussions and negotiations with the counterparties to the Capped Call Transactions regarding the
settlement of the Capped Call Transactions at or promptly following the Effective Time and the terms of such settlement; provided that SailPoint and
its counsel will, to the extent reasonably practicable, have a reasonable opportunity to participate in such discussions and negotiations.
Prior to the Effective Time, SailPoint is required to take all actions as may be required by the terms of the applicable Capped Call Transactions or
applicable law, including the giving of any written notices or communication in connection with the Merger and/or any conversions and/or
repurchases of the Convertible Notes or any adjustment under the Convertible Notes Indenture or occurring as a result of or in connection with the
transactions contemplated by the Merger Agreement. SailPoint is required to use its reasonable best efforts to provide Parent and its counsel
reasonable time and opportunity to review any such written notice or communication prior to the dispatch or making thereof and shall incorporate all
reasonable comments provided by Parent and its counsel with respect thereto.",13,14
"Sailpoint Technologies Holdings, Inc._20220531_DEFM14A_20138375_4470787.Pdf",U.S. Federal Income Tax Consequences of the Merger,"U.S. Federal Income Tax Consequences of the Merger
The receipt of cash by SailPoint Stockholders in exchange for shares of SailPoint common stock in the Merger will be a taxable transaction for U.S.
federal income tax purposes. Such receipt of cash by a U.S. Holder (as defined in the section of this proxy statement captioned “The Merger—U.S.
Federal Income Tax Consequences of the Merger”) generally will result in the recognition of gain or loss in an amount equal to the difference, if any,
between the amount of cash that such U.S. Holder receives in the Merger and such U.S. Holder’s adjusted tax basis in the shares of SailPoint
common stock surrendered pursuant to the Merger.
A Non-U.S. Holder (as defined in the section of this proxy statement captioned “The Merger—U.S. Federal Income Tax Consequences of the
Merger”) generally will not be subject to U.S. federal income tax with respect to the exchange of SailPoint common stock for cash in the Merger
unless such Non-U.S. Holder has certain connections to the United States, but may be subject to backup withholding tax unless the Non-U.S.
Holder complies with certain certification procedures or otherwise establishes a valid exemption from backup withholding tax.
SailPoint Stockholders should read the section of this proxy statement captioned “The Merger—U.S. Federal Income Tax Consequences of the
Merger.”
5Table of Contents
SailPoint Stockholders should consult their tax advisors concerning the U.S. federal income tax consequences relating to the Merger in light of their
particular circumstances and any consequences arising under the laws of any state, local or non-U.S. tax jurisdiction.",14,15
"Sailpoint Technologies Holdings, Inc._20220531_DEFM14A_20138375_4470787.Pdf",Appraisal Rights,"Appraisal Rights
If the Merger is consummated and certain conditions are met, SailPoint Stockholders who continuously hold shares of SailPoint common stock
through the Effective Time, who do not vote in favor of the adoption of the Merger Agreement and who properly demand appraisal of their shares
and who do not withdraw their demands or otherwise lose their rights to seek appraisal will be entitled to seek appraisal of their shares in connection
with the Merger under Section 262 of the DGCL. This means that SailPoint Stockholders may be entitled to have their shares of SailPoint common
stock appraised by the Delaware Court of Chancery, and to receive payment in cash of the “fair value” of their shares of SailPoint common stock,
exclusive of any elements of value arising from the accomplishment or expectation of the Merger, together with interest to be paid on the amount
determined to be “fair value,” if any, as determined by the court (or in certain circumstances described in further detail in the section of this proxy
statement captioned “The Merger—Appraisal Rights,” on the difference between the amount determined to be the “fair value” and the amount paid
by the Surviving Corporation in the Merger to each SailPoint Stockholder entitled to appraisal prior to the entry of judgment in any appraisal
proceeding). Due to the complexity of the appraisal process, SailPoint Stockholders who wish to seek appraisal of their shares are encouraged to
seek the advice of legal counsel with respect to the exercise of appraisal rights.
SailPoint Stockholders considering seeking appraisal should be aware that the “fair value” of their shares as determined pursuant to Section 262 of
the DGCL could be more than, the same as, or less than the value of the Per Share Merger Consideration that they would receive pursuant to the
Merger Agreement if they did not seek appraisal of their shares of SailPoint common stock.
To exercise appraisal rights, SailPoint Stockholders must: (i) submit a written demand for appraisal to SailPoint before the vote is taken on the
proposal to adopt the Merger Agreement; (ii) not submit a proxy or otherwise vote in favor of the proposal to adopt the Merger Agreement; (iii)
continue to hold shares of SailPoint common stock of record through the Effective Time; and (iv) strictly comply with all other procedures for
exercising appraisal rights under the DGCL. Failure to follow exactly the procedures specified under the DGCL may result in the loss of appraisal
rights. In addition, the Delaware Court of Chancery will dismiss appraisal proceedings in respect of SailPoint unless certain stock ownership
conditions are satisfied by SailPoint Stockholders seeking appraisal. The DGCL requirements for exercising appraisal rights are described in further
detail in this proxy statement, which is qualified in its entirety by Section 262 of the DGCL, the relevant section of the DGCL regarding appraisal
rights. A copy of Section 262 of the DGCL is reproduced in Annex C to this proxy statement. If you hold your shares of SailPoint common stock
through a bank, broker or other nominee and you wish to exercise appraisal rights, you should consult with your bank, broker or other nominee to
determine the appropriate procedures for the making of a demand for appraisal on your behalf by your bank, broker or other nominee. For more
information, please see the section of this proxy statement captioned “The Merger—Appraisal Rights.”
Regulatory Approvals Required for the Merger",15,15
"Sailpoint Technologies Holdings, Inc._20220531_DEFM14A_20138375_4470787.Pdf",Regulatory Approvals Required for the Merger,"Regulatory Approvals Required for the Merger
HSR Act, U.S. Antitrust Matters and Other Regulatory Approvals
Under the Merger Agreement, the Merger cannot be completed until the applicable waiting period under the Hart-Scott-Rodino Antitrust
Improvements Act of 1976, as amended (the “HSR Act”), has expired or been terminated. SailPoint and Thoma Bravo made the filings required under
the HSR Act on April 29, 2022. The applicable waiting period under the HSR Act is scheduled to expire at 11:59 p.m., Eastern time on May 31, 2022.
6Table of Contents
Completion of the Merger is further subject to the receipt of approval, clearance or expiration of the applicable review periods under the foreign
investment laws of Australia and the United Kingdom.
For more information, please see the section of this proxy statement captioned “The Merger—Regulatory Approvals Required for the Merger.”
Closing Conditions",15,16
"Sailpoint Technologies Holdings, Inc._20220531_DEFM14A_20138375_4470787.Pdf",Closing Conditions,"Closing Conditions
The obligations of SailPoint, Parent and Merger Sub, as applicable, to consummate the Merger are subject to the satisfaction or waiver of customary
conditions, including (among other conditions), the following:
•
the adoption of the Merger Agreement by the requisite affirmative vote of SailPoint Stockholders;
•
the expiration or termination of the applicable waiting period under the HSR Act;
•
the expiration of the applicable review periods under, or the receipt of approvals or clearances under, the relevant foreign investment
laws of Australia and the United Kingdom;
•
the absence of any laws or court orders making the Merger illegal or otherwise prohibiting the Merger;
•
in the case of Parent and Merger Sub, the absence, since the date of the Merger Agreement, of any continuing change, event, effect or
circumstance at SailPoint that is or would reasonably be expected to be materially adverse (with certain limitations) to the business,
financial condition or results of operations of SailPoint and its subsidiaries, taken as a whole;
•
the accuracy of the representations and warranties of SailPoint, Parent and Merger Sub in the Merger Agreement, subject to materiality
qualifiers and monetary thresholds, as of the Effective Time or the date in respect of which such representation or warranty was
specifically made;
•
the performance in all material respects by SailPoint, Parent and Merger Sub of their respective obligations required to be performed by
them under the Merger Agreement at or prior to the Effective Time;
•
the receipt by Parent of a certificate of SailPoint, dated as of the Closing Date and signed by their respective president or chief
executive officer, certifying that the conditions described in the preceding seven bullets have been satisfied; and
•
the receipt by SailPoint of a certificate of Parent and Merger Sub, dated as of the Closing Date and signed by their respective president
or chief executive officer, certifying that the conditions described in the preceding eight bullets have been satisfied.
Financing of the Merger",16,16
"Sailpoint Technologies Holdings, Inc._20220531_DEFM14A_20138375_4470787.Pdf",Financing of the Merger,"Financing of the Merger
We presently anticipate that the total funds needed to complete the Merger and the related transactions will be approximately $7.5 billion, which will
be funded via equity and debt financing described below together with SailPoint’s cash on hand as of the Closing Date.
The obligation of Parent and Merger Sub to consummate the Merger is not subject to any financing condition. Parent and Merger Sub have
represented to SailPoint that they will have available to them, together with SailPoint’s cash on hand, sufficient funds to pay the fees and expenses
required to be paid at the closing of the Merger by Parent and Merger Sub under the Merger Agreement. This includes funds needed to: (1) pay
SailPoint Stockholders the amounts due under the Merger Agreement for their SailPoint common stock, (2) make payments in respect of our
outstanding Company Options payable at the closing of the Merger pursuant to the Merger Agreement and (3) make payments of all amounts
required to be paid in connection with the Merger
7Table of Contents
pursuant to that certain Indenture, dated as of September 24, 2019, between SailPoint and U.S. Bank National Association, as trustee (the
“Convertible Notes Indenture”), and the 0.125% Convertible Senior Notes due 2024 issued pursuant thereto (the “Convertible Notes”) (collectively,
the “Required Amounts”).
The Thoma Bravo Fund has committed to contribute or cause to be contributed to Parent at the closing of the Merger certain equity financing,
subject to the terms and conditions set forth in an equity commitment letter, dated as of April 10, 2022 (the “Equity Commitment Letter”). SailPoint is
an intended and express third-party beneficiary of the Equity Commitment Letter solely with respect to enforcing Parent’s right to cause the
commitment under the Equity Commitment Letter by the Thoma Bravo Fund to be funded to Parent in accordance with the Equity Commitment
Letter, and to cause Parent to enforce its rights against the Thoma Bravo Fund to perform its funding obligations under the Equity Commitment
Letter, in each case subject to (i) the limitations and conditions set forth in the Equity Commitment Letter and (ii) the terms and conditions of the
Merger Agreement.
Pursuant to the limited guaranty delivered by the Thoma Bravo Fund in favor of SailPoint, dated as of April 10, 2022 (the “Guaranty”), the Thoma
Bravo Fund has agreed to guarantee the payment of certain liabilities and obligations of Parent or Merger Sub under the Merger Agreement, subject
to an aggregate cap equal to $431.1 million, including any termination fee and amounts in respect of certain reimbursement and indemnification
obligations of Parent and Merger Sub for certain costs, expenses or losses incurred or sustained by SailPoint, as specified in the Merger Agreement.
In addition, in connection with the Merger Agreement, Merger Sub entered into a debt commitment letter, dated as of April 10, 2022 (as amended,
supplemented or otherwise modified, the “Debt Commitment Letter” and, together with the Equity Commitment Letter, the “Financing Letters”) with
Golub Capital Markets LLC, Blackstone Alternative Credit Advisors LP, Owl Rock Capital Corporation, Marfic Investment Pte Ltd., Antares Holdings
LP, Antares Capital LP, BlackRock Capital Investment Advisors, LLC, Fortress Credit Corp., Macquarie Capital (USA) Inc., Macquarie PF Inc., Onex
Falcon Direct Lending BDC Fund, LLC and Thoma Bravo Credit Fund II, L.P. (the “Lenders”), pursuant to which the Lenders have committed to
provide, upon certain terms and subject to certain conditions, Parent and Merger Sub with Debt Financing (as defined in the section of this proxy
statement captioned “The Merger—Financing of the Merger”). For more information, please see the section of this proxy statement captioned “The
Merger—Financing of the Merger.”
Pursuant to the Merger Agreement, Parent shall use reasonable best efforts to, and shall cause its subsidiaries to use reasonable best efforts to take,
or cause to be taken, all actions, and do, or cause to be done, all things necessary, proper or advisable to arrange and consummate the financing
described in the Financing Letters on the terms (including any market “flex” provisions) set forth in the Financing Letters. For more information,
please see the section of this proxy statement captioned “The Merger—Cooperation with Debt Financing.”
SailPoint has agreed to use its reasonable best efforts to provide, and to cause its subsidiaries (and their respective representatives) to use their
reasonable best efforts to provide, to Parent and Merger Sub such cooperation as is customary and reasonably requested by Parent in connection
with the arrangement of the financing contemplated by the Debt Commitment Letter, subject to the terms set forth in the Merger Agreement. For
more information, please see the section of this proxy statement captioned “The Merger—Cooperation with Debt Financing.”
Required Stockholder Approval",16,17
