Document,Section Header,Section Text,Start Page,End Page
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf",TRANSACTION SUMMARY,"TRANSACTION SUMMARY
Except as otherwise specifically noted in this proxy statement, “Sumo Logic,” “we,” “our,” “us” and similar words
refer to Sumo Logic, Inc., including, in certain cases, Sumo Logic’s subsidiaries. Throughout this proxy statement, the
“Sumo Logic Board” refers to Sumo Logic’s Board of Directors. Throughout this proxy statement, we refer to
Serrano Parent, LLC, as “Parent,” and Serrano Merger Sub, Inc., as “Merger Sub.” In addition, throughout this proxy
statement we refer to the Agreement and Plan of Merger (as it may be amended from time to time), dated February 9,
2023, between Parent, Merger Sub, and Sumo Logic as the “merger agreement.”
This summary highlights selected information from this proxy statement related to the proposed merger of Merger
Sub (a wholly owned subsidiary of Parent) with and into Sumo Logic with Sumo Logic surviving and continuing
as a wholly owned subsidiary of Parent. We refer to that transaction as the “merger.”
This proxy statement may not contain all of the information that is important to you. To understand the merger more
fully and for a complete description of its legal terms, you should carefully read this proxy statement, including the
annexes to this proxy statement and the other documents to which we refer in this proxy statement. You may obtain
the information incorporated by reference in this proxy statement without charge by following the instructions in
the section of this proxy statement captioned “Where You Can Find More Information.” A copy of the merger
agreement is attached as Annex A to this proxy statement. We encourage you to read the merger agreement, which is
the legal document that governs the merger, carefully and in its entirety.
Introduction",11,11
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf",Introduction,"Introduction
On February 9, 2023, Sumo Logic agreed to be acquired by affiliates of Francisco Partners Management, L.P. (which
we refer to as “Francisco Partners”). Francisco Partners is a leading global investment firm that specializes in
partnering with technology businesses. If the merger is completed, each outstanding share of Sumo Logic common
stock will be converted into the right to receive an amount in cash equal to $12.05 per share (subject to certain
exceptions).
Parties Involved in the Merger",11,11
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf",Parties Involved in the Merger,"Parties Involved in the Merger
Sumo Logic
Sumo Logic empowers the people who power modern, digital businesses. Sumo Logic’s mission is to be the leading
software-as-a-service analytics platform for reliable and secure cloud-native applications. With its platform, Sumo
Logic helps customers ensure application reliability, secure, and protect against modern security threats, and gain
insights into their cloud infrastructure. Sumo Logic’s multi-tenant, cloud-native platform provides powerful, real-time,
machine data analytics and insights across observability and security solutions.
Sumo Logic common stock is listed on the Nasdaq Global Select Market (which we refer to as the “Nasdaq”) under
the symbol “SUMO.” Sumo Logic’s corporate offices are located at 855 Main Street, Suite 100, Redwood City,
California 94063, and its telephone number is (650) 670-8002.
Serrano Parent, LLC
Parent was formed on February 3, 2023, solely for the purpose of engaging in the transactions contemplated by the
merger agreement. Parent has not engaged in any business activities other than as incidental to its formation and in
connection with the transactions contemplated by the merger agreement and arranging of the equity financing and
any debt financing in connection with the merger.
Parent’s address is c/o Francisco Partners Management, L.P., One Letterman Drive, Building C - Suite 410, San
Francisco, California 94129, and its telephone number is (415) 418-2900.
Serrano Merger Sub, Inc.
Merger Sub is a wholly owned subsidiary of Parent and was formed on February 3, 2023, solely for the purpose of
engaging in the transactions contemplated by the merger agreement. Merger Sub has not engaged in any business
activities other than as incidental to its formation and in connection with the transactions contemplated by the
merger agreement and arranging of the equity financing and any debt financing in connection with the merger. Upon
completion of the merger, Merger Sub will cease to exist and Sumo Logic will continue as the surviving corporation.
1TABLE OF CONTENTS
Merger Sub’s address is c/o Francisco Partners Management, L.P., One Letterman Drive, Building C - Suite 410, San
Francisco, California 94129, and its telephone number is (415) 418-2900.
Francisco Partners
Francisco Partners is a leading global investment firm that specializes in partnering with technology businesses.
Francisco Partners’ address is c/o Francisco Partners Management, L.P., One Letterman Drive, Building C - Suite 410,
San Francisco, California 94129, and its telephone number is (415) 418-2900.
Parent and Merger Sub are each affiliated with Francisco Partners VI, L.P., Francisco Partners VI-A, L.P., Francisco
Partners VI-B, L.P., Francisco Partners VI-C, L.P., and Francisco Partners VI-D, L.P. (which we refer to collectively as
the “Guarantors”). In connection with the transactions contemplated by the merger agreement, the Guarantors have
committed to capitalize Parent on the closing date of the merger (which we refer to as the “closing”) on the terms and
subject to the conditions set forth in an equity commitment letter. This amount, together with Sumo Logic’s cash on
hand at closing, will be sufficient to fund the aggregate purchase price and the other payments contemplated by the
merger agreement (in each case, pursuant to certain terms and conditions as described further in this proxy statement
under the caption “The Merger-Financing of the Merger”).",11,12
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf",Effect of the Merger,"Effect of the Merger
Upon the terms and subject to the conditions of the merger agreement, and in accordance with the General
Corporation Law of the State of Delaware (which we refer to as the “DGCL”), at the effective time of the merger: (1)
Merger Sub will merge with and into Sumo Logic; (2) the separate corporate existence of Merger Sub will cease; and
(3) Sumo Logic will continue as the surviving corporation of the merger and as a wholly owned subsidiary of Parent.
Throughout this proxy statement, we use the term “surviving corporation” to refer to Sumo Logic as the surviving
corporation following the merger.
As a result of the merger, Sumo Logic will cease to be a publicly traded company. If the merger is completed, you will
not own any shares of capital stock of the surviving corporation as a result of the merger.
The time at which the merger becomes effective (which we refer to as the “effective time of the merger”) will occur
upon the filing of a certificate of merger with, and acceptance of that certificate by, the Secretary of State of the State
of Delaware (or at a later time as Sumo Logic, Parent, and Merger Sub may agree and specify in the certificate of
merger).
Per Share Price",12,12
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf",Per Share Price,"Per Share Price
Upon the terms and subject to the conditions set forth in the merger agreement, at the effective time of the merger,
each share of Sumo Logic common stock that is issued and outstanding as of immediately prior to the effective time
of the merger (other than excluded shares) will be automatically converted into the right to receive an amount in cash
equal to $12.05, less any applicable withholding taxes. We refer to this amount as the “per share price.” By “excluded
shares” we mean shares of Sumo Logic common stock that are (1) held by Sumo Logic as treasury stock; (2) owned
by Parent or Merger Sub; (3) owned by any direct or indirect wholly owned subsidiary of Parent or Merger Sub as of
immediately prior to the effective time of the merger; or (4) held by persons who have (a) neither voted in favor of the
adoption of the merger agreement or the merger nor consented thereto in writing; and (b) properly demanded
appraisal of such shares of Sumo Logic common stock pursuant to, and in accordance with, Section 262 of the DGCL.
At or prior to the closing, an amount of cash will be deposited with a designated payment agent that is sufficient to
pay the aggregate per share price. Once a stockholder has provided the payment agent with any documentation
required by the payment agent, the payment agent will pay the stockholder the appropriate portion of the aggregate
per share price in exchange for the shares of Sumo Logic common stock held by that stockholder. For more
information, see the section of this proxy statement captioned “The Merger Agreement-Payment Agent, Exchange
Fund and Exchange and Payment Procedures.”
After the merger is completed, you will have the right to receive the per share price for each share of Sumo Logic
common stock that you own, but you will no longer have any rights as a stockholder (except that Sumo Logic’s
stockholders holding shares with respect to which an appropriate person has properly and validly exercised and
perfected, and has not validly withdrawn or otherwise lost, their appraisal rights will have the right to receive a
payment for the “fair value” of their shares as determined pursuant to an appraisal proceeding as contemplated by
the DGCL, as described in the section of this proxy statement captioned “The Merger-Appraisal Rights”).
2TABLE OF CONTENTS
The Special Meeting",12,13
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf",The Special Meeting,"The Special Meeting
Date, Time, and Place
A special meeting of Sumo Logic’s stockholders will be held on May 10, 2023, at 10:00 a.m., Pacific time. You may
a t t e n d  t h i s  s p e c i a l  m e e t i n g  s o l e l y  v i a  a  l i v e  i n t e r a c t i v e  w e b c a s t  o n  t h e  i n t e r n e t  a t
www.virtualshareholdermeeting.com/SUMO2023SM. We refer to this special meeting, and any adjournment,
postponement, or other delay of this special meeting, as the “special meeting.” You will need the control number
found on your proxy card or voting instruction form in order to participate in the special meeting (including voting
your shares). We believe that a virtual meeting provides expanded access, improved communication, and cost
savings for Sumo Logic’s stockholders.
Purpose
At the special meeting, we will ask stockholders to vote on proposals to: (1) adopt the merger agreement; (2) approve,
on a non-binding, advisory basis, the compensation that will or may become payable by Sumo Logic to Sumo Logic’s
named executive officers in connection with the merger; and (3) adjourn the special meeting, from time to time, to a
later date or dates, if necessary or appropriate, to solicit additional proxies if there are insufficient votes to adopt the
merger agreement at the time of the special meeting.
Record Date; Shares Entitled to Vote
You are entitled to vote at the special meeting if you owned shares of Sumo Logic common stock as of the close of
business on April 3, 2023 (which we refer to as the “record date”). For each share of Sumo Logic common stock that
you owned as of the close of business on the record date, you will have one vote on each matter submitted for a vote
at the special meeting.
Quorum
As of the record date, there were 124,088,187 shares of Sumo Logic common stock outstanding and entitled to vote at
the special meeting. The holders of a majority of the voting power of the capital stock of Sumo Logic issued and
outstanding and entitled to vote, present in person or represented by proxy, shall constitute a quorum.
Required Vote
The proposals to be voted on at the special meeting require the following votes:
•
Proposal 1: Approval of the proposal to adopt the merger agreement requires the affirmative vote of the
holders of a majority of the issued and outstanding shares of Sumo Logic common stock as of the record
date and entitled to vote on the proposal.
•
Proposal 2: Approval of the proposal to approve the compensation that will or may become payable by
Sumo Logic to Sumo Logic’s named executive officers in connection with the merger requires the
affirmative vote of a majority of the voting power of the shares of Sumo Logic common stock present in
person or represented by proxy at the special meeting and entitled to vote on the proposal. This vote will
be on a non-binding, advisory basis.
•
Proposal 3: Approval of the proposal to adjourn the special meeting to a later date or dates to solicit
additional proxies if there are insufficient votes to adopt the merger agreement at the time of the special
meeting requires the affirmative vote of a majority of the voting power of the shares of Sumo Logic common
stock present in person or represented by proxy at the special meeting and entitled to vote on the proposal.
Voting and Proxies
Any stockholder of record entitled to vote at the special meeting may vote in any of the following ways:
•
by proxy, by returning a signed and dated proxy card (a prepaid reply envelope is provided for your
convenience);
•
by proxy, by granting a proxy electronically over the internet or by telephone (using the instructions found
on the proxy card); or
3TABLE OF CONTENTS
•
by attending the special meeting virtually and voting at the special meeting using the control number on
the enclosed proxy card.
If you are a stockholder of record, you may change your vote or revoke your proxy at any time before it is voted at
the special meeting by (1) signing another proxy card with a later date and returning it prior to the special meeting; (2)
submitting a new proxy electronically over the internet or by telephone after the date of the earlier submitted proxy;
(3) delivering a written notice of revocation to Sumo Logic’s Corporate Secretary; or (4) attending the special meeting
virtually and voting at the special meeting.
If you are a beneficial owner and hold your shares of Sumo Logic common stock in “street name” through a bank,
broker, or other nominee, you will receive instructions from your bank, broker, or other nominee that you must follow
in order to submit your voting instructions and have your shares counted at the special meeting. Under applicable
stock exchange rules, banks, brokers, or other nominees have the discretion to vote on routine matters, but not on
non-routine matters. THE PROPOSALS TO BE CONSIDERED AT THE SPECIAL MEETING ARE ALL NON-
ROUTINE MATTERS, AND BANKS, BROKERS, AND OTHER NOMINEES CANNOT VOTE ON THESE
PROPOSALS WITHOUT YOUR INSTRUCTIONS. THEREFORE, IT IS IMPORTANT THAT YOU CAST YOUR
VOTE OR INSTRUCT YOUR BANK, BROKER, OR NOMINEE ON HOW YOU WISH TO VOTE YOUR SHARES.
If you hold your shares of Sumo Logic common stock in “street name,” you should contact your bank, broker, or
other nominee for instructions regarding how to change your vote. You may also vote at the special meeting if you
obtain a “legal proxy” from your bank, broker, or other nominee giving you the right to vote your shares at the special
meeting.
Recommendation of the Sumo Logic Board and Reasons for the Merger",13,14
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf",Recommendation of the Sumo Logic Board and Reasons for the Merger,"Recommendation of the Sumo Logic Board and Reasons for the Merger
The Sumo Logic Board, after considering various factors described in the section of this proxy statement captioned
“The Merger-Recommendation of the Sumo Logic Board and Reasons for the Merger,” unanimously: (1) determined
that the merger agreement, and the transactions contemplated by the merger agreement, including the merger, are
advisable, fair to and in the best interests of Sumo Logic and its stockholders; and (2) adopted and approved the
merger agreement, the merger and the other transactions contemplated by the merger agreement in all respects.
The Sumo Logic Board unanimously recommends that you vote: (1) “FOR” the adoption of the merger agreement and
approval of the merger; (2) “FOR” the compensation that will or may become payable by Sumo Logic to Sumo Logic’s
named executive officers in connection with the merger; and (3) “FOR” the adjournment of the special meeting, from
time to time, to a later date or dates, if necessary or appropriate, to solicit additional proxies if there are insufficient
votes to adopt the merger agreement at the time of the special meeting.
Opinion of Morgan Stanley & Co. LLC",14,14
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf",Opinion of Morgan Stanley & Co. LLC,"Opinion of Morgan Stanley & Co. LLC
In connection with the merger, Sumo Logic retained Morgan Stanley & Co. LLC (which we refer to as “Morgan
Stanley”) to provide it with financial advisory services and an opinion in connection with the possible sale of Sumo
Logic. The Sumo Logic Board selected Morgan Stanley to act as Sumo Logic’s financial adviser based on Morgan
Stanley’s qualifications, extensive expertise and international reputation, its knowledge of and involvement in recent
transactions in Sumo Logic’s industry, and its knowledge of Sumo Logic’s business and affairs given Morgan
Stanley’s role as an underwriter in Sumo Logic’s initial public offering. At the meeting of the Sumo Logic Board on
February 9, 2023, Morgan Stanley rendered its oral opinion, subsequently confirmed in writing, that, as of February 9,
2023, and based upon and subject to the assumptions made, procedures followed, matters considered, and
qualifications and limitations on the scope of review undertaken by Morgan Stanley as set forth in the written
opinion, the per share price of $12.05 in cash to be received by the holders of shares of Sumo Logic common stock
(other than as specified in the merger agreement) pursuant to the merger agreement was fair from a financial point of
view to such holders of shares of Sumo Logic common stock, as set forth in such opinion as more fully described in
the section of this proxy statement captioned “The Merger-Opinion of Morgan Stanley & Co. LLC.”
The full text of the written opinion of Morgan Stanley, dated as of February 9, 2023, which sets forth, among other
things, the assumptions made, procedures followed, matters considered and qualifications and limitations on the
scope of the review undertaken by Morgan Stanley in rendering its opinion, is attached to this proxy statement as
Annex B and incorporated by reference in this proxy statement in its entirety. The
4TABLE OF CONTENTS
summary of the opinion of Morgan Stanley in this proxy statement is qualified in its entirety by reference to the full
text of the opinion. You are encouraged to read Morgan Stanley’s opinion carefully and in its entirety. Morgan
Stanley’s opinion was directed to the Sumo Logic Board, in its capacity as such, and addresses only the fairness
from a financial point of view of the per share price of $12.05 in cash to be received by the holders of shares of
Sumo Logic common stock (other than as specified in the merger agreement) pursuant to the merger agreement as
of the date of the opinion and does not address the relative merits of the merger as compared to any other alternative
business transaction, or other alternatives, or whether or not such alternatives could be achieved or are available. It
was not intended to, and does not, constitute an opinion or a recommendation as to how our stockholders should vote
at the special meeting.
For additional information, see the section of this proxy statement captioned “The Merger-Opinion of Morgan
Stanley & Co. LLC” and Annex B to this proxy statement.
Treatment of Warrants in the Merger",14,15
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf",Treatment of Warrants in the Merger,"Treatment of Warrants in the Merger
The merger agreement provides that Sumo Logic’s warrants that are outstanding as of immediately prior to the
effective time of the merger (which we refer to as “Sumo Logic warrants”) will be deemed exercised in full as a
“cashless exercise” (as described in the Sumo Logic warrants) effective upon the effective time of the merger, in
accordance with the terms of the Sumo Logic warrants. The holder of such Sumo Logic warrant will be entitled to
receive an amount in cash equal to (1) the number of shares of Sumo Logic common stock deemed to be issuable
upon exercise in full of such Sumo Logic warrant as a “cashless exercise,” (calculated in accordance with and subject
to the terms and conditions of such Sumo Logic warrant) multiplied by (2) the per share price, less any applicable
withholding taxes.
Treatment of Restricted Stock in the Merger",15,15
"Sumo Logic, Inc._20230405_DEFM14A_20779809_4641204.Pdf",Treatment of Restricted Stock in the Merger,"Treatment of Restricted Stock in the Merger
At the effective time of the merger, each share of Sumo Logic common stock that is subject to vesting, repurchase, or
other lapse restriction (which we refer to as “restricted stock”) and that is outstanding as of immediately prior to the
effective time of the merger shall vest in full and be cancelled and converted into a right to receive an amount in cash
equal to the per share price less any applicable withholding taxes.
Treatment of Equity Awards in the Merger",15,15
