Document,Section Header,Section Text,Start Page,End Page
TEGNA INC_20220413_DEFM14A_20013265_4441404.Pdf,SUMMARY,"SUMMARY
This summary highlights selected information from this proxy statement related to the Merger and may not contain
all of the information that is important to you. To understand the Merger more fully and for a more complete
description of the legal terms of the Merger, you should carefully read and consider this entire proxy statement and
the annexes to this proxy statement, including, but not limited to, the Merger Agreement (as defined below), along
with all of the documents to which we refer in this proxy statement, as they contain important information about,
among other things, the Merger and how it affects you. You may obtain the information incorporated by reference
in this proxy statement without charge by following the instructions in the section of this proxy statement captioned
“Where You Can Find More Information.” The Merger Agreement is attached as Annex A to this proxy statement.
You should carefully read and consider the entire Merger Agreement, which is the legal document that governs the
Merger.
Except as otherwise specifically noted in this proxy statement, “TEGNA,” “we,” “our,” “us,” the “Company” and
similar words refer to TEGNA Inc. Throughout this proxy statement, we refer to Teton Parent Corp. as “Parent,”
Teton Merger Corp. as “Merger Sub,” Community News Media LLC as “CNM” and CMG Media Corporation as
“CMG.” We refer to Parent, Merger Sub, CNM and CMG collectively as the “Parent Entities.” We refer to SGCI
Holdings III LLC, P Standard General Ltd., Standard General Master Fund L.P., Standard General Master Fund II
L.P., and Standard General Focus Fund L.P. collectively, as the “SG Holders.” In addition, we refer to the Parent
Entities, the SG Holders, CNM Television Holdings I LLC, CMG Media Operating Company, LLC, CMG
Farnsworth Television Holdings, LLC, CMG Farnsworth Television Operating Company, LLC, Teton Midco Corp.,
Teton Opco Corp. and CMG Farnsworth Television Acquisition Company, LLC collectively as the “Parent
Restructuring Entities.” We refer to Parent, Merger Sub, CMG and CMG Newco 2 collectively as the “Post-Closing
Transfer Agreement Parties.”
In addition, throughout this proxy statement we refer to the Agreement and Plan of Merger, dated as of February 22,
2022 , as amended by Amendment No. 1 on March 10, 2022 (as may be further amended or supplemented), by and
among TEGNA, Parent, Merger Sub and the other Parent Restructuring Entities as the “Merger Agreement,” our
common stock, par value $1.00 per share, as “TEGNA common stock,” and the holders of shares of TEGNA common
stock as “TEGNA stockholders.” Unless indicated otherwise, any other capitalized term used herein but not
otherwise defined herein has the meaning assigned to such term in the Merger Agreement.",11,11
TEGNA INC_20220413_DEFM14A_20013265_4441404.Pdf,Parties Involved in the Merger,"Parties Involved in the Merger
TEGNA Inc.
TEGNA is an innovative media company serving the greater good of our communities. Across platforms, we tell
empowering stories, conduct impactful investigations and deliver innovative marketing services. With 64 television
stations and two radio stations in 51 U.S. markets, we are the largest owner of top four network affiliates in the top 25
markets among independent station groups, reaching approximately 39% of U.S. television households. We also own
leading multicast networks True Crime Network, Twist and Quest. Each television station also has a robust digital
presence across online, mobile and social platforms, reaching consumers on all devices and platforms they use to
consume news content. We have been consistently honored with the industry’s top awards, including Edward R.
Murrow, George Polk, Alfred I. DuPont and Emmy Awards. Through TEGNA Marketing Solutions (TMS), our
integrated sales and back-end fulfillment operations, we deliver results for advertisers across television, digital and
over-the-top (OTT) platforms, including Premion, our OTT advertising network. TEGNA common stock is listed on
the New York Stock Exchange (the “NYSE”) under the symbol “TGNA.”
Teton Parent Corp.
Parent was formed on February 10, 2022, solely for the purpose of engaging in the transactions contemplated by the
Merger Agreement and the Contribution Agreement, and has not engaged in any business activities other than in
connection with the transactions contemplated by the Merger Agreement, the Contribution Agreement and arranging
of the Preferred Securities Financing (as defined below in the section of this proxy statement captioned “-Financing
of the Merger”) and the Debt Financing (as defined in the section of this proxy statement captioned “Proposal 1:
Adoption of the Merger Agreement-Financing of the Merger”) in connection with the Merger.
1TABLE OF CONTENTS
Teton Merger Corp.
Merger Sub is an indirect wholly owned subsidiary of Parent and was formed on February 10, 2022, solely for the
purpose of engaging in the transactions contemplated by the Merger Agreement, and has not engaged in any
business activities other than in connection with the transactions contemplated by the Merger Agreement and
arranging of the Preferred Securities Financing and the Debt Financing in connection with the Merger.
Teton Midco Corp.
Midco is a direct wholly owned subsidiary of Parent and was formed on February 10, 2022, solely for the purpose of
engaging in the transactions contemplated by the Merger Agreement and the Contribution Agreement, and has not
engaged in any business activities other than in connection with the transactions contemplated by the Merger
Agreement, the Contribution Agreement and arranging of the Debt Financing in connection with the Merger.
Community News Media LLC
CNM is a local broadcast and digital media company which indirectly owns four television stations in three markets.
CNM’s portfolio includes primary affiliates of ABC, FOX, and MyNetworkTV.
CMG Media Corporation
CMG is a media company with 33 television stations in 20 markets, 53 radio stations delivering all genres of content in
11 markets, and numerous streaming and digital platforms. CMG’s portfolio includes primary affiliates of ABC, CBS,
FOX, NBC and MyNetworkTV, as well as several news and independent stations. Additionally, CMG also offers a full
suite of national, regional, local and digital advertising services with CMG Local Solutions, CoxReps and Gamut.
SG Holders
The SG Holders are entities affiliated with, and/or funds managed by, Standard General.
Other Parent Restructuring Entities
CNM Holdings is a direct wholly owned subsidiary of CNM. CNM Holdings indirectly owns four television stations
in three markets.
CMG Media is a direct wholly owned subsidiary of CMG. CMG Newco 1, CMG Newco 2 and CNM Merger Sub are
indirect wholly owned subsidiaries of CMG. Opco is an indirect wholly owned subsidiary of Parent. CMG Newco 1,
CMG Newco 2, CNM Merger Sub and Opco were all formed on February 10, 2022, solely for the purpose of engaging
in the transactions contemplated by the Merger Agreement and the Contribution Agreement, and have not engaged
in any business activities other than in connection with the transactions contemplated by the Merger Agreement and
the Contribution Agreement.
CNM, CNM Holdings and the SG Holders are each affiliates of Standard General L.P. (“Standard General”). Standard
General manages capital for public and private pension funds, endowments, foundations, and high-net-worth
individuals. Standard General is a minority-controlled and operated organization. At the Effective Time (as defined in
the section of this proxy statement captioned “-The Merger”), the Surviving Corporation (as defined below) will be
indirectly owned by an affiliate of Standard General.
CMG and the other Parent Restructuring Entities (other than the SG Holders, CNM and CNM Holdings) are each
affiliated with funds managed by affiliates of Apollo Global Management, Inc. (“Apollo”). Apollo is a leading global
alternative investment manager. Apollo had assets under management of approximately $498 billion as of December
31, 2021. Apollo’s Class A shares are listed on the NYSE under the symbol “APO.” At the Effective Time, funds
managed by affiliates of Apollo will hold non-voting preferred securities in Parent.
While Parent, Merger Sub and Midco are each currently affiliated with CMG, they will become affiliated with Standard
General prior to and in connection with the Closing pursuant to the Restructuring (as defined
2
TABLE OF CONTENTS
below in the section of this proxy statement captioned “-Regulatory Approvals Required for the Merger-Federal
Communications Commission Consent”). For more information, please see the section of this proxy statement
captioned “Proposal 1: Adoption of the Merger Agreement-Restructuring and Contribution Agreement.”
The Merger",11,13
TEGNA INC_20220413_DEFM14A_20013265_4441404.Pdf,The Merger,"The Merger
Upon the terms and subject to the conditions of the Merger Agreement, Merger Sub will be merged with and into the
Company and the separate corporate existence of Merger Sub will cease, with TEGNA continuing as the surviving
corporation and as an indirect wholly owned subsidiary of Parent (the “Surviving Corporation”). As a result of the
Merger, TEGNA common stock will no longer be publicly traded and will be delisted from the NYSE. In addition,
TEGNA common stock will be deregistered under the Securities Exchange Act of 1934, as amended (the “Exchange
Act”), and TEGNA will no longer file periodic reports with the United States Securities and Exchange Commission
(the “SEC”). If the Merger is completed, you will not own any shares of the capital stock of the Surviving
Corporation. The time at which the Merger will become effective will occur upon the filing of a certificate of merger
with the Secretary of State of the State of Delaware in accordance with the applicable provisions of the General
Corporation Law of the State of Delaware, as amended (the “DGCL”) (the time of such filing and the acceptance for
record by the Secretary of State of the State of Delaware, or such later time as may be agreed in writing by TEGNA
and Parent and specified in the certificate of merger in accordance with the relevant provisions of the DGCL, being
referred to herein as the “Effective Time”).
Merger Consideration",13,13
TEGNA INC_20220413_DEFM14A_20013265_4441404.Pdf,Merger Consideration,"Merger Consideration
TEGNA Common Stock
At the Effective Time, each then outstanding share of TEGNA common stock (other than (i) shares of TEGNA
common stock owned by Parent or owned or held in treasury by the Company, except for shares of TEGNA common
stock held on behalf of third parties; (ii) shares of TEGNA common stock owned or held by any wholly owned
subsidiary of the Company, except for shares of TEGNA common stock held on behalf of third parties; and (iii) held
by holders of such shares who have not voted in favor of the adoption of the Merger Agreement or consented to
such adoption in writing and who have properly exercised appraisal rights with respect to such adoption in
accordance with, and who have complied with, Section 262 of the DGCL, with respect to such shares (collectively, the
“Excluded Shares”)) will be automatically converted into the right to receive (i) $24.00 per share of TEGNA common
stock in cash, without interest (the “Base Per Share Merger Consideration”) plus (ii) (A) if the date on which the
closing of the Merger (the “Closing”) occurs (the “Closing Date”) after November 22, 2022, and before February 22,
2023, an amount in cash equal to (x) $0.00166667 multiplied by (y) the number of calendar days elapsed after
November 22, 2022, to and including the Closing Date; (B) if the Closing Date occurs on or after February 22, 2023,
and before March 22, 2023, an amount in cash equal to (x) $0.15333333 plus (y) (I) $0.0025 multiplied by (II) the
number of calendar days elapsed after February 22, 2023 to and including the Closing Date; (C) if the Closing Date
occurs on or after March 22, 2023, and before April 22, 2023, an amount in cash equal to (x) $0.22333333 plus (y) (I)
$0.00333333 multiplied by (II) the number of calendar days elapsed after March 22, 2023 to and including the Closing
Date; or (D) if the Closing Date occurs on or after April 22, 2023, and before May 22, 2023, an amount in cash equal to
(x) $0.3266667 plus (y) (I) $0.00416667 multiplied by (II) the number of calendar days elapsed after April 22, 2023 to
and including the Closing Date, in each case without interest (clause (ii) collectively, the “Per Share Ticking Fee,”
and, together with the Base Per Share Merger Consideration, the “Per Share Merger Consideration”), in each case
less any applicable withholding taxes.
At or prior to the Effective Time, Parent will deposit (or cause to be deposited) with a designated payment agent a
cash amount that, when taken together with any cash which the Company will deposit with such payment agent at
the Effective Time (to the extent requested by Parent), is sufficient to pay the aggregate Per Share Merger
Consideration for payment of each share of TEGNA common stock owned by each TEGNA stockholder. For more
information, please see the section of this proxy statement captioned “The Merger Agreement-Exchange and
Payment Procedures.”
After the Merger is completed, you will have the right to receive the Per Share Merger Consideration in respect of
each share of TEGNA common stock that you own immediately prior to the Effective Time (less any applicable
withholding taxes), but you will no longer have any rights as a stockholder (except that stockholders
3TABLE OF CONTENTS
who properly exercise their appraisal rights will have a right to receive payment of the “fair value” of their shares as
determined pursuant to an appraisal proceeding, as contemplated by Delaware law). For more information, please see
the section of this proxy statement captioned “Proposal 1: Adoption of the Merger Agreement-Appraisal Rights.”
Treatment of TEGNA Equity Awards
The Merger Agreement provides that each restricted stock award in respect of shares of TEGNA common stock (a
“Company Restricted Stock Award”) outstanding immediately prior to the Effective Time will be converted into the
right to receive a cash amount equal to the product of (i) the number of shares of TEGNA common stock subject to
such Company Restricted Stock Award multiplied by (ii) the Per Share Merger Consideration, less amounts that are
required to be withheld or deducted under applicable law.
The Merger Agreement also provides that each (i) time-based restricted stock unit award in respect of shares of
TEGNA common stock (a “Company RSU Award”) and (ii) performance-based restricted stock unit or performance
share award in respect of shares of TEGNA common stock (a “Company PSU Award”), in each case, whether vested
or unvested, outstanding immediately prior to the Effective Time will become fully vested and be converted into the
right to receive a cash amount equal to the product of (i) the number of shares of TEGNA common stock subject to
such Company RSU Award or Company PSU Award multiplied by (ii) the Per Share Merger Consideration, less
amounts that are required to be withheld or deducted under applicable law. The number of shares of TEGNA common
stock subject to a Company PSU Award not granted in 2021 will be determined in accordance with the provisions of
the applicable award agreement, which generally provide that the number of shares is determined based on target
performance, unless the two-year performance period is complete as of the change in control, in which case the
number of shares is determined based on actual performance. The number of shares of TEGNA common stock subject
to each Company PSU Award granted in 2021 will equal the greater of (x) such number as determined in accordance
with the provisions of the applicable award agreement (as described in the immediately preceding sentence) and (y)
the number of shares that would be paid under such award assuming the Company’s actual performance versus
target performance for 2021 was also achieved for 2022.
The Merger Agreement also provides that each award of notional shares of TEGNA common stock under a deferred
compensation plan (a “Company Phantom Share Unit Award”) will be converted into the right to receive a cash
amount equal to the product of (i) the number of shares of TEGNA common stock in respect of such Company
Phantom Share Unit Award multiplied by (ii) the Per Share Merger Consideration, less amounts that are required to be
withheld or deducted under applicable law.
For more information, please see the section of this proxy statement captioned “The Merger Agreement-Merger
Consideration-Treatment of TEGNA Equity Awards.”
Material U.S. Federal Income Tax Consequences of the Merger",13,14
TEGNA INC_20220413_DEFM14A_20013265_4441404.Pdf,Material U.S. Federal Income Tax Consequences of the Merger,"Material U.S. Federal Income Tax Consequences of the Merger
The exchange of TEGNA common stock for cash pursuant to the Merger will be a taxable transaction for U.S. federal
income tax purposes. Accordingly, a U.S. Holder (as defined in the section of this proxy statement captioned
“Proposal 1: Adoption of the Merger Agreement-Material U.S. Federal Income Tax Consequences of the Merger”)
who exchanges shares of TEGNA common stock for cash in the Merger generally will recognize gain or loss in an
amount equal to the difference, if any, between the amount of cash that such U.S. Holder receives in the Merger and
such U.S. Holder’s adjusted tax basis in the shares of TEGNA common stock surrendered pursuant to the Merger by
such stockholder.
This proxy statement contains a general discussion of certain U.S. federal income tax consequences of the Merger.
This description does not address any non-U.S. tax consequences, nor does it address state, local or other tax
consequences or the consequences to holders who are subject to special treatment under U.S. federal tax law.
Consequently, you should consult your tax advisor to determine the particular tax consequences to you of the
merger.
Appraisal Rights",14,14
TEGNA INC_20220413_DEFM14A_20013265_4441404.Pdf,Appraisal Rights,"Appraisal Rights
If the Merger is consummated and certain conditions are met, TEGNA stockholders who continuously hold shares of
TEGNA common stock through the Effective Time, who do not vote in favor of the adoption of the Merger
Agreement and who properly demand appraisal of their shares and who do not withdraw their demands
4TABLE OF CONTENTS
or otherwise lose their rights to seek appraisal will be entitled to seek appraisal of their shares in connection with the
Merger under Section 262 of the DGCL. This means that TEGNA stockholders may be entitled to have their shares of
TEGNA common stock appraised by the Delaware Court of Chancery, and to receive payment in cash of the “fair
value” of their shares of TEGNA common stock, exclusive of any elements of value arising from the accomplishment
or expectation of the Merger, together with interest to be paid on the amount determined to be fair value, if any, as
determined by the court (or in certain circumstances described in further detail in the section of this proxy statement
captioned “Proposal 1: Adoption of the Merger Agreement-Appraisal Rights,” on the difference between the amount
determined to be the fair value and the amount paid by the Surviving Corporation in the Merger to each stockholder
entitled to appraisal prior to the entry of judgment in any appraisal proceeding). Due to the complexity of the
appraisal process, TEGNA stockholders who wish to seek appraisal of their shares are encouraged to seek the advice
of legal counsel with respect to the exercise of appraisal rights.
TEGNA stockholders considering seeking appraisal should be aware that the fair value of their shares as determined
pursuant to Section 262 of the DGCL could be more than, the same as, or less than the value of the consideration that
they would receive pursuant to the Merger Agreement if they did not seek appraisal of their shares of TEGNA
common stock.
To exercise appraisal rights, TEGNA stockholders must: (i) submit a written demand for appraisal to TEGNA before
the vote is taken on the proposal to adopt the Merger Agreement; (ii) not submit a proxy or otherwise vote in favor of
the proposal to adopt the Merger Agreement; (iii) continue to hold shares of TEGNA common stock of record
through the Effective Time; and (iv) strictly comply with all other procedures for exercising appraisal rights under the
DGCL. Failure to follow exactly the procedures specified under the DGCL may result in the loss of appraisal rights. In
addition, the Delaware Court of Chancery will dismiss appraisal proceedings in respect of TEGNA unless certain
stock ownership conditions are satisfied by the TEGNA stockholders seeking appraisal. The DGCL requirements for
exercising appraisal rights are described in further detail in this proxy statement, which is qualified in its entirety by
Section 262 of the DGCL, the relevant section of the DGCL regarding appraisal rights. A copy of Section 262 of the
DGCL is reproduced in Annex D to this proxy statement. If you hold your shares of TEGNA common stock through a
bank, broker or other nominee and you wish to exercise appraisal rights, you should consult with your bank, broker
or other nominee to determine the appropriate procedures for the making of a demand for appraisal on your behalf by
your bank, broker or other nominee. For more information, please see the section of this proxy statement captioned
“Proposal 1: Adoption of the Merger Agreement-Appraisal Rights.”
Litigation Relating to the Merger",14,15
TEGNA INC_20220413_DEFM14A_20013265_4441404.Pdf,Litigation Relating to the Merger,"Litigation Relating to the Merger
As of April 12, 2022, six lawsuits have been filed by purported TEGNA stockholders in connection with the Merger.
On March 28, 2022, a purported TEGNA stockholder filed a lawsuit against TEGNA and the current members of the
Board of Directors of TEGNA (the “Board of Directors”) alleging that the preliminary proxy statement filed by TEGNA
on March 25, 2022 in connection with the Merger contained alleged material misstatements and/or omissions in
violation of federal law. The lawsuit is captioned Wang v. TEGNA Inc., et al., No. 1:22-cv-02513, and is pending in the
U.S. District Court for the Southern District of New York. On March 29, 2022, another lawsuit was filed against the
same defendants asserting similar claims. The lawsuit is captioned O’Dell v. TEGNA Inc. et al., No. 1:22-cv-02547, and
is also pending in the U.S. District Court for the Southern District of New York. On March 30, 2022, two additional
lawsuits were filed against the same defendants asserting similar claims; the first lawsuit is captioned Waterman v.
TEGNA Inc. et al., No. 1:22-cv-01789, and is pending in the U.S. District Court for the Eastern District of New York;
the second lawsuit is captioned Landskroner v. TEGNA, Inc. et al., No. 1:22-cv-02611, and was pending in the U.S.
District Court for the Southern District of New York until it was voluntarily dismissed on April 1, 2022. In addition, on
March 31, 2022, a fifth lawsuit was filed against the same defendants bringing similar claims. The lawsuit is captioned
Whitfield v. TEGNA Inc. et al., No. 2:22-cv-01247, and is pending in the U.S. District Court for the Eastern District of
Pennsylvania. Finally, on April 7, 2022, another lawsuit was filed against the same defendants, also asserting similar
claims. The lawsuit is captioned Nutkis v. TEGNA Inc. et al., No. 1:22-cv-02894, and is pending in the U.S. District
Court for the Southern District of New York.
The complaints generally allege that the preliminary proxy statement filed by TEGNA on March 25, 2022 in
connection with the Merger fails to disclose allegedly material information in violation of Sections 14(a) and 20(a) of
the Exchange Act and Rule 14a-9 promulgated thereunder. The alleged omissions relate to (i) certain financial
projections of TEGNA, (ii) certain financial analyses of J.P. Morgan and Greenhill, (iii) the financial
5TABLE OF CONTENTS
benefits to TEGNA executives and members of the Board of Directors from the Merger and (iv) certain statements
concerning the sales process. Plaintiffs generally seek, among other things, to enjoin TEGNA from consummating the
Merger, or in the alternative, rescission of the Merger and/or compensatory damages, as well as attorney’s fees.
TEGNA believes that the allegations in the complaints are without merit. Additional lawsuits arising out of the
Merger may also be filed in the future.
Regulatory Approvals Required for the Merger",15,16
TEGNA INC_20220413_DEFM14A_20013265_4441404.Pdf,Regulatory Approvals Required for the Merger,"Regulatory Approvals Required for the Merger
HSR Act
Under the Merger Agreement, the Merger cannot be completed until the waiting periods applicable to the Merger and
the transactions contemplated by that certain Contribution, Exchange and Merger Agreement entered into
concurrently with the Merger Agreement by the Parent Restructuring Entities (as may be amended or supplemented,
the “Contribution Agreement”) under the Hart-Scott-Rodino Antitrust Improvements Act of 1976, as amended, and
the rules and regulations promulgated thereunder (the “HSR Act”), have expired or been terminated. The parties
made the filings required under the HSR Act on March 8, 2022. On April 11, 2022, the parties re-filed their HSR filings.
Federal Communications Commission Consent
Under the Merger Agreement, it is a condition to each party’s obligation to complete the Merger that the Federal
Communications Commission (the “FCC”) grant the applications needed pursuant to the Communications Act of
1934 (the “Communications Act”) and the FCC rules to consummate the transactions contemplated by the Merger
Agreement and the Contribution Agreement and certain post-Closing station transfers (the “Post-Closing Transfers,”
and together with the transactions contemplated by the Contribution Agreement, the “Restructuring”), including a
petition for declaratory ruling under Section 310(b)(4) of the Communications Act and the FCC’s rules governing
foreign ownership with respect to the Merger and the Restructuring (all such applications, the “FCC Applications”
and approvals, the “FCC Consent”). The parties have submitted the FCC Applications.
For more information, please see the sections of this proxy statement captioned “Proposal 1: Adoption of the Merger
Agreement-Regulatory Approvals Required for the Merger” and “Proposal 1: Adoption of the Merger Agreement-
Restructuring and Contribution Agreement.”
Closing Conditions",16,16
TEGNA INC_20220413_DEFM14A_20013265_4441404.Pdf,Closing Conditions,"Closing Conditions
The obligations of the parties to consummate the Merger are subject to the satisfaction or waiver of customary
conditions, including (among other conditions), the following:
•
the adoption of the Merger Agreement by the holders of at least a majority of the outstanding shares of
TEGNA common stock entitled to vote thereon;
•
the absence of any injunction or order by a court of competent jurisdiction in the United States or law in
the United States having been adopted prohibiting the consummation of the Merger;
•
the expiration or termination of the waiting periods applicable to the Merger and the transactions
contemplated by the Contribution Agreement under the HSR Act;
•
the grant by the FCC of the FCC Consent;
•
the accuracy of the representations and warranties contained in the Merger Agreement (subject to certain
materiality qualifiers);
•
in the case of Parent and Merger Sub, the absence, since September 30, 2021, of any effect, change, event,
occurrence or development that has had or would reasonably be expected to have, individually or in the
aggregate, a materially adverse effect (as defined in and subject to the limitations contained in the Merger
Agreement) on the business, operations, financial condition or assets of TEGNA and its subsidiaries, taken
as a whole, and that is continuing; and
•
the performance and compliance in all material respects by the parties of their respective covenants
required by the Merger Agreement to be performed or complied with by such party prior to the Effective
Time.
6TABLE OF CONTENTS
Financing of the Merger",16,17
TEGNA INC_20220413_DEFM14A_20013265_4441404.Pdf,Financing of the Merger,"Financing of the Merger
The obligation of Parent and Merger Sub to consummate the Merger is not subject to any financing condition. We
anticipate that the total amount of funds necessary to complete the Merger and the related transactions, and to pay
the fees and expenses required to be paid at Closing by Parent and Merger Sub under the Merger Agreement, will be
approximately $9.3 billion. This amount includes funds needed to: (1) pay TEGNA stockholders the amounts due
under the Merger Agreement for their TEGNA common stock, (2) make payments in respect of our outstanding
Company Restricted Stock Awards payable at Closing pursuant to the Merger Agreement, (3) make payments in
respect of our outstanding Company PSU Awards payable at Closing pursuant to the Merger Agreement, (4) make
payments in respect of our outstanding Company RSU Awards payable at Closing pursuant to the Merger
Agreement, (5) make payments in respect of our outstanding Company Phantom Share Unit Awards payable at
Closing pursuant to the Merger Agreement, (6) pay any debt required to be repaid, redeemed, retired, cancelled,
terminated or otherwise satisfied or discharged in connection with the Merger (including the Payoff Amount (as
defined in the section of this proxy statement captioned “The Merger Agreement-Cooperation as to Certain
Indebtedness”)) and (7) pay any fees and expenses of or payable by Parent or any of the other Parent Restructuring
Entities to any of (i) Apollo Investment Fund IX, L.P., Apollo Overseas Partners IX, L.P., Apollo Overseas Partners
(Delaware) IX, L.P., Apollo Overseas Partners (Delaware 892) IX, L.P. and Apollo Overseas Partners (Lux) IX, SCSp
(collectively, the “Apollo Funds”), (ii) ASOF Holdings I, L.P., ASOF II Holdings I, L.P., ASOF II Holdings A (DE)
Holdings I, L.P. and ASME Holdings I, L.P. (collectively, the “Ares Funds”) or (iii) SG Holders, or any of their
respective affiliates, in each case required to be paid on the Closing Date by Parent or Merger Sub in connection with
the transactions contemplated by the Merger Agreement (collectively, the “Required Amounts”).
The Apollo Funds and the Ares Funds (and any such other investor who becomes a party to the Preferred Securities
Commitment Letter pursuant to an assignment from an Apollo Fund or an Ares Fund) have committed to contribute
or cause to be contributed to Parent at Closing an aggregate amount in cash equal to $925 million, subject to the
terms and conditions set forth in a preferred securities commitment letter, dated February 22, 2022 (the “Preferred
Securities Commitment Letter,” the financing thereunder, the “Preferred Securities Financing” and the parties thereto,
the “Preferred Securities Investors”). TEGNA is an express third-party beneficiary of the Preferred Securities
Commitment Letter for the purpose of specifically enforcing (i) Parent’s right to cause the commitment under the
Preferred Securities Commitment Letter by an Apollo Fund or an Ares Fund (or any such other investor who becomes
a party thereto pursuant to an assignment from an Apollo Fund or an Ares Fund) to be funded to Parent in
accordance with the Preferred Securities Commitment Letter, (ii) the obligations of Parent and the Apollo Funds and
the Ares Funds (or any such other investor who becomes a party thereto pursuant to an assignment from an Apollo
Fund or an Ares Fund), including to cause Parent to enforce its rights against such Apollo Fund or such Ares Fund
(or any such other investor who becomes a party thereto pursuant to an assignment from an Apollo Fund or an Ares
Fund) to perform its funding obligations under the Preferred Securities Commitment Letter and (iii) its rights to
consent to certain matters as expressly provided for in the Preferred Securities Commitment Letter, in each case
subject to (x) the limitations and conditions set forth in the Preferred Securities Commitment Letter and (y) the terms
of the Merger Agreement.
Pursuant to the limited guarantee delivered by the SG Holders and CMG in favor of TEGNA, dated as of February 22,
2022 (the “Guarantee”), the SG Holders and CMG have agreed to guarantee the payment of certain liabilities and
obligations of Parent or Merger Sub under the Merger Agreement, subject to an aggregate cap equal to $272 million,
including any termination fee and amounts in respect of certain reimbursement and indemnification obligations of
Parent and Merger Sub for certain costs, expenses or losses incurred or sustained by TEGNA, as specified in the
Merger Agreement. Under certain circumstances set forth therein, the Apollo Funds have agreed to backstop the
guarantee provided by CMG under the Guarantee. For more information, please see the section of this proxy
statement captioned “Proposal 1: Adoption of the Merger Agreement-Financing of the Merger.”
In addition, in connection with the Merger Agreement, Midco entered into a debt commitment letter, dated February
22, 2022 (as amended, supplemented or otherwise modified, the “Debt Commitment Letter” and, together with the
Preferred Securities Commitment Letter, the “Financing Letters”) with Royal Bank of Canada, RBC Capital Markets,
Bank of America, N.A., BofA Securities, Inc., Goldman Sachs Bank USA, Truist Bank, Truist Securities, Inc., BNP
Paribas, BNP Paribas Securities Corp., Credit Suisse AG, Credit Suisse Loan Funding LLC, Jefferies Finance LLC,
Mizuho Bank, Ltd., The Toronto-Dominion Bank, New York Branch, TD Securities (USA) LLC, Barclays Bank PLC,
Deutsche Bank AG New York Branch, Deutsche Bank AG Cayman
7TABLE OF CONTENTS
Islands Branch, Deutsche Bank Securities Inc., MUFG Bank, Ltd., Citizens Bank, N.A., and Sumitomo Mitsui Banking
Corporation, pursuant to which such debt financing sources have committed to provide, upon certain terms and
subject to certain conditions, Midco (a direct, wholly-owned subsidiary of Parent) with Debt Financing (as defined in
the section of this proxy statement captioned “Proposal 1: Adoption of the Merger Agreement-Financing of the
Merger”) in an aggregate principal amount of $8.211 billion. For more information, please see the section of this proxy
statement captioned “Proposal 1: Adoption of the Merger Agreement-Financing of the Merger.”
Parent and Merger Sub shall use their respective reasonable best efforts to take, or cause to be taken, all actions and
to do, or cause to be done, all things necessary, proper or advisable to obtain the financing described in the
Financing Letters in an amount sufficient to fund the Required Amounts (giving effect, on the Closing Date, to the
amount of cash (if any) of TEGNA and its subsidiaries available on the Closing Date (the “Available Cash”)) on the
date upon which the Merger is required to be consummated pursuant to the terms of the Merger Agreement and on
the terms and conditions (including, to the extent applicable, the “flex” provisions) described in the Financing Letters
and any related fee letters (or on other terms that, with respect to conditionality, are not less favorable to Parent than
the terms and conditions (including any “flex” provisions) set forth in the Financing Letters, subject to certain
limitations set forth in the Merger Agreement).
TEGNA has agreed to use its reasonable best efforts to provide, and to cause its subsidiaries to use their reasonable
best efforts to provide, all cooperation reasonably requested by Parent or Merger Sub necessary or customary for the
arrangement of the Debt Financing, subject to the terms set forth in the Merger Agreement. For more information,
please see the section of this proxy statement captioned “The Merger Agreement-Debt Financing.”",17,18
