Document,Section Header,Section Text,Start Page,End Page
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",SUMMARY,"SUMMARY
This summary highlights selected information from this proxy statement (this “Proxy Statement”) related to the
merger (the “Merger”) of Titan-Atlas Merger Sub, Inc., (“Merger Sub”) with and into Tivity Health, Inc. (“Tivity
Health”) and may not contain all of the information that is important to you. To understand the Merger more fully
and for a more complete description of the legal terms of the Merger, you should read carefully this entire Proxy
Statement, the annexes to this Proxy Statement and the documents we refer to in this Proxy Statement. You may
obtain the information incorporated by reference in this Proxy Statement without charge by following the
instructions in the section entitled “Where You Can Find More Information” beginning on page 101 of this Proxy
Statement. The Merger Agreement (as defined below) is attached as Annex A to this Proxy Statement. You are
encouraged to read the Merger Agreement, which is the legal document that governs the Merger.
Except as otherwise specifically noted in this Proxy Statement, “Tivity Health,” the “Company,” “we,” “our,” “us”
and similar words in this Proxy Statement refer to Tivity Health, Inc., including, in certain cases, our subsidiaries.
Throughout this Proxy Statement we refer to Titan-Atlas Parent, Inc., as “Parent” and Titan-Atlas Merger Sub, Inc.,
as “Merger Sub.” In addition, throughout this Proxy Statement we refer to the Agreement and Plan of Merger, dated
as of April 5, 2022, as it may be amended from time to time, by and among Tivity Health, Parent and Merger Sub as
the “Merger Agreement.”
The Special Meeting (page 26)",11,11
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",The Special Meeting,"The Special Meeting (page 26)
Date, Time and Place
The special meeting of Tivity Health stockholders (the “Special Meeting”) will be held at Tivity Health’s corporate
headquarters, located at 701 Cool Springs Blvd., Franklin, Tennessee, 37067, on June 23, 2022 at 9:00 a.m., Central
Time, unless the meeting is adjourned or postponed.
Record Date; Shares Entitled to Vote
You are entitled to vote at the Special Meeting if you owned shares of common stock, par value $0.001 per share, of
Tivity Health (“Tivity Health Common Stock”), at the close of business on May 23, 2022, the record date for the
Special Meeting (the “Record Date”). You will have one vote at the Special Meeting for each share of Tivity Health
Common Stock you owned at the close of business on the Record Date.
Purpose
At the Special Meeting, we will ask Tivity Health stockholders of record as of the Record Date to vote on proposals
(i) to adopt the Merger Agreement, (ii) to approve, by non-binding, advisory vote, compensation that will or may
become payable by Tivity Health to its named executive officers in connection with the Merger, and (iii) to approve
one or more adjournments of the Special Meeting from time to time, if necessary or appropriate, including to solicit
additional proxies if there are insufficient votes at the time of the Special Meeting to approve the Merger Agreement
or to seek a quorum if one is not initially obtained (collectively, the “Special Meeting Proposals”).
Quorum
The holders of a majority of voting power of all issued and outstanding Tivity Health Common Stock entitled to vote
at the Special Meeting, present or represented by proxy, constitutes a quorum for the transaction of business at the
Special Meeting. As of the close of business on the Record Date, there were 49,932,432 shares of Tivity Health
Common Stock issued and outstanding and entitled to vote. 24,966,217 shares must be present or represented by
proxy at the Special Meeting to have a quorum.
Required Vote
The affirmative vote of a majority of outstanding shares of Tivity Health Common Stock entitled to vote thereon is
required to adopt the Merger Agreement. The affirmative vote of the holders of a majority in voting power of the
Tivity Health Common Stock entitled to vote thereon, which are present or represented by proxy, at the Special
Meeting, provided a quorum is present, is required to approve (i) by means of a non-binding, advisory vote, the
proposal to approve compensation that will or may become payable by Tivity Health to its named executive officers
in connection with the Merger and (ii) the proposal to approve one or more adjournments of
1TABLE OF CONTENTS
the Special Meeting from time to time, if necessary or appropriate, including to solicit additional proxies if there are
insufficient votes at the time of the Special Meeting to approve the Merger Agreement or to seek a quorum if one is
not initially obtained. This means that the proposal to adopt the Merger Agreement will be approved if the number of
shares voted “FOR” such proposal is greater than 50% of the total number of shares of Tivity Health Common Stock
entitled to vote at the Special Meeting. Abstentions will have the same effect as votes “AGAINST” the proposal to
adopt the Merger Agreement, the proposal to approve compensation that will or may become payable by Tivity
Health to its named executive officers in connection with the Merger, and the proposal to approve the adjournment
from time to time of the Special Meeting, if necessary or appropriate. Because all three proposals presented to
stockholders will be considered non-discretionary, there will not be any broker non-votes at the Special Meeting.
Broker non-votes will not be considered present for the purposes of establishing a quorum and will not count as
votes cast at the Special Meeting, and otherwise will have no effect on a particular proposal.
Share Ownership of Tivity Health’s Directors and Executive Officers
As of May 23, 2022, the Record Date, Tivity Health’s directors and executive officers beneficially owned and were
entitled to vote, in the aggregate, 1,325,979 shares of Tivity Health Common Stock, representing approximately 2.66%
of the outstanding shares of Tivity Health Common Stock. Tivity Health’s directors and executive officers have
informed Tivity Health that they currently intend to vote all of their shares of Tivity Health Common Stock “FOR”
the adoption of the Merger Agreement, “FOR” the non-binding, advisory proposal regarding compensation that will
or may become payable by Tivity Health to its named executive officers in connection with the Merger, and “FOR”
the proposal to approve the adjournment from time to time of the Special Meeting, if necessary or appropriate.
How You Can Vote
You may cast your shares in any of four ways: (i) by voting over the internet using the website indicated on the
enclosed proxy card; (ii) by telephone using the toll-free number on the enclosed proxy card; (iii) by signing, dating
and returning the enclosed proxy card in the postage-paid envelope provided; and (iv) by attending the Special
Meeting and voting by ballot.
Please note that participants in our 401(k) Plan must provide voting instructions to Fidelity Management Trust
Company (“Fidelity”) by June 20, 2022 at 11:59 p.m., Central Time. See “How are my shares in Tivity Health’s 401(k)
Plan voted?” in the Questions and Answers section of the Proxy Statement for more information.
If your shares of Tivity Health Common Stock are held in a street name and you do not instruct your broker, bank or
other nominee how to vote your shares, then, because the Special Meeting Proposals are “non-routine matters,” your
broker, bank or other nominee would not have discretionary authority to vote your shares on the Special Meeting
Proposals. If your shares of Tivity Health Common Stock are held in street name, your broker, bank or other nominee
has enclosed a voting instruction form with this Proxy Statement. We encourage you to authorize your broker, bank
or other nominee to vote your shares “FOR” each of the Special Meeting Proposals by following the instructions
provided on the voting instruction form.
YOUR VOTE IS VERY IMPORTANT. We encourage all stockholders to vote electronically. Please submit your
proxy via the internet or by telephone by following the instructions on the enclosed proxy card. If you do not have
access to a touch-tone phone or the Internet, you may alternatively vote by signing, dating and returning the
enclosed proxy card in the postage-paid envelope provided-even if you plan to attend the Special Meeting. If you
properly and timely submit your proxy, the individuals named as your proxy holders will vote your shares as you
have directed.
All shares entitled to vote and represented by properly submitted proxies (including those submitted via the internet,
by telephone and by mail) received before the polls are closed at the Special Meeting, and not revoked or
superseded, will be voted at the Special Meeting in accordance with the instructions indicated on those proxies. If no
direction is indicated on a proxy card, such shares will be voted by the proxy holders named on the enclosed proxy
card according to the recommendation of Tivity Health’s board of directors (the “Board”) “FOR” each of the Special
Meeting Proposals.
2
TABLE OF CONTENTS
Parties Involved in the Merger (page 31)",11,13
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",Parties Involved in the Merger,"Parties Involved in the Merger (page 31)
Tivity Health, Inc.
As a provider of healthy life-changing solutions, Tivity Health helps adults improve their health and supports them
on life’s journey by providing access to in-person and virtual instructor-led physical activity, social engagement, and
mental enrichment programs as well as access to physical and integrative health services through its
SilverSneakers®, Prime® Fitness, and WholeHealth Living® programs.
Tivity Health Common Stock is currently listed on the Nasdaq Stock Market (“Nasdaq”) under the symbol “TVTY.”
Titan-Atlas Parent, Inc.
Parent is a Delaware corporation, formed on April 4, 2022 solely for the purpose of engaging in the transactions
contemplated by the Merger Agreement, including the Merger, and the related financing transactions. Parent has not
conducted any business operations except in furtherance of this purpose and activities incident to its formation.
Titan-Atlas Merger Sub, Inc.
Merger Sub is a Delaware corporation and a wholly-owned subsidiary of Parent, formed on April 4, 2022 solely for the
purpose of engaging in the transactions contemplated by the Merger Agreement, including the Merger, and the
related financing transactions. Merger Sub has not conducted any business operations except in furtherance of this
purpose and activities incident to its formation. Upon the consummation of the Merger, Merger Sub will cease to
exist.
Parent and Merger Sub are each affiliated with Trident IX, L.P., Trident IX Parallel Fund, L.P. and Trident IX
Professionals Fund, L.P. (the “Stone Point Funds”). Parent, Merger Sub and the Stone Point Funds are each
associated with Stone Point Capital LLC (“Stone Point Capital”), a leading private equity firm, investing in businesses
within the global financial services industry and related sectors. At the time at which the Merger will become
effective (the “Effective Time”), the Surviving Corporation (as defined below) will be indirectly owned by the Stone
Point Funds and certain of their affiliates.
In connection with the transactions contemplated by the Merger Agreement, (1) the Stone Point Funds have
provided Parent with an equity commitment of $1,010,000,000 (the “Equity Financing”) and (2) Parent has obtained a
debt financing commitment in an aggregate amount of $1,200,000,000 from Apollo Global Funding, LLC (“Apollo”),
HPS Investment Partners, LLC (“HPS”), SPC Financing Company LLC (“SPC”), Benefit Street Partners L.L.C. (“BSP”)
and Owl Rock Capital Advisors LLC (“Owl Rock”) (the “Debt Financing” and, together with the Equity Financing, the
“Financing”). Such amounts will be used to fund the aggregate purchase price required to be paid at the closing of
the Merger and also to fund certain other payments, subject to the terms and conditions of the Merger Agreement. In
addition, the Stone Point Funds have agreed to guarantee the payment of certain liabilities and obligations of Parent
and Merger Sub under the Merger Agreement, subject to an aggregate cap equal to $107,877,441 with respect to the
Stone Point Funds, including any reverse termination fee payable by Parent under the Merger Agreement and
amounts in respect of certain reimbursement and indemnification obligations of Parent and Merger Sub for certain
costs, expenses or losses incurred or sustained by Tivity Health, as specified in the Merger Agreement. For more
information, please see the section entitled “The Merger-Financing of the Merger” beginning on page 62 of this
Proxy Statement.",13,13
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",Effect of the Merger,"Effects of the Merger (page 67)
The Merger Agreement provides that, upon the terms and subject to the conditions of the Merger Agreement, and in
accordance with the General Corporation Law of the State of Delaware (“DGCL”), at the Effective Time, Merger Sub
shall be merged with and into Tivity Health, whereupon the separate existence of Merger Sub shall cease, and Tivity
Health shall continue as the surviving corporation (the “Surviving Corporation”) and shall continue to be governed
by the laws of Delaware. As a result of the Merger, the Surviving Corporation will become a direct, wholly-owned
subsidiary of Parent and Tivity Health Common Stock will no longer be publicly traded. In addition, Tivity Health
Common Stock will be delisted from Nasdaq and deregistered under the Securities Exchange Act of 1934, as amended
(the “Exchange Act”), in each case, in accordance with applicable
3TABLE OF CONTENTS
laws, rules and regulations, and Tivity Health will no longer file periodic reports with the U.S. Securities and Exchange
Commission (the “SEC”) on account of Tivity Health Common Stock. If the Merger is consummated, you will not own
any shares of capital stock of the Surviving Corporation.
The Effective Time will occur upon the filing of a certificate of merger with the Secretary of State of the State of
Delaware (or at such later time as Tivity Health and Parent may agree and specify in the certificate of merger).
Effect on Tivity Health if the Merger Is Not Consummated (page 32)",13,14
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",Effect on Tivity Health if the Merger Is Not Consummated,"Effect on Tivity Health if the Merger Is Not Consummated (page 32)
If the Merger Agreement is not adopted by Tivity Health stockholders or if the Merger is not consummated for any
other reason, Tivity Health stockholders will not receive any payment for their shares of Tivity Health Common Stock.
Instead, Tivity Health will remain an independent public company, Tivity Health Common Stock will continue to be
listed and traded on Nasdaq and registered under the Exchange Act, and we will continue to file periodic reports with
the SEC on account of Tivity Health Common Stock. Under certain specified circumstances, Tivity Health may be
required to pay Parent a termination fee, or, under certain other specified circumstances, Tivity Health may be entitled
to receive a reverse termination fee from Parent, in each case upon the termination of the Merger Agreement, as
described in the section entitled “Terms of the Merger Agreement-Termination Fees” beginning on page 88 of this
Proxy Statement.",14,14
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",Transaction Consideration,"Transaction Consideration (page 33)
Upon the consummation of the Merger, each share of Tivity Health Common Stock issued and outstanding
immediately prior to the Effective Time (other than (i) shares held by Tivity Health or any subsidiary of Tivity Health
(including shares held as treasury stock), (ii) shares held, directly or indirectly, by Parent or Merger Sub, which will be
cancelled and retired for no consideration, and (iii) any shares owned by stockholders who are entitled to and have
properly exercised and perfected their demands for appraisal rights under Delaware law (the “Dissenting Shares” and
the holders of shares described in clauses (i), (ii) and (iii), the “Excluded Holders”)) will be automatically converted
into the right to receive $32.50 in cash, without interest (the “Transaction Consideration”).
Recommendation of the Board and Reasons for the Merger (page 41)",14,14
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",Recommendation of the Board and Reasons for the Merger,"Recommendation of the Board and Reasons for the Merger (page 41)
On April 5, 2022, the Board, after considering various factors, including those described in the section entitled “The
Merger-Recommendation of the Board and Reasons for the Merger” beginning on page 41 of this Proxy Statement,
unanimously (i) determined that the terms of the Merger Agreement and the transactions contemplated thereby,
including the Merger, are fair to, and in the best interests of, Tivity Health and its stockholders, (ii) determined that it
is in the best interests of Tivity Health and its stockholders to enter into, and approved, adopted and declared
advisable, the Merger Agreement, (iii) approved the execution and delivery by Tivity Health of the Merger
Agreement, the performance by Tivity Health of its covenants and agreements contained therein and the
consummation of the Merger upon the terms and subject to the conditions contained therein, (iv) directed that the
approval of the adoption of the Merger Agreement be submitted to the stockholders of Tivity Health, and (v)
resolved to recommend that the stockholders of Tivity Health vote in favor of the approval of the Merger, the Merger
Agreement and the transactions contemplated thereby and the adoption of the Merger Agreement.
The Board unanimously recommends that you vote (i) “FOR” the proposal to approve the adoption of the Merger
Agreement, and the transactions contemplated by the Merger Agreement, including the Merger; (ii) “FOR” the
non-binding, advisory proposal to approve compensation that will or may become payable by Tivity Health to its
named executive officers in connection with the Merger, and (iii) “FOR” the proposal to approve one or more
adjournments of the Special Meeting from time to time, if necessary or appropriate, including to solicit additional
proxies if there are insufficient votes at the time of the Special Meeting to approve the Merger Agreement or to
seek a quorum if one is not initially obtained.",14,14
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",Opinion of Tivity Health’s Financial Advisor,"Opinion of Tivity Health’s Financial Advisor (page 46)
Tivity Health retained Lazard Frères & Co. LLC (“Lazard”) to act as a financial advisor to Tivity Health in connection
with the Merger. In connection with this engagement, the Board requested that Lazard evaluate the fairness, from a
financial point of view, to holders of Tivity Health Common Stock (other than Excluded Holders) of the Transaction
Consideration to be paid to such holders in the Merger.
4TABLE OF CONTENTS
On April 5, 2022, Lazard rendered an oral opinion to the Board, which was subsequently confirmed by delivery of its
written opinion, dated April 5, 2022, to the effect that, as of the date of the opinion and based upon and subject to the
assumptions made, procedures followed, matters considered and qualifications and limitations set forth in Lazard’s
written opinion, the Transaction Consideration to be paid to holders of Tivity Health Common Stock (other than
Excluded Holders) in the Merger was fair, from a financial point of view, to such holders.
The full text of Lazard’s written opinion, dated April 5, 2022, which sets forth, among other things, the assumptions
made, procedures followed, matters considered and qualifications and limitations on the review undertaken, is
included as Annex B to this Proxy Statement and is incorporated by reference herein in its entirety. The summary
of Lazard’s opinion included in the section entitled “The Merger-Opinion of Tivity Health’s Financial Advisor” is
qualified in its entirety by reference to the full text of the opinion. You are encouraged to read Lazard’s opinion and
that section carefully and in their entirety. Lazard’s opinion was provided for the benefit of the Board (in its capacity
as such) and Lazard’s opinion was rendered to the Board in connection with the Board’s evaluation of the Merger.
Lazard’s opinion did not address the relative merits of the Merger as compared to any other transaction or business
strategy in which Tivity Health might engage or the merits of the underlying decision by Tivity Health to engage in
the transaction. Lazard’s opinion was not intended to and does not constitute a recommendation to any stockholder
as to how such stockholder should vote or act with respect to the Merger or any matter relating thereto.
For a summary of Lazard’s opinion and the methodology that Lazard used to render its opinion, see the section
entitled “The Merger-Opinion of Tivity Health’s Financial Advisor” beginning on page 46 of this Proxy Statement.
Interests of the Directors and Executive Officers of Tivity Health in the Merger (page 56)",14,15
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",Interests of the Directors and Executive Officers of Tivity Health in the Merger,"Interests of the Directors and Executive Officers of Tivity Health in the Merger (page 56)
When considering the recommendation of the Board that you vote to approve the proposal to adopt the Merger
Agreement, you should be aware that Tivity Health’s directors and executive officers may have interests in the
Merger that are different from, or in addition to, your interests as a stockholder. The Board was aware of and
considered these interests to the extent such interests existed at the time, among other matters, in evaluating and
negotiating the Merger Agreement, in approving the Merger Agreement and the Merger and in recommending that
the Merger Agreement be adopted by Tivity Health stockholders. These interests include the following:
•
the accelerated vesting of (i) unvested options to purchase shares of Tivity Health Common Stock
(“Company Options”), (ii) Tivity Health restricted stock units (the “Company RSUs”) granted prior to April
5, 2022, and (iii) Tivity Health market stock units (the “Company MSUs”) into the Transaction
Consideration;
•
the accelerated vesting of a prorated portion of unvested Company RSUs granted after April 5, 2022, with
limited exceptions for certain Company RSUs which will vest in full, into the Transaction Consideration;
•
the eligibility of each named executive officer to receive enhanced severance payments and benefits under
applicable agreements if such officer’s employment is terminated in connection with a qualifying
termination of employment within 12 months following the consummation of the Merger;
•
the possibility of Tivity Health’s executive officers entering into compensatory arrangements with Parent or
its affiliates prior to or following the closing of the Merger; and
•
continued indemnification and directors’ and officers’ liability insurance to be provided by the Surviving
Corporation.
See the section entitled “The Merger-Interests of the Directors and Executive Officers of Tivity Health in the Merger”
beginning on page 56 of this Proxy Statement for a more detailed description of these interests. If the proposal to
adopt the Merger Agreement is approved by Tivity Health stockholders, the shares of Tivity Health Common Stock
held by Tivity Health’s directors and executive officers will be treated in the same manner as outstanding shares of
Tivity Health Common Stock held by all other Tivity Health stockholders entitled to receive the Transaction
Consideration.
5TABLE OF CONTENTS
Treatment of Tivity Health Equity Awards (page 68)",15,16
"TIVITY HEALTH, INC._20220524_DEFM14A_20120335_4468156.Pdf",Treatment of Tivity Health Equity Awards,"Treatment of Tivity Health Equity Awards (page 68)
The Merger Agreement provides that Tivity Health’s equity awards and long-term incentive plan awards that are
outstanding immediately prior to the Effective Time will be subject to the following treatment as of the Effective Time:
Company Options
If the Merger is completed, each Company Option, whether or not vested, that is outstanding as of immediately prior
to the Effective Time will be cancelled and will entitle the holder, on or before the later of (i) five business days
following the Effective Time and (ii) the Surviving Corporation’s first payroll date after the Effective Time, to receive
an amount in cash (without interest and subject to applicable withholding taxes) from the Surviving Corporation
equal to the product of (A) the number of shares of Tivity Health Common Stock subject to such Company Option as
of immediately prior to the Effective Time and (B) the excess, if any, of the Transaction Consideration over the
exercise price per share of Tivity Health Common Stock subject to such Company Option as of immediately prior to
the Effective Time. If the exercise price per share of Tivity Health Common Stock of a Company Option is equal to or
greater than the Transaction Consideration, such Company Option shall be cancelled by virtue of the Merger without
any action on the part of and without any payment to the Company Option holder.
Company MSUs
If the Merger is completed, each Company MSU award outstanding as of immediately prior to the Effective Time will
automatically become vested, will be cancelled without any action on the part of any holder or beneficiary thereof,
and will entitle the holder to receive, on or before the later of (i) five business days following the Effective Time and
(ii) the Surviving Corporation’s first payroll date after the Effective Time, an amount in cash (without interest and
subject to applicable withholding taxes) from the Surviving Corporation equal to the product of (A) the number of
shares of Tivity Health Common Stock that would have vested pursuant to the terms of such Company MSU award
based on actual performance through the Effective Time, and (B) the Transaction Consideration.
Company RSUs
If the Merger is completed, except as described below for Company RSU awards granted after April 5, 2022, each
Company RSU award outstanding as of immediately prior to the Effective Time will automatically become fully vested,
will be cancelled and will entitle the holder to receive, on or before the later of (i) five business days following the
Effective Time and (ii) the Surviving Corporation’s first payroll date after the Effective Time, an amount in cash
(without interest and subject to applicable withholding taxes) from the Surviving Corporation equal to the product of
(A) the number of shares of Tivity Health Common Stock then underlying such Company RSU award as of
immediately prior to the Effective Time and (B) the Transaction Consideration.
Company RSUs Granted After April 5, 2022
If the Merger is completed, except for (i) deferred Company RSUs granted to certain non-employee directors under
Tivity Health’s Director Deferred Compensation Program and (ii) limited exceptions for certain Company RSUs, which,
in each case, will vest in full immediately prior to the Effective Time, each Company RSU award granted after April 5,
2022 will vest immediately prior to the Effective Time on a prorated basis, with such proration based on a fraction, the
numerator of which is the number of days of continuous service provided by the grantee to Tivity Health between
the grant date of the Company RSU award and the Effective Time, and the denominator of which is 1,096, and
otherwise be treated in accordance with the terms of the Merger Agreement, as described above. The portion of any
such equity award granted after April 5, 2022 that does not vest in accordance with the immediately preceding
sentence will be forfeited without consideration upon the Effective Time without any action on the part of the holder
of such Company RSU award.
Financing of the Merger (page 62)",16,16
