Document,Section Header,Section Text,Start Page,End Page
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,SUMMARY,"SUMMARY
This summary highlights selected information from this proxy statement related to the merger of
Bluestar RTM Inc. with and into TravelCenters of America Inc., with TravelCenters of America Inc.
surviving as an indirect wholly-owned subsidiary of BP Products North America Inc., and may not contain
all of the information that is important to you. We have included page references in parentheses to direct
you to more complete descriptions of the topics presented in this summary. To understand the merger more
fully and for a more complete description of the legal terms of the merger, you should read carefully this
entire proxy statement, the annexes to this proxy statement, including the merger agreement attached as
Annex A, and the documents we incorporate by reference in this proxy statement. You may obtain the
documents and information incorporated by reference in this proxy statement without charge by following
the instructions under “Where You Can Find More Information” beginning on page 95.
Except as otherwise specifically noted in this proxy statement or as context otherwise requires,
“TravelCenters,” “we,” “our,” “us” and similar words in this proxy statement refer to TravelCenters of
America Inc. including, in certain cases, our Subsidiaries (as defined in the merger agreement).
Throughout this proxy statement, we refer to BP Products North America Inc. as “BP” and Bluestar RTM
Inc. as “Merger Subsidiary.” In addition, throughout this proxy statement we refer to the Agreement and
Plan of Merger, dated as of February 15, 2023, as it may be amended from time to time, among
TravelCenters, BP and Merger Subsidiary, as the “merger agreement.”",9,9
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,Parties Involved in the Merger,"Parties Involved in the Merger (Page 21)
TravelCenters of America Inc., a Maryland corporation, is the largest publicly traded full-service travel
center network in the United States. TravelCenters is headquartered in Westlake, Ohio, and serves guests in
281 locations spanning 44 states, primarily under the TA , Petro Stopping Centers  and TA Express
brands. TravelCenters offers, among other services, diesel and gasoline fuel, truck maintenance and repair,
full-service and quick-service restaurants, travel stores and car and truck parking.
Shares of TravelCenters common stock are currently listed on the Nasdaq Global Select Market
(“Nasdaq”) under the symbol “TA”. Upon completion of the merger, TravelCenters will be an indirect wholly-
owned subsidiary of BP.
BP Products North America Inc., a Maryland corporation, is primarily engaged in transportation, refining,
manufacturing, marketing and distribution of hydrocarbons and hydrocarbon-related products.
Bluestar RTM Inc., a Maryland corporation and indirect wholly-owned subsidiary of BP, was formed by
BP for the purpose of entering into the merger agreement and completing the transactions contemplated by
the merger agreement. Upon completion of the merger, Merger Subsidiary will cease to exist.",9,9
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,Certain Effects of the Merger on TravelCenters,"Certain Effects of the Merger on TravelCenters (Page 26)
On the terms and subject to the satisfaction or waiver of the conditions set forth in the merger
agreement, and in accordance with the applicable provisions of the Maryland General Corporation Law (the
“MGCL”), at the Effective Time, (i) Merger Subsidiary will be merged with and into TravelCenters, such that
the separate corporate existence of Merger Subsidiary will thereupon cease and (ii) TravelCenters will be the
surviving corporation. As a result of the merger, the surviving corporation will become an indirect wholly-
owned subsidiary of BP. Throughout this proxy statement, we use the term surviving corporation to refer to
TravelCenters as the surviving corporation following the merger. If the merger is completed, you will not own
any shares of the surviving corporation.
The time at which the merger will become effective, which we refer to as the Effective Time, will occur
upon the date and time at which the articles of merger are duly executed, filed with and accepted for record
by the State Department of Assessments and Taxation of Maryland (“SDAT”) in accordance with, and in
such form as is required by the MGCL (the “Articles of Merger”) have been filed with, and accepted for
record by, the SDAT, or to the extent permitted by applicable law, such other date and time as is agreed to in
writing by TravelCenters and BP and specified in the Articles of Merger.
1 
®
®
®TABLE OF CONTENTS​",9,10
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,Effect on TravelCenters if the Merger is Not Completed,"Effect on TravelCenters if the Merger is Not Completed (Page 26)
If the merger is not approved by TravelCenters stockholders, or if the merger is not completed for any
other reason, TravelCenters stockholders will not receive the per share merger consideration (defined below)
for the shares of TravelCenters common stock that they hold. Instead, TravelCenters will remain a public
company, shares of TravelCenters common stock will continue to be listed and traded on Nasdaq and
registered under the Securities Exchange Act of 1934, as amended, which we refer to as the Exchange Act,
and we will continue to file periodic reports with the Securities and Exchange Commission. Under specified
circumstances, TravelCenters may be required to pay BP a termination fee upon the termination of the merger
agreement, as described under “The Merger Agreement - Termination of the Merger Agreement - Termination
Fee.” Under specified circumstances, BP may be required to pay TravelCenters a reverse termination fee
upon the termination of the merger agreement, as described under “The Merger Agreement - Termination of
the Merger Agreement - Reverse Termination Fee.”",10,10
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,The Merger Consideration,"The Merger Consideration (Page 26)
Pursuant to the merger agreement, each share of TravelCenters common stock outstanding immediately
prior to the Effective Time (other than shares of TravelCenters common stock owned by (i) TravelCenters or
(ii) BP, Merger Subsidiary or any other wholly-owned subsidiary of BP (clause (i) and (ii) collectively being
referred to herein as excluded shares)) will be cancelled and converted into the right to receive $86.00 in
cash, without interest, which amount we refer to as the per share merger consideration, and, without any
action by the holders of such shares of TravelCenters common stock, such shares of TravelCenters common
stock will no longer be outstanding and will automatically be cancelled and retired and will cease to exist,
and each share will thereafter represent only the right to receive the per share merger consideration to be
paid in accordance with the terms of the merger agreement. As described further in “The Merger
Agreement -  Surrender and Payment Procedures” beginning on page 61, immediately after the Effective
Time, BP will deposit or cause to be deposited, with the paying agent, for the benefit of the holders of
TravelCenters common stock, cash in an amount sufficient to pay the aggregate merger consideration.
Promptly after the Effective Time (but in no event later than five business days after the Effective Time), BP
will send, or cause the paying agent to send, to each holder of record of shares of TravelCenters common
stock at the Effective Time other than excluded shares, a letter of transmittal (in a form that was reasonably
acceptable to TravelCenters prior to the Effective Time) and instructions (which will specify that the delivery
shall be effected, and risk of loss and title shall pass, only upon proper delivery of the Certificates (as
defined in the merger agreement) or transfer of the Uncertificated Shares (as defined in the merger agreement)
to the paying agent) for use in such exchange.
At the Effective Time, you will have the right to receive the per share merger consideration under the
terms of the merger agreement, but you no longer will have any rights as a TravelCenters stockholder as a
result of the merger.",10,10
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,The Special Meeting,"The Special Meeting (Page 22)
Date, Time and Place
The special meeting of our stockholders to vote on the proposal to approve the merger, among other
matters, will be held virtually on Wednesday, May 10, 2023, at 9:30 a.m., Eastern time. You may participate in
the special meeting via Internet webcast by visiting the following website and following the registration and
participation instructions contained therein: https://www.viewproxy.com/TravelCentersofAmerica/2023.
Please have the control number located on your proxy card available.
Record Date; Shares Entitled to Vote
You are entitled to vote at the special meeting if you owned shares of TravelCenters common stock at
the close of business on March 23, 2023, the record date for the special meeting. You will have one vote at
the special meeting for each share of TravelCenters common stock you owned at the close of business on
the record date.
2",10,11
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,Recommendation of the TravelCenters Board of Directors and Reasons for the Merger,"Recommendation of the TravelCenters Board of Directors and Reasons for the Merger (Page 36)
The TravelCenters Board, after considering various reasons described in the section entitled “The
Merger - Recommendation of the TravelCenters Board of Directors and Reasons for the Merger” beginning
on page 36, has (1) determined and declared that the terms of the merger agreement, the Ancillary
Agreements (as defined in the merger agreement), the merger and the other transactions contemplated
thereby are advisable and in the best interests of the Company and the Company’s stockholders, (2)
approved the execution, delivery and performance of the merger agreement and the Ancillary Agreements
and, subject to the Company stockholder approval, the consummation of the transactions contemplated
thereby (including the merger) and thereby upon the terms and subject to the conditions set forth therein (3)
directed that the approval of the merger and the other transactions contemplated thereby be submitted for
consideration and a vote of the holders of TravelCenters common stock at a meeting of the Company’s
stockholders and (4) resolved to include in this proxy statement the recommendation of the TravelCenters
Board to holders of TravelCenters common stock to vote in favor of approval of the merger by the
Company’s
3 • 
• 
TABLE OF CONTENTS​
stockholders. Accordingly, the TravelCenters Board recommends that TravelCenters stockholders vote (i)
“FOR” the proposal to approve the merger, (ii) “FOR” the proposal to approve, by a non-binding, advisory
vote, the compensation that may be paid or become payable to TravelCenters’s named executive officers in
connection with the merger and (iii) “FOR” the proposal to adjourn the special meeting, if necessary, to
solicit additional proxies if, at the time of the special meeting, there are insufficient votes to approve the
merger at the special meeting.",11,12
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,Opinion of Citigroup Global Markets Inc.,"Opinion of Citigroup Global Markets Inc. (Page 41)
In connection with the transaction contemplated by the merger agreement, on February 15, 2023, Citi
delivered an oral opinion, subsequently confirmed by the delivery of a written opinion dated February 15,
2023, to the TravelCenters Board as to the fairness, from a financial point of view and as of the date of the
written opinion, of the $86.00 in cash per outstanding share of TravelCenters common stock to be received
by the holders (other than (i) BP and its affiliates, or (ii) RMR or any entities managed by or that receive
business management services from RMR, including SVC, or any of their respective affiliates) of outstanding
shares of TravelCenters common stock pursuant to the merger agreement. The full text of Citi’s written
opinion dated February 15, 2023, which describes the assumptions made, qualifications, limitations and other
matters considered on the review undertaken by Citi in rendering its opinion, is attached as Annex B to this
proxy statement and is incorporated herein by reference. The description of Citi’s opinion set forth in the
section entitled “The Merger - Opinion of Citigroup Global Markets Inc.” is qualified in its entirety by
reference to the full text of Citi’s opinion. Citi’s opinion, the issuance of which was authorized by Citi’s fairness
opinion committee, was provided for the information of the TravelCenters Board (in its capacity as such) in its
evaluation of the proposed merger and was limited to the fairness, from a financial point of view, as of the date of the
opinion, of the $86.00 in cash per share of TravelCenters common stock to be received by the holders (other than (i)
BP and its affiliates, or (ii) RMR or any entities managed by or that receive business management services from RMR,
including SVC, or any of their respective affiliates) of outstanding shares of TravelCenters common stock pursuant to
the merger agreement. Citi’s opinion does not address any other aspects or implications of the transaction
contemplated by the merger agreement and does not constitute a recommendation to any shareholder as to how such
shareholder should vote or act on any matters relating to the proposed merger. Citi’s opinion does not address
TravelCenters’s underlying business decision to effect the merger, the relative merits of the merger as compared to
any alternative business strategies that might exist for TravelCenters or the effect of any other transaction in which
TravelCenters might engage. Pursuant to an engagement letter between TravelCenters and Citi, TravelCenters
has agreed to pay Citi an aggregate fee of approximately $20 million, $2 million of which became payable
upon Citi’s delivery of the opinion described in the section entitled “The Merger - Opinion of Citigroup
Global Markets Inc.” and the remainder of which is contingent upon the closing of the merger.
For further information, see the section entitled “The Merger - Opinion of Citigroup Global Markets
Inc.” and Annex B.",12,12
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,Financing of the Merger,"Financing of the Merger (Page 53)
BP expects to finance the merger through cash on hand. The obligations of BP and Merger Subsidiary
under the merger agreement are not conditioned upon their ability to obtain financing.",12,12
TravelCenters of America Inc. MD_20230403_DEFM14A_20770239_4639300.Pdf,Interests of Certain Directors and Executive Officers of TravelCenters,"Interests of Certain Directors and Executive Officers of TravelCenters (Page 50)
When considering the recommendation of the TravelCenters Board that you vote to approve the
proposal to approve the merger, you should be aware that our directors and executive officers may have
interests in the merger that may be deemed to be different from, or in addition to, your interests as a
stockholder. The TravelCenters Board was aware of and considered these interests, among other matters, in
evaluating and overseeing the negotiation of the merger agreement, in approving the merger agreement and
the merger and in recommending that the merger be approved by TravelCenters stockholders. As described
in more detail below, these interests may include, for one or more of our directors and executive officers:
Accelerated vesting of TravelCenters equity awards in connection with the merger, and the settlement
of such awards in exchange for cash in the amounts as described in this proxy statement; and
Payment of change in control, separation or retention bonuses.
4 TABLE OF CONTENTS​
If the proposal to approve the merger is approved by our stockholders and the merger occurs, under the
terms of the merger agreement, any TravelCenters common stock held by our directors and executive officers
will be treated in the same manner as issued and outstanding TravelCenters common stock held by all other
TravelCenters stockholders entitled to receive the per share merger consideration.
See the section of this proxy statement titled “The Merger - Interests of Certain Directors and Executive
Officers of TravelCenters” for a more detailed discussion of the interests of TravelCenters’s directors and
executive officers in the merger.",12,13
