Document,Section Header,Section Text,Start Page,End Page
Univar Solutions Inc._20230502_DEFM14A_20844849_4658083.Pdf,SUMMARY,"SUMMARY
This summary highlights selected information from this proxy statement related to the Merger and may not contain all of the information
that is important to you. To understand the Merger more fully and for a more complete description of the legal terms of the Merger, you should
carefully read and consider this entire proxy statement and the annexes to this proxy statement, including the Merger Agreement (as defined
below), along with all of the documents to which we refer in this proxy statement, as they contain important information about, among other
things, the Merger and how it affects you. You may obtain the information incorporated by reference in this proxy statement without charge by
following the instructions in the section of this proxy statement entitled “Where You Can Find More Information.” A copy of the Merger Agreement
is attached as Annex A to this proxy statement. You should carefully read and consider the entire Merger Agreement, which is the legal document
that governs the Merger.
Except as otherwise specifically noted in this proxy statement, “Univar Solutions,” “we,” “our,” “us,” the “Company” and similar words
refer to Univar Solutions Inc. Throughout this proxy statement, we refer to Windsor Parent, L.P. as “Parent,” Windsor Merger Sub, Inc. as “Merger
Sub,” and Univar Solutions, Parent and Merger Sub each as a “party” and together as the “parties.” In addition, throughout this proxy
statement we refer to the Agreement and Plan of Merger, dated as of March 13, 2023 (as it may be amended from time to time), by and among
Univar Solutions, Parent and Merger Sub as the “Merger Agreement”; our common stock, par value $0.01 per share, as “Univar Solutions
common stock”; and the holders of shares of Univar Solutions common stock as “Univar Solutions stockholders.” Unless indicated otherwise,
any other capitalized term used herein but not otherwise defined herein has the meaning assigned to such term in the Merger Agreement.
Parties Involved in the Merger (see page 31)",8,8
Univar Solutions Inc._20230502_DEFM14A_20844849_4658083.Pdf,Parties Involved in the Merger,"Parties Involved in the Merger (see page 31)
Univar Solutions Inc.
Univar Solutions is a leading global distributor of commodity and specialty chemicals and ingredients, as well as a provider of value-added
services, to customers across a wide range of diverse industries. We purchase chemicals and ingredients from producers worldwide to warehouse,
repackage, blend, dilute, transport and sell those materials safely to nearly 100,000 customer locations across approximately 120 countries. We
provide application development and technical advice to customers formulating new products and have a network of solution centers to support
customer development activities. We operate an extensive worldwide chemical and ingredient distribution network, including approximately 9,700
employees and approximately 600 facilities, serviced by the following: approximately 4,900 tractors, tankers and trailers; and approximately 2,500
railcars, 120 rail and barge terminals and 20 deep sea terminals, focused on timely and safe delivery to a spectrum of customers, large and small. Our
purpose is to help keep our communities healthy, fed, clean and safe.
Chemical and ingredient producers rely on us to safely warehouse, repackage, transport, market and sell their products as a way to expand
their market access, enhance their geographic reach and lower their cost to serve and grow their business. Customers who purchase products and
services from us benefit from a lower total cost of ownership, as they are able to simplify their sourcing process by outsourcing functions to us,
such as “just-in-time delivery,” product availability and selection, packaging, mixing and blending. They also rely on us for safe and secure delivery
and the off-loading of chemicals, compliant with increasing local and federal regulations. Additionally, customers and suppliers depend on our deep
end market knowledge and technical expertise to provide formulation and recipe development services to help meet the latest market trends and
adhere to regulatory requirements across our global network of solution centers.
Univar Solutions’ principal executive offices are located at 3075 Highland Parkway, Suite 200, Downers Grove, Illinois 60515, and its telephone
number is (331) 777-6000. Univar Solutions common stock is listed on the New York Stock Exchange (which we refer to as the “NYSE”) under the
symbol “UNVR.”
 
-1-Table of Contents
Windsor Parent, L.P.
Parent is a Delaware limited partnership formed on March 9, 2023 solely for the purpose of entering into the Merger Agreement and, subject to
the terms and conditions thereof, completing the transactions contemplated by the Merger Agreement and the related financing transactions. Parent
has not engaged in any business activities other than in connection with the transactions contemplated by the Merger Agreement and related
agreements.
Windsor Merger Sub, Inc.
Merger Sub is a Delaware corporation and indirect wholly owned subsidiary of Parent formed on March 9, 2023 solely for the purpose of
entering into the Merger Agreement and, subject to the terms and conditions thereof, completing the transactions contemplated by the Merger
Agreement and the related financing transactions. Merger Sub has not engaged in any business activities other than in connection with the
transactions contemplated by the Merger Agreement and related agreements.
The Merger (see page 89)",8,9
Univar Solutions Inc._20230502_DEFM14A_20844849_4658083.Pdf,The Merger,"The Merger (see page 89)
On the terms and subject to the conditions set forth in the Merger Agreement, and in accordance with the General Corporation Law of the
State of Delaware (which we refer to as the “DGCL”), at the Effective Time (as defined below), Merger Sub will merge with and into Univar Solutions,
the separate corporate existence of Merger Sub will cease and Univar Solutions will be the surviving corporation (which we refer to as the
“Surviving Corporation”). As a result of the Merger, Univar Solutions will become an indirect wholly owned subsidiary of Parent, and Univar
Solutions common stock will no longer be publicly traded and will be delisted from the NYSE. In addition, following the Merger it is expected that
Univar Solutions common stock will be deregistered under the Securities Exchange Act of 1934, as amended (which we refer to as the “Exchange
Act”), and Univar Solutions will no longer file periodic or other reports with the United States Securities and Exchange Commission (which we refer
to as the “SEC”). If the Merger is consummated, holders of Univar Solutions common stock will not own any shares of the capital stock of the
Surviving Corporation. Univar Solutions stockholders who properly and validly exercise and do not withdraw their demands for appraisal will
receive appraisal rights under Section 262 of the DGCL. For more information, please see the section of this proxy statement entitled “Proposal 1:
Adoption of the Merger Agreement—Appraisal Rights.” The Merger will occur at such time as the certificate of merger meeting the requirements of
Section 251 of the DGCL relating to the Merger has been properly executed and filed with the Secretary of State of the State of Delaware in
accordance with the DGCL or at such later time as may be mutually agreed by the parties and designated in the certificate of merger as the effective
time of the certificate of merger in accordance with the DGCL (which we refer to as the “Effective Time”).",9,9
Univar Solutions Inc._20230502_DEFM14A_20844849_4658083.Pdf,Merger Consideration,"Merger Consideration (see page 32)
Treatment of Univar Solutions Common Stock
At the Effective Time, by virtue of the Merger and without any action on the part of Univar Solutions, Merger Sub or the holders of any
securities of Univar Solutions or Merger Sub, each share of Univar Solutions common stock, par value $0.01 per share (which we refer to as a
“share”), that is outstanding immediately prior to the Effective Time, but excluding Cancelled Shares, Owned Company Shares, Dissenting Shares
and shares covered by Univar Solutions Restricted Share Awards (each as defined below), will be converted automatically into the right to receive
the Merger Consideration of $36.15 per share in cash, without interest, subject to any required tax withholding.
Each share that is owned by Univar Solutions as treasury stock or otherwise or by Parent or Merger Sub immediately prior to the Effective
Time (in each case, other than any such shares held in a fiduciary,
 
-2-Table of Contents
representative or other capacity on behalf of third parties) (which we refer to collectively as the “Cancelled Shares”) will be cancelled and cease to
exist, and no consideration will be delivered in exchange therefor. Any shares that are owned by any direct or indirect wholly owned subsidiary of
Parent (other than Merger Sub) or Univar Solutions (in each case, other than any such shares held in a fiduciary, representative or other capacity on
behalf of third parties) (which we refer to collectively as the “Owned Company Shares”), immediately prior to the Effective Time will be converted
into such number of shares of common stock of the Surviving Corporation such that the ownership percentage of any such person in the Surviving
Corporation will equal the ownership percentage of such shares represented immediately prior to the Effective Time.
If, between March 13, 2023 and the Effective Time, the outstanding shares of Univar Solutions are changed into a different number of shares or
a different class of shares by reason of any stock dividend, subdivision, reorganization, reclassification, recapitalization, stock split or similar event,
the Merger Consideration will be equitably adjusted to proportionally reflect such change.
Shares issued and outstanding immediately prior to the Effective Time and held by stockholders who have properly demanded appraisal for
such shares in accordance with Section 262 of the DGCL and, as of the Effective Time, have complied in all respects with Section 262 of the DGCL
with respect to such shares and have not waived, effectively withdrawn or lost their rights to appraisal under Delaware law with respect to such
shares (which we refer to collectively as the “Dissenting Shares”) will be cancelled and cease to exist and will not be converted into or represent the
right to receive the Merger Consideration at the Effective Time. Such stockholders instead will only be entitled to receive the fair value of such
Dissenting Shares held by them in accordance with the provisions of, and as provided by, Section 262 of the DGCL. Each Dissenting Share held by
stockholders who have failed to perfect or who effectively have waived, withdrawn or otherwise lost the right to appraisal of such shares under
Section 262 of the DGCL will be deemed to have been converted into, as of the Effective Time, the right to receive the Merger Consideration upon
surrender in the manner provided for in the Merger Agreement. For more information, please refer to the section of this proxy statement entitled
“Proposal 1: Adoption of the Merger Agreement—Appraisal Rights.”
At or prior to the Closing (as defined below), Parent will cause to be deposited with a U.S. bank or trust company appointed by Parent and that
is reasonably acceptable to Univar Solutions to act as a paying agent (which we refer to as the “Paying Agent”), in trust for the benefit of holders of
the shares (other than the Cancelled Shares and Owned Company Shares), cash in U.S. dollars sufficient to pay the aggregate Merger Consideration
in exchange for all of the shares outstanding immediately prior to the Effective Time (other than the Cancelled Shares and Owned Company Shares),
payable upon due surrender of the certificates that, immediately prior to the Effective Time, represented shares (which we refer to as “Certificates”)
(or effective affidavits of loss in lieu thereof) or noncertificated shares represented by book-entry (which we refer to as “Book-Entry Shares”)
pursuant to the applicable provisions of the Merger Agreement (which cash we refer to as the “Exchange Fund”). For more information, please refer
to the section of this proxy statement entitled “The Merger Agreement—Exchange and Payment Procedures.” 
Treatment of Univar Solutions Equity Awards
At the Effective Time, each outstanding restricted share award (which we refer to as a “Univar Solutions Restricted Share Award”),
performance-based restricted stock unit award (which we refer to as a “Univar Solutions PRSU Award”), restricted stock unit award other than a
Univar Solutions PRSU Award (which we refer to as a “Univar Solutions RSU Award”), deferred stock unit award (which we refer to as a “Univar
Solutions DSU Award”) and stock option (which we refer to as a “Univar Solutions Option”) will be cashed out based on the Merger Consideration,
less any required tax withholding and deductions and less the applicable per share exercise price in the case of a Univar Solutions Option, with the
number of Univar Solutions common stock to be cashed out for each Univar Solutions PRSU Award equal to: (A) for each such award granted in
2021, the
 
-3-
Table of Contents
greater of (i) 170% of the target number of shares covered by the award and (ii) the number of shares covered by the award based on the actual level
of performance achieved through the period ending on the last day of the calendar month immediately preceding the calendar month in which the
Effective Time occurs, (B) for each such award granted in 2022, the greater of (i) 150% of the target number of shares covered by the award and (ii)
the number of shares covered by the award based on the actual level of performance achieved through the period ending on the last day of the
calendar month immediately preceding the calendar month in which the Effective Time occurs and (C) for each such award granted on or following
January 1, 2023, the target number of shares covered by such award.
Material U.S. Federal Income Tax Consequences of the Merger (see page 85)",9,11
Univar Solutions Inc._20230502_DEFM14A_20844849_4658083.Pdf,Material U.S. Federal Income Tax Consequences of the Merger,"Material U.S. Federal Income Tax Consequences of the Merger (see page 85)
The exchange of Univar Solutions common stock for cash pursuant to the Merger will be a taxable transaction for U.S. federal income tax
purposes. Accordingly, a U.S. Holder (as defined in the section of this proxy statement entitled “Proposal 1: Adoption of the Merger Agreement—
Material U.S. Federal Income Tax Consequences of the Merger”) who exchanges shares of Univar Solutions common stock for cash in the Merger
generally will recognize a gain or loss in an amount equal to the difference, if any, between the amount of cash that such U.S. Holder receives in the
Merger and such U.S. Holder’s adjusted tax basis in the shares of Univar Solutions common stock surrendered pursuant to the Merger. For more
information, please refer to the section of this proxy statement entitled “Proposal 1: Adoption of the Merger Agreement—Material U.S. Federal
Income Tax Consequences of the Merger.” 
This proxy statement contains a general discussion of certain U.S. federal income tax consequences of the Merger. This discussion does not
address any non-income tax consequences, nor does it address state, local, non-U.S. or other tax consequences or the consequences to holders
who are subject to special treatment under U.S. federal tax law. You should consult your tax advisor to determine the particular tax consequences to
you of the Merger.
Appraisal Rights (see page 79)",11,11
Univar Solutions Inc._20230502_DEFM14A_20844849_4658083.Pdf,Appraisal Rights,"Appraisal Rights (see page 79)
If the Merger is consummated, Univar Solutions stockholders who continuously hold shares of Univar Solutions common stock through the
Effective Time, do not vote in favor of the adoption of the Merger Agreement and properly demand appraisal of their shares and do not withdraw
their demands or otherwise lose their rights to seek appraisal will be entitled to seek appraisal of their shares in connection with the Merger under
Section 262 of the DGCL. This means that Univar Solutions stockholders who perfect their appraisal rights, do not thereafter withdraw their demand
for appraisal, and follow the procedures in the manner prescribed by Section 262 of the DGCL may be entitled to have their shares appraised by the
Delaware Court of Chancery and to receive payment in cash of the “fair value” of their shares of Univar Solutions common stock, exclusive of any
elements of value arising from the accomplishment or expectation of the Merger, as determined by the Delaware Court of Chancery, together with
interest to be paid on the amount determined to be fair value, if any (or in certain circumstances described in further detail in the section of this proxy
statement entitled “Proposal 1: Adoption of the Merger Agreement—Appraisal Rights,” on the difference between the amount determined to be the
fair value and the amount paid by the Surviving Corporation in the Merger to each Univar Solutions stockholder entitled to appraisal prior to the
entry of judgment in any appraisal proceeding). Due to the complexity of the appraisal process, Univar Solutions stockholders who wish to seek
appraisal of their shares are encouraged to review Section 262 of the DGCL carefully and to seek the advice of legal counsel with respect to the
exercise of appraisal rights.
Univar Solutions stockholders considering seeking appraisal should be aware that the fair value of their shares as determined pursuant to
Section 262 of the DGCL could be more than, the same as or less than the value of the consideration that they would receive pursuant to the
Merger Agreement if they did not seek appraisal of their shares.
 
-4-Table of Contents
To exercise your appraisal rights, you must: (a) submit a written demand for appraisal to Univar Solutions before the vote is taken on the
adoption of the Merger Agreement; (b) not submit a proxy or otherwise vote in favor of the proposal to adopt the Merger Agreement; (c) continue
to hold your shares of Univar Solutions common stock of record through the Effective Time; and (d) strictly comply with all other procedures for
exercising appraisal rights under Section 262 of the DGCL. Your failure to follow exactly the procedures specified under Section 262 of the DGCL may
result in the loss of your appraisal rights. In addition, the Delaware Court of Chancery will dismiss appraisal proceedings in respect of the Merger
unless certain stock ownership conditions are satisfied by the Univar Solutions stockholders seeking appraisal. The DGCL requirements for
exercising appraisal rights are described in further detail in the section of this proxy statement entitled “Proposal 1: Adoption of the Merger
Agreement—Appraisal Rights,” which is qualified in its entirety by Section 262 of the DGCL, the relevant section of the DGCL regarding appraisal
rights. A copy of Section 262 of the DGCL may be accessed without subscription or cost at the Delaware Code Online (available at
https://delcode.delaware.gov/title8/c001/sc09/index.html#262) and is incorporated herein by reference. If you hold your shares of Univar Solutions
common stock through a bank, brokerage firm or other nominee and you wish to exercise appraisal rights, you may make a written demand for
appraisal in your own name, but you must satisfy the conditions set forth above and your written demand must also reasonably identify the holder
of record of the shares for which demand is made, be accompanied by documentary evidence of your beneficial ownership of stock (such as a
brokerage or securities account statement containing such information or a letter from a broker or other record holder of such shares confirming
such information) and a statement that such documentary evidence is a true and correct copy of what it purports to be, and provide an address at
which you consent to receive notices given by the surviving corporation under Section 262 of the DGCL and to be set forth on the verified listed
required by Section 262(f) of the DGCL. For more information, please see the section of this proxy statement entitled “Proposal 1: Adoption of the
Merger Agreement—Appraisal Rights.” 
Litigation Related to the Merger (page 84)",11,12
Univar Solutions Inc._20230502_DEFM14A_20844849_4658083.Pdf,Litigation Related to the Merger,"Litigation Related to the Merger (page 84)
In connection with the Merger Agreement, two complaints have been filed as individual actions in federal court. The complaints are captioned
O’Dell v. Univar Solutions Inc., et al., No. 1:23-cv-03314 (S.D.N.Y., April 20, 2023) and Wang v. Univar Solutions Inc., et al., No. 1:23-cv-03370
(S.D.N.Y., April 21, 2023) (collectively, the “Complaints”). In addition to the Complaints, on April 25, 2023, May 1, 2023 and May 2, 2023, purported
stockholders of the Company sent demand letters (the “Demands,” and together with the Complaints, the “Shareholder Actions”) in connection
with the Merger Agreement.
The Shareholder Actions generally allege that the preliminary proxy statement filed by the Company on April 13, 2023 in connection with the
Merger Agreement (the “Preliminary Proxy”) misrepresents and/or omits certain purportedly material information. The Shareholder Actions assert
violations of Section 14(a) and 20(a) of the Exchange Act and Rule 14a-9 promulgated thereunder by the Company and the members of its Board of
Directors. The Shareholder Actions seek, among other things: to enjoin the consummation of the transactions contemplated by the Merger
Agreement unless and until the purportedly material information omitted from the Preliminary Proxy is disclosed; rescission or rescissory damages in
the event the transactions contemplated by the Merger Agreement are consummated; direction for an accounting to the plaintiffs for all damages
suffered as a result of the purported wrongdoing; an award of costs and disbursements of the actions, including reasonable attorneys’ and expert
fees and expenses; and any other relief the court may deem just and proper.
The Company cannot predict the outcomes of the Shareholder Actions but believes that they are without merit. If additional similar complaints
are filed or demands are sent, absent new or significantly different allegations, the Company will not necessarily disclose such additional filings or
demands.
 
-5-Table of Contents
Regulatory Approvals Required for the Merger (see page 87)",12,13
Univar Solutions Inc._20230502_DEFM14A_20844849_4658083.Pdf,Regulatory Approvals Required for the Merger,"Regulatory Approvals Required for the Merger (see page 87)
General
Each of Parent and the Company has agreed to (subject to the terms and conditions of the Merger Agreement) use its reasonable best efforts
to take promptly, or cause to be taken, all actions, and to do promptly, or cause to be done, and to assist and cooperate with one another in doing, all
things necessary, proper or advisable under applicable laws to consummate and make effective the Merger and the other transactions contemplated
by the Merger Agreement as promptly as practicable, including obtaining of all necessary consents, approvals or nonactions, waivers, consents,
clearances, approvals, and expirations or terminations or waiting periods from governmental entities as described in the section of this proxy
statement entitled “The Merger Agreement— Regulatory Efforts and Related Matters.” These approvals include clearances under the HSR Act (as
defined below), CFIUS Approval (as defined below), and certain specific other filings and related approvals under the antitrust and foreign
investment laws of other jurisdictions as described further below.
U.S. Regulatory Clearances
The Merger is subject to the Hart-Scott-Rodino Antitrust Improvements Act of 1976, as amended, and the rules and regulations promulgated
thereunder (which we refer to as the “HSR Act”). A transaction notifiable under the HSR Act may not be completed until the expiration or
termination of a 30-day waiting period following the parties’ filings of their HSR Act notification and report forms. If the Federal Trade Commission
(which we refer to as the “FTC”) or the Antitrust Division of the Department of Justice (which we refer to as the “DOJ”) issues a request for
additional information and documentary materials (which we refer to as a “Second Request”) prior to the expiration of the initial waiting period, the
parties must observe a second 30-day waiting period, which would begin to run only after the parties have substantially complied with the Second
Request, unless the waiting period is terminated earlier or the parties otherwise agree to extend the waiting period. The parties made the required
filings with the FTC and the DOJ on March 27, 2023, and the initial 30-day waiting period expired at 11:59 p.m. Eastern Time on April 26, 2023.
At any time before or after the consummation of the Merger, notwithstanding the termination or expiration of the waiting period under the HSR
Act, the FTC or the DOJ could take such action under the antitrust laws as it deems necessary or desirable in the public interest, including seeking
to enjoin the completion of the Merger, seeking divestiture of substantial assets of the parties, or requiring the parties to license or hold separate
assets or terminate existing relationships and contractual rights. At any time before or after the completion of the Merger, any state could take such
action under the antitrust laws as it deems necessary or desirable in the public interest. Such action could include seeking to enjoin the completion
of the Merger or seeking divestiture of substantial assets of the parties. Private parties may also seek to take legal action under the antitrust laws
under certain circumstances. We cannot be certain that a challenge to the Merger will not be made or that, if a challenge is made, we will prevail.
In addition, the Merger is subject to approval by the interagency Committee on Foreign Investment in the United States (which we refer to as
“CFIUS”), which requires: (a) a written determination from CFIUS to the effect that the transactions contemplated by the Merger Agreement do not
constitute a “covered transaction” pursuant to 31 C.F.R. § 800.213, (b) a written determination from CFIUS to the effect that review or investigation
of the transactions contemplated by the Merger Agreement has been concluded and that a determination has been made that there are no
unresolved national security concerns and all action under the CFIUS laws has been concluded, or (c) following an investigation conducted by
CFIUS pursuant to 31 C.F.R. § 800.507, CFIUS has reported the transactions contemplated by the Merger Agreement to the President of the United
States and either (i) the President of the United States has made a decision not to suspend or prohibit such transactions pursuant to his authorities
under Section 721 of the Defense Production Act of 1950, or (ii) the President of the United States has not taken any action within 15 days from the
date he received the report from CFIUS (which we refer to collectively as the “CFIUS Approval”). The parties submitted a draft notice to CFIUS on
March 30, 2023 and a formal notice on April 24, 2023.
 
-6-Table of Contents
Other Regulatory Clearances
In addition to HSR clearance and CFIUS Approval, the Merger is also subject to the receipt of regulatory approvals in certain other
jurisdictions under their applicable antitrust and foreign investment laws. These include antitrust approvals in Brazil, Canada, China, the European
Union, Mexico and Turkey, as well as foreign investment approvals in France, Italy and Spain. Each of the foregoing filings, or drafts thereof, were
submitted to the relevant government authority on or before April 10, 2023. On April 24, 2023, the parties obtained clearance from the
Superintendency of the Administrative Council for Economic Defense in Brazil.
In each case, the Merger cannot be completed until the parties obtain clearance or approval to consummate the Merger or the applicable
waiting periods have expired or been terminated. The parties have agreed to cooperate with each other and use their reasonable best efforts to make
these filings as promptly as practicable. The relevant regulatory authorities could take such actions under the applicable regulatory laws as they
deem necessary or desirable, including seeking divestiture of substantial assets of the parties, requiring the parties to license, or hold separate,
assets or terminate existing relationships and contractual rights, or requiring the parties to commit to certain undertakings with respect to the
operations of the Parent or Company after the Closing.
Conditions to the Closing of the Merger (see page 119)",13,14
Univar Solutions Inc._20230502_DEFM14A_20844849_4658083.Pdf,Conditions to the Closing of the Merger,"Conditions to the Closing of the Merger (see page 119)
The respective obligations of each party to effect the Merger and the other transactions contemplated by the Merger Agreement are subject to
the satisfaction (or waiver by Parent and Univar Solutions to the extent
permitted by applicable law) at or prior to the date on which the closing of the Merger (which closing we refer to as the “Closing,” and which date
we refer to as the “Closing Date”) of the following conditions:
 
•
the adoption of the Merger Agreement by the affirmative vote of the holders of a majority of the votes entitled to be cast by holders of
the issued and outstanding shares of Univar Solutions (which we refer to as the “Univar Solutions Stockholder Approval”);
 
•
the absence of any order, decree or ruling (whether preliminary or permanent) by any governmental entity in any jurisdiction in which
Parent or Univar Solutions has material business operations, that prohibits the consummation of the Merger and the other transactions
contemplated by the Merger Agreement, and no enactment, entry, promulgation, enforcement or deemed application of any law after
March 13, 2023 by any governmental entity in any jurisdiction in which Parent or Univar Solutions has material business operations
that, in any case, prohibits or makes illegal the consummation of the Merger (a condition we refer to as the “Absence of Legal
Restraints Condition”); and
 
•
the expiration or earlier valid termination of any waiting period under the HSR Act applicable to the Merger, the obtainment or deemed
obtainment of CFIUS Approval and the obtainment or deemed obtainment of the consents, clearances and approvals as set forth in the
Parent disclosure letter (a condition we refer to as the “Regulatory Approvals Condition”).
In addition, the obligations of Parent and Merger Sub to effect the Merger are subject to the satisfaction (or waiver by Parent and Merger Sub
to the extent permitted by applicable law) at or prior to the Closing of the following conditions:
 
•
the accuracy of the representations and warranties contained in the Merger Agreement (subject to certain materiality qualifications);
 
•
Univar Solutions having performed in all material respects all obligations and complied in all material respects with all covenants
required by the Merger Agreement to be performed or complied with by it prior to the Closing Date;
 
•
since March 13, 2023 there not having occurred a Company Material Adverse Effect (as defined in this section of this proxy statement
entitled “The Merger Agreement—Representations and Warranties”); and
 
-7-Table of Contents
•
Univar Solutions having delivered to Parent a certificate, dated as of the Closing Date and signed by its Chief Executive Officer or
another senior officer, certifying to the effect that the conditions described in the preceding three bullets being satisfied.
In addition, the obligation of Univar Solutions to effect the Merger is subject to the satisfaction (or waiver in writing by Univar Solutions to
the extent permitted by applicable law), at or prior to the Closing Date, of the following conditions:
 
•
the accuracy of the representations and warranties contained in the Merger Agreement (subject to certain materiality qualifications);
 
•
Parent and Merger Sub having performed in all material respects all obligations and complied in all material respects with all covenants
required by the Merger Agreement to be performed or complied with by them prior to the Closing Date; and
 
•
Parent having delivered to Univar Solutions a certificate, dated as of the Closing Date and signed by a senior officer, certifying to the
effect that the conditions described in the preceding two bullets have been satisfied.
Financing of the Merger (see pages 106, 126 and 127)",14,15
Univar Solutions Inc._20230502_DEFM14A_20844849_4658083.Pdf,Financing of the Merger,"Financing of the Merger (see pages 106, 126 and 127)
The consummation of the Merger is not conditioned on Parent’s receipt of any financing. Parent plans to fund the Merger Consideration with
committed equity financing and debt financing (which we refer to respectively as the “Equity Financing,” the “Debt Financing,” and together, the
“Financing”), as described below.
Affiliates of funds managed by affiliates of Apollo Global Management, Inc. (such funds, which we refer to as the “Apollo Funds” and Apollo
Global Management, Inc., which , together with its consolidated subsidiaries, we refer to as “Apollo”) and Platinum Falcon B 2018 RSC Limited
(which we refer to as “Platinum Falcon”), an indirect wholly owned subsidiary of the Abu Dhabi Investment Authority (each of Apollo Funds and
Platinum Falcon, which we refer to as an “Equity Investor”), have committed to severally contribute, or cause to be contributed, to Parent an
aggregate amount in cash of up to approximately $3.81 billion (such commitment, which we refer to as the “Equity Commitment”), subject to the
terms and conditions set forth in the equity commitment letter provided by the Equity Investors to Parent, dated as of March 13, 2023 (which we
refer to as the “Equity Commitment Letter”), which will be used by Parent, together with the Debt Financing described below, and available cash of
Univar Solutions and its subsidiaries (if any), solely to fund each Equity Investor’s pro rata share of (i) the cash payments required under Article II
of the Merger Agreement to be made by Parent in connection with the Closing of the Merger (which we refer to as the “Closing Obligations”) and
(ii) if applicable, and only to the extent required (after giving effect to the funds actually received pursuant to the Debt Commitment Letter (as
defined below) and the available cash of Univar Solutions and its subsidiaries) the payment of expenses and other amounts required to be paid by
Parent or Merger Sub in connection with the Closing, including the repayment of all indebtedness of Univar Solutions and its subsidiaries
contemplated or required by the Merger Agreement or the Debt Commitment Letter (which we refer to as the “Expense Obligations” and, together
with the Closing Obligations, the “Obligations”).
In connection with entry into the Merger Agreement, a subsidiary of Parent obtained debt commitment letters, dated as of March 13, 2023 from
JPMorgan Chase Bank, N.A. and certain other financial institutions (which we refer to as the “Debt Commitment Letters”) for (i) a $2.10 billion senior
secured term loan facility, (ii) a $2.0 billion senior secured bridge facility and (iii) a $1.4 billion senior secured asset-based revolving credit facility.
The availability of the Debt Financing is subject to customary conditions precedent.
Subject to the terms and conditions set forth in the limited guarantee (which we refer to as the “Limited Guarantee”) provided by the Apollo
Funds (which we refer to as the “Apollo Guarantors”) and Platinum Falcon
 
-8-Table of Contents
(together with the Apollo Guarantors, the “Guarantors”), the Guarantors have severally guaranteed certain payment obligations of Parent under the
Merger Agreement, subject to an aggregate maximum cap of $235,995,172 for the Apollo Guarantors and a maximum cap of $153,004,828 for Platinum
Falcon, for payment of (i) the Parent Termination Fee or Parent Regulatory Termination Fee (to the extent payable) (as defined in the section of this
proxy statement entitled “The Merger Agreement—Termination Fees”), (ii) certain costs and expenses of Univar Solutions or any of its subsidiaries
and their respective representatives in connection with the Debt Financing of the Merger and actions to be taken to effect the Closing in the manner
described on the confidential disclosure letter provided by Univar Solutions to Parent and Merger Sub, (iii) certain damages payable by Parent or
Merger Sub in respect of fraud, and willful and material breaches of covenants or agreements in the Merger Agreement under and in accordance
with the terms of the Merger Agreement and (iv) costs and expenses of Univar Solutions in connection with the successful enforcement by Univar
Solutions of certain of Parent’s and Merger Sub’s obligations under the Merger Agreement (which we refer to collectively as the “Guaranteed
Obligations”).
For more information, please see the sections of this proxy statement entitled “The Merger Agreement—Debt Financing,” “The Merger
Agreement—Equity Commitment Letter” and “The Merger Agreement—Limited Guarantee.” 
Required Stockholder Approval (see page 26)",15,16
