Document,Section Header,Section Text,Start Page,End Page
"UserTesting, Inc._20221206_DEFM14A_20494905_4556398.Pdf",SUMMARY,"SUMMARY
This summary highlights selected information from this proxy statement related to the merger of
Thunder Merger Sub, Inc. with and into UserTesting, Inc. (the “Merger”) and may not contain all of the
information that is important to you. To understand the Merger more fully and for a more complete
description of the legal terms of the Merger, you should carefully read and consider this entire proxy
statement and the annexes to this proxy statement, including, but not limited to, the Merger Agreement (as
defined below), along with all of the documents to which we refer in this proxy statement, as they contain
important information about, among other things, the Merger and how it affects you. You may obtain the
information incorporated by reference in this proxy statement without charge by following the instructions
under the caption “Where You Can Find More Information.” The Merger Agreement is attached as Annex A
to this proxy statement. You should carefully read and consider the entire Merger Agreement, which is the
legal document that governs the Merger.
Except as otherwise specifically noted in this proxy statement, “UserTesting,” “we,” “our,” “us,” the
“Company” and similar words refer to UserTesting, Inc. Throughout this proxy statement, we refer to
Thunder Holdings, LLC as “Parent” and Thunder Merger Sub, Inc. as “Merger Sub.” In addition,
throughout this proxy statement, we refer to the Agreement and Plan of Merger, dated October 26, 2022, by
and among Parent, Merger Sub and UserTesting as the “Merger Agreement,” our common stock, par value
$0.0001 per share, as “UserTesting common stock” or “our common stock,” and the holders of UserTesting
common stock as “UserTesting stockholders” or “our stockholders.” Unless indicated otherwise, any
other capitalized term used herein but not otherwise defined herein has the meaning assigned to such term
in the Merger Agreement.",9,9
"UserTesting, Inc._20221206_DEFM14A_20494905_4556398.Pdf",Parties Involved in the Merger,"Parties Involved in the Merger
UserTesting, Inc.
UserTesting has fundamentally changed the way organizations get insights from customers with fast,
opt-in feedback and experience capture technology. We have pioneered a video-first, enterprise-grade
software-as-a-service platform that enables organizations to see and hear the experiences of real people as
they engage with products, designs, apps, processes, concepts, or brands. Our platform captures authentic,
credible, and highly contextualized customer perspectives from targeted audiences who have opted in to
share their thoughts, whether for digital, real-world, or omnichannel experiences. Using machine learning, our
platform analyzes these perspectives and surfaces key moments of insight rapidly and at scale. This helps
organizations to free up time and resources and make better customer experience decisions faster using the
power of video to drive alignment and action. We are headquartered in San Francisco, California. Our
common stock is listed on the New York Stock Exchange (“NYSE”) under the symbol “USER.”
Thunder Holdings, LLC
Parent was formed on October 24, 2022, solely for the purpose of engaging in the transactions
contemplated by the Merger Agreement, and has not engaged in any business activities other than in
connection with the transactions contemplated by the Merger Agreement and arranging of the equity
financing and potential debt financing in connection with the Merger.
Thunder Merger Sub, Inc.
Merger Sub is a wholly owned subsidiary of Parent and was formed on October 12, 2022, solely for the
purpose of engaging in the transactions contemplated by the Merger Agreement, and has not engaged in
any business activities other than in connection with the transactions contemplated by the Merger
Agreement and arranging of the equity financing and potential debt financing in connection with the Merger.
Parent and Merger Sub are affiliated with Thoma Bravo Discover Fund III, L.P., Thoma Bravo Discover
Fund IV, L.P. (together, the “Thoma Bravo Funds”) and are managed by Thoma Bravo, L.P. UserZoom
Technologies, Inc. (“UserZoom”), Parent and Merger Sub and the Thoma Bravo Funds are each affiliated
with Thoma Bravo, L.P. UserZoom is owned by the Thoma Bravo Funds and funds affiliated with Sunstone
Partners. Thoma Bravo and Sunstone Partners are leading private equity firms focused on the software and
technology-enabled services sectors. At the Effective Time (as defined in the section of this proxy
1 TABLE OF CONTENTS​
statement captioned “-",9,10
"UserTesting, Inc._20221206_DEFM14A_20494905_4556398.Pdf",The Merger,"The Merger”), the Surviving Corporation (as defined in the section of this proxy
statement captioned “- The Merger”), will be indirectly owned by the Thoma Bravo Funds and Sunstone
Partners II, LP, Sunstone Partners II-A, LP, Sunstone Partners Executive Fund II, LP, Sunstone Partners III-
Main, LP, and Sunstone Partners III-A, LP (together, the “Sunstone Partners Funds”).
In connection with the transactions contemplated by the Merger Agreement, the Thoma Bravo Funds
and the Sunstone Partners Funds have each provided Parent with an equity commitment. The amounts
committed under the two equity commitment letters, each dated as of October 26, 2022 (each an “Equity
Commitment Letter” and collectively, the “Equity Commitment Letters”), will be used to fund the aggregate
purchase price required to be paid at the closing of the Merger (the “Closing”) and to also fund certain other
payments at the Closing (including the Required Amounts (as defined in the section of this proxy statement
captioned “The Merger - Financing of the Merger”)), subject to the terms and conditions of the Merger
Agreement. In addition, the Thoma Bravo Funds and Sunstone Partners Funds have each agreed to
guarantee the payment of certain liabilities and obligations of Parent or Merger Sub under the Merger
Agreement, subject to an aggregate cap equal to $56,464,408 for the Thoma Bravo Funds and $11,295,592 for
the Sunstone Partners Funds, including any termination fee and amounts in respect of certain reimbursement
and indemnification obligations of Parent and Merger Sub for certain costs, expenses or losses incurred or
sustained by us, as specified in the Merger Agreement. For more information, please see the section of this
proxy statement captioned “The Merger - Financing of the Merger.”
The Merger
Upon the terms and subject to the conditions of the Merger Agreement, Merger Sub will merge with and
into UserTesting and the separate corporate existence of Merger Sub will cease, with UserTesting continuing
as the surviving corporation and as a wholly owned subsidiary of Parent (the “Surviving Corporation”). As a
result of the Merger, UserTesting common stock will no longer be publicly traded and will be delisted from
the NYSE. In addition, UserTesting common stock will be deregistered under the United States Securities
Exchange Act of 1934, as amended (the “Exchange Act”), and we will no longer file periodic reports with the
United States Securities and Exchange Commission (the “SEC”). If the Merger is completed, you will not own
any shares of the capital stock of the Surviving Corporation. The time at which the Merger will become
effective will occur upon the filing of a certificate of merger with the Secretary of State of the State of
Delaware in accordance with the applicable provision of the General Corporation Law of the State of
Delaware (the “DGCL”) (the time of such filing and the acceptance for record by the Secretary of State of the
State of Delaware, or such later time as may be agreed in writing by Parent, Merger Sub and UserTesting and
specified in the certificate of merger, the “Effective Time”).",10,10
"UserTesting, Inc._20221206_DEFM14A_20494905_4556398.Pdf",Merger Consideration,"Merger Consideration
UserTesting Common Stock
At the Effective Time, each then-outstanding share of UserTesting common stock (other than shares of
UserTesting common stock (i) directly owned by us (as treasury stock or otherwise) immediately prior to the
Effective Time, (ii) directly owned by Parent or Merger Sub immediately prior to the Effective Time, or (iii)
owned by UserTesting stockholders who have properly exercised and validly perfected their statutory rights
of appraisal in respect of such shares of UserTesting common stock in accordance with Section 262 of the
DGCL (collectively, the “Excluded Shares”)) will be cancelled and automatically converted into the right to
receive $7.50 in cash, without interest thereon (the “Per Share Merger Consideration”), less any applicable
withholding taxes.
Prior to or at the Effective Time, Parent will deposit (or cause to be deposited) an amount of cash
sufficient to pay the aggregate Per Share Merger Consideration payable at Closing with a designated
payment agent for payment of each share of UserTesting common stock owned by each UserTesting
stockholder. For more information, please see the section of this proxy statement captioned “Proposal 1:
Adoption of the Merger Agreement - Exchange and Payment Procedures.”
After the Merger is completed, you will have the right to receive the Per Share Merger Consideration,
but you will no longer have any rights as a UserTesting stockholder (except that UserTesting stockholders
who properly exercise their appraisal rights may have the right to receive payment for the “fair value” of their
2 TABLE OF CONTENTS
shares determined pursuant to an appraisal proceeding, as contemplated by Delaware law). For more
information, please see the section of this proxy statement captioned “The Merger - Appraisal Rights.”
Treatment of Company Equity Awards
Company Options
Each option to purchase shares of UserTesting common stock (each, a “Company Option”) that is
vested in accordance with its terms and outstanding as of immediately prior to the Effective Time (each, a
“Vested Company Option”) will, automatically and without any required action on the part of the holder
thereof, be cancelled and converted into the right to receive an amount in cash, without interest, equal to the
product obtained by multiplying (x) the excess, if any, of (i) the Per Share Merger Consideration over (ii) the
per share exercise price for such Vested Company Option by (y) the total number of shares of UserTesting
common stock underlying such Vested Company Option, subject to applicable withholding taxes, provided,
however, that if the exercise price per share of UserTesting common stock of such Vested Company Option is
equal to or greater than the Per Share Merger Consideration, such Vested Company Option will be cancelled
without any cash payment or other consideration being made in respect thereof.
Each Company Option that is outstanding as of immediately prior to the Effective Time and that is not a
Vested Company Option (each, an “Unvested Company Option”) will, automatically and without any required
action on the part of the holder thereof, be converted into the contingent right to receive an amount in cash,
without interest, equal to the product obtained by multiplying (x) the excess, if any, of (i) the Per Share
Merger Consideration over (ii) the per share exercise price for such Unvested Company Option by (y) the
total number of shares of UserTesting common stock underlying such Unvested Company Option (the
“Unvested Company Option Consideration”), subject to applicable withholding taxes, provided, however,
that if the exercise price per share of UserTesting common stock of such Unvested Company Option is equal
to or greater than the Per Share Merger Consideration, such Unvested Company Option will be cancelled
without any cash payment or other consideration being made in respect thereof.
Subject to the holder’s continued service with Parent and its affiliates (including the Surviving
Corporation and its subsidiaries) through the applicable vesting dates, such Unvested Company Option
Consideration amounts will vest and become payable at the same time as the Unvested Company Option
from which such Unvested Company Option Consideration was converted would have vested and been
payable pursuant to its terms and, subject to certain exceptions, will otherwise remain subject to the same
terms and conditions as were applicable to the underlying Unvested Company Option immediately prior to
the Effective Time with respect to the receipt of the Unvested Company Option Consideration (without
limitation to any rights that the holder may have under any agreement with the Company in effect on the date
of the Merger Agreement).
Company RSUs
Each restricted stock unit award in respect of shares of UserTesting common stock (each, a “Company
RSU”) that is outstanding as of immediately prior to the Effective Time and either (x) held by a non-employee
member of the Board of Directors (whether vested or unvested) or (y) vested in accordance with its terms as
of the Effective Time (each, a “Vested Company RSU”) will, automatically and without any required action on
the part of the holder thereof, be cancelled and converted into the right to receive an amount in cash,
without interest, equal to the product obtained by multiplying (x) the total number of shares of UserTesting
common stock underlying such Vested Company RSU by (y) the Per Share Merger Consideration, subject to
applicable withholding taxes.
Each Company RSU that is outstanding as of immediately prior to the Effective Time and not a Vested
Company RSU (each, an “Unvested Company RSU”) will, automatically and without any required action on
the part of the holder thereof, be converted into the contingent right to receive an amount in cash, without
interest, equal to the product obtained by multiplying (x) the total number of shares of UserTesting common
stock underlying such Unvested Company RSU by (y) the Per Share Merger Consideration (the “Unvested
Company RSU Consideration”), subject to applicable withholding taxes.
3",10,12
"UserTesting, Inc._20221206_DEFM14A_20494905_4556398.Pdf",U.S. Federal Income Tax Consequences of the Merger,"U.S. Federal Income Tax Consequences of the Merger
The receipt of cash by our stockholders in exchange for shares of UserTesting common stock in the
Merger will be a taxable transaction for U.S. federal income tax purposes. Such receipt of cash by a U.S.
Holder (as defined in the section of this proxy statement captioned “The Merger - U.S. Federal Income Tax
Consequences of the Merger”) generally will result in the recognition of gain or loss in an amount equal to
the difference, if any, between the amount of cash that such U.S. Holder receives in the Merger and such
U.S. Holder’s adjusted tax basis in the shares of UserTesting common stock surrendered pursuant to the
Merger.
A Non-U.S. Holder (as defined in the section of this proxy statement captioned “The Merger - U.S.
Federal Income Tax Consequences of the Merger”) generally will not be subject to U.S. federal income tax
with respect to the exchange of UserTesting common stock for cash in the Merger unless such Non-U.S.
Holder has certain connections to the United States, but may be subject to backup withholding tax unless
the Non-U.S. Holder complies with certain certification procedures or otherwise establishes a valid exemption
from backup withholding tax.
For more information, please see the section of this proxy statement captioned “The Merger - U.S.
Federal Income Tax Consequences of the Merger.”
UserTesting stockholders should consult their tax advisors concerning the U.S. federal income tax consequences
relating to the Merger in light of their particular circumstances and any consequences arising under the laws of any
state, local or non-U.S. tax jurisdiction.",12,12
"UserTesting, Inc._20221206_DEFM14A_20494905_4556398.Pdf",Appraisal Rights,"Appraisal Rights
If the Merger is consummated, UserTesting stockholders and beneficial owners who continuously hold
or own shares of UserTesting common stock through the Effective Time, who do not vote in favor of the
adoption of the Merger Agreement, who properly demand appraisal of their shares and who do not withdraw
their demands or otherwise lose their rights to seek appraisal will be entitled to seek appraisal of their shares
in connection with the Merger under Section 262 of the DGCL. This means that record holders and beneficial
owners of UserTesting common stock may be entitled to have their shares appraised by the Delaware Court
of Chancery, and to receive payment in cash of the “fair value” of their shares of UserTesting common stock,
exclusive of any elements of value arising from the accomplishment or expectation of the Merger, together
with interest to be paid on the amount determined to be “fair value,” if any, as determined by the court (or in
certain circumstances described in further detail in the section of this proxy statement captioned “The
Merger - Appraisal Rights,” on the difference between the amount determined to be the “fair value” and the
amount paid by the Surviving Corporation in the Merger to each person entitled to appraisal prior to the
entry of judgment in any appraisal proceeding). Due to the complexity of the appraisal process, persons who
wish to seek appraisal of their shares are encouraged to seek the advice of legal counsel with respect to the
exercise of appraisal rights.
UserTesting stockholders and beneficial owners considering seeking appraisal should be aware that the
“fair value” of their shares as determined pursuant to Section 262 of the DGCL could be more than, the same
as, or less than the value of the Per Share Merger Consideration that they would receive pursuant to the
Merger Agreement if they did not seek appraisal of their shares of UserTesting common stock.
To exercise appraisal rights, record holders and beneficial owners of UserTesting common stock must:
(i) properly submit a written demand for appraisal to us before the vote is taken on the proposal to adopt
4 • 
TABLE OF CONTENTS​
the Merger Agreement; (ii) not submit a proxy or otherwise vote in favor of the proposal to adopt the Merger
Agreement; (iii) hold or own such shares upon the making of a demand under clause (i) and continue to hold
or own their shares of UserTesting common stock through the Effective Time; (iv) not thereafter withdraw
their demand for appraisal of their shares or otherwise lose their appraisal rights, each in accordance with the
DGCL; and (v) strictly comply with all other procedures for exercising appraisal rights under the DGCL.
Failure to follow exactly the procedures specified under the DGCL may result in the loss of appraisal rights.
In addition, the Delaware Court of Chancery will dismiss appraisal proceedings in respect of UserTesting
unless certain stock ownership conditions are satisfied by UserTesting stockholders and beneficial owners
seeking appraisal. The DGCL requirements for exercising appraisal rights are described in further detail in
this proxy statement, which is qualified in its entirety by Section 262 of the DGCL, the relevant section of the
DGCL regarding appraisal rights. A copy of Section 262 of the DGCL is reproduced in Annex C to this proxy
statement. For more information, please see the section of this proxy statement captioned “The Merger - 
Appraisal Rights.”",12,13
"UserTesting, Inc._20221206_DEFM14A_20494905_4556398.Pdf",Litigation Related to the Merger,"Litigation Related to the Merger
Two lawsuits have been filed in federal courts against UserTesting and its directors: O’Dell v.
UserTesting, Inc., et al., 1:22-cv-10071 (S.D.N.Y.), and Glanville v. UserTesting, Inc., et al., 3:22-cv-07568
(N.D. Cal.) (collectively, the “Stockholder Litigation”). The complaints name UserTesting and our directors as
defendants. The complaints assert claims under Section 14(a) and Section 20(a) of the Exchange Act and
Rule 14a-19 promulgated thereunder, and generally allege that the preliminary proxy statement misrepresents
and/or omits certain purportedly material information relating to the Merger, including allegations relating to
the background of the Merger, financial projections, analyses of our financial advisor and conflicts of
interest by company insiders in pursuing the Merger. The complaints seek a variety of equitable and
injunctive relief including, among other things, an injunction enjoining the consummation of the Merger,
rescission of the Merger Agreement, rescission of the Merger if it is consummated, rescissory damages and
costs and attorneys’ fees. We have not yet responded to the complaints filed in the Stockholder Litigation.
In addition, three purported stockholders of UserTesting sent demand letters regarding the preliminary
proxy statement (the “Demand Letters”). Based on the same core allegations as the Stockholder Litigation,
the Demand Letters request that we disseminate corrective disclosures in an amendment or supplement to
the preliminary proxy statement.
We believe the Stockholder Litigation and the Demand Letters are without merit, but there can be no
assurance that we will ultimately prevail in the Stockholder Litigation or all such lawsuits. Additionally,
additional lawsuits may be filed and demand letters may be sent before the Special Meeting and/or the
consummation of the Merger.",13,13
"UserTesting, Inc._20221206_DEFM14A_20494905_4556398.Pdf",Regulatory Approvals Required for the Merger,"Regulatory Approvals Required for the Merger
HSR Act, U.S. Antitrust Matters and Other Regulatory Approvals
Under the Merger Agreement, the Merger cannot be completed until the applicable 30-calendar-day
waiting period under the Hart-Scott-Rodino Antitrust Improvements Act of 1976, as amended (the “HSR
Act”), has expired or been terminated. UserTesting and Thoma Bravo made the filings required under the
HSR Act on November 9, 2022. Completion of the Merger is further subject to certain regulatory actions by
the United Kingdom Competition and Markets Authority (“CMA”) and the Australian Competition and
Consumer Commission (“ACCC”).
For more information, please see the section of this proxy statement captioned “The Merger -
Regulatory Approvals Required for the Merger.”",13,13
"UserTesting, Inc._20221206_DEFM14A_20494905_4556398.Pdf",Closing Conditions,"Closing Conditions
The obligations of UserTesting, Parent and Merger Sub, as applicable, to effect the Merger are subject
to the satisfaction or waiver of customary conditions, including (among other conditions), the following:
the adoption of the Merger Agreement by the requisite affirmative vote of our stockholders;
5 • 
• 
• 
• 
• 
• 
• 
• 
• 
TABLE OF CONTENTS​
the expiration or early termination of the applicable waiting period under the HSR Act and the
absence of any agreement with a governmental entity not to close the Merger;
certain regulatory actions by the CMA and ACCC;
the absence of any laws or court orders making the Merger illegal or otherwise prohibiting the
Merger;
in the case of Parent and Merger Sub, the absence, since the date of the Merger Agreement, of any
continuing change, event, effect or circumstance at UserTesting that would reasonably be expected
to have a material adverse effect (with certain limitations) on the business, results of operations or
financial condition of UserTesting and our subsidiaries, taken as a whole;
the accuracy of the representations and warranties of UserTesting, Parent and Merger Sub in the
Merger Agreement, subject to materiality qualifiers and monetary thresholds, as of the Effective Time
or the date in respect of which such representation or warranty was specifically made (the
“Representation Condition”);
the performance in all material respects by UserTesting, Parent and Merger Sub of their respective
obligations and compliance in all material respects with all covenants required to be performed by
them under the Merger Agreement at or prior to the Effective Time (the “Covenant Condition”);
the receipt by Parent of a certificate of UserTesting, dated as of the Closing Date and signed by our
chief executive officer, certifying that the Representation Condition and the Covenant Condition,
each in respect of UserTesting, have been satisfied;
the receipt by Parent of certain customary payoff letters for certain indebtedness for borrowed
money, as contemplated in the Merger Agreement; and
the receipt by UserTesting of a certificate of Parent and Merger Sub, dated as of the Closing Date and
signed by their respective president or chief executive officer, certifying that the Representation
Condition and the Covenant Condition, each in respect of Parent and Merger Sub, have been
satisfied.",13,14
"UserTesting, Inc._20221206_DEFM14A_20494905_4556398.Pdf",Financing of the Merger,"Financing of the Merger
We presently anticipate that the total funds needed to complete the Merger and the related transactions
will be approximately $1.3 billion, which will be funded via equity and, potentially, debt financing described
below together with our cash on hand as of the Closing Date.
The obligation of Parent and Merger Sub to consummate the Merger is not subject to any financing
condition. Parent and Merger Sub have represented to us that, subject to the satisfaction of certain
conditions set forth in the Merger Agreement, the equity financing contemplated by the Equity Commitment
Letters, if funded in accordance with the Equity Commitment Letters, will, together with cash on hand or
other sources of immediately available funds, provide Parent with sufficient funds to pay the fees and
expenses required to be paid at the Closing of the Merger by Parent and Merger Sub and Parent’s other
affiliates on the Closing Date. This includes funds needed to: (1) pay our stockholders the amounts due
under the Merger Agreement for their UserTesting common stock, (2) make payments in respect of our
outstanding Company Options and Company RSUs payable at the Closing of the Merger pursuant to the
Merger Agreement; and (3) repayment or refinancing of certain indebtedness (collectively, the “Required
Amounts”).
The Thoma Bravo Funds and the Sunstone Partners Funds have committed to contribute or cause to be
contributed to Parent at the Closing of the Merger certain equity financing, each subject to the terms and
conditions set forth in their respective Equity Commitment Letters. We are an intended and express third-
party beneficiary of the Equity Commitment Letters solely with respect to enforcing Parent’s right to cause
the commitment under the Equity Commitment Letters by the Thoma Bravo Funds or the Sunstone Partners
Funds, as applicable, to be funded to Parent in accordance with such Equity Commitment Letters, and to
cause Parent to enforce its rights against the Thoma Bravo Funds or the Sunstone Partners Funds, as
applicable, to perform its funding obligations under the respective Equity Commitment Letter, in each case
subject to (i) the limitations and conditions set forth in the applicable Equity Commitment Letter and (ii) the
terms and conditions of the Merger Agreement.
6",14,15
