Document,Section Header,Section Text,Start Page,End Page
VONAGE HOLDINGS CORP_20220110_DEFM14A_19765909_4363201.Pdf,SUMMARY TERM SHEET,"SUMMARY TERM SHEET
This summary highlights certain information in this proxy statement but may not contain all of the information that may be important to
you. You should carefully read the entire proxy statement and the attached Annexes and the other documents to which this proxy statement refers
you for a more complete understanding of the matters being considered at the Special Meeting. The Merger Agreement (as defined below) is
attached as Annex A to this proxy statement. You should carefully read and consider the entire Merger Agreement, which is the legal document
that governs the merger and other transactions contemplated by the Merger Agreement. In addition, this proxy statement incorporates by
reference important business and financial information about Vonage Holdings Corp. You may obtain the information incorporated by reference
in this proxy statement without charge by following the instructions in the section entitled “Where You Can Find More Information,” beginning
on page 110. Unless the context otherwise indicates, we refer to Vonage Holdings Corp. as “Vonage,” the “Company,” “we,” “us” or “our” and
any other capitalized term used herein but not otherwise defined herein has the meaning assigned to such term in the Merger Agreement.",9,9
VONAGE HOLDINGS CORP_20220110_DEFM14A_19765909_4363201.Pdf,The Parties (see page 23),"The Parties (see page 23)
Vonage is a global cloud communications leader, helping businesses accelerate their digital transformation. Vonage’s Communications Platform
is fully programmable and allows for the integration of Video, Voice, Chat, Messaging and Verification into existing products, workflows and systems.
Our business is organized under two reportable operating segments: Vonage Communications Platform segment (“VCP Segment”) and Consumer
segment (“Consumer Segment”). The VCP Segment includes our Application Program Interfaces (“APIs”), Unified Communications (“UC”), Contact
Center (“CC”) service offerings and products. Vonage’s fully programmable UC and CC applications are built from the Vonage platform and enable
companies to transform how they communicate and operate from the office or anywhere, providing enormous flexibility and ensuring business
continuity. The VCP Segment represents our strategic business as the source of future growth. Our Consumer Segment includes our
communications solutions for residential customers based on our roots in providing voice over internet protocol communication services. Vonage’s
principal executive offices are located at 23 Main Street, Holmdel, NJ 07733 and our telephone number is 212-871-3927. 
Telefonaktiebolaget LM Ericsson (publ) is an entity organized and existing under the laws of Sweden (“Parent”). Parent and its subsidiaries
provide high-performing solutions to enable its customers to capture the full value of connectivity. Parent and its subsidiaries supply
communication infrastructure, services and software to the telecom industry and other sectors. Parent and its subsidiaries have approximately
100,000 employees and serves customers in more than 180 countries. Parent is listed on Nasdaq Stockholm AB in Sweden and Parent’s American
Depositary Shares trade on the NASDAQ. Parent’s headquarters are located in Stockholm, Sweden. Upon completion of the transactions
contemplated thereby, Vonage will be an indirect wholly-owned subsidiary of Parent. Parent’s principal executive offices are located at
Torshamnsgatan 21, Kista SE-164 83, Stockholm, Sweden, and its telephone number is +46-10-719-0000. 
Parent formed Ericsson Muon Holding Inc., a Delaware corporation and an indirect wholly-owned Subsidiary of Parent, on November 15, 2021
(“Merger Sub”), solely for the purpose of engaging in the Transactions, including the Merger. Merger Sub has not carried on any activities on or
prior to the date of this proxy statement, except for activities incidental to its formation and activities undertaken in connection with Parent’s
acquisition of Vonage. Upon completion of the Merger, Merger Sub will merge with and into Vonage, and Merger Sub will cease to exist. Merger
Sub’s principal executive offices are located at c/o Telefonaktiebolaget LM Ericsson (publ) Torshamnsgatan 21, Kista SE-164 83, Stockholm, Sweden,
and its telephone number is +46-10-719-0000. 
 
1Table of Contents
The Merger (see page 32)",9,10
VONAGE HOLDINGS CORP_20220110_DEFM14A_19765909_4363201.Pdf,The Merger (see page 32),"The Merger (see page 32)
On November 22, 2021, Vonage, Parent, and Merger Sub entered into an Agreement and Plan of Merger (as may be amended from time to time,
the “Merger Agreement”). Under the terms of the Merger Agreement, subject to the satisfaction or waiver of specified conditions, Merger Sub will
merge with and into Vonage (the “Merger,” and together with the other transactions contemplated by the Merger Agreement, the “Transactions”).
Vonage will survive the Merger as an indirect wholly-owned subsidiary of Parent (the “Surviving Corporation”).
Upon completion of the Merger, each share of Vonage common stock, par value $0.001 per share (“Vonage Common Stock”), that is issued
and outstanding immediately prior to the effective time of the Merger (the “Effective Time”) (other than (i) shares of Vonage Common Stock owned
by Parent or Merger Sub or any of their respective subsidiaries, (ii) shares of Vonage Common Stock owned by Vonage as treasury stock (each such
share of Vonage Common Stock referred to in the foregoing clauses (i) and (ii), an “Excluded Share” and, collectively, the “Excluded Shares”), and
(iii) shares of Vonage Common Stock held by stockholders who will not have voted in favor of the proposal to adopt the Merger Agreement and who
will have properly exercised appraisal rights in respect of such shares of Vonage Common Stock in accordance with Section 262 of the Delaware
General Corporation Law (the “DGCL”) (each a “Dissenting Share” and, collectively, the “Dissenting Shares”)), will be converted into the right to
receive $21.00 per share of Vonage Common Stock, in cash, net of any applicable withholding taxes and without interest (the “Merger
Consideration”). Each share of Vonage Common Stock will cease to be outstanding, will be cancelled and will cease to exist, and (A) each certificate
(a “Certificate”) formerly representing any of the shares of Vonage Common Stock (other than the Excluded Shares and Dissenting Shares) and (B)
each book-entry account formerly representing any uncertificated shares of Vonage Common Stock (“Uncertificated Shares”) (other than Excluded
Shares and Dissenting Shares), will represent only the right to receive the Merger Consideration and each Certificate or Uncertificated Share
formerly representing Dissenting Shares will thereafter represent only the right to receive payment in accordance with the Merger Agreement
provisions relating to appraisal rights. For additional information on the treatment of Dissenting Shares, see the section entitled “Appraisal Rights,”
beginning on page 99.
Following the completion of the Merger, Vonage will cease to be a publicly traded company and will become an indirect wholly-owned
subsidiary of Parent.",10,10
VONAGE HOLDINGS CORP_20220110_DEFM14A_19765909_4363201.Pdf,The Special Meeting (see page 24),"The Special Meeting (see page 24)
The Special Meeting will be held on February 9, 2022, at 10:00 A.M., Eastern Time, via a live webcast accessible by visiting
www.virtualshareholdermeeting.com/VG2022SM and following the instructions on the website. At the Special Meeting, you will be asked to, among
other things, vote for the proposal to adopt the Merger Agreement. Please note that you will not be able to attend the virtual Special Meeting in
person. See the section entitled “The Special Meeting,” beginning on page 24, for additional information on the Special Meeting, including how to
vote your shares of Vonage Common Stock.
Stockholders Entitled to Vote; Vote Required to Adopt the Merger Agreement (see pages 24 and 25)",10,10
VONAGE HOLDINGS CORP_20220110_DEFM14A_19765909_4363201.Pdf,Stockholders Entitled to Vote; Vote Required to Adopt the Merger Agreement (see pages 24 and 25),"Stockholders Entitled to Vote; Vote Required to Adopt the Merger Agreement (see pages 24 and 25)
You may vote at the Special Meeting if you were a holder of record of shares of Vonage Common Stock as of the close of business on January
5, 2022, which is the record date for the Special Meeting (the “Record Date”). You will be entitled to one vote for each share of Vonage Common
Stock that you owned on the Record Date. As of the Record Date, there were 254,037,958 shares of Vonage Common Stock issued and outstanding
and entitled to vote at the Special Meeting. The adoption of the Merger Agreement requires the affirmative vote of the holders of a majority of the
outstanding shares of Vonage Common Stock entitled to vote on such matter.
 
2Table of Contents
Shares of Vonage Common Stock Held by Vonage’s Directors and Executive Officers (see page 25)",10,11
VONAGE HOLDINGS CORP_20220110_DEFM14A_19765909_4363201.Pdf,Shares of Vonage Common Stock Held by Vonage’s Directors and Executive Officers (see page 25),"Shares of Vonage Common Stock Held by Vonage’s Directors and Executive Officers (see page 25)
As of the Record Date, our directors and executive officers beneficially owned and were entitled to vote, in the aggregate, 2,618,592 shares of
Vonage Common Stock, representing approximately 1.03% of the shares of Vonage Common Stock outstanding as of the Record Date.
Our directors and executive officers have informed us that they currently intend to vote all of their respective shares of Vonage Common Stock:
(1) “FOR” the adoption of the Merger Agreement; (2) “FOR” the Non-Binding Compensation Advisory Proposal; and (3) “FOR” the Adjournment
Proposal.
How to Vote (see page 26)",11,11
VONAGE HOLDINGS CORP_20220110_DEFM14A_19765909_4363201.Pdf,How to Vote (see page 26),"How to Vote (see page 26)
Stockholders of record have a choice of voting by proxy by completing a proxy card and mailing it in the prepaid envelope provided, by calling
a toll-free telephone number or through the Internet. Please refer to your proxy card or the information forwarded by your bank, broker, trust or other
nominee to see which options are available to you. The telephone and Internet voting facilities for stockholders of record will close at 11:59 P.M.
Eastern Time on the day before the Special Meeting.
If you wish to vote by proxy and your shares of Vonage Common Stock are held by a bank, broker, trust or other nominee, you must follow the
voting instructions provided to you by your bank, broker, trust or other nominee. Unless you give your bank, broker, trust or other nominee
instructions on how to vote your shares of Vonage Common Stock, your bank, broker, trust or other nominee will not be able to vote your shares of
Vonage Common Stock at the Special Meeting.
If you wish to vote at the Special Meeting and your shares of Vonage Common Stock are held in the name of a bank, broker or other holder of
record, you must obtain a legal proxy, executed in your favor, from the bank, broker or other holder of record authorizing you to vote at the Special
Meeting.
YOU SHOULD NOT SEND IN YOUR STOCK CERTIFICATE(S) WITH YOUR PROXY CARD. A letter of transmittal with instructions for the
surrender of Certificates representing shares of Vonage Common Stock or book-entry shares of Vonage Common Stock will be mailed to stockholders
if the Merger is completed.
For additional information regarding the procedure for delivering your proxy, see the sections entitled “The Special Meeting—How to Vote,”
beginning on page 26, and “The Special Meeting—Solicitation of Proxies,” beginning on page 27. If you have more questions about the Merger or
how to submit your proxy, or if you need additional copies of this proxy statement or the enclosed proxy card or voting instructions, please call our
proxy solicitor, MacKenzie Partners, Inc., toll-free at 800-322-2885. 
Recommendation of the Board; Reasons for Recommending the Adoption of the Merger Agreement (see page 40)",11,11
VONAGE HOLDINGS CORP_20220110_DEFM14A_19765909_4363201.Pdf,Recommendation of the Board; Reasons for Recommending the Adoption of the Merger Agreement (see page 40),"Recommendation of the Board; Reasons for Recommending the Adoption of the Merger Agreement (see page 40)
After careful consideration, Vonage’s board of directors (the “Board”) unanimously approved and declared the Merger Agreement and the
consummation of the Transactions, including the Merger, to be advisable and in the best interests of Vonage and its stockholders.
Accordingly, the Board unanimously recommends that at the Special Meeting, you vote: (i) “FOR” the proposal to adopt the Merger Agreement,
(ii) “FOR” the proposal to approve, by a non-binding advisory vote, of the compensation that may be paid or become payable to Vonage’s named
executive officers that is based on or otherwise relates to the Merger, and (iii) “FOR” the proposal to adjourn the Special Meeting if necessary or
appropriate, including to solicit additional proxies.
 
3Table of Contents
For a discussion of the material factors considered by the Board in reaching its conclusions, see the section entitled “The Merger—Reasons
for Recommending the Adoption of the Merger Agreement,” beginning on page 40. In addition, in considering the recommendation of the Board with
respect to the Merger Agreement, you should be aware that some of our directors and executive officers have interests that may be different from, or
in addition to, the interests of Vonage stockholders generally. See the section entitled “The Merger—Interests of Directors and Executive Officers in
the Merger,” beginning on page 54.
Opinion of Qatalyst Partners LP (see page 47 and Annex B)",11,12
VONAGE HOLDINGS CORP_20220110_DEFM14A_19765909_4363201.Pdf,Opinion of Qatalyst Partners LP (see page 47 and Annex B),"Opinion of Qatalyst Partners LP (see page 47 and Annex B)
Vonage engaged Qatalyst Partners LP (“Qatalyst Partners”) to provide financial advice in connection with the proposed Merger based on
Qatalyst Partners’ qualifications, expertise, reputation and knowledge of Vonage’s business and the industry in which Vonage operates. At the
meeting of the Board on November 21, 2021, Qatalyst Partners rendered to the Board its oral opinion, subsequently confirmed in writing, to the effect
that, as of November 21, 2021 and based upon and subject to the various assumptions, qualifications, limitations and other matters set forth therein,
the merger consideration of $21.00 per share of Vonage Common Stock in cash, without interest thereon to be received pursuant to, and in
accordance with, the terms of the Merger Agreement by the holders of shares of Vonage Common Stock (other than Parent or any affiliate of Parent),
was fair, from a financial point of view, to such holders.
The full text of the opinion of Qatalyst Partners, dated as of November 21, 2021, is attached to this proxy statement as Annex B and is
incorporated into this proxy statement by reference. The opinion sets forth, among other things, the assumptions made, procedures followed,
matters considered and limitations and qualifications of the review undertaken by Qatalyst Partners in rendering its opinion. You should read the
opinion carefully in its entirety.
Qatalyst Partners’ opinion was provided to the Board and addressed only, as of the date of the opinion, the fairness, from a financial point of
view, of the merger consideration of $21.00 per share of Vonage Common Stock in cash, without interest thereon, to be received pursuant to, and in
accordance with, the terms of the Merger Agreement by the holders of shares of Vonage Common Stock (other than Parent or any affiliate of Parent),
to such holders. It does not address any other aspect of the Merger. It does not constitute a recommendation to any Vonage stockholder as to how
to vote with respect to the Merger or any other matter and does not in any manner address the price at which the shares of Vonage Common Stock
will trade at any time.
For a description of the opinion that the Board received from Qatalyst Partners, see the section of this proxy statement entitled “The Merger—
Opinion of Qatalyst Partners LP.”
Market Price and Dividend Data (see page 104)",12,12
VONAGE HOLDINGS CORP_20220110_DEFM14A_19765909_4363201.Pdf,Market Price and Dividend Data (see page 104),"Market Price and Dividend Data (see page 104)
Vonage Common Stock is traded on the NASDAQ Global Select Market (“NASDAQ”) under the symbol “VG.” On November 19, 2021, the last
full trading day prior to the public announcement of the Merger, the closing price for Vonage Common Stock was $16.37 per share. On January 7,
2022, the last full trading day prior to the date of this proxy statement, the closing price for Vonage Common Stock was $20.76 per share of Vonage
Common Stock.
Certain Effects of the Merger (see page 63)",12,12
