Document,Section Header,Section Text,Start Page,End Page
"Veoneer, Inc._20211115_DEFM14A_19656349_4335019.Pdf",SUMMARY,"SUMMARY
This summary highlights selected information from this proxy statement (this “Proxy Statement”) related to the
proposed merger (the “Merger”) of SSW Merger Sub Corp (“Merger Sub”) with and into Veoneer, Inc. pursuant to
the Agreement and Plan of Merger, dated as of October 4, 2021, as it may be amended from time to time (the
“Merger Agreement”), by and among Veoneer, Inc., QUALCOMM Incorporated (“Qualcomm”), SSW HoldCo LP
(“SSW,” together with Qualcomm as the “Acquiring Parties”) and Merger Sub, and may not contain all of the
information that is important to you. To understand the Merger more fully and for a more complete description of
the legal terms of the Merger, you should read carefully this entire Proxy Statement, the annexes to this Proxy
Statement and the documents we refer to in this Proxy Statement. You may obtain the information incorporated by
reference in this Proxy Statement without charge by following the instructions in the section entitled “Where You
Can Find More Information” beginning on page 123 of this Proxy Statement. The Merger Agreement is attached as
Annex A to this Proxy Statement. You are encouraged to read the Merger Agreement, which is the legal document
that governs the Merger.
Except as otherwise specifically noted in this Proxy Statement, “Veoneer,” the “Company,” “we,” “our,” “us” and
similar words in this Proxy Statement refer to Veoneer, Inc., including, in certain cases, our subsidiaries.
Throughout this Proxy Statement we refer to QUALCOMM Incorporated as “Qualcomm,” SSW HoldCo LP as
“SSW,” SSW together with Qualcomm as the “Acquiring Parties” and SSW Merger Sub Corp as “Merger Sub.” In
addition, throughout this Proxy Statement we refer to the terminated Agreement and Plan of Merger, dated as of
July 22, 2021, by and among Magna International Inc. (“Magna”), 2486345 Delaware Corporation and Veoneer
as the “Magna Merger Agreement.”",13,13
"Veoneer, Inc._20211115_DEFM14A_19656349_4335019.Pdf",The Special Meeting,"The Special Meeting (page 31)
Date, Time and Place of the Special Meeting
This Proxy Statement is being furnished to the stockholders of Veoneer (the “Veoneer Stockholders”) as a part of the
solicitation of proxies by the Board for use at the special meeting of stockholders (the “Special Meeting”) to be held
on December 16, 2021, at 9:30 a.m. Eastern Time or at any adjournment or postponement thereof. Due to public health
concerns surrounding COVID-19 and to prioritize the health and well-being of Veoneer’s employees, stockholders
and other community members, Veoneer will hold the Special Meeting in a virtual format only at
www.virtualshareholdermeeting.com/VNE2021SM. You will not be able to attend the Special Meeting in person.
Purpose of the Special Meeting
At the Special Meeting, Veoneer Stockholders will be asked to consider and vote on proposals (collectively, the
“Special Meeting Proposals”) to:
•
adopt the Merger Agreement; and
•
approve, by non-binding, advisory vote, compensation that will or may become payable by Veoneer to its
named executive officers in connection with the Merger.
Record Date; Shares Entitled to Vote; Quorum
Only Veoneer Stockholders of record as of the close of business on November 12, 2021 (the “Record Date”), are
entitled to notice of the Special Meeting and to vote at the Special Meeting or at any adjournment or postponement
thereof. A list of stockholders entitled to vote at the Special Meeting will be available for inspection in Veoneer’s
headquarters located at Klarabergsviadukten 70, Section C6, Box 13089, SE- 103 02, Stockholm, Sweden, during
regular business hours for a period of at least ten (10) days before the Special Meeting and online at the meeting
website during the Special Meeting. To access the list during the Special Meeting, please use the virtual meeting
website link set forth here: www.virtualshareholdermeeting.com/VNE2021SM.
The inspector of elections appointed for the Special Meeting will tabulate votes cast by proxy or by ballot at the
Special Meeting. The inspector of elections will also determine whether a quorum is present. In order to constitute a
quorum for the conduct of business at the Special Meeting, a majority of the outstanding shares of Veoneer’s
common stock, par value $1.00 per share (“Veoneer Common Stock”), entitled to vote at the Special Meeting must be
present or represented by proxy at the Special Meeting. Shares that abstain from voting on any proposal will be
treated as shares that are present and entitled to vote at the Special Meeting for purposes of determining whether a
quorum is present.
1TABLE OF CONTENTS
Vote Required; Abstentions and Broker Non-Votes
The affirmative vote of a majority of the outstanding shares of Veoneer Common Stock entitled to vote thereon is
required to adopt the Merger Agreement. Holders of Veoneer’s Swedish Depository Receipts (“SDRs”) are entitled to
vote the shares of Veoneer Common Stock underlying their SDRs as if they directly held Veoneer Common Stock.
Therefore, each holder of SDRs is entitled to one vote for each share of Veoneer Common Stock underlying each SDR
held on the Record Date. The affirmative vote of the holders of a majority in voting power of the Veoneer Common
Stock entitled to vote thereon, which are present or represented by proxy, at the Special Meeting, provided a quorum
is present, is required to approve, by means of a non-binding, advisory vote, the proposal to approve compensation
that will or may become payable by Veoneer to its named executive officers in connection with the Merger. This
means that the proposal to adopt the Merger Agreement, and the transaction contemplated thereby, including the
Merger, will be approved if the number of shares voted “FOR” such proposal is greater than fifty percent (50%) of
the total number of outstanding shares of Veoneer Common Stock entitled to vote at the Special Meeting.
Abstentions will be counted as votes “AGAINST” the proposal to adopt the Merger Agreement and the transactions
contemplated by the Merger Agreement, including the Merger, and the proposal to approve compensation that will or
may become payable by Veoneer to its named executive officers in connection with the Merger. Because both
proposals presented to Veoneer Stockholders will be considered non-discretionary, a bank, broker or other nominee
that holds shares in street name for a beneficial owner may not, under applicable rules, vote those shares without
specific voting instructions from the beneficial owner. If the beneficial owner does not provide instructions on either
proposal, then the bank, broker or other nominee will not be entitled to vote the shares at the Special Meeting and, as
a result, those shares will be deemed not present at the Special Meeting. However, if a beneficial owner provides
instruction as to how the bank, broker or other nominee should vote on one proposal, but does not provide any
instruction regarding how to vote on the other proposal, then the shares will be deemed present at the Special
Meeting, the bank, broker or other nominee will vote the shares as instructed on the proposal for which it received
instruction, and the bank, broker or other nominee will not vote the shares on the other proposal, which is known as a
“broker non-vote” on that proposal. Broker non-votes will have the same effect as a vote “AGAINST” the proposal
to adopt the Merger Agreement, but will have no effect on the proposal to approve compensation that will or may
become payable by Veoneer to its named executive officers in connection with the Merger.
Shares Held by Veoneer’s Directors and Executive Officers
At the close of business on the Record Date, Veoneer’s directors and executive officers beneficially owned 420,551
shares of Veoneer Common Stock (including their vested Veoneer stock options), which represented approximately
0.4% of the shares of outstanding Veoneer Common Stock on that date (and approximately 0.4% of the outstanding
shares of Veoneer Common Stock when taking into account Veoneer stock options (the “Company Options”)). The
directors and executive officers have informed Veoneer that they currently intend to vote all of their shares of Veoneer
Common Stock “FOR” the adoption of the Merger Agreement and “FOR” the non-binding, advisory proposal
regarding compensation that will or may become payable by Veoneer to its named executive officers in connection
with the Merger.
Voting of Proxies
If your shares are registered in your name with Veoneer’s transfer agent, Computershare, you may cause your shares
to be voted by submitting, electronically over the internet or by phone, a proxy authorizing the voting of your shares
by following the instructions on your proxy card. You must have the enclosed proxy card available, and follow the
instructions on the proxy card, in order to submit a proxy electronically over the internet or by telephone. We
encourage all stockholders and holders of SDRs to vote electronically. Alternatively, if you do not have access to a
touch-tone phone or the internet, you may sign, date and return the enclosed proxy card in the postage-paid
envelope provided. Based on your proxy cards or internet and telephone proxies, the proxy holders will vote your
shares according to your directions.
If you plan to attend and desire to vote at the Special Meeting in a virtual format, you will be provided with a virtual
ballot at the Special Meeting. Please note that if your shares of Veoneer Common Stock are held of record by a broker,
bank or other nominee, and you decide to attend and vote at the Special Meeting in a virtual format, your vote by
virtual ballot at the Special Meeting will not be effective unless you present a legal proxy, issued in your name from
your broker, bank or other nominee.
Voting instructions are included on your enclosed proxy card. All shares represented by properly executed proxies
received in time for the Special Meeting will be voted at the Special Meeting in accordance with the instructions of
2
TABLE OF CONTENTS
the stockholders. Properly executed proxies that do not contain voting instructions will be voted “FOR” adoption of
the Merger Agreement and “FOR” the proposal to approve, by non-binding, advisory vote, compensation that will
or may become payable by Veoneer to its named executive officers in connection with the Merger. No proxy that is
specifically marked against adoption of the Merger Agreement will be voted in favor of the proposed compensation
arrangements for Veoneer’s named executive officers in connection with the Merger, unless it is specifically marked
“FOR” the approval of such proposal.
If your shares of Veoneer Common Stock are held in street name and you do not instruct your broker, bank or other
nominee how to vote your shares, then, because both of the Special Meeting Proposals are “non-routine matters,”
your broker, bank or other nominee would not have discretionary authority to vote your shares on the Special
Meeting Proposals. If your shares of Veoneer Common Stock are held in street name, your broker, bank or other
nominee has enclosed a voting instruction form with this Proxy Statement. We encourage you to authorize your
broker, bank or other nominee to vote your shares “FOR” both of the Special Meeting Proposals by following the
instructions provided on the voting instruction form. If you do not vote via the internet or telephone through your
broker, bank or other nominee or do not return your bank’s, broker’s or other nominee’s voting form, or do not attend
the Special Meeting and vote with a proxy from your broker, bank or other nominee, it will be counted as a vote
“AGAINST” the proposal to adopt the Merger Agreement and will not have any effect on the proposal to approve,
by non-binding, advisory vote, compensation that will or may become payable by Veoneer to its named executive
officers in connection with the Merger. If you instruct your bank, broker or other nominee how to vote your shares
on one proposal, but do not provide instructions as to the other proposal, your shares will be voted as instructed on
the one proposal and a broker non-vote will occur on the other proposal. Broker non-votes will have the same effect
as a vote “AGAINST” the proposal to adopt the Merger Agreement, but will have no effect on the proposal to
approve, by non-binding advisory vote, compensation that will or may become payable by Veoneer to its named
executive officers in connection with the Merger.
Holders of Veoneer’s SDRs are entitled to vote the shares of Veoneer Common Stock underlying their SDRs as if they
directly held Veoneer Common Stock. Therefore, each holder of SDRs is entitled to one vote for each share of Veoneer
Common Stock underlying each SDR held on the Record Date. We encourage you to vote prior to the meeting to
ensure your vote is properly received and counted. SDR holders registered on an account directly at Euroclear
Sweden AB (“Euroclear”) or with a Swedish nominee will receive proxy materials by regular mail and are urged to
vote over the internet by following the instructions set forth in the proxy materials such SDR holder receives. SDR
holders acting as non-Swedish nominees are urged to mail an information letter to their clients and to retrieve votes
from their clients, aggregate these and vote for their clients using the ID Number and Code (and other actions) set
forth in the proxy materials received by regular mail. If you are a client holding SDRs, we encourage you to contact
your broker to vote.
YOUR VOTE IS VERY IMPORTANT. We encourage all stockholders and holders of SDRs to vote electronically.
Please submit your proxy via the internet or by telephone by following the instructions on the enclosed proxy card. If
you do not have access to a touch-tone phone or the internet, you may alternatively vote by signing, dating and
returning the enclosed proxy card in the postage-paid envelope provided-even if you plan to attend the Special
Meeting in a virtual format. If you properly and timely submit your proxy, the individuals named as your proxy
holders will vote your shares as you have directed.
The Magna Merger Agreement has been terminated and the proposed merger with Magna has been abandoned.
Therefore, the special meeting of Veoneer Stockholders to adopt the Magna Merger Agreement was cancelled and
any proxy given to vote at that special meeting will not be counted at the Special Meeting to adopt the Merger
Agreement with Qualcomm and SSW or at all. Failure to return or submit your proxy or vote at the Special Meeting in
accordance with the instructions provided in this Proxy Statement will have the effect of voting your shares
“AGAINST” the proposal to adopt the Merger Agreement.
All shares entitled to vote and represented by properly submitted proxies (including those submitted via the internet,
by telephone and by mail) received before the polls are closed at the Special Meeting, and not revoked or
superseded, will be voted at the Special Meeting in accordance with the instructions indicated on those proxies. If no
direction is indicated on a proxy card, such shares will be voted by the proxy holders named on the enclosed proxy
card according to the recommendation of the board of directors of Veoneer (the “Board”) “FOR” both of the Special
Meeting Proposals.
3
TABLE OF CONTENTS
Record Date
The Record Date for the determination of stockholders entitled to receive notice of and to vote at the Special Meeting
is November 12, 2021. Only Veoneer Stockholders who held shares of Veoneer Common Stock of record at the close of
business on November 12, 2021, are entitled to vote at the Special Meeting and any adjournment or postponement of
the Special Meeting.
Quorum
A quorum is necessary to conduct business at the Special Meeting. A quorum requires the presence at the Special
Meeting of a majority of the outstanding shares of Veoneer Common Stock entitled to vote generally at the meeting
considered at the Special Meeting, via the Veoneer meeting website or represented by proxy.
For purposes of determining whether there is a quorum, all shares that are present will count towards the quorum,
which will include proxies received but marked as abstentions. Because both proposals presented to stockholders
will be considered non-discretionary, shares held by a bank, broker or other nominee in street name for a beneficial
owner will not be entitled to vote at the Special Meeting if the beneficial owner provides no instructions regarding
how those shares should be voted. As a result, such shares will be deemed not present at the Special Meeting and
not count for purposes of establishing a quorum. However, if a beneficial owner of shares provides voting
instructions on either or both proposals, then the bank, broker or other nominee is entitled to vote such shares as
instructed and they will be deemed present at the Special Meeting and count towards the quorum.
Parties Involved in the Merger (page 37)",13,16
"Veoneer, Inc._20211115_DEFM14A_19656349_4335019.Pdf",Parties Involved in the Merger,"Parties Involved in the Merger (page 37)
Veoneer, Inc.
Klarabergsviadukten 70, Section C6
Box 13089, SE- 103 02
Stockholm, Sweden
Veoneer is a global technology leader in the design, development, manufacture and sale of automotive safety
electronics. Veoneer’s ambition is to be a leading system supplier for Advanced-Driver Assistance Systems
(“ADAS”) and Highly Automated Driving (“HAD”) solutions, which it refers to as “Collaborative Driving,” and
Automated Driving (“AD”) solutions, and to be recognized as a market leader in automotive safety electronics
products.
Veoneer Common Stock is currently listed on the New York Stock Exchange (the “NYSE”) under the symbol “VNE,”
and Veoneer’s SDRs trade on Nasdaq Stockholm under the symbol “VNE SDB.”
QUALCOMM Incorporated
5775 Morehouse Drive
San Diego, California 92121
Qualcomm, a Delaware corporation, is a global leader in the development and commercialization of foundational
technologies for the wireless industry. Qualcomm’s technologies and products are used in mobile devices and other
wireless products, and are sold across industries and applications beyond mobile handsets, including automotive
and the internet of things (IoT), among others. Its inventions have helped power the growth in smartphones, which
have connected billions of people. Qualcomm is a leader in 3G (third generation), 4G (fourth generation) and 5G (fifth
generation) wireless technologies. Qualcomm derives revenues principally from sales of integrated circuit products
and licensing of its intellectual property, including patents and other rights. Qualcomm’s common stock is listed on
the Nasdaq under the ticker “QCOM.”
SSW Holdco LP
152 West 57th Street
New York, NY 10019
SSW, a Delaware limited partnership, is a subsidiary of SSW Investors LP, a Delaware limited partnership based in
New York that invests in high-quality businesses and collaborates with partners to create enduring value for all
stakeholders (“SSW Investors”). SSW was formed on September 7, 2021, solely for the purpose of engaging in the
transactions contemplated by the Merger Agreement, and it has not conducted any business prior to the date of the
Merger Agreement and has no, and prior to the date of the Merger, will have no, assets, liabilities or obligations of
any nature other than those incident to its formation and pursuant to the Merger Agreement, the Merger and the
other transactions contemplated by the Merger Agreement.
4TABLE OF CONTENTS
SSW Merger Sub Corp
152 West 57th Street
New York, NY 10019
Merger Sub, a Delaware corporation, is a direct, wholly owned subsidiary of SSW, formed on September 7, 2021,
solely for the purpose of engaging in the transactions contemplated by the Merger Agreement, and it has not
conducted any business prior to the date of the Merger Agreement and has no, and prior to the date and time at
which the certificate of merger with respect to the Merger (the “Certificate of Merger”) has been received for filing
by the Office of the Secretary of State of the State of Delaware (the “Secretary”) (such date and time of filing, or such
later time as may be agreed to by the Acquiring Parties, Merger Sub and Veoneer and set forth in the Certificate of
Merger, being hereinafter referred to as the “Effective Time”) will have no, assets, liabilities or obligations of any
nature other than those incident to its formation and pursuant to the Merger Agreement, the Merger and the other
transactions contemplated by the Merger Agreement. Upon the consummation of the Merger, Merger Sub will cease
to exist.",16,17
"Veoneer, Inc._20211115_DEFM14A_19656349_4335019.Pdf",Effect of the Merger,"Effect of the Merger (page 38)
If the Merger Agreement is adopted by Veoneer Stockholders and certain other conditions to the consummation of
the Merger are either satisfied or waived, Merger Sub will merge with and into Veoneer pursuant to the Delaware
General Corporation Law (“DGCL”), with Veoneer continuing under the name “Veoneer, Inc.” as the surviving
corporation (the “Surviving Corporation”). As a result of the Merger, Veoneer will become a direct, wholly owned
subsidiary of SSW and Veoneer Common Stock will no longer be publicly traded. In addition, Veoneer’s securities will
be delisted from the NYSE and Nasdaq Stockholm and deregistered under the Securities Exchange Act of 1934, as
amended (the “Exchange Act”), in each case, in accordance with applicable laws, rules and regulations, and Veoneer
will no longer file periodic reports with the U.S. Securities and Exchange Commission (the “SEC”) on account of
Veoneer Common Stock. If the Merger is consummated, you will not own any shares of capital stock of the Surviving
Corporation. Holders of Veoneer’s SDRs will be treated in accordance with the General Terms and Conditions for the
SDRs (the “Depository Agreement”).
The Effective Time will occur upon the filing of the Certificate of Merger with the Secretary (or at such later time as
the Acquiring Parties, Merger Sub and Veoneer may agree and specify in the Certificate of Merger).
Investment and Separation Matters Agreement (page 38)",17,17
"Veoneer, Inc._20211115_DEFM14A_19656349_4335019.Pdf",Investment and Separation Matters Agreement,"Investment and Separation Matters Agreement (page 38)
Concurrently with the execution of the Merger Agreement, Qualcomm, SSW and Merger Sub entered into an
Investment and Separation Matters Agreement, dated as of October 4, 2021 (the “Investment and Separation Matters
Agreement”) setting forth the terms and conditions pursuant to which, following the closing of the Merger,
Veoneer’s Non-Arriver Business (as defined below), will be extracted from Veoneer (the “Non-Arriver Extraction”).
Immediately following completion of the Non-Arriver Extraction, the Arriver Business (as defined below) will be sold
to Qualcomm (or its designated affiliate) by way of a merger of Veoneer with and into a designated subsidiary of
Qualcomm (or its designated affiliate), with Veoneer surviving such merger as a wholly owned subsidiary of
Qualcomm (or its designated affiliate) (the “Arriver Sale”).
Pursuant to the Merger Agreement:
•
the “Arriver Business” means the assets, liabilities, contracts, employees, business, operations, products,
platforms, services and activities of the business operated by Veoneer and its subsidiaries (i) known as
“Arriver” or otherwise relating thereto and (ii) comprising such functions as are necessary, advisable or
incidental to building platform integration capability for servicing Tier 1 automotive suppliers, including
ADAS ECU & integration, Roadscape, Vision & DMS, as well as the office of the chief technology officer,
shared services, relevant sales and apps engineering functions to the extent related thereto, in each case
conducted at any time prior to the time at which the Non-Arriver Extraction is consummated by Veoneer or
any of its current or former subsidiaries or predecessors; and
•
the “Non-Arriver Business” means all of the assets, liabilities, contracts, employees, businesses,
operations, products, platforms, services and activities (whether or not such businesses or operations are
or have been terminated, divested or discontinued), conducted by Veoneer and its subsidiaries prior to the
time at which the Non-Arriver Extraction is consummated, other than the Arriver Business.
Veoneer has agreed to reasonably cooperate in effecting the Non-Arriver Extraction and the Arriver Sale (the
“Arriver/Non-Arriver Separation Planning”), in accordance with the terms and conditions set forth in the Merger
5TABLE OF CONTENTS
Agreement and subject to applicable law, as described in the section entitled “Terms of the Merger Agreement-
Arriver/Non-Arriver Separation Planning and Cooperation” beginning on page 105 of this Proxy Statement.
The foregoing description of the Investment and Separation Matters Agreement does not purport to be complete and
is qualified in its entirety by reference to the complete text of the Investment and Separation Matters Agreement, a
copy of which was made publicly available as an exhibit to the Form 8-K filed by Qualcomm on October 4, 2021 and
is incorporated in its entirety by reference in this Proxy Statement.",17,18
"Veoneer, Inc._20211115_DEFM14A_19656349_4335019.Pdf",Effect on Veoneer if the Merger is Not Consummated,"Effect on Veoneer if the Merger is Not Consummated (page 38)
If the Merger Agreement is not adopted by Veoneer Stockholders or if the Merger is not consummated for any other
reason, Veoneer Stockholders will not receive any payment for their shares of Veoneer Common Stock. Instead,
Veoneer will remain an independent public company, Veoneer Common Stock and SDRs will continue to be listed and
traded on the NYSE and Nasdaq Stockholm, respectively, and registered under the Exchange Act, and Veoneer will
continue to file periodic reports with the SEC on account of Veoneer Common Stock. In addition, if the Merger is not
consummated, Veoneer expects that Veoneer’s management will operate the business in a manner similar to that in
which it is being operated today.
In addition, if the Merger Agreement is terminated under specified circumstances, Veoneer may be required to pay the
Acquiring Parties a termination fee of $110,000,000 (the “Termination Fee”). If the Merger Agreement is terminated
under other specified circumstances, the Acquiring Parties may be required to pay Veoneer a reverse termination fee
of $225,000,000 (the “Reverse Termination Fee”). Further, under specified circumstances, Veoneer may be required to
reimburse Qualcomm for the $110,000,000 that Qualcomm paid to Magna in connection with the termination of the
Magna Merger Agreement. See the section entitled “Terms of the Merger Agreement-Termination Fees; Expenses”
beginning on page 110 of this Proxy Statement and the section entitled “The Merger-Effect on Veoneer if the Merger
is Not Consummated” beginning on page 38 of this Proxy Statement.
Merger Consideration (page 39)",18,18
"Veoneer, Inc._20211115_DEFM14A_19656349_4335019.Pdf",Merger Consideration,"Merger Consideration (page 39)
Upon the consummation of the Merger, each share of Veoneer Common Stock issued and outstanding immediately
prior to the Effective Time (other than (i) shares held by Veoneer or any subsidiary of Veoneer (including shares held
as treasury stock), (ii) shares held, directly or indirectly, by SSW or Merger Sub or any of their wholly owned
subsidiaries, which will be automatically cancelled and retired and cease to exist as issued or outstanding shares for
no consideration or payment, and (iii) issued and outstanding immediately prior to the Effective Time and held by a
holder who is entitled to, and has properly exercised and perfected his, her or its demand for, appraisal rights under
Section 262 of the DGCL (the “Dissenting Shares”)) will be converted into the right to receive $37.00 in cash, without
interest and subject to any withholding of taxes required under applicable law (the “Merger Consideration,” as
defined in the section entitled “Terms of the Merger Agreement-Merger Consideration” beginning on page 89 of this
Proxy Statement). Holders of Veoneer’s SDRs will be treated in accordance with the Depository Agreement.
Recommendation of the Board and Reasons for the Merger (page 53)",18,18
"Veoneer, Inc._20211115_DEFM14A_19656349_4335019.Pdf",Recommendation of the Board and Reasons for the Merger,"Recommendation of the Board and Reasons for the Merger (page 53)
The Board unanimously recommends that you vote (i) “FOR” the proposal to adopt the Merger Agreement,
thereby approving the Merger, the Merger Agreement and the transactions contemplated thereby and (ii) “FOR”
the proposal to approve, by non-binding, advisory vote, compensation that will or may be payable by Veoneer to
its named executive officers in connection with the Merger and contemplated by the Merger Agreement.
Opinions of Veoneer’s Financial Advisors (page 58)",18,18
"Veoneer, Inc._20211115_DEFM14A_19656349_4335019.Pdf",Opinions of Veoneer’s Financial Advisors,"Opinions of Veoneer’s Financial Advisors (page 58)
Morgan Stanley & Co. LLC
Veoneer retained Morgan Stanley to provide it with financial advisory services and a financial opinion in connection
with the possible sale of Veoneer. The Board selected Morgan Stanley to act as its financial advisor based on Morgan
Stanley’s qualifications, expertise and reputation, its knowledge of and involvement in recent transactions in
Veoneer’s industry, its knowledge of Veoneer’s business and affairs and its understanding of Veoneer’s business
based on its long-standing relationship with Veoneer. At the meeting of the Board on October 4, 2021, Morgan
Stanley
6TABLE OF CONTENTS
rendered its opinion, that, as of October 4, 2021, and based upon and subject to the limitations, qualifications and
assumptions and other matters set forth in the opinion, the Merger Consideration to be received by the holders of
shares of Veoneer Common Stock pursuant to the Merger Agreement was fair, from a financial point of view, to
Veoneer Stockholders.
The full text of the written opinion of Morgan Stanley, dated October 4, 2021, which sets forth, among other
things, the assumptions made, procedures followed, matters considered and qualifications and limitations on the
scope of the review undertaken by Morgan Stanley in rendering its opinion, is attached to this Proxy Statement as
Annex C-1 and incorporated by reference in this Proxy Statement in its entirety. The summary of the opinion of
Morgan Stanley in this Proxy Statement is qualified in its entirety by reference to the full text of the opinion. You
are encouraged to read Morgan Stanley’s opinion carefully and in its entirety. Morgan Stanley’s opinion was
directed to the Board, in its capacity as such, and addresses only the fairness from a financial point of view of the
Merger Consideration to be received by the holders of shares of Veoneer Common Stock pursuant to the Merger
Agreement as of the date of the opinion and does not address the relative merits of the transactions contemplated
by the Merger Agreement as compared to other business or financial strategies that might be available to the
Company, nor does it address the underlying business decision of the Company to enter into the Merger
Agreement or proceed with the transactions contemplated by the Merger Agreement. It was not intended to, and
does not, constitute an opinion or recommendation as to how the stockholders of Veoneer should vote at the
Special Meeting.
See “The Merger Agreement-Opinions of Veoneer’s Financial Advisors-Morgan Stanley & Co. LLC” beginning on
page 58 of this Proxy Statement.
Rothschild & Co US Inc.
Veoneer retained Rothschild & Co US Inc. (“Rothschild & Co”) as its financial advisor in connection with its
evaluation of the potential sale, merger or other business/strategic combination involving Veoneer, including, without
limitation, the transactions contemplated by the Merger Agreement. Veoneer selected Rothschild & Co based on its
qualifications, expertise and familiarity with Veoneer’s business and industry. In connection with Rothschild & Co’s
engagement, the Board requested that Rothschild & Co evaluate the fairness, from a financial point of view, of the
Merger Consideration payable to the holders of shares of Veoneer Common Stock (other than any (i) shares held by
Veoneer or any subsidiary of Veoneer (including shares held as treasury stock), (ii) shares held, directly or indirectly,
by SSW or Merger Sub or any of their wholly owned subsidiaries, which will be automatically cancelled and retired
and cease to exist as issued or outstanding shares for no consideration or payment, and (iii) the Dissenting Shares,
(collectively clauses (i) and (ii), “Excluded Shares”)) in the transaction pursuant to the Merger Agreement. As part of
its investment banking business, Rothschild & Co regularly engages in the valuation of businesses and their
securities in connection with mergers and acquisitions, restructurings and other transactions.
On October 4, 2021, at a meeting of the Board held to evaluate the proposed transaction contemplated by the Merger
Agreement, Rothschild & Co delivered to the Board its oral opinion, which was subsequently confirmed by delivery
of a written opinion dated October 4, 2021, to the effect that, as of such date and on the basis of and subject to the
qualifications, limitations and assumptions set forth in the written opinion, the Merger Consideration payable to the
holders of shares of Veoneer Common Stock (other than Excluded Shares) in the transaction pursuant to the Merger
Agreement was fair, from a financial point of view, to such holders.
The full text of Rothschild & Co’s written opinion, dated October 4, 2021, which describes the assumptions made,
procedures followed, matters considered and limitations on the review undertaken in connection with the
opinion, is attached as Annex C-2 to this Proxy Statement and is incorporated herein by reference. The summary
of Rothschild & Co’s opinion contained herein is qualified in its entirety by reference to the full text of such
opinion.
See “The Merger Agreement-Opinions of Veoneer’s Financial Advisors-Rothschild & Co US Inc.” beginning on
page 65 of this Proxy Statement.
Interests of the Directors and Executive Officers of Veoneer in the Merger (page 76)",18,19
"Veoneer, Inc._20211115_DEFM14A_19656349_4335019.Pdf",Interests of the Directors and Executive Officers of Veoneer in the Merger,"Interests of the Directors and Executive Officers of Veoneer in the Merger (page 76)
In considering the recommendation of the Board that holders of Veoneer Common Stock vote to adopt the Merger
Agreement, Veoneer Stockholders should be aware that certain of Veoneer’s non-employee directors and executive
officers for purposes of this Proxy Statement have interests in the Merger that are different from, or in addition to,
those of Veoneer Stockholders generally. The Board was aware of and considered these interests, among other
7TABLE OF CONTENTS
matters, in approving the Merger Agreement and the Merger, and in recommending that the Merger Agreement be
adopted by Veoneer Stockholders. These interests include the following:
•
the accelerated vesting of outstanding unvested restricted stock units (the “Company RSUs”) and Veoneer
performance-based restricted stock units (the “Company PSUs”), and conversion of the Company Options,
Company RSUs and Company PSUs into the Merger Consideration;
•
the eligibility of certain named executive officers to receive enhanced severance payments and benefits
under their respective employment or change in control severance agreements in connection with the
Merger;
•
the eligibility of certain executive officers of the Company to receive severance payments under their
respective employment agreements in connection with a qualifying termination of employment;
•
the entitlement of certain executive officers to receive the balance of such executive’s Veoneer Non-
Qualified Retirement Savings Plan account balance, distributed in a single lump sum payment within sixty
(60) days following the closing of the Merger under the terms of the plan;
•
the possibility of receiving a retention bonus payable based on continued employment as of certain
vesting dates including the “Closing Date” (as defined in Section 2.2 of the Merger Agreement) of the
Merger and the 60th day following the Closing Date, as permitted by the Merger Agreement; and
•
continued indemnification and directors’ and officers’ liability insurance to be provided by the Surviving
Corporation.
See the section entitled “The Merger-Interests of the Directors and Executive Officers of Veoneer in the Merger”
beginning on page 76 of this Proxy Statement for a more detailed description of these interests.
Treatment and Quantification of Veoneer Equity Awards (page 77)",19,20
