Document,Section Header,Section Text,Start Page,End Page
Zendesk MA.Pdf,SUMMARY,"SUMMARY
This summary highlights selected information from this proxy statement related to the Merger and may not contain
all of the information that is important to you. To understand the Merger more fully and for a more complete
description of the legal terms of the Merger, you should carefully read and consider this entire proxy statement and
the annexes to this proxy statement, including the Merger Agreement (as defined below), along with all of the
documents to which we refer in this proxy statement, as they contain important information about, among other
things, the Merger and how it affects you. You may obtain the information incorporated by reference in this proxy
statement without charge by following the instructions in the section of this proxy statement entitled “Where You
Can Find More Information.” The Merger Agreement is attached as Annex A to this proxy statement. You should
carefully read and consider the entire Merger Agreement, which is the legal document that governs the Merger.
Except as otherwise specifically noted in this proxy statement, “Zendesk,” “we,” “our,” “us,” the “Company” and
similar words refer to Zendesk, Inc. Throughout this proxy statement, we refer to Zoro BidCo, Inc. as “Parent,” Zoro
Merger Sub, Inc. as “Merger Sub” and Zendesk, Parent and Merger Sub each as a “party” and together as the
“parties.” In addition, throughout this proxy statement we refer to the Agreement and Plan of Merger, dated as of
June 24, 2022 (as it may be amended from time to time), by and among Zendesk, Parent and Merger Sub as the
“Merger Agreement”; our common stock, par value $0.01 per share, as “Zendesk common stock”; and the holders
of shares of Zendesk common stock as “Zendesk stockholders.” Unless indicated otherwise, any other capitalized
term used herein but not otherwise defined herein has the meaning assigned to such term in the Merger Agreement.
Parties Involved in the Merger",10,10
Zendesk MA.Pdf,Parties Involved in the Merger,"Parties Involved in the Merger
Zendesk, Inc.
Founded in 2007, Zendesk is a service-first customer relationship management company, built to give organizations
of all sizes, in every industry, the ability to deliver a transparent, responsive and empowering customer experience.
With solutions designed to address an increasingly broad set of customer interactions, Zendesk allows organizations
to deliver omnichannel customer service and customize and build apps across the customer journey. Zendesk has
evolved its offerings over time to product and platform solutions that work together to help organizations understand
the broader customer journey, improve communications across all channels and engage where and when it’s needed
most. Zendesk’s principal executive offices are located at 989 Market Street, San Francisco, California 94103, and its
telephone number is (415) 418-7506. Zendesk common stock is listed on the New York Stock Exchange (which we refer
to as the “NYSE”) under the symbol “ZEN.”
Zoro BidCo, Inc.
Parent was incorporated on June 13, 2022, solely for the purpose of engaging in the transactions contemplated by the
Merger Agreement, and has not engaged in any activities other than in connection with or as contemplated by the
Merger Agreement.
Zoro Merger Sub, Inc.
Merger Sub is a wholly owned subsidiary of Parent and was incorporated on June 13, 2022, solely for the purpose of
engaging in the transactions contemplated by the Merger Agreement, and has not engaged in any activities other
than in connection with or as contemplated by the Merger Agreement.
Parent and Merger Sub are each affiliated with Hellman & Friedman LLC (which we refer to as “H&F”) and Permira
Advisers LLC (which we refer to as “Permira” and collectively, as the “Sponsors”). H&F is a leading private equity
investment firm focused on investing in outstanding business franchises and serving as a value-added partner to
management in select industries including software, financial services, business & information services, healthcare,
internet & media, retail & consumer and industrials & energy. Permira is a leading private equity firm focused on tech
and tech-enabled investing, with a particular focus on digital consumer and enterprise cloud end markets. At the
Effective Time (as defined in the section of this proxy statement entitled “-The Merger”), the Surviving Corporation
(as defined in the section of this proxy statement entitled “-The Merger”) will be indirectly owned by the Sponsors
and certain of their co-investors and affiliates.
1TABLE OF CONTENTS
In connection with the transactions contemplated by the Merger Agreement, (a) funds advised by the Sponsors and
certain limited partner co-investors of funds advised by the Sponsors, including, among others, Platinum Falcon B
2018 RSC Limited, a wholly owned indirect subsidiary of the Abu Dhabi Investment Authority (which we refer to,
collectively, as the “Equity Financing Sources”) have committed to capitalize Parent at the closing (which we refer to
as the “Closing”) of the Merger (as defined in the section of this proxy statement entitled “-The Merger”) with an
aggregate equity contribution equal to approximately $6.32 billion, in each case on the terms and subject to the
conditions set forth in the equity commitment letters entered into by the Equity Financing Sources (which we refer to
as the “Equity Commitment Letters”), (b) certain debt financing sources (which we refer to as the “Debt Commitment
Parties”) have committed to provide Parent with debt financing consisting of a $3.75 billion senior secured term loan
facility, a senior secured delayed draw term loan facility and a $350 million senior secured revolving credit facility, in
each case on the terms and subject to the conditions set forth in the debt commitment letter entered into by the Debt
Commitment Parties (which we refer to as the “Debt Commitment Letter”) and (c) Parent has obtained commitments
for preferred equity financing in an aggregate principal amount of up to $500 million from certain institutional
investors (which we refer to as the “Preferred Equity Financing Sources”) on the terms and subject to the conditions
set forth in the preferred equity commitment letter entered into by the Preferred Equity Financing Sources (which we
refer to as the “Preferred Equity Commitment Letter” and together with the Equity Commitment Letters and the Debt
Commitment Letter, the “Commitment Letters”). Such amounts will be used to fund the aggregate purchase price
required to be paid at the Closing and to also fund certain other payments (including the Required Amounts (as
defined in the section of this proxy statement entitled “-Financing of the Merger”)), subject to the terms and
conditions of the Merger Agreement.
In addition, the Equity Financing Sources, Parent and Zendesk have entered into certain Fee Funding Agreements,
dated as of June 24, 2022 (which we refer to as the “Fee Funding Agreements”), pursuant to which the Equity
Financing Sources have, subject to the terms and conditions contained therein, agreed to pay certain obligations of
Parent or Merger Sub under the Merger Agreement, subject to an aggregate cap equal to $637 million, including the
Parent Termination Fee (as defined in the section of this proxy statement entitled “The Merger Agreement-
Termination Fees”) and certain fees and expenses payable by Parent or Merger Sub as specified in the Merger
Agreement. For more information, please see the section of this proxy statement entitled “Proposal 1: Adoption of the
Merger Agreement-Financing of the Merger.”
The Merger",10,11
Zendesk MA.Pdf,The Merger,"The Merger
On the terms and subject to the conditions of the Merger Agreement, and in accordance with the General Corporation
Law of the State of Delaware (which we refer to as the “DGCL”), Merger Sub will merge with and into Zendesk (which
we refer to as the “Merger”), the separate corporate existence of Merger Sub will cease and Zendesk will continue its
corporate existence under the DGCL as the surviving corporation in the Merger (which we refer to as the “Surviving
Corporation”). As a result of the Merger, Zendesk common stock will no longer be publicly traded and will be delisted
from the NYSE. In addition, Zendesk common stock will be deregistered under the Securities Exchange Act of 1934,
as amended (which we refer to as the “Exchange Act”), and Zendesk will no longer file periodic reports with the
United States Securities and Exchange Commission (which we refer to as the “SEC”). If the Merger is completed, you
will not own any shares of capital stock of the Surviving Corporation. The Merger will become effective at such time
as the certificate of merger with respect to the Merger has been duly filed with the Secretary of State of the State of
Delaware or at such later date or time as may be agreed by Zendesk and Merger Sub in writing and specified in the
certificate of merger in accordance with the DGCL (which we refer to as the “Effective Time”).",11,11
Zendesk MA.Pdf,Merger Consideration,"Merger Consideration
Zendesk Common Stock
At the Effective Time, by virtue of the Merger and without any action on the part of Zendesk, Parent, Merger Sub or
the holders of any securities of Zendesk or Merger Sub, each share of Zendesk common stock issued and
outstanding immediately prior to the Effective Time (other than (a) certain shares of Zendesk common stock that are
issued and outstanding and owned, directly or indirectly, by Parent or its subsidiaries, including Merger Sub, or held
by Zendesk or its wholly owned subsidiaries, in each case immediately prior to the Effective Time, (b) shares of
Zendesk common stock that are issued and outstanding immediately prior to the Effective Time and that are held by
holders who have not voted in favor of the adoption of the Merger Agreement and
2TABLE OF CONTENTS
who have properly and validly exercised (and not withdrawn) appraisal rights in accordance with, and who have
complied with, Section 262 of the DGCL and (c) shares of Zendesk common stock underlying or comprising
unexercised, unvested or unsettled or not in-the-money Zendesk stock options (i.e., with per share exercise prices
that are equal to or greater than the Merger Consideration (as defined in this section of this proxy statement) and
restricted stock unit awards (which we refer to, collectively, as the “Unconverted Shares”)) will be converted
automatically into the right to receive $77.50 in cash, without interest (which we refer to as the “Merger
Consideration”), subject to any required tax withholding.
At or prior to the Effective Time, Parent will deposit (or cause to be deposited) with a designated paying agent a cash
amount that is sufficient to pay the aggregate Merger Consideration (excluding amounts payable through Zendesk’s
or its subsidiaries’ payroll systems) in exchange for all shares of Zendesk common stock outstanding immediately
prior to the Effective Time (other than the Unconverted Shares). For more information, please see the section of this
proxy statement entitled “The Merger Agreement-Exchange and Payment Procedures.”
After the Merger is completed, you will have the right to receive the Merger Consideration in respect of each share of
Zendesk common stock that you own (other than any Unconverted Shares) immediately prior to the Effective Time
(subject to any required tax withholding), but you will no longer have any rights as a Zendesk stockholder (except
that Zendesk stockholders who properly and validly exercise and do not withdraw their appraisal rights will not be
entitled to receive the Merger Consideration and instead shall have a right to receive payment of the “fair value” of
their shares as determined pursuant to an appraisal proceeding, as contemplated by the DGCL). For more information,
please see the section of this proxy statement entitled “Proposal 1: Adoption of the Merger Agreement-Appraisal
Rights.”
Treatment of Zendesk Equity Awards
The Merger Agreement provides that, at the Effective Time: each restricted stock unit award (which we refer to, each,
as an “RSU Award”) and option to purchase shares of Zendesk common stock under the Zendesk stock plans (which
we refer to, each, as a “Stock Option”) that are vested as of immediately prior to the Effective Time (assuming
achievement of performance for performance-based RSU Awards using the same formula provided for in the
applicable award agreement) will be canceled and converted into the right to receive an amount in cash equal to the
product of (x) the total number of shares of Zendesk common stock subject to such award and (y) the Merger
Consideration (and for Stock Options, less the exercise price per share of Zendesk common stock subject to such
Stock Option) (which we refer to as the “Cash Amount”), less any required tax withholding and deductions. Stock
Options with per share exercise prices that are equal to or greater than the Merger Consideration will be canceled for
no consideration. Any unvested Stock Option that is in-the-money and any unvested RSU Award will be canceled
and converted into a cash award for the corresponding Cash Amount (with the number of RSU Awards so converted
determined by assuming achievement of performance for performance-based RSU Awards using the same formula
provided for in the applicable award agreement), with such cash awards being subject to the same time-vesting terms
and conditions that applied to the associated award, as applicable (except for performance-based vesting conditions),
immediately prior to the Effective Time.
For more information, please see the section of this proxy statement entitled “The Merger Agreement-Merger
Consideration-Treatment of Zendesk Equity Awards.”
Material U.S. Federal Income Tax Consequences of the Merger",11,12
Zendesk MA.Pdf,Material U.S. Federal Income Tax Consequences of the Merger,"Material U.S. Federal Income Tax Consequences of the Merger
The exchange of Zendesk common stock for cash pursuant to the Merger will be a taxable transaction for U.S. federal
income tax purposes. Accordingly, a U.S. Holder (as defined in the section of this proxy statement entitled “Proposal
1: Adoption of the Merger Agreement-Material U.S. Federal Income Tax Consequences of the Merger”) who
exchanges shares of Zendesk common stock for cash in the Merger generally will recognize gain or loss in an amount
equal to the difference, if any, between the amount of cash that such U.S. Holder receives in the Merger and such
U.S. Holder’s adjusted tax basis in the shares of Zendesk common stock surrendered pursuant to the Merger by such
U.S. Holder.
With respect to a non-U.S. Holder (as defined in the section of this proxy statement entitled “Proposal 1: Adoption of
the Merger Agreement-Material U.S. Federal Income Tax Consequences of the Merger”), the exchange of Zendesk
common stock for cash in the Merger generally will not result in tax to that
3TABLE OF CONTENTS
non-U.S. Holder under United States federal income tax laws unless that non-U.S. Holder has certain connections
with the United States, but may be subject to backup withholding tax unless the non-U.S. Holder complies with
certain certification procedures or otherwise establishes a valid exemption from backup withholding tax.
This proxy statement contains a general discussion of certain U.S. federal income tax consequences of the Merger.
This description does not address any non-U.S. tax consequences, nor does it address state, local or other tax
consequences or the consequences to holders who are subject to special treatment under U.S. federal tax law.
Consequently, you should consult your tax advisor to determine the particular tax consequences to you of the
Merger.
Appraisal Rights",12,13
Zendesk MA.Pdf,Appraisal Rights,"Appraisal Rights
If the Merger is consummated and certain conditions are met, Zendesk stockholders who continuously hold shares
of Zendesk common stock through the Effective Time, do not vote in favor of the adoption of the Merger Agreement
and properly demand appraisal of their shares and do not withdraw their demands or otherwise lose their rights to
seek appraisal will be entitled to seek appraisal of their shares in connection with the Merger under Section 262 of the
DGCL. This means that Zendesk stockholders may be entitled to have their shares of Zendesk common stock
appraised by the Delaware Court of Chancery and receive payment in cash of the “fair value” of their shares of
Zendesk common stock, exclusive of any elements of value arising from the accomplishment or expectation of the
Merger, together with interest to be paid on the amount determined to be fair value, if any, as determined by the
Delaware Court of Chancery (or in certain circumstances described in further detail in the section of this proxy
statement entitled “Proposal 1: Adoption of the Merger Agreement-Appraisal Rights,” on the difference between the
amount determined to be the fair value and the amount paid by the Surviving Corporation in the Merger to each
Zendesk stockholder entitled to appraisal prior to the entry of judgment in any appraisal proceeding). Due to the
complexity of the appraisal process, Zendesk stockholders who wish to seek appraisal of their shares are encouraged
to seek the advice of legal counsel with respect to the exercise of appraisal rights.
Zendesk stockholders considering seeking appraisal should be aware that the fair value of their shares as determined
pursuant to Section 262 of the DGCL could be more than, the same as or less than the value of the consideration that
they would receive pursuant to the Merger Agreement if they did not seek appraisal of their shares of Zendesk
common stock.
To exercise appraisal rights, Zendesk stockholders must: (a) submit a written demand for appraisal to Zendesk before
the vote of Zendesk stockholders is taken on the proposal to adopt the Merger Agreement; (b) not submit a proxy or
otherwise vote in favor of the proposal to adopt the Merger Agreement; (c) continue to hold shares of Zendesk
common stock of record through the Effective Time; and (d) strictly comply with all other procedures for exercising
appraisal rights under the DGCL. Failure to follow exactly the procedures specified under the DGCL may result in the
loss of appraisal rights. In addition, the Delaware Court of Chancery will dismiss appraisal proceedings in respect of
Zendesk unless certain stock ownership conditions are satisfied by the Zendesk stockholders seeking appraisal. The
DGCL requirements for exercising appraisal rights are described in further detail in this proxy statement, which is
qualified in its entirety by Section 262 of the DGCL, the relevant section of the DGCL regarding appraisal rights. A
copy of Section 262 of the DGCL is reproduced in Annex D to this proxy statement. If you hold your shares of
Zendesk common stock through a bank, broker or other nominee and you wish to exercise appraisal rights, you
should consult with your bank, broker or other nominee to determine the appropriate procedures for the making of a
demand for appraisal on your behalf by your bank, broker or other nominee. For more information, please see the
section of this proxy statement entitled “Proposal 1: Adoption of the Merger Agreement-Appraisal Rights.”",13,13
Zendesk MA.Pdf,Litigation Related to the Merger,"Litigation Related to the Merger
Five purported stockholders of Zendesk have filed complaints relating to the Merger. Four complaints, captioned
O’Dell v. Zendesk, Inc., et al., No. 1:22-cv-06418 (filed July 28, 2022), Siah v. Zendesk, Inc., et al., No. 1:22-cv-06611
(filed August 3, 2022), Whitfield v. Zendesk, Inc., et al., No. 1:22-cv-06631 (filed August 4, 2022) and Ciccotelli v.
Zendesk, Inc., et al., No. 1:22-cv-06654 (filed August 5, 2022), were filed in the U.S. District Court for the Southern
District of New York. One complaint, captioned Butler v. Zendesk, Inc., et al., No. 3:22-cv-04414 (filed July 29, 2022),
was filed in the U.S. District Court for the Northern District of California. The complaints name Zendesk and its
directors as defendants. The complaints allege, among other
4TABLE OF CONTENTS
things, that the defendants filed or caused to be filed a materially false and misleading preliminary proxy statement
with the SEC relating to the Merger in violation of Section 14(a) and Section 20(a) of the Exchange Act and Rule 14a-9
promulgated thereunder. The plaintiffs seek as relief, among other things, injunctive relief preventing defendants from
filing a definitive proxy statement and from consummating the Merger unless additional disclosures are made,
rescission of the Merger in the event the Merger is consummated or awarding of rescissory damages, relief directing
the defendants to account to plaintiffs for all damages suffered as a result of the alleged violations, and an award of
costs and disbursements, including reasonable attorneys’ and experts’ fees and expenses. On August 7, 2022, one
purported Zendesk stockholder sent a draft complaint, and another purported Zendesk stockholder sent a demand
letter, each alleging to have identified materially misleading and incomplete statements in the preliminary proxy
statement.
Additionally, Zendesk received a demand letter dated August 5, 2022 on behalf of a purported Zendesk stockholder
pursuant to Section 220 of the DGCL requesting to inspect certain of Zendesk’s books and records relating to, among
other things, the Merger.
Zendesk believes the claims asserted in each of the lawsuits, draft complaint and demand letters are without merit.
Additional lawsuits arising out of the Merger may also be filed in the future.",13,14
Zendesk MA.Pdf,Regulatory Approvals Required for the Merger,"Regulatory Approvals Required for the Merger
U.S. Regulatory Clearances
Under the Merger Agreement, the Merger cannot be completed until the waiting period applicable to the Merger
under the Hart-Scott-Rodino Antitrust Improvements Act of 1976, as amended, and the rules and regulations
promulgated thereunder (which we refer to as the “HSR Act”), have expired or been terminated. Zendesk and Parent
made the filings required under the HSR Act on July 1, 2022, and the 30-day waiting period expired on August 1, 2022.
Under the Merger Agreement, the Merger cannot be completed until the parties have received from the interagency
Committee on Foreign Investment in the United States (which we refer to as “CFIUS”): (a) a written determination
from CFIUS to the effect that the transactions contemplated by the Merger Agreement do not constitute a “covered
transaction” pursuant to 31 C.F.R. § 800.213, (b) a written determination from CFIUS to the effect that review or
investigation of the transactions contemplated by the Merger Agreement has been concluded and that a
determination has been made that there are no unresolved national security concerns, or (c) following an
investigation conducted by CFIUS pursuant to 31 C.F.R. § 800.507, CFIUS reports the transaction to the President of
the United States and either (i) the President of the United States makes a decision not to suspend or prohibit such
transaction pursuant to his authorities under Section 721 of the Defense Production Act of 1950, 50 U.S.C. § 4565, as
amended, and the regulations at 31 C.F.R. Parts 800-802, or (ii) the President of the United States has not taken any
action within 15 days from the date he received the report from CFIUS (which we refer to as the “CFIUS Approval”).
Zendesk and Parent submitted a draft joint voluntary notice to CFIUS with respect to the Merger and the other
transactions contemplated by the Merger Agreement on July 18, 2022.
Other Regulatory Clearances
The Merger is also subject to receipt of regulatory approvals in certain other jurisdictions. For more information,
please see the section of this proxy statement entitled “Proposal 1: Adoption of the Merger Agreement-Regulatory
Approvals Required for the Merger.” In each case, the Merger cannot be completed until the parties obtain clearance
or approval to consummate the Merger or the applicable waiting periods have expired or been terminated. The parties
have agreed to cooperate with each other and use their reasonable best efforts to make these filings as promptly as
reasonably practicable.",14,14
Zendesk MA.Pdf,Closing Conditions,"Closing Conditions
The obligations of the parties to consummate the Merger are subject to the satisfaction or waiver of customary
conditions, including (among other conditions), the following:
•
the adoption of the Merger Agreement by the affirmative vote of the holders of a majority of the
outstanding shares of Zendesk common stock;
5TABLE OF CONTENTS
•
the absence of any law or order that is in effect and that restrains, enjoins or otherwise prohibits the
consummation of the Merger enacted, issued, promulgated, enforced or entered by a court or other
governmental entity of competent jurisdiction over any party;
•
(a) the expiration or termination of the waiting period applicable to the Merger under the HSR Act; (b) all
required consents and expirations or terminations of waiting periods (as applicable) with respect to certain
other required regulatory filings; and (c) the CFIUS Approval;
•
the accuracy of the representations and warranties contained in the Merger Agreement (subject to certain
materiality qualifiers);
•
in the case of Parent and Merger Sub, the absence, since June 24, 2022, of, subject to certain exceptions
described further in the section of this proxy statement entitled “The Merger Agreement-Representations
and Warranties,” any developments, occurrences, events, effects, circumstances, or changes that (a)
prevent, materially delay or materially impair, or would reasonably be expected to prevent, materially delay
or materially impair, Zendesk from consummating the Merger by the End Date (as defined in the section of
this proxy statement entitled “-Termination of the Merger Agreement”) or (b) considered individually or
together with all other developments, occurrences, events, effects, circumstances or changes, have had or
resulted in, or would reasonably be expected to have, a material adverse effect on the business, financial
condition or results of operations of Zendesk and its subsidiaries, taken as a whole, which development,
occurrence, event, effect, circumstance or change, in the case of each of (a) and (b), is continuing; and
•
the performance and compliance in all material respects by the parties of their respective covenants
required by the Merger Agreement to be performed or complied with by such party prior to the Effective
Time.
Financing of the Merger",14,15
Zendesk MA.Pdf,Financing of the Merger,"Financing of the Merger
The obligation of Parent and Merger Sub to consummate the Merger is not subject to any financing condition. We
anticipate that the total amount of funds necessary to complete the Merger and the related transactions, and to pay
the fees and expenses required to be paid at the Closing by Parent and Merger Sub under the Merger Agreement, will
be approximately $10.47 billion, taking into account cash and cash equivalents of Zendesk and its subsidiaries on
hand at the Closing. This amount includes funds needed to: (a) pay the aggregate Merger Consideration in respect of
the Zendesk common stock (other than the Unconverted Shares), (b) make payments in respect of the vested and
outstanding Zendesk equity awards payable in connection with the Closing, and (c) make payments of cash (i) in
connection with an offer to purchase the Existing Notes (as defined in the Merger Agreement) to the holders thereof
in amount equal to the aggregate principal amount of Existing Notes tendered and accepted for payment and (ii) upon
conversion of the Existing Notes in connection with any Fundamental Change and Make-Whole Fundamental
Change (each as defined in the Existing Notes Indentures, as defined in the Merger Agreement), in each case on or
after the Closing Date (which we refer to, collectively, as the “Required Amounts”).
The Equity Financing Sources have committed to capitalize Parent at the Closing with an aggregate equity
contribution equal to approximately $6.32 billion, subject to the terms and conditions set forth in the Equity
Commitment Letters (we refer to such financing as the “Equity Financing”). Zendesk is an express third-party
beneficiary of the Equity Commitment Letters solely with respect to enforcing Parent’s right to cause the
commitments under the Equity Commitment Letters by each Equity Financing Source to be funded to Parent in
accordance with the Equity Commitment Letters, and to cause Parent to enforce its rights against each such Equity
Financing Source to perform its obligations under the applicable Equity Commitment Letter, in each case subject to
(a) the limitations and conditions set forth in each Equity Commitment Letter and (b) the terms and conditions of the
Merger Agreement.
Zendesk, Parent and the Equity Financing Sources have entered into certain Fee Funding Agreements, pursuant to
which, and subject to the terms and conditions contained therein, each Equity Financing Source has agreed to pay a
portion of the payment of the Parent Termination Fee and certain fees and expenses payable by Parent or Merger Sub
pursuant to the Merger Agreement.
In addition, in connection with the Merger Agreement, (a) Parent entered into a Debt Commitment Letter with the
Debt Commitment Parties pursuant to which the Debt Commitment Parties have committed to provide
6TABLE OF CONTENTS
Parent with debt financing consisting of a $3.75 billion senior secured term loan facility, a senior secured delayed
draw term loan facility and a $350 million senior secured revolving credit facility, in each case on the terms and
subject to the conditions set forth in the Debt Commitment Letter (which we refer to, collectively, as the “Debt
Financing”) and (b) Parent entered into a Preferred Equity Commitment Letter with the Preferred Equity Financing
Sources pursuant to which the Preferred Equity Financing Sources have agreed to provide preferred equity financing
in an aggregate principal amount of up to $500 million on the terms and subject to the conditions set forth in the
Preferred Equity Commitment Letter (which we refer to as the “Preferred Equity Financing” and, together with the
Debt Financing and the Equity Financing, the “Financing”). The obligations of the Debt Commitment Parties to
provide Debt Financing under the Debt Commitment Letter and the Preferred Equity Financing Sources to provide
Preferred Equity Financing under the Preferred Equity Commitment Letter are, in each case, subject to a number of
customary conditions, including consummation of the Merger. For more information, please see the section of this
proxy statement entitled “The Merger Agreement-Debt Financing and Preferred Equity Financing.”
Parent has agreed to use its reasonable best efforts to, and to cause each of its subsidiaries to use its reasonable best
efforts to, take, or cause to be taken, all actions, and do, or cause to be done, all things necessary, proper or advisable
to obtain the proceeds of the Financing contemplated by the Commitment Letters on or prior to the Closing Date on
the terms and subject only to the conditions described in the Commitment Letters, as applicable (or, only if then
available, on other terms (but not conditions), that (a) are acceptable to Parent in its sole discretion and (b) would
otherwise not contain any Prohibited Modification (as defined in the Merger Agreement)), on the date on which the
Merger is required to be consummated, pursuant to the terms of the Merger Agreement.
Zendesk has agreed to use its reasonable best efforts to, and to cause its subsidiaries to use reasonable best efforts
to, and to use reasonable best efforts to cause its and their respective representatives to, provide customary
cooperation, to the extent reasonably requested by Parent necessary for the arrangement, consummation or issuance,
as applicable, of the Debt Financing, the Preferred Equity Financing or any alternative financing obtained in
accordance with the Merger Agreement (provided that such requested cooperation does not unreasonably interfere
with the ongoing operations of Zendesk or any of its affiliates), subject to certain exceptions. For more information,
please see the section of this proxy statement entitled “The Merger Agreement-Cooperation as to Debt Financing
and Preferred Equity Financing.”",15,16
